00000001a241afc8 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a24093d4 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
00000001a24093bc (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem teamID]
00000001a241a1c8 (__TEXT,__text) non-external -[SPMigrationScanner .cxx_destruct]
00000001a241a1c0 (__TEXT,__text) non-external -[SPMigrationScanner allBundleURLs]
00000001a241a1b8 (__TEXT,__text) non-external -[SPMigrationScanner allKextURLs]
00000001a2419e88 (__TEXT,__text) non-external -[SPMigrationScanner initWithRoot:]
00000001a2419f1c (__TEXT,__text) non-external -[SPMigrationScanner performMigrationScan]
00000001a241a1b0 (__TEXT,__text) non-external -[SPMigrationScanner volumeRoot]
00000001a2419e08 (__TEXT,__text) non-external -[SPProvenanceMetadata .cxx_destruct]
00000001a2419db8 (__TEXT,__text) non-external -[SPProvenanceMetadata bundleID]
00000001a2419df4 (__TEXT,__text) non-external -[SPProvenanceMetadata cdhash]
00000001a2419ca8 (__TEXT,__text) non-external -[SPProvenanceMetadata encodeWithCoder:]
00000001a2419ac4 (__TEXT,__text) non-external -[SPProvenanceMetadata initWithCoder:]
00000001a2419d90 (__TEXT,__text) non-external -[SPProvenanceMetadata rootID]
00000001a2419dc0 (__TEXT,__text) non-external -[SPProvenanceMetadata setBundleID:]
00000001a2419dfc (__TEXT,__text) non-external -[SPProvenanceMetadata setCdhash:]
00000001a2419d98 (__TEXT,__text) non-external -[SPProvenanceMetadata setRootID:]
00000001a2419de8 (__TEXT,__text) non-external -[SPProvenanceMetadata setSigningID:]
00000001a2419dd4 (__TEXT,__text) non-external -[SPProvenanceMetadata setTeamID:]
00000001a2419d84 (__TEXT,__text) non-external -[SPProvenanceMetadata setUniqueID:]
00000001a2419dac (__TEXT,__text) non-external -[SPProvenanceMetadata setUrl:]
00000001a2419de0 (__TEXT,__text) non-external -[SPProvenanceMetadata signingID]
00000001a2419dcc (__TEXT,__text) non-external -[SPProvenanceMetadata teamID]
00000001a2419d7c (__TEXT,__text) non-external -[SPProvenanceMetadata uniqueID]
00000001a2419da4 (__TEXT,__text) non-external -[SPProvenanceMetadata url]
00000001a240b2b4 (__TEXT,__text) non-external -[SPProvenanceTracking .cxx_destruct]
00000001a240af88 (__TEXT,__text) non-external -[SPProvenanceTracking dealloc]
00000001a240b1ac (__TEXT,__text) non-external -[SPProvenanceTracking findAssociatedProvenanceEntries:]
00000001a240b0c0 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForID:]
00000001a240afd4 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForURL:]
00000001a240b298 (__TEXT,__text) non-external -[SPProvenanceTracking getAllProvenanceEntries]
00000001a240ae08 (__TEXT,__text) non-external -[SPProvenanceTracking init]
00000001a2409be0 (__TEXT,__text) non-external -[StagedBundleData .cxx_destruct]
00000001a2409bc4 (__TEXT,__text) non-external -[StagedBundleData access:]
00000001a2409bd8 (__TEXT,__text) non-external -[StagedBundleData bundle]
00000001a24096d8 (__TEXT,__text) non-external -[StagedBundleData handleReload]
00000001a2409454 (__TEXT,__text) non-external -[StagedBundleData initWithURL:withStagedURL:withReloadBlock:withPrepareBlock:]
00000001a2409bd0 (__TEXT,__text) non-external -[StagedBundleData stagedBundle]
00000001a2420cfc (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a2420d84 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a2420d34 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001a2420d5c (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001a2420d1c (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a2420d94 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a241ada8 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibrary
00000001a241abd0 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibraryCore
00000001d97482c8 (__DATA,__bss) non-external _AppleMobileFileIntegrityLibraryCore.frameworkLibrary
00000001a2415f9c (__TEXT,__text) non-external _BooleanXPCImpl
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBundleCopyExecutableURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetInfoDictionary (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _FSEventStreamCreate (from CoreServices)
                 (undefined) external _FSEventStreamInvalidate (from CoreServices)
                 (undefined) external _FSEventStreamRelease (from CoreServices)
                 (undefined) external _FSEventStreamScheduleWithRunLoop (from CoreServices)
                 (undefined) external _FSEventStreamStart (from CoreServices)
                 (undefined) external _FSEventStreamStop (from CoreServices)
00000001d53cfbd8 (__DATA_CONST,__const) external _GKErrorDomain
                 (undefined) weak external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) weak external _MISInstallProvisioningProfile (from libmis)
                 (undefined) weak external _MISProfileCreateWithFile (from libmis)
                 (undefined) weak external _MISProvisioningProfileCheckValidity (from libmis)
                 (undefined) weak external _MISProvisioningProfileGetUUID (from libmis)
                 (undefined) weak external _MISRemoveProvisioningProfile (from libmis)
                 (undefined) weak external _MISUPPTrusted (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfo (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfoWithProgress (from libmis)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSURLErrorKey (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
00000001dbf39738 (__AUTH,__objc_data) external _OBJC_CLASS_$_AKELData
00000001dbf39d50 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMFI
00000001dbf398f0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapper
00000001dbf39df0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicy
00000001dbf39d78 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicyResult
00000001dbf39878 (__AUTH,__objc_data) external _OBJC_CLASS_$_BundleData
00000001dbf39968 (__AUTH,__objc_data) external _OBJC_CLASS_$_GKScanResult
00000001dbf39b48 (__AUTH,__objc_data) external _OBJC_CLASS_$_MIS
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
00000001dbf39800 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyCacheMeta
00000001dbf39c38 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyScanTarget
00000001dbf39e18 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPDeveloperPolicy
00000001dbf39a08 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionHistoryItem
00000001dbf39aa8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicy
00000001dbf39918 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicyItem
00000001dbf39788 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPFilePolicy
00000001dbf39be8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPInstallationPolicy
00000001dbf39a58 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistory
00000001dbf39af8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistoryItem
00000001dbf39648 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicy
00000001dbf39670 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicyItem
00000001dbf399b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPLog
00000001dbf39b98 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigration
00000001dbf39cd8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigrationScanner
00000001dbf39c88 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceMetadata
00000001dbf39828 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceTracking
00000001dbf396e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_StagedBundleData
00000001d9747e44 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._bundle
00000001d9747e48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._signatureExceptionData
00000001d9747e4c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._timestampExceptionData
00000001d9747fe0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isModified
00000001d9747fdc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isValid
00000001d9747fe4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.signerCategory
00000001d9747e74 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._isSignedBundle
00000001d9747e78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._reloadHandler
00000001d9747e7c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._stream
00000001d9747e88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._timestamp
00000001d9747e70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._url
00000001d9747e80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._version
00000001d9747e84 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._versionNumber
00000001d9747eac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.allowed
00000001d9747eb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.gkError
00000001d9747e5c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._forEntry
00000001d9747e58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._lastMiss
00000001d9747e50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._metaId
00000001d9747e54 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._missCount
00000001d9747e60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._sourceTable
00000001d9747e64 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._target
00000001d9747f40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._blockDevice
00000001d9747f70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundle
00000001d9747f60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleID
00000001d9747f64 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleVersion
00000001d9747f7c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhash
00000001d9747f80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashData
00000001d9747f84 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashDigestAlgorithm
00000001d9747f50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._checkValidity
00000001d9747f4c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._chgTime
00000001d9747f90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._entitlements
00000001d9747f38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._fsTypeName
00000001d9747f6c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isAppWrapper
00000001d9747fa8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isBundled
00000001d9747f68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isDirectory
00000001d9747f9c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantined
00000001d9747f98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantinedMount
00000001d9747fa4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isScript
00000001d9747fa0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isUserApproved
00000001d9747f5c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mainExecutableURL
00000001d9747f48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._modTime
00000001d9747f44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mountTime
00000001d9747f34 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._objectID
00000001d9747f58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._originalURL
00000001d9747f30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pathOnVolume
00000001d9747fb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pid
00000001d9747f94 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._quarantineChecked
00000001d9747f8c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingID
00000001d9747f78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingInfo
00000001d9747f74 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._staticCodeRef
00000001d9747f88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._teamID
00000001d9747fac (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._triggeredByLibraryLoad
00000001d9747f54 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._url
00000001d9747f3c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumePath
00000001d9747f2c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumeUUID
00000001d9747fec (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._connection
00000001d9747fe8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._interface
00000001d9747ec4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._cdHash
00000001d9747ecc (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._developerName
00000001d9747eb4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._execPath
00000001d9747ed0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._lastSeen
00000001d9747eb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._mmapPath
00000001d9747ec8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._responsiblePath
00000001d9747ebc (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._signingID
00000001d9747ec0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._teamID
00000001d9747ef0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._connection
00000001d9747eec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._interface
00000001d9747ef4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._lock
00000001d9747ef8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._progressBlock
00000001d9747ea8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._blockedReasonDescription
00000001d9747e98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._cdHash
00000001d9747e8c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._itemPath
00000001d9747ea4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._knownMalware
00000001d9747e9c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsApproval
00000001d9747ea0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsOverride
00000001d9747e90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._signingID
00000001d9747e94 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._teamID
00000001d9747f24 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._connection
00000001d9747f20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._interface
00000001d9747f28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._requireDaemon
00000001d9747ed8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._connection
00000001d9747ed4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._interface
00000001d9747f10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.bundleID
00000001d9747f18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.cdHash
00000001d9747f08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isCodeless
00000001d9747f00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isDeprecated
00000001d9747efc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isNotarized
00000001d9747f04 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isUnsupported
00000001d9747f1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.lastUsed
00000001d9747f0c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.path
00000001d9747f14 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.teamID
00000001d9747ee4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._connection
00000001d9747edc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._currentPolicy
00000001d9747ee0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._interface
00000001d9747ee8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy.currentUAKL
00000001d9747e00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem._originalAllowed
00000001d9747e04 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.allowed
00000001d9747e10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationName
00000001d9747e14 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationPath
00000001d9747e20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.bundleIDs
00000001d9747e18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.developerName
00000001d9747e0c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.isPendingUpgrade
00000001d9747e08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.rebootRequired
00000001d9747e1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.teamID
00000001d9747fd8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allBundleURLs
00000001d9747fd4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allKextURLs
00000001d9747fd0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._volumeRoot
00000001d9747fc0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.bundleID
00000001d9747fcc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.cdhash
00000001d9747fb8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.rootID
00000001d9747fc8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.signingID
00000001d9747fc4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.teamID
00000001d9747fb4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.uniqueID
00000001d9747fbc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.url
00000001d9747e6c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceTracking._connection
00000001d9747e68 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceTracking._interface
00000001d9747e2c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._accessQueue
00000001d9747e34 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundle
00000001d9747e28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundleUrl
00000001d9747e38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._fileManager
00000001d9747e40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._prepareBlock
00000001d9747e3c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._reloadBlock
00000001d9747e30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedBundle
00000001d9747e24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedUrl
00000001dbf39760 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AKELData
00000001dbf39d28 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AMFI
00000001dbf398c8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapper
00000001dbf39dc8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicy
00000001dbf39da0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicyResult
00000001dbf398a0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_BundleData
00000001dbf39990 (__AUTH,__objc_data) external _OBJC_METACLASS_$_GKScanResult
00000001dbf39b70 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MIS
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001dbf397d8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyCacheMeta
00000001dbf39c60 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyScanTarget
00000001dbf39e40 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPDeveloperPolicy
00000001dbf39a30 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionHistoryItem
00000001dbf39ad0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionPolicy
00000001dbf39940 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionPolicyItem
00000001dbf397b0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPFilePolicy
00000001dbf39c10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPInstallationPolicy
00000001dbf39a80 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionHistory
00000001dbf39b20 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionHistoryItem
00000001dbf39698 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionPolicy
00000001dbf396c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPKernelExtensionPolicyItem
00000001dbf399e0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPLog
00000001dbf39bc0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPMigration
00000001dbf39d00 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPMigrationScanner
00000001dbf39cb0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPProvenanceMetadata
00000001dbf39850 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPProvenanceTracking
00000001dbf39710 (__AUTH,__objc_data) external _OBJC_METACLASS_$_StagedBundleData
