00007ff8400e99d0 (__DATA,__data) non-external _C
00007ff80103c39e (__TEXT,__text) external ___strncpy_chk
00007ff80103e2d6 (__TEXT,__text) non-external ___strncpy_chk.cold.1
00007ff800fe9f4e (__TEXT,__text) external ___sum_D2A
00007ff80100d46c (__TEXT,__text) external ___svfscanf
00007ff80100b0a6 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff801040250 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff801014a3f (__TEXT,__text) external ___swbuf
00007ff801001922 (__TEXT,__text) external ___swhatbuf
00007ff8010055f7 (__TEXT,__text) external ___swrite
00007ff801014e0a (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00007ff8400ea9f8 (__DATA,__data) non-external ___systemfn_mutex
00007ff8400eaa60 (__DATA,__data) non-external ___systemfn_mutex
00007ff80103fa60 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff800fd7424 (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff800fd6f54 (__TEXT,__text) non-external ___thread_stack_pcs
00007ff80101b0b2 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff8400f65e0 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff80103fa30 (__TEXT,__const) external ___tinytens_D2A
00007ff800ff90ac (__TEXT,__text) external ___tolower
00007ff800ff91f6 (__TEXT,__text) external ___tolower_l
00007ff800ff9066 (__TEXT,__text) external ___toupper
00007ff800ff91d5 (__TEXT,__text) external ___toupper_l
00007ff800fe9293 (__TEXT,__text) external ___trailz_D2A
00007ff800fea0a1 (__TEXT,__text) external ___ulp_D2A
00007ff80100ac0c (__TEXT,__text) non-external ___ultoa
00007ff80101178f (__TEXT,__text) non-external ___ultoa
00007ff801005f16 (__TEXT,__text) external ___ungetc
00007ff8010060b5 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff801025335 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff8010407a0 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff80102c5c4 (__TEXT,__text) non-external (was a private external) ___v2printf
00007ff80100675b (__TEXT,__text) non-external (was a private external) ___vfprintf
00007ff80103dc8f (__TEXT,__text) non-external ___vfprintf.cold.1
00007ff801040210 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007ff801040220 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007ff80100d810 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007ff801040280 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007ff801040290 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007ff801011da7 (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007ff801040380 (__TEXT,__const) non-external ___vfwscanf.basefix
00007ff80103c8d1 (__TEXT,__text) external ___vsnprintf_chk
00007ff80103c642 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007ff800ffb094 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007ff800ffad52 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007ff800ff90f2 (__TEXT,__text) external ___wcwidth
00007ff800ff9217 (__TEXT,__text) external ___wcwidth_l
00007ff800ffa220 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007ff8400ea0a0 (__DATA,__data) external ___xlocale_C_collate
00007ff800fd9f40 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007ff800fd9f6d (__TEXT,__text) non-external ___xlocale_release
00007ff800fdadb4 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007ff80103cbe4 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007ff8400e9f98 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007ff80102caa8 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007ff80102c8a1 (__TEXT,__text) non-external (was a private external) ___xvprintf
00007ff801025414 (__TEXT,__text) external __allocenvstate
00007ff800fea22a (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007ff800ff3a82 (__TEXT,__text) non-external (was a private external) __ascii_init
00007ff800ff3acf (__TEXT,__text) non-external __ascii_mbrtowc
00007ff800ff3b12 (__TEXT,__text) non-external __ascii_mbsinit
00007ff800ff3b1d (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007ff800ff3bb0 (__TEXT,__text) non-external __ascii_wcrtomb
00007ff800ff3bde (__TEXT,__text) non-external __ascii_wcsnrtombs
00007ff800fcf832 (__TEXT,__text) non-external __boottime_fallback_usec
00007ff8400b1308 (__DATA_CONST,__const) external __c_locale
00007ff800fff0a9 (__TEXT,__text) external __cleanup
00007ff800ff4c21 (__TEXT,__text) external __collate_lookup
00007ff800ff60dd (__TEXT,__text) non-external (was a private external) __collate_sxfrm
00007ff80103da9f (__TEXT,__text) non-external __collate_sxfrm.cold.1
00007ff800ff5e42 (__TEXT,__text) non-external (was a private external) __collate_wxfrm
00007ff80103da7c (__TEXT,__text) non-external __collate_wxfrm.cold.1
00007ff80102541e (__TEXT,__text) external __copyenv
00007ff8400ea9f0 (__DATA,__data) external __cthread_init_routine
00007ff801025496 (__TEXT,__text) external __deallocenvstate
00007ff801024d76 (__TEXT,__text) non-external __do_nothing
00007ff800fd9398 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
                 (undefined) external __dyld_stack_range (from libdyld)
00007ff8400f66f8 (__DATA,__common) non-external (was a private external) __e_err_exit
00007ff8400f66f0 (__DATA,__common) non-external (was a private external) __e_err_file
00007ff800fea6b4 (__TEXT,__text) non-external (was a private external) __e_visprintf
00007ff801004568 (__TEXT,__text) non-external __ensurespace
                 (undefined) external __exit (from libsystem_kernel)
00007ff800fcfa79 (__TEXT,__text) non-external __ffpp_strtoencf32_l
00007ff80103c8ec (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
00007ff80103c90f (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
00007ff80103ebe0 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
00007ff800fcfda3 (__TEXT,__text) non-external __ffpp_strtoencf64_l
00007ff80103c932 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00007ff80103c955 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00007ff80103c978 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
00007ff80103ef80 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
00007ff800fd02e9 (__TEXT,__text) non-external __ffpp_strtoencf80_l
00007ff80103c99b (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.1
00007ff80103c9be (__TEXT,__text) non-external __ffpp_strtoencf80_l.cold.2
00007ff80103f130 (__TEXT,__const) non-external __ffpp_strtoencf80_l.longDoublePowerOf10
00007ff800fef24f (__TEXT,__text) non-external (was a private external) __filldir
00007ff800ff1665 (__TEXT,__text) non-external (was a private external) __fixtelldir
00007ff800ffdbc5 (__TEXT,__text) external __flockfile_debug_stub
00007ff801000265 (__TEXT,__text) external __fseeko
00007ff80100078b (__TEXT,__text) external __ftello
00007ff801000cf8 (__TEXT,__text) external __fwalk
00007ff80101efbf (__TEXT,__text) external __getenvp
00007ff800fd6656 (__TEXT,__text) external __init_clock_port
00007ff80101b086 (__TEXT,__text) external __int_to_time
00007ff801021792 (__TEXT,__text) non-external __isort
00007ff801022254 (__TEXT,__text) non-external __isort
00007ff8400eb980 (__DATA,__bss) non-external __libSystem_atfork_child
00007ff8400eb968 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00007ff8400eb978 (__DATA,__bss) non-external __libSystem_atfork_parent
00007ff8400eb960 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00007ff8400eb970 (__DATA,__bss) non-external __libSystem_atfork_prepare
00007ff8400eb958 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00007ff800fdc3f1 (__TEXT,__text) external __libc_fork_child
00007ff800fdc49b (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007ff800fdc3e5 (__TEXT,__text) external __libc_fork_parent
00007ff800fdc3d9 (__TEXT,__text) external __libc_fork_prepare
00007ff800fdc349 (__TEXT,__text) external __libc_initializer
00007ff800ff7dd4 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
00007ff800ff7da5 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
00007ff800ff7d76 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
00007ff80101b074 (__TEXT,__text) external __long_to_time
00007ff800fcf50c (__TEXT,__text) non-external __mach_boottime_usec
00007ff8400eb950 (__DATA,__bss) non-external __mh_execute_header_pointer
00007ff801001fe9 (__TEXT,__text) non-external __mkdtemp_action
00007ff801001dac (__TEXT,__text) non-external __mkostemps_action
00007ff800fdb747 (__TEXT,__text) non-external __mkpath
00007ff800fdb730 (__TEXT,__text) external __mkpath_np
00007ff8010021ba (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007ff80103db68 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007ff801002050 (__TEXT,__text) external __mktemp
00007ff801002092 (__TEXT,__text) non-external __mktemp_action
00007ff800ff924a (__TEXT,__text) non-external (was a private external) __none_init
00007ff800ff9297 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007ff800ff92c5 (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007ff800ff92d0 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007ff800ff9340 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007ff800ff936e (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007ff80103cdaa (__TEXT,__text) external __os_assert_log
00007ff80103cfc2 (__TEXT,__text) external __os_assert_log_ctx
00007ff80103cc98 (__TEXT,__text) external __os_assumes_log
00007ff80103ce83 (__TEXT,__text) external __os_assumes_log_ctx
00007ff800fdcd84 (__TEXT,__text) external __os_avoid_tail_call
00007ff80103cc8b (__TEXT,__text) external __os_crash
00007ff8400f66e0 (__DATA,__common) external __os_crash_callback
00007ff800fdcd8a (__TEXT,__text) non-external __os_get_build
                 (undefined) external __os_once (from libsystem_platform)
00007ff801024d7e (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007ff801024e8f (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007ff801024e24 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007ff8400b1310 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007ff8010423b0 (__TEXT,__cstring) non-external __printf_tbl_flags
00007ff800fdc45f (__TEXT,__text) non-external (was a private external) __program_vars_init
00007ff801020e04 (__TEXT,__text) external __putenvp
00007ff801020f2f (__TEXT,__text) non-external __qsort
00007ff801021975 (__TEXT,__text) non-external __qsort
00007ff8400ea000 (__DATA,__data) external __rand48_add
00007ff8400e9ff8 (__DATA,__data) external __rand48_mult
00007ff8400e9ff0 (__DATA,__data) external __rand48_seed
00007ff800fef9cb (__TEXT,__text) external __readdir_unlocked
00007ff800ff1696 (__TEXT,__text) external __reclaim_telldir
00007ff8010406f4 (__TEXT,__const) non-external (was a private external) __rp_alist
00007ff800ff15cf (__TEXT,__text) external __seekdir
00007ff8010254d8 (__TEXT,__text) external __setenvp
00007ff800fdca9a (__TEXT,__text) external __sigaction_nobind
00007ff8400f6710 (__DATA,__common) external __sigintr
00007ff800ff0909 (__TEXT,__text) external __signal_nobind
00007ff800fcf0dd (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007ff800ff069b (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007ff801005624 (__TEXT,__text) external __sread
00007ff801005726 (__TEXT,__text) external __sseek
00007ff8010184c6 (__TEXT,__text) non-external (was a private external) __st_fmt
00007ff800fda814 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007ff801016831 (__TEXT,__text) non-external (was a private external) __st_localsub
00007ff800fda821 (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007ff8010171c2 (__TEXT,__text) non-external (was a private external) __st_time1
00007ff801015630 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007ff80102d292 (__TEXT,__text) non-external __strfmon
00007ff801019798 (__TEXT,__text) non-external __strptime0
00007ff801040490 (__TEXT,__const) non-external __strptime0.start_of_month
00007ff800fd9fe6 (__TEXT,__text) external __subsystem_init
00007ff801005681 (__TEXT,__text) external __swrite
00007ff800fd73e8 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00007ff800fd6f44 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007ff80101b047 (__TEXT,__text) external __time32_to_time
00007ff80101b059 (__TEXT,__text) external __time64_to_time
00007ff80101b07d (__TEXT,__text) external __time_to_int
00007ff80101b06b (__TEXT,__text) external __time_to_long
00007ff80101b050 (__TEXT,__text) external __time_to_time32
00007ff80101b062 (__TEXT,__text) external __time_to_time64
00007ff801025556 (__TEXT,__text) external __unsetenvp
00007ff801006204 (__TEXT,__text) non-external (was a private external) __vasprintf
00007ff801006427 (__TEXT,__text) non-external (was a private external) __vdprintf
00007ff801013fca (__TEXT,__text) non-external (was a private external) __vsnprintf
00007ff80101953c (__TEXT,__text) non-external __yconv
00007ff80101e7d4 (__TEXT,__text) external _a64l
00007ff80103de57 (__TEXT,__text) external _abort
00007ff80103df9e (__TEXT,__text) external _abort_report_np
00007ff80101e883 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007ff800fd2230 (__TEXT,__text) non-external _addToMP
00007ff800ff05dc (__TEXT,__text) non-external _addcmd
00007ff800fd56df (__TEXT,__text) non-external _advance_directory
00007ff80103cbce (__TEXT,__text) non-external _advance_directory.cold.1
00007ff800fea100 (__TEXT,__text) external _alarm
00007ff800fe14e2 (__TEXT,__text) non-external _alloc_segs
00007ff800fefe6d (__TEXT,__text) external _alphasort
00007ff8010405f0 (__TEXT,__const) non-external _ambig
00007ff800fea1b2 (__TEXT,__text) non-external _arc4_init
00007ff80103d11c (__TEXT,__text) non-external _arc4_init.cold.1
00007ff800fea15b (__TEXT,__text) external _arc4random
00007ff800fea155 (__TEXT,__text) external _arc4random_addrandom
00007ff800fea18a (__TEXT,__text) external _arc4random_buf
00007ff800fea1ea (__TEXT,__text) external _arc4random_stir
00007ff800fea1f0 (__TEXT,__text) external _arc4random_uniform
00007ff80102bfc0 (__TEXT,__text) non-external _arrayget
00007ff80101541c (__TEXT,__text) external _asctime
00007ff8010152ef (__TEXT,__text) external _asctime_r
00007ff8010403d0 (__TEXT,__const) non-external _asctime_r.mon_name
00007ff8010403b0 (__TEXT,__const) non-external _asctime_r.wday_name
00007ff800ffdc2f (__TEXT,__text) external _asprintf
00007ff800ffdcf3 (__TEXT,__text) external _asprintf_l
00007ff800fda82e (__TEXT,__text) external _asxprintf
00007ff800fdb2b0 (__TEXT,__text) external _asxprintf_exec
00007ff80102d15b (__TEXT,__text) external _at_quick_exit
00007ff80101e8c1 (__TEXT,__text) external _atexit
00007ff80101ea09 (__TEXT,__text) external _atexit_b
00007ff8400ea8b0 (__DATA,__data) non-external _atexit_mutex
00007ff80101e8f3 (__TEXT,__text) non-external _atexit_register
00007ff80103e05e (__TEXT,__text) non-external _atexit_register.cold.1
00007ff80101ecae (__TEXT,__text) external _atof
00007ff80101ecd8 (__TEXT,__text) external _atof_l
00007ff80101ece7 (__TEXT,__text) external _atoi
00007ff80101ed16 (__TEXT,__text) external _atoi_l
00007ff80101ed2a (__TEXT,__text) external _atol
00007ff80101ed59 (__TEXT,__text) external _atol_l
00007ff80101ed6d (__TEXT,__text) external _atoll
00007ff80101ed9c (__TEXT,__text) external _atoll_l
00007ff800fd2b53 (__TEXT,__text) external _backtrace
00007ff800fd2ba9 (__TEXT,__text) external _backtrace_async
00007ff800fd2c14 (__TEXT,__text) external _backtrace_from_fp
00007ff8400e9308 (__DATA,__data) non-external _backtrace_get_pcs_func
00007ff800fd2c6b (__TEXT,__text) external _backtrace_image_offsets
00007ff800fd2b3a (__TEXT,__text) external _backtrace_set_pcs_func
00007ff800fea2db (__TEXT,__text) external _basename
00007ff8400eb9b0 (__DATA,__bss) non-external _basename.bname
00007ff800fea230 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00007ff800fd84bb (__TEXT,__text) external _bcopy
00007ff800fd250f (__TEXT,__text) non-external _bitCountMP
00007ff80103cba8 (__TEXT,__text) non-external _bitCountMP.cold.1
00007ff801040230 (__TEXT,__const) non-external _blanks
00007ff801040300 (__TEXT,__const) non-external _blanks
00007ff8400eaa50 (__DATA,__data) non-external _blanks
00007ff800fd6854 (__TEXT,__text) non-external _both_ftw
00007ff8400eb848 (__DATA,__bss) non-external _brapreg
00007ff800fcf90c (__TEXT,__text) external _brk
00007ff800fcf924 (__TEXT,__text) external _bsd_signal
00007ff80101edb0 (__TEXT,__text) external _bsearch
00007ff80101ee22 (__TEXT,__text) external _bsearch_b
00007ff800fe0602 (__TEXT,__text) non-external _bt_broot
00007ff800fe035f (__TEXT,__text) non-external _bt_page
00007ff800fe0743 (__TEXT,__text) non-external _bt_preserve
00007ff800fe0780 (__TEXT,__text) non-external _bt_psplit
00007ff800fe026c (__TEXT,__text) non-external _bt_root
00007ff800fe0503 (__TEXT,__text) non-external _bt_rroot
00007ff800ff3e93 (__TEXT,__text) external _btowc
00007ff800ff3dc7 (__TEXT,__text) external _btowc_l
00007ff8400ed550 (__DATA,__bss) non-external _buf_asctime
00007ff8010034c4 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
00007ff80103e838 (__TEXT,__const) non-external (was a private external) _cVersionNumber
00007ff80103e810 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
00007ff800ffdaf7 (__TEXT,__text) external _catclose
00007ff801040138 (__TEXT,__const) non-external _categories.rel
00007ff800ffd7ed (__TEXT,__text) external _catgets
00007ff800ffd0d6 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00007ff800ff183c (__TEXT,__text) external _cfgetispeed
00007ff800ff1832 (__TEXT,__text) external _cfgetospeed
00007ff800ff186e (__TEXT,__text) external _cfmakeraw
00007ff800ff1852 (__TEXT,__text) external _cfsetispeed
00007ff800ff1846 (__TEXT,__text) external _cfsetospeed
00007ff800ff185e (__TEXT,__text) external _cfsetspeed
00007ff800fecfe8 (__TEXT,__text) external _cgetcap
00007ff800fed90a (__TEXT,__text) external _cgetclose
00007ff800fed076 (__TEXT,__text) external _cgetent
00007ff800fed8b9 (__TEXT,__text) external _cgetfirst
00007ff800fed85f (__TEXT,__text) external _cgetmatch
00007ff800fed947 (__TEXT,__text) external _cgetnext
00007ff800fee06a (__TEXT,__text) external _cgetnum
00007ff800fecf64 (__TEXT,__text) external _cgetset
00007ff800fedd29 (__TEXT,__text) external _cgetstr
00007ff800fedf80 (__TEXT,__text) external _cgetustr
00007ff800ff4d76 (__TEXT,__text) non-external _chainsearch
00007ff801040010 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
00007ff800fd5909 (__TEXT,__text) non-external _check_env_var
00007ff800ffdd8f (__TEXT,__text) external _clearerr
00007ff800ffddaf (__TEXT,__text) external _clearerr_unlocked
00007ff800fea32a (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00007ff800fcf758 (__TEXT,__text) external _clock_getres
00007ff800fcf56c (__TEXT,__text) external _clock_gettime
00007ff800fcf348 (__TEXT,__text) external _clock_gettime_nsec_np
00007ff8400f66a4 (__DATA,__common) external _clock_port
00007ff8400f66a0 (__DATA,__common) external _clock_sem
00007ff800fcf7d7 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00007ff800fd5468 (__TEXT,__text) non-external _close_directory
00007ff800fea3a5 (__TEXT,__text) external _closedir
00007ff8400b1c90 (__DATA_CONST,__const) non-external _cnames
00007ff800fe2829 (__TEXT,__text) non-external _collect_data
00007ff800fe29e7 (__TEXT,__text) non-external _collect_key
00007ff801040530 (__TEXT,__const) non-external _command_substitution_str
00007ff800fd5762 (__TEXT,__text) external _compat_mode
00007ff800fd2d08 (__TEXT,__text) external _confstr
00007ff800fdaef5 (__TEXT,__text) external _copy_printf_domain
00007ff80103adb2 (__TEXT,__text) external _creat
00007ff800fdce07 (__TEXT,__text) external _creat$NOCANCEL
00007ff800fea40a (__TEXT,__text) external _ctermid
00007ff8400ea008 (__DATA,__data) non-external _ctermid.def
00007ff800fea434 (__TEXT,__text) external _ctermid_r
00007ff801017160 (__TEXT,__text) external _ctime
00007ff80101717b (__TEXT,__text) external _ctime_r
00007ff8400ea180 (__DATA,__data) non-external _current_categories
00007ff800ff988a (__TEXT,__text) non-external _currentlocale
00007ff8400ebc80 (__DATA,__bss) non-external _currentlocale.current_locale_string
00007ff8400eb8a8 (__DATA,__bss) non-external _curshell
00007ff8400ea918 (__DATA,__data) non-external _dash_prefix
00007ff8400f6730 (__DATA,__common) external _daylight
00007ff800fe4a4c (__TEXT,__text) external _dbm_clearerr
00007ff800fe48ec (__TEXT,__text) external _dbm_close
00007ff800fe49dc (__TEXT,__text) external _dbm_delete
00007ff800fe4a62 (__TEXT,__text) external _dbm_dirfno
00007ff800fe4a3c (__TEXT,__text) external _dbm_error
00007ff800fe48f4 (__TEXT,__text) external _dbm_fetch
00007ff800fe4939 (__TEXT,__text) external _dbm_firstkey
00007ff800fe498e (__TEXT,__text) external _dbm_nextkey
00007ff800fe4816 (__TEXT,__text) external _dbm_open
00007ff800fe4a07 (__TEXT,__text) external _dbm_store
00007ff800fe0e44 (__TEXT,__text) external _dbopen
00007ff8400eba28 (__DATA,__bss) non-external _dbp
00007ff8400eb868 (__DATA,__bss) non-external _decpreg
00007ff8010406c0 (__TEXT,__const) non-external _degrees
00007ff800ff4b29 (__TEXT,__text) non-external _destruct_collate
00007ff801028823 (__TEXT,__text) non-external _destruct_ctype
00007ff800ff73e7 (__TEXT,__text) non-external (was a private external) _destruct_ldpart
00007ff800fd9f89 (__TEXT,__text) non-external _destruct_locale
00007ff800fd3202 (__TEXT,__text) external _devname
00007ff8400eb7c8 (__DATA,__bss) non-external _devname.buf
00007ff800fd3084 (__TEXT,__text) external _devname_r
00007ff80101542d (__TEXT,__text) external _difftime
00007ff800fd7b06 (__TEXT,__text) external _digittoint
00007ff800fd7d85 (__TEXT,__text) external _digittoint_l
00007ff800fdcd62 (__TEXT,__text) external _dirfd
00007ff800fea534 (__TEXT,__text) external _dirname
00007ff8400eb9b8 (__DATA,__bss) non-external _dirname.dname
00007ff800fea455 (__TEXT,__text) external _dirname_r
00007ff80101ee98 (__TEXT,__text) external _div
00007ff8400e9310 (__DATA,__data) non-external _dktypenames
00007ff800ff325c (__TEXT,__text) non-external _do_hvis
00007ff800ff3359 (__TEXT,__text) non-external _do_mvis
00007ff800ff34dc (__TEXT,__text) non-external _do_svis
00007ff800fe6a7c (__TEXT,__text) non-external _dorounding
00007ff800ffddb9 (__TEXT,__text) external _dprintf
00007ff800ffde7d (__TEXT,__text) external _dprintf_l
00007ff800fea583 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00007ff800fd9360 (__TEXT,__text) external _duplocale
00007ff800fda8d5 (__TEXT,__text) external _dxprintf
00007ff800fdb361 (__TEXT,__text) external _dxprintf_exec
00007ff80102709c (__TEXT,__text) external _ecvt
00007ff8400eba90 (__DATA,__bss) non-external _empty
00007ff8400ebaa0 (__DATA,__bss) non-external _empty
00007ff8400ea968 (__DATA,__data) non-external _end_ptr
00007ff800fd619e (__TEXT,__text) external _endttyent
00007ff800fd64f7 (__TEXT,__text) external _endusershell
00007ff80101ef88 (__TEXT,__text) external _environ_lock_np
00007ff8400eb940 (__DATA,__bss) non-external _environ_pointer
00007ff80101ef9e (__TEXT,__text) external _environ_unlock_np
00007ff801014492 (__TEXT,__text) non-external _eofread
00007ff80101495f (__TEXT,__text) non-external _eofread
00007ff800fea610 (__TEXT,__text) external _erand48
00007ff80103d268 (__TEXT,__text) external _err
00007ff800fea823 (__TEXT,__text) external _err_set_exit
00007ff800fea85f (__TEXT,__text) external _err_set_exit_b
00007ff800fea807 (__TEXT,__text) external _err_set_file
00007ff80103d3f1 (__TEXT,__text) external _errc
00007ff80103d461 (__TEXT,__text) external _errx
00007ff80103fb20 (__TEXT,__const) non-external _escape
00007ff800fea8a1 (__TEXT,__text) external _execl
00007ff800feaa25 (__TEXT,__text) external _execle
00007ff800feabc5 (__TEXT,__text) external _execlp
00007ff800fead96 (__TEXT,__text) external _execv
00007ff800feadc0 (__TEXT,__text) external _execvP
00007ff800feadf9 (__TEXT,__text) non-external _execvPe
00007ff80103fc20 (__TEXT,__const) non-external _execvPe_err_preamble
00007ff80103fc30 (__TEXT,__const) non-external _execvPe_err_trailer
                 (undefined) external _execve (from libsystem_kernel)
00007ff800fead46 (__TEXT,__text) external _execvp
00007ff80101eec8 (__TEXT,__text) external _exit
00007ff800fda0f7 (__TEXT,__text) non-external _extract_next_subsystem_root_path
00007ff800fff049 (__TEXT,__text) external _f_prealloc
00007ff800fd0a08 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00007ff800ffdf19 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
00007ff801027285 (__TEXT,__text) external _fcvt
00007ff800ffe03d (__TEXT,__text) external _fdopen
00007ff80103b7b8 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
00007ff800feef78 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
00007ff800ffe152 (__TEXT,__text) external _feof
