00007ffa42a46bb0 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa1696bb52 (__TEXT,__text) non-external _marshal_new_auth.cold.1
00007ffa42a46640 (__DATA,__data) non-external _maxgrplist
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mkstemps (from libSystem)
00007ffa40d602e0 (__DATA_CONST,__const) non-external _nc_tab
00007ffa40d601f0 (__DATA_CONST,__const) non-external _netids
00007ffa16970668 (__TEXT,__const) external _oncrpcVersionNumber
00007ffa16970640 (__TEXT,__const) external _oncrpcVersionString
00007ffa42a469a8 (__DATA,__data) non-external _oncrpc_xprt_init
                 (undefined) external _open (from libSystem)
00007ffa169682d8 (__TEXT,__text) non-external (was a private external) _open_socket
00007ffa42a465f0 (__DATA,__data) non-external _ops
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _pipe (from libSystem)
00007ffa42a46710 (__DATA,__data) non-external _pmap_addrs
00007ffa16960d61 (__TEXT,__text) non-external _pmap_bcastrecv
00007ffa1695ffef (__TEXT,__text) non-external (was a private external) _pmap_getport_timeout
00007ffa16960a98 (__TEXT,__text) non-external _pmap_mcastrecv
                 (undefined) external _poll (from libSystem)
00007ffa42a468f8 (__DATA,__data) non-external _poll_timeout
00007ffa42a46b10 (__DATA,__data) non-external (was a private external) _portmap_netid
00007ffa42a46ba0 (__DATA,__bss) non-external _proglst
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_set_qos_class_np (from libSystem)
                 (undefined) external _pthread_attr_setdetachstate (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait_relative_np (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_exit (from libSystem)
                 (undefined) external _pthread_getspecific (from libSystem)
                 (undefined) external _pthread_getugid_np (from libSystem)
                 (undefined) external _pthread_key_create (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_destroy (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _pthread_rwlock_init (from libSystem)
                 (undefined) external _pthread_rwlock_rdlock (from libSystem)
                 (undefined) external _pthread_rwlock_unlock (from libSystem)
                 (undefined) external _pthread_rwlock_wrlock (from libSystem)
                 (undefined) external _pthread_set_qos_class_self_np (from libSystem)
                 (undefined) external _pthread_setspecific (from libSystem)
                 (undefined) external _pthread_setugid_np (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffa1695ea1c (__TEXT,__text) non-external _readstrm
00007ffa16963681 (__TEXT,__text) non-external _readstrm
00007ffa1696e394 (__TEXT,__text) non-external _readstrm.cold.1
00007ffa1696e442 (__TEXT,__text) non-external _readstrm.cold.2
                 (undefined) external _realloc (from libSystem)
00007ffa1696712e (__TEXT,__text) non-external _realloc_stream
                 (undefined) external _reallocf (from libSystem)
                 (undefined) external _recvfrom (from libSystem)
00007ffa1696836c (__TEXT,__text) non-external (was a private external) _recvfrom_and_to
00007ffa169701ba (__TEXT,__text) non-external _recvfrom_and_to.cold.1
                 (undefined) external _recvmsg (from libSystem)
00007ffa169635ea (__TEXT,__text) non-external _rendezvous_abort_freeargs
00007ffa169635da (__TEXT,__text) non-external _rendezvous_abort_getargs
00007ffa169635e2 (__TEXT,__text) non-external _rendezvous_abort_reply
00007ffa169635f2 (__TEXT,__text) non-external _rendezvous_destroy
00007ffa16963444 (__TEXT,__text) non-external _rendezvous_request
00007ffa1696e238 (__TEXT,__text) non-external _rendezvous_request.cold.1
00007ffa169635cf (__TEXT,__text) non-external _rendezvous_stat
00007ffa1695c976 (__TEXT,__text) external _reply_addr_cache_create
00007ffa1695c9ce (__TEXT,__text) external _reply_addr_cache_destroy
00007ffa42a46750 (__DATA,__data) non-external _reply_dscrm
00007ffa16969144 (__TEXT,__text) non-external _reset_if_addr_cache
00007ffa1695dd40 (__TEXT,__text) non-external _rpc_createerr_destroy
00007ffa42a46b70 (__DATA,__bss) non-external _rpc_createerr_key
00007ffa42a46648 (__DATA,__data) non-external _rpc_createerr_once
00007ffa40d5ff10 (__DATA_CONST,__const) non-external _rpc_errlist
00007ffa42a46728 (__DATA,__data) non-external _rpc_multicast
00007ffa42a46700 (__DATA,__data) non-external _rpcb_addrs
00007ffa1696082e (__TEXT,__text) non-external _rpcb_mcastrecv
00007ffa1696ae04 (__TEXT,__text) non-external _rpcbind_getaddr_generic
00007ffa169685ac (__TEXT,__text) non-external _search_local_ifaddr_cache
                 (undefined) external _sendto (from libSystem)
00007ffa42a46780 (__DATA,__data) non-external _server_ops
00007ffa16966e42 (__TEXT,__text) non-external _set_input_fragment
00007ffa16969006 (__TEXT,__text) non-external (was a private external) _set_local_ephemeral_sockname
00007ffa42a46ab0 (__DATA,__data) non-external _set_retry_timeout
00007ffa42a46b18 (__DATA,__data) non-external _set_retry_timeout
00007ffa42a46ac0 (__DATA,__data) non-external _set_total_timeout
00007ffa42a46b28 (__DATA,__data) non-external _set_total_timeout
                 (undefined) external _setsockopt (from libSystem)
00007ffa16966de8 (__TEXT,__text) non-external _skip_input_bytes
                 (undefined) external _sleep (from libSystem)
00007ffa1695dc3f (__TEXT,__text) non-external _slprintf
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _socket (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror_r (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
00007ffa42a46698 (__DATA,__data) non-external _strm_ops
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strtol (from libSystem)
00007ffa42a46b88 (__DATA,__bss) non-external _svc_active_threads
00007ffa16964c93 (__TEXT,__text) non-external (was a private external) _svc_armxprt
00007ffa1696f420 (__TEXT,__text) non-external _svc_armxprt.cold.1
00007ffa1696f4ce (__TEXT,__text) non-external _svc_armxprt.cold.2
00007ffa1696f557 (__TEXT,__text) non-external _svc_armxprt.cold.3
00007ffa16964e31 (__TEXT,__text) non-external (was a private external) _svc_clear_kq_control
00007ffa16962702 (__TEXT,__text) non-external _svc_complete
00007ffa42a46cd4 (__DATA,__common) non-external (was a private external) _svc_cred_switch
00007ffa42a46808 (__DATA,__data) non-external _svc_exit_cond
00007ffa42a46b8c (__DATA,__bss) non-external _svc_exit_flag
00007ffa169651fc (__TEXT,__text) non-external (was a private external) _svc_get_thread_req
00007ffa42a46ba8 (__DATA,__bss) non-external _svc_head
00007ffa16964e25 (__TEXT,__text) non-external (was a private external) _svc_kq_control
00007ffa42a46908 (__DATA,__data) non-external (was a private external) _svc_listen_backlog
00007ffa42a467b0 (__DATA,__data) non-external (was a private external) _svc_max_threads
00007ffa42a467b4 (__DATA,__data) non-external (was a private external) _svc_min_threads
00007ffa42a467b8 (__DATA,__data) non-external (was a private external) _svc_nreq
00007ffa16964b69 (__TEXT,__text) non-external _svc_oncrpc_start
00007ffa1696f216 (__TEXT,__text) non-external _svc_oncrpc_start.cold.1
00007ffa1696f2c4 (__TEXT,__text) non-external _svc_oncrpc_start.cold.2
00007ffa1696f372 (__TEXT,__text) non-external _svc_oncrpc_start.cold.3
00007ffa42a468c8 (__DATA,__data) non-external _svc_poll_cond
00007ffa42a46888 (__DATA,__data) non-external _svc_poll_lock
00007ffa42a46b90 (__DATA,__bss) non-external _svc_polling
00007ffa16964eb7 (__TEXT,__text) non-external (was a private external) _svc_rearmxprt
00007ffa1696f754 (__TEXT,__text) non-external _svc_rearmxprt.cold.1
00007ffa1696f7f5 (__TEXT,__text) non-external _svc_rearmxprt.cold.2
00007ffa1696f8a3 (__TEXT,__text) non-external _svc_rearmxprt.cold.3
00007ffa42a469c0 (__DATA,__data) non-external _svc_register_lock
00007ffa16965233 (__TEXT,__text) external _svc_req_clone
00007ffa16965382 (__TEXT,__text) external _svc_req_destroy
00007ffa16964d92 (__TEXT,__text) non-external (was a private external) _svc_rmxprt
00007ffa1696f5f8 (__TEXT,__text) non-external _svc_rmxprt.cold.1
00007ffa42a467c0 (__DATA,__data) non-external (was a private external) _svc_stack_size
00007ffa16961f87 (__TEXT,__text) non-external _svc_start_threads
00007ffa16961f34 (__TEXT,__text) non-external _svc_thread
00007ffa42a467c8 (__DATA,__data) non-external _svc_thread_lock
00007ffa42a46cc8 (__DATA,__common) non-external (was a private external) _svc_thread_qos_class
00007ffa42a46ccc (__DATA,__common) non-external (was a private external) _svc_thread_relative_priority
00007ffa16964ff9 (__TEXT,__text) non-external (was a private external) _svc_unarmxprt
00007ffa1696f944 (__TEXT,__text) non-external _svc_unarmxprt.cold.1
00007ffa1696f9cd (__TEXT,__text) non-external _svc_unarmxprt.cold.2
00007ffa42a46838 (__DATA,__data) non-external _svc_workq_lock
00007ffa169647b3 (__TEXT,__text) non-external (was a private external) _svc_xprt_create
00007ffa1696f0ba (__TEXT,__text) non-external _svc_xprt_create.cold.1
00007ffa1696f168 (__TEXT,__text) non-external _svc_xprt_create.cold.2
00007ffa16964a05 (__TEXT,__text) non-external (was a private external) _svc_xprt_destroy
00007ffa40d600b0 (__DATA_CONST,__const) non-external _svcauthsw
00007ffa16961e73 (__TEXT,__text) non-external _svcraw_destroy
00007ffa16961e6b (__TEXT,__text) non-external _svcraw_freeargs
00007ffa16961e5b (__TEXT,__text) non-external _svcraw_getargs
00007ffa16961e48 (__TEXT,__text) non-external _svcraw_recv
00007ffa16961e63 (__TEXT,__text) non-external _svcraw_reply
00007ffa16961e50 (__TEXT,__text) non-external _svcraw_stat
00007ffa1696362b (__TEXT,__text) non-external _svcstrm_destroy
00007ffa1696e2e6 (__TEXT,__text) non-external _svcstrm_destroy.cold.1
00007ffa16962cd6 (__TEXT,__text) non-external _svcstrm_domain_create
00007ffa1696d6f9 (__TEXT,__text) non-external _svcstrm_domain_create.cold.1
00007ffa1696d7a7 (__TEXT,__text) non-external _svcstrm_domain_create.cold.2
00007ffa1696d855 (__TEXT,__text) non-external _svcstrm_domain_create.cold.3
00007ffa16963cc1 (__TEXT,__text) non-external _svcstrm_freeargs
00007ffa16963b6f (__TEXT,__text) non-external _svcstrm_getargs
00007ffa42a46940 (__DATA,__data) non-external _svcstrm_op
00007ffa169639a4 (__TEXT,__text) non-external _svcstrm_recv
00007ffa1696e58b (__TEXT,__text) non-external _svcstrm_recv.cold.1
00007ffa1696e626 (__TEXT,__text) non-external _svcstrm_recv.cold.2
00007ffa1696e6d4 (__TEXT,__text) non-external _svcstrm_recv.cold.3
00007ffa42a46910 (__DATA,__data) non-external _svcstrm_rendezvous_op
00007ffa16963c0b (__TEXT,__text) non-external _svcstrm_reply
00007ffa1696e76f (__TEXT,__text) non-external _svcstrm_reply.cold.1
00007ffa16963b13 (__TEXT,__text) non-external _svcstrm_stat
00007ffa16962e92 (__TEXT,__text) external _svcticots_create
00007ffa16962e9c (__TEXT,__text) external _svcticotsord_create
00007ffa1696d903 (__TEXT,__text) non-external _svcticotsord_create.cold.1
00007ffa1696d9b1 (__TEXT,__text) non-external _svcticotsord_create.cold.2
00007ffa1696da5f (__TEXT,__text) non-external _svcticotsord_create.cold.3
00007ffa1696daf3 (__TEXT,__text) non-external _svcticotsord_create.cold.4
00007ffa1696db92 (__TEXT,__text) non-external _svcticotsord_create.cold.5
00007ffa1696dc2d (__TEXT,__text) non-external _svcticotsord_create.cold.6
00007ffa1696dcdb (__TEXT,__text) non-external _svcticotsord_create.cold.7
00007ffa1696dd89 (__TEXT,__text) non-external _svcticotsord_create.cold.8
00007ffa1696de37 (__TEXT,__text) non-external _svcticotsord_create.cold.9
00007ffa16964755 (__TEXT,__text) non-external _svcudp_destroy
00007ffa1696f00c (__TEXT,__text) non-external _svcudp_destroy.cold.1
00007ffa16964727 (__TEXT,__text) non-external _svcudp_freeargs
00007ffa1696435c (__TEXT,__text) non-external _svcudp_getargs
00007ffa42a46970 (__DATA,__data) non-external _svcudp_op
00007ffa16964048 (__TEXT,__text) non-external _svcudp_recv
00007ffa1696ec31 (__TEXT,__text) non-external _svcudp_recv.cold.1
00007ffa1696ecdf (__TEXT,__text) non-external _svcudp_recv.cold.2
00007ffa169643dd (__TEXT,__text) non-external _svcudp_reply
00007ffa1696ed8d (__TEXT,__text) non-external _svcudp_reply.cold.1
00007ffa1696ee28 (__TEXT,__text) non-external _svcudp_reply.cold.2
00007ffa1696eec3 (__TEXT,__text) non-external _svcudp_reply.cold.3
00007ffa1696ef5e (__TEXT,__text) non-external _svcudp_reply.cold.4
00007ffa16964351 (__TEXT,__text) non-external _svcudp_stat
                 (undefined) external _sys_nerr (from libSystem)
00007ffa1695dd51 (__TEXT,__text) non-external _tsd_init_buf
00007ffa1696c08d (__TEXT,__text) non-external _tsd_init_buf.cold.1
00007ffa1695d679 (__TEXT,__text) non-external _tsd_init_rpc_createerr
00007ffa1696be98 (__TEXT,__text) non-external _tsd_init_rpc_createerr.cold.1
00007ffa42a466c8 (__DATA,__data) non-external _udp_ops
00007ffa16968d05 (__TEXT,__text) non-external _ugetport
00007ffa169628bf (__TEXT,__text) non-external _universal
00007ffa1696d09e (__TEXT,__text) non-external _universal.cold.1
00007ffa1696d139 (__TEXT,__text) non-external _universal.cold.2
00007ffa1696d1cd (__TEXT,__text) non-external _universal.cold.3
                 (undefined) external _unlink (from libSystem)
00007ffa42a46ad0 (__DATA,__data) non-external _unset_retry_timeout
00007ffa42a46b38 (__DATA,__data) non-external _unset_retry_timeout
00007ffa42a46ae0 (__DATA,__data) non-external _unset_total_timeout
00007ffa42a46b48 (__DATA,__data) non-external _unset_total_timeout
                 (undefined) external _vm_allocate (from libSystem)
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) external _vsnprintf (from libSystem)
00007ffa16964e5f (__TEXT,__text) non-external _wakeup_kq
00007ffa1696f6a6 (__TEXT,__text) non-external _wakeup_kq.cold.1
                 (undefined) external _warnx (from libSystem)
00007ffa42a46878 (__DATA,__data) non-external _workq
                 (undefined) external _write (from libSystem)
00007ffa1695eb17 (__TEXT,__text) non-external _writestrm
00007ffa16963848 (__TEXT,__text) non-external _writestrm
00007ffa1696e4dd (__TEXT,__text) non-external _writestrm.cold.1
00007ffa16967468 (__TEXT,__text) non-external _x_destroy
00007ffa16967457 (__TEXT,__text) non-external _x_getpostn
00007ffa169673e7 (__TEXT,__text) non-external _x_inline
00007ffa169673d9 (__TEXT,__text) non-external _x_putbytes
00007ffa169673ca (__TEXT,__text) non-external _x_putlong
00007ffa16967460 (__TEXT,__text) non-external _x_setpostn
00007ffa169619c4 (__TEXT,__text) non-external _xdr_accepted_reply
00007ffa16960f4d (__TEXT,__text) non-external _xdr_callit_args
00007ffa1696649c (__TEXT,__text) non-external (was a private external) _xdr_is_memstream
00007ffa16967118 (__TEXT,__text) non-external (was a private external) _xdr_is_recstream
00007ffa169610db (__TEXT,__text) non-external _xdr_pmapcallres
00007ffa16961a4f (__TEXT,__text) non-external _xdr_rejected_reply
00007ffa16960fc8 (__TEXT,__text) non-external _xdr_rmt3callres
00007ffa16967c00 (__TEXT,__text) external _xdr_vmbytes
00007ffa1697005e (__TEXT,__text) non-external _xdr_vmbytes.cold.1
00007ffa169706e0 (__TEXT,__const) non-external _xdr_zero
00007ffa169665dd (__TEXT,__text) non-external _xdrmem_destroy
00007ffa1696651c (__TEXT,__text) non-external _xdrmem_getbytes
00007ffa169665e3 (__TEXT,__text) non-external _xdrmem_getlong_aligned
00007ffa169664c5 (__TEXT,__text) non-external _xdrmem_getlong_unaligned
00007ffa16966588 (__TEXT,__text) non-external _xdrmem_getpos
00007ffa16966433 (__TEXT,__text) non-external (was a private external) _xdrmem_getrecord
00007ffa1696663d (__TEXT,__text) non-external _xdrmem_inline_aligned
00007ffa169665d5 (__TEXT,__text) non-external _xdrmem_inline_unaligned
00007ffa40d60110 (__DATA_CONST,__const) non-external _xdrmem_ops_aligned
00007ffa40d600c8 (__DATA_CONST,__const) non-external _xdrmem_ops_unaligned
00007ffa16966555 (__TEXT,__text) non-external _xdrmem_putbytes
00007ffa16966610 (__TEXT,__text) non-external _xdrmem_putlong_aligned
00007ffa169664f2 (__TEXT,__text) non-external _xdrmem_putlong_unaligned
00007ffa169665a2 (__TEXT,__text) non-external _xdrmem_setpos
00007ffa16966948 (__TEXT,__text) non-external _xdrrec_destroy
00007ffa1696672c (__TEXT,__text) non-external _xdrrec_getbytes
00007ffa1696665e (__TEXT,__text) non-external _xdrrec_getlong
00007ffa16966828 (__TEXT,__text) non-external _xdrrec_getpos
00007ffa16966fb5 (__TEXT,__text) non-external (was a private external) _xdrrec_getrecord
00007ffa169668fd (__TEXT,__text) non-external _xdrrec_inline
00007ffa16966b11 (__TEXT,__text) non-external (was a private external) _xdrrec_isrecordstart
00007ffa40d60158 (__DATA_CONST,__const) non-external (was a private external) _xdrrec_ops
00007ffa169667a4 (__TEXT,__text) non-external _xdrrec_putbytes
00007ffa169666c6 (__TEXT,__text) non-external _xdrrec_putlong
00007ffa1696687b (__TEXT,__text) non-external _xdrrec_setpos
00007ffa169675e6 (__TEXT,__text) non-external _xdrstdio_destroy
00007ffa1696754b (__TEXT,__text) non-external _xdrstdio_getbytes
00007ffa169674cb (__TEXT,__text) non-external _xdrstdio_getlong
00007ffa169675ab (__TEXT,__text) non-external _xdrstdio_getpos
00007ffa169675de (__TEXT,__text) non-external _xdrstdio_inline
00007ffa40d601a0 (__DATA_CONST,__const) non-external _xdrstdio_ops
00007ffa1696757b (__TEXT,__text) non-external _xdrstdio_putbytes
00007ffa16967512 (__TEXT,__text) non-external _xdrstdio_putlong
00007ffa169675c6 (__TEXT,__text) non-external _xdrstdio_setpos
00007ffa16964a8b (__TEXT,__text) non-external (was a private external) _xprt_ref
00007ffa16964ad1 (__TEXT,__text) non-external (was a private external) _xprt_unref
