00007ffe07467052 (__TEXT,__text) non-external _Done_iODBC
00007ffe4123ede0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffe4123ee10 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffe4123fad0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffe4123faf0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffe4123fb20 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffe4123fb50 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffe4123fbc0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffe4123fc00 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffe4123fc80 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffe4123fce0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffe4123fd60 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffe4123fd90 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffe4123fde0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffe4123faa0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffe4123fe10 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffe4123f270 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffe4123ee40 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffe4123f290 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffe4123ef10 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffe4123ef30 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffe4123efe0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffe4123f310 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffe4123f2c0 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffe4123ec10 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffe0747e3dd (__TEXT,__text) non-external __trace_bufferlen
00007ffe0747dbe2 (__TEXT,__text) non-external __trace_c_type
00007ffe0747b060 (__TEXT,__text) non-external __trace_colattr2_type
00007ffe0747b35c (__TEXT,__text) non-external __trace_colattr3_data
00007ffe0747b09a (__TEXT,__text) non-external __trace_colattr3_type
00007ffe0747786c (__TEXT,__text) non-external __trace_connattr_type
00007ffe0747e6c0 (__TEXT,__text) non-external __trace_connopt_type
00007ffe074803b8 (__TEXT,__text) non-external __trace_connstr
00007ffe0748064e (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffe074805ad (__TEXT,__text) non-external __trace_connstr_w
00007ffe0747f71c (__TEXT,__text) non-external __trace_data
00007ffe07477ae8 (__TEXT,__text) non-external __trace_desc_null
00007ffe0747aa24 (__TEXT,__text) non-external __trace_descfield_type
00007ffe0747f45c (__TEXT,__text) non-external __trace_diag_type
00007ffe0747c82d (__TEXT,__text) non-external __trace_direction
00007ffe0748048f (__TEXT,__text) non-external __trace_drvcn_completion
00007ffe074783c9 (__TEXT,__text) non-external __trace_envattr_type
00007ffe07478a36 (__TEXT,__text) non-external __trace_fetchtype
00007ffe07480af4 (__TEXT,__text) non-external __trace_freestmt_option
00007ffe0747c001 (__TEXT,__text) non-external __trace_func_name
00007ffe0747bf60 (__TEXT,__text) non-external __trace_func_result
00007ffe07478c21 (__TEXT,__text) non-external __trace_getinfo
00007ffe0747d706 (__TEXT,__text) non-external __trace_handle
00007ffe0747d6a1 (__TEXT,__text) non-external __trace_handle_p
00007ffe0747d660 (__TEXT,__text) non-external __trace_handletype
00007ffe0747deec (__TEXT,__text) non-external __trace_inouttype
00007ffe0747d778 (__TEXT,__text) non-external __trace_integer
00007ffe0747d894 (__TEXT,__text) non-external __trace_integer_p
00007ffe0747d971 (__TEXT,__text) non-external __trace_len
00007ffe0747d9ab (__TEXT,__text) non-external __trace_len_p
00007ffe0747d7b1 (__TEXT,__text) non-external __trace_pointer
00007ffe0747d4d3 (__TEXT,__text) non-external __trace_print_function
00007ffe07478b02 (__TEXT,__text) non-external __trace_scrollopt_type
00007ffe0747890c (__TEXT,__text) non-external __trace_setpos_irow
00007ffe07478962 (__TEXT,__text) non-external __trace_setpos_lock
00007ffe07478928 (__TEXT,__text) non-external __trace_setpos_oper
00007ffe0747d73f (__TEXT,__text) non-external __trace_smallint
00007ffe0747d7e9 (__TEXT,__text) non-external __trace_smallint_p
00007ffe074785ea (__TEXT,__text) non-external __trace_spcols_null
00007ffe074785b0 (__TEXT,__text) non-external __trace_spcols_scope
00007ffe07478571 (__TEXT,__text) non-external __trace_spcols_type
00007ffe0747e320 (__TEXT,__text) non-external __trace_sql_subtype
00007ffe0747df2d (__TEXT,__text) non-external __trace_sql_type
00007ffe0747e0fc (__TEXT,__text) non-external __trace_sql_type_p
00007ffe0748083c (__TEXT,__text) non-external __trace_stats_accuracy
00007ffe074807fe (__TEXT,__text) non-external __trace_stats_unique
00007ffe0747e9a0 (__TEXT,__text) non-external __trace_stmtattr_type
00007ffe0747f154 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffe0747da55 (__TEXT,__text) non-external __trace_string
00007ffe0747db07 (__TEXT,__text) non-external __trace_string_w
00007ffe0747d93d (__TEXT,__text) non-external __trace_stringlen
00007ffe4123fe30 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffe0747fe00 (__TEXT,__text) non-external __trace_tran_completion
00007ffe074800a0 (__TEXT,__text) non-external __trace_typeinfo
00007ffe0747d795 (__TEXT,__text) non-external __trace_uinteger
00007ffe0747d8e9 (__TEXT,__text) non-external __trace_uinteger_p
00007ffe0747d98e (__TEXT,__text) non-external __trace_ulen
00007ffe0747da00 (__TEXT,__text) non-external __trace_ulen_p
00007ffe0747d75c (__TEXT,__text) non-external __trace_usmallint
00007ffe0747d83f (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffe4338e1e2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffe074818fd (__TEXT,__text) non-external _dm_SQL_A2W
00007ffe07481e1a (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffe0748188d (__TEXT,__text) non-external _dm_SQL_W2A
00007ffe07481b40 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffe07481971 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffe07482025 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffe07481a09 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffe07481a9b (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffe07481aef (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffe074834d6 (__TEXT,__text) non-external _do_create_dsns
00007ffe4338e1a0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffe4338e180 (__DATA,__common) non-external _ierror
00007ffe074835ff (__TEXT,__text) non-external _install_from_ini
00007ffe07483abe (__TEXT,__text) non-external _install_from_string
00007ffe4338dbe0 (__DATA,__data) external _iodbc_version
00007ffe4338e0c0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffe4338e108 (__DATA,__data) non-external _numerrors
00007ffe4338dbf0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffe4338e110 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffe07483ca0 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffe4123e150 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffe4338e160 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffe0747a3fd (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffe0747e628 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffe0747aee3 (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffe0747c77d (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffe0747ae48 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffe0747b8d1 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffe0747e4b0 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffe0747e56c (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffe07478515 (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffe0747f6a9 (__TEXT,__text) non-external _trace_SQLCancel
00007ffe0747c803 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffe0747b2c8 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffe0747b6a8 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffe0747b73f (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffe0747b7ee (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffe0747f27b (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffe0747f36a (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffe0747a4c4 (__TEXT,__text) non-external _trace_SQLColumns
00007ffe0747a5b3 (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffe0747eccb (__TEXT,__text) non-external _trace_SQLConnect
00007ffe0747ed8b (__TEXT,__text) non-external _trace_SQLConnectW
00007ffe074789fd (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffe0747c88c (__TEXT,__text) non-external _trace_SQLDataSources
00007ffe0747c971 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffe07477b5a (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffe07477c46 (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffe0747f1d6 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffe0747c7d9 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffe074802d4 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffe074804c9 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffe0747bb30 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffe0747bc15 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffe0747a3b8 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffe07477f5e (__TEXT,__text) non-external _trace_SQLError
00007ffe0747804d (__TEXT,__text) non-external _trace_SQLErrorW
00007ffe0747c5ce (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffe0747c62c (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffe07478547 (__TEXT,__text) non-external _trace_SQLExecute
00007ffe07478a77 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffe0747cb09 (__TEXT,__text) non-external _trace_SQLFetch
00007ffe0747e675 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffe0747ee4b (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffe0747ef8f (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffe0747f12a (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffe074788e2 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffe0747a386 (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffe07480b2e (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffe074779d8 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffe07477a60 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffe0747e880 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffe0747e8c8 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffe0747af4d (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffe0747afd5 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffe0747fd30 (__TEXT,__text) non-external _trace_SQLGetData
00007ffe0747ad18 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffe0747adb0 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffe07477d32 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffe07477e48 (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffe0747f574 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffe0747f61c (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffe0747820a (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffe074782e9 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffe07478436 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffe0747c578 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffe07478b94 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffe0747a0d4 (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffe0747ebd4 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffe0747ec5c (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffe0747f18e (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffe07480270 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffe074802a2 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffe0747fdd6 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffe0747a881 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffe0747a952 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffe0747a6a2 (__TEXT,__text) non-external _trace_SQLNumParams
00007ffe0747f0d3 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffe0747b89d (__TEXT,__text) non-external _trace_SQLParamData
00007ffe0747a459 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffe07480b60 (__TEXT,__text) non-external _trace_SQLPrepare
00007ffe07480bbe (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffe0747bcfa (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffe0747bdbe (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffe0747a161 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffe0747a250 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffe0747b9a8 (__TEXT,__text) non-external _trace_SQLProcedures
00007ffe0747ba6c (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffe0747f6d3 (__TEXT,__text) non-external _trace_SQLPutData
00007ffe074784be (__TEXT,__text) non-external _trace_SQLRowCount
00007ffe0748075c (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffe074807ad (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffe0747e910 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffe0747e958 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffe0747ca4f (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffe0747caac (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffe0747813c (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffe074781a3 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffe0747be82 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffe0747c68a (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffe0747899c (__TEXT,__text) non-external _trace_SQLSetPos
00007ffe07478b43 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffe0747c6db (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffe0747c72c (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffe0747a33f (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffe07478628 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffe07478785 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffe0748087a (__TEXT,__text) non-external _trace_SQLStatistics
00007ffe074809b7 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffe0747a6f9 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffe0747a7bd (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffe0747fec0 (__TEXT,__text) non-external _trace_SQLTables
00007ffe0747ffaf (__TEXT,__text) non-external _trace_SQLTablesW
00007ffe0747fe40 (__TEXT,__text) non-external _trace_SQLTransact
00007ffe4338e140 (__DATA,__bss) non-external _trace_appname
00007ffe0747d042 (__TEXT,__text) non-external _trace_emit
00007ffe0747d349 (__TEXT,__text) non-external _trace_emit_binary
00007ffe0747d133 (__TEXT,__text) non-external _trace_emit_string
00007ffe0747d10d (__TEXT,__text) non-external _trace_emitc
00007ffe4338e148 (__DATA,__bss) non-external _trace_fname
00007ffe4338e150 (__DATA,__bss) non-external _trace_fp
00007ffe4338e158 (__DATA,__bss) non-external _trace_fp_close
00007ffe0747cb64 (__TEXT,__text) non-external _trace_get_filename
00007ffe0747cb34 (__TEXT,__text) non-external _trace_set_appname
00007ffe0747cb75 (__TEXT,__text) non-external _trace_set_filename
00007ffe0747ce0c (__TEXT,__text) non-external _trace_start
00007ffe0747cfa2 (__TEXT,__text) non-external _trace_stop
00007ffe0747cdb9 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffe07481fd2 (__TEXT,__text) non-external _utf8_len
00007ffe0748209d (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffe4338e1e0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
