00007ff901314fc0 (__TEXT,__text) non-external +[Calculate _lock]
00007ff901311200 (__TEXT,__text) non-external -[UnitRanks containsCurrency]
00007ff9013111e2 (__TEXT,__text) non-external -[UnitRanks containsFrom]
00007ff9013111ec (__TEXT,__text) non-external -[UnitRanks containsTo]
00007ff9013111f6 (__TEXT,__text) non-external -[UnitRanks containsUnit]
00007ff901310da9 (__TEXT,__text) non-external -[UnitRanks initWithUnitsInfo:]
00007ff901310e72 (__TEXT,__text) non-external -[UnitRanks init]
00007ff901310f6a (__TEXT,__text) non-external -[UnitRanks isAmbiguous]
00007ff9013111c7 (__TEXT,__text) non-external -[UnitRanks ranks]
00007ff9013111d1 (__TEXT,__text) non-external -[UnitRanks setRanks:]
00007ff90131123b (__TEXT,__text) non-external -[UnitRanks setUnits:]
00007ff901311220 (__TEXT,__text) non-external -[UnitRanks setUnitsInfo:]
00007ff901310f21 (__TEXT,__text) non-external -[UnitRanks sort]
00007ff90131120a (__TEXT,__text) non-external -[UnitRanks unitsInfo]
00007ff901311231 (__TEXT,__text) non-external -[UnitRanks units]
00007ff901311cad (__TEXT,__text) non-external -[UnitTypeInfo .cxx_destruct]
00007ff901311c4d (__TEXT,__text) non-external -[UnitTypeInfo baseUnit]
00007ff901311b6d (__TEXT,__text) non-external -[UnitTypeInfo decompositionCoefficient]
00007ff901311b89 (__TEXT,__text) non-external -[UnitTypeInfo decomposition]
00007ff901311c87 (__TEXT,__text) non-external -[UnitTypeInfo isCurrency]
00007ff901311b5a (__TEXT,__text) non-external -[UnitTypeInfo isDecomposable]
00007ff901311c74 (__TEXT,__text) non-external -[UnitTypeInfo isTemperature]
00007ff901311c9a (__TEXT,__text) non-external -[UnitTypeInfo isVolume]
00007ff901311b3f (__TEXT,__text) non-external -[UnitTypeInfo name]
00007ff901311c63 (__TEXT,__text) non-external -[UnitTypeInfo setBaseUnit:]
00007ff901311bdd (__TEXT,__text) non-external -[UnitTypeInfo setDecomposition:]
00007ff901311b7b (__TEXT,__text) non-external -[UnitTypeInfo setDecompositionCoefficient:]
00007ff901311c91 (__TEXT,__text) non-external -[UnitTypeInfo setIsCurrency:]
00007ff901311b64 (__TEXT,__text) non-external -[UnitTypeInfo setIsDecomposable:]
00007ff901311c7e (__TEXT,__text) non-external -[UnitTypeInfo setIsTemperature:]
00007ff901311ca4 (__TEXT,__text) non-external -[UnitTypeInfo setIsVolume:]
00007ff901311b49 (__TEXT,__text) non-external -[UnitTypeInfo setName:]
00007ff901311b36 (__TEXT,__text) non-external -[UnitTypeInfo setUnitType:]
00007ff901311c3c (__TEXT,__text) non-external -[UnitTypeInfo setUnits:]
00007ff901311b2d (__TEXT,__text) non-external -[UnitTypeInfo unitType]
00007ff901311c32 (__TEXT,__text) non-external -[UnitTypeInfo units]
00007ff901313fe1 (__TEXT,__text) non-external -[UnitsInfo .cxx_destruct]
00007ff901313f6c (__TEXT,__text) non-external -[UnitsInfo angleInfo]
00007ff901313f93 (__TEXT,__text) non-external -[UnitsInfo degreesInfo]
00007ff901313eae (__TEXT,__text) non-external -[UnitsInfo infoForAngle]
00007ff901313ec0 (__TEXT,__text) non-external -[UnitsInfo infoForDegrees]
00007ff901313ed2 (__TEXT,__text) non-external -[UnitsInfo infoForRadians]
00007ff901313d69 (__TEXT,__text) non-external -[UnitsInfo infoForUnitID:]
00007ff901313e10 (__TEXT,__text) non-external -[UnitsInfo infoForUnitName:]
00007ff901313c48 (__TEXT,__text) non-external -[UnitsInfo infoForUnitType:]
00007ff901313cef (__TEXT,__text) non-external -[UnitsInfo infoForUnitTypeName:]
00007ff901311fb6 (__TEXT,__text) non-external -[UnitsInfo initWithDictionary:]
00007ff901313e9c (__TEXT,__text) non-external -[UnitsInfo objectAtIndexedSubscript:]
00007ff901313e8a (__TEXT,__text) non-external -[UnitsInfo objectForKeyedSubscript:]
00007ff901311cde (__TEXT,__text) non-external -[UnitsInfo populateSubunitIDs:forUnit:visited:]
00007ff901313fba (__TEXT,__text) non-external -[UnitsInfo radiansInfo]
00007ff901313f82 (__TEXT,__text) non-external -[UnitsInfo setAngleInfo:]
00007ff901313fa9 (__TEXT,__text) non-external -[UnitsInfo setDegreesInfo:]
00007ff901313fd0 (__TEXT,__text) non-external -[UnitsInfo setRadiansInfo:]
00007ff901313f25 (__TEXT,__text) non-external -[UnitsInfo setUnitIDToInfo:]
00007ff901313f0a (__TEXT,__text) non-external -[UnitsInfo setUnitNameToInfo:]
00007ff901313f40 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeNameToInfo:]
00007ff901313f5b (__TEXT,__text) non-external -[UnitsInfo setUnitTypeToInfo:]
00007ff901313eee (__TEXT,__text) non-external -[UnitsInfo unitCount]
00007ff901313f1b (__TEXT,__text) non-external -[UnitsInfo unitIDToInfo]
00007ff901313f00 (__TEXT,__text) non-external -[UnitsInfo unitNameToInfo]
00007ff901313ee4 (__TEXT,__text) non-external -[UnitsInfo unitNames]
00007ff901313ef7 (__TEXT,__text) non-external -[UnitsInfo unitTypeCount]
00007ff901313f36 (__TEXT,__text) non-external -[UnitsInfo unitTypeNameToInfo]
00007ff901313f51 (__TEXT,__text) non-external -[UnitsInfo unitTypeToInfo]
00007ff90149a5d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00007ff90149a5f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00007ff90149a5e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00007ff90149a650 (__TEXT,__gcc_except_tab) non-external GCC_except_table392
00007ff90149ade8 (__TEXT,__gcc_except_tab) non-external GCC_except_table424
00007ff90149a61c (__TEXT,__gcc_except_tab) non-external GCC_except_table43
00007ff90149ae08 (__TEXT,__gcc_except_tab) non-external GCC_except_table575
00007ff90149af18 (__TEXT,__gcc_except_tab) non-external GCC_except_table610
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesSetAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringTokenizerAdvanceToNextToken (from CoreFoundation)
                 (undefined) external _CFStringTokenizerCreate (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGetCurrentTokenRange (from CoreFoundation)
00007ff9013255d6 (__TEXT,__text) external _CalculateExpression
00007ff9013252f6 (__TEXT,__text) external _CalculateExpressionError
00007ff9013255e3 (__TEXT,__text) external _CalculateInternationalExpression
00007ff94028db70 (__DATA_CONST,__const) external _CalculateKeyAllowConversions
00007ff94028db60 (__DATA_CONST,__const) external _CalculateKeyAllowPartialExpressions
00007ff94028db68 (__DATA_CONST,__const) external _CalculateKeyAllowUnits
00007ff94028db48 (__DATA_CONST,__const) external _CalculateKeyAutoScientificNotation
00007ff94028db58 (__DATA_CONST,__const) external _CalculateKeyConvertTrivial
00007ff94028db88 (__DATA_CONST,__const) external _CalculateKeyEngine
00007ff94028db98 (__DATA_CONST,__const) external _CalculateKeyExpectedUnitTypes
00007ff94028db50 (__DATA_CONST,__const) external _CalculateKeyFlexibleFractionDigits
00007ff94028db90 (__DATA_CONST,__const) external _CalculateKeyIgnoreProbableSearches
00007ff94028db38 (__DATA_CONST,__const) external _CalculateKeyLocales
00007ff94028dba0 (__DATA_CONST,__const) external _CalculateKeyLocalizeUnit
00007ff94028db78 (__DATA_CONST,__const) external _CalculateKeyMaximumConversions
00007ff94028db40 (__DATA_CONST,__const) external _CalculateKeyNumberFormatter
00007ff94028db80 (__DATA_CONST,__const) external _CalculateKeyPreferMixedUnits
00007ff901310a05 (__TEXT,__text) non-external _CalculateLogForCategory
00007ff941f71340 (__DATA,__bss) non-external _CalculateLogForCategory.logObjects.0
00007ff941f71348 (__DATA,__bss) non-external _CalculateLogForCategory.loggingToken
00007ff9013252e3 (__TEXT,__text) external _CalculatePerformExpression
00007ff9012ff640 (__TEXT,__text) non-external _CountLeadingZeros
00007ff941f712e8 (__DATA,__bss) non-external _DecimalPi.initialized
00007ff941f712d0 (__DATA,__bss) non-external _DecimalPi.pi.0
00007ff941f712e0 (__DATA,__bss) non-external _DecimalPi.pi.1
00007ff901307d89 (__TEXT,__text) non-external _DecimalToDegrees
00007ff941f71328 (__DATA,__bss) non-external _DecimalToDegrees.initialized
00007ff941f71310 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.0
00007ff941f71320 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.1
00007ff941f71308 (__DATA,__bss) non-external _DecimalToRadians.initialized
00007ff941f712f0 (__DATA,__bss) non-external _DecimalToRadians.to_radians.0
00007ff941f71300 (__DATA,__bss) non-external _DecimalToRadians.to_radians.1
00007ff941f712a8 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.initialized
00007ff941f71290 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.0
00007ff941f712a0 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.1
00007ff941f712c8 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.initialized
00007ff941f712b0 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.0
00007ff941f712c0 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.1
00007ff941f71268 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.initialized
00007ff941f71250 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.0
00007ff941f71260 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.1
00007ff941f71288 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.initialized
00007ff941f71270 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.0
00007ff941f71280 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.1
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSDecimalCompare (from Foundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleGroupingSeparator (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystem (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemMetric (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUK (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUS (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnit (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnitCelsius (from CoreFoundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringTransformStripDiacritics (from CoreFoundation)
00007ff941f70970 (__DATA,__objc_data) external _OBJC_CLASS_$_Calculate
00007ff941f70a88 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateRequest
00007ff941f70a10 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateResult
00007ff941f709e8 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateTerm
00007ff941f70b00 (__DATA,__objc_data) non-external _OBJC_CLASS_$_CalculateToken
00007ff941f70b50 (__DATA,__objc_data) non-external _OBJC_CLASS_$_CalculateTokenizer
00007ff941f70998 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateUnit
00007ff941f70718 (__DATA,__objc_data) external _OBJC_CLASS_$_Converter
00007ff941f70740 (__DATA,__objc_data) external _OBJC_CLASS_$_CurrencyCache
00007ff941f70bf0 (__DATA,__objc_data) non-external _OBJC_CLASS_$_Localize
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCache (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDoubleNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumberHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableURLRequest (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OACredential (from OAuth)
                 (undefined) external _OBJC_CLASS_$_OAURLRequestSigner (from OAuth)
00007ff941f70b78 (__DATA,__objc_data) non-external _OBJC_CLASS_$_Trie
00007ff941f708f8 (__DATA,__objc_data) non-external _OBJC_CLASS_$_TrieNode
00007ff941f70830 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitInfo
00007ff941f70bc8 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitRank
00007ff941f70ba0 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitRanks
00007ff941f708a8 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitTypeInfo
00007ff941f70c40 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitsInfo
                 (undefined) external _OBJC_EHTYPE_id (from libobjc)
00007ff941f70618 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._expression
00007ff941f70610 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._isCanceled
00007ff941f70620 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._options
00007ff941f70628 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._result
00007ff941f70630 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._resultHandler
00007ff941f70568 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._autoScientificNotation
00007ff941f705d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._conversions
00007ff941f705a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._expression
00007ff941f70570 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._flexibleFractionDigits
00007ff941f70580 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._hasStaleCurrencyData
00007ff941f705d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._inputValueAndUnit
00007ff941f70578 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._isTrivial
00007ff941f705b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._locales
00007ff941f70590 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._localizeUnit
00007ff941f705b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._numberFormatter
00007ff941f705e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parent
00007ff941f705e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parseTree
00007ff941f705f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._resultTree
00007ff941f705a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._singleUnitID
00007ff941f70588 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._synchronous
00007ff941f705c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._terms
00007ff941f70608 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._typeInfo
00007ff941f70598 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitExponent
00007ff941f705f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitFormat
00007ff941f705c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitType
00007ff941f70600 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitsInfo
00007ff941f70560 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._decimalValue
00007ff941f70558 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._result
00007ff941f70550 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._units
00007ff941f70548 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._value
00007ff941f70650 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._range
00007ff941f70648 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._ranks
00007ff941f70640 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._text
00007ff941f70638 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._tokenType
00007ff941f70658 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._index
00007ff941f70698 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._lastToken
00007ff941f70668 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._locales
00007ff941f70688 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekIndex
00007ff941f70690 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekTokens
00007ff941f70660 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._string
00007ff941f70680 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._stringLength
00007ff941f70678 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._trie
00007ff941f70670 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._unitsInfo
00007ff941f706a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndices
00007ff941f706a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndicesIndex
00007ff941f70520 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._exponent
00007ff941f70528 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._name
00007ff941f70538 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._nextSmallest
00007ff941f70540 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitInfo
00007ff941f70530 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitType
00007ff941f70708 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._additionalResults
00007ff941f70710 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._conversionType
00007ff941f70700 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._currencyUpdateTimeOut
00007ff941f706b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputString
00007ff941f706b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputUnit
00007ff941f706d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputValue
00007ff941f706f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._isCurrency
00007ff941f706d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedInputValueAndUnit
00007ff941f706f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputUnit
00007ff941f706e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValue
00007ff941f706e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValueAndUnit
00007ff941f706c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputUnit
00007ff941f706c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputValue
00007ff941f702d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currencyData
00007ff941f702d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentCurrency
00007ff941f702e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentRate
00007ff941f702e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentString
00007ff941f702b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._lastRefreshDate
00007ff941f70300 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lastRefreshTimeInternal
00007ff941f70308 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lock
00007ff941f702f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._mutableCurrencyCache
00007ff941f702c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._refreshInterval
00007ff941f702f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._serializer
00007ff941f702c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._timeout
00007ff941f702b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._uuid
00007ff941f704c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._autocompress
00007ff941f704d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterCount
00007ff941f704e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterSize
00007ff941f70500 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characters
00007ff941f704d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._compressed
00007ff941f70518 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._firstByteCache
00007ff941f704e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeCount
00007ff941f704f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeSize
00007ff941f70508 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodes
00007ff941f70510 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._objects
00007ff941f704f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._root
00007ff941f704b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._node
00007ff941f704b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._offset
00007ff941f704c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._trie
00007ff941f703f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._allSubunitIDs
00007ff941f70408 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseDenominator
00007ff941f70400 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseNumerator
00007ff941f703d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._bestEquivalent
00007ff941f703a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._doNotSuggest
00007ff941f703a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._formatNextSmallest
00007ff941f70380 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._impliesDivision
00007ff941f70370 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isBaseUnit
00007ff941f70390 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isCelsius
00007ff941f70378 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isDisplayName
00007ff941f70388 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isFahrenheit
00007ff941f70368 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isInverted
00007ff941f70398 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isKelvin
00007ff941f703f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._localizationToCompactName
00007ff941f703d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._measurementSystem
00007ff941f703c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._name
00007ff941f703e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._nextSmallest
00007ff941f703e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._subunitIDs
00007ff941f703c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._typeInfo
00007ff941f703b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitID
00007ff941f703b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitType
00007ff941f70328 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._context
00007ff941f70320 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._locale
00007ff941f70318 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._rank
00007ff941f70310 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._unitID
00007ff941f70348 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsCurrency
00007ff941f70330 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsFrom
00007ff941f70338 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsTo
00007ff941f70340 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsUnit
00007ff941f70350 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._ranks
00007ff941f70360 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._units
00007ff941f70358 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._unitsInfo
00007ff941f70448 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._baseUnit
00007ff941f70458 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decomposition
00007ff941f70450 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decompositionCoefficient
