00007ffb1c4eacf0 (__TEXT,__text) non-external +[ODCAction action]
00007ffb42bdcf00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._finishRecoveryCallbacks
00007ffb42bdcf18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._finished
00007ffb42bdcfa0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._legacyBinding
00007ffb42bdcf90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._localizeProgressStatus
00007ffb42bdcf48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._needsRecovery
00007ffb42bdcfa8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odConfigNode
00007ffb42bdcf78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odSession
00007ffb42bdcf58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffb42bdcf28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffb42bdcf30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffb42bdcf40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffb42bdcf08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffb42bdcf80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffb42bdcf98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffb42bdcf88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffb42bdcec8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffb42bdcfb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffb42bdcf10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffb42bdcf50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffb42bdcf60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffb42bdcf68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffb42bdcec0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffb42bdceb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffb42bdcea0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffb42bdce70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffb42bdcea8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffb42bdce48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffb42bdce90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffb42bdce60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffb42bdce68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffb42bdce88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffb42bdce58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffb42bdce80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffb42bdce40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffb42bdce98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffb42bdce78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffb42bdce50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffb42bdd000 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffb42bdcfe8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffb42bdd008 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffb42bdcfe0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffb42bdd010 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffb42bdd020 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffb42bdcff8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffb42bdd018 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffb42bdcff0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffb42bdd078 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffb42bdcfd0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffb42bdcfc8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffb42bdcfd8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffb42bdcfb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffb42bdcfc0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffb42bdd060 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffb42bdd068 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffb42bdd070 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffb42bdd048 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffb42bdd058 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffb42bdd050 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffb42bdd038 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffb42bdd030 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffb42bdd040 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffb42bdd028 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb42bdd0f8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffb42bdd0a8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffb42bdd198 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffb42bdd288 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffb42bdd148 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffb42bdd238 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffb42bdd1e8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffb40bb0a88 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffb40bb0a80 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffb40bb0a98 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffb40bb0a90 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffb40bb0978 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffb40bb0980 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffb40bb0988 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffb40bb0990 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffb40bb0998 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffb40bb09a0 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffb40bb0a68 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffb40bb0a30 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffb40bb0a38 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffb40bb09c0 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffb40bb09c8 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffb40bb09d0 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffb40bb09d8 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffb40bb09e0 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffb40bb09e8 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffb40bb09f0 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffb40bb09f8 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffb40bb0a58 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffb40bb0970 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffb40bb0a18 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffb40bb0a20 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffb40bb0a28 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffb40bb0a50 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffb40bb09a8 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffb40bb09b0 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffb40bb09b8 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffb40bb0a48 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffb40bb0a40 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffb40bb0a78 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffb40bb0a70 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffb40bb0a60 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffb40bb0a00 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffb40bb0a08 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffb40bb0a10 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb1c4f75c8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffb1c4f7400 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb1c4f7fa0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb1c4f7f08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer(PrivateMethods)
00007ffb1c4f7640 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffb1c4f7418 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb1c4f7d50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffb1c4f7fb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb1c4f7c90 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffb1c4f7f28 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffb1c4f7e70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffb40bb3040 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffb40bb2cd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffb40bb38d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffb40bb3e40 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffb40bb3740 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffb40bb3c80 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffb40bb3b20 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffb40bb3448 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffb40bb2eb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffb40bb39f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffb40bb3e68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffb40bb37e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffb40bb3d48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffb40bb3ba8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffb40bb36b0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffb40bb2fb0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffb40bb3a90 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffb40bb3e80 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffb40bb3840 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffb40bb3db0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffb40bb3bf0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffb40bb2ff8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffb40bb2c88 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffb40bb3888 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffb40bb3df8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffb40bb36f8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffb40bb3c38 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffb40bb3ad8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb1c4ead3e (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffb1c4f2d28 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffb1c4e87a3 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffb1c4e8996 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffb1c4ebba5 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffb1c4e8779 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb1c4e8790 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb1c4f8070 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffb1c4f8030 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffb1c4f6f6c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffb1c4f6f2a (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb40bb0aa0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffb40bb0ae0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffb40bb0940 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffb40bb0910 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffb40bb0d08 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb40bb0d48 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffb40bb0ac0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb40bb0d28 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb40bb0d68 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffb1c4e89a4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffb1c4e88f3 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffb1c4e89bb (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffb1c4e894f (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffb1c4f704b (__TEXT,__text) non-external ___fixup_schema2
00007ffb1c4f7061 (__TEXT,__text) non-external ___fixup_schema3
00007ffb1c4f708f (__TEXT,__text) non-external ___fixup_schema4
00007ffb1c4f7148 (__TEXT,__text) non-external ___fixup_schema5
00007ffb1c4f6def (__TEXT,__text) non-external ___get_keyinfo
00007ffb42bdd2f0 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffb1c4f671e (__TEXT,__text) non-external __schema_construct
00007ffb1c4f6921 (__TEXT,__text) non-external __schema_deconstruct
00007ffb1c4f6e4a (__TEXT,__text) non-external __schema_validate_type
00007ffb42bdd2d0 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffb1c4f7209 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffb42bdd2e8 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffb42bdd2d8 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffb42bdd2e0 (__DATA,__bss) non-external __schema_validate_type.num
00007ffb42bdd2c0 (__DATA,__bss) non-external __schema_validate_type.once
00007ffb42bdd2c8 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffb42bdd2b0 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffb40bb0c98 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffb40bb0ca0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffb40bb0ca8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffb40bb0cb0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffb40bb0cb8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffb40bb0b50 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffb40bb0b58 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffb40bb0b60 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffb40bb0b68 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffb40bb0b90 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffb40bb0b70 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffb40bb0b78 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffb40bb0b88 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffb40bb0b80 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffb40bb0b98 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffb40bb0ba0 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffb40bb0ba8 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffb40bb0bb0 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffb40bb0bb8 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffb40bb0bc8 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffb40bb0bc0 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffb40bb0bd0 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffb40bb0bd8 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffb40bb0be0 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffb40bb0c40 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffb40bb0c38 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffb40bb0c58 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffb40bb0c60 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffb40bb0c50 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffb40bb0c48 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffb40bb0c30 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffb40bb0be8 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffb40bb0bf0 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffb40bb0c00 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffb40bb0c08 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffb40bb0c10 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffb40bb0c18 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffb40bb0bf8 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffb40bb0c20 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffb40bb0c28 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffb40bb0cc0 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffb40bb0cd0 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffb40bb0cd8 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffb40bb0ce0 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffb40bb0ce8 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffb40bb0cf0 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffb40bb0cf8 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffb40bb0cc8 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffb40bb0d00 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffb1c4f80e0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffb40bb0c80 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffb40bb0c90 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffb40bb0c88 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffb40bb0c78 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffb40bb0c70 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffb40bb0c68 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
