00000001d98a3330 (__DATA,__common) external _BC
                 (undefined) external _remove (from libSystem)
00000001a6f66048 (__TEXT,__text) external _reset_prog_mode
00000001a6f660bc (__TEXT,__text) external _reset_shell_mode
00000001a6f661a0 (__TEXT,__text) external _resetty
00000001a6f69a98 (__TEXT,__text) external _resize_term
00000001a6f69d2c (__TEXT,__text) external _resizeterm
00000001a6f62620 (__TEXT,__text) external _restartterm
00000001a6f63974 (__TEXT,__text) external _ripoffline
00000001a6f6613c (__TEXT,__text) external _savetty
00000001a6f62744 (__TEXT,__text) external _scanw
00000001a6f62b64 (__TEXT,__text) external _scr_dump
00000001a6f62bd0 (__TEXT,__text) external _scr_init
00000001a6f62ae0 (__TEXT,__text) external _scr_restore
00000001a6f62c7c (__TEXT,__text) external _scr_set
00000001a6f7135c (__TEXT,__text) external _scrl
00000001a6f71370 (__TEXT,__text) external _scroll
00000001a6f62fb8 (__TEXT,__text) external _scrollok
                 (undefined) external _select (from libSystem)
00000001a6f4f81c (__TEXT,__text) external _set_curterm
00000001a6f5c1cc (__TEXT,__text) external _set_escdelay
00000001a6f639c4 (__TEXT,__text) external _set_tabsize
00000001a6f63018 (__TEXT,__text) external _set_term
00000001a6f5a428 (__TEXT,__text) external _setcchar
                 (undefined) external _setlocale (from libSystem)
00000001a6f71378 (__TEXT,__text) external _setscrreg
00000001a6f63bf8 (__TEXT,__text) external _setupterm
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _sigaction (from libSystem)
                 (undefined) external _sigprocmask (from libSystem)
                 (undefined) external _sleep (from libSystem)
00000001a6f64260 (__TEXT,__text) external _slk_attr
00000001a6f71390 (__TEXT,__text) external _slk_attr_off
00000001a6f713a0 (__TEXT,__text) external _slk_attr_on
00000001a6f64104 (__TEXT,__text) external _slk_attr_set
00000001a6f64174 (__TEXT,__text) external _slk_attroff
00000001a6f641c8 (__TEXT,__text) external _slk_attron
00000001a6f64224 (__TEXT,__text) external _slk_attrset
00000001a6f64288 (__TEXT,__text) external _slk_clear
00000001a6f64334 (__TEXT,__text) external _slk_color
00000001a6f64390 (__TEXT,__text) external _slk_init
00000001a6f643dc (__TEXT,__text) external _slk_label
00000001a6f6442c (__TEXT,__text) external _slk_noutrefresh
00000001a6f64730 (__TEXT,__text) external _slk_refresh
00000001a6f63fd4 (__TEXT,__text) external _slk_restore
00000001a6f647a4 (__TEXT,__text) external _slk_set
00000001a6f64ae4 (__TEXT,__text) external _slk_touch
00000001a6f63ffc (__TEXT,__text) external _slk_wset
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _sscanf (from libSystem)
00000001a6f713cc (__TEXT,__text) external _standend
00000001a6f713b0 (__TEXT,__text) external _standout
00000001a6f5a904 (__TEXT,__text) external _start_color
                 (undefined) external _stat (from libSystem)
00000001d98a31e8 (__DATA,__common) external _stdscr
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
00000001d5872cc8 (__DATA_CONST,__const) external _strcodes
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
00000001d5874c08 (__DATA_CONST,__const) external _strfnames
                 (undefined) external _strlen (from libSystem)
00000001d5873f10 (__DATA_CONST,__const) external _strnames
                 (undefined) external _strncat (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _strtol (from libSystem)
00000001a6f61210 (__TEXT,__text) external _subpad
00000001a6f608e8 (__TEXT,__text) external _subwin
00000001a6f675b0 (__TEXT,__text) external _syncok
                 (undefined) external _tcflush (from libSystem)
                 (undefined) external _tcgetattr (from libSystem)
                 (undefined) external _tcgetpgrp (from libSystem)
                 (undefined) external _tcsetattr (from libSystem)
00000001a6f66730 (__TEXT,__text) external _term_attrs
00000001a6f66f20 (__TEXT,__text) external _termattrs
00000001a6f64da4 (__TEXT,__text) external _termname
00000001a6f4e110 (__TEXT,__text) external _tgetent
00000001a6f64b14 (__TEXT,__text) external _tgetflag
00000001a6f64bc0 (__TEXT,__text) external _tgetnum
00000001a6f64c7c (__TEXT,__text) external _tgetstr
00000001a6f64dc4 (__TEXT,__text) external _tgoto
00000001a6f651e4 (__TEXT,__text) external _tigetflag
00000001a6f6528c (__TEXT,__text) external _tigetnum
00000001a6f65344 (__TEXT,__text) external _tigetstr
00000001a6f713e4 (__TEXT,__text) external _timeout
00000001a6f713f8 (__TEXT,__text) external _touchline
00000001a6f71400 (__TEXT,__text) external _touchwin
00000001a6f4fe0c (__TEXT,__text) external _tparm
00000001a6f6583c (__TEXT,__text) external _tputs
00000001d98a3218 (__DATA,__common) external _ttytype
00000001a6f60c3c (__TEXT,__text) external _typeahead
00000001a6f6e40c (__TEXT,__text) external _unctrl
00000001a6f66568 (__TEXT,__text) external _unget_wch
00000001a6f666f0 (__TEXT,__text) external _ungetch
00000001a6f5dec4 (__TEXT,__text) external _ungetmouse
00000001a6f71420 (__TEXT,__text) external _untouchwin
00000001a6f5b778 (__TEXT,__text) external _use_default_colors
00000001a6f63a14 (__TEXT,__text) external _use_env
00000001a6f56f48 (__TEXT,__text) external _use_extended_names
00000001a6f58208 (__TEXT,__text) external _use_legacy_coding
00000001a6f6e420 (__TEXT,__text) external _use_screen
00000001a6f6e47c (__TEXT,__text) external _use_window
                 (undefined) external _vfprintf (from libSystem)
00000001a6f66714 (__TEXT,__text) external _vid_attr
00000001a6f66704 (__TEXT,__text) external _vid_puts
00000001a6f66ef4 (__TEXT,__text) external _vidattr
00000001a6f667b8 (__TEXT,__text) external _vidputs
00000001a6f71440 (__TEXT,__text) external _vline
00000001a6f72714 (__TEXT,__text) external _vline_set
                 (undefined) external _vsnprintf (from libSystem)
                 (undefined) external _vsscanf (from libSystem)
00000001a6f71458 (__TEXT,__text) external _vw_printw
00000001a6f7145c (__TEXT,__text) external _vw_scanw
00000001a6f61858 (__TEXT,__text) external _vwprintw
00000001a6f626c0 (__TEXT,__text) external _vwscanw
00000001a6f58484 (__TEXT,__text) external _wadd_wch
00000001a6f594e0 (__TEXT,__text) external _wadd_wchnstr
00000001a6f7272c (__TEXT,__text) external _wadd_wchstr
00000001a6f58be0 (__TEXT,__text) external _waddch
00000001a6f593c0 (__TEXT,__text) external _waddchnstr
00000001a6f71460 (__TEXT,__text) external _waddchstr
00000001a6f5931c (__TEXT,__text) external _waddnstr
00000001a6f59888 (__TEXT,__text) external _waddnwstr
00000001a6f71468 (__TEXT,__text) external _waddstr
00000001a6f72734 (__TEXT,__text) external _waddwstr
00000001a6f7148c (__TEXT,__text) external _wattr_get
00000001a6f6733c (__TEXT,__text) external _wattr_off
00000001a6f67370 (__TEXT,__text) external _wattr_on
00000001a6f714ac (__TEXT,__text) external _wattr_set
00000001a6f71478 (__TEXT,__text) external _wattroff
00000001a6f71470 (__TEXT,__text) external _wattron
00000001a6f71480 (__TEXT,__text) external _wattrset
00000001a6f59c7c (__TEXT,__text) external _wbkgd
00000001a6f59a40 (__TEXT,__text) external _wbkgdset
00000001a6f59a78 (__TEXT,__text) external _wbkgrnd
00000001a6f59984 (__TEXT,__text) external _wbkgrndset
00000001a6f59cb4 (__TEXT,__text) external _wborder
00000001a6f5a09c (__TEXT,__text) external _wborder_set
00000001a6f5a5c4 (__TEXT,__text) external _wchgat
00000001a6f5a67c (__TEXT,__text) external _wclear
00000001a6f5a6cc (__TEXT,__text) external _wclrtobot
00000001a6f5a7ac (__TEXT,__text) external _wclrtoeol
00000001a6f5b52c (__TEXT,__text) external _wcolor_set
                 (undefined) external _wcrtomb (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsrtombs (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
                 (undefined) external _wctob (from libSystem)
00000001a6f67694 (__TEXT,__text) external _wcursyncup
                 (undefined) external _wcwidth (from libSystem)
00000001a6f5b5d8 (__TEXT,__text) external _wdelch
00000001a6f714c0 (__TEXT,__text) external _wdeleteln
00000001a6f58594 (__TEXT,__text) external _wecho_wchar
00000001a6f58c44 (__TEXT,__text) external _wechochar
00000001a6f5e1dc (__TEXT,__text) external _wenclose
00000001a6f5b90c (__TEXT,__text) external _werase
00000001a6f5bb38 (__TEXT,__text) external _wget_wch
00000001a6f7273c (__TEXT,__text) external _wget_wstr
00000001a6f72744 (__TEXT,__text) external _wgetbkgrnd
00000001a6f5c934 (__TEXT,__text) external _wgetch
00000001a6f5bcb0 (__TEXT,__text) external _wgetn_wstr
00000001a6f5c98c (__TEXT,__text) external _wgetnstr
00000001a6f715c0 (__TEXT,__text) external _wgetparent
00000001a6f71624 (__TEXT,__text) external _wgetscrreg
00000001a6f714c8 (__TEXT,__text) external _wgetstr
00000001a6f5ce2c (__TEXT,__text) external _whline
00000001a6f5cf80 (__TEXT,__text) external _whline_set
00000001a6f5d0b4 (__TEXT,__text) external _win_wch
00000001a6f5d0f8 (__TEXT,__text) external _win_wchnstr
00000001a6f7275c (__TEXT,__text) external _win_wchstr
00000001a6f673a0 (__TEXT,__text) external _winch
00000001a6f5d1a8 (__TEXT,__text) external _winchnstr
00000001a6f714d0 (__TEXT,__text) external _winchstr
00000001a6f5d9d0 (__TEXT,__text) external _winnstr
00000001a6f5db94 (__TEXT,__text) external _winnwstr
00000001a6f5d464 (__TEXT,__text) external _wins_nwstr
00000001a6f5d2e0 (__TEXT,__text) external _wins_wch
00000001a6f72764 (__TEXT,__text) external _wins_wstr
00000001a6f5d86c (__TEXT,__text) external _winsch
00000001a6f5d8bc (__TEXT,__text) external _winsdelln
00000001a6f714d8 (__TEXT,__text) external _winsertln
00000001a6f5d930 (__TEXT,__text) external _winsnstr
00000001a6f714e0 (__TEXT,__text) external _winsstr
00000001a6f714e8 (__TEXT,__text) external _winstr
00000001a6f5dc64 (__TEXT,__text) external _winwstr
                 (undefined) external _wmemchr (from libSystem)
                 (undefined) external _wmemcpy (from libSystem)
00000001a6f5e274 (__TEXT,__text) external _wmouse_trafo
00000001a6f5e960 (__TEXT,__text) external _wmove
00000001a6f62190 (__TEXT,__text) external _wnoutrefresh
00000001a6f618b4 (__TEXT,__text) external _wprintw
00000001a6f61fd4 (__TEXT,__text) external _wredrawln
00000001a6f620fc (__TEXT,__text) external _wrefresh
00000001a6f6e6c8 (__TEXT,__text) external _wresize
                 (undefined) external _write (from libSystem)
00000001a6f62780 (__TEXT,__text) external _wscanw
00000001a6f62f48 (__TEXT,__text) external _wscrl
00000001a6f62fd4 (__TEXT,__text) external _wsetscrreg
00000001a6f71500 (__TEXT,__text) external _wstandend
00000001a6f714f0 (__TEXT,__text) external _wstandout
00000001a6f675cc (__TEXT,__text) external _wsyncdown
00000001a6f67424 (__TEXT,__text) external _wsyncup
00000001a6f60a9c (__TEXT,__text) external _wtimeout
00000001a6f65478 (__TEXT,__text) external _wtouchln
00000001a6f6783c (__TEXT,__text) external _wunctrl
00000001a6f66fd8 (__TEXT,__text) external _wvline
00000001a6f67128 (__TEXT,__text) external _wvline_set
