00007ffd4170fb78 (__DATA,__bss) non-external _A
00007ffd017a6d00 (__TEXT,__text) external _cmark_strbuf_swap
00007ffd017a6ed7 (__TEXT,__text) external _cmark_strbuf_trim
00007ffd017a6e28 (__TEXT,__text) external _cmark_strbuf_truncate
00007ffd017a6fc3 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffd01799392 (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffd017b2273 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffd017992f8 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffd0179948d (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffd0179933d (__TEXT,__text) external _cmark_syntax_extension_new
00007ffd0179940f (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffd017994b1 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffd01799423 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffd01799419 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffd017993c7 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffd01799405 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffd01799465 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffd01799458 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffd017993f1 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffd01799437 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffd0179944b (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffd017993de (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffd017993e7 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffd01799497 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffd017994a4 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffd017993d4 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffd0179942d (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffd01799472 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffd0179947f (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffd017993fb (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffd01799441 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffd017a6734 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffd0178e299 (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffd0178de50 (__TEXT,__text) external _cmark_utf8proc_check
00007ffd0178e194 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffd017b2197 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffd01795d7a (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffd01795d20 (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffd0178e053 (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffd017975c3 (__TEXT,__text) external _cmark_version
00007ffd017975ce (__TEXT,__text) external _cmark_version_string
00007ffd01798b31 (__TEXT,__text) non-external _commonmark_render
00007ffd0179b5a9 (__TEXT,__text) non-external _commonmark_render
00007ffd017b09d6 (__TEXT,__text) non-external _commonmark_render
00007ffd017b2c27 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffd017b09c1 (__TEXT,__text) non-external _contains_inlines
00007ffd017a6786 (__TEXT,__text) non-external _core_extensions_registration
00007ffd017994be (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffd0179b486 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffd017afe88 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffd017b2057 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffd01798973 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffd4170f9e8 (__DATA,__bss) non-external _enable_safety_checks
00007ffd017b2ed0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffd017b1654 (__TEXT,__text) non-external _escape
00007ffd4170f960 (__DATA,__bss) non-external _extensions_lock
00007ffd4170f7e0 (__DATA,__data) non-external _extensions_once
00007ffd017b2085 (__TEXT,__text) non-external _filter
00007ffd017a91a1 (__TEXT,__text) non-external _finalize
00007ffd017b24e7 (__TEXT,__text) non-external _finalize.cold.1
00007ffd017b250a (__TEXT,__text) non-external _finalize.cold.2
00007ffd017a66f8 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffd017a9b2f (__TEXT,__text) non-external _free_node_as
00007ffd017b1c92 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffd0179c7f7 (__TEXT,__text) non-external _get_link_type
00007ffd01798a6c (__TEXT,__text) non-external _get_type_string
00007ffd0179b568 (__TEXT,__text) non-external _get_type_string
00007ffd017b08f9 (__TEXT,__text) non-external _get_type_string
00007ffd017af418 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffd017b5ab0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffd017975ae (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffd017974d0 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffd017af513 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffd017af77f (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffd017af86f (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffd01798ba1 (__TEXT,__text) non-external _html_render
00007ffd0179b64e (__TEXT,__text) non-external _html_render
00007ffd017b0fdf (__TEXT,__text) non-external _html_render
00007ffd017b2c90 (__TEXT,__text) non-external _html_render.cold.1
00007ffd017b1cf9 (__TEXT,__text) non-external _html_table_add_align
00007ffd017b200e (__TEXT,__text) non-external _init_arena
00007ffd017b1ffb (__TEXT,__text) non-external _initialize_arena
00007ffd0179a5cc (__TEXT,__text) non-external _initialize_extensions
00007ffd017aaf0f (__TEXT,__text) non-external _initialize_nextflag
00007ffd017aaefc (__TEXT,__text) non-external _initialize_safety
00007ffd0179b7d4 (__TEXT,__text) non-external _insert
00007ffd0179a343 (__TEXT,__text) non-external _is_valid_hostchar
00007ffd0179b5ca (__TEXT,__text) non-external _latex_render
00007ffd017b0bfc (__TEXT,__text) non-external _latex_render
00007ffd017b2c4a (__TEXT,__text) non-external _latex_render.cold.1
00007ffd017ae113 (__TEXT,__text) non-external _link_label
00007ffd017b2990 (__TEXT,__text) non-external _link_label.cold.1
00007ffd017b29b3 (__TEXT,__text) non-external _link_label.cold.2
00007ffd017b29d6 (__TEXT,__text) non-external _link_label.cold.3
00007ffd017b29f9 (__TEXT,__text) non-external _link_label.cold.4
00007ffd017b2a1c (__TEXT,__text) non-external _link_label.cold.5
00007ffd017aebdd (__TEXT,__text) non-external _make_autolink
00007ffd017b2be1 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ffd0179b5f9 (__TEXT,__text) non-external _man_render
00007ffd017b0e72 (__TEXT,__text) non-external _man_render
00007ffd017b2c6d (__TEXT,__text) non-external _man_render.cold.1
00007ffd017ae3b9 (__TEXT,__text) non-external _manual_scan_link_url
00007ffd0179952c (__TEXT,__text) non-external _match
00007ffd0179b691 (__TEXT,__text) non-external _match
00007ffd01798a08 (__TEXT,__text) non-external _matches
00007ffd017affaa (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd4170f9f0 (__DATA,__bss) non-external _nextflag_lock
00007ffd4170f810 (__DATA,__data) non-external _nextflag_once
00007ffd017a67eb (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffd017b2341 (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffd017b15b5 (__TEXT,__text) non-external _opaque_alloc
00007ffd017b1601 (__TEXT,__text) non-external _opaque_free
00007ffd01798a79 (__TEXT,__text) non-external _open_tasklist_item
00007ffd0179653b (__TEXT,__text) non-external _outc
00007ffd0179bdea (__TEXT,__text) non-external _outc
00007ffd017af903 (__TEXT,__text) non-external _outc
00007ffd0179b670 (__TEXT,__text) non-external _plaintext_render
00007ffd017999ce (__TEXT,__text) non-external _postprocess
00007ffd017b2294 (__TEXT,__text) non-external _postprocess.cold.1
00007ffd017b22b7 (__TEXT,__text) non-external _postprocess.cold.2
00007ffd017ad820 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffd017aeaf9 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
00007ffd017a6a41 (__TEXT,__text) non-external _refcmp
00007ffd017a71b4 (__TEXT,__text) non-external _reference_free
00007ffd017a69bc (__TEXT,__text) non-external _refsearch
00007ffd017a6775 (__TEXT,__text) non-external _register_plugins
00007ffd4170f7f0 (__DATA,__data) non-external _registered_once
00007ffd017b2ee0 (__TEXT,__const) non-external _reltable.houdini_escape_html0
00007ffd017addcd (__TEXT,__text) non-external _remove_delimiter
00007ffd017b2878 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffd017a9554 (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffd017b1859 (__TEXT,__text) non-external _row_from_string
00007ffd4170f9a8 (__DATA,__bss) non-external _safety_lock
00007ffd4170f800 (__DATA,__data) non-external _safety_once
00007ffd402069d0 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffd017a96b7 (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffd017ae2dc (__TEXT,__text) non-external _spnl
00007ffd017b2a3d (__TEXT,__text) non-external _spnl.cold.1
00007ffd017b2a60 (__TEXT,__text) non-external _spnl.cold.2
00007ffd017b2a83 (__TEXT,__text) non-external _spnl.cold.3
00007ffd017b2aa6 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffd4170f9a0 (__DATA,__bss) non-external _syntax_extensions
00007ffd017b0039 (__TEXT,__text) non-external _try_opening_table_block
00007ffd017b1bee (__TEXT,__text) non-external _unescape_pipes
00007ffd017b2dd0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffd0179a37c (__TEXT,__text) non-external _validate_protocol
00007ffd017975db (__TEXT,__text) non-external _xcalloc
00007ffd017b21df (__TEXT,__text) non-external _xcalloc.cold.1
00007ffd01797617 (__TEXT,__text) non-external _xfree
00007ffd01798cee (__TEXT,__text) non-external _xml_attr
00007ffd017b0d93 (__TEXT,__text) non-external _xml_attr
00007ffd017975f9 (__TEXT,__text) non-external _xrealloc
00007ffd017b2204 (__TEXT,__text) non-external _xrealloc.cold.1
