00007ffc1df58f95 (__TEXT,__text) non-external +[ODCAction action]
00007ffc43fd30e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odSession
00007ffc43fd30c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffc43fd3098 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffc43fd30a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffc43fd30b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffc43fd3078 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffc43fd30f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffc43fd3108 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffc43fd30f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffc43fd3038 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffc43fd3120 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffc43fd3080 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffc43fd30c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffc43fd30d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffc43fd30d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffc43fd3030 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffc43fd3020 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffc43fd3010 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffc43fd2fe0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffc43fd3018 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffc43fd2fb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffc43fd3000 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffc43fd2fd0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffc43fd2fd8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffc43fd2ff8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffc43fd2fc8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffc43fd2ff0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffc43fd2fb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffc43fd3008 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffc43fd2fe8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffc43fd2fc0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffc43fd3170 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffc43fd3158 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffc43fd3178 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffc43fd3150 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffc43fd3180 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffc43fd3190 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffc43fd3168 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffc43fd3188 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffc43fd3160 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffc43fd31e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffc43fd3140 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffc43fd3138 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffc43fd3148 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffc43fd3128 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffc43fd3130 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffc43fd31d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffc43fd31d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffc43fd31e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffc43fd31b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffc43fd31c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffc43fd31c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffc43fd31a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffc43fd31a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffc43fd31b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffc43fd3198 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffc43fd3268 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffc43fd3218 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffc43fd3308 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffc43fd33f8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffc43fd32b8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffc43fd33a8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffc43fd3358 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffc4253b058 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffc4253b050 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffc4253b068 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffc4253b060 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffc4253af48 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffc4253af50 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffc4253af58 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffc4253af60 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffc4253af68 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffc4253af70 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffc4253b038 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffc4253b000 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffc4253b008 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffc4253af90 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffc4253af98 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffc4253afa0 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffc4253afa8 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffc4253afb0 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffc4253afb8 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffc4253afc0 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffc4253afc8 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffc4253b028 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffc4253af40 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffc4253afe8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffc4253aff0 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffc4253aff8 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffc4253b020 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffc4253af78 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffc4253af80 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffc4253af88 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffc4253b018 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffc4253b010 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffc4253b048 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffc4253b040 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffc4253b030 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffc4253afd0 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffc4253afd8 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffc4253afe0 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffc1df655e0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffc1df65658 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffc1df65670 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc1df65688 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer
00007ffc1df656a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffc1df65cf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction
00007ffc1df65ea8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffc1df65fc8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffc1df66040 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffc1df66100 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffc1df66178 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffc4253d610 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffc4253d2a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffc4253dea0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffc4253e410 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffc4253dd10 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffc4253e250 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffc4253e0f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffc4253da18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffc4253d488 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffc4253dfc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffc4253e438 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffc4253ddb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffc4253e318 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffc4253e178 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffc4253dc80 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffc4253d580 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffc4253e060 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffc4253e450 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffc4253de10 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffc4253e380 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffc4253e1c0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffc4253d5c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffc4253d258 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffc4253de58 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffc4253e3c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffc4253dcc8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffc4253e208 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffc4253e0a8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffc1df58fe3 (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffc1df60f12 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffc1df569f0 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffc1df56be3 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffc1df59e42 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffc1df569c6 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffc1df569dd (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffc1df66250 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffc1df66210 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffc1df6511c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffc1df650da (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffc4253b070 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffc4253b0b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffc4253af10 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffc4253aee0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffc4253b2d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffc4253b318 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffc4253b090 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc4253b2f8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffc4253b338 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffc1df56bf1 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffc1df56b40 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffc1df56c08 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffc1df56b9c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffc1df651fb (__TEXT,__text) non-external ___fixup_schema2
00007ffc1df65211 (__TEXT,__text) non-external ___fixup_schema3
00007ffc1df6523f (__TEXT,__text) non-external ___fixup_schema4
00007ffc1df652f8 (__TEXT,__text) non-external ___fixup_schema5
00007ffc1df64fb1 (__TEXT,__text) non-external ___get_keyinfo
00007ffc43fd3460 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffc1df6490d (__TEXT,__text) non-external __schema_construct
00007ffc1df653b9 (__TEXT,__text) non-external __schema_construct.cold.1
00007ffc1df64aff (__TEXT,__text) non-external __schema_deconstruct
00007ffc1df653b9 (__TEXT,__text) non-external __schema_deconstruct.cold.1
00007ffc1df6500c (__TEXT,__text) non-external __schema_validate_type
00007ffc43fd3440 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffc1df653d1 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffc1df653e9 (__TEXT,__text) non-external __schema_validate_type.cold.2
00007ffc43fd3458 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffc43fd3448 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffc43fd3450 (__DATA,__bss) non-external __schema_validate_type.num
00007ffc43fd3430 (__DATA,__bss) non-external __schema_validate_type.once
00007ffc43fd3438 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffc43fd3420 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffc4253b268 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffc4253b270 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffc4253b278 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffc4253b280 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffc4253b288 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffc4253b120 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffc4253b128 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffc4253b130 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffc4253b138 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffc4253b160 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffc4253b140 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffc4253b148 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffc4253b158 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffc4253b150 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffc4253b168 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffc4253b170 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffc4253b178 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffc4253b180 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffc4253b188 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffc4253b198 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffc4253b190 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffc4253b1a0 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffc4253b1a8 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffc4253b1b0 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffc4253b210 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffc4253b208 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffc4253b228 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffc4253b230 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffc4253b220 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffc4253b218 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffc4253b200 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffc4253b1b8 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffc4253b1c0 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffc4253b1d0 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffc4253b1d8 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffc4253b1e0 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffc4253b1e8 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffc4253b1c8 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffc4253b1f0 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffc4253b1f8 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffc4253b290 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffc4253b2a0 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffc4253b2a8 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffc4253b2b0 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffc4253b2b8 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffc4253b2c0 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffc4253b2c8 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffc4253b298 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffc4253b2d0 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffc1df662c0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffc4253b250 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffc4253b260 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffc4253b258 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffc4253b248 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffc4253b240 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffc4253b238 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffc1df64f52 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffc43fd3428 (__DATA,__bss) non-external _request_schema
00007ffc1df64a3b (__TEXT,__text) external _schema_construct_request
00007ffc1df648f3 (__TEXT,__text) external _schema_construct_requestv
00007ffc1df64e8e (__TEXT,__text) external _schema_construct_result
