00007ffe435a75c0 (__DATA,__bss) non-external __ZL12reportShadow
00007ffe083ce37b (__TEXT,__text) external ___asan_abi_handle_no_return
00007ffe083ce375 (__TEXT,__text) external ___asan_abi_init
00007ffe083ce5bd (__TEXT,__text) external ___asan_abi_load_cxx_array_cookie
00007ffe083ce399 (__TEXT,__text) external ___asan_abi_load_n
00007ffe083ce357 (__TEXT,__text) external ___asan_abi_memcpy
00007ffe083ce361 (__TEXT,__text) external ___asan_abi_memmove
00007ffe083ce36b (__TEXT,__text) external ___asan_abi_memset
00007ffe083ce5b7 (__TEXT,__text) external ___asan_abi_poison_cxx_array_cookie
00007ffe083ce5ab (__TEXT,__text) external ___asan_abi_poison_intra_object_redzone
00007ffe083ce51d (__TEXT,__text) external ___asan_abi_poison_memory_region
00007ffe083ce59f (__TEXT,__text) external ___asan_abi_poison_stack_memory
00007ffe083ce418 (__TEXT,__text) external ___asan_abi_region_is_poisoned
00007ffe083ce333 (__TEXT,__text) external ___asan_abi_register_elf_globals
00007ffe083ce33f (__TEXT,__text) external ___asan_abi_register_globals
00007ffe083ce327 (__TEXT,__text) external ___asan_abi_register_image_globals
00007ffe083ce38d (__TEXT,__text) external ___asan_abi_report_exp_load_n
00007ffe083ce393 (__TEXT,__text) external ___asan_abi_report_exp_store_n
00007ffe083ce381 (__TEXT,__text) external ___asan_abi_report_load_n
00007ffe083ce387 (__TEXT,__text) external ___asan_abi_report_store_n
00007ffe083ce56b (__TEXT,__text) external ___asan_abi_set_shadow_xx_n
00007ffe083ce66d (__TEXT,__text) external ___asan_abi_stack_free_n
00007ffe083cff53 (__TEXT,__text) non-external ___asan_abi_stack_free_n.cold.1
00007ffe083ce627 (__TEXT,__text) external ___asan_abi_stack_malloc_always_n
00007ffe083cff30 (__TEXT,__text) non-external ___asan_abi_stack_malloc_always_n.cold.1
00007ffe083ce5e1 (__TEXT,__text) external ___asan_abi_stack_malloc_n
00007ffe083cff0d (__TEXT,__text) non-external ___asan_abi_stack_malloc_n.cold.1
00007ffe083ce45b (__TEXT,__text) external ___asan_abi_store_n
00007ffe083ce5b1 (__TEXT,__text) external ___asan_abi_unpoison_intra_object_redzone
00007ffe083ce549 (__TEXT,__text) external ___asan_abi_unpoison_memory_region
00007ffe083ce5a5 (__TEXT,__text) external ___asan_abi_unpoison_stack_memory
00007ffe083ce339 (__TEXT,__text) external ___asan_abi_unregister_elf_globals
00007ffe083ce345 (__TEXT,__text) external ___asan_abi_unregister_globals
00007ffe083ce32d (__TEXT,__text) external ___asan_abi_unregister_image_globals
00007ffe083cef07 (__TEXT,__text) external ___asan_get_alloc_stack
00007ffe083cefb9 (__TEXT,__text) external ___asan_get_free_stack
00007ffe083cee3e (__TEXT,__text) external ___asan_get_report_access_size
00007ffe083cee31 (__TEXT,__text) external ___asan_get_report_access_type
00007ffe083cee24 (__TEXT,__text) external ___asan_get_report_address
00007ffe083cee0a (__TEXT,__text) external ___asan_get_report_bp
00007ffe083cee4b (__TEXT,__text) external ___asan_get_report_description
00007ffe083cedfd (__TEXT,__text) external ___asan_get_report_pc
00007ffe083cee17 (__TEXT,__text) external ___asan_get_report_sp
00007ffe083ceeed (__TEXT,__text) external ___asan_get_shadow_mapping
00007ffe083cee58 (__TEXT,__text) external ___asan_locate_address
00007ffe083cffbb (__TEXT,__text) non-external ___asan_locate_address.cold.1
00007ffe083cffdc (__TEXT,__text) non-external ___asan_locate_address.cold.2
00007ffe083cfffd (__TEXT,__text) non-external ___asan_locate_address.cold.3
00007ffe083cedea (__TEXT,__text) external ___asan_report_present
                 (undefined) external ___assert_rtn (from libsystem_c)
                 (undefined) external ___bzero (from libsystem_platform)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external __dyld_register_func_for_add_image (from libdyld)
                 (undefined) external __exit (from libsystem_kernel)
00007ffe083cd090 (__TEXT,__text) external __sanitizers_init
00007ffe083cfe62 (__TEXT,__text) non-external __sanitizers_init.cold.1
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _backtrace_from_fp (from libsystem_c)
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _fputs (from libsystem_c)
                 (undefined) external _free (from libsystem_malloc)
                 (undefined) external _getsectiondata (from libmacho)
00007ffe083d02d0 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionNumber
00007ffe083d0290 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionString
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc_logger (from libsystem_malloc)
                 (undefined) external _malloc_sanitizer_set_functions (from libsystem_malloc)
                 (undefined) external _malloc_size (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memmove (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
00007ffe083cede0 (__TEXT,__text) external _sanitizers_address_on_report
00007ffe083c9f70 (__TEXT,__text) external _sanitizers_diagnose_memory_error
00007ffe435a7540 (__DATA,__common) external _sanitizers_report_globals
00007ffe083cec14 (__TEXT,__text) external _sanitizers_testonly_diagnose_error
00007ffe083cf69a (__TEXT,__text) external _sanitizers_testonly_get_shadow_address
                 (undefined) external _strlen (from libsystem_c)
                 (undefined) external _strtol (from libsystem_c)
                 (undefined) external _strtoul (from libsystem_c)
                 (undefined) external _thread_stack_pcs (from libsystem_c)
                 (undefined) external _vm_map (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _vsnprintf (from libsystem_c)
