00007ff80cb9f546 (__TEXT,__text) non-external _Annihilate
00007ff80cc37780 (__TEXT,__const) non-external _kTransformsData
00007ff80cc38470 (__TEXT,__const) non-external _kZeroRepsBits
00007ff80cc37970 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff80cb899a4 (__TEXT,__text) non-external _longest_match
00007ff8425f6ac4 (__DATA,__common) non-external (was a private external) _lut_ok
00007ff8425f7bd0 (__DATA,__common) non-external (was a private external) _lut_quantize
00007ff80cc41380 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff80cbaf882 (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
00007ff80cbaf091 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
00007ff80cbaf086 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
00007ff80cb8f650 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff80cb8f1c0 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff80cb8f00c (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00007ff80cb90645 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00007ff80cb9048e (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00007ff80cbbff78 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00007ff80cbbffd8 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00007ff80cbbffcd (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00007ff80cbbffc2 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00007ff80cbbff9b (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00007ff80cbbf824 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00007ff80cbbf8da (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00007ff80cbafc7c (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00007ff80cbafb8a (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00007ff80cbaadec (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00007ff80cbbc02c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00007ff80cbbaca4 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
00007ff80cbbc06f (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00007ff80cbb8ab0 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00007ff80cbbc048 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00007ff80cbbabc2 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
00007ff80cbbc07a (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00007ff80cbb8975 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00007ff80cbb4ab0 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00007ff80cbbbfdc (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00007ff80cbad274 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00007ff80cbbbff8 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00007ff80cbbc01f (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00007ff80cbad25a (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00007ff80cc423c0 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00007ff80cbb89ba (__TEXT,__text) non-external _lzbitmap_init_encode_state
00007ff80cc41bc0 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00007ff80cbb8bea (__TEXT,__text) non-external _lzbitmap_process_block
00007ff80cbbc087 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00007ff80cc433c0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00007ff80cc413c0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00007ff80cbe5578 (__TEXT,__text) non-external _lzfseBackendMatch
00007ff80cb8bc52 (__TEXT,__text) non-external (was a private external) _lzfseDecode
00007ff80cb8f829 (__TEXT,__text) non-external _lzfseDecodeV1
00007ff80cbe51cb (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00007ff80cbe55b7 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00007ff80cbe4fff (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00007ff80cbe506a (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00007ff80cbe595b (__TEXT,__text) non-external _lzfseEncodeMatches
00007ff80cbe5028 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00007ff80cbe5133 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00007ff80cbe565c (__TEXT,__text) non-external _lzfsePushMatch
00007ff80cb8b9c9 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00007ff80cb8b8f6 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00007ff80cbb4aa2 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00007ff80cbd3cdb (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00007ff80cbd3c45 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00007ff80cbd3c34 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00007ff80cb8d640 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00007ff80cbb0ac2 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00007ff80cbb0916 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00007ff80cbb0ab7 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00007ff80cbb1835 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00007ff8425f58c0 (__DATA,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00007ff80cb8d328 (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00007ff80cbc39e9 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00007ff80cbc39b5 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00007ff80cc08260 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00007ff80cc08280 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00007ff80cb8d245 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00007ff80cbaea41 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00007ff80cbaea37 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00007ff80cbaea0e (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00007ff80cbae9cd (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00007ff80cb8b8ce (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00007ff80cb8b9a3 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00007ff80cbbab20 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00007ff80cbbab18 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00007ff80cbbab80 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00007ff80cbbab78 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00007ff80cb8b8a6 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00007ff80cbe7946 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00007ff80cc464f0 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00007ff80cb8b756 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00007ff80cb8b816 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00007ff80cb8ce1a (__TEXT,__text) non-external (was a private external) _lzvnDecode
00007ff8425f4ff0 (__DATA,__const) non-external _lzvnDecode.opc_tbl
00007ff80cbbb1c7 (__TEXT,__text) non-external (was a private external) _lzvnEncode
00007ff80cbbb144 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00007ff80cb9fe2d (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00007ff80cb9fd9c (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00007ff80cb9fd91 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00007ff80cba49b0 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00007ff80cba48db (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00007ff80cba48ca (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00007ff8425f62c0 (__DATA,__data) non-external _lzvn_decode.opcode_table
00007ff80cb8d700 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00007ff80cb8d6e2 (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00007ff80cbbbd4d (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00007ff80cbbbd8b (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00007ff80cbbbd33 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00007ff80cbbaa96 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00007ff80cbbab0e (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00007ff80cbbab04 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00007ff80cbbaadb (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00007ff80cbbaab9 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00007ff80cbbaa48 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00007ff80cbbaa70 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00007ff80cbc30b0 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00007ff80cbc30a5 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00007ff80cbdf021 (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00007ff80cb98cea (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00007ff80cb98734 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00007ff80cb988f1 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00007ff80cb989db (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00007ff80cbb5369 (__TEXT,__text) non-external (was a private external) _parse_size
00007ff80cc3c760 (__TEXT,__const) non-external _position_slot_base_position
00007ff80cc3c6e0 (__TEXT,__const) non-external _position_slot_extra_bits
00007ff80cb8a9fd (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80cbe0a64 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00007ff80cb8e786 (__TEXT,__text) non-external _readHuffmanTable
00007ff80cbb52bc (__TEXT,__text) non-external (was a private external) _read_expected
00007ff80cb878cb (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00007ff80cb8aad3 (__TEXT,__text) non-external _scan_tree
00007ff80cb8abbd (__TEXT,__text) non-external _send_tree
                 (undefined) external _stat$INODE64 (from libSystem)
00007ff80cbc2d04 (__TEXT,__text) non-external _staticHuffmanTable
00007ff8425f62a0 (__DATA,__data) non-external _static_bl_desc
00007ff8425f6280 (__DATA,__data) non-external _static_d_desc
00007ff80cc44b80 (__TEXT,__const) non-external _static_dtree
00007ff8425f6260 (__DATA,__data) non-external _static_l_desc
00007ff80cc44700 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ff8425f61c0 (__DATA,__data) non-external (was a private external) _tc_quant16
00007ff80cb9fab5 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00007ff80cb9fcd7 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00007ff80cb9fbda (__TEXT,__text) non-external _thread_pool_entry
00007ff80cb9f903 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00007ff80cb9fa24 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
                 (undefined) external _write (from libSystem)
00007ff80cbb5315 (__TEXT,__text) non-external (was a private external) _write_expected
00007ff80cbd412a (__TEXT,__text) external _yzip_codec_create
00007ff80cbd415c (__TEXT,__text) external _yzip_codec_destroy
00007ff80cbd4181 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
00007ff80cbb1c08 (__TEXT,__text) external _yzip_image_create
00007ff80cbb1d64 (__TEXT,__text) external _yzip_image_create_with_payload
00007ff80cbb20a9 (__TEXT,__text) external _yzip_image_decode
00007ff80cbb1e8e (__TEXT,__text) external _yzip_image_destroy
00007ff80cbb1e98 (__TEXT,__text) external _yzip_image_encode
00007ff80cbb219b (__TEXT,__text) external _yzip_image_get_descriptor
00007ff80cbb2257 (__TEXT,__text) external _yzip_image_get_max_payload_size
00007ff80cbb2204 (__TEXT,__text) external _yzip_image_get_plane_descriptor
00007ff80cbb22cf (__TEXT,__text) external _yzip_image_set_data
00007ff80cbb244f (__TEXT,__text) external _yzip_image_set_identifier
00007ff80cbb23d8 (__TEXT,__text) external _yzip_image_set_plane_data
00007ff80cbac6c2 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00007ff80cbac5b9 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00007ff80cbac3a2 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00007ff80cbad1da (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00007ff80cbacbac (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00007ff80cbad13e (__TEXT,__text) non-external _yzip_jobs_process
00007ff80cbac346 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00007ff80cbe04a3 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00007ff80cbdf2ae (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00007ff80cbdfc3c (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00007ff80cb90474 (__TEXT,__text) non-external (was a private external) _zError
00007ff8425f4fa0 (__DATA,__const) non-external (was a private external) _z_errmsg
00007ff80cb87bdb (__TEXT,__text) non-external (was a private external) _zcalloc
00007ff80cb8b6a5 (__TEXT,__text) non-external (was a private external) _zcfree
00007ff80cb8fa32 (__TEXT,__text) external _zero_coder_decode
00007ff80cb8fb30 (__TEXT,__text) external _zero_coder_encode
00007ff80cb8fc4a (__TEXT,__text) non-external _zero_coder_init_luts
00007ff8425f6ad0 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00007ff8425f6bd0 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00007ff8425f73d0 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00007ff8425f6ac0 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
00007ff80cb90469 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00007ff80cb8da3d (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00007ff80cb8e030 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00007ff80cc3c580 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00007ff80cc3c540 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00007ff80cb9045c (__TEXT,__text) non-external (was a private external) _zlibVersion
00007ff80cbc2b77 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00007ff80cbc2b6c (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00007ff80cba007e (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00007ff80cba0073 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00007ff80cbbbfd6 (__TEXT,__text) non-external (was a private external) _zlib_free
00007ff80cbbbfae (__TEXT,__text) non-external (was a private external) _zlib_malloc
00007ff80cb8b733 (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00007ff80cbc3082 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00007ff80cbc307a (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00007ff80cbc308d (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00007ff80cbc3072 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00007ff80cb87805 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00007ff80cb88457 (__TEXT,__text) non-external (was a private external) _zlib_stream_process
                 (undefined) external dyld_stub_binder (from libSystem)
00007ff80cb90e3b (__TEXT,__text) non-external n_loop
00007ff80cb9112a (__TEXT,__text) non-external scalar_loop
00007ff80cb90e20 (__TEXT,__text) non-external skip_loading_tables
00007ff8425f6210 (__DATA,__data) non-external sum2_coefficients
00007ff8425f61e0 (__DATA,__data) non-external sum2_coefficients_nossse3
