00000001800da32c (__TEXT,__text) external _NSAddImage
00000001800ec094 (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE5eraseENS4_14const_iteratorE
0000000180103324 (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE5eraseENS4_14const_iteratorE.cold.1
00000001800ebfb8 (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE5eraseERKi
00000001800ea6bc (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE10deallocateEPS6_PNS_9AllocatorE
00000001800eb988 (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE10splitChildEhRNS_9AllocatorE
0000000180103274 (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE10splitChildEhRNS_9AllocatorE.cold.1
00000001801032a0 (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE10splitChildEhRNS_9AllocatorE.cold.2
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE10splitChildEhRNS_9AllocatorE.cold.3
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE10splitChildEhRNS_9AllocatorE.cold.4
00000001801032cc (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE10splitChildEhRNS_9AllocatorE.cold.5
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE10splitChildEhRNS_9AllocatorE.cold.6
00000001801032f8 (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE10splitChildEhRNS_9AllocatorE.cold.7
00000001800ec778 (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE14rotateFromLeftEh
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE14rotateFromLeftEh.cold.1
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE14rotateFromLeftEh.cold.2
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE14rotateFromLeftEh.cold.3
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE14rotateFromLeftEh.cold.4
00000001800ec648 (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE15rotateFromRightEh
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE15rotateFromRightEh.cold.1
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE15rotateFromRightEh.cold.2
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE15rotateFromRightEh.cold.3
00000001800ec2b8 (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE5eraseEh
0000000180103350 (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE5eraseEh.cold.1
000000018010337c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE5eraseEh.cold.2
00000001800ec8dc (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE5mergeEPNS_9AllocatorEh
0000000180103400 (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE5mergeEPNS_9AllocatorEh.cold.1
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE5mergeEPNS_9AllocatorEh.cold.2
000000018010321c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE5mergeEPNS_9AllocatorEh.cold.3
000000018010342c (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE5mergeEPNS_9AllocatorEh.cold.4
00000001800eb574 (__TEXT,__text) non-external (was a private external) __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE6insertEhOi
00000001801031c4 (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE6insertEhOi.cold.1
00000001801031f0 (__TEXT,__text) non-external __ZN3lsl5BTreeIiNSt3__14lessIiEELb0EE8NodeCoreILj62ELj20EE6insertEhOi.cold.2
00000001800f13e4 (__TEXT,__text) non-external (was a private external) __ZN3lsl6BitmapC2ERNS_9AllocatorEm
00000001800e2a18 (__TEXT,__text) non-external (was a private external) __ZN3lsl6BitmapD2Ev
00000001800f32b4 (__TEXT,__text) non-external (was a private external) __ZN3lsl6CRC32cC1Ev
00000001800f332c (__TEXT,__text) non-external (was a private external) __ZN3lsl6CRC32cclENSt3__14spanISt4byteLm18446744073709551615EEE
00000001800f32d8 (__TEXT,__text) non-external (was a private external) __ZN3lsl6CRC32cclEj
00000001800f32cc (__TEXT,__text) non-external (was a private external) __ZN3lsl6CRC32ccvjEv
00000001800ebef4 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIN5dyld45Atlas6Mapper7MappingEE12reserveExactEy
00000001800eca38 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIN5dyld45Atlas6Mapper7MappingEE4swapERS5_
00000001800ebe24 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIN5dyld45Atlas6Mapper7MappingEE6resizeEy
00000001800ebeb0 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIN5dyld45Atlas6Mapper7MappingEE7reserveEy
00000001800eca78 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIN5dyld45Atlas6Mapper7MappingEEC2ERKS5_RNS_9AllocatorE
00000001800f07d0 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorINS_4UUIDEE12reserveExactEy
00000001800f0700 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorINS_4UUIDEE6resizeEy
00000001800f078c (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorINS_4UUIDEE7reserveEy
00000001800eb15c (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIPKcE12reserveExactEy
00000001800eb08c (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIPKcE6resizeEy
00000001800eb118 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIPKcE7reserveEy
00000001800f1334 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIcE12reserveExactEy
00000001800eb000 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIcE6resizeEy
00000001800ea5b0 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIcE7reserveEy
00000001800eaf4c (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIiE12reserveExactEy
00000001800eae7c (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIiE6resizeEy
00000001800eaf08 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIiE7reserveEy
00000001800eaf4c (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIjE12reserveExactEy
00000001800eae7c (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIjE6resizeEy
00000001800eaf08 (__TEXT,__text) non-external (was a private external) __ZN3lsl6VectorIjE7reserveEy
0000000180103d40 (__TEXT,__const) non-external __ZN3lsl8CRC32cSW12sCRC32cTableE
00000001800f3484 (__TEXT,__text) non-external (was a private external) __ZN3lsl8CRC32cSW8checksumEjNSt3__14spanISt4byteLm18446744073709551615EEE
00000001800f3384 (__TEXT,__text) non-external (was a private external) __ZN3lsl8CRC32cSW8checksumEjh
00000001800f33ec (__TEXT,__text) non-external (was a private external) __ZN3lsl8CRC32cSW8checksumEjj
00000001800f33a0 (__TEXT,__text) non-external (was a private external) __ZN3lsl8CRC32cSW8checksumEjt
00000001800f3438 (__TEXT,__text) non-external (was a private external) __ZN3lsl8CRC32cSW8checksumEjy
00000001800f3114 (__TEXT,__text) non-external (was a private external) __ZN3lsl9Allocator10freeObjectEPv
00000001800e94cc (__TEXT,__text) non-external (was a private external) __ZN3lsl9Allocator10makeSharedIN5dyld45Atlas6MapperEJRS0_EEENS_9SharedPtrIT_EEDpOT0_
00000001800e4bd4 (__TEXT,__text) non-external (was a private external) __ZN3lsl9Allocator10makeSharedIN5dyld45Atlas6MapperEJRS0_RNS_6VectorINS4_7MappingEEEEEENS_9SharedPtrIT_EEDpOT0_
00000001800ea5f4 (__TEXT,__text) non-external (was a private external) __ZN3lsl9Allocator10makeUniqueIN5dyld45Atlas11SharedCacheEJRS0_NS2_10FileRecordERNS_9SharedPtrINS3_6MapperEEERyyEEENS_9UniquePtrIT_EEDpOT0_
00000001800ea37c (__TEXT,__text) non-external (was a private external) __ZN3lsl9Allocator10makeUniqueIN5dyld45Atlas5ImageEJS4_EEENS_9UniquePtrIT_EEDpOT0_
00000001800f30b8 (__TEXT,__text) non-external (was a private external) __ZN3lsl9Allocator13aligned_allocEyy
0000000180103508 (__TEXT,__text) non-external __ZN3lsl9Allocator13aligned_allocEyy.cold.1
00000001800f3120 (__TEXT,__text) non-external (was a private external) __ZN3lsl9Allocator4freeEPv
00000001800f3094 (__TEXT,__text) non-external (was a private external) __ZN3lsl9Allocator6mallocEy
00000001800f3138 (__TEXT,__text) non-external (was a private external) __ZN3lsl9Allocator6strdupEPKc
00000001800f3130 (__TEXT,__text) non-external (was a private external) __ZN3lsl9Allocator7reallocEPvy
00000001800e2988 (__TEXT,__text) non-external (was a private external) __ZN3lsl9SharedPtrIN5dyld45Atlas6MapperEE4Ctrl17decrementRefCountEv
00000001800e2b68 (__TEXT,__text) non-external (was a private external) __ZN3lsl9UniquePtrIN5dyld45Atlas11SharedCacheEED2Ev
00000001800e8830 (__TEXT,__text) non-external __ZN3lsl9UniquePtrIN5dyld45Atlas15ProcessSnapshotEE10withUnsafeIZNS2_7Process19handleNotificationsEvE3$_0EEDaT_
00000001800e88a8 (__TEXT,__text) non-external __ZN3lsl9UniquePtrIN5dyld45Atlas15ProcessSnapshotEE10withUnsafeIZNS2_7Process19handleNotificationsEvE3$_1EEDaT_
00000001800e291c (__TEXT,__text) non-external (was a private external) __ZN3lsl9UniquePtrIN5dyld45Atlas15ProcessSnapshotEED2Ev
00000001800e2bcc (__TEXT,__text) non-external (was a private external) __ZN3lsl9UniquePtrIN5dyld45Atlas17SharedCacheLocalsEED2Ev
00000001800e2b04 (__TEXT,__text) non-external (was a private external) __ZN3lsl9UniquePtrIN5dyld45Atlas5ImageEED2Ev
00000001800e29e0 (__TEXT,__text) non-external (was a private external) __ZN3lsl9UniquePtrINS_6BitmapEED2Ev
00000001e9d89990 (__DATA,__bss) non-external __ZN3lslL16sAllocatorBufferE
00000001ec79d248 (__DATA_DIRTY,__bss) non-external __ZN3lslL20sMemoryManagerBufferE
00000001ec79d240 (__DATA_DIRTY,__bss) non-external __ZN3lslL25sMemoryManagerInitializedE
00000001ed40e4c8 (__AUTH,__data) non-external __ZN3lslL9sCRC32cSWE
00000001800db9b0 (__TEXT,__text) non-external (was a private external) __ZN4dyld20ThreadLocalVariables10initializeEv
00000001800db3b0 (__TEXT,__text) non-external (was a private external) __ZN4dyld20ThreadLocalVariables10setUpImageEPK15DyldSharedCachePKN6mach_o6HeaderE
00000001800dbb8c (__TEXT,__text) non-external (was a private external) __ZN4dyld20ThreadLocalVariables11addTermFuncEPFvPvES1_
00000001800dbcb4 (__TEXT,__text) non-external (was a private external) __ZN4dyld20ThreadLocalVariables12finalizeListEPv
00000001800dbd40 (__TEXT,__text) non-external (was a private external) __ZN4dyld20ThreadLocalVariables14TerminatorList16reverseWalkChainEU13block_pointerFvPS1_E
00000001800db728 (__TEXT,__text) non-external (was a private external) __ZN4dyld20ThreadLocalVariables16forEachThunkSpanEPKN6mach_o6HeaderEU13block_pointerFNS1_5ErrorENSt3__14spanINS0_5ThunkELm18446744073709551615EEEE
00000001800db62c (__TEXT,__text) non-external (was a private external) __ZN4dyld20ThreadLocalVariables18findInitialContentEPKN6mach_o6HeaderERNSt3__14spanIKhLm18446744073709551615EEERb
00000001800dbe18 (__TEXT,__text) non-external (was a private external) __ZN4dyld20ThreadLocalVariables19instantiateVariableERKNS0_5ThunkE
00000001800db548 (__TEXT,__text) non-external (was a private external) __ZN4dyld20ThreadLocalVariables24initializeThunksFromDiskEPKN6mach_o6HeaderE
00000001800db428 (__TEXT,__text) non-external (was a private external) __ZN4dyld20ThreadLocalVariables27initializeThunksInDyldCacheEPK15DyldSharedCachePKN6mach_o6HeaderE
00000001800dbc54 (__TEXT,__text) non-external (was a private external) __ZN4dyld20ThreadLocalVariables4exitEv
00000001ec79d228 (__DATA_DIRTY,__common) non-external (was a private external) __ZN4dyld21sThreadLocalVariablesE
00000001800db9c4 (__TEXT,__text) non-external __ZN4dyldL15finalizeListTLVEPv
00000001800f6bfc (__TEXT,__text) non-external __ZN5dyld317OverflowSafeArrayIZNK6mach_o6Header22validSemanticsSegmentsERKNS1_6PolicyEyE8SegRangeLy4294967295EE9push_backEOS6_
0000000180102e1c (__TEXT,__text) non-external __ZN5dyld317OverflowSafeArrayIZNK6mach_o6Header22validSemanticsSegmentsERKNS1_6PolicyEyE8SegRangeLy4294967295EE9push_backEOS6_.cold.1
00000001800f70ec (__TEXT,__text) non-external __ZN5dyld317OverflowSafeArrayIZNK6mach_o6Header22validSemanticsSegmentsERKNS1_6PolicyEyE8SegRangeLy4294967295EEixEy
0000000180102e1c (__TEXT,__text) non-external __ZN5dyld317OverflowSafeArrayIZNK6mach_o6Header22validSemanticsSegmentsERKNS1_6PolicyEyE8SegRangeLy4294967295EEixEy.cold.1
00000001800e317c (__TEXT,__text) non-external (was a private external) __ZN5dyld317OverflowSafeArrayIcLy4294967295EE6resizeEy
0000000180102e1c (__TEXT,__text) non-external __ZN5dyld317OverflowSafeArrayIcLy4294967295EE6resizeEy.cold.1
00000001800e392c (__TEXT,__text) non-external (was a private external) __ZN5dyld34openEPKcii
0000000180101a80 (__TEXT,__text) non-external (was a private external) __ZN5dyld35ArrayIN6mach_o13SegmentRanges12SegmentRangeEE9push_backERKS3_
00000001801035b8 (__TEXT,__text) non-external __ZN5dyld35ArrayIN6mach_o13SegmentRanges12SegmentRangeEE9push_backERKS3_.cold.1
00000001800e39ac (__TEXT,__text) non-external (was a private external) __ZN5dyld37FatFile9isFatFileEPKv
00000001800f2284 (__TEXT,__text) non-external (was a private external) __ZN5dyld410FileRecord4openEi
0000000180103484 (__TEXT,__text) non-external __ZN5dyld410FileRecord4openEi.cold.1
00000001800f2078 (__TEXT,__text) non-external (was a private external) __ZN5dyld410FileRecord4swapERS0_
00000001800f224c (__TEXT,__text) non-external (was a private external) __ZN5dyld410FileRecord5closeEv
00000001800f218c (__TEXT,__text) non-external (was a private external) __ZN5dyld410FileRecordC1EOS0_
00000001800f21d8 (__TEXT,__text) non-external (was a private external) __ZN5dyld410FileRecordD1Ev
00000001800f2204 (__TEXT,__text) non-external (was a private external) __ZN5dyld410FileRecordD2Ev
00000001800f21dc (__TEXT,__text) non-external (was a private external) __ZN5dyld410FileRecordaSEOS0_
00000001800f1490 (__TEXT,__text) non-external (was a private external) __ZN5dyld411FileManager17fileRecordForPathERN3lsl9AllocatorEPKc
00000001800f14fc (__TEXT,__text) non-external (was a private external) __ZN5dyld411FileManager31fileRecordForVolumeUUIDAndObjIDERKN3lsl4UUIDEy
00000001800f1f48 (__TEXT,__text) non-external (was a private external) __ZN5dyld411FileManager7getPathERKN3lsl4UUIDEy
00000001800f1fd0 (__TEXT,__text) non-external (was a private external) __ZN5dyld411FileManager7getPathEyy
00000001800f1440 (__TEXT,__text) non-external (was a private external) __ZN5dyld411FileManagerC1ERN3lsl9AllocatorEPKNS_15SyscallDelegateE
00000001800e6e50 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCache12forEachImageEU13block_pointerFvPNS0_5ImageEE
00000001800e6fc4 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCache17withImageForIndexEjU13block_pointerFvPNS0_5ImageEE
00000001800e6ba0 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCache19createForFileRecordERN3lsl9AllocatorEONS_10FileRecordE
00000001800e7440 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCache23forEachSubcache4RosettaEU13block_pointerFvPKvmE
00000001800e729c (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCache25mapSubCacheAndInvokeBlockEPK17dyld_cache_headerU13block_pointerFvPKvmE
0000000180102f8c (__TEXT,__text) non-external __ZN5dyld45Atlas11SharedCache25mapSubCacheAndInvokeBlockEPK17dyld_cache_headerU13block_pointerFvPKvmE.cold.1
00000001800e6764 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCache35forEachInstalledCacheWithSystemPathERN3lsl9AllocatorERNS_11FileManagerEPKcU13block_pointerFvPS1_E
00000001800e726c (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCache3pinEv
00000001800e7284 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCache5unpinEv
00000001800e63b0 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas11SharedCacheC2ERN3lsl9AllocatorEONS_10FileRecordERNS2_9SharedPtrINS0_6MapperEEENS0_11SafePointerEb
0000000180102f60 (__TEXT,__text) non-external __ZN5dyld45Atlas11SharedCacheC2ERN3lsl9AllocatorEONS_10FileRecordERNS2_9SharedPtrINS0_6MapperEEENS0_11SafePointerEb.cold.1
00000001800e97dc (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot10Serializer11deserializeENSt3__14spanISt4byteLm18446744073709551615EEE
00000001800ea41c (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot10Serializer18readMappedFileInfoERNSt3__14spanISt4byteLm18446744073709551615EEERyRN3lsl4UUIDERNS_10FileRecordE
00000001800ea2d4 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot11sharedCacheEv
00000001800e8b64 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot12forEachImageEU13block_pointerFvPNS0_5ImageEE
00000001800e9e28 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot17forEachImageNotInERKS1_U13block_pointerFvPNS0_5ImageEE
00000001800ea2dc (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshot8addImageEONS0_5ImageE
00000001800e9e24 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshotC1ERN3lsl9AllocatorERNS_11FileManagerEbNSt3__14spanISt4byteLm18446744073709551615EEE
00000001800e9448 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshotC2ERN3lsl9AllocatorERNS_11FileManagerEb
00000001800e9544 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas15ProcessSnapshotC2ERN3lsl9AllocatorERNS_11FileManagerEbNSt3__14spanISt4byteLm18446744073709551615EEE
0000000180103170 (__TEXT,__text) non-external __ZN5dyld45Atlas15ProcessSnapshotC2ERN3lsl9AllocatorERNS_11FileManagerEbNSt3__14spanISt4byteLm18446744073709551615EEE.cold.1
00000001800e6280 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas17SharedCacheLocalsC2ERN3lsl9SharedPtrINS0_6MapperEEEb
00000001800e5aa4 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image11pointerSizeEv
00000001800e5c78 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image14forEachSectionEU13block_pointerFvPKcS3_yyE
00000001800e5af0 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image14forEachSegmentEU13block_pointerFvPKcyyiE
00000001800e6014 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image17contentForSectionEPKcS3_U13block_pointerFvPKvyyE
00000001800e5da8 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image17contentForSegmentEPKcU13block_pointerFvPKvyyE
00000001800e56c8 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5Image4swapERS1_
00000001800ea864 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas5ImageD2Ev
00000001800e4db8 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper14mapperForMachOERN3lsl9AllocatorERNS_10FileRecordERKNS2_4UUIDENS0_11SafePointerE
00000001800e4024 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper20mapperForSharedCacheERN3lsl9AllocatorERNS_10FileRecordENS0_11SafePointerE
00000001800e4c4c (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper26mapperForSharedCacheLocalsERN3lsl9AllocatorERNS_10FileRecordE
00000001800e557c (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper3pinEv
0000000180102f08 (__TEXT,__text) non-external __ZN5dyld45Atlas6Mapper3pinEv.cold.1
00000001800e5670 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper5unpinEv
0000000180102f34 (__TEXT,__text) non-external __ZN5dyld45Atlas6Mapper5unpinEv.cold.1
00000001800ecb38 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper7PointerIN5dyld311MachOLoadedEE4swapERS5_
00000001800ecadc (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6Mapper7PointerIN5dyld311MachOLoadedEED2Ev
00000001800e5460 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6MapperD1Ev
00000001800e5350 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas6MapperD2Ev
0000000180102eb0 (__TEXT,__text) non-external __ZN5dyld45Atlas6MapperD2Ev.cold.1
00000001800e76c4 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process11getSnapshotEPi
00000001800e8240 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process18setupNotificationsEPi
0000000180103068 (__TEXT,__text) non-external __ZN5dyld45Atlas7Process18setupNotificationsEPi.cold.1
0000000180103094 (__TEXT,__text) non-external __ZN5dyld45Atlas7Process18setupNotificationsEPi.cold.2
00000001801030c0 (__TEXT,__text) non-external __ZN5dyld45Atlas7Process18setupNotificationsEPi.cold.3
00000001800e7d14 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process18synthesizeSnapshotEPi
00000001800e8414 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process19handleNotificationsEv
00000001800e8e78 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process20registerEventHandlerEPijP16dispatch_queue_sU13block_pointerFvvE
00000001800e79a4 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process21teardownNotificationsEv
0000000180102fb8 (__TEXT,__text) non-external __ZN5dyld45Atlas7Process21teardownNotificationsEv.cold.1
0000000180102fe4 (__TEXT,__text) non-external __ZN5dyld45Atlas7Process21teardownNotificationsEv.cold.2
0000000180103010 (__TEXT,__text) non-external __ZN5dyld45Atlas7Process21teardownNotificationsEv.cold.3
000000018010303c (__TEXT,__text) non-external __ZN5dyld45Atlas7Process21teardownNotificationsEv.cold.4
00000001800e903c (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process22unregisterEventHandlerEj
00000001800e8920 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7Process32registerAtlasChangedEventHandlerEPiP16dispatch_queue_sU13block_pointerFvPNS0_5ImageEbE
00000001800e78c0 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7ProcessC1ERN3lsl9AllocatorERNS_11FileManagerEjPi
00000001800e7600 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7ProcessC2ERN3lsl9AllocatorERNS_11FileManagerEjPi
00000001800e7d10 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7ProcessD1Ev
00000001800e78c4 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Atlas7ProcessD2Ev
00000001800e3054 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Utils16concatenatePathsEPcPKcm
00000001800e2fe0 (__TEXT,__text) non-external (was a private external) __ZN5dyld45Utils7strrstrEPKcS2_
00000001ec4f0018 (__TPRO_CONST,__dyld_apis) non-external (was a private external) __ZN5dyld45gAPIsE
00000001800dc044 (__TEXT,__text) non-external __ZN5dyld4L28legacyDyldLookup4OldBinariesEPKcPPv
00000001800fcfb4 (__TEXT,__text) non-external (was a private external) __ZN6mach_o11BindOpcodesC1EPKhmb
00000001800fcfb4 (__TEXT,__text) non-external (was a private external) __ZN6mach_o11BindOpcodesC2EPKhmb
00000001800f96a4 (__TEXT,__text) non-external (was a private external) __ZN6mach_o11GenericTrieC2EPKhm
0000000180104208 (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture10arm64e_oldE
00000001801041e0 (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture5arm64E
00000001801041e8 (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture6arm64eE
00000001800f34f4 (__TEXT,__text) non-external (was a private external) __ZN6mach_o12Architecture6byNameENSt3__117basic_string_viewIcNS1_11char_traitsIcEEEE
00000001801041d8 (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture6x86_64E
00000001801041f0 (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture7invalidE
00000001801041f8 (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture9arm64_altE
0000000180104200 (__TEXT,__const) non-external (was a private external) __ZN6mach_o12Architecture9arm64e_v1E
00000001800f34e4 (__TEXT,__text) non-external (was a private external) __ZN6mach_o12ArchitectureC1EPK11fat_arch_64
00000001800f34b4 (__TEXT,__text) non-external (was a private external) __ZN6mach_o12ArchitectureC1EPK11mach_header
00000001800f34e4 (__TEXT,__text) non-external (was a private external) __ZN6mach_o12ArchitectureC1EPK8fat_arch
00000001e9d88838 (__DATA,__data) non-external (was a private external) __ZN6mach_o12PlatformInfo18knownPlatformInfosE
00000001800f96a4 (__TEXT,__text) non-external (was a private external) __ZN6mach_o12SplitSegInfoC1EPKhm
00000001800ff7ac (__TEXT,__text) non-external (was a private external) __ZN6mach_o12read_sleb128ERPKhS1_Rb
00000001800ff73c (__TEXT,__text) non-external (was a private external) __ZN6mach_o12read_uleb128ERPKhS1_Rb
00000001800fac34 (__TEXT,__text) non-external (was a private external) __ZN6mach_o13ChainedFixups13PointerFormat4makeEt
