00007ffe435920d0 (__DATA,__bss) non-external __ZL12reportShadow
00007ffe081c7335 (__TEXT,__text) external ___asan_abi_init
00007ffe081c757d (__TEXT,__text) external ___asan_abi_load_cxx_array_cookie
00007ffe081c7359 (__TEXT,__text) external ___asan_abi_load_n
00007ffe081c7317 (__TEXT,__text) external ___asan_abi_memcpy
00007ffe081c7321 (__TEXT,__text) external ___asan_abi_memmove
00007ffe081c732b (__TEXT,__text) external ___asan_abi_memset
00007ffe081c7577 (__TEXT,__text) external ___asan_abi_poison_cxx_array_cookie
00007ffe081c756b (__TEXT,__text) external ___asan_abi_poison_intra_object_redzone
00007ffe081c74dd (__TEXT,__text) external ___asan_abi_poison_memory_region
00007ffe081c755f (__TEXT,__text) external ___asan_abi_poison_stack_memory
00007ffe081c73d8 (__TEXT,__text) external ___asan_abi_region_is_poisoned
00007ffe081c72f3 (__TEXT,__text) external ___asan_abi_register_elf_globals
00007ffe081c72ff (__TEXT,__text) external ___asan_abi_register_globals
00007ffe081c72e7 (__TEXT,__text) external ___asan_abi_register_image_globals
00007ffe081c734d (__TEXT,__text) external ___asan_abi_report_exp_load_n
00007ffe081c7353 (__TEXT,__text) external ___asan_abi_report_exp_store_n
00007ffe081c7341 (__TEXT,__text) external ___asan_abi_report_load_n
00007ffe081c7347 (__TEXT,__text) external ___asan_abi_report_store_n
00007ffe081c752b (__TEXT,__text) external ___asan_abi_set_shadow_xx_n
00007ffe081c762d (__TEXT,__text) external ___asan_abi_stack_free_n
00007ffe081c8f13 (__TEXT,__text) non-external ___asan_abi_stack_free_n.cold.1
00007ffe081c75e7 (__TEXT,__text) external ___asan_abi_stack_malloc_always_n
00007ffe081c8ef0 (__TEXT,__text) non-external ___asan_abi_stack_malloc_always_n.cold.1
00007ffe081c75a1 (__TEXT,__text) external ___asan_abi_stack_malloc_n
00007ffe081c8ecd (__TEXT,__text) non-external ___asan_abi_stack_malloc_n.cold.1
00007ffe081c741b (__TEXT,__text) external ___asan_abi_store_n
00007ffe081c7571 (__TEXT,__text) external ___asan_abi_unpoison_intra_object_redzone
00007ffe081c7509 (__TEXT,__text) external ___asan_abi_unpoison_memory_region
00007ffe081c7565 (__TEXT,__text) external ___asan_abi_unpoison_stack_memory
00007ffe081c72f9 (__TEXT,__text) external ___asan_abi_unregister_elf_globals
00007ffe081c7305 (__TEXT,__text) external ___asan_abi_unregister_globals
00007ffe081c72ed (__TEXT,__text) external ___asan_abi_unregister_image_globals
00007ffe081c7ec7 (__TEXT,__text) external ___asan_get_alloc_stack
00007ffe081c7f79 (__TEXT,__text) external ___asan_get_free_stack
00007ffe081c7dfe (__TEXT,__text) external ___asan_get_report_access_size
00007ffe081c7df1 (__TEXT,__text) external ___asan_get_report_access_type
00007ffe081c7de4 (__TEXT,__text) external ___asan_get_report_address
00007ffe081c7dca (__TEXT,__text) external ___asan_get_report_bp
00007ffe081c7e0b (__TEXT,__text) external ___asan_get_report_description
00007ffe081c7dbd (__TEXT,__text) external ___asan_get_report_pc
00007ffe081c7dd7 (__TEXT,__text) external ___asan_get_report_sp
00007ffe081c7ead (__TEXT,__text) external ___asan_get_shadow_mapping
00007ffe081c7e18 (__TEXT,__text) external ___asan_locate_address
00007ffe081c8f7b (__TEXT,__text) non-external ___asan_locate_address.cold.1
00007ffe081c8f9c (__TEXT,__text) non-external ___asan_locate_address.cold.2
00007ffe081c8fbd (__TEXT,__text) non-external ___asan_locate_address.cold.3
00007ffe081c7daa (__TEXT,__text) external ___asan_report_present
                 (undefined) external ___assert_rtn (from libsystem_c)
                 (undefined) external ___bzero (from libsystem_platform)
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
                 (undefined) external ___stderrp (from libsystem_c)
                 (undefined) external __dyld_register_func_for_add_image (from libdyld)
                 (undefined) external __exit (from libsystem_kernel)
00007ffe081c6050 (__TEXT,__text) external __sanitizers_init
00007ffe081c8e22 (__TEXT,__text) non-external __sanitizers_init.cold.1
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external _abort (from libsystem_c)
                 (undefined) external _backtrace_from_fp (from libsystem_c)
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _fputs (from libsystem_c)
                 (undefined) external _free (from libsystem_malloc)
                 (undefined) external _getsectiondata (from libmacho)
00007ffe081c9290 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionNumber
00007ffe081c9250 (__TEXT,__const) non-external (was a private external) _libsystem_sanitizersVersionString
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc_logger (from libsystem_malloc)
                 (undefined) external _malloc_sanitizer_set_functions (from libsystem_malloc)
                 (undefined) external _malloc_size (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memmove (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
00007ffe081c7da0 (__TEXT,__text) external _sanitizers_address_on_report
00007ffe081c2f70 (__TEXT,__text) external _sanitizers_diagnose_memory_error
00007ffe43592050 (__DATA,__common) external _sanitizers_report_globals
00007ffe081c7bd4 (__TEXT,__text) external _sanitizers_testonly_diagnose_error
00007ffe081c865a (__TEXT,__text) external _sanitizers_testonly_get_shadow_address
                 (undefined) external _strlen (from libsystem_c)
                 (undefined) external _strtol (from libsystem_c)
                 (undefined) external _strtoul (from libsystem_c)
                 (undefined) external _thread_stack_pcs (from libsystem_c)
                 (undefined) external _vm_map (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _vsnprintf (from libsystem_c)
