00000001ebe038d0 (__DATA,__data) external _NDR_record
000000018043fdd4 (__TEXT,__text) external _disconnectx
00000001804384bc (__TEXT,__text) non-external _do_compat
000000018043622c (__TEXT,__text) external _dup
000000018043a554 (__TEXT,__text) external _dup2
00000001e7fe4f88 (__DATA_CONST,__const) non-external _err_codes_auth
00000001e7fe4e18 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001e7fe5180 (__DATA_CONST,__const) non-external _err_codes_exception
00000001e7fe4e58 (__DATA_CONST,__const) non-external _err_codes_execd
00000001e7fe4f58 (__DATA_CONST,__const) non-external _err_codes_io
00000001e7fe5b00 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001e7fe5738 (__DATA_CONST,__const) non-external _err_codes_iokit_common
0000000180465dc8 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001e7fe59c8 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
0000000180465e08 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001e7fe58e8 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
0000000180465dd8 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001e7fe4a00 (__DATA_CONST,__const) non-external _err_codes_kern
00000001e7fe55c8 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001e7fe5638 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001e7fe55d8 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001e7fe5150 (__DATA_CONST,__const) non-external _err_codes_loader
00000001e7fe5538 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001e7fe54b0 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001e7fe53f8 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001e7fe5120 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001e7fe53b8 (__DATA_CONST,__const) non-external _err_codes_mig
00000001e7fe4e78 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001e7fe4df8 (__DATA_CONST,__const) non-external _err_codes_netname
00000001e7fe4ec8 (__DATA_CONST,__const) non-external _err_codes_ns
00000001e7fe5370 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001e7fe5310 (__DATA_CONST,__const) non-external _err_codes_send
00000001e7fe5090 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001e7fe4e98 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001e7fe4e90 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001e7fe4bc8 (__DATA_CONST,__const) non-external _err_codes_unix
00000001e7fe4fd0 (__DATA_CONST,__const) non-external _err_codes_us
00000001e7fe51b8 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001e7fe5588 (__DATA_CONST,__const) non-external _err_codes_vm_reclaim
00000001e7fe52a8 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001e7fe4820 (__DATA_CONST,__const) non-external _err_iokit_sub
0000000180465db8 (__TEXT,__const) non-external _err_iokit_sub_map
00000001e7fe4668 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001e7fe47a8 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001e7fe46e0 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001e7fe4348 (__DATA_CONST,__const) non-external _err_os_sub
00000001e7fe43e8 (__DATA_CONST,__const) non-external _err_server_sub
0000000180465d90 (__TEXT,__const) non-external _err_us_sub
00000001e7fe4758 (__DATA_CONST,__const) non-external _err_vm_sub
00000001ee410748 (__DATA_DIRTY,__common) external _errno
0000000180462444 (__TEXT,__text) external _etap_trace_thread
0000000180450ba0 (__TEXT,__text) external _exc_server
0000000180450b6c (__TEXT,__text) external _exc_server_routine
00000001804501c8 (__TEXT,__text) external _exception_raise
0000000180450344 (__TEXT,__text) external _exception_raise_state
00000001804505b4 (__TEXT,__text) external _exception_raise_state_identity
000000018043e0ac (__TEXT,__text) external _exchangedata
00000001804440e0 (__TEXT,__text) external _exclaves_audio_buffer_copyout
0000000180444118 (__TEXT,__text) external _exclaves_audio_buffer_copyout_with_status
00000001804440b0 (__TEXT,__text) external _exclaves_audio_buffer_create
000000018044407c (__TEXT,__text) external _exclaves_boot
0000000180443e38 (__TEXT,__text) external _exclaves_endpoint_call
0000000180443f4c (__TEXT,__text) external _exclaves_inbound_buffer_copyin
0000000180443f1c (__TEXT,__text) external _exclaves_inbound_buffer_create
0000000180444220 (__TEXT,__text) external _exclaves_indicator_min_on_time
0000000180443f9c (__TEXT,__text) external _exclaves_launch_conclave
0000000180443fe4 (__TEXT,__text) external _exclaves_lookup_service
0000000180443f8c (__TEXT,__text) external _exclaves_named_buffer_copyin
0000000180443f94 (__TEXT,__text) external _exclaves_named_buffer_copyout
0000000180443f84 (__TEXT,__text) external _exclaves_named_buffer_create
00000001804442b8 (__TEXT,__text) external _exclaves_notification_create
0000000180443ee4 (__TEXT,__text) external _exclaves_outbound_buffer_copyout
0000000180443eb4 (__TEXT,__text) external _exclaves_outbound_buffer_create
0000000180444150 (__TEXT,__text) external _exclaves_sensor_create
0000000180444184 (__TEXT,__text) external _exclaves_sensor_start
00000001804441ec (__TEXT,__text) external _exclaves_sensor_status
00000001804441b8 (__TEXT,__text) external _exclaves_sensor_stop
000000018043a514 (__TEXT,__text) external _execve
00000001ebe03930 (__DATA,__bss) non-external _execve_with_filter
000000018043fe00 (__TEXT,__text) external _faccessat
000000018043fe2c (__TEXT,__text) external _fchdir
0000000180437220 (__TEXT,__text) external _fchflags
00000001804362b8 (__TEXT,__text) external _fchmod
000000018043fe58 (__TEXT,__text) external _fchmodat
0000000180437664 (__TEXT,__text) external _fchown
000000018043fe84 (__TEXT,__text) external _fchownat
000000018043feb0 (__TEXT,__text) external _fclonefileat
00000001804326f8 (__TEXT,__text) external _fcntl
0000000180435e84 (__TEXT,__text) external _fcntl$NOCANCEL
000000018043fedc (__TEXT,__text) external _fdatasync
0000000180439764 (__TEXT,__text) external _ffsctl
000000018043554c (__TEXT,__text) external _fgetattrlist
0000000180436200 (__TEXT,__text) external _fgetxattr
000000018043ff08 (__TEXT,__text) external _fhopen
0000000180437ee0 (__TEXT,__text) external _fileport_makefd
000000018043815c (__TEXT,__text) external _fileport_makeport
000000018043dfc0 (__TEXT,__text) external _flistxattr
0000000180435b90 (__TEXT,__text) external _flock
000000018043ff34 (__TEXT,__text) external _fmount
000000018043ff60 (__TEXT,__text) external _fpathconf
0000000180443be8 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
000000018043ff8c (__TEXT,__text) external _freadlink
000000018043ffb8 (__TEXT,__text) external _fremovexattr
000000018044c57c (__TEXT,__text) external _fs_snapshot_create
000000018044c598 (__TEXT,__text) external _fs_snapshot_delete
000000018043a404 (__TEXT,__text) external _fs_snapshot_list
000000018044c608 (__TEXT,__text) external _fs_snapshot_mount
000000018044c5b4 (__TEXT,__text) external _fs_snapshot_rename
000000018044c5d0 (__TEXT,__text) external _fs_snapshot_revert
000000018044c5ec (__TEXT,__text) external _fs_snapshot_root
0000000180435520 (__TEXT,__text) external _fsctl
0000000180437638 (__TEXT,__text) external _fsetattrlist
0000000180437060 (__TEXT,__text) external _fsetxattr
000000018043560c (__TEXT,__text) external _fsgetpath
000000018043ffe4 (__TEXT,__text) external _fsgetpath_ext
000000018044003c (__TEXT,__text) external _fstat
000000018044003c (__TEXT,__text) external _fstat64
0000000180440094 (__TEXT,__text) external _fstatat
0000000180440094 (__TEXT,__text) external _fstatat64
000000018043d72c (__TEXT,__text) external _fstatfs
000000018043d72c (__TEXT,__text) external _fstatfs64
0000000180446e90 (__TEXT,__text) external _fstatfs_ext
00000001804356bc (__TEXT,__text) external _fsync
000000018043ec08 (__TEXT,__text) external _fsync$NOCANCEL
0000000180435314 (__TEXT,__text) external _ftruncate
00000001804468d8 (__TEXT,__text) external _futimens
000000018043724c (__TEXT,__text) external _futimes
00000001ebe036d8 (__DATA,__crash_info) non-external _gCRAnnotations
0000000180432618 (__TEXT,__text) external _getattrlist
00000001804400ec (__TEXT,__text) external _getattrlistat
000000018043536c (__TEXT,__text) external _getattrlistbulk
000000018044f828 (__TEXT,__text) external _getaudit
0000000180433fac (__TEXT,__text) external _getaudit_addr
0000000180440118 (__TEXT,__text) external _getauid
0000000180440144 (__TEXT,__text) external _getdirentries
0000000180440170 (__TEXT,__text) external _getdirentriesattr
000000018043a8ac (__TEXT,__text) external _getdtablesize
0000000180433768 (__TEXT,__text) external _getegid
0000000180432120 (__TEXT,__text) external _getentropy
0000000180432f08 (__TEXT,__text) external _geteuid
000000018044019c (__TEXT,__text) external _getfh
00000001804401f4 (__TEXT,__text) external _getfsstat
00000001804401f4 (__TEXT,__text) external _getfsstat64
0000000180435e00 (__TEXT,__text) external _getgid
0000000180437690 (__TEXT,__text) external _getgroups
0000000180437420 (__TEXT,__text) external _gethostuuid
00000001804363e0 (__TEXT,__text) external _getiopolicy_np
0000000180440220 (__TEXT,__text) external _getitimer
000000018043628c (__TEXT,__text) external _getpeername
000000018043c078 (__TEXT,__text) external _getpgid
000000018043a4e8 (__TEXT,__text) external _getpgrp
000000018043215c (__TEXT,__text) external _getpid
00000001804381e0 (__TEXT,__text) external _getppid
000000018043a328 (__TEXT,__text) external _getpriority
0000000180433f78 (__TEXT,__text) external _getrlimit
0000000180439588 (__TEXT,__text) external _getrusage
000000018043ec34 (__TEXT,__text) external _getsgroups_np
000000018044024c (__TEXT,__text) external _getsid
0000000180439790 (__TEXT,__text) external _getsockname
00000001804361a8 (__TEXT,__text) external _getsockopt
0000000180433710 (__TEXT,__text) external _getuid
000000018043ec60 (__TEXT,__text) external _getwgroups_np
0000000180434d90 (__TEXT,__text) external _getxattr
0000000180440278 (__TEXT,__text) external _grab_pgo_data
00000001804402a4 (__TEXT,__text) external _graftdmg
0000000180435690 (__TEXT,__text) external _guarded_close_np
000000018043c7c0 (__TEXT,__text) external _guarded_kqueue_np
0000000180443c60 (__TEXT,__text) external _guarded_open_dprotected_np
000000018043541c (__TEXT,__text) external _guarded_open_np
0000000180435478 (__TEXT,__text) external _guarded_pwrite_np
00000001804398f4 (__TEXT,__text) external _guarded_write_np
00000001804402d0 (__TEXT,__text) external _guarded_writev_np
000000018046b487 (__TEXT,__cstring) non-external _hex
0000000180443cb0 (__TEXT,__text) external _host_check_multiuser_mode
0000000180432cd4 (__TEXT,__text) external _host_create_mach_voucher
0000000180431cb0 (__TEXT,__text) external _host_create_mach_voucher_trap
0000000180451180 (__TEXT,__text) external _host_default_memory_manager
0000000180452b48 (__TEXT,__text) external _host_get_UNDServer
0000000180443c90 (__TEXT,__text) external _host_get_atm_diagnostic_flag
0000000180450c2c (__TEXT,__text) external _host_get_boot_info
0000000180451850 (__TEXT,__text) external _host_get_clock_control
0000000180437a90 (__TEXT,__text) external _host_get_clock_service
0000000180452020 (__TEXT,__text) external _host_get_exception_ports
00000001804537dc (__TEXT,__text) external _host_get_io_main
00000001804356e8 (__TEXT,__text) external _host_get_io_master
0000000180443ca8 (__TEXT,__text) external _host_get_multiuser_config_flags
000000018043291c (__TEXT,__text) external _host_get_special_port
0000000180436afc (__TEXT,__text) external _host_info
0000000180453168 (__TEXT,__text) external _host_kernel_version
00000001804540a8 (__TEXT,__text) external _host_lockgroup_info
0000000180443e08 (__TEXT,__text) external _host_page_size
0000000180450f60 (__TEXT,__text) external _host_priv_statistics
0000000180453640 (__TEXT,__text) external _host_processor_info
00000001804528bc (__TEXT,__text) external _host_processor_set_priv
000000018045273c (__TEXT,__text) external _host_processor_sets
00000001804516d0 (__TEXT,__text) external _host_processors
0000000180450e44 (__TEXT,__text) external _host_reboot
0000000180454710 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
000000018045489c (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
0000000180433c78 (__TEXT,__text) external _host_request_notification
0000000180452e8c (__TEXT,__text) external _host_security_create_task_token
0000000180453028 (__TEXT,__text) external _host_security_set_task_token
000000018044468c (__TEXT,__text) external _host_self
0000000180431b60 (__TEXT,__text) external _host_self_trap
0000000180452a2c (__TEXT,__text) external _host_set_UNDServer
0000000180454a1c (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000180451ef0 (__TEXT,__text) external _host_set_exception_ports
0000000180454d4c (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180451dc4 (__TEXT,__text) external _host_set_special_port
000000018043c170 (__TEXT,__text) external _host_statistics
000000018043ba04 (__TEXT,__text) external _host_statistics64
00000001804522e4 (__TEXT,__text) external _host_swap_exception_ports
0000000180453ab8 (__TEXT,__text) external _host_virtual_physical_table_info
00000001ebe038b0 (__DATA,__data) external _important_boost_assertion_token
00000001ef4a5860 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
0000000180443b38 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001ebe038a0 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
0000000180443a68 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001ebe03898 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
0000000180443984 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001ebe03890 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
000000018043609c (__TEXT,__text) external _ioctl
0000000180431924 (__TEXT,__text) external _issetugid
00000001ebe03918 (__DATA,__bss) non-external _kAccountingThreshold
00000001804402fc (__TEXT,__text) external _kas_info
00000001804317c0 (__TEXT,__text) external _kdebug_is_enabled
000000018044c7a0 (__TEXT,__text) external _kdebug_signpost
000000018043c164 (__TEXT,__text) external _kdebug_signpost_end
000000018043c0b0 (__TEXT,__text) non-external _kdebug_signpost_internal
000000018043c0a4 (__TEXT,__text) external _kdebug_signpost_start
000000018044c750 (__TEXT,__text) external _kdebug_timestamp
000000018044c768 (__TEXT,__text) external _kdebug_timestamp_from_absolute
000000018044c784 (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001804318a4 (__TEXT,__text) external _kdebug_trace
0000000180434724 (__TEXT,__text) external _kdebug_trace_string
0000000180431820 (__TEXT,__text) external _kdebug_typefilter
00000001ee410718 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
000000018044c73c (__TEXT,__text) external _kdebug_using_continuous_time
0000000180437cfc (__TEXT,__text) external _kevent
000000018043d954 (__TEXT,__text) external _kevent64
000000018043392c (__TEXT,__text) external _kevent_id
0000000180433900 (__TEXT,__text) external _kevent_qos
0000000180452ca4 (__TEXT,__text) external _kext_request
0000000180439d94 (__TEXT,__text) external _kill
0000000180451c24 (__TEXT,__text) external _kmod_control
00000001804519bc (__TEXT,__text) external _kmod_create
0000000180451b08 (__TEXT,__text) external _kmod_destroy
0000000180453938 (__TEXT,__text) external _kmod_get_info
000000018044f914 (__TEXT,__text) external _kpersona_alloc
000000018044f994 (__TEXT,__text) external _kpersona_dealloc
000000018044fa60 (__TEXT,__text) external _kpersona_find
000000018044fb44 (__TEXT,__text) external _kpersona_find_by_type
0000000180435dc0 (__TEXT,__text) external _kpersona_get
000000018044f9d8 (__TEXT,__text) external _kpersona_getpath
0000000180435ac8 (__TEXT,__text) external _kpersona_info
000000018044f954 (__TEXT,__text) external _kpersona_palloc
000000018044fa1c (__TEXT,__text) external _kpersona_pidinfo
0000000180437cd0 (__TEXT,__text) external _kqueue
00000001804376bc (__TEXT,__text) external _lchown
0000000180440328 (__TEXT,__text) external _ledger
00000001804364a4 (__TEXT,__text) external _link
0000000180440354 (__TEXT,__text) external _linkat
0000000180440380 (__TEXT,__text) external _lio_listio
000000018043a438 (__TEXT,__text) external _listen
0000000180435398 (__TEXT,__text) external _listxattr
000000018045d18c (__TEXT,__text) external _lock_set_create
000000018045d2f4 (__TEXT,__text) external _lock_set_destroy
0000000180447228 (__TEXT,__text) external _log_data_as_kernel
00000001804334dc (__TEXT,__text) external _lseek
000000018043d60c (__TEXT,__text) external _lstat
000000018043d60c (__TEXT,__text) external _lstat64
0000000180432084 (__TEXT,__text) external _mach_absolute_time
0000000180432108 (__TEXT,__text) external _mach_absolute_time_kernel
0000000180433344 (__TEXT,__text) external _mach_approximate_time
000000018044636c (__TEXT,__text) external _mach_boottime_usec
0000000180439228 (__TEXT,__text) external _mach_continuous_approximate_time
000000018043200c (__TEXT,__text) external _mach_continuous_time
0000000180432114 (__TEXT,__text) external _mach_continuous_time_kernel
0000000180443d80 (__TEXT,__text) external _mach_error
00000001ebe038e0 (__DATA,__common) external _mach_error_full_diag
000000018043833c (__TEXT,__text) external _mach_error_string
0000000180438360 (__TEXT,__text) non-external _mach_error_string_int
0000000180443cb8 (__TEXT,__text) external _mach_error_type
00000001804648d0 (__TEXT,__text) external _mach_eventlink_associate
0000000180464618 (__TEXT,__text) external _mach_eventlink_create
00000001804647b4 (__TEXT,__text) external _mach_eventlink_destroy
0000000180464a10 (__TEXT,__text) external _mach_eventlink_disassociate
000000018044683c (__TEXT,__text) external _mach_eventlink_signal
0000000180446898 (__TEXT,__text) external _mach_eventlink_signal_wait_until
0000000180446858 (__TEXT,__text) external _mach_eventlink_wait_until
0000000180431bfc (__TEXT,__text) external _mach_generate_activity_id
0000000180433b90 (__TEXT,__text) external _mach_get_times
0000000180432918 (__TEXT,__text) external _mach_host_self
00000001804422f4 (__TEXT,__text) external _mach_host_special_port_description
00000001e7fe41a8 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
0000000180442354 (__TEXT,__text) external _mach_host_special_port_for_id
00000001ebe03718 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
0000000180437934 (__TEXT,__text) external _mach_init
00000001ee410700 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
000000018043796c (__TEXT,__text) non-external _mach_init_doit
00000001804591a4 (__TEXT,__text) external _mach_make_memory_entry
0000000180433180 (__TEXT,__text) external _mach_make_memory_entry_64
000000018046436c (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001804644e8 (__TEXT,__text) external _mach_memory_entry_ownership
0000000180464214 (__TEXT,__text) external _mach_memory_entry_purgable_control
0000000180454b38 (__TEXT,__text) external _mach_memory_info
00000001804534b8 (__TEXT,__text) external _mach_memory_object_memory_entry
0000000180453f20 (__TEXT,__text) external _mach_memory_object_memory_entry_64
0000000180431f90 (__TEXT,__text) external _mach_msg
0000000180444354 (__TEXT,__text) external _mach_msg2_internal
0000000180431c2c (__TEXT,__text) external _mach_msg2_trap
0000000180432a84 (__TEXT,__text) external _mach_msg_destroy
0000000180432bc8 (__TEXT,__text) non-external _mach_msg_destroy_port
000000018043a580 (__TEXT,__text) external _mach_msg_overwrite
0000000180431b78 (__TEXT,__text) external _mach_msg_overwrite_trap
000000018044446c (__TEXT,__text) external _mach_msg_priority_encode
000000018044445c (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001804444a0 (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001804444b0 (__TEXT,__text) external _mach_msg_priority_qos
00000001804444c0 (__TEXT,__text) external _mach_msg_priority_relpri
000000018043dfec (__TEXT,__text) external _mach_msg_receive
0000000180436468 (__TEXT,__text) external _mach_msg_send
0000000180439a3c (__TEXT,__text) external _mach_msg_server
000000018043a844 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
0000000180444458 (__TEXT,__text) external _mach_msg_server_importance
000000018043cda0 (__TEXT,__text) external _mach_msg_server_once
0000000180431b6c (__TEXT,__text) external _mach_msg_trap
000000018045a3dc (__TEXT,__text) external _mach_notify_dead_name
000000018045a318 (__TEXT,__text) external _mach_notify_no_senders
000000018045a23c (__TEXT,__text) external _mach_notify_port_deleted
000000018045a2a4 (__TEXT,__text) external _mach_notify_port_destroyed
000000018045a380 (__TEXT,__text) external _mach_notify_send_once
0000000180433da4 (__TEXT,__text) external _mach_port_allocate
000000018044f384 (__TEXT,__text) external _mach_port_allocate_full
000000018044f370 (__TEXT,__text) external _mach_port_allocate_name
000000018044f380 (__TEXT,__text) external _mach_port_allocate_qos
000000018044f5f4 (__TEXT,__text) external _mach_port_assert_attributes
0000000180432d64 (__TEXT,__text) external _mach_port_construct
0000000180432f34 (__TEXT,__text) external _mach_port_deallocate
000000018043741c (__TEXT,__text) external _mach_port_destroy
0000000180433570 (__TEXT,__text) external _mach_port_destruct
000000018044f524 (__TEXT,__text) external _mach_port_dnrequest_info
0000000180435220 (__TEXT,__text) external _mach_port_extract_member
000000018043bdcc (__TEXT,__text) external _mach_port_extract_right
000000018043452c (__TEXT,__text) external _mach_port_get_attributes
000000018043708c (__TEXT,__text) external _mach_port_get_context
000000018043506c (__TEXT,__text) external _mach_port_get_refs
000000018044f5f0 (__TEXT,__text) external _mach_port_get_service_port_info
000000018043dbcc (__TEXT,__text) external _mach_port_get_set_status
000000018044f38c (__TEXT,__text) external _mach_port_get_srights
0000000180434a8c (__TEXT,__text) external _mach_port_guard
000000018044f5e4 (__TEXT,__text) external _mach_port_guard_with_flags
0000000180433e14 (__TEXT,__text) external _mach_port_insert_member
0000000180434040 (__TEXT,__text) external _mach_port_insert_right
000000018044f5ec (__TEXT,__text) external _mach_port_is_connection_for_service
000000018044f528 (__TEXT,__text) external _mach_port_kernel_object
000000018044f56c (__TEXT,__text) external _mach_port_kobject
000000018044f570 (__TEXT,__text) external _mach_port_kobject_description
0000000180432318 (__TEXT,__text) external _mach_port_mod_refs
0000000180436d1c (__TEXT,__text) external _mach_port_move_member
000000018044f368 (__TEXT,__text) external _mach_port_names
000000018044f374 (__TEXT,__text) external _mach_port_peek
000000018044f36c (__TEXT,__text) external _mach_port_rename
00000001804339dc (__TEXT,__text) external _mach_port_request_notification
00000001804345b8 (__TEXT,__text) external _mach_port_set_attributes
000000018043daac (__TEXT,__text) external _mach_port_set_context
000000018044f378 (__TEXT,__text) external _mach_port_set_mscount
000000018044f37c (__TEXT,__text) external _mach_port_set_seqno
000000018044f394 (__TEXT,__text) external _mach_port_space_basic_info
000000018044f390 (__TEXT,__text) external _mach_port_space_info
000000018044f5e8 (__TEXT,__text) external _mach_port_swap_guard
00000001804347f8 (__TEXT,__text) external _mach_port_type
000000018044f574 (__TEXT,__text) external _mach_port_unguard
000000018043d758 (__TEXT,__text) external _mach_ports_lookup
00000001804464bc (__TEXT,__text) non-external _mach_ports_lookup_legacy
00000001804395b4 (__TEXT,__text) external _mach_ports_register
00000001804463d0 (__TEXT,__text) non-external _mach_ports_register_legacy
0000000180431b3c (__TEXT,__text) external _mach_reply_port
0000000180444984 (__TEXT,__text) external _mach_right_recv_construct
0000000180444a5c (__TEXT,__text) external _mach_right_recv_destruct
0000000180444af4 (__TEXT,__text) external _mach_right_send_create
0000000180444c3c (__TEXT,__text) external _mach_right_send_once_consume
0000000180444bd0 (__TEXT,__text) external _mach_right_send_once_create
00000001804364d0 (__TEXT,__text) external _mach_right_send_release
0000000180444b5c (__TEXT,__text) external _mach_right_send_retain
000000018044f404 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
000000018044f4b0 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
000000018044637c (__TEXT,__text) external _mach_task_is_self
0000000180444980 (__TEXT,__text) external _mach_task_self
00000001ee410da0 (__DATA_DIRTY,__common) external _mach_task_self_
0000000180442314 (__TEXT,__text) external _mach_task_special_port_description
00000001e7fe42c8 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
0000000180442418 (__TEXT,__text) external _mach_task_special_port_for_id
00000001ebe03810 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
0000000180437a60 (__TEXT,__text) external _mach_thread_self
0000000180442334 (__TEXT,__text) external _mach_thread_special_port_description
00000001e7fe4328 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
0000000180442428 (__TEXT,__text) external _mach_thread_special_port_for_id
00000001ebe03870 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
0000000180431fb4 (__TEXT,__text) external _mach_timebase_info
00000001ee41070c (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
0000000180431cec (__TEXT,__text) external _mach_timebase_info_trap
0000000180433ec4 (__TEXT,__text) external _mach_vm_allocate
0000000180458c38 (__TEXT,__text) external _mach_vm_behavior_set
0000000180439920 (__TEXT,__text) external _mach_vm_copy
000000018043366c (__TEXT,__text) external _mach_vm_deallocate
0000000180459978 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_allocate
0000000180459ad0 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_flush
0000000180459ebc (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_resize
0000000180459bf0 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
00000001804585b8 (__TEXT,__text) external _mach_vm_inherit
0000000180458d58 (__TEXT,__text) external _mach_vm_machine_attribute
0000000180431950 (__TEXT,__text) external _mach_vm_map
0000000180458b18 (__TEXT,__text) external _mach_vm_msync
0000000180459490 (__TEXT,__text) external _mach_vm_page_info
0000000180459040 (__TEXT,__text) external _mach_vm_page_query
000000018045967c (__TEXT,__text) external _mach_vm_page_range_query
0000000180435904 (__TEXT,__text) external _mach_vm_protect
00000001804354a8 (__TEXT,__text) external _mach_vm_purgable_control
0000000180459d0c (__TEXT,__text) external _mach_vm_range_create
000000018044f728 (__TEXT,__text) external _mach_vm_read
0000000180458860 (__TEXT,__text) external _mach_vm_read_list
000000018043cc50 (__TEXT,__text) external _mach_vm_read_overwrite
0000000180445240 (__TEXT,__text) external _mach_vm_reclaim_is_reusable
00000001804451bc (__TEXT,__text) external _mach_vm_reclaim_query_state
0000000180444cec (__TEXT,__text) external _mach_vm_reclaim_ring_allocate
0000000180445250 (__TEXT,__text) external _mach_vm_reclaim_ring_capacity
000000018044527c (__TEXT,__text) external _mach_vm_reclaim_ring_flush
0000000180444d98 (__TEXT,__text) external _mach_vm_reclaim_ring_resize
0000000180444df8 (__TEXT,__text) external _mach_vm_reclaim_round_capacity
0000000180444fec (__TEXT,__text) external _mach_vm_reclaim_try_cancel
0000000180444e44 (__TEXT,__text) external _mach_vm_reclaim_try_enter
000000018044522c (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
00000001804365e0 (__TEXT,__text) external _mach_vm_region
000000018043c9dc (__TEXT,__text) external _mach_vm_region_recurse
000000018044f5f8 (__TEXT,__text) external _mach_vm_remap
000000018044f690 (__TEXT,__text) external _mach_vm_remap_new
000000018044f824 (__TEXT,__text) external _mach_vm_update_pointers_with_remote_tags
000000018045260c (__TEXT,__text) external _mach_vm_wire
00000001804589e4 (__TEXT,__text) external _mach_vm_write
0000000180436844 (__TEXT,__text) external _mach_voucher_attr_command
0000000180433534 (__TEXT,__text) external _mach_voucher_deallocate
0000000180464fd8 (__TEXT,__text) external _mach_voucher_debug_info
0000000180464d84 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
000000018043c574 (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001804344b4 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
0000000180431cbc (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
0000000180431cf8 (__TEXT,__text) external _mach_wait_until
0000000180454404 (__TEXT,__text) external _mach_zone_force_gc
0000000180455314 (__TEXT,__text) external _mach_zone_get_btlog_records
0000000180455184 (__TEXT,__text) external _mach_zone_get_zlog_zones
0000000180454238 (__TEXT,__text) external _mach_zone_info
0000000180454fd8 (__TEXT,__text) external _mach_zone_info_for_largest_zone
0000000180454e68 (__TEXT,__text) external _mach_zone_info_for_zone
0000000180431c74 (__TEXT,__text) external _macx_backing_store_recovery
0000000180431c68 (__TEXT,__text) external _macx_backing_store_suspend
0000000180431c44 (__TEXT,__text) external _macx_swapoff
0000000180431c38 (__TEXT,__text) external _macx_swapon
0000000180431c5c (__TEXT,__text) external _macx_triggers
