00007ff901305fc0 (__TEXT,__text) non-external +[Calculate _lock]
00007ff901302200 (__TEXT,__text) non-external -[UnitRanks containsCurrency]
00007ff9013021e2 (__TEXT,__text) non-external -[UnitRanks containsFrom]
00007ff9013021ec (__TEXT,__text) non-external -[UnitRanks containsTo]
00007ff9013021f6 (__TEXT,__text) non-external -[UnitRanks containsUnit]
00007ff901301da9 (__TEXT,__text) non-external -[UnitRanks initWithUnitsInfo:]
00007ff901301e72 (__TEXT,__text) non-external -[UnitRanks init]
00007ff901301f6a (__TEXT,__text) non-external -[UnitRanks isAmbiguous]
00007ff9013021c7 (__TEXT,__text) non-external -[UnitRanks ranks]
00007ff9013021d1 (__TEXT,__text) non-external -[UnitRanks setRanks:]
00007ff90130223b (__TEXT,__text) non-external -[UnitRanks setUnits:]
00007ff901302220 (__TEXT,__text) non-external -[UnitRanks setUnitsInfo:]
00007ff901301f21 (__TEXT,__text) non-external -[UnitRanks sort]
00007ff90130220a (__TEXT,__text) non-external -[UnitRanks unitsInfo]
00007ff901302231 (__TEXT,__text) non-external -[UnitRanks units]
00007ff901302cad (__TEXT,__text) non-external -[UnitTypeInfo .cxx_destruct]
00007ff901302c4d (__TEXT,__text) non-external -[UnitTypeInfo baseUnit]
00007ff901302b6d (__TEXT,__text) non-external -[UnitTypeInfo decompositionCoefficient]
00007ff901302b89 (__TEXT,__text) non-external -[UnitTypeInfo decomposition]
00007ff901302c87 (__TEXT,__text) non-external -[UnitTypeInfo isCurrency]
00007ff901302b5a (__TEXT,__text) non-external -[UnitTypeInfo isDecomposable]
00007ff901302c74 (__TEXT,__text) non-external -[UnitTypeInfo isTemperature]
00007ff901302c9a (__TEXT,__text) non-external -[UnitTypeInfo isVolume]
00007ff901302b3f (__TEXT,__text) non-external -[UnitTypeInfo name]
00007ff901302c63 (__TEXT,__text) non-external -[UnitTypeInfo setBaseUnit:]
00007ff901302bdd (__TEXT,__text) non-external -[UnitTypeInfo setDecomposition:]
00007ff901302b7b (__TEXT,__text) non-external -[UnitTypeInfo setDecompositionCoefficient:]
00007ff901302c91 (__TEXT,__text) non-external -[UnitTypeInfo setIsCurrency:]
00007ff901302b64 (__TEXT,__text) non-external -[UnitTypeInfo setIsDecomposable:]
00007ff901302c7e (__TEXT,__text) non-external -[UnitTypeInfo setIsTemperature:]
00007ff901302ca4 (__TEXT,__text) non-external -[UnitTypeInfo setIsVolume:]
00007ff901302b49 (__TEXT,__text) non-external -[UnitTypeInfo setName:]
00007ff901302b36 (__TEXT,__text) non-external -[UnitTypeInfo setUnitType:]
00007ff901302c3c (__TEXT,__text) non-external -[UnitTypeInfo setUnits:]
00007ff901302b2d (__TEXT,__text) non-external -[UnitTypeInfo unitType]
00007ff901302c32 (__TEXT,__text) non-external -[UnitTypeInfo units]
00007ff901304fe1 (__TEXT,__text) non-external -[UnitsInfo .cxx_destruct]
00007ff901304f6c (__TEXT,__text) non-external -[UnitsInfo angleInfo]
00007ff901304f93 (__TEXT,__text) non-external -[UnitsInfo degreesInfo]
00007ff901304eae (__TEXT,__text) non-external -[UnitsInfo infoForAngle]
00007ff901304ec0 (__TEXT,__text) non-external -[UnitsInfo infoForDegrees]
00007ff901304ed2 (__TEXT,__text) non-external -[UnitsInfo infoForRadians]
00007ff901304d69 (__TEXT,__text) non-external -[UnitsInfo infoForUnitID:]
00007ff901304e10 (__TEXT,__text) non-external -[UnitsInfo infoForUnitName:]
00007ff901304c48 (__TEXT,__text) non-external -[UnitsInfo infoForUnitType:]
00007ff901304cef (__TEXT,__text) non-external -[UnitsInfo infoForUnitTypeName:]
00007ff901302fb6 (__TEXT,__text) non-external -[UnitsInfo initWithDictionary:]
00007ff901304e9c (__TEXT,__text) non-external -[UnitsInfo objectAtIndexedSubscript:]
00007ff901304e8a (__TEXT,__text) non-external -[UnitsInfo objectForKeyedSubscript:]
00007ff901302cde (__TEXT,__text) non-external -[UnitsInfo populateSubunitIDs:forUnit:visited:]
00007ff901304fba (__TEXT,__text) non-external -[UnitsInfo radiansInfo]
00007ff901304f82 (__TEXT,__text) non-external -[UnitsInfo setAngleInfo:]
00007ff901304fa9 (__TEXT,__text) non-external -[UnitsInfo setDegreesInfo:]
00007ff901304fd0 (__TEXT,__text) non-external -[UnitsInfo setRadiansInfo:]
00007ff901304f25 (__TEXT,__text) non-external -[UnitsInfo setUnitIDToInfo:]
00007ff901304f0a (__TEXT,__text) non-external -[UnitsInfo setUnitNameToInfo:]
00007ff901304f40 (__TEXT,__text) non-external -[UnitsInfo setUnitTypeNameToInfo:]
00007ff901304f5b (__TEXT,__text) non-external -[UnitsInfo setUnitTypeToInfo:]
00007ff901304eee (__TEXT,__text) non-external -[UnitsInfo unitCount]
00007ff901304f1b (__TEXT,__text) non-external -[UnitsInfo unitIDToInfo]
00007ff901304f00 (__TEXT,__text) non-external -[UnitsInfo unitNameToInfo]
00007ff901304ee4 (__TEXT,__text) non-external -[UnitsInfo unitNames]
00007ff901304ef7 (__TEXT,__text) non-external -[UnitsInfo unitTypeCount]
00007ff901304f36 (__TEXT,__text) non-external -[UnitsInfo unitTypeNameToInfo]
00007ff901304f51 (__TEXT,__text) non-external -[UnitsInfo unitTypeToInfo]
00007ff90148b5d0 (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00007ff90148b5f0 (__TEXT,__gcc_except_tab) non-external GCC_except_table11
00007ff90148b5e0 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00007ff90148b650 (__TEXT,__gcc_except_tab) non-external GCC_except_table392
00007ff90148bde8 (__TEXT,__gcc_except_tab) non-external GCC_except_table424
00007ff90148b61c (__TEXT,__gcc_except_tab) non-external GCC_except_table43
00007ff90148be08 (__TEXT,__gcc_except_tab) non-external GCC_except_table575
00007ff90148bf18 (__TEXT,__gcc_except_tab) non-external GCC_except_table610
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFPreferencesAppSynchronize (from CoreFoundation)
                 (undefined) external _CFPreferencesCopyAppValue (from CoreFoundation)
                 (undefined) external _CFPreferencesSetAppValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringTokenizerAdvanceToNextToken (from CoreFoundation)
                 (undefined) external _CFStringTokenizerCreate (from CoreFoundation)
                 (undefined) external _CFStringTokenizerGetCurrentTokenRange (from CoreFoundation)
00007ff9013165d6 (__TEXT,__text) external _CalculateExpression
00007ff9013162f6 (__TEXT,__text) external _CalculateExpressionError
00007ff9013165e3 (__TEXT,__text) external _CalculateInternationalExpression
00007ff94028bcf0 (__DATA_CONST,__const) external _CalculateKeyAllowConversions
00007ff94028bce0 (__DATA_CONST,__const) external _CalculateKeyAllowPartialExpressions
00007ff94028bce8 (__DATA_CONST,__const) external _CalculateKeyAllowUnits
00007ff94028bcc8 (__DATA_CONST,__const) external _CalculateKeyAutoScientificNotation
00007ff94028bcd8 (__DATA_CONST,__const) external _CalculateKeyConvertTrivial
00007ff94028bd08 (__DATA_CONST,__const) external _CalculateKeyEngine
00007ff94028bd18 (__DATA_CONST,__const) external _CalculateKeyExpectedUnitTypes
00007ff94028bcd0 (__DATA_CONST,__const) external _CalculateKeyFlexibleFractionDigits
00007ff94028bd10 (__DATA_CONST,__const) external _CalculateKeyIgnoreProbableSearches
00007ff94028bcb8 (__DATA_CONST,__const) external _CalculateKeyLocales
00007ff94028bd20 (__DATA_CONST,__const) external _CalculateKeyLocalizeUnit
00007ff94028bcf8 (__DATA_CONST,__const) external _CalculateKeyMaximumConversions
00007ff94028bcc0 (__DATA_CONST,__const) external _CalculateKeyNumberFormatter
00007ff94028bd00 (__DATA_CONST,__const) external _CalculateKeyPreferMixedUnits
00007ff901301a05 (__TEXT,__text) non-external _CalculateLogForCategory
00007ff941f64ef0 (__DATA,__bss) non-external _CalculateLogForCategory.logObjects.0
00007ff941f64ef8 (__DATA,__bss) non-external _CalculateLogForCategory.loggingToken
00007ff9013162e3 (__TEXT,__text) external _CalculatePerformExpression
00007ff9012f0640 (__TEXT,__text) non-external _CountLeadingZeros
00007ff941f64e98 (__DATA,__bss) non-external _DecimalPi.initialized
00007ff941f64e80 (__DATA,__bss) non-external _DecimalPi.pi.0
00007ff941f64e90 (__DATA,__bss) non-external _DecimalPi.pi.1
00007ff9012f8d89 (__TEXT,__text) non-external _DecimalToDegrees
00007ff941f64ed8 (__DATA,__bss) non-external _DecimalToDegrees.initialized
00007ff941f64ec0 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.0
00007ff941f64ed0 (__DATA,__bss) non-external _DecimalToDegrees.toDegrees.1
00007ff941f64eb8 (__DATA,__bss) non-external _DecimalToRadians.initialized
00007ff941f64ea0 (__DATA,__bss) non-external _DecimalToRadians.to_radians.0
00007ff941f64eb0 (__DATA,__bss) non-external _DecimalToRadians.to_radians.1
00007ff941f64e58 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.initialized
00007ff941f64e40 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.0
00007ff941f64e50 (__DATA,__bss) non-external _DecimalTrigInfThresholdNegative.threshold.1
00007ff941f64e78 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.initialized
00007ff941f64e60 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.0
00007ff941f64e70 (__DATA,__bss) non-external _DecimalTrigInfThresholdPositive.threshold.1
00007ff941f64e18 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.initialized
00007ff941f64e00 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.0
00007ff941f64e10 (__DATA,__bss) non-external _DecimalTrigZeroThresholdNegative.threshold.1
00007ff941f64e38 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.initialized
00007ff941f64e20 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.0
00007ff941f64e30 (__DATA,__bss) non-external _DecimalTrigZeroThresholdPositive.threshold.1
                 (undefined) external _NSCalendarIdentifierGregorian (from CoreFoundation)
                 (undefined) external _NSCurrentLocaleDidChangeNotification (from CoreFoundation)
                 (undefined) external _NSDecimalCompare (from Foundation)
                 (undefined) external _NSLocaleCurrencyCode (from CoreFoundation)
                 (undefined) external _NSLocaleGroupingSeparator (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystem (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemMetric (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUK (from CoreFoundation)
                 (undefined) external _NSLocaleMeasurementSystemUS (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnit (from CoreFoundation)
                 (undefined) external _NSLocaleTemperatureUnitCelsius (from CoreFoundation)
                 (undefined) external _NSLog (from Foundation)
                 (undefined) external _NSStringTransformStripDiacritics (from CoreFoundation)
00007ff941f64520 (__DATA,__objc_data) external _OBJC_CLASS_$_Calculate
00007ff941f64638 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateRequest
00007ff941f645c0 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateResult
00007ff941f64598 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateTerm
00007ff941f646b0 (__DATA,__objc_data) non-external _OBJC_CLASS_$_CalculateToken
00007ff941f64700 (__DATA,__objc_data) non-external _OBJC_CLASS_$_CalculateTokenizer
00007ff941f64548 (__DATA,__objc_data) external _OBJC_CLASS_$_CalculateUnit
00007ff941f642c8 (__DATA,__objc_data) external _OBJC_CLASS_$_Converter
00007ff941f642f0 (__DATA,__objc_data) external _OBJC_CLASS_$_CurrencyCache
00007ff941f647a0 (__DATA,__objc_data) non-external _OBJC_CLASS_$_Localize
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCache (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendar (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDoubleNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDecimalNumberHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSJSONSerialization (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLocale (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableCharacterSet (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableURLRequest (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumberFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OACredential (from OAuth)
                 (undefined) external _OBJC_CLASS_$_OAURLRequestSigner (from OAuth)
00007ff941f64728 (__DATA,__objc_data) non-external _OBJC_CLASS_$_Trie
00007ff941f644a8 (__DATA,__objc_data) non-external _OBJC_CLASS_$_TrieNode
00007ff941f643e0 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitInfo
00007ff941f64778 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitRank
00007ff941f64750 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitRanks
00007ff941f64458 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitTypeInfo
00007ff941f647f0 (__DATA,__objc_data) non-external _OBJC_CLASS_$_UnitsInfo
                 (undefined) external _OBJC_EHTYPE_id (from libobjc)
00007ff941f641c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._expression
00007ff941f641c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._isCanceled
00007ff941f641d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._options
00007ff941f641d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._result
00007ff941f641e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateRequest._resultHandler
00007ff941f64118 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._autoScientificNotation
00007ff941f64188 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._conversions
00007ff941f64158 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._expression
00007ff941f64120 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._flexibleFractionDigits
00007ff941f64130 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._hasStaleCurrencyData
00007ff941f64180 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._inputValueAndUnit
00007ff941f64128 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._isTrivial
00007ff941f64168 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._locales
00007ff941f64140 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._localizeUnit
00007ff941f64160 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._numberFormatter
00007ff941f64190 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parent
00007ff941f64198 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._parseTree
00007ff941f641a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._resultTree
00007ff941f64150 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._singleUnitID
00007ff941f64138 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._synchronous
00007ff941f64178 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._terms
00007ff941f641b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._typeInfo
00007ff941f64148 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitExponent
00007ff941f641a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitFormat
00007ff941f64170 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitType
00007ff941f641b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateResult._unitsInfo
00007ff941f64110 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._decimalValue
00007ff941f64108 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._result
00007ff941f64100 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._units
00007ff941f640f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTerm._value
00007ff941f64200 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._range
00007ff941f641f8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._ranks
00007ff941f641f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._text
00007ff941f641e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateToken._tokenType
00007ff941f64208 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._index
00007ff941f64248 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._lastToken
00007ff941f64218 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._locales
00007ff941f64238 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekIndex
00007ff941f64240 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._peekTokens
00007ff941f64210 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._string
00007ff941f64230 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._stringLength
00007ff941f64228 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._trie
00007ff941f64220 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._unitsInfo
00007ff941f64250 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndices
00007ff941f64258 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateTokenizer._wordBreakIndicesIndex
00007ff941f640d0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._exponent
00007ff941f640d8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._name
00007ff941f640e8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._nextSmallest
00007ff941f640f0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitInfo
00007ff941f640e0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CalculateUnit._unitType
00007ff941f642b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._additionalResults
00007ff941f642c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._conversionType
00007ff941f642b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._currencyUpdateTimeOut
00007ff941f64260 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputString
00007ff941f64268 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputUnit
00007ff941f64280 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._inputValue
00007ff941f642a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._isCurrency
00007ff941f64288 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedInputValueAndUnit
00007ff941f642a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputUnit
00007ff941f64298 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValue
00007ff941f64290 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._localizedOutputValueAndUnit
00007ff941f64270 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputUnit
00007ff941f64278 (__DATA,__objc_ivar) external _OBJC_IVAR_$_Converter._outputValue
00007ff941f63e80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currencyData
00007ff941f63e88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentCurrency
00007ff941f63e90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentRate
00007ff941f63e98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._currentString
00007ff941f63e68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._lastRefreshDate
00007ff941f63eb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lastRefreshTimeInternal
00007ff941f63eb8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_CurrencyCache._lock
00007ff941f63ea0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._mutableCurrencyCache
00007ff941f63e70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._refreshInterval
00007ff941f63ea8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._serializer
00007ff941f63e78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._timeout
00007ff941f63e60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CurrencyCache._uuid
00007ff941f64078 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._autocompress
00007ff941f64088 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterCount
00007ff941f64090 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characterSize
00007ff941f640b0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._characters
00007ff941f64080 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._compressed
00007ff941f640c8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._firstByteCache
00007ff941f64098 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeCount
00007ff941f640a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodeSize
00007ff941f640b8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._nodes
00007ff941f640c0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._objects
00007ff941f640a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_Trie._root
00007ff941f64060 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._node
00007ff941f64068 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._offset
00007ff941f64070 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_TrieNode._trie
00007ff941f63fa0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._allSubunitIDs
00007ff941f63fb8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseDenominator
00007ff941f63fb0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._baseNumerator
00007ff941f63f80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._bestEquivalent
00007ff941f63f50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._doNotSuggest
00007ff941f63f58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._formatNextSmallest
00007ff941f63f30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._impliesDivision
00007ff941f63f20 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isBaseUnit
00007ff941f63f40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isCelsius
00007ff941f63f28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isDisplayName
00007ff941f63f38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isFahrenheit
00007ff941f63f18 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isInverted
00007ff941f63f48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._isKelvin
00007ff941f63fa8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._localizationToCompactName
00007ff941f63f88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._measurementSystem
00007ff941f63f70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._name
00007ff941f63f90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._nextSmallest
00007ff941f63f98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._subunitIDs
00007ff941f63f78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._typeInfo
00007ff941f63f60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitID
00007ff941f63f68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitInfo._unitType
00007ff941f63ed8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._context
00007ff941f63ed0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._locale
00007ff941f63ec8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._rank
00007ff941f63ec0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRank._unitID
00007ff941f63ef8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsCurrency
00007ff941f63ee0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsFrom
00007ff941f63ee8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsTo
00007ff941f63ef0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsUnit
00007ff941f63f00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._ranks
00007ff941f63f10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._units
00007ff941f63f08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._unitsInfo
00007ff941f63ff8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._baseUnit
00007ff941f64008 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decomposition
