00007ff841a606e8 (__DATA,__data) non-external _C
00007ff800261a55 (__TEXT,__text) non-external (was a private external) ___setutxent
00007ff8001fe07c (__TEXT,__text) external ___sflags
00007ff8001fdaf5 (__TEXT,__text) external ___sflush
00007ff8001fe117 (__TEXT,__text) external ___sfp
00007ff8001fe2d7 (__TEXT,__text) non-external (was a private external) ___sfprelease
00007ff8001f11bd (__TEXT,__text) external ___sfvwrite
00007ff80022fed0 (__TEXT,__text) non-external (was a private external) ___sgetrune
00007ff841a609b0 (__DATA,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
00007ff8001f97b4 (__TEXT,__text) external ___sinit
00007ff800225dbc (__TEXT,__text) external ___slbexpand
00007ff800204081 (__TEXT,__text) external ___smakebuf
00007ff8001f1578 (__TEXT,__text) external ___snprintf_chk
00007ff80026b3c4 (__TEXT,__text) external ___snprintf_object_size_chk
00007ff80023683e (__TEXT,__text) external ___split_page
00007ff800252c4c (__TEXT,__text) non-external ___sprint
00007ff8001fa47e (__TEXT,__text) external ___sprintf_chk
00007ff80026b50d (__TEXT,__text) external ___sprintf_object_size_chk
00007ff80022ffaa (__TEXT,__text) non-external (was a private external) ___sputrune
00007ff800220895 (__TEXT,__text) external ___sread
00007ff8001f966c (__TEXT,__text) external ___srefill
00007ff8001f9693 (__TEXT,__text) non-external (was a private external) ___srefill0
00007ff8001f9f60 (__TEXT,__text) non-external (was a private external) ___srefill1
00007ff800216c4b (__TEXT,__text) external ___srget
00007ff8002209a8 (__TEXT,__text) external ___sseek
00007ff800258b28 (__TEXT,__text) external ___stack_chk_fail
00007ff841a3de60 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
                 (undefined) external ___stat_extended (from libsystem_kernel)
00007ff841a60990 (__DATA,__data) external ___stderrp
00007ff841a60980 (__DATA,__data) external ___stdinp
00007ff841a63160 (__DATA,__bss) non-external ___stdout_evp
00007ff841a60988 (__DATA,__data) external ___stdoutp
00007ff80026b4b8 (__TEXT,__text) external ___stpcpy_chk
00007ff80026b5da (__TEXT,__text) external ___stpncpy_chk
00007ff8001f2480 (__TEXT,__text) external ___strcat_chk
00007ff80023b010 (__TEXT,__text) external ___strcp_D2A
00007ff8001fb929 (__TEXT,__text) external ___strcpy_chk
00007ff841a3c5e8 (__DATA_DIRTY,__bss) non-external ___stream_max
00007ff841a63358 (__DATA,__bss) non-external ___strerror_ebuf
00007ff8001f6f52 (__TEXT,__text) external ___strlcat_chk
00007ff8001f1d42 (__TEXT,__text) external ___strlcpy_chk
00007ff8001f44f8 (__TEXT,__text) external ___strncat_chk
00007ff8001fa9de (__TEXT,__text) external ___strncpy_chk
00007ff800200f9c (__TEXT,__text) external ___strtodg
00007ff80023b13c (__TEXT,__text) external ___strtopdd
00007ff80026e5d0 (__TEXT,__const) non-external ___strtopdd.fpi0
00007ff800222e90 (__TEXT,__text) external ___strtopx
00007ff841a60718 (__DATA,__data) non-external ___strtopx.fpi0
00007ff80021f5ce (__TEXT,__text) external ___sum_D2A
00007ff80024e823 (__TEXT,__text) external ___svfscanf
00007ff8001f71bd (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00007ff80026ed40 (__TEXT,__const) non-external ___svfscanf_l.basefix
00007ff800223419 (__TEXT,__text) external ___swbuf
00007ff80020427c (__TEXT,__text) external ___swhatbuf
00007ff80022295f (__TEXT,__text) external ___swrite
00007ff800212d56 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___sysctlbyname (from libsystem_kernel)
00007ff841a60a98 (__DATA,__data) non-external ___systemfn_mutex
00007ff841a60ba0 (__DATA,__data) non-external ___systemfn_mutex
00007ff80026e3c0 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00007ff80022926d (__TEXT,__text) non-external ___thread_stack_async_pcs
00007ff800229084 (__TEXT,__text) non-external ___thread_stack_pcs
00007ff800215057 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00007ff841a63350 (__DATA,__bss) non-external ___time_load_locale.cache
00007ff80026e390 (__TEXT,__const) external ___tinytens_D2A
00007ff8001f45ff (__TEXT,__text) external ___tolower
00007ff80024434a (__TEXT,__text) external ___tolower_l
00007ff8001f463f (__TEXT,__text) external ___toupper
00007ff80024432b (__TEXT,__text) external ___toupper_l
00007ff80021f724 (__TEXT,__text) external ___trailz_D2A
00007ff800217972 (__TEXT,__text) external ___ulp_D2A
00007ff8001f1666 (__TEXT,__text) non-external ___ultoa
00007ff800252892 (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
00007ff800216cd3 (__TEXT,__text) external ___ungetc
00007ff80024e1be (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
00007ff8001f204a (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00007ff80026f2d0 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00007ff8002624b6 (__TEXT,__text) non-external (was a private external) ___utmpxname
00007ff841a63430 (__DATA,__bss) non-external ___utx__
00007ff80026df34 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00007ff8001ec7cc (__TEXT,__text) non-external (was a private external) ___v2printf
00007ff8001ecb22 (__TEXT,__text) non-external (was a private external) ___vfprintf
00007ff80026ed00 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00007ff80026ed10 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00007ff80024ea94 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00007ff80026ed70 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00007ff80026ed80 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00007ff800252e6e (__TEXT,__text) non-external (was a private external) ___vfwscanf
00007ff80026ee70 (__TEXT,__const) non-external ___vfwscanf.basefix
00007ff800200087 (__TEXT,__text) external ___vsnprintf_chk
00007ff80026b46f (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00007ff800244f50 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00007ff800244c08 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00007ff800244245 (__TEXT,__text) external ___wcwidth
00007ff800244369 (__TEXT,__text) external ___wcwidth_l
00007ff800213a85 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00007ff800210e77 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00007ff80022c918 (__TEXT,__text) non-external ___xlocale_release
00007ff800220a04 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00007ff80026b870 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00007ff841a606f0 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00007ff800261327 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00007ff8001ffc6f (__TEXT,__text) non-external (was a private external) ___xvprintf
00007ff80025c396 (__TEXT,__text) external __allocenvstate
00007ff80023b5a7 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00007ff800241306 (__TEXT,__text) non-external (was a private external) __ascii_init
00007ff800241353 (__TEXT,__text) non-external __ascii_mbrtowc
00007ff800241399 (__TEXT,__text) non-external __ascii_mbsinit
00007ff8002413a4 (__TEXT,__text) non-external __ascii_mbsnrtowcs
00007ff80024143d (__TEXT,__text) non-external __ascii_wcrtomb
00007ff80024146c (__TEXT,__text) non-external __ascii_wcsnrtombs
00007ff80022895f (__TEXT,__text) external __atexit_receipt
00007ff841a62740 (__DATA,__bss) non-external __atexit_receipt_enabled
00007ff800202f14 (__TEXT,__text) non-external __backtrace_snprintf
00007ff840020870 (__DATA_CONST,__const) external __c_locale
00007ff800219ebf (__TEXT,__text) external __cleanup
00007ff80022a68c (__TEXT,__text) external __closeutx
00007ff80025c3a0 (__TEXT,__text) external __copyenv
00007ff841a60a90 (__DATA,__data) external __cthread_init_routine
00007ff80025c420 (__TEXT,__text) external __deallocenvstate
00007ff8002206f6 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00007ff841a63470 (__DATA,__common) non-external (was a private external) __e_err_exit
00007ff841a63468 (__DATA,__common) non-external (was a private external) __e_err_file
00007ff80023b808 (__TEXT,__text) non-external (was a private external) __e_visprintf
00007ff800261b73 (__TEXT,__text) external __endutxent
00007ff80026d201 (__TEXT,__text) non-external __endutxent.cold.1
00007ff80026d229 (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
00007ff80026849f (__TEXT,__text) non-external (was a private external) __filldir
00007ff80023e949 (__TEXT,__text) non-external (was a private external) __filldir$INODE64
00007ff800268d07 (__TEXT,__text) non-external (was a private external) __fixtelldir
00007ff8001f2ca4 (__TEXT,__text) non-external (was a private external) __fixtelldir$INODE64
00007ff80024942f (__TEXT,__text) external __flockfile_debug_stub
00007ff80022254b (__TEXT,__text) external __fseeko
00007ff8002208a6 (__TEXT,__text) external __ftello
00007ff800219ed0 (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
00007ff800258ca7 (__TEXT,__text) external __getenvp
00007ff800261e1b (__TEXT,__text) external __getutxent
00007ff80026d251 (__TEXT,__text) non-external __getutxent.cold.1
00007ff80026d279 (__TEXT,__text) non-external __getutxent.cold.2
00007ff800261e91 (__TEXT,__text) external __getutxid
00007ff80026d2a1 (__TEXT,__text) non-external __getutxid.cold.1
00007ff80026d2c9 (__TEXT,__text) non-external __getutxid.cold.2
00007ff800261ff4 (__TEXT,__text) external __getutxline
00007ff80026d2f1 (__TEXT,__text) non-external __getutxline.cold.1
00007ff80026d319 (__TEXT,__text) non-external __getutxline.cold.2
00007ff8001fedab (__TEXT,__text) external __inet_aton_check
00007ff800210e22 (__TEXT,__text) external __init_clock_port
00007ff8002560e3 (__TEXT,__text) external __int_to_time
00007ff8001faacf (__TEXT,__text) non-external __isort
00007ff800259c3b (__TEXT,__text) non-external __isort
00007ff80025c31e (__TEXT,__text) non-external __legacy_crt1_environ
00007ff841a3c5b0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00007ff841a62d48 (__DATA,__bss) non-external __libSystem_atfork_child_v2
00007ff841a3c5a8 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00007ff841a62d40 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
00007ff841a3c5a0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00007ff841a62d38 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
00007ff80022f877 (__TEXT,__text) external __libc_fork_child
00007ff800210d82 (__TEXT,__text) non-external (was a private external) __libc_fork_init
00007ff800210cf9 (__TEXT,__text) external __libc_initializer
00007ff8002560d1 (__TEXT,__text) external __long_to_time
00007ff80022609c (__TEXT,__text) non-external __mach_boottime_usec
00007ff80022896e (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00007ff841a62744 (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00007ff841a3c598 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
00007ff80021f427 (__TEXT,__text) non-external __mkdtemp_action
00007ff8002253d8 (__TEXT,__text) non-external __mkfilex_np
00007ff80021080b (__TEXT,__text) non-external __mkostemps_action
00007ff8001fc04e (__TEXT,__text) non-external __mkpath
00007ff80022035a (__TEXT,__text) external __mkpath_np
00007ff80024ae20 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00007ff80026c9d8 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00007ff80024ad6b (__TEXT,__text) external __mktemp
00007ff800204995 (__TEXT,__text) non-external __mktemp_action
00007ff800244398 (__TEXT,__text) non-external (was a private external) __none_init
00007ff80021c92b (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00007ff8002443e5 (__TEXT,__text) non-external (was a private external) __none_mbsinit
00007ff8002443f0 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
00007ff800219e90 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00007ff800244467 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00007ff841a62f00 (__DATA,__bss) non-external __onlyClocaleconv
00007ff80022a612 (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00007ff80026b8dc (__TEXT,__text) external __os_assert_log
00007ff80026bd11 (__TEXT,__text) external __os_assert_log_ctx
00007ff80021672c (__TEXT,__text) external __os_assumes_log
00007ff80026badd (__TEXT,__text) external __os_assumes_log_ctx
00007ff8001fa657 (__TEXT,__text) external __os_avoid_tail_call
00007ff80026b893 (__TEXT,__text) external __os_crash
00007ff841a63458 (__DATA,__common) external __os_crash_callback
00007ff800230410 (__TEXT,__text) external __os_crash_fmt
00007ff80026bf1b (__TEXT,__text) non-external __os_crash_fmt.cold.1
00007ff80026b6cd (__TEXT,__text) external __os_debug_log
00007ff80022a881 (__TEXT,__text) external __os_debug_log_error_offset
00007ff800216a40 (__TEXT,__text) external __os_debug_log_error_str
00007ff800216a56 (__TEXT,__text) non-external __os_debug_log_init
00007ff80022a916 (__TEXT,__text) non-external __os_debug_log_open_file
00007ff80022a6ff (__TEXT,__text) non-external __os_debug_log_write
00007ff80022a896 (__TEXT,__text) non-external __os_debug_log_write_error
                 (undefined) external __os_log_pack_fill (from libsystem_trace)
                 (undefined) external __os_log_pack_size (from libsystem_trace)
00007ff800216964 (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_once (from libsystem_platform)
00007ff8001f1c87 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00007ff8001f1842 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00007ff8001f1c1d (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00007ff840020ab0 (__DATA_CONST,__const) non-external __printf_tbl_defaults_fbsd
00007ff8002710d0 (__TEXT,__cstring) non-external __printf_tbl_flags
00007ff800210d46 (__TEXT,__text) non-external (was a private external) __program_vars_init
00007ff80025d763 (__TEXT,__text) non-external __psort
00007ff80025e2c8 (__TEXT,__text) non-external __psort
00007ff80025ed49 (__TEXT,__text) non-external __psort
00007ff80026cef4 (__TEXT,__text) non-external __psort.cold.1
00007ff80026cf30 (__TEXT,__text) non-external __psort.cold.1
00007ff80026cf6c (__TEXT,__text) non-external __psort.cold.1
00007ff80025d70e (__TEXT,__text) non-external __psort_parallel
00007ff80025e273 (__TEXT,__text) non-external __psort_parallel
00007ff80025ecef (__TEXT,__text) non-external __psort_parallel
00007ff800259234 (__TEXT,__text) external __putenvp
00007ff8002620ca (__TEXT,__text) external __pututxline
00007ff80026d341 (__TEXT,__text) non-external __pututxline.cold.1
00007ff80026d369 (__TEXT,__text) non-external __pututxline.cold.2
00007ff80022931f (__TEXT,__text) non-external __pwuid_r
00007ff80021fad2 (__TEXT,__text) non-external __qsort
00007ff80025932e (__TEXT,__text) non-external __qsort
00007ff841a60740 (__DATA,__data) external __rand48_add
00007ff841a60738 (__DATA,__data) external __rand48_mult
00007ff841a60730 (__DATA,__data) external __rand48_seed
00007ff80026873c (__TEXT,__text) external __readdir_unlocked
00007ff8001f2b1f (__TEXT,__text) external __readdir_unlocked$INODE64
00007ff8001f2d3a (__TEXT,__text) external __reclaim_telldir
00007ff800203d25 (__TEXT,__text) non-external __releaselocale
00007ff80026f1e4 (__TEXT,__const) non-external (was a private external) __rp_alist
00007ff841a3dea8 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
00007ff800268c6e (__TEXT,__text) external __seekdir
00007ff800220650 (__TEXT,__text) external __seekdir$INODE64
00007ff80025c462 (__TEXT,__text) external __setenvp
00007ff800261a91 (__TEXT,__text) external __setutxent
00007ff80026d1b5 (__TEXT,__text) non-external __setutxent.cold.1
00007ff80026d1db (__TEXT,__text) non-external __setutxent.cold.2
00007ff80022f9af (__TEXT,__text) external __sigaction_nobind
00007ff841a63490 (__DATA,__common) external __sigintr
00007ff80023ff92 (__TEXT,__text) external __signal_nobind
00007ff800225fbc (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00007ff80023fe53 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00007ff8001f9fb9 (__TEXT,__text) external __sread
00007ff8002043e3 (__TEXT,__text) external __sseek
00007ff800211562 (__TEXT,__text) non-external (was a private external) __st_fmt
00007ff80022e4e0 (__TEXT,__text) non-external (was a private external) __st_get_timezone
00007ff8001f649d (__TEXT,__text) non-external (was a private external) __st_localsub
00007ff8001f6483 (__TEXT,__text) non-external (was a private external) __st_set_timezone
00007ff800206d5d (__TEXT,__text) non-external (was a private external) __st_time1
00007ff8001f479d (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00007ff80026278d (__TEXT,__text) non-external __strfmon
00007ff800217d0b (__TEXT,__text) non-external __strptime0
00007ff80026efb0 (__TEXT,__const) non-external __strptime0.start_of_month
00007ff80022ddd0 (__TEXT,__text) external __subsystem_init
00007ff8001ffe8e (__TEXT,__text) external __swrite
00007ff800229244 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
00007ff8001fbfaf (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00007ff8002560a4 (__TEXT,__text) external __time32_to_time
00007ff8002560b6 (__TEXT,__text) external __time64_to_time
00007ff8002560da (__TEXT,__text) external __time_to_int
00007ff8002560c8 (__TEXT,__text) external __time_to_long
00007ff8002560ad (__TEXT,__text) external __time_to_time32
00007ff8002560bf (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
00007ff80025c4e0 (__TEXT,__text) external __unsetenvp
00007ff80022a551 (__TEXT,__text) non-external (was a private external) __utmpx32_64
00007ff80022a5b2 (__TEXT,__text) non-external (was a private external) __utmpx64_32
00007ff80022957f (__TEXT,__text) non-external (was a private external) __utmpx_asl
00007ff80026f2e1 (__TEXT,__const) non-external (was a private external) __utmpx_vers
00007ff8002299da (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00007ff841a62748 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00007ff80026258e (__TEXT,__text) external __utmpxname
00007ff80026d391 (__TEXT,__text) non-external __utmpxname.cold.1
00007ff80026d3b9 (__TEXT,__text) non-external __utmpxname.cold.2
00007ff80021f955 (__TEXT,__text) non-external (was a private external) __vasprintf
00007ff800223f70 (__TEXT,__text) non-external (was a private external) __vdprintf
00007ff80021f76f (__TEXT,__text) non-external (was a private external) __vsnprintf
00007ff800212680 (__TEXT,__text) non-external __yconv
00007ff800258b8c (__TEXT,__text) external _a64l
00007ff80026db50 (__TEXT,__const) non-external _a64toi
00007ff80026cca9 (__TEXT,__text) external _abort
00007ff80026cdde (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
00007ff800258c1d (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00007ff80022ce79 (__TEXT,__text) external _acl_add_flag_np
00007ff80022cedf (__TEXT,__text) external _acl_add_perm
00007ff80022c9c3 (__TEXT,__text) external _acl_calc_mask
00007ff80022ce83 (__TEXT,__text) external _acl_clear_flags_np
00007ff80022cf03 (__TEXT,__text) external _acl_clear_perms
00007ff80022c9d9 (__TEXT,__text) external _acl_copy_entry
00007ff80022d050 (__TEXT,__text) external _acl_copy_ext
00007ff8001fbe3a (__TEXT,__text) external _acl_copy_ext_native
00007ff80022d120 (__TEXT,__text) external _acl_copy_int
00007ff800224efa (__TEXT,__text) external _acl_copy_int_native
00007ff80022caf2 (__TEXT,__text) external _acl_create_entry
00007ff80022ca2e (__TEXT,__text) external _acl_create_entry_np
00007ff80022ce63 (__TEXT,__text) external _acl_delete_def_file
00007ff80022cb01 (__TEXT,__text) external _acl_delete_entry
00007ff80022ccb7 (__TEXT,__text) external _acl_delete_fd_np
00007ff80022cccd (__TEXT,__text) external _acl_delete_file_np
00007ff80022ce91 (__TEXT,__text) external _acl_delete_flag_np
00007ff80022cce3 (__TEXT,__text) external _acl_delete_link_np
00007ff80022cf11 (__TEXT,__text) external _acl_delete_perm
00007ff8001fbd94 (__TEXT,__text) external _acl_dup
00007ff840020880 (__DATA_CONST,__const) non-external _acl_flags
00007ff8001fbf00 (__TEXT,__text) external _acl_free
00007ff80022d1c2 (__TEXT,__text) external _acl_from_text
00007ff800225e23 (__TEXT,__text) external _acl_get_entry
00007ff80022ccf9 (__TEXT,__text) external _acl_get_fd
00007ff80021f453 (__TEXT,__text) external _acl_get_fd_np
00007ff80021e165 (__TEXT,__text) external _acl_get_file
00007ff80021e174 (__TEXT,__text) non-external _acl_get_file1
00007ff800225eda (__TEXT,__text) external _acl_get_flag_np
00007ff800225e97 (__TEXT,__text) external _acl_get_flagset_np
00007ff80022cd08 (__TEXT,__text) external _acl_get_link_np
00007ff80022cf37 (__TEXT,__text) external _acl_get_perm_np
00007ff80022cf5e (__TEXT,__text) external _acl_get_permset
00007ff80022cfd5 (__TEXT,__text) external _acl_get_permset_mask_np
00007ff80022cbb9 (__TEXT,__text) external _acl_get_qualifier
00007ff80022cc0c (__TEXT,__text) external _acl_get_tag_type
00007ff800224f82 (__TEXT,__text) external _acl_init
00007ff80022cfc6 (__TEXT,__text) external _acl_maximal_permset_mask_np
00007ff840020940 (__DATA_CONST,__const) non-external _acl_perms
00007ff80022cd81 (__TEXT,__text) external _acl_set_fd
00007ff80022cd14 (__TEXT,__text) external _acl_set_fd_np
00007ff80022cd8b (__TEXT,__text) external _acl_set_file
00007ff80022ce9d (__TEXT,__text) external _acl_set_flagset_np
00007ff80022cdf8 (__TEXT,__text) external _acl_set_link_np
00007ff80022cf93 (__TEXT,__text) external _acl_set_permset
00007ff80022d009 (__TEXT,__text) external _acl_set_permset_mask_np
00007ff80022cc3f (__TEXT,__text) external _acl_set_qualifier
00007ff80022cc7e (__TEXT,__text) external _acl_set_tag_type
00007ff8001fbdf0 (__TEXT,__text) external _acl_size
00007ff80022d87d (__TEXT,__text) external _acl_to_text
00007ff80022c955 (__TEXT,__text) external _acl_valid
00007ff80022c981 (__TEXT,__text) external _acl_valid_fd_np
00007ff80022c997 (__TEXT,__text) external _acl_valid_file_np
00007ff80022c9ad (__TEXT,__text) external _acl_valid_link
00007ff80023fd94 (__TEXT,__text) non-external _addcmd
00007ff800246994 (__TEXT,__text) external _addr2ascii
00007ff841a630e8 (__DATA,__bss) non-external _addr2ascii.staticbuf
00007ff80020588b (__TEXT,__text) non-external _advance_directory
00007ff80026a9fd (__TEXT,__text) non-external _advance_directory
00007ff80026b6b8 (__TEXT,__text) non-external _advance_directory.cold.1
00007ff80026d462 (__TEXT,__text) non-external _advance_directory.cold.1
00007ff80021e229 (__TEXT,__text) external _alarm
00007ff8002348d4 (__TEXT,__text) non-external _alloc_segs
00007ff800268b63 (__TEXT,__text) external _alphasort
00007ff80021b868 (__TEXT,__text) external _alphasort$INODE64
00007ff80026f100 (__TEXT,__const) non-external _ambig
00007ff8001ec337 (__TEXT,__text) non-external _arc4_init
00007ff8001faaa6 (__TEXT,__text) external _arc4random
00007ff80023b5a0 (__TEXT,__text) external _arc4random_addrandom
00007ff8001ec30f (__TEXT,__text) external _arc4random_buf
00007ff80021ef46 (__TEXT,__text) external _arc4random_stir
00007ff8002001dc (__TEXT,__text) external _arc4random_uniform
00007ff841a63400 (__DATA,__bss) non-external _arg_type_queue
00007ff800261243 (__TEXT,__text) non-external (was a private external) _arrayfree
00007ff800221470 (__TEXT,__text) non-external _arrayget
00007ff800246a32 (__TEXT,__text) external _ascii2addr
00007ff80021cb2c (__TEXT,__text) external _asctime
00007ff80021129d (__TEXT,__text) external _asctime_r
00007ff80026eec0 (__TEXT,__const) non-external _asctime_r.mon_name
00007ff80026eea0 (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
00007ff8001fb687 (__TEXT,__text) external _asprintf
00007ff80024946b (__TEXT,__text) external _asprintf_l
00007ff80022e4ed (__TEXT,__text) external _asxprintf
00007ff80022ed4c (__TEXT,__text) external _asxprintf_exec
00007ff800217ac5 (__TEXT,__text) external _atexit
00007ff800219f38 (__TEXT,__text) external _atexit_b
00007ff841a3c488 (__DATA_DIRTY,__data) non-external _atexit_mutex
00007ff8001f2527 (__TEXT,__text) non-external _atexit_register
00007ff80026ce92 (__TEXT,__text) non-external _atexit_register.cold.1
00007ff800224e10 (__TEXT,__text) external _atof
00007ff800212e44 (__TEXT,__text) external _atof_l
00007ff8001fad93 (__TEXT,__text) external _atoi
00007ff800258c34 (__TEXT,__text) external _atoi_l
00007ff800204afc (__TEXT,__text) external _atol
00007ff800258c48 (__TEXT,__text) external _atol_l
00007ff8001fc42d (__TEXT,__text) external _atoll
00007ff800258c5c (__TEXT,__text) external _atoll_l
00007ff8001fbf50 (__TEXT,__text) external _backtrace
00007ff80022649c (__TEXT,__text) external _backtrace_async
00007ff800226501 (__TEXT,__text) external _backtrace_from_fp
00007ff800204668 (__TEXT,__text) external _backtrace_image_offsets
00007ff800202dac (__TEXT,__text) external _backtrace_symbols
00007ff800226556 (__TEXT,__text) external _backtrace_symbols_fd
00007ff800204620 (__TEXT,__text) external _basename
00007ff841a3c5d0 (__DATA_DIRTY,__bss) non-external _basename.bname
00007ff800203efc (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00007ff8001ec437 (__TEXT,__text) external _bcopy
