00000001d3b1cac8 (__TEXT,__text) non-external _Done_iODBC
00000001e8bca068 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00000001e8bca0a0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00000001e8bca118 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00000001e8bca170 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00000001e8bca1f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00000001e8bca218 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00000001e8bca260 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00000001e8bc9f60 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00000001e8bca288 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00000001e8bc97a0 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00000001e8bc93a8 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00000001e8bc97c0 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00000001e8bc9470 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00000001e8bc9490 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00000001e8bc9540 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00000001e8bc9840 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00000001e8bc97f0 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00000001e8bc91a8 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00000001d3b34594 (__TEXT,__text) non-external __trace_bufferlen
00000001d3b33c54 (__TEXT,__text) non-external __trace_c_type
00000001d3b308a0 (__TEXT,__text) non-external __trace_colattr2_type
00000001d3b30c58 (__TEXT,__text) non-external __trace_colattr3_data
00000001d3b308fc (__TEXT,__text) non-external __trace_colattr3_type
00000001d3b2c884 (__TEXT,__text) non-external __trace_connattr_type
00000001d3b34908 (__TEXT,__text) non-external __trace_connopt_type
00000001d3b36aec (__TEXT,__text) non-external __trace_connstr
00000001d3b36e18 (__TEXT,__text) non-external __trace_connstr_hidepwd
00000001d3b36d50 (__TEXT,__text) non-external __trace_connstr_w
00000001d3b35d98 (__TEXT,__text) non-external __trace_data
00000001d3b2cb90 (__TEXT,__text) non-external __trace_desc_null
00000001d3b30134 (__TEXT,__text) non-external __trace_descfield_type
00000001d3b35a08 (__TEXT,__text) non-external __trace_diag_type
00000001d3b32578 (__TEXT,__text) non-external __trace_direction
00000001d3b36bec (__TEXT,__text) non-external __trace_drvcn_completion
00000001d3b2d5ec (__TEXT,__text) non-external __trace_envattr_type
00000001d3b2de8c (__TEXT,__text) non-external __trace_fetchtype
00000001d3b373f0 (__TEXT,__text) non-external __trace_freestmt_option
00000001d3b31ba4 (__TEXT,__text) non-external __trace_func_name
00000001d3b31ad8 (__TEXT,__text) non-external __trace_func_result
00000001d3b2e128 (__TEXT,__text) non-external __trace_getinfo
00000001d3b33570 (__TEXT,__text) non-external __trace_handle
00000001d3b334fc (__TEXT,__text) non-external __trace_handle_p
00000001d3b3349c (__TEXT,__text) non-external __trace_handletype
00000001d3b33fcc (__TEXT,__text) non-external __trace_inouttype
00000001d3b33630 (__TEXT,__text) non-external __trace_integer
00000001d3b337d0 (__TEXT,__text) non-external __trace_integer_p
00000001d3b338fc (__TEXT,__text) non-external __trace_len
00000001d3b33964 (__TEXT,__text) non-external __trace_len_p
00000001d3b336a0 (__TEXT,__text) non-external __trace_pointer
00000001d3b332c0 (__TEXT,__text) non-external __trace_print_function
00000001d3b2df9c (__TEXT,__text) non-external __trace_scrollopt_type
00000001d3b2dcbc (__TEXT,__text) non-external __trace_setpos_irow
00000001d3b2dd4c (__TEXT,__text) non-external __trace_setpos_lock
00000001d3b2dcf0 (__TEXT,__text) non-external __trace_setpos_oper
00000001d3b335c4 (__TEXT,__text) non-external __trace_smallint
00000001d3b336e8 (__TEXT,__text) non-external __trace_smallint_p
00000001d3b2d8f4 (__TEXT,__text) non-external __trace_spcols_null
00000001d3b2d898 (__TEXT,__text) non-external __trace_spcols_scope
00000001d3b2d838 (__TEXT,__text) non-external __trace_spcols_type
00000001d3b344b0 (__TEXT,__text) non-external __trace_sql_subtype
00000001d3b3402c (__TEXT,__text) non-external __trace_sql_type
00000001d3b34250 (__TEXT,__text) non-external __trace_sql_type_p
00000001d3b370b0 (__TEXT,__text) non-external __trace_stats_accuracy
00000001d3b37050 (__TEXT,__text) non-external __trace_stats_unique
00000001d3b34cd0 (__TEXT,__text) non-external __trace_stmtattr_type
00000001d3b35644 (__TEXT,__text) non-external __trace_stmtopt_type
00000001d3b33a4c (__TEXT,__text) non-external __trace_string
00000001d3b33b34 (__TEXT,__text) non-external __trace_string_w
00000001d3b338b8 (__TEXT,__text) non-external __trace_stringlen
00000001e8bca388 (__DATA_CONST,__const) non-external __trace_sym_handletype
00000001d3b363d4 (__TEXT,__text) non-external __trace_tran_completion
00000001d3b36718 (__TEXT,__text) non-external __trace_typeinfo
00000001d3b33668 (__TEXT,__text) non-external __trace_uinteger
00000001d3b33844 (__TEXT,__text) non-external __trace_uinteger_p
00000001d3b33930 (__TEXT,__text) non-external __trace_ulen
00000001d3b339d8 (__TEXT,__text) non-external __trace_ulen_p
00000001d3b335fc (__TEXT,__text) non-external __trace_usmallint
00000001d3b3375c (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
00000001d3b3886c (__TEXT,__text) non-external _calc_len_for_utf8
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00000001e2d304e2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000001d3b383d8 (__TEXT,__text) non-external _dm_SQL_A2W
00000001d3b3892c (__TEXT,__text) non-external _dm_SQL_U8toW
00000001d3b3835c (__TEXT,__text) non-external _dm_SQL_W2A
00000001d3b38664 (__TEXT,__text) non-external _dm_SQL_WtoU8
00000001d3b38454 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00000001d3b38b44 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00000001d3b38500 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00000001d3b385ac (__TEXT,__text) non-external _dm_strcpy_A2W
00000001d3b38608 (__TEXT,__text) non-external _dm_strcpy_W2A
00000001d3b3a008 (__TEXT,__text) non-external _do_create_dsns
00000001e2d304a0 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00000001e2d30480 (__DATA,__common) non-external _ierror
00000001d3b3a168 (__TEXT,__text) non-external _install_from_ini
00000001d3b3a620 (__TEXT,__text) non-external _install_from_string
00000001e2d2fee8 (__DATA,__data) external _iodbc_version
00000001e2d303c0 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00000001e2d30408 (__DATA,__data) non-external _numerrors
00000001e2d2fef0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00000001e2d30410 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00000001d3b3a7cc (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00000001e8bc8618 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00000001e2d30450 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00000001d3b2f9bc (__TEXT,__text) non-external _trace_SQLAllocConnect
00000001d3b34834 (__TEXT,__text) non-external _trace_SQLAllocEnv
00000001d3b306b8 (__TEXT,__text) non-external _trace_SQLAllocHandle
00000001d3b3246c (__TEXT,__text) non-external _trace_SQLAllocStmt
00000001d3b30600 (__TEXT,__text) non-external _trace_SQLBindCol
00000001d3b31310 (__TEXT,__text) non-external _trace_SQLBindParameter
00000001d3b34674 (__TEXT,__text) non-external _trace_SQLBrowseConnect
00000001d3b34754 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00000001d3b2d79c (__TEXT,__text) non-external _trace_SQLBulkOperations
00000001d3b35ce8 (__TEXT,__text) non-external _trace_SQLCancel
00000001d3b32530 (__TEXT,__text) non-external _trace_SQLCloseCursor
00000001d3b30b90 (__TEXT,__text) non-external _trace_SQLColAttribute
00000001d3b3104c (__TEXT,__text) non-external _trace_SQLColAttributeW
00000001d3b31114 (__TEXT,__text) non-external _trace_SQLColAttributes
00000001d3b311e8 (__TEXT,__text) non-external _trace_SQLColAttributesW
00000001d3b357d0 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00000001d3b358ec (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00000001d3b2fac4 (__TEXT,__text) non-external _trace_SQLColumns
00000001d3b2fbe0 (__TEXT,__text) non-external _trace_SQLColumnsW
00000001d3b350ac (__TEXT,__text) non-external _trace_SQLConnect
00000001d3b35198 (__TEXT,__text) non-external _trace_SQLConnectW
00000001d3b2de34 (__TEXT,__text) non-external _trace_SQLCopyDesc
00000001d3b32600 (__TEXT,__text) non-external _trace_SQLDataSources
00000001d3b32708 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00000001d3b2cc24 (__TEXT,__text) non-external _trace_SQLDescribeCol
00000001d3b2cd38 (__TEXT,__text) non-external _trace_SQLDescribeColW
00000001d3b35708 (__TEXT,__text) non-external _trace_SQLDescribeParam
00000001d3b324e8 (__TEXT,__text) non-external _trace_SQLDisconnect
00000001d3b369e4 (__TEXT,__text) non-external _trace_SQLDriverConnect
00000001d3b36c48 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00000001d3b315e8 (__TEXT,__text) non-external _trace_SQLDrivers
00000001d3b316f0 (__TEXT,__text) non-external _trace_SQLDriversW
00000001d3b2f954 (__TEXT,__text) non-external _trace_SQLEndTran
00000001d3b2d0cc (__TEXT,__text) non-external _trace_SQLError
00000001d3b2d1d4 (__TEXT,__text) non-external _trace_SQLErrorW
00000001d3b32208 (__TEXT,__text) non-external _trace_SQLExecDirect
00000001d3b3228c (__TEXT,__text) non-external _trace_SQLExecDirectW
00000001d3b2d7f0 (__TEXT,__text) non-external _trace_SQLExecute
00000001d3b2deec (__TEXT,__text) non-external _trace_SQLExtendedFetch
00000001d3b32918 (__TEXT,__text) non-external _trace_SQLFetch
00000001d3b348a0 (__TEXT,__text) non-external _trace_SQLFetchScroll
00000001d3b35284 (__TEXT,__text) non-external _trace_SQLForeignKeys
00000001d3b35404 (__TEXT,__text) non-external _trace_SQLForeignKeysW
00000001d3b355fc (__TEXT,__text) non-external _trace_SQLFreeConnect
00000001d3b2dc74 (__TEXT,__text) non-external _trace_SQLFreeEnv
00000001d3b2f900 (__TEXT,__text) non-external _trace_SQLFreeHandle
00000001d3b37448 (__TEXT,__text) non-external _trace_SQLFreeStmt
00000001d3b2ca38 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00000001d3b2cae4 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00000001d3b34b30 (__TEXT,__text) non-external _trace_SQLGetConnectOption
00000001d3b34b98 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00000001d3b30748 (__TEXT,__text) non-external _trace_SQLGetCursorName
00000001d3b307f4 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00000001d3b362c0 (__TEXT,__text) non-external _trace_SQLGetData
00000001d3b30490 (__TEXT,__text) non-external _trace_SQLGetDescField
00000001d3b30548 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00000001d3b2ce4c (__TEXT,__text) non-external _trace_SQLGetDescRec
00000001d3b2cf8c (__TEXT,__text) non-external _trace_SQLGetDescRecW
00000001d3b35b6c (__TEXT,__text) non-external _trace_SQLGetDiagField
00000001d3b35c38 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00000001d3b2d3ec (__TEXT,__text) non-external _trace_SQLGetDiagRec
00000001d3b2d4ec (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00000001d3b2d678 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00000001d3b32190 (__TEXT,__text) non-external _trace_SQLGetFunctions
00000001d3b2e070 (__TEXT,__text) non-external _trace_SQLGetInfo
00000001d3b2f5a8 (__TEXT,__text) non-external _trace_SQLGetInfoW
00000001d3b34f70 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00000001d3b3501c (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00000001d3b356a0 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00000001d3b3693c (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00000001d3b36990 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00000001d3b3638c (__TEXT,__text) non-external _trace_SQLMoreResults
00000001d3b2ff4c (__TEXT,__text) non-external _trace_SQLNativeSql
00000001d3b30040 (__TEXT,__text) non-external _trace_SQLNativeSqlW
00000001d3b2fcfc (__TEXT,__text) non-external _trace_SQLNumParams
00000001d3b35584 (__TEXT,__text) non-external _trace_SQLNumResultCols
00000001d3b312bc (__TEXT,__text) non-external _trace_SQLParamData
00000001d3b2fa38 (__TEXT,__text) non-external _trace_SQLParamOptions
00000001d3b3749c (__TEXT,__text) non-external _trace_SQLPrepare
00000001d3b37520 (__TEXT,__text) non-external _trace_SQLPrepareW
00000001d3b317f8 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00000001d3b318e4 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00000001d3b2f660 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00000001d3b2f77c (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00000001d3b31410 (__TEXT,__text) non-external _trace_SQLProcedures
00000001d3b314fc (__TEXT,__text) non-external _trace_SQLProceduresW
00000001d3b35d30 (__TEXT,__text) non-external _trace_SQLPutData
00000001d3b2d724 (__TEXT,__text) non-external _trace_SQLRowCount
00000001d3b36f68 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00000001d3b36fdc (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00000001d3b34c00 (__TEXT,__text) non-external _trace_SQLSetConnectOption
00000001d3b34c68 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00000001d3b32810 (__TEXT,__text) non-external _trace_SQLSetCursorName
00000001d3b32894 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00000001d3b2d2dc (__TEXT,__text) non-external _trace_SQLSetDescField
00000001d3b2d364 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00000001d3b319d0 (__TEXT,__text) non-external _trace_SQLSetDescRec
00000001d3b32310 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00000001d3b2dda8 (__TEXT,__text) non-external _trace_SQLSetPos
00000001d3b2dffc (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00000001d3b32384 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00000001d3b323f8 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00000001d3b2f898 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00000001d3b2d954 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00000001d3b2dae4 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00000001d3b37110 (__TEXT,__text) non-external _trace_SQLStatistics
00000001d3b37280 (__TEXT,__text) non-external _trace_SQLStatisticsW
00000001d3b2fd74 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00000001d3b2fe60 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00000001d3b364e0 (__TEXT,__text) non-external _trace_SQLTables
00000001d3b365fc (__TEXT,__text) non-external _trace_SQLTablesW
00000001d3b36438 (__TEXT,__text) non-external _trace_SQLTransact
00000001e2d30440 (__DATA,__bss) non-external _trace_appname
00000001d3b32ea8 (__TEXT,__text) non-external _trace_emit
00000001d3b33128 (__TEXT,__text) non-external _trace_emit_binary
00000001d3b32f0c (__TEXT,__text) non-external _trace_emit_string
00000001d3b32ef0 (__TEXT,__text) non-external _trace_emitc
00000001e2d30448 (__DATA,__bss) non-external _trace_fname
00000001e2d30460 (__DATA,__bss) non-external _trace_fp
00000001e2d30468 (__DATA,__bss) non-external _trace_fp_close
00000001d3b3299c (__TEXT,__text) non-external _trace_get_filename
00000001d3b32960 (__TEXT,__text) non-external _trace_set_appname
00000001d3b329a8 (__TEXT,__text) non-external _trace_set_filename
00000001d3b32c58 (__TEXT,__text) non-external _trace_start
00000001d3b32df4 (__TEXT,__text) non-external _trace_stop
00000001d3b32bf4 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00000001d3b38acc (__TEXT,__text) non-external _utf8_len
00000001d3b38bec (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00000001e2d304e0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
