00000001a950a2c0 (__TEXT,__text) non-external +[NFPromise new]
00000001d7dff700 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentNetworkPath
00000001d7dff6f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentReachabilityStatus
00000001d7dff6fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._networkPathMonitor
00000001d7dff6f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._observationQueue
00000001d7dff6c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._events
00000001d7dff6c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._lock
00000001d7dff6bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._owner
00000001d7dff6b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._state
00000001d7dff6c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._states
00000001d7dff6b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._status
00000001d7dff6cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._statusToken
00000001d7dff710 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._destinationState
00000001d7dff714 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._fireBlock
00000001d7dff708 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._name
00000001d7dff70c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._states
00000001d7dff71c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._canTryBlock
00000001d7dff72c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didEnterBlock
00000001d7dff728 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didExitBlock
00000001d7dff718 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._name
00000001d7dff724 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willEnterBlock
00000001d7dff720 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willExitBlock
00000001d7dff688 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._context
00000001d7dff67c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._event
00000001d7dff680 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._fromState
00000001d7dff678 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._stateMachine
00000001d7dff684 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._toState
00000001d7dff670 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLock
00000001d7dff674 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLockOptions
00000001d984a360 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFArchiver
00000001d984a310 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventManager
00000001d984a338 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventTrigger
00000001d984a428 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFLazy
00000001d984a6a8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMultiDelegate
00000001d984a5b8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMutexLock
00000001d984a298 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPendingPromise
00000001d984a478 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromise
00000001d984a518 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromiseSeal
00000001d984a568 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFReachability
00000001d984a3d8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachine
00000001d984a608 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineEvent
00000001d984a658 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineState
00000001d984a248 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineTransition
00000001d984a1f8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFUnfairLock
00000001d984a4a0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFVoid
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001a9508244 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001a9509b60 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001a950bcc4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001a9508260 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a9509b7c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a950bce0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a9508274 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001a9509b90 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001a950bcf4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001a9508288 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001a9509ba4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001a950bd08 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001a9508298 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001a9509bb4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001a950bd18 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001a95082a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001a9509bc4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001a950bd28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001dcdef878 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSError_$_NFStateMachine
00000001dcdef8f8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSKeyedUnarchiver_$_FRAdditions
00000001dcdef938 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSObject_$_NFAdditions
00000001dcdef978 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSString_$_NFAdditions
00000001dcdef8b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSUserDefaults_$_NFAdditions
00000001dcdef9b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSValue_$_NFAdditions
00000001a950eb78 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFPromise(Firstly|Void|Delay)
00000001a950ee58 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFReachability
00000001a950e958 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSError(NFStateMachine)
00000001a950eb28 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSKeyedUnarchiver(FRAdditions)
00000001a950ed20 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSObject(NFAdditions)
00000001a950f210 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSValue(NFAdditions)
00000001a950e938 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFArchiver
00000001a950e830 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventManager
00000001a950e8d8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventTrigger
00000001a950ead8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFLazy
00000001a950f178 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMultiDelegate
00000001a950ef18 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMutexLock
00000001a950e7c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPendingPromise
00000001a950ebe0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromise(Firstly|Void|Delay)
00000001a950ed60 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromiseSeal
00000001a950ee70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFReachability
00000001a950e988 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachine
00000001a950ef68 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineEvent
00000001a950f028 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineState(Private)
00000001a950e720 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineTransition
00000001a950e6d8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFUnfairLock
00000001a950ed08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFVoid
00000001a950e970 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSError(NFStateMachine)
00000001a950eb60 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSKeyedUnarchiver(FRAdditions)
00000001a950ed40 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSString(NFAdditions)
00000001a950eac0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSUserDefaults(NFAdditions)
00000001a950f228 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSValue(NFAdditions)
00000001d394b560 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventManager
00000001d394b5d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventTrigger
00000001d394bbc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFLazy
00000001d394c1f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMultiDelegate
00000001d394bfd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMutexLock
00000001d394b4c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPendingPromise
00000001d394bc68 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromise
00000001d394bd88 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromiseSeal
00000001d394be88 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFReachability
00000001d394ba68 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachine
00000001d394bff8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineEvent
00000001d394c0c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineState
00000001d394b3c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineTransition
00000001d394b378 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFUnfairLock
00000001d394ba20 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFArchiver
00000001d394b5a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventManager
00000001d394b678 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventTrigger
00000001d394bc30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFLazy
00000001d394c240 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFMultiDelegate
00000001d394b528 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPendingPromise
00000001d394bc90 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromise
00000001d394be30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromiseSeal
00000001d394bf10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFReachability
00000001d394bb50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachine
00000001d394c080 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineEvent
00000001d394c190 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineState
00000001d394b468 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineTransition
00000001d394b8c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d394b9c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NFArchiver
00000001d394bd48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d394b300 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00000001d394bf58 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00000001d394b6d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d394b8a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d394b9f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NFArchiver
00000001d394bd68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d394b338 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00000001d394bf90 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00000001d394b908 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d394b9a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFArchiver
00000001d394b348 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00000001d394bfa0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00000001d394ba08 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFArchiver
00000001d394bfb8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFMutexLock
00000001d394b360 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFUnfairLock
00000001d394bd70 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFVoid
00000001dcdeff70 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFArchiver
00000001dcdefe50 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFEventManager
00000001dcdefee0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFEventTrigger
00000001dcdf0090 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFLazy
00000001dcdf0510 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFMultiDelegate
00000001dcdf0360 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFMutexLock
00000001dcdefdc0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFPendingPromise
00000001dcdf0120 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFPromise
00000001dcdf0240 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFPromiseSeal
00000001dcdf02d0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFReachability
00000001dcdf0000 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachine
00000001dcdf03f0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachineEvent
00000001dcdf0480 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachineState
00000001dcdefd30 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFStateMachineTransition
00000001dcdefca0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFUnfairLock
00000001dcdf01b0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_NFVoid
00000001d394b2e8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFArchiver
00000001d394b2d8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFLocking
00000001d394b2f0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001d394b2d0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSLocking
00000001d394b2e0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001dcdeff28 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFArchiver
00000001dcdefe08 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFEventManager
00000001dcdefe98 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFEventTrigger
00000001dcdf0048 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFLazy
00000001dcdf04c8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFMultiDelegate
00000001dcdf0318 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFMutexLock
00000001dcdefd78 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFPendingPromise
00000001dcdf00d8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFPromise
00000001dcdf01f8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFPromiseSeal
00000001dcdf0288 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFReachability
00000001dcdeffb8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachine
00000001dcdf03a8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachineEvent
00000001dcdf0438 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachineState
00000001dcdefce8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFStateMachineTransition
00000001dcdefc58 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFUnfairLock
00000001dcdf0168 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_NFVoid
00000001d7dff858 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFArchiver
00000001d7dff798 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFLocking
00000001d7dff8c8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000001d7dff738 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSLocking
00000001d7dff7f8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001a950d5ac (__TEXT,__text) external __UIValueCGRectValue
                 (undefined) external __Unwind_Resume (from libSystem)
00000001a950a6e4 (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke
00000001a950a7b8 (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke_2
00000001a950a5c0 (__TEXT,__text) non-external ___17-[NFPromise then]_block_invoke
00000001a950b088 (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke
00000001a950b118 (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke_2
00000001a950a99c (__TEXT,__text) non-external ___18-[NFPromise error]_block_invoke
00000001a950a83c (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke
00000001a950a918 (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke_2
00000001a950a650 (__TEXT,__text) non-external ___19-[NFPromise thenOn]_block_invoke
00000001a950b1b4 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke
00000001a950b29c (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke_2
00000001a950aaa4 (__TEXT,__text) non-external ___20-[NFPromise errorOn]_block_invoke
00000001a950ab38 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke
00000001a950ac0c (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_2
00000001a950acfc (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_3
00000001a950ae24 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke
00000001a950af00 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_2
00000001a950aff0 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_3
00000001a9506a18 (__TEXT,__text) non-external ___22-[NFReachability init]_block_invoke
00000001a95070e8 (__TEXT,__text) non-external ___24-[NFPendingPromise init]_block_invoke
00000001a9504c28 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke
00000001a9506754 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_2
00000001a9504b28 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_3
00000001a950a540 (__TEXT,__text) non-external ___27-[NFPromise errorOn:error:]_block_invoke
00000001a950511c (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke
00000001a950a240 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke.26
00000001a9506668 (__TEXT,__text) non-external ___32+[NFReachability sharedInstance]_block_invoke
00000001a950600c (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke
00000001a950bc04 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke_2
00000001a9506b9c (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke
00000001a950bbf0 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke.25
00000001a9506740 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke_2
00000001a95060fc (__TEXT,__text) non-external ___44-[NFReachability _updateCurrentNetworkPath:]_block_invoke
00000001a950b7ac (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke
00000001a950b890 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke_2
00000001a950b560 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke
00000001a950b644 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke_2
00000001a9509830 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke
00000001a950999c (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.113
00000001a95099b4 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.121
00000001a950de74 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.121.cold.1
00000001a95099e4 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.130
00000001a9509a3c (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.136
00000001a95098b8 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_2
00000001a9509940 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_3
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001a9505f54 (__TEXT,__text) non-external ___NFDeviceHasExtendedColorDisplay_block_invoke
00000001a950d624 (__TEXT,__text) non-external ___NFDeviceIsA7_block_invoke
00000001a950d778 (__TEXT,__text) non-external ___NFDeviceIsA8_block_invoke
00000001a9505e00 (__TEXT,__text) non-external ___NFDevicePlatform_block_invoke
00000001a9505990 (__TEXT,__text) non-external ___NFInternalBuild_block_invoke
00000001a950616c (__TEXT,__text) non-external ___NFStoreDemoMode_block_invoke
00000001d394b1b8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
00000001d394b198 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_8?0l
00000001d394b170 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001d394b1d8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v16?08l
00000001d394b1f8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_16?08l
00000001dcdef1a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
00000001dcdeeff8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e8_16?08l
00000001dcdeed98 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
00000001dcdeef08 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?08l
00000001dcdef088 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?0d8l
00000001dcdeee78 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<?>8l
00000001dcdeef68 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<v?>8l
00000001dcdeec08 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001dcdef028 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"16?0?<v??<v?>?<v?"NSError">>8l
00000001dcdeef38 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"816l
00000001dcdef0e8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8d16l
00000001dcdeeea8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<?>16l
