00007ffc13f0c473 (__TEXT,__text) non-external _Done_iODBC
00007ffc4029b870 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_ROW_COUNTS
00007ffc4029b890 (__DATA_CONST,__const) non-external __mask_SQL_PARAM_ARRAY_SELECTS
00007ffc4029b090 (__DATA_CONST,__const) non-external __mask_SQL_POSITIONED_STATEMENTS
00007ffc4029b060 (__DATA_CONST,__const) non-external __mask_SQL_POS_OPERATIONS
00007ffc4029b8b0 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffc4029ac20 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffc4029ac50 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffc4029b910 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffc4029b930 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffc4029b960 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffc4029b990 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffc4029ba00 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffc4029ba40 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffc4029bac0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffc4029bb20 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffc4029bba0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffc4029bbd0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffc4029bc20 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffc4029b8e0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffc4029bc50 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffc4029b0b0 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffc4029ac80 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffc4029b0d0 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffc4029ad50 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffc4029ad70 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffc4029ae20 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffc4029b150 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffc4029b100 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffc4029aa50 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffc13f236e9 (__TEXT,__text) non-external __trace_bufferlen
00007ffc13f22f05 (__TEXT,__text) non-external __trace_c_type
00007ffc13f203d8 (__TEXT,__text) non-external __trace_colattr2_type
00007ffc13f206d8 (__TEXT,__text) non-external __trace_colattr3_data
00007ffc13f20416 (__TEXT,__text) non-external __trace_colattr3_type
00007ffc13f1cbc0 (__TEXT,__text) non-external __trace_connattr_type
00007ffc13f239cc (__TEXT,__text) non-external __trace_connopt_type
00007ffc13f256cc (__TEXT,__text) non-external __trace_connstr
00007ffc13f2595c (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffc13f258bb (__TEXT,__text) non-external __trace_connstr_w
00007ffc13f24a28 (__TEXT,__text) non-external __trace_data
00007ffc13f1ce4e (__TEXT,__text) non-external __trace_desc_null
00007ffc13f1fd9c (__TEXT,__text) non-external __trace_descfield_type
00007ffc13f2476c (__TEXT,__text) non-external __trace_diag_type
00007ffc13f21bad (__TEXT,__text) non-external __trace_direction
00007ffc13f25799 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffc13f1d72e (__TEXT,__text) non-external __trace_envattr_type
00007ffc13f1ddb1 (__TEXT,__text) non-external __trace_fetchtype
00007ffc13f25e02 (__TEXT,__text) non-external __trace_freestmt_option
00007ffc13f21381 (__TEXT,__text) non-external __trace_func_name
00007ffc13f212e0 (__TEXT,__text) non-external __trace_func_result
00007ffc13f1dfa1 (__TEXT,__text) non-external __trace_getinfo
00007ffc13f22a47 (__TEXT,__text) non-external __trace_handle
00007ffc13f229e2 (__TEXT,__text) non-external __trace_handle_p
00007ffc13f229a4 (__TEXT,__text) non-external __trace_handletype
00007ffc13f23210 (__TEXT,__text) non-external __trace_inouttype
00007ffc13f22ab9 (__TEXT,__text) non-external __trace_integer
00007ffc13f22bd1 (__TEXT,__text) non-external __trace_integer_p
00007ffc13f22caa (__TEXT,__text) non-external __trace_len
00007ffc13f22ce4 (__TEXT,__text) non-external __trace_len_p
00007ffc13f22af2 (__TEXT,__text) non-external __trace_pointer
00007ffc13f22815 (__TEXT,__text) non-external __trace_print_function
00007ffc13f1de7e (__TEXT,__text) non-external __trace_scrollopt_type
00007ffc13f1dc7f (__TEXT,__text) non-external __trace_setpos_irow
00007ffc13f1dcd9 (__TEXT,__text) non-external __trace_setpos_lock
00007ffc13f1dc9b (__TEXT,__text) non-external __trace_setpos_oper
00007ffc13f22a80 (__TEXT,__text) non-external __trace_smallint
00007ffc13f22b2a (__TEXT,__text) non-external __trace_smallint_p
00007ffc13f1d958 (__TEXT,__text) non-external __trace_spcols_null
00007ffc13f1d91a (__TEXT,__text) non-external __trace_spcols_scope
00007ffc13f1d8d9 (__TEXT,__text) non-external __trace_spcols_type
00007ffc13f23630 (__TEXT,__text) non-external __trace_sql_subtype
00007ffc13f2324e (__TEXT,__text) non-external __trace_sql_type
00007ffc13f23424 (__TEXT,__text) non-external __trace_sql_type_p
00007ffc13f25b49 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffc13f25b0a (__TEXT,__text) non-external __trace_stats_unique
00007ffc13f23cac (__TEXT,__text) non-external __trace_stmtattr_type
00007ffc13f24463 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffc13f22d8a (__TEXT,__text) non-external __trace_string
00007ffc13f22e33 (__TEXT,__text) non-external __trace_string_w
00007ffc13f22c76 (__TEXT,__text) non-external __trace_stringlen
00007ffc4029bc70 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffc13f25110 (__TEXT,__text) non-external __trace_tran_completion
00007ffc13f253b0 (__TEXT,__text) non-external __trace_typeinfo
00007ffc13f22ad6 (__TEXT,__text) non-external __trace_uinteger
00007ffc13f22c24 (__TEXT,__text) non-external __trace_uinteger_p
00007ffc13f22cc7 (__TEXT,__text) non-external __trace_ulen
00007ffc13f22d37 (__TEXT,__text) non-external __trace_ulen_p
00007ffc13f22a9d (__TEXT,__text) non-external __trace_usmallint
00007ffc13f22b7e (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffc418c3ba2 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffc13f26c47 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffc13f27172 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffc13f26be1 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffc13f26e93 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffc13f26cb1 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffc13f2737c (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffc13f26d57 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffc13f26dfa (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffc13f26e48 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffc13f28928 (__TEXT,__text) non-external _do_create_dsns
00007ffc418c3b60 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffc418c3b40 (__DATA,__common) non-external _ierror
00007ffc13f28a51 (__TEXT,__text) non-external _install_from_ini
00007ffc13f28f44 (__TEXT,__text) non-external _install_from_string
00007ffc418c35a0 (__DATA,__data) external _iodbc_version
00007ffc418c3a80 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffc418c3ac8 (__DATA,__data) non-external _numerrors
00007ffc418c35b0 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffc418c3ad0 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffc13f290e9 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffc40299f90 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffc418c3b10 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffc13f1f775 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffc13f23934 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffc13f2025b (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffc13f21afd (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffc13f201c0 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffc13f20c51 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffc13f237bc (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffc13f23878 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffc13f1d87d (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffc13f249b5 (__TEXT,__text) non-external _trace_SQLCancel
00007ffc13f21b83 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffc13f20644 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffc13f20a28 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffc13f20abf (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffc13f20b6e (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffc13f2458e (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffc13f2467d (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffc13f1f83c (__TEXT,__text) non-external _trace_SQLColumns
00007ffc13f1f92b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffc13f23fda (__TEXT,__text) non-external _trace_SQLConnect
00007ffc13f2409a (__TEXT,__text) non-external _trace_SQLConnectW
00007ffc13f1dd78 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffc13f21c0c (__TEXT,__text) non-external _trace_SQLDataSources
00007ffc13f21cf1 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffc13f1cebf (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffc13f1cfab (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffc13f244e9 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffc13f21b59 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffc13f255e8 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffc13f257d7 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffc13f20eb2 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffc13f20f97 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffc13f1f730 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffc13f1d2c3 (__TEXT,__text) non-external _trace_SQLError
00007ffc13f1d3b2 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffc13f2194e (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffc13f219ac (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffc13f1d8af (__TEXT,__text) non-external _trace_SQLExecute
00007ffc13f1ddf3 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffc13f21e89 (__TEXT,__text) non-external _trace_SQLFetch
00007ffc13f23981 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffc13f2415a (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffc13f2429e (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffc13f24439 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffc13f1dc55 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffc13f1f6fe (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffc13f25e3d (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffc13f1cd38 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffc13f1cdc3 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffc13f23b8c (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffc13f23bd4 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffc13f202c5 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffc13f2034d (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffc13f25040 (__TEXT,__text) non-external _trace_SQLGetData
00007ffc13f20090 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffc13f20128 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffc13f1d097 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffc13f1d1ad (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffc13f24880 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffc13f24928 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffc13f1d56f (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffc13f1d64e (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffc13f1d79b (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffc13f218f8 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffc13f1df14 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffc13f1f44c (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffc13f23ee0 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffc13f23f6b (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffc13f244a1 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffc13f25584 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffc13f255b6 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffc13f250e6 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffc13f1fbf9 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffc13f1fcca (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffc13f1fa1a (__TEXT,__text) non-external _trace_SQLNumParams
00007ffc13f243e2 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffc13f20c1d (__TEXT,__text) non-external _trace_SQLParamData
00007ffc13f1f7d1 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffc13f25e6f (__TEXT,__text) non-external _trace_SQLPrepare
00007ffc13f25ecd (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffc13f2107c (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffc13f21140 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffc13f1f4d9 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffc13f1f5c8 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffc13f20d2a (__TEXT,__text) non-external _trace_SQLProcedures
00007ffc13f20dee (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffc13f249df (__TEXT,__text) non-external _trace_SQLPutData
00007ffc13f1d826 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffc13f25a68 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffc13f25ab9 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffc13f23c1c (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffc13f23c64 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffc13f21dcf (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffc13f21e2c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffc13f1d4a1 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffc13f1d508 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffc13f21204 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffc13f21a0a (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffc13f1dd17 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffc13f1dec0 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffc13f21a5b (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffc13f21aac (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffc13f1f6b7 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffc13f1d997 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffc13f1daf6 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffc13f25b88 (__TEXT,__text) non-external _trace_SQLStatistics
00007ffc13f25cc5 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffc13f1fa71 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffc13f1fb35 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffc13f251d0 (__TEXT,__text) non-external _trace_SQLTables
00007ffc13f252bf (__TEXT,__text) non-external _trace_SQLTablesW
00007ffc13f25150 (__TEXT,__text) non-external _trace_SQLTransact
00007ffc418c3b00 (__DATA,__bss) non-external _trace_appname
00007ffc13f223a7 (__TEXT,__text) non-external _trace_emit
00007ffc13f22698 (__TEXT,__text) non-external _trace_emit_binary
00007ffc13f22498 (__TEXT,__text) non-external _trace_emit_string
00007ffc13f22472 (__TEXT,__text) non-external _trace_emitc
00007ffc418c3b08 (__DATA,__bss) non-external _trace_fname
00007ffc418c3b20 (__DATA,__bss) non-external _trace_fp
00007ffc418c3b28 (__DATA,__bss) non-external _trace_fp_close
00007ffc13f21ee4 (__TEXT,__text) non-external _trace_get_filename
00007ffc13f21eb4 (__TEXT,__text) non-external _trace_set_appname
00007ffc13f21ef5 (__TEXT,__text) non-external _trace_set_filename
00007ffc13f22171 (__TEXT,__text) non-external _trace_start
00007ffc13f22307 (__TEXT,__text) non-external _trace_stop
00007ffc13f2211e (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffc13f2731c (__TEXT,__text) non-external _utf8_len
00007ffc13f273fb (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffc418c3ba0 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
