000000019061a26c (__TEXT,__text) non-external _Annihilate
000000019062f99c (__TEXT,__text) non-external (was a private external) _get_format_process_at_once
0000000190625870 (__TEXT,__text) non-external (was a private external) _get_max_payload_size
00000001906258b4 (__TEXT,__text) non-external (was a private external) _get_plane_max_rice_size
0000000190635544 (__TEXT,__text) non-external (was a private external) _get_real_time
00000001906258e4 (__TEXT,__text) non-external (was a private external) _get_slice_height
00000001906258c8 (__TEXT,__text) non-external (was a private external) _get_slice_width
                 (undefined) external _gettimeofday (from libSystem)
000000019062fccc (__TEXT,__text) non-external _header_fetch_from_payload
00000001906583c8 (__TEXT,__text) non-external _init_block
00000001906575dc (__TEXT,__text) non-external _init_quantization_lut
000000019062f9b0 (__TEXT,__text) non-external (was a private external) _is_format_invalid
000000019062f8c4 (__TEXT,__text) non-external (was a private external) _is_format_msb_layout
000000019063031c (__TEXT,__text) non-external _is_image_valid
000000019061f530 (__TEXT,__text) non-external (was a private external) _join_thread
0000000190680f98 (__TEXT,__const) non-external (was a private external) _kBrotliBitMask
0000000190662748 (__TEXT,__const) non-external (was a private external) _kBrotliCopyBase
00000001906627a8 (__TEXT,__const) non-external (was a private external) _kBrotliCopyExtra
00000001e6c6bbb0 (__DATA_CONST,__const) non-external _kBrotliDictionary
0000000190662fa8 (__TEXT,__const) non-external _kBrotliDictionaryData
0000000190662688 (__TEXT,__const) non-external (was a private external) _kBrotliInsBase
00000001906626e8 (__TEXT,__const) non-external (was a private external) _kBrotliInsExtra
00000001906c0758 (__TEXT,__const) non-external (was a private external) _kBrotliLog2Table
0000000190682cc0 (__TEXT,__const) non-external (was a private external) _kBrotliShellGaps
00000001e6c6bd98 (__DATA_CONST,__const) non-external _kBrotliTransforms
0000000190662d88 (__TEXT,__const) non-external _kCmdHistoSeed
00000001906810a2 (__TEXT,__const) non-external _kCmdLut
00000001906b4654 (__TEXT,__const) non-external _kCodeLengthBits
0000000190681070 (__TEXT,__const) non-external _kCodeLengthCodeOrder
00000001906b4640 (__TEXT,__const) non-external _kCodeLengthDepth
0000000190681082 (__TEXT,__const) non-external _kCodeLengthPrefixLength
0000000190681092 (__TEXT,__const) non-external _kCodeLengthPrefixValue
0000000190682b80 (__TEXT,__const) non-external (was a private external) _kDSymbolVBase
0000000190682b40 (__TEXT,__const) non-external (was a private external) _kDSymbolVBits
00000001906831dc (__TEXT,__const) non-external _kDistanceCacheIndex
000000019068321c (__TEXT,__const) non-external _kDistanceCacheOffset
0000000190682a8c (__TEXT,__const) non-external (was a private external) _kLSymbolVBase
0000000190682a78 (__TEXT,__const) non-external (was a private external) _kLSymbolVBits
0000000190682af0 (__TEXT,__const) non-external (was a private external) _kMSymbolVBase
0000000190682adc (__TEXT,__const) non-external (was a private external) _kMSymbolVBits
00000001906b51a0 (__TEXT,__const) non-external _kNonZeroRepsBits
00000001906b469c (__TEXT,__const) non-external _kNonZeroRepsDepth
00000001906b2284 (__TEXT,__const) non-external _kPrefixSuffix
00000001906b235e (__TEXT,__const) non-external _kPrefixSuffixMap
00000001906b6a60 (__TEXT,__const) non-external _kStaticCommandCodeBits
00000001906b67a0 (__TEXT,__const) non-external _kStaticCommandCodeDepth
0000000190683320 (__TEXT,__const) non-external _kStaticDictionaryBuckets
00000001906d0f66 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashLengths
00000001906c0f66 (__TEXT,__const) non-external (was a private external) _kStaticDictionaryHashWords
0000000190693320 (__TEXT,__const) non-external _kStaticDictionaryWords
00000001906b7020 (__TEXT,__const) non-external _kStaticDistanceCodeBits
00000001906b6fe0 (__TEXT,__const) non-external _kStaticDistanceCodeDepth
00000001906b23c2 (__TEXT,__const) non-external _kTransformsData
00000001906b3040 (__TEXT,__const) non-external _kZeroRepsBits
00000001906b2540 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00000001906075cc (__TEXT,__text) non-external _longest_match
00000001906bbe3c (__TEXT,__const) non-external (was a private external) _lut_rle
000000019061f1ec (__TEXT,__text) non-external (was a private external) _lz24_decode_buffer
000000019062d400 (__TEXT,__text) non-external (was a private external) _lz24_encode_buffer
000000019062d3f4 (__TEXT,__text) non-external (was a private external) _lz24_encode_scratch_buffer_size
000000019060cf10 (__TEXT,__text) non-external (was a private external) _lz4_decode
000000019060cb00 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
000000019060c91c (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
000000019060d2a0 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
000000019060e80c (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
0000000190608e5c (__TEXT,__text) non-external (was a private external) _lz4_stream_end
000000019063ede0 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
000000019063ede0 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
000000019063ede0 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
000000019063edac (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
000000019063e6f4 (__TEXT,__text) non-external (was a private external) _lz4_stream_init
000000019063e7ac (__TEXT,__text) non-external (was a private external) _lz4_stream_process
000000019062db60 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
000000019062da5c (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00000001906247ec (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
000000019063b560 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
000000019063a27c (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle_unsafe
000000019063b5d0 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
000000019063826c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
000000019063b594 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
000000019063a180 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle_unsafe
000000019063b5d8 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
000000019063813c (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
0000000190634eb4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
000000019063b4d4 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
000000019062675c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
000000019063b508 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
000000019063b544 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
000000019062673c (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00000001906bce80 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
0000000190638190 (__TEXT,__text) non-external _lzbitmap_init_encode_state
00000001906bc680 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00000001906383ac (__TEXT,__text) non-external _lzbitmap_process_block
000000019063b5f4 (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00000001906bde80 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00000001906bbe80 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
000000019065bdf4 (__TEXT,__text) non-external _lzfseBackendMatch
00000001906093e4 (__TEXT,__text) non-external (was a private external) _lzfseDecode
000000019060d0c8 (__TEXT,__text) non-external _lzfseDecodeV1
000000019065baf0 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
000000019065be54 (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
000000019065b96c (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
000000019065b9c4 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
000000019065c1f0 (__TEXT,__text) non-external _lzfseEncodeMatches
000000019065b994 (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
000000019065ba70 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
000000019065bf00 (__TEXT,__text) non-external _lzfsePushMatch
0000000190609120 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
0000000190609048 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
0000000190634ea8 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
000000019064f4b4 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
000000019064f41c (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
000000019064f3fc (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
000000019060a808 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
000000019062e978 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
000000019062e770 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
000000019062e970 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
000000019060d9a0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_literals
000000019060d6f0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
000000019062f508 (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00000001ef4c9a78 (__AUTH_CONST,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
000000019060a44c (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00000001906422e8 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00000001906422a8 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
0000000190682c80 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
0000000190682ca0 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
0000000190608e5c (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
000000019062ceb4 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
000000019062ceb0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
000000019062ce84 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
000000019062ce20 (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
000000019060901c (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00000001906090fc (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
00000001906605bc (__TEXT,__text) non-external (was a private external) _lzma1_chunk_decode
00000001906355dc (__TEXT,__text) non-external (was a private external) _lzma1_model_reset
000000019065ead4 (__TEXT,__text) non-external (was a private external) _lzma2_block_decode
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
000000019063a0d4 (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
000000019060a8ac (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
000000019063a130 (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
000000019060a8ac (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
0000000190683090 (__TEXT,__const) non-external (was a private external) _lzma_fsm_lut
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
0000000190608fe4 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
000000019065e480 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00000001906c0f60 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
0000000190608e8c (__TEXT,__text) non-external (was a private external) _lzma_stream_init
0000000190608f30 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
000000019065e080 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode
000000019065e3b8 (__TEXT,__text) non-external (was a private external) _lzma_xz_buffer_decode_scratch_size
0000000190609e6c (__TEXT,__text) non-external (was a private external) _lzvnDecode
00000001ef4c9278 (__AUTH_CONST,__const) non-external _lzvnDecode.opc_tbl
000000019063a7ac (__TEXT,__text) non-external (was a private external) _lzvnEncode
000000019063a750 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
000000019061aabc (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
000000019061aa20 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
000000019061aa14 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
000000019061eb5c (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
000000019061eaa4 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
000000019061ea84 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
000000019060a8c0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
000000019060a8ac (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
000000019063b1c8 (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
000000019063b210 (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
000000019063b1b4 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
0000000190608e5c (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
000000019063a0d0 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
000000019063a0cc (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
000000019063a0a0 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
000000019063a064 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
000000019063a014 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
000000019063a040 (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
0000000190641990 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
0000000190641984 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
0000000190656a5c (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
0000000190614bc8 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
0000000190614608 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00000001906147d0 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00000001906148dc (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
000000019062775c (__TEXT,__text) non-external (was a private external) _pal_decode_buffer
0000000190627754 (__TEXT,__text) non-external (was a private external) _pal_decode_scratch_size
000000019062867c (__TEXT,__text) non-external (was a private external) _pal_encode_buffer
0000000190628644 (__TEXT,__text) non-external (was a private external) _pal_encode_scratch_size
00000001906354a8 (__TEXT,__text) non-external (was a private external) _parse_size
00000001906b72e4 (__TEXT,__const) non-external _position_slot_base_position
00000001906b726c (__TEXT,__const) non-external _position_slot_extra_bits
00000001906081b8 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _read (from libSystem)
000000019060c180 (__TEXT,__text) non-external _readHuffmanTable
00000001906353d8 (__TEXT,__text) non-external (was a private external) _read_expected
00000001906058f0 (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
000000019060829c (__TEXT,__text) non-external _scan_tree
00000001906083a0 (__TEXT,__text) non-external _send_tree
000000019063b4a4 (__TEXT,__text) non-external (was a private external) _smb_decode_buffer
000000019063b42c (__TEXT,__text) non-external (was a private external) _smb_decode_scratch_size
000000019063b43c (__TEXT,__text) non-external (was a private external) _smb_encode_buffer
000000019063b400 (__TEXT,__text) non-external (was a private external) _smb_encode_scratch_size
000000019063edec (__TEXT,__text) non-external (was a private external) _smb_lz77_decode_buffer
000000019063efc8 (__TEXT,__text) non-external (was a private external) _smb_lz77_encode_buffer
0000000190630958 (__TEXT,__text) non-external (was a private external) _smb_lz77h_decode_buffer
0000000190630e64 (__TEXT,__text) non-external (was a private external) _smb_lz77h_encode_buffer
00000001906252fc (__TEXT,__text) non-external (was a private external) _smb_lznt1_decode_buffer
0000000190625500 (__TEXT,__text) non-external (was a private external) _smb_lznt1_encode_buffer
                 (undefined) external _stat (from libSystem)
00000001ea75bf60 (__DATA,__data) non-external _static_bl_desc
00000001ea75bf40 (__DATA,__data) non-external _static_d_desc
00000001906bf608 (__TEXT,__const) non-external _static_dtree
00000001ea75bf20 (__DATA,__data) non-external _static_l_desc
00000001906bf188 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001ea75bf00 (__DATA,__data) non-external (was a private external) _tc_quant16
000000019061a748 (__TEXT,__text) non-external (was a private external) _thread_pool_create
000000019061a950 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
000000019061a878 (__TEXT,__text) non-external _thread_pool_entry
000000019061a5b8 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
000000019061a6b0 (__TEXT,__text) non-external (was a private external) _thread_pool_sync
00000001906568b8 (__TEXT,__text) external _touchpadCodecCreate
000000019061ad00 (__TEXT,__text) external _touchpadCodecDecodeImage
00000001906569e8 (__TEXT,__text) external _touchpadCodecDestroy
000000019065e498 (__TEXT,__text) external _touchpadCodecEncodeImage
0000000190656054 (__TEXT,__text) external _touchpadGetInfoWithCompressedBuffer
                 (undefined) external _write (from libSystem)
0000000190635440 (__TEXT,__text) non-external (was a private external) _write_expected
00000001906c0712 (__TEXT,__const) non-external (was a private external) _xz_footer_magic
00000001906c070c (__TEXT,__const) non-external (was a private external) _xz_header_magic
000000019065e410 (__TEXT,__text) non-external _xz_read_multi_byte
000000019065e3c0 (__TEXT,__text) non-external _xz_simple_crc32
000000019064f91c (__TEXT,__text) external _yzip_codec_create
000000019064f958 (__TEXT,__text) external _yzip_codec_destroy
000000019062fb20 (__TEXT,__text) external _yzip_image_create
000000019062fc84 (__TEXT,__text) external _yzip_image_create_with_payload
00000001906304dc (__TEXT,__text) external _yzip_image_decode
000000019062fe1c (__TEXT,__text) external _yzip_image_destroy
000000019062fe20 (__TEXT,__text) external _yzip_image_encode
00000001906306d0 (__TEXT,__text) external _yzip_image_get_descriptor
000000019063078c (__TEXT,__text) external _yzip_image_get_max_payload_size
000000019063073c (__TEXT,__text) external _yzip_image_get_plane_descriptor
0000000190630814 (__TEXT,__text) external _yzip_image_set_data
000000019063094c (__TEXT,__text) external _yzip_image_set_identifier
0000000190630884 (__TEXT,__text) external _yzip_image_set_plane_data
0000000190625c70 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
0000000190625b80 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
0000000190625970 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00000001906266b8 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
000000019062611c (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00000001906265e0 (__TEXT,__text) non-external _yzip_jobs_process
0000000190625900 (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
0000000190657db0 (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
0000000190656e2c (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder_allocate
0000000190656d40 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_allocate
0000000190656e98 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00000001906576fc (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
000000019060e7f4 (__TEXT,__text) non-external (was a private external) _zError
00000001e6c6bb60 (__DATA_CONST,__const) non-external (was a private external) _z_errmsg
0000000190605cb8 (__TEXT,__text) non-external (was a private external) _zcalloc
0000000190608dd8 (__TEXT,__text) non-external (was a private external) _zcfree
000000019060de88 (__TEXT,__text) external _zero_coder_decode
000000019060df88 (__TEXT,__text) external _zero_coder_encode
000000019060e0cc (__TEXT,__text) non-external _zero_coder_init_luts
00000001ea75c100 (__DATA,__common) non-external (was a private external) _zero_coder_lut_popcount
00000001ea75c200 (__DATA,__common) non-external (was a private external) _zero_coder_lut_read
00000001ea75ca00 (__DATA,__common) non-external (was a private external) _zero_coder_lut_write
00000001ea75c000 (__DATA,__common) non-external (was a private external) _zero_coder_luts_ok
000000019060e7ec (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
000000019060ae60 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
000000019060b780 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00000001906b711c (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00000001906b70e0 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
000000019060e7e0 (__TEXT,__text) non-external (was a private external) _zlibVersion
00000001906417ec (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00000001906417e0 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
000000019061b264 (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
000000019061b258 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
000000019063b3fc (__TEXT,__text) non-external (was a private external) _zlib_free
000000019063b3d0 (__TEXT,__text) non-external (was a private external) _zlib_malloc
0000000190608e5c (__TEXT,__text) non-external (was a private external) _zlib_stream_end
000000019064195c (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
000000019060a8ac (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
0000000190641968 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
0000000190641954 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
0000000190605840 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00000001906060bc (__TEXT,__text) non-external (was a private external) _zlib_stream_process
000000019060de60 (__TEXT,__text) non-external vec_table
