00007ff80d04ffed (__TEXT,__text) non-external _CCGCMSymmInit
00007ff80d0531e8 (__TEXT,__text) external _tls_handshake_get_master_secret
00007ff80d04903c (__TEXT,__text) external _tls_handshake_get_max_protocol_version
00007ff80d049213 (__TEXT,__text) external _tls_handshake_get_min_dh_group_size
00007ff80d04902f (__TEXT,__text) external _tls_handshake_get_min_protocol_version
00007ff80d050670 (__TEXT,__text) external _tls_handshake_get_negotiated_cipherspec
00007ff80d0531c1 (__TEXT,__text) external _tls_handshake_get_negotiated_curve
00007ff80d053087 (__TEXT,__text) external _tls_handshake_get_negotiated_ems
00007ff80d0531b9 (__TEXT,__text) external _tls_handshake_get_negotiated_protocol_version
00007ff80d053268 (__TEXT,__text) external _tls_handshake_get_peer_acceptable_client_auth_type
00007ff80d05327d (__TEXT,__text) external _tls_handshake_get_peer_acceptable_dn_list
00007ff80d04d97e (__TEXT,__text) external _tls_handshake_get_peer_alpn_data
00007ff80d04de64 (__TEXT,__text) external _tls_handshake_get_peer_certificates
00007ff80d049310 (__TEXT,__text) external _tls_handshake_get_peer_hostname
00007ff80d04d998 (__TEXT,__text) external _tls_handshake_get_peer_npn_data
00007ff80d05329f (__TEXT,__text) external _tls_handshake_get_peer_ocsp_enabled
00007ff80d0532b8 (__TEXT,__text) external _tls_handshake_get_peer_ocsp_request_extensions
00007ff80d0532ab (__TEXT,__text) external _tls_handshake_get_peer_ocsp_responder_id_list
00007ff80d04ea10 (__TEXT,__text) external _tls_handshake_get_peer_ocsp_response
00007ff80d053292 (__TEXT,__text) external _tls_handshake_get_peer_psk_identity
00007ff80d05328a (__TEXT,__text) external _tls_handshake_get_peer_psk_identity_hint
00007ff80d053253 (__TEXT,__text) external _tls_handshake_get_peer_requested_ciphersuites
00007ff80d0532de (__TEXT,__text) external _tls_handshake_get_peer_requested_ecdh_curves
00007ff80d0532d2 (__TEXT,__text) external _tls_handshake_get_peer_sct_enabled
00007ff80d04ea03 (__TEXT,__text) external _tls_handshake_get_peer_sct_list
00007ff80d04d9b2 (__TEXT,__text) external _tls_handshake_get_peer_signature_algorithms
00007ff80d052f99 (__TEXT,__text) external _tls_handshake_get_server_identity_change
00007ff80d0531ce (__TEXT,__text) external _tls_handshake_get_server_random
00007ff80d053220 (__TEXT,__text) external _tls_handshake_get_session_match
00007ff80d0531f5 (__TEXT,__text) external _tls_handshake_get_session_proposed
00007ff80d0533ea (__TEXT,__text) external _tls_handshake_get_session_warning
00007ff80d053246 (__TEXT,__text) external _tls_handshake_get_sni_hostname
00007ff80d05335c (__TEXT,__text) external _tls_handshake_internal_client_random
00007ff80d0532f3 (__TEXT,__text) external _tls_handshake_internal_master_secret
00007ff80d04f408 (__TEXT,__text) external _tls_handshake_internal_prf
00007ff80d05332d (__TEXT,__text) external _tls_handshake_internal_server_random
00007ff80d05338b (__TEXT,__text) external _tls_handshake_internal_set_master_secret_function
00007ff80d0533a1 (__TEXT,__text) external _tls_handshake_internal_set_session_ticket
00007ff80d04933b (__TEXT,__text) external _tls_handshake_negotiate
00007ff80d04caab (__TEXT,__text) external _tls_handshake_process
00007ff80d053106 (__TEXT,__text) external _tls_handshake_request_renegotiation
00007ff80d05315c (__TEXT,__text) external _tls_handshake_retransmit_timer_expired
00007ff80d053166 (__TEXT,__text) external _tls_handshake_send_alert
00007ff80d052e54 (__TEXT,__text) external _tls_handshake_set_acceptable_client_auth_type
00007ff80d052e33 (__TEXT,__text) external _tls_handshake_set_acceptable_dn_list
00007ff80d052f51 (__TEXT,__text) external _tls_handshake_set_alpn_data
00007ff80d049019 (__TEXT,__text) external _tls_handshake_set_callbacks
00007ff80d052c16 (__TEXT,__text) external _tls_handshake_set_ciphersuites
00007ff80d048a55 (__TEXT,__text) non-external _tls_handshake_set_ciphersuites_internal
00007ff80d052c62 (__TEXT,__text) external _tls_handshake_set_client_auth
00007ff80d052e25 (__TEXT,__text) external _tls_handshake_set_client_auth_type
00007ff80d0489c0 (__TEXT,__text) external _tls_handshake_set_config
00007ff80d048e17 (__TEXT,__text) external _tls_handshake_set_curves
00007ff80d052c8b (__TEXT,__text) external _tls_handshake_set_dh_parameters
00007ff80d052c07 (__TEXT,__text) external _tls_handshake_set_ems_enable
00007ff80d052daf (__TEXT,__text) external _tls_handshake_set_encrypt_rsa_public_key
00007ff80d052fa9 (__TEXT,__text) external _tls_handshake_set_fallback
00007ff80d052eea (__TEXT,__text) external _tls_handshake_set_false_start
00007ff80d052d08 (__TEXT,__text) external _tls_handshake_set_identity
00007ff80d0491f2 (__TEXT,__text) external _tls_handshake_set_max_protocol_version
00007ff80d049220 (__TEXT,__text) external _tls_handshake_set_min_dh_group_size
00007ff80d0491d1 (__TEXT,__text) external _tls_handshake_set_min_protocol_version
00007ff80d052c71 (__TEXT,__text) external _tls_handshake_set_mtu
00007ff80d052f18 (__TEXT,__text) external _tls_handshake_set_npn_data
00007ff80d052f09 (__TEXT,__text) external _tls_handshake_set_npn_enable
00007ff80d049058 (__TEXT,__text) external _tls_handshake_set_ocsp_enable
00007ff80d052ff7 (__TEXT,__text) external _tls_handshake_set_ocsp_request_extensions
00007ff80d052fc8 (__TEXT,__text) external _tls_handshake_set_ocsp_responder_id_list
00007ff80d053030 (__TEXT,__text) external _tls_handshake_set_ocsp_response
00007ff80d052eb6 (__TEXT,__text) external _tls_handshake_set_peer_ec_public_key
00007ff80d049243 (__TEXT,__text) external _tls_handshake_set_peer_hostname
00007ff80d04de6e (__TEXT,__text) external _tls_handshake_set_peer_rsa_public_key
00007ff80d04ea2a (__TEXT,__text) external _tls_handshake_set_peer_trust
00007ff80d052de6 (__TEXT,__text) external _tls_handshake_set_psk_identity
00007ff80d052e00 (__TEXT,__text) external _tls_handshake_set_psk_identity_hint
00007ff80d052e0b (__TEXT,__text) external _tls_handshake_set_psk_secret
00007ff80d052c53 (__TEXT,__text) external _tls_handshake_set_renegotiation
00007ff80d04932c (__TEXT,__text) external _tls_handshake_set_resumption
00007ff80d049049 (__TEXT,__text) external _tls_handshake_set_sct_enable
00007ff80d053058 (__TEXT,__text) external _tls_handshake_set_sct_list
00007ff80d052f8a (__TEXT,__text) external _tls_handshake_set_server_identity_change
00007ff80d052c44 (__TEXT,__text) external _tls_handshake_set_session_ticket_enabled
00007ff80d0533f6 (__TEXT,__text) external _tls_handshake_set_session_warning
00007ff80d048eda (__TEXT,__text) external _tls_handshake_set_sigalgs
00007ff80d0530a3 (__TEXT,__text) external _tls_handshake_set_user_agent
00007ff80d048fa2 (__TEXT,__text) non-external (was a private external) _tls_handshake_sigalg_is_supported
00007ff80d050b2a (__TEXT,__text) non-external (was a private external) _tls_metric_client_finished
00007ff80d051910 (__TEXT,__text) non-external (was a private external) _tls_metric_destroyed
00007ff80d05241f (__TEXT,__text) non-external _tls_metric_event_add_string
00007ff80d0525ad (__TEXT,__text) non-external _tls_metric_event_done
00007ff80d052178 (__TEXT,__text) non-external _tls_metric_event_new
00007ff80d055175 (__TEXT,__text) non-external (was a private external) _tls_metric_insecure_dh_param
00007ff80d05a3f1 (__TEXT,__text) non-external _tls_metric_insecure_dh_param.cold.1
00007ff80d052b2b (__TEXT,__text) external _tls_private_key_create
00007ff80d052bdd (__TEXT,__text) external _tls_private_key_destroy
00007ff80d052b8b (__TEXT,__text) external _tls_private_key_ecdsa_create
00007ff80d052bd4 (__TEXT,__text) external _tls_private_key_get_context
00007ff80d052aed (__TEXT,__text) external _tls_private_key_rsa_create
00007ff80d050847 (__TEXT,__text) external _tls_record_advance_read_cipher
00007ff80d05037f (__TEXT,__text) external _tls_record_advance_write_cipher
00007ff80d049067 (__TEXT,__text) external _tls_record_create
00007ff80d04c54f (__TEXT,__text) external _tls_record_decrypt
00007ff80d04c4e7 (__TEXT,__text) external _tls_record_decrypted_size
00007ff80d0519d2 (__TEXT,__text) external _tls_record_destroy
00007ff80d04bf91 (__TEXT,__text) external _tls_record_encrypt
00007ff80d04be68 (__TEXT,__text) external _tls_record_encrypted_size
00007ff80d04bf24 (__TEXT,__text) non-external _tls_record_encrypted_size_1
00007ff80d04c451 (__TEXT,__text) external _tls_record_get_header_size
00007ff80d04fddf (__TEXT,__text) external _tls_record_init_pending_ciphers
00007ff80d04c467 (__TEXT,__text) external _tls_record_parse_header
00007ff80d052785 (__TEXT,__text) external _tls_record_parse_ssl2_header
00007ff80d052696 (__TEXT,__text) external _tls_record_rollback_write_cipher
00007ff80d04b4f9 (__TEXT,__text) external _tls_record_set_protocol_version
00007ff80d05036e (__TEXT,__text) external _tls_record_set_record_splitting
00007ff80d0527d3 (__TEXT,__text) external _tls_stream_parser_create
00007ff80d05293d (__TEXT,__text) external _tls_stream_parser_destroy
00007ff80d052801 (__TEXT,__text) external _tls_stream_parser_parse
                 (undefined) external _vasprintf (from libSystem)
                 (undefined) external _xpc_bool_get_value (from libSystem)
                 (undefined) external _xpc_create_from_plist (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_get_value (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
                 (undefined) external _xpc_get_type (from libSystem)
                 (undefined) external _xpc_release (from libSystem)
                 (undefined) external _xpc_retain (from libSystem)
