00000001eada60b0 (__DATA,__data) non-external _C
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
000000018036a28c (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
00000001803bcc80 (__TEXT,__text) external ___setonlyClocaleconv
0000000180386be4 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00000001eada7140 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00000001eada7b28 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
00000001803d8e68 (__TEXT,__text) non-external ___setup_vars
00000001803d71e8 (__TEXT,__text) non-external (was a private external) ___setutxent
0000000180375964 (__TEXT,__text) external ___sflags
00000001803752fc (__TEXT,__text) external ___sflush
0000000180375a30 (__TEXT,__text) external ___sfp
0000000180375c24 (__TEXT,__text) non-external (was a private external) ___sfprelease
0000000180369ad0 (__TEXT,__text) external ___sfvwrite
00000001803a7bcc (__TEXT,__text) non-external (was a private external) ___sgetrune
00000001eceae830 (__DATA_DIRTY,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
0000000180370a18 (__TEXT,__text) external ___sinit
0000000180399710 (__TEXT,__text) external ___slbexpand
00000001803796cc (__TEXT,__text) external ___smakebuf
00000001803de3c4 (__TEXT,__text) non-external ___smakebuf.cold.1
0000000180369e6c (__TEXT,__text) external ___snprintf_chk
00000001803dcc94 (__TEXT,__text) external ___snprintf_object_size_chk
00000001803aede8 (__TEXT,__text) external ___split_page
00000001803ca0dc (__TEXT,__text) non-external ___sprint
000000018037169c (__TEXT,__text) external ___sprintf_chk
00000001803dcdb8 (__TEXT,__text) external ___sprintf_object_size_chk
00000001803a7cd0 (__TEXT,__text) non-external (was a private external) ___sputrune
00000001803946cc (__TEXT,__text) external ___sread
0000000180370880 (__TEXT,__text) external ___srefill
00000001803708cc (__TEXT,__text) non-external (was a private external) ___srefill0
0000000180371168 (__TEXT,__text) non-external (was a private external) ___srefill1
000000018038a508 (__TEXT,__text) external ___srget
0000000180394868 (__TEXT,__text) external ___sseek
00000001803cf20c (__TEXT,__text) external ___stack_chk_fail
00000001eceb0370 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
00000001eada7b90 (__DATA,__bss) non-external ___stderr_evp
00000001eada6268 (__DATA,__data) external ___stderrp
00000001eada7b80 (__DATA,__bss) non-external ___stdin_evp
00000001eada6258 (__DATA,__data) external ___stdinp
00000001803dce58 (__TEXT,__text) non-external (was a private external) ___stdio_init
00000001eceb02f8 (__DATA_DIRTY,__bss) non-external ___stdout_evp
00000001eada6260 (__DATA,__data) external ___stdoutp
00000001803dcd48 (__TEXT,__text) external ___stpcpy_chk
00000001803dce24 (__TEXT,__text) external ___stpncpy_chk
00000001803df124 (__TEXT,__text) non-external ___stpncpy_chk.cold.1
000000018036b0b8 (__TEXT,__text) external ___strcat_chk
00000001803b3318 (__TEXT,__text) external ___strcp_D2A
0000000180372e5c (__TEXT,__text) external ___strcpy_chk
00000001eada71d0 (__DATA,__bss) non-external ___strerror_ebuf
000000018036e754 (__TEXT,__text) external ___strlcat_chk
000000018036a7c0 (__TEXT,__text) external ___strlcpy_chk
000000018036bb7c (__TEXT,__text) external ___strncat_chk
0000000180371bf4 (__TEXT,__text) external ___strncpy_chk
00000001803df0a8 (__TEXT,__text) non-external ___strncpy_chk.cold.1
0000000180392c0c (__TEXT,__text) external ___sum_D2A
00000001803c7178 (__TEXT,__text) external ___svfscanf
000000018036e9f8 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
00000001803e1a48 (__TEXT,__const) non-external ___svfscanf_l.basefix
0000000180397374 (__TEXT,__text) external ___swbuf
0000000180379974 (__TEXT,__text) external ___swhatbuf
000000018039686c (__TEXT,__text) external ___swrite
0000000180385fec (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
00000001eada62c8 (__DATA,__data) non-external ___systemfn_mutex
00000001eada6328 (__DATA,__data) non-external ___systemfn_mutex
00000001803e1188 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
00000001803a05a4 (__TEXT,__text) non-external ___thread_stack_async_pcs
00000001803a0178 (__TEXT,__text) non-external ___thread_stack_pcs
000000018038859c (__TEXT,__text) non-external (was a private external) ___time_load_locale
00000001eada7bf0 (__DATA,__bss) non-external ___time_load_locale.cache
00000001803e1160 (__TEXT,__const) external ___tinytens_D2A
000000018036bca8 (__TEXT,__text) external ___tolower
00000001803bd624 (__TEXT,__text) external ___tolower_l
000000018036bce8 (__TEXT,__text) external ___toupper
00000001803bd604 (__TEXT,__text) external ___toupper_l
0000000180392d48 (__TEXT,__text) external ___trailz_D2A
000000018038b38c (__TEXT,__text) external ___ulp_D2A
0000000180369ee4 (__TEXT,__text) non-external ___ultoa
000000018036a010 (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
000000018038a5d0 (__TEXT,__text) external ___ungetc
00000001803c6a18 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
000000018036ac0c (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
00000001803e1f31 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00000001803d7e88 (__TEXT,__text) non-external (was a private external) ___utmpxname
00000001eada71c8 (__DATA,__bss) non-external ___utx__
00000001803e0e58 (__TEXT,__const) non-external (was a private external) ___utx_magic__
00000001803666c0 (__TEXT,__text) non-external (was a private external) ___v2printf
0000000180366a68 (__TEXT,__text) non-external (was a private external) ___vfprintf
00000001803de53c (__TEXT,__text) non-external ___vfprintf.cold.1
00000001803e1a08 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00000001803e1a18 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
00000001803c73c4 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00000001803e1a6c (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00000001803e1a7c (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
00000001803ca2c8 (__TEXT,__text) non-external (was a private external) ___vfwscanf
00000001803e1b68 (__TEXT,__const) non-external ___vfwscanf.basefix
0000000180377524 (__TEXT,__text) external ___vsnprintf_chk
00000001803dccd8 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
00000001803be118 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
00000001803bde94 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
00000001803bd510 (__TEXT,__text) external ___wcwidth
00000001803bd644 (__TEXT,__text) external ___wcwidth_l
0000000180386bb0 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
00000001eada5e38 (__DATA,__data) external ___xlocale_C_collate
0000000180384304 (__TEXT,__text) non-external (was a private external) ___xlocale_init
00000001803a4328 (__TEXT,__text) non-external ___xlocale_release
00000001803948d0 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00000001803dd314 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00000001eada60b8 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00000001803d6ba8 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
000000018037710c (__TEXT,__text) non-external (was a private external) ___xvprintf
00000001803d1c40 (__TEXT,__text) external __allocenvstate
00000001803b3380 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
00000001803b9cec (__TEXT,__text) non-external (was a private external) __ascii_init
00000001803b9d50 (__TEXT,__text) non-external __ascii_mbrtowc
00000001803b9dac (__TEXT,__text) non-external __ascii_mbsinit
00000001803b9db4 (__TEXT,__text) non-external __ascii_mbsnrtowcs
00000001803b9e74 (__TEXT,__text) non-external __ascii_wcrtomb
00000001803b9eb4 (__TEXT,__text) non-external __ascii_wcsnrtombs
000000018039f8d4 (__TEXT,__text) external __atexit_receipt
00000001eada73e8 (__DATA,__bss) non-external __atexit_receipt_enabled
0000000180378750 (__TEXT,__text) non-external __backtrace_snprintf
000000018039a2a0 (__TEXT,__text) non-external __boottime_fallback_usec
00000001e6b645a8 (__DATA_CONST,__const) external __c_locale
000000018038d534 (__TEXT,__text) external __cleanup
00000001803a1aa8 (__TEXT,__text) external __closeutx
00000001803ba9a4 (__TEXT,__text) external __collate_lookup
00000001803bbccc (__TEXT,__text) non-external (was a private external) __collate_sxfrm
00000001803de17c (__TEXT,__text) non-external __collate_sxfrm.cold.1
00000001803bba58 (__TEXT,__text) non-external (was a private external) __collate_wxfrm
00000001803de150 (__TEXT,__text) non-external __collate_wxfrm.cold.1
00000001803d1c44 (__TEXT,__text) external __copyenv
00000001edb54098 (__AUTH,__data) external __cthread_init_routine
00000001803d1cdc (__TEXT,__text) external __deallocenvstate
0000000180394550 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
                 (undefined) external __dyld_stack_range (from libdyld)
00000001eada7ca0 (__DATA,__common) non-external (was a private external) __e_err_exit
00000001eada7c98 (__DATA,__common) non-external (was a private external) __e_err_file
00000001803b35f4 (__TEXT,__text) non-external (was a private external) __e_visprintf
00000001803d7364 (__TEXT,__text) external __endutxent
00000001803dee08 (__TEXT,__text) non-external __endutxent.cold.1
00000001803dee40 (__TEXT,__text) non-external __endutxent.cold.2
00000001803c6010 (__TEXT,__text) non-external __ensurespace
                 (undefined) external __exit (from libsystem_kernel)
000000018039a528 (__TEXT,__text) non-external __ffpp_strtoencf32_l
00000001803dcea4 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
00000001803dced0 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
00000001803e04c0 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
000000018039a7f4 (__TEXT,__text) non-external __ffpp_strtoencf64_l
00000001803dcefc (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
00000001803dcf28 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
00000001803dcf54 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
00000001803e0860 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
00000001803b69c4 (__TEXT,__text) non-external (was a private external) __filldir
00000001803b8a2c (__TEXT,__text) non-external (was a private external) __fixtelldir
00000001803c27e0 (__TEXT,__text) external __flockfile_debug_stub
00000001803964f4 (__TEXT,__text) external __fseeko
00000001803946ec (__TEXT,__text) external __ftello
000000018038d548 (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
00000001803cf3d0 (__TEXT,__text) external __getenvp
00000001803d7680 (__TEXT,__text) external __getutxent
00000001803dee78 (__TEXT,__text) non-external __getutxent.cold.1
00000001803deeb0 (__TEXT,__text) non-external __getutxent.cold.2
00000001803d772c (__TEXT,__text) external __getutxid
00000001803deee8 (__TEXT,__text) non-external __getutxid.cold.1
00000001803def20 (__TEXT,__text) non-external __getutxid.cold.2
00000001803d7920 (__TEXT,__text) external __getutxline
00000001803def58 (__TEXT,__text) non-external __getutxline.cold.1
00000001803def90 (__TEXT,__text) non-external __getutxline.cold.2
00000001803767e0 (__TEXT,__text) external __inet_aton_check
000000018038428c (__TEXT,__text) external __init_clock_port
00000001803cc864 (__TEXT,__text) external __int_to_time
0000000180371cf0 (__TEXT,__text) non-external __isort
0000000180371e9c (__TEXT,__text) non-external __isort
00000001803d1b94 (__TEXT,__text) non-external __legacy_crt1_environ
00000001eceb02e0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00000001eceb0280 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child_v2
00000001eceb02d8 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00000001eceb0278 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent_v2
00000001eceb02d0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00000001eceb02b8 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare_v2
00000001803a7328 (__TEXT,__text) external __libc_fork_child
00000001803841ac (__TEXT,__text) non-external (was a private external) __libc_fork_init
00000001803a7324 (__TEXT,__text) external __libc_fork_parent
00000001803a7320 (__TEXT,__text) external __libc_fork_prepare
0000000180384108 (__TEXT,__text) external __libc_initializer
00000001803bcce4 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
00000001803bccbc (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
00000001803bcc94 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
00000001803cc85c (__TEXT,__text) external __long_to_time
000000018039a118 (__TEXT,__text) non-external __mach_boottime_usec
000000018039f928 (__TEXT,__text) non-external (was a private external) __maybe_call_atexit_receipt_handler
00000001eada73ec (__DATA,__bss) non-external __maybe_call_atexit_receipt_handler.already_did
00000001eceb0270 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
0000000180392a10 (__TEXT,__text) non-external __mkdtemp_action
0000000180398ce0 (__TEXT,__text) non-external __mkfilex_np
0000000180383aa4 (__TEXT,__text) non-external __mkostemps_action
0000000180373734 (__TEXT,__text) non-external __mkpath
0000000180394208 (__TEXT,__text) external __mkpath_np
00000001803c42d8 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00000001803de3f8 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
00000001803c41f8 (__TEXT,__text) external __mktemp
000000018037a2e0 (__TEXT,__text) non-external __mktemp_action
00000001803bd688 (__TEXT,__text) non-external (was a private external) __none_init
000000018038ff54 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
00000001803bd6ec (__TEXT,__text) non-external (was a private external) __none_mbsinit
00000001803bd6f4 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
000000018038d4f4 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
00000001803bd788 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
00000001eada7b18 (__DATA,__bss) non-external __onlyClocaleconv
00000001803a19fc (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001803dd418 (__TEXT,__text) external __os_assert_log
00000001803dd6d4 (__TEXT,__text) external __os_assert_log_ctx
000000018038a08c (__TEXT,__text) external __os_assumes_log
00000001803dd558 (__TEXT,__text) external __os_assumes_log_ctx
0000000180371838 (__TEXT,__text) external __os_avoid_tail_call
00000001803dd3fc (__TEXT,__text) external __os_crash
00000001eada7cb0 (__DATA,__common) external __os_crash_callback
00000001803a8470 (__TEXT,__text) external __os_crash_fmt
00000001803dd810 (__TEXT,__text) non-external __os_crash_fmt.cold.1
00000001803a8424 (__TEXT,__text) external __os_crash_msg
00000001803dd204 (__TEXT,__text) external __os_debug_log
00000001803a1cdc (__TEXT,__text) external __os_debug_log_error_offset
000000018038a26c (__TEXT,__text) external __os_debug_log_error_str
000000018038a280 (__TEXT,__text) non-external __os_debug_log_init
00000001803a1d7c (__TEXT,__text) non-external __os_debug_log_open_file
00000001803a1b2c (__TEXT,__text) weak external __os_debug_log_redirect_func
00000001803a1b34 (__TEXT,__text) non-external __os_debug_log_write
00000001803a1cec (__TEXT,__text) non-external __os_debug_log_write_error
00000001803a857c (__TEXT,__text) non-external __os_get_build
00000001803a84d0 (__TEXT,__text) non-external __os_get_image_uuid
                 (undefined) external __os_log_default (from libsystem_trace)
000000018038a200 (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_log_send_and_compose_impl (from libsystem_trace)
                 (undefined) external __os_once (from libsystem_platform)
000000018036a6d4 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
000000018036a1fc (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
000000018036a640 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001ee4e7df8 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
00000001803e3f4d (__TEXT,__cstring) non-external __printf_tbl_flags
0000000180384174 (__TEXT,__text) non-external (was a private external) __program_vars_init
00000001803d30b4 (__TEXT,__text) non-external __psort
00000001803d3b04 (__TEXT,__text) non-external __psort
00000001803d4584 (__TEXT,__text) non-external __psort
00000001803dea1c (__TEXT,__text) non-external __psort.cold.1
00000001803dea6c (__TEXT,__text) non-external __psort.cold.1
00000001803deabc (__TEXT,__text) non-external __psort.cold.1
00000001803d3054 (__TEXT,__text) non-external __psort_parallel
00000001803d3aa4 (__TEXT,__text) non-external __psort_parallel
00000001803d4520 (__TEXT,__text) non-external __psort_parallel
00000001803cfb78 (__TEXT,__text) external __putenvp
00000001803d7a14 (__TEXT,__text) external __pututxline
00000001803defc8 (__TEXT,__text) non-external __pututxline.cold.1
00000001803df000 (__TEXT,__text) non-external __pututxline.cold.2
00000001803a0684 (__TEXT,__text) non-external __pwuid_r
0000000180393060 (__TEXT,__text) non-external __qsort
00000001803938dc (__TEXT,__text) non-external __qsort
00000001eada60d8 (__DATA,__data) external __rand48_add
00000001eada5db0 (__DATA,__data) external __rand48_mult
00000001ecead618 (__DATA_DIRTY,__data) external __rand48_seed
00000001803b728c (__TEXT,__text) external __readdir_unlocked
000000018036b8a4 (__TEXT,__text) external __reclaim_telldir
00000001803e1e68 (__TEXT,__const) non-external (was a private external) __rp_alist
00000001eceb0358 (__DATA_DIRTY,__common) non-external (was a private external) __saved_environ
00000001803b8970 (__TEXT,__text) external __seekdir
00000001803d1d38 (__TEXT,__text) external __setenvp
00000001803d7240 (__TEXT,__text) external __setutxent
00000001803ded98 (__TEXT,__text) non-external __setutxent.cold.1
00000001803dedd0 (__TEXT,__text) non-external __setutxent.cold.2
00000001803a74c8 (__TEXT,__text) external __sigaction_nobind
00000001eada7d08 (__DATA,__common) external __sigintr
00000001803b86e4 (__TEXT,__text) external __signal_nobind
0000000180399fd0 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
00000001803b855c (__TEXT,__text) non-external (was a private external) __sm_compress_mode
00000001803711d8 (__TEXT,__text) external __sread
0000000180379bc0 (__TEXT,__text) external __sseek
0000000180384a9c (__TEXT,__text) non-external (was a private external) __st_fmt
00000001803a62d8 (__TEXT,__text) non-external (was a private external) __st_get_timezone
000000018036dc50 (__TEXT,__text) non-external (was a private external) __st_localsub
000000018036dc44 (__TEXT,__text) non-external (was a private external) __st_set_timezone
000000018037c4f4 (__TEXT,__text) non-external (was a private external) __st_time1
000000018036be74 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00000001803d8108 (__TEXT,__text) non-external __strfmon
000000018038b7b0 (__TEXT,__text) non-external __strptime0
00000001803e1c5c (__TEXT,__const) non-external __strptime0.start_of_month
00000001803a5b4c (__TEXT,__text) external __subsystem_init
00000001803772f0 (__TEXT,__text) external __swrite
00000001803a0560 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
0000000180373660 (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
00000001803cc844 (__TEXT,__text) external __time32_to_time
00000001803cc850 (__TEXT,__text) external __time64_to_time
00000001803cc860 (__TEXT,__text) external __time_to_int
00000001803cc858 (__TEXT,__text) external __time_to_long
00000001803cc84c (__TEXT,__text) external __time_to_time32
00000001803cc854 (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_atexit (from libdyld)
                 (undefined) external __tlv_exit (from libdyld)
00000001803d1dc8 (__TEXT,__text) external __unsetenvp
00000001803a1924 (__TEXT,__text) non-external (was a private external) __utmpx32_64
00000001803a1990 (__TEXT,__text) non-external (was a private external) __utmpx64_32
00000001803a0900 (__TEXT,__text) non-external (was a private external) __utmpx_asl
00000001803e1f42 (__TEXT,__const) non-external (was a private external) __utmpx_vers
00000001803a0d28 (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00000001eada73f0 (__DATA,__bss) non-external __utmpx_working_copy.idzero
00000001803d7f4c (__TEXT,__text) external __utmpxname
00000001803df038 (__TEXT,__text) non-external __utmpxname.cold.1
00000001803df070 (__TEXT,__text) non-external __utmpxname.cold.2
0000000180392ecc (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180398084 (__TEXT,__text) non-external (was a private external) __vdprintf
0000000180392dc0 (__TEXT,__text) non-external (was a private external) __vsnprintf
00000001803858e0 (__TEXT,__text) non-external __yconv
00000001803cf26c (__TEXT,__text) external _a64l
00000001803e0a50 (__TEXT,__const) non-external _a64toi
00000001803de7d4 (__TEXT,__text) external _abort
00000001803de904 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
00000001803cf354 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00000001803a4ad4 (__TEXT,__text) external _acl_add_flag_np
00000001803a4b88 (__TEXT,__text) external _acl_add_perm
00000001803a44a0 (__TEXT,__text) external _acl_calc_mask
00000001803a4ae8 (__TEXT,__text) external _acl_clear_flags_np
00000001803a4bd8 (__TEXT,__text) external _acl_clear_perms
00000001803a44c4 (__TEXT,__text) external _acl_copy_entry
00000001803a4e18 (__TEXT,__text) external _acl_copy_ext
0000000180373478 (__TEXT,__text) external _acl_copy_ext_native
00000001803a4f00 (__TEXT,__text) external _acl_copy_int
0000000180398778 (__TEXT,__text) external _acl_copy_int_native
00000001803a4614 (__TEXT,__text) external _acl_create_entry
00000001803a4544 (__TEXT,__text) external _acl_create_entry_np
00000001803a4ab0 (__TEXT,__text) external _acl_delete_def_file
00000001803a461c (__TEXT,__text) external _acl_delete_entry
00000001803a48c0 (__TEXT,__text) external _acl_delete_fd_np
00000001803a48e4 (__TEXT,__text) external _acl_delete_file_np
00000001803a4af4 (__TEXT,__text) external _acl_delete_flag_np
00000001803a4908 (__TEXT,__text) external _acl_delete_link_np
00000001803a4be4 (__TEXT,__text) external _acl_delete_perm
0000000180373374 (__TEXT,__text) external _acl_dup
00000001e6b645b0 (__DATA_CONST,__const) non-external _acl_flags
0000000180373550 (__TEXT,__text) external _acl_free
00000001803a4fc4 (__TEXT,__text) external _acl_from_text
0000000180399794 (__TEXT,__text) external _acl_get_entry
00000001803a492c (__TEXT,__text) external _acl_get_fd
0000000180392a44 (__TEXT,__text) external _acl_get_fd_np
00000001803914d4 (__TEXT,__text) external _acl_get_file
00000001803914dc (__TEXT,__text) non-external _acl_get_file1
00000001803998cc (__TEXT,__text) external _acl_get_flag_np
0000000180399850 (__TEXT,__text) external _acl_get_flagset_np
00000001803a4934 (__TEXT,__text) external _acl_get_link_np
00000001803a4c34 (__TEXT,__text) external _acl_get_perm_np
00000001803a4c7c (__TEXT,__text) external _acl_get_permset
00000001803a4d50 (__TEXT,__text) external _acl_get_permset_mask_np
00000001803a4704 (__TEXT,__text) external _acl_get_qualifier
00000001803a4790 (__TEXT,__text) external _acl_get_tag_type
0000000180398828 (__TEXT,__text) external _acl_init
00000001803a4d3c (__TEXT,__text) external _acl_maximal_permset_mask_np
00000001e6b64670 (__DATA_CONST,__const) non-external _acl_perms
00000001803a49b4 (__TEXT,__text) external _acl_set_fd
00000001803a493c (__TEXT,__text) external _acl_set_fd_np
00000001803a49b8 (__TEXT,__text) external _acl_set_file
00000001803a4b08 (__TEXT,__text) external _acl_set_flagset_np
00000001803a4a30 (__TEXT,__text) external _acl_set_link_np
00000001803a4cdc (__TEXT,__text) external _acl_set_permset
00000001803a4db0 (__TEXT,__text) external _acl_set_permset_mask_np
00000001803a47f0 (__TEXT,__text) external _acl_set_qualifier
00000001803a485c (__TEXT,__text) external _acl_set_tag_type
0000000180373408 (__TEXT,__text) external _acl_size
00000001803a55f0 (__TEXT,__text) external _acl_to_text
00000001803a43e0 (__TEXT,__text) external _acl_valid
00000001803a4434 (__TEXT,__text) external _acl_valid_fd_np
00000001803a4458 (__TEXT,__text) external _acl_valid_file_np
00000001803a447c (__TEXT,__text) external _acl_valid_link
000000018039c29c (__TEXT,__text) non-external _addToMP
00000001803b8464 (__TEXT,__text) non-external _addcmd
00000001803bfc6c (__TEXT,__text) external _addr2ascii
00000001eada7b30 (__DATA,__bss) non-external _addr2ascii.staticbuf
000000018037b0e8 (__TEXT,__text) non-external _advance_directory
00000001803dd1e8 (__TEXT,__text) non-external _advance_directory.cold.1
00000001803915d0 (__TEXT,__text) external _alarm
00000001803acd98 (__TEXT,__text) non-external _alloc_segs
00000001803b7cf0 (__TEXT,__text) external _alphasort
00000001803e1d52 (__TEXT,__const) non-external _ambig
00000001803661e0 (__TEXT,__text) non-external _arc4_init
00000001803dd8b4 (__TEXT,__text) non-external _arc4_init.cold.1
0000000180371cb0 (__TEXT,__text) external _arc4random
00000001803b337c (__TEXT,__text) external _arc4random_addrandom
0000000180366194 (__TEXT,__text) external _arc4random_buf
00000001803925e4 (__TEXT,__text) external _arc4random_stir
00000001803776d0 (__TEXT,__text) external _arc4random_uniform
00000001eada7c60 (__DATA,__bss) non-external _arg_type_queue
00000001803d6ab0 (__TEXT,__text) non-external (was a private external) _arrayfree
000000018039535c (__TEXT,__text) non-external _arrayget
00000001803bfd50 (__TEXT,__text) external _ascii2addr
00000001803901cc (__TEXT,__text) external _asctime
00000001803847b4 (__TEXT,__text) external _asctime_r
00000001803e1b9f (__TEXT,__const) non-external _asctime_r.mon_name
00000001803e1b8a (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
0000000180372bd4 (__TEXT,__text) external _asprintf
00000001803c282c (__TEXT,__text) external _asprintf_l
00000001803a62e4 (__TEXT,__text) external _asxprintf
00000001803a6988 (__TEXT,__text) external _asxprintf_exec
