0000000184391f08 (__DATA,__data) non-external _C
00000001802bdc59 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
00000001802ac754 (__TEXT,__text) non-external (was a private external) ___v2printf
000000018028ab44 (__TEXT,__text) non-external (was a private external) ___vfprintf
00000001802bba64 (__TEXT,__text) non-external ___vfprintf.cold.1
00000001802bd7df (__TEXT,__const) non-external ___vfprintf.xdigs_lower
00000001802bd7ef (__TEXT,__const) non-external ___vfprintf.xdigs_upper
000000018028fcc8 (__TEXT,__text) non-external (was a private external) ___vfwprintf
00000001802bd844 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
00000001802bd854 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180292f98 (__TEXT,__text) non-external (was a private external) ___vfwscanf
00000001802bd940 (__TEXT,__const) non-external ___vfwscanf.basefix
00000001802babc0 (__TEXT,__text) external ___vsnprintf_chk
00000001802ba968 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
000000018027f934 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
000000018027f674 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
000000018027d5c0 (__TEXT,__text) external ___wcwidth
000000018027d6ec (__TEXT,__text) external ___wcwidth_l
000000018027eac4 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
000000018025b4b0 (__TEXT,__text) non-external (was a private external) ___xlocale_init
000000018025b4e8 (__TEXT,__text) non-external ___xlocale_release
000000018025c42c (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
00000001802bac98 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00000001843924d8 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
00000001802acc98 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
00000001802acb08 (__TEXT,__text) non-external (was a private external) ___xvprintf
00000001802a5bb0 (__TEXT,__text) external __allocenvstate
000000018026f9fc (__TEXT,__text) non-external (was a private external) __arc4_fork_child
0000000180278944 (__TEXT,__text) non-external (was a private external) __ascii_init
00000001802789bc (__TEXT,__text) non-external __ascii_mbrtowc
0000000180278a18 (__TEXT,__text) non-external __ascii_mbsinit
0000000180278a20 (__TEXT,__text) non-external __ascii_mbsnrtowcs
0000000180278aec (__TEXT,__text) non-external __ascii_wcrtomb
0000000180278b28 (__TEXT,__text) non-external __ascii_wcsnrtombs
000000018237cdb0 (__DATA_CONST,__const) external __c_locale
0000000180283d5c (__TEXT,__text) external __cleanup
00000001802a5bb4 (__TEXT,__text) external __copyenv
00000001843a8d68 (__AUTH,__data) external __cthread_init_routine
00000001802a5c40 (__TEXT,__text) external __deallocenvstate
00000001802a5528 (__TEXT,__text) non-external __do_nothing
000000018025a714 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
000000018439e8d0 (__DATA,__common) non-external (was a private external) __e_err_exit
000000018439e8c8 (__DATA,__common) non-external (was a private external) __e_err_file
000000018026fef4 (__TEXT,__text) non-external (was a private external) __e_visprintf
                 (undefined) external __exit (from libsystem_kernel)
00000001802742e4 (__TEXT,__text) non-external (was a private external) __filldir
000000018027685c (__TEXT,__text) non-external (was a private external) __fixtelldir
0000000180282880 (__TEXT,__text) external __flockfile_debug_stub
0000000180284e54 (__TEXT,__text) external __fseeko
00000001802852c4 (__TEXT,__text) external __ftello
00000001802857d4 (__TEXT,__text) external __fwalk
00000001802a0878 (__TEXT,__text) external __getenvp
00000001802575e0 (__TEXT,__text) external __init_clock_port
000000018029c25c (__TEXT,__text) external __int_to_time
00000001802a30c8 (__TEXT,__text) non-external __isort
00000001802a3cb8 (__TEXT,__text) non-external __isort
0000000184393be8 (__DATA,__bss) non-external __libSystem_atfork_child
0000000184393bd0 (__DATA,__bss) non-external __libSystem_atfork_child_v2
0000000184393be0 (__DATA,__bss) non-external __libSystem_atfork_parent
0000000184393bc8 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
0000000184393bd8 (__DATA,__bss) non-external __libSystem_atfork_prepare
0000000184393bc0 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
000000018025da78 (__TEXT,__text) external __libc_fork_child
000000018025db28 (__TEXT,__text) non-external (was a private external) __libc_fork_init
000000018025d9cc (__TEXT,__text) external __libc_initializer
000000018029c254 (__TEXT,__text) external __long_to_time
0000000180253204 (__TEXT,__text) non-external __mach_boottime_usec
0000000184393bb8 (__DATA,__bss) non-external __mh_execute_header_pointer
0000000180286984 (__TEXT,__text) non-external __mkdtemp_action
00000001802866c8 (__TEXT,__text) non-external __mkostemps_action
000000018025ccfc (__TEXT,__text) non-external __mkpath
000000018025cce8 (__TEXT,__text) external __mkpath_np
0000000180286b8c (__TEXT,__text) non-external __mkstemp_dprotected_np_action
00000001802bb928 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
0000000180286a08 (__TEXT,__text) external __mktemp
0000000180286a60 (__TEXT,__text) non-external __mktemp_action
000000018027d730 (__TEXT,__text) non-external (was a private external) __none_init
000000018027d7a8 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
000000018027d7d8 (__TEXT,__text) non-external (was a private external) __none_mbsinit
000000018027d7e0 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
000000018027d87c (__TEXT,__text) non-external (was a private external) __none_wcrtomb
000000018027d8b8 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001802badec (__TEXT,__text) external __os_assert_log
00000001802baff0 (__TEXT,__text) external __os_assert_log_ctx
00000001802bacdc (__TEXT,__text) external __os_assumes_log
00000001802baedc (__TEXT,__text) external __os_assumes_log_ctx
000000018025e370 (__TEXT,__text) external __os_avoid_tail_call
00000001802bacd0 (__TEXT,__text) external __os_crash
000000018439e8b8 (__DATA,__common) external __os_crash_callback
                 (undefined) external __os_once (from libsystem_platform)
00000001802a5530 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
00000001802a567c (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
00000001802a55e4 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001843dea00 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
00000001802bf590 (__TEXT,__cstring) non-external __printf_tbl_flags
000000018025daf0 (__TEXT,__text) non-external (was a private external) __program_vars_init
00000001802a264c (__TEXT,__text) external __putenvp
00000001802a27cc (__TEXT,__text) non-external __qsort
00000001802a32f4 (__TEXT,__text) non-external __qsort
0000000184392538 (__DATA,__data) external __rand48_add
0000000184392530 (__DATA,__data) external __rand48_mult
0000000184392528 (__DATA,__data) external __rand48_seed
0000000180274a74 (__TEXT,__text) external __readdir_unlocked
0000000180276890 (__TEXT,__text) external __reclaim_telldir
000000018025b580 (__TEXT,__text) non-external __releaselocale
00000001802bdbbc (__TEXT,__const) non-external (was a private external) __rp_alist
0000000180276790 (__TEXT,__text) external __seekdir
00000001802a5c9c (__TEXT,__text) external __setenvp
000000018025e0d0 (__TEXT,__text) external __sigaction_nobind
000000018439e8e8 (__DATA,__common) external __sigintr
0000000180275a74 (__TEXT,__text) external __signal_nobind
0000000180252ce8 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
000000018027579c (__TEXT,__text) non-external (was a private external) __sm_compress_mode
0000000180289bdc (__TEXT,__text) external __sread
0000000180289d10 (__TEXT,__text) external __sseek
00000001802992f0 (__TEXT,__text) non-external (was a private external) __st_fmt
000000018025bfa8 (__TEXT,__text) non-external (was a private external) __st_get_timezone
0000000180297228 (__TEXT,__text) non-external (was a private external) __st_localsub
000000018025bfb4 (__TEXT,__text) non-external (was a private external) __st_set_timezone
0000000180297cd0 (__TEXT,__text) non-external (was a private external) __st_time1
0000000180295f5c (__TEXT,__text) non-external (was a private external) __st_tzset_basic
00000001802ad184 (__TEXT,__text) non-external __strfmon
000000018029a4e0 (__TEXT,__text) non-external __strptime0
00000001802bda18 (__TEXT,__const) non-external __strptime0.start_of_month
000000018025b878 (__TEXT,__text) external __subsystem_init
0000000180289c4c (__TEXT,__text) external __swrite
000000018025818c (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
0000000180257fac (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
000000018029c23c (__TEXT,__text) external __time32_to_time
000000018029c248 (__TEXT,__text) external __time64_to_time
000000018029c258 (__TEXT,__text) external __time_to_int
000000018029c250 (__TEXT,__text) external __time_to_long
000000018029c244 (__TEXT,__text) external __time_to_time32
000000018029c24c (__TEXT,__text) external __time_to_time64
00000001802a5d2c (__TEXT,__text) external __unsetenvp
000000018028a6f0 (__TEXT,__text) non-external (was a private external) __vasprintf
000000018028a890 (__TEXT,__text) non-external (was a private external) __vdprintf
0000000180294c8c (__TEXT,__text) non-external (was a private external) __vsnprintf
000000018029a21c (__TEXT,__text) non-external __yconv
000000018029ff10 (__TEXT,__text) external _a64l
00000001802bbc6c (__TEXT,__text) external _abort
00000001802bbdc4 (__TEXT,__text) external _abort_report_np
000000018029ffdc (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
00000001802756a4 (__TEXT,__text) non-external _addcmd
0000000180256564 (__TEXT,__text) non-external _advance_directory
00000001802bac80 (__TEXT,__text) non-external _advance_directory.cold.1
000000018026f884 (__TEXT,__text) external _alarm
0000000180262a38 (__TEXT,__text) non-external _alloc_segs
0000000180274f78 (__TEXT,__text) external _alphasort
00000001802bdb0c (__TEXT,__const) non-external _ambig
000000018026f970 (__TEXT,__text) non-external _arc4_init
00000001802bb138 (__TEXT,__text) non-external _arc4_init.cold.1
000000018026f8e0 (__TEXT,__text) external _arc4random
000000018026f8dc (__TEXT,__text) external _arc4random_addrandom
000000018026f920 (__TEXT,__text) external _arc4random_buf
000000018026f9b4 (__TEXT,__text) external _arc4random_stir
000000018026f9b8 (__TEXT,__text) external _arc4random_uniform
00000001802ac2f8 (__TEXT,__text) non-external _arrayget
0000000180295d70 (__TEXT,__text) external _asctime
0000000180295c24 (__TEXT,__text) external _asctime_r
00000001802bd977 (__TEXT,__const) non-external _asctime_r.mon_name
00000001802bd962 (__TEXT,__const) non-external _asctime_r.wday_name
0000000180282908 (__TEXT,__text) external _asprintf
0000000180282958 (__TEXT,__text) external _asprintf_l
000000018025bfc0 (__TEXT,__text) external _asxprintf
000000018025ca80 (__TEXT,__text) external _asxprintf_exec
00000001802a0030 (__TEXT,__text) external _atexit
00000001802a0170 (__TEXT,__text) external _atexit_b
0000000184392b30 (__DATA,__data) non-external _atexit_mutex
00000001802a0064 (__TEXT,__text) non-external _atexit_register
00000001802bbe14 (__TEXT,__text) non-external _atexit_register.cold.1
00000001802a04f0 (__TEXT,__text) external _atof
00000001802a0518 (__TEXT,__text) external _atof_l
00000001802a0524 (__TEXT,__text) external _atoi
00000001802a0564 (__TEXT,__text) external _atoi_l
00000001802a0588 (__TEXT,__text) external _atol
00000001802a05b4 (__TEXT,__text) external _atol_l
00000001802a05c4 (__TEXT,__text) external _atoll
00000001802a05f0 (__TEXT,__text) external _atoll_l
0000000180253a58 (__TEXT,__text) external _backtrace
0000000180253ab0 (__TEXT,__text) external _backtrace_async
0000000180253b18 (__TEXT,__text) external _backtrace_from_fp
0000000180253b7c (__TEXT,__text) external _backtrace_image_offsets
000000018026faf8 (__TEXT,__text) external _basename
0000000184393c18 (__DATA,__bss) non-external _basename.bname
000000018026fa14 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
000000018025952c (__TEXT,__text) external _bcopy
00000001802bd7ff (__TEXT,__const) non-external _blanks
00000001802bd8c0 (__TEXT,__const) non-external _blanks
0000000184392d34 (__DATA,__data) non-external _blanks
0000000180257830 (__TEXT,__text) non-external _both_ftw
0000000184393ab0 (__DATA,__bss) non-external _brapreg
000000018025368c (__TEXT,__text) external _brk
00000001802536b0 (__TEXT,__text) external _bsd_signal
00000001802a0600 (__TEXT,__text) external _bsearch
00000001802a0688 (__TEXT,__text) external _bsearch_b
0000000180261ae4 (__TEXT,__text) non-external _bt_broot
0000000180261814 (__TEXT,__text) non-external _bt_page
0000000180261c50 (__TEXT,__text) non-external _bt_preserve
0000000180261ca8 (__TEXT,__text) non-external _bt_psplit
0000000180261734 (__TEXT,__text) non-external _bt_root
00000001802619cc (__TEXT,__text) non-external _bt_rroot
0000000180278e44 (__TEXT,__text) external _btowc
0000000180278d88 (__TEXT,__text) external _btowc_l
0000000184395778 (__DATA,__bss) non-external _buf_asctime
0000000180287d58 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
00000001802bcd28 (__TEXT,__const) non-external (was a private external) _cVersionNumber
00000001802bcd00 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
0000000180282768 (__TEXT,__text) external _catclose
000000018237d0f0 (__DATA_CONST,__const) non-external _categories
0000000180282440 (__TEXT,__text) external _catgets
0000000180281d64 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
0000000180276a90 (__TEXT,__text) external _cfgetispeed
0000000180276a88 (__TEXT,__text) external _cfgetospeed
0000000180276abc (__TEXT,__text) external _cfmakeraw
0000000180276aa4 (__TEXT,__text) external _cfsetispeed
0000000180276a98 (__TEXT,__text) external _cfsetospeed
0000000180276ab0 (__TEXT,__text) external _cfsetspeed
000000018027220c (__TEXT,__text) external _cgetcap
00000001802729ec (__TEXT,__text) external _cgetclose
0000000180272298 (__TEXT,__text) external _cgetent
000000018027297c (__TEXT,__text) external _cgetfirst
0000000180272904 (__TEXT,__text) external _cgetmatch
0000000180272a38 (__TEXT,__text) external _cgetnext
00000001802731cc (__TEXT,__text) external _cgetnum
000000018027217c (__TEXT,__text) external _cgetset
0000000180272e00 (__TEXT,__text) external _cgetstr
00000001802730d0 (__TEXT,__text) external _cgetustr
0000000180279a20 (__TEXT,__text) non-external _chainsearch
                 (undefined) external _chdir (from libsystem_kernel)
0000000180256814 (__TEXT,__text) non-external _check_env_var
                 (undefined) external _chflags (from libsystem_kernel)
0000000180282984 (__TEXT,__text) external _clearerr
00000001802829c8 (__TEXT,__text) external _clearerr_unlocked
000000018026fb58 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00000001802534cc (__TEXT,__text) external _clock_getres
00000001802532fc (__TEXT,__text) external _clock_gettime
0000000180253070 (__TEXT,__text) external _clock_gettime_nsec_np
000000018439e8a4 (__DATA,__common) external _clock_port
000000018439e8a0 (__DATA,__common) external _clock_sem
000000018025356c (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00000001802562c4 (__TEXT,__text) non-external _close_directory
000000018026fbb0 (__TEXT,__text) external _closedir
000000018237d650 (__DATA_CONST,__const) non-external _cnames
0000000180263ee0 (__TEXT,__text) non-external _collect_data
0000000180264098 (__TEXT,__text) non-external _collect_key
00000001802bda80 (__TEXT,__const) non-external _command_substitution_str
0000000180256618 (__TEXT,__text) external _compat_mode
0000000180253c38 (__TEXT,__text) external _confstr
000000018025c54c (__TEXT,__text) external _copy_printf_domain
00000001802b912c (__TEXT,__text) external _creat
000000018025e48c (__TEXT,__text) external _creat$NOCANCEL
000000018026fc30 (__TEXT,__text) external _ctermid
0000000184392540 (__DATA,__data) non-external _ctermid.def
000000018026fc58 (__TEXT,__text) external _ctermid_r
0000000180297c5c (__TEXT,__text) external _ctime
0000000180297c90 (__TEXT,__text) external _ctime_r
00000001843925e0 (__DATA,__data) non-external _current_categories
000000018027def0 (__TEXT,__text) non-external _currentlocale
0000000184393ed8 (__DATA,__bss) non-external _currentlocale.current_locale_string
0000000184393b10 (__DATA,__bss) non-external _curshell
0000000184392b90 (__DATA,__data) non-external _dash_prefix
000000018439e908 (__DATA,__common) external _daylight
0000000180266284 (__TEXT,__text) external _dbm_clearerr
00000001802660cc (__TEXT,__text) external _dbm_close
00000001802661f8 (__TEXT,__text) external _dbm_delete
0000000180266294 (__TEXT,__text) external _dbm_dirfno
0000000180266278 (__TEXT,__text) external _dbm_error
00000001802660d8 (__TEXT,__text) external _dbm_fetch
0000000180266120 (__TEXT,__text) external _dbm_firstkey
0000000180266188 (__TEXT,__text) external _dbm_nextkey
0000000180265fe4 (__TEXT,__text) external _dbm_open
0000000180266234 (__TEXT,__text) external _dbm_store
00000001802623a8 (__TEXT,__text) external _dbopen
0000000184393c88 (__DATA,__bss) non-external _dbp
0000000184393ad0 (__DATA,__bss) non-external _decpreg
00000001802bdb94 (__TEXT,__const) non-external _degrees
00000001802540d8 (__TEXT,__text) external _devname
0000000184393a30 (__DATA,__bss) non-external _devname.buf
0000000180253f90 (__TEXT,__text) external _devname_r
0000000180295d7c (__TEXT,__text) external _difftime
000000018025895c (__TEXT,__text) external _digittoint
0000000180258c54 (__TEXT,__text) external _digittoint_l
000000018025e340 (__TEXT,__text) external _dirfd
000000018026fd84 (__TEXT,__text) external _dirname
0000000184393c20 (__DATA,__bss) non-external _dirname.dname
000000018026fc78 (__TEXT,__text) external _dirname_r
00000001802a0720 (__TEXT,__text) external _div
0000000184391840 (__DATA,__data) non-external _dktypenames
000000018027815c (__TEXT,__text) non-external _do_hvis
0000000180278294 (__TEXT,__text) non-external _do_mvis
0000000180278448 (__TEXT,__text) non-external _do_svis
00000001802829d8 (__TEXT,__text) external _dprintf
0000000180282a28 (__TEXT,__text) external _dprintf_l
000000018026fde4 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
000000018025a6b0 (__TEXT,__text) external _duplocale
000000018025bffc (__TEXT,__text) external _dxprintf
000000018025cac0 (__TEXT,__text) external _dxprintf_exec
00000001802a7cac (__TEXT,__text) external _ecvt
0000000184393cf0 (__DATA,__bss) non-external _empty
0000000184393d00 (__DATA,__bss) non-external _empty
0000000184392bd8 (__DATA,__data) non-external _end_ptr
000000018025711c (__TEXT,__text) external _endttyent
0000000180257448 (__TEXT,__text) external _endusershell
00000001802a0850 (__TEXT,__text) external _environ_lock_np
0000000184393ba8 (__DATA,__bss) non-external _environ_pointer
00000001802a0860 (__TEXT,__text) external _environ_unlock_np
0000000180294fd4 (__TEXT,__text) non-external _eofread
00000001802953c8 (__TEXT,__text) non-external _eofread
000000018026fe64 (__TEXT,__text) external _erand48
00000001802bb264 (__TEXT,__text) external _err
0000000180270048 (__TEXT,__text) external _err_set_exit
00000001802700a0 (__TEXT,__text) external _err_set_exit_b
0000000180270028 (__TEXT,__text) external _err_set_file
00000001802bb3c0 (__TEXT,__text) external _errc
00000001802bb3e0 (__TEXT,__text) external _errx
00000001802bd1a4 (__TEXT,__const) non-external _escape
0000000180270148 (__TEXT,__text) external _execl
0000000180270218 (__TEXT,__text) external _execle
00000001802702e0 (__TEXT,__text) external _execlp
0000000180270400 (__TEXT,__text) external _execv
000000018027043c (__TEXT,__text) external _execvP
0000000180270488 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
000000018027039c (__TEXT,__text) external _execvp
00000001802a0750 (__TEXT,__text) external _exit
0000000180283cd0 (__TEXT,__text) external _f_prealloc
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
0000000180282a54 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
00000001802a7e6c (__TEXT,__text) external _fcvt
0000000180282b74 (__TEXT,__text) external _fdopen
00000001802b9bf8 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180274044 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
0000000180282ca4 (__TEXT,__text) external _feof
0000000180282cdc (__TEXT,__text) external _feof_unlocked
0000000180282ce8 (__TEXT,__text) external _ferror
0000000180282d20 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
0000000180265f60 (__TEXT,__text) non-external _fetch_bitmap
0000000180257da0 (__TEXT,__text) external _fflagstostr
0000000180282d2c (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
0000000180282f8c (__TEXT,__text) external _fgetc
0000000180283068 (__TEXT,__text) external _fgetln
0000000180283214 (__TEXT,__text) external _fgetpos
0000000180283244 (__TEXT,__text) external _fgets
0000000180283378 (__TEXT,__text) external _fgetwc
0000000180283504 (__TEXT,__text) external _fgetwc_l
0000000180283668 (__TEXT,__text) external _fgetwln
000000018028358c (__TEXT,__text) external _fgetwln_l
000000018028386c (__TEXT,__text) external _fgetws
000000018028368c (__TEXT,__text) external _fgetws_l
0000000184392980 (__DATA,__data) non-external _filelist_lock
0000000180283890 (__TEXT,__text) external _fileno
00000001802838c4 (__TEXT,__text) external _fileno_unlocked
0000000180286448 (__TEXT,__text) non-external _find_temp_path
000000018029c188 (__TEXT,__text) non-external _first_wday_of
0000000180282844 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
0000000180263270 (__TEXT,__text) non-external _flush_meta
000000018029ef90 (__TEXT,__text) external _fmemopen
000000018029f2e0 (__TEXT,__text) non-external _fmemopen_close
000000018029f170 (__TEXT,__text) non-external _fmemopen_read
000000018029f258 (__TEXT,__text) non-external _fmemopen_seek
000000018029f1cc (__TEXT,__text) non-external _fmemopen_write
000000018237d238 (__DATA_CONST,__const) non-external _fmt_padding
0000000180270774 (__TEXT,__text) external _fmtcheck
0000000180270d7c (__TEXT,__text) external _fmtmsg
00000001802712e0 (__TEXT,__text) external _fnmatch
000000018027138c (__TEXT,__text) non-external _fnmatch1
0000000180283e3c (__TEXT,__text) external _fopen
00000001802b9d28 (__TEXT,__text) external _fopen$DARWIN_EXTSN
000000018025db7c (__TEXT,__text) external _fork
0000000180283f54 (__TEXT,__text) external _fprintf
0000000180283fa4 (__TEXT,__text) external _fprintf_l
0000000184392bc8 (__DATA,__data) non-external _fptr
0000000180283fd0 (__TEXT,__text) external _fpurge
0000000180284060 (__TEXT,__text) external _fputc
00000001802840f0 (__TEXT,__text) external _fputs
0000000180284288 (__TEXT,__text) external _fputwc
000000018028430c (__TEXT,__text) external _fputwc_l
00000001802844f8 (__TEXT,__text) external _fputws
00000001802843a4 (__TEXT,__text) external _fputws_l
00000001802846f8 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
000000018025c194 (__TEXT,__text) external _free_printf_comp
000000018025c600 (__TEXT,__text) external _free_printf_domain
000000018025aa04 (__TEXT,__text) external _freelocale
0000000180284994 (__TEXT,__text) external _freopen
0000000180284cbc (__TEXT,__text) external _fscanf
0000000180284d34 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
0000000180284dc4 (__TEXT,__text) external _fseek
00000001802851bc (__TEXT,__text) external _fseeko
000000018028524c (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
00000001802538f8 (__TEXT,__text) external _fstatvfs
00000001843918a0 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
000000018025e2d0 (__TEXT,__text) external _fsync_volume_np
0000000180285258 (__TEXT,__text) external _ftell
000000018028525c (__TEXT,__text) external _ftello
0000000180295db0 (__TEXT,__text) external _ftime
0000000180271f74 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
0000000180282884 (__TEXT,__text) external _ftrylockfile
00000001802560f8 (__TEXT,__text) non-external _fts_alloc
000000018025530c (__TEXT,__text) non-external _fts_build
00000001802babf0 (__TEXT,__text) non-external _fts_build.cold.1
00000001802bac08 (__TEXT,__text) non-external _fts_build.cold.2
00000001802bac20 (__TEXT,__text) non-external _fts_build.cold.3
00000001802bac38 (__TEXT,__text) non-external _fts_build.cold.4
00000001802bac50 (__TEXT,__text) non-external _fts_build.cold.5
00000001802bac68 (__TEXT,__text) non-external _fts_build.cold.6
0000000180255f08 (__TEXT,__text) external _fts_children
0000000180254bd0 (__TEXT,__text) external _fts_close
000000018025482c (__TEXT,__text) external _fts_open
0000000180254b1c (__TEXT,__text) external _fts_open_b
0000000180256074 (__TEXT,__text) non-external _fts_palloc
0000000180254cf0 (__TEXT,__text) external _fts_read
00000001802551a8 (__TEXT,__text) non-external _fts_safe_changedir
0000000180255ed0 (__TEXT,__text) external _fts_set
0000000180256194 (__TEXT,__text) non-external _fts_sort
0000000180256318 (__TEXT,__text) non-external _fts_stat2
0000000180257820 (__TEXT,__text) external _ftw
00000001802828cc (__TEXT,__text) external _funlockfile
00000001802853cc (__TEXT,__text) external _funopen
000000018028585c (__TEXT,__text) external _fwide
00000001802858c8 (__TEXT,__text) external _fwprintf
0000000180285918 (__TEXT,__text) external _fwprintf_l
0000000180285944 (__TEXT,__text) external _fwrite
0000000180285a30 (__TEXT,__text) external _fwscanf
0000000180285a80 (__TEXT,__text) external _fwscanf_l
000000018025c038 (__TEXT,__text) external _fxprintf
000000018025cb00 (__TEXT,__text) external _fxprintf_exec
00000001843917f8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001802a7e74 (__TEXT,__text) external _gcvt
000000018026b388 (__TEXT,__text) non-external _gdtoa_freelist_free
0000000184393c00 (__DATA,__bss) non-external _gdtoa_tsd_key
00000001843924e8 (__DATA,__data) non-external _gdtoa_tsd_lock
0000000184393b7c (__DATA,__bss) non-external _get_clock.adjustment
0000000184393b90 (__DATA,__bss) non-external _get_clock.clock_seq
0000000184393b80 (__DATA,__bss) non-external _get_clock.last
00000001802707f4 (__TEXT,__text) non-external _get_next_format
000000018027099c (__TEXT,__text) non-external _get_next_format_from_precision
0000000180270934 (__TEXT,__text) non-external _get_next_format_from_width
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
0000000180271fc4 (__TEXT,__text) external _getbsize
0000000184393c50 (__DATA,__bss) non-external _getbsize.header
0000000180285aac (__TEXT,__text) external _getc
0000000180285b10 (__TEXT,__text) external _getc_unlocked
