00000001e785b40c (__TEXT,__text) non-external _DiToMD5
00000001e784486c (__TEXT,__text) external __ZN12IODMACommand4initEv
00000001e785cf60 (__TEXT,__text) external __ZN12IODMACommand6CreateEP9IOServiceyPK25IODMACommandSpecificationPPS_
00000001e785ce60 (__TEXT,__text) external __ZN12IODMACommand8DispatchE5IORPC
00000001e785ceb8 (__TEXT,__text) external __ZN12IODMACommand9_DispatchEPS_5IORPC
00000001e784545c (__TEXT,__text) external __ZN12IOUserClient14ExternalMethodEyP27IOUserClientMethodArgumentsPK26IOUserClientMethodDispatchP8OSObjectPv
00000001e7868d2c (__TEXT,__text) external __ZN12IOUserClient15AsyncCompletionEP8OSActioniPKyjPFiP15OSMetaClassBase5IORPCE
00000001e7869270 (__TEXT,__text) external __ZN12IOUserClient15_ExternalMethodEyPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS3_S5_P8OSActionPFiP15OSMetaClassBase5IORPCE
00000001e78455d0 (__TEXT,__text) external __ZN12IOUserClient20_ExternalMethod_ImplEyPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS3_S5_P8OSAction
00000001e786955c (__TEXT,__text) external __ZN12IOUserClient22AsyncCompletion_InvokeE5IORPCP15OSMetaClassBasePFvS2_P8OSActioniPKyjE
00000001e7869594 (__TEXT,__text) external __ZN12IOUserClient22AsyncCompletion_InvokeE5IORPCP15OSMetaClassBasePFvS2_P8OSActioniPKyjEPK11OSMetaClass
00000001e786910c (__TEXT,__text) external __ZN12IOUserClient22CopyClientEntitlementsEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00000001e7868b14 (__TEXT,__text) external __ZN12IOUserClient22_ExternalMethod_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPKyjP6OSDataP18IOMemoryDescriptorPyPjyPS6_S8_P8OSActionE
00000001e7868e04 (__TEXT,__text) external __ZN12IOUserClient23CopyClientMemoryForTypeEyPyPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00000001e78453e8 (__TEXT,__text) external __ZN12IOUserClient27CopyClientEntitlements_ImplEPP12OSDictionary
00000001e78694a8 (__TEXT,__text) external __ZN12IOUserClient28CreateActionKernelCompletionEmPP8OSAction
00000001e7868a5c (__TEXT,__text) external __ZN12IOUserClient29CopyClientEntitlements_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00000001e7869670 (__TEXT,__text) external __ZN12IOUserClient30CopyClientMemoryForType_InvokeE5IORPCP15OSMetaClassBasePFiS2_yPyPP18IOMemoryDescriptorE
00000001e7868f7c (__TEXT,__text) external __ZN12IOUserClient32CreateMemoryDescriptorFromClientEyjPK16IOAddressSegmentPP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00000001e7869728 (__TEXT,__text) external __ZN12IOUserClient39CreateMemoryDescriptorFromClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_yjPK16IOAddressSegmentPP18IOMemoryDescriptorE
00000001e78449e8 (__TEXT,__text) external __ZN12IOUserClient4freeEv
00000001e784491c (__TEXT,__text) external __ZN12IOUserClient4initEv
00000001e7868940 (__TEXT,__text) external __ZN12IOUserClient8DispatchE5IORPC
00000001e7868974 (__TEXT,__text) external __ZN12IOUserClient9_DispatchEPS_5IORPC
00000001e7869fec (__TEXT,__text) external __ZN12IOUserServer10LoadModuleEPKcPFiP15OSMetaClassBase5IORPCE
00000001e7869b18 (__TEXT,__text) external __ZN12IOUserServer11Exit_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00000001e786a134 (__TEXT,__text) external __ZN12IOUserServer13Create_InvokeE5IORPCPFiPKcyyP8OSStringPPS_E
00000001e7840dec (__TEXT,__text) external __ZN12IOUserServer15LoadModule_ImplEPKc
00000001e7869bec (__TEXT,__text) external __ZN12IOUserServer17LoadModule_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00000001e7869ea4 (__TEXT,__text) external __ZN12IOUserServer4ExitEPKcPFiP15OSMetaClassBase5IORPCE
00000001e7840d70 (__TEXT,__text) external __ZN12IOUserServer4freeEv
00000001e7840d60 (__TEXT,__text) external __ZN12IOUserServer4initEv
00000001e7869d14 (__TEXT,__text) external __ZN12IOUserServer6CreateEPKcyyP8OSStringPPS_
00000001e78699fc (__TEXT,__text) external __ZN12IOUserServer8DispatchE5IORPC
00000001e7840dc4 (__TEXT,__text) external __ZN12IOUserServer9Exit_ImplEPKc
00000001e7869a30 (__TEXT,__text) external __ZN12IOUserServer9_DispatchEPS_5IORPC
00000001e784bcc4 (__TEXT,__text) external __ZN12OSDictionary11withObjectsEPPK8OSObjectS3_jj
00000001e784bea0 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPK8OSObject
00000001e784beac (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPKc
00000001e784bcc0 (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
00000001e784bb18 (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
00000001e784bd78 (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00000001e784bb28 (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00000001e784bc48 (__TEXT,__text) external __ZN12OSDictionary4freeEv
00000001e784bde0 (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00000001e784bd6c (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00000001e784be90 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00000001e7845b54 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00000001e7845ed4 (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00000001e7845e74 (__TEXT,__text) external __ZN12OSMappedFile4initEv
00000001e784d1c4 (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00000001e784ce64 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00000001e784d084 (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00000001e784d0e8 (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00000001e784cef8 (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00000001e784ceec (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00000001e784cf68 (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00000001e7846204 (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00000001e7846034 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00000001e7846344 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00000001e7846428 (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00000001e786e51c (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00000001e78464fc (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00000001e786e548 (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00000001e78460c0 (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00000001e7846024 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00000001e784614c (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00000001e785ae34 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00000001e785ada0 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00000001e785ac6c (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00000001e785abe8 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00000001e785a93c (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00000001e785ac60 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00000001e786bd04 (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00000001e785edf4 (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00000001e783ee0c (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00000001e785f014 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00000001e7841308 (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00000001e784155c (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00000001e785ef78 (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00000001e783ecac (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00000001e7841a48 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00000001e78416fc (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00000001e786df70 (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00000001e7841ad4 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00000001e786e04c (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00000001e786e078 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00000001e7841484 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00000001e78414d4 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00000001e786df44 (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00000001e78412b4 (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00000001e7841020 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00000001e7840e50 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00000001e7841ad0 (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00000001e7840eb0 (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00000001e7840944 (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00000001e786dcdc (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00000001e786dd08 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00000001e786dd34 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00000001e786dd60 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00000001e786dd8c (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00000001e786ddb8 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00000001e786dde4 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00000001e786de10 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00000001e7841b8c (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00000001e783eb98 (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00000001e783eba4 (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00000001e785ecf4 (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00000001e785ebf4 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00000001e7841b94 (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00000001e785ec4c (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00000001e785a1a8 (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00000001e7859c2c (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00000001e7859ce0 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00000001e785a354 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00000001e785a3d4 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00000001e7859ce4 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00000001e786f958 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00000001e785a600 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00000001e785a75c (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00000001e7859ebc (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00000001e786f970 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00000001e785a768 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00000001e785a774 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00000001e7859454 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00000001e7859510 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00000001e785a0a0 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00000001e785a1a4 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00000001e786b34c (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00000001e783d33c (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00000001e783dba8 (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00000001e783de90 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00000001e786cf5c (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00000001e786cf88 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00000001e783dddc (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00000001e786cf0c (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00000001e783e5c0 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00000001e786d228 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00000001e786d254 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00000001e786d280 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00000001e786d2ac (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00000001e786d2d8 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00000001e786d304 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00000001e783e064 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00000001e786d078 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00000001e786d0a4 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00000001e786d0d0 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00000001e786d0fc (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00000001e783d334 (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00000001e783d36c (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00000001e7848ca0 (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00000001e784d9a8 (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00000001e786f01c (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00000001e784d958 (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00000001e786eff0 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00000001e784d950 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00000001e784d954 (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00000001e784d9dc (__TEXT,__text) external __ZN15OSSerialization4freeEv
00000001e785f584 (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00000001e785f82c (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00000001e7841d44 (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00000001e785f258 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00000001e785f96c (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00000001e785f464 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00000001e785f8c8 (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00000001e7841d38 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00000001e7841d28 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00000001e785f348 (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00000001e785f184 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00000001e785f70c (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00000001e785f1b8 (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00000001e78580a8 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00000001e7857694 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00000001e7857f5c (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00000001e78576c4 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00000001e78585a0 (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00000001e7858480 (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00000001e786f560 (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00000001e78583fc (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00000001e786f538 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00000001e78584d0 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00000001e786f588 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00000001e7858614 (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00000001e7857a94 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00000001e786f410 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00000001e786f438 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00000001e786f468 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00000001e786f4a4 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00000001e786f4d4 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00000001e785775c (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00000001e786f280 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00000001e786f2a8 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00000001e786f2d0 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00000001e7857eac (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00000001e7857c80 (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00000001e7857664 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00000001e78584c8 (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00000001e7857db8 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00000001e786f510 (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00000001e785852c (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00000001e7857924 (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00000001e786f2e8 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00000001e786f310 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00000001e786f338 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00000001e786f368 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00000001e786f3a4 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00000001e786f3d4 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00000001e78576d0 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00000001e7857b60 (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00000001e78572bc (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00000001e78571b0 (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00000001e785740c (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00000001e7857408 (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00000001e785732c (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00000001e786f1a8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00000001e786f1d8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00000001e786f214 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00000001e786f244 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00000001e78588ec (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00000001e78586bc (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00000001e78589f8 (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00000001e7858768 (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00000001e78587e8 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00000001e786b0f0 (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00000001e786c984 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00000001e786a9c8 (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00000001e786ab78 (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00000001e786b210 (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00000001e786b4ec (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00000001e786b56c (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00000001e786b668 (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00000001e786bda4 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00000001e785ccf0 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00000001e7860f5c (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00000001e78610a0 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00000001e78614ac (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00000001e7861548 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00000001e7861200 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00000001e7861330 (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00000001e7861604 (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00000001e78616ec (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00000001e7842d50 (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00000001e786e204 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00000001e784454c (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00000001e78444ec (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00000001e7860e5c (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00000001e78445d8 (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00000001e786e390 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00000001e7860eb4 (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00000001e7861e28 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00000001e7862940 (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00000001e786b190 (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00000001e7859448 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00000001e78592f0 (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00000001e7859230 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00000001e7858ad8 (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00000001e7858bd8 (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00000001e7861ba8 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00000001e785fa64 (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00000001e785fc24 (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00000001e7861840 (__TEXT,__text) external __ZN20IOMemoryMapMetaClass3NewEP8OSObject
00000001e786193c (__TEXT,__text) external __ZN20IOMemoryMapMetaClass8DispatchE5IORPC
00000001e786a268 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass3NewEP8OSObject
00000001e786a428 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass8DispatchE5IORPC
00000001e786b2cc (__TEXT,__text) external __ZN20OSContainerMetaClass3NewEP8OSObject
00000001e785ce10 (__TEXT,__text) external __ZN21IODMACommandMetaClass3NewEP8OSObject
