00000001d71fa898 (__DATA,__data) non-external _C
000000018b50fb40 (__TEXT,__text) external ___rec_vmap
000000018b50f904 (__TEXT,__text) external ___rec_vpipe
000000018b50d13c (__TEXT,__text) external ___reclaim_buf
                 (undefined) external ___recvfrom (from libsystem_kernel)
                 (undefined) external ___recvfrom_nocancel (from libsystem_kernel)
000000018b4f98ac (__TEXT,__text) external ___rshift_D2A
000000018b4e8ca0 (__TEXT,__text) non-external (was a private external) ___rvOK_D2A
000000018b4d51dc (__TEXT,__text) external ___rv_alloc_D2A
000000018b4e2708 (__TEXT,__text) external ___s2b_D2A
00000001d95b9318 (__DATA_DIRTY,__data) external ___sF
00000001d95b94e0 (__DATA_DIRTY,__data) non-external ___sFX
000000018b4df97c (__TEXT,__text) external ___sclose
00000001d95b9bb8 (__DATA_DIRTY,__bss) non-external ___scounted
00000001d95b9c58 (__DATA_DIRTY,__common) external ___sdidinit
                 (undefined) external ___semwait_signal (from libsystem_kernel)
                 (undefined) external ___semwait_signal_nocancel (from libsystem_kernel)
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sendto_nocancel (from libsystem_kernel)
000000018b511f7c (__TEXT,__text) external ___set_ones_D2A
000000018b4e7ccc (__TEXT,__text) non-external (was a private external) ___setenv_locked
                 (undefined) external ___setlogin (from libsystem_kernel)
000000018b4f6634 (__TEXT,__text) non-external (was a private external) ___setrunelocale
00000001d71fc320 (__DATA,__bss) non-external ___setrunelocale.CachedRuneLocale
00000001d71fc328 (__DATA,__bss) non-external ___setrunelocale.cache_lock
                 (undefined) external ___settimeofday (from libsystem_kernel)
000000018b53da38 (__TEXT,__text) non-external ___setup_vars
000000018b4d81dc (__TEXT,__text) external ___sflags
000000018b4d9aa4 (__TEXT,__text) external ___sflush
000000018b4d83bc (__TEXT,__text) external ___sfp
000000018b4d99fc (__TEXT,__text) non-external (was a private external) ___sfprelease
000000018b4d9e48 (__TEXT,__text) external ___sfvwrite
00000001d95b9750 (__DATA_DIRTY,__data) external ___sglue
                 (undefined) external ___sigaltstack (from libsystem_kernel)
000000018b4f0148 (__TEXT,__text) external ___sinit
000000018b524158 (__TEXT,__text) external ___slbexpand
000000018b4d97c8 (__TEXT,__text) external ___smakebuf
000000018b4f0944 (__TEXT,__text) external ___snprintf_chk
000000018b546fd0 (__TEXT,__text) external ___snprintf_object_size_chk
000000018b50d400 (__TEXT,__text) external ___split_page
000000018b52c628 (__TEXT,__text) non-external ___sprint
000000018b4da24c (__TEXT,__text) external ___sprintf_chk
000000018b5470f8 (__TEXT,__text) external ___sprintf_object_size_chk
000000018b4e29b0 (__TEXT,__text) external ___sread
000000018b4e10a4 (__TEXT,__text) external ___srefill
000000018b4e2864 (__TEXT,__text) non-external (was a private external) ___srefill0
000000018b4f57ec (__TEXT,__text) non-external (was a private external) ___srefill1
000000018b4f5d64 (__TEXT,__text) external ___srget
000000018b4d6b64 (__TEXT,__text) external ___sseek
000000018b533808 (__TEXT,__text) external ___stack_chk_fail
00000001d95b9c78 (__DATA_DIRTY,__common) external ___stack_chk_guard
                 (undefined) external ___stat64_extended (from libsystem_kernel)
00000001d71faa60 (__DATA,__data) external ___stderrp
00000001d71faa50 (__DATA,__data) external ___stdinp
00000001d95b9bd0 (__DATA_DIRTY,__bss) non-external ___stdout_evp
00000001d71faa58 (__DATA,__data) external ___stdoutp
000000018b547088 (__TEXT,__text) external ___stpcpy_chk
000000018b547164 (__TEXT,__text) external ___stpncpy_chk
000000018b4f0bbc (__TEXT,__text) external ___strcat_chk
000000018b511d94 (__TEXT,__text) external ___strcp_D2A
000000018b4dca30 (__TEXT,__text) external ___strcpy_chk
00000001d95b9bc0 (__DATA_DIRTY,__bss) non-external ___stream_max
00000001d71fc538 (__DATA,__bss) non-external ___strerror_ebuf
000000018b4d8098 (__TEXT,__text) external ___strlcat_chk
000000018b4d9de8 (__TEXT,__text) external ___strlcpy_chk
000000018b4eb430 (__TEXT,__text) external ___strncat_chk
000000018b4e09c4 (__TEXT,__text) external ___strncpy_chk
000000018b4e63ac (__TEXT,__text) external ___strtodg
000000018b512050 (__TEXT,__text) external ___strtopdd
000000018b54a4d0 (__TEXT,__const) non-external ___strtopdd.fpi0
000000018b512444 (__TEXT,__text) external ___sum_D2A
000000018b529454 (__TEXT,__text) external ___svfscanf
000000018b4dcbf8 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
000000018b54abb8 (__TEXT,__const) non-external ___svfscanf_l.basefix
000000018b4f603c (__TEXT,__text) external ___swbuf
000000018b4e0f68 (__TEXT,__text) external ___swhatbuf
000000018b4e3da0 (__TEXT,__text) external ___swrite
000000018b4e60c4 (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
                 (undefined) external ___sysctlbyname (from libsystem_kernel)
00000001d71fab88 (__DATA,__data) non-external ___systemfn_mutex
00000001d71fac80 (__DATA,__data) non-external ___systemfn_mutex
000000018b54a2f0 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
000000018b4feacc (__TEXT,__text) non-external ___thread_stack_async_pcs
000000018b4de3b8 (__TEXT,__text) non-external ___thread_stack_pcs
000000018b531684 (__TEXT,__text) non-external (was a private external) ___time_load_locale
00000001d71fc530 (__DATA,__bss) non-external ___time_load_locale.cache
000000018b54a2c8 (__TEXT,__const) external ___tinytens_D2A
000000018b4d978c (__TEXT,__text) external ___tolower
000000018b51ecf4 (__TEXT,__text) external ___tolower_l
000000018b4d9448 (__TEXT,__text) external ___toupper
000000018b51ecd4 (__TEXT,__text) external ___toupper_l
000000018b511bb8 (__TEXT,__text) external ___trailz_D2A
000000018b512590 (__TEXT,__text) external ___ulp_D2A
000000018b4d15f8 (__TEXT,__text) non-external ___ultoa
000000018b52c264 (__TEXT,__text) non-external ___ultoa
                 (undefined) external ___umask_extended (from libsystem_kernel)
000000018b528580 (__TEXT,__text) external ___ungetc
000000018b528718 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
000000018b4f1c4c (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
000000018b54b001 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
000000018b53ca14 (__TEXT,__text) non-external (was a private external) ___utmpxname
00000001d71fc5c0 (__DATA,__bss) non-external ___utx__
000000018b54a058 (__TEXT,__const) non-external (was a private external) ___utx_magic__
000000018b4d7044 (__TEXT,__text) non-external (was a private external) ___v2printf
000000018b4d1728 (__TEXT,__text) non-external (was a private external) ___vfprintf
000000018b54ab77 (__TEXT,__const) non-external ___vfprintf.xdigs_lower
000000018b54ab87 (__TEXT,__const) non-external ___vfprintf.xdigs_upper
000000018b5296b0 (__TEXT,__text) non-external (was a private external) ___vfwprintf
000000018b54abdc (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
000000018b54abec (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
000000018b52c818 (__TEXT,__text) non-external (was a private external) ___vfwscanf
000000018b54acd8 (__TEXT,__const) non-external ___vfwscanf.basefix
000000018b5471d8 (__TEXT,__text) external ___vsnprintf_chk
000000018b547018 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
000000018b51f85c (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
000000018b51f5b0 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
000000018b51ebe8 (__TEXT,__text) external ___wcwidth
000000018b51ed14 (__TEXT,__text) external ___wcwidth_l
000000018b4f0550 (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
000000018b4f9200 (__TEXT,__text) non-external (was a private external) ___xlocale_init
000000018b50295c (__TEXT,__text) non-external ___xlocale_release
000000018b4f0984 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
000000018b547404 (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
00000001d71fa8a0 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
000000018b53b984 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
000000018b4f40a0 (__TEXT,__text) non-external (was a private external) ___xvprintf
000000018b536298 (__TEXT,__text) external __allocenvstate
000000018b4f8938 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
000000018b51a824 (__TEXT,__text) non-external (was a private external) __ascii_init
000000018b51a888 (__TEXT,__text) non-external __ascii_mbrtowc
000000018b51a8e4 (__TEXT,__text) non-external __ascii_mbsinit
000000018b51a8ec (__TEXT,__text) non-external __ascii_mbsnrtowcs
000000018b51a9b8 (__TEXT,__text) non-external __ascii_wcrtomb
000000018b51a9f4 (__TEXT,__text) non-external __ascii_wcsnrtombs
000000018b4f8ca4 (__TEXT,__text) non-external __backtrace_snprintf
000000018b4fb79c (__TEXT,__text) non-external __boottime_fallback_usec
00000001d253cbb8 (__DATA_CONST,__const) external __c_locale
000000018b4ea1ec (__TEXT,__text) external __cleanup
000000018b4fff58 (__TEXT,__text) external __closeutx
000000018b53629c (__TEXT,__text) external __copyenv
00000001d9d41188 (__AUTH,__data) external __cthread_init_routine
000000018b536328 (__TEXT,__text) external __deallocenvstate
000000018b536218 (__TEXT,__text) non-external __do_nothing
000000018b4fa680 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_get_image_uuid (from libdyld)
                 (undefined) external __dyld_get_shared_cache_range (from libdyld)
                 (undefined) external __dyld_get_shared_cache_uuid (from libdyld)
                 (undefined) external __dyld_images_for_addresses (from libdyld)
00000001d71fc5e0 (__DATA,__common) non-external (was a private external) __e_err_exit
00000001d71fc5d8 (__DATA,__common) non-external (was a private external) __e_err_file
000000018b5128e4 (__TEXT,__text) non-external (was a private external) __e_visprintf
000000018b53bfa0 (__TEXT,__text) external __endutxent
000000018b548930 (__TEXT,__text) non-external __endutxent.cold.1
000000018b548968 (__TEXT,__text) non-external __endutxent.cold.2
                 (undefined) external __exit (from libsystem_kernel)
000000018b517910 (__TEXT,__text) non-external (was a private external) __filldir
000000018b4f7f84 (__TEXT,__text) non-external (was a private external) __fixtelldir
000000018b523fbc (__TEXT,__text) external __flockfile_debug_stub
000000018b4e9e6c (__TEXT,__text) external __fseeko
000000018b4ea260 (__TEXT,__text) external __ftello
000000018b4f9270 (__TEXT,__text) external __fwalk
                 (undefined) external __get_cpu_capabilities (from libsystem_kernel)
000000018b533990 (__TEXT,__text) external __getenvp
000000018b53c2c0 (__TEXT,__text) external __getutxent
000000018b5489a0 (__TEXT,__text) non-external __getutxent.cold.1
000000018b5489d8 (__TEXT,__text) non-external __getutxent.cold.2
000000018b53c370 (__TEXT,__text) external __getutxid
000000018b548a10 (__TEXT,__text) non-external __getutxid.cold.1
000000018b548a48 (__TEXT,__text) non-external __getutxid.cold.2
000000018b53c574 (__TEXT,__text) external __getutxline
000000018b548a80 (__TEXT,__text) non-external __getutxline.cold.1
000000018b548ab8 (__TEXT,__text) non-external __getutxline.cold.2
000000018b4f4d5c (__TEXT,__text) external __inet_aton_check
000000018b4e85d8 (__TEXT,__text) external __init_clock_port
000000018b53167c (__TEXT,__text) external __int_to_time
000000018b4d4e54 (__TEXT,__text) non-external __isort
000000018b5349d8 (__TEXT,__text) non-external __isort
00000001d95b99a0 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child
00000001d95b9988 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_child_v2
00000001d95b9998 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent
00000001d95b9980 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_parent_v2
00000001d95b9990 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare
00000001d95b9978 (__DATA_DIRTY,__bss) non-external __libSystem_atfork_prepare_v2
000000018b4ec52c (__TEXT,__text) external __libc_fork_child
000000018b4e368c (__TEXT,__text) non-external (was a private external) __libc_fork_init
000000018b4e5144 (__TEXT,__text) external __libc_initializer
000000018b531674 (__TEXT,__text) external __long_to_time
000000018b4e1620 (__TEXT,__text) non-external __mach_boottime_usec
00000001d95b9970 (__DATA_DIRTY,__bss) non-external __mh_execute_header_pointer
000000018b52589c (__TEXT,__text) non-external __mkdtemp_action
000000018b5063a8 (__TEXT,__text) non-external __mkfilex_np
000000018b4e9b28 (__TEXT,__text) non-external __mkostemps_action
000000018b4ded4c (__TEXT,__text) non-external __mkpath
000000018b4dfdb0 (__TEXT,__text) external __mkpath_np
000000018b4e3dc0 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
000000018b5481b4 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
000000018b52591c (__TEXT,__text) external __mktemp
000000018b4f0874 (__TEXT,__text) non-external __mktemp_action
000000018b51ed58 (__TEXT,__text) non-external (was a private external) __none_init
000000018b4fa500 (__TEXT,__text) non-external (was a private external) __none_mbrtowc
000000018b51edbc (__TEXT,__text) non-external (was a private external) __none_mbsinit
000000018b51edc4 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
000000018b4f70c4 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
000000018b51ee60 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
000000018b4ffecc (__TEXT,__text) external __openutx
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
000000018b5474ac (__TEXT,__text) external __os_assert_log
000000018b547664 (__TEXT,__text) external __os_assert_log_ctx
000000018b4f5380 (__TEXT,__text) external __os_assumes_log
000000018b4e9ca4 (__TEXT,__text) external __os_assumes_log_ctx
000000018b4d5650 (__TEXT,__text) external __os_avoid_tail_call
000000018b54743c (__TEXT,__text) external __os_crash
00000001d71fc5d0 (__DATA,__common) external __os_crash_callback
000000018b506b98 (__TEXT,__text) external __os_crash_fmt
000000018b5477e0 (__TEXT,__text) non-external __os_crash_fmt.cold.1
000000018b5472c4 (__TEXT,__text) external __os_debug_log
000000018b4f6b88 (__TEXT,__text) external __os_debug_log_error_offset
000000018b5472b0 (__TEXT,__text) external __os_debug_log_error_str
000000018b4f94cc (__TEXT,__text) non-external __os_debug_log_init
000000018b500070 (__TEXT,__text) non-external __os_debug_log_open_file
000000018b4f6f14 (__TEXT,__text) non-external __os_debug_log_write
000000018b4fffe0 (__TEXT,__text) non-external __os_debug_log_write_error
                 (undefined) external __os_log_pack_fill (from libsystem_trace)
                 (undefined) external __os_log_pack_size (from libsystem_trace)
000000018b4e8374 (__TEXT,__text) non-external __os_log_redirect
                 (undefined) external __os_once (from libsystem_platform)
000000018b4f9414 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
000000018b4e1560 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
000000018b4e50ac (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
00000001db6dbcf8 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
000000018b54cd3d (__TEXT,__cstring) non-external __printf_tbl_flags
000000018b4de5b4 (__TEXT,__text) non-external (was a private external) __program_vars_init
000000018b537bbc (__TEXT,__text) non-external __psort
000000018b5385d0 (__TEXT,__text) non-external __psort
000000018b5391f8 (__TEXT,__text) non-external __psort
000000018b548544 (__TEXT,__text) non-external __psort.cold.1
000000018b548594 (__TEXT,__text) non-external __psort.cold.1
000000018b5485e4 (__TEXT,__text) non-external __psort.cold.1
000000018b537b50 (__TEXT,__text) non-external __psort_parallel
000000018b538564 (__TEXT,__text) non-external __psort_parallel
000000018b539188 (__TEXT,__text) non-external __psort_parallel
000000018b533fdc (__TEXT,__text) external __putenvp
000000018b4fb18c (__TEXT,__text) external __pututxline
000000018b548af0 (__TEXT,__text) non-external __pututxline.cold.1
000000018b548b28 (__TEXT,__text) non-external __pututxline.cold.2
000000018b4febac (__TEXT,__text) non-external __pwuid_r
000000018b4d45a0 (__TEXT,__text) non-external __qsort
000000018b53405c (__TEXT,__text) non-external __qsort
00000001d95b92c8 (__DATA_DIRTY,__data) external __rand48_add
00000001d95b92c0 (__DATA_DIRTY,__data) external __rand48_mult
00000001d95b92b8 (__DATA_DIRTY,__data) external __rand48_seed
000000018b4d95cc (__TEXT,__text) external __readdir_unlocked
000000018b4efe90 (__TEXT,__text) external __reclaim_telldir
000000018b5029cc (__TEXT,__text) non-external __releaselocale
000000018b54af3c (__TEXT,__const) non-external (was a private external) __rp_alist
000000018b5193c4 (__TEXT,__text) external __seekdir
000000018b536384 (__TEXT,__text) external __setenvp
000000018b53bec0 (__TEXT,__text) external __setutxent
000000018b5488c0 (__TEXT,__text) non-external __setutxent.cold.1
000000018b5488f8 (__TEXT,__text) non-external __setutxent.cold.2
000000018b4f6038 (__TEXT,__text) external __sigaction_nobind
00000001d71fc600 (__DATA,__common) external __sigintr
000000018b4f6530 (__TEXT,__text) external __signal_nobind
000000018b4fb340 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
000000018b518ba0 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
000000018b4e43b8 (__TEXT,__text) external __sread
000000018b4e5f40 (__TEXT,__text) external __sseek
000000018b4eeedc (__TEXT,__text) non-external (was a private external) __st_fmt
000000018b504c74 (__TEXT,__text) non-external (was a private external) __st_get_timezone
000000018b4d6b6c (__TEXT,__text) non-external (was a private external) __st_localsub
000000018b4ea254 (__TEXT,__text) non-external (was a private external) __st_set_timezone
000000018b52f134 (__TEXT,__text) non-external (was a private external) __st_time1
000000018b4da9dc (__TEXT,__text) non-external (was a private external) __st_tzset_basic
000000018b53cbf8 (__TEXT,__text) non-external __strfmon
000000018b52f8f0 (__TEXT,__text) non-external __strptime0
000000018b54adcc (__TEXT,__const) non-external __strptime0.start_of_month
000000018b4fb0b4 (__TEXT,__text) external __subsystem_init
000000018b4d8bf8 (__TEXT,__text) external __swrite
000000018b4feaac (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
000000018b4e366c (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
000000018b53165c (__TEXT,__text) external __time32_to_time
000000018b531668 (__TEXT,__text) external __time64_to_time
000000018b531678 (__TEXT,__text) external __time_to_int
000000018b531670 (__TEXT,__text) external __time_to_long
000000018b531664 (__TEXT,__text) external __time_to_time32
000000018b53166c (__TEXT,__text) external __time_to_time64
                 (undefined) external __tlv_exit (from libdyld)
000000018b536414 (__TEXT,__text) external __unsetenvp
000000018b4fac80 (__TEXT,__text) non-external (was a private external) __utmpx32_64
000000018b4ffe60 (__TEXT,__text) non-external (was a private external) __utmpx64_32
000000018b4fee18 (__TEXT,__text) non-external (was a private external) __utmpx_asl
000000018b54b012 (__TEXT,__const) non-external (was a private external) __utmpx_vers
000000018b4ff244 (__TEXT,__text) non-external (was a private external) __utmpx_working_copy
00000001d71fbb30 (__DATA,__bss) non-external __utmpx_working_copy.idzero
000000018b53cad8 (__TEXT,__text) external __utmpxname
000000018b548b60 (__TEXT,__text) non-external __utmpxname.cold.1
000000018b548b98 (__TEXT,__text) non-external __utmpxname.cold.2
000000018b4d6ec0 (__TEXT,__text) non-external (was a private external) __vasprintf
000000018b5288d8 (__TEXT,__text) non-external (was a private external) __vdprintf
000000018b4d142c (__TEXT,__text) non-external (was a private external) __vsnprintf
000000018b4da2bc (__TEXT,__text) non-external __yconv
000000018b533868 (__TEXT,__text) external _a64l
000000018b549c50 (__TEXT,__const) non-external _a64toi
000000018b4f047c (__TEXT,__text) external _abort
000000018b548470 (__TEXT,__text) external _abort_report_np
                 (undefined) external _abort_with_payload (from libsystem_kernel)
000000018b533924 (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
000000018b5034c8 (__TEXT,__text) external _acl_add_flag_np
000000018b503600 (__TEXT,__text) external _acl_add_perm
000000018b502c68 (__TEXT,__text) external _acl_calc_mask
000000018b5034dc (__TEXT,__text) external _acl_clear_flags_np
000000018b50364c (__TEXT,__text) external _acl_clear_perms
000000018b502c8c (__TEXT,__text) external _acl_copy_entry
000000018b4eafac (__TEXT,__text) external _acl_copy_ext
000000018b4ec5d4 (__TEXT,__text) external _acl_copy_ext_native
000000018b503878 (__TEXT,__text) external _acl_copy_int
000000018b503944 (__TEXT,__text) external _acl_copy_int_native
000000018b4f7154 (__TEXT,__text) external _acl_create_entry
000000018b502d0c (__TEXT,__text) external _acl_create_entry_np
000000018b5034a4 (__TEXT,__text) external _acl_delete_def_file
000000018b502df0 (__TEXT,__text) external _acl_delete_entry
000000018b503150 (__TEXT,__text) external _acl_delete_fd_np
000000018b503174 (__TEXT,__text) external _acl_delete_file_np
000000018b5034e8 (__TEXT,__text) external _acl_delete_flag_np
000000018b503198 (__TEXT,__text) external _acl_delete_link_np
000000018b503658 (__TEXT,__text) external _acl_delete_perm
000000018b4f5fbc (__TEXT,__text) external _acl_dup
00000001d253cbc0 (__DATA_CONST,__const) non-external _acl_flags
000000018b4f893c (__TEXT,__text) external _acl_free
000000018b5039f4 (__TEXT,__text) external _acl_from_text
000000018b502eec (__TEXT,__text) external _acl_get_entry
000000018b5031bc (__TEXT,__text) external _acl_get_fd
000000018b5031c4 (__TEXT,__text) external _acl_get_fd_np
000000018b503264 (__TEXT,__text) external _acl_get_file
000000018b50326c (__TEXT,__text) non-external _acl_get_file1
000000018b5034fc (__TEXT,__text) external _acl_get_flag_np
000000018b50350c (__TEXT,__text) external _acl_get_flagset_np
000000018b503328 (__TEXT,__text) external _acl_get_link_np
000000018b5036a4 (__TEXT,__text) external _acl_get_perm_np
000000018b5036e8 (__TEXT,__text) external _acl_get_permset
000000018b5037b4 (__TEXT,__text) external _acl_get_permset_mask_np
000000018b502fa4 (__TEXT,__text) external _acl_get_qualifier
000000018b503024 (__TEXT,__text) external _acl_get_tag_type
000000018b4ec7e0 (__TEXT,__text) external _acl_init
000000018b5037a0 (__TEXT,__text) external _acl_maximal_permset_mask_np
00000001d253cc80 (__DATA_CONST,__const) non-external _acl_perms
000000018b5033a8 (__TEXT,__text) external _acl_set_fd
000000018b503330 (__TEXT,__text) external _acl_set_fd_np
000000018b5033ac (__TEXT,__text) external _acl_set_file
000000018b503584 (__TEXT,__text) external _acl_set_flagset_np
000000018b503424 (__TEXT,__text) external _acl_set_link_np
000000018b503744 (__TEXT,__text) external _acl_set_permset
000000018b503810 (__TEXT,__text) external _acl_set_permset_mask_np
000000018b503080 (__TEXT,__text) external _acl_set_qualifier
000000018b5030ec (__TEXT,__text) external _acl_set_tag_type
000000018b4f97cc (__TEXT,__text) external _acl_size
000000018b504020 (__TEXT,__text) external _acl_to_text
000000018b502bac (__TEXT,__text) external _acl_valid
000000018b502bfc (__TEXT,__text) external _acl_valid_fd_np
000000018b502c20 (__TEXT,__text) external _acl_valid_file_np
000000018b502c44 (__TEXT,__text) external _acl_valid_link
000000018b518aa8 (__TEXT,__text) non-external _addcmd
000000018b52161c (__TEXT,__text) external _addr2ascii
00000001d71fc330 (__DATA,__bss) non-external _addr2ascii.staticbuf
000000018b4f2a68 (__TEXT,__text) non-external _advance_directory
000000018b547298 (__TEXT,__text) non-external _advance_directory.cold.1
000000018b4f1f94 (__TEXT,__text) external _alarm
000000018b50b2bc (__TEXT,__text) non-external _alloc_segs
000000018b4f1774 (__TEXT,__text) external _alphasort
000000018b54ae8c (__TEXT,__const) non-external _ambig
000000018b4d52b0 (__TEXT,__text) non-external _arc4_init
000000018b4d8174 (__TEXT,__text) external _arc4random
000000018b5125fc (__TEXT,__text) external _arc4random_addrandom
000000018b4d6b18 (__TEXT,__text) external _arc4random_buf
000000018b512600 (__TEXT,__text) external _arc4random_stir
000000018b4df8c8 (__TEXT,__text) external _arc4random_uniform
000000018b4e5430 (__TEXT,__text) non-external _arrayget
000000018b5216e4 (__TEXT,__text) external _ascii2addr
000000018b4d8e90 (__TEXT,__text) external _asctime
000000018b4f76fc (__TEXT,__text) external _asctime_r
000000018b54ad0f (__TEXT,__const) non-external _asctime_r.mon_name
000000018b54acfa (__TEXT,__const) non-external _asctime_r.wday_name
                 (undefined) external _asl_append (from libsystem_asl)
                 (undefined) external _asl_get (from libsystem_asl)
                 (undefined) external _asl_match (from libsystem_asl)
                 (undefined) external _asl_new (from libsystem_asl)
                 (undefined) external _asl_next (from libsystem_asl)
                 (undefined) external _asl_open (from libsystem_asl)
                 (undefined) external _asl_release (from libsystem_asl)
                 (undefined) external _asl_send (from libsystem_asl)
                 (undefined) external _asl_set (from libsystem_asl)
                 (undefined) external _asl_set_query (from libsystem_asl)
000000018b4d9384 (__TEXT,__text) external _asprintf
000000018b524008 (__TEXT,__text) external _asprintf_l
000000018b504c80 (__TEXT,__text) external _asxprintf
000000018b5054a8 (__TEXT,__text) external _asxprintf_exec
000000018b4e9c2c (__TEXT,__text) external _atexit
000000018b4f3280 (__TEXT,__text) external _atexit_b
00000001d95b98f0 (__DATA_DIRTY,__data) non-external _atexit_mutex
000000018b4df7bc (__TEXT,__text) non-external _atexit_register
000000018b5484c4 (__TEXT,__text) non-external _atexit_register.cold.1
000000018b4fb268 (__TEXT,__text) external _atof
000000018b4f3870 (__TEXT,__text) external _atof_l
000000018b4f0108 (__TEXT,__text) external _atoi
000000018b533930 (__TEXT,__text) external _atoi_l
000000018b4f1788 (__TEXT,__text) external _atol
000000018b533954 (__TEXT,__text) external _atol_l
000000018b4e9e40 (__TEXT,__text) external _atoll
000000018b533964 (__TEXT,__text) external _atoll_l
000000018b4e103c (__TEXT,__text) external _backtrace
000000018b4fbb74 (__TEXT,__text) external _backtrace_async
000000018b4fbbe0 (__TEXT,__text) external _backtrace_from_fp
000000018b4efdc8 (__TEXT,__text) external _backtrace_image_offsets
000000018b4f7df8 (__TEXT,__text) external _backtrace_symbols
000000018b4fbc48 (__TEXT,__text) external _backtrace_symbols_fd
000000018b4e37f4 (__TEXT,__text) external _basename
00000001d71fc1b0 (__DATA,__bss) non-external _basename.bname
000000018b4e1420 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
000000018b5012ec (__TEXT,__text) external _bcopy
000000018b54ab97 (__TEXT,__const) non-external _blanks
000000018b54ac58 (__TEXT,__const) non-external _blanks
00000001d71fac5c (__DATA,__data) non-external _blanks
                 (undefined) external _bootstrap_parent (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
