000000019124bb84 (__TEXT,__text) non-external +[CalAlarm alarm]
00000001d2248360 (__DATA_CONST,__const) external _CalGroupACAccountIDKey
00000001d2248358 (__DATA_CONST,__const) external _CalGroupExchangeAutodiscoverURLKey
00000001d2248350 (__DATA_CONST,__const) external _CalGroupExchangeRootFolderIDKey
00000001d2248348 (__DATA_CONST,__const) external _CalGroupIsDelegateKey
00000001d2248338 (__DATA_CONST,__const) external _CalGroupIsEnabledForCalendarKey
00000001d2248340 (__DATA_CONST,__const) external _CalGroupIsEnabledForRemindersKey
00000001d2248370 (__DATA_CONST,__const) external _CalGroupIsManuallyConfigured
00000001d2248380 (__DATA_CONST,__const) external _CalGroupIsMarkedForDeletionKey
00000001d2248388 (__DATA_CONST,__const) external _CalGroupPasswordKey
00000001d2248378 (__DATA_CONST,__const) external _CalGroupPrincipalURLKey
00000001d2248310 (__DATA_CONST,__const) external _CalGroupTypeCalDAV
00000001d2248330 (__DATA_CONST,__const) external _CalGroupTypeExchange
00000001d2248318 (__DATA_CONST,__const) external _CalGroupTypeIMAP
00000001d2248320 (__DATA_CONST,__const) external _CalGroupTypeLocal
00000001d2248328 (__DATA_CONST,__const) external _CalGroupTypeSubscription
00000001d2248368 (__DATA_CONST,__const) external _CalGroupUseKerberosKey
00000001d22483c0 (__DATA_CONST,__const) external _CalInsertedRecordsKey
00000001d22483d8 (__DATA_CONST,__const) external _CalSenderProcessIDKey
00000001d2248460 (__DATA_CONST,__const) external _CalStoreAPI_NS_Log
                 (undefined) external _CalStoreLogActual (from CalendarAgentLink)
                 (undefined) external _CalStoreLogCurrentLevel (from CalendarAgentLink)
00000001d22483b8 (__DATA_CONST,__const) external _CalTasksChangedExternallyNotification
00000001d22483a0 (__DATA_CONST,__const) external _CalTasksChangedNotification
00000001d22483c8 (__DATA_CONST,__const) external _CalUpdatedRecordsKey
00000001d22483e0 (__DATA_CONST,__const) external _CalUserUIDKey
                 (undefined) external _NSInvalidArgumentException (from CoreFoundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSLocalizedRecoverySuggestionErrorKey (from Foundation)
                 (undefined) external _OBJC_CLASS_$_CalAgentLink (from CalendarAgentLink)
00000001d92ebe40 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAlarm
00000001d92ebcb0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalAttendee
00000001d92ebdf0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendar
00000001d92ec020 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItem
00000001d92ebfd0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarItemPredicate
00000001d92ebdc8 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalCalendarStore
00000001d92ebe90 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEvent
00000001d92ebc60 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalEventPredicate
00000001d92ebd00 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalGroup
00000001d92ebf30 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalNthWeekDay
00000001d92ebc10 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalPredicate
00000001d92ebf80 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceEnd
00000001d92ebee0 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalRecurrenceRule
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteCALDailyRecurrence (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteCALMonthlyRecurrence (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteCALWeeklyRecurrence (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteCALYearlyRecurrence (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteCoreRecurrenceRule (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedAlarm (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedAttachment (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedAttendee (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedCalDAVAccount (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedCalDAVCalendar (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedCalDAVPrincipal (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedCalendar (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedEvent (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedExchangeAccount (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedExchangePrincipal (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedGroup (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedPrincipal (from CalendarAgentLink)
                 (undefined) external _OBJC_CLASS_$_CalStoreRemoteManagedTask (from CalendarAgentLink)
00000001d92ec070 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTask
00000001d92ebd78 (__AUTH,__objc_data) external _OBJC_CLASS_$_CalTaskPredicate
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSAssertionHandler (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSBundle (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSCalendarDate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSColor (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSColorSpace (from AppKit)
                 (undefined) external _OBJC_CLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDateFormatter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSException (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSPredicate (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSScanner (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTimeZone (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
00000001d6a77c0c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._absoluteTrigger
00000001d6a77bf8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._action
00000001d6a77c00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._emailAddress
00000001d6a77bf0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._objectID
00000001d6a77c08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._relativeTrigger
00000001d6a77bf4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._reserved
00000001d6a77bfc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._sound
00000001d6a77c04 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAlarm._url
00000001d6a77b98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._address
00000001d6a77b9c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._commonName
00000001d6a77b90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._objectID
00000001d6a77b94 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._reserved
00000001d6a77ba0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalAttendee._status
00000001d6a77bd8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._color
00000001d6a77bd0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._group
00000001d6a77bec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._isEditable
00000001d6a77bdc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._notes
00000001d6a77bcc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._objectID
00000001d6a77bd4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._reserved
00000001d6a77be0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._title
00000001d6a77be4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._type
00000001d6a77be8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendar._uid
00000001d6a77c8c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._alarms
00000001d6a77c74 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._calendar
00000001d6a77c88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._dateStamp
00000001d6a77c78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._notes
00000001d6a77c6c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._objectID
00000001d6a77c70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._reserved
00000001d6a77c80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._title
00000001d6a77c84 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._uid
00000001d6a77c7c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItem._url
00000001d6a77c68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalCalendarItemPredicate._calendars
00000001d6a77bc8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalCalendarStore._reserved
00000001d6a77c18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._attendees
00000001d6a77c20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._endDate
00000001d6a77c28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._isAllDay
00000001d6a77c2c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._isDetached
00000001d6a77c1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._location
00000001d6a77c10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._occurrence
00000001d6a77c24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._recurrenceRule
00000001d6a77c14 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalEvent._startDate
00000001d6a77b88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalEventPredicate._endDate
00000001d6a77b84 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalEventPredicate._startDate
00000001d6a77b8c (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalEventPredicate._uid
00000001d6a77bc0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._emailAddress
00000001d6a77bbc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._externalServerURL
00000001d6a77bc4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._fullName
00000001d6a77ba4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._managedObjectIDString
00000001d6a77ba8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._reserved
00000001d6a77bb8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._serverURL
00000001d6a77bac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._title
00000001d6a77bb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._type
00000001d6a77bb4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalGroup._uid
00000001d6a77c58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._dayOfTheWeek
00000001d6a77c5c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalNthWeekDay._weekNumber
00000001d6a77b80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_CalPredicate._subpredicate
00000001d6a77c60 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._endDate
00000001d6a77c64 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceEnd._occurrenceCount
00000001d6a77c40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._daysOfTheMonth
00000001d6a77c44 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._daysOfTheWeek
00000001d6a77c48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._firstDayOfTheWeek
00000001d6a77c38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._monthsOfTheYear
00000001d6a77c3c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._nthWeekDaysOfTheMonth
00000001d6a77c30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._objectID
00000001d6a77c54 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._recurrenceEnd
00000001d6a77c4c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._recurrenceInterval
00000001d6a77c50 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._recurrenceType
00000001d6a77c34 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalRecurrenceRule._reserved
00000001d6a77c90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._completedDate
00000001d6a77c94 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._dueDate
00000001d6a77c98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_CalTask._priority
00000001d92ebe68 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAlarm
00000001d92ebcd8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalAttendee
00000001d92ebe18 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendar
00000001d92ec048 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItem
00000001d92ebff8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarItemPredicate
00000001d92ebda0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00000001d92ebeb8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEvent
00000001d92ebc88 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalEventPredicate
00000001d92ebd28 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalGroup
00000001d92ebf58 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00000001d92ebc38 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00000001d92ebfa8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00000001d92ebf08 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
00000001d92ec098 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalTask
00000001d92ebd50 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalTaskPredicate
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _TCCAccessPreflight (from TCC)
                 (undefined) external _TCCAccessRequest (from TCC)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSMethodExceptionProem (from Foundation)
00000001daedcae8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_CalStoreRemoteCALDailyRecurrence_$_LegacyTranslation
00000001daedcb68 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_CalStoreRemoteCALMonthlyRecurrence_$_LegacyTranslation
00000001daedcb28 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_CalStoreRemoteCALWeeklyRecurrence_$_LegacyTranslation
00000001daedcba8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_CalStoreRemoteCALYearlyRecurrence_$_LegacyTranslation
00000001daedcc28 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_CalStoreRemoteManagedEvent_$_CalStoreUtils
00000001daedcbe8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSDate_$_CalStoreUtils
0000000191258788 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalAlarm
0000000191258630 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendar
0000000191258458 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarStore
00000001912588d8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalEvent
0000000191258090 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalEventPredicate
00000001912581a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalGroup
0000000191258c50 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalNthWeekDay
0000000191258d08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceEnd
0000000191258a90 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceRule
0000000191258f60 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalTask
0000000191258440 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalTaskPredicate
0000000191258cd0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSDate(CalStoreUtils)
00000001912587a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAlarm
0000000191258128 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAttendee
0000000191258668 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendar
0000000191258df8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarItem
0000000191258da8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarItemPredicate
0000000191258520 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarStore
0000000191258908 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalEvent
00000001912580b0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalEventPredicate
00000001912581e8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalGroup
0000000191258c68 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalNthWeekDay
0000000191258048 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalPredicate
0000000191258d28 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceEnd
0000000191258ac8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceRule
0000000191258bf0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalStoreRemoteCALDailyRecurrence(LegacyTranslation)
0000000191258c08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalStoreRemoteCALMonthlyRecurrence(LegacyTranslation)
0000000191258c20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalStoreRemoteCALWeeklyRecurrence(LegacyTranslation)
0000000191258c38 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalStoreRemoteCALYearlyRecurrence(LegacyTranslation)
0000000191258de0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalStoreRemoteManagedEvent(CalStoreUtils)
0000000191258f80 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalTask
0000000191258ce8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSDate(CalStoreUtils)
00000001d2248bd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAlarm
00000001d22485f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAttendee
00000001d22489d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendar
00000001d22492b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarItem
00000001d2249250 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarItemPredicate
00000001d2248968 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarStore
00000001d2248d40 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalEvent
00000001d2248550 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalEventPredicate
00000001d2248718 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalGroup
00000001d2249120 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalNthWeekDay
00000001d2248528 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalPredicate
00000001d22491d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceEnd
00000001d2248f10 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceRule
00000001d2249468 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalTask
00000001d2248cd8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAlarm
00000001d22486a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAttendee
00000001d2248af8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendar
00000001d22493e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarItem
00000001d2248e48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalEvent
00000001d2248840 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalGroup
00000001d2249168 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalNthWeekDay
00000001d2249218 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceEnd
00000001d2249058 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceRule
00000001d22494d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalTask
00000001d22488e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_CalendarAgentClient
00000001d22485b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d22486d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d2248990 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d2248b90 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d2248ed0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d22490e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d2249190 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d2249278 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d2248938 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_CalendarAgentClient
00000001d22485d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d22486f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d22489b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d2248bb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d2248ef0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d2249100 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d22491b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d2249298 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001d2248bb8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAlarm
00000001d22485e0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAttendee
00000001d22489b8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendar
00000001d22492a0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendarItem
00000001d2248950 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendarStore
00000001d2248700 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalGroup
00000001d2249108 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalNthWeekDay
00000001d22491b8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceEnd
00000001d2248ef8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceRule
00000001daede590 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalAlarm
