                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
00007ff81069e1a0 (__TEXT,__text) external __cg_jcopy_block_row
00007ff8106c0470 (__TEXT,__const) non-external _start_pass.aanscalefactor
00007ff8106c03f0 (__TEXT,__const) non-external _start_pass.aanscales
00007ff8106be33d (__TEXT,__text) non-external _start_pass_1_quant
00007ff810694ebe (__TEXT,__text) non-external _start_pass_2_quant
00007ff81069d55b (__TEXT,__text) non-external _start_pass_coef
00007ff8106b9e85 (__TEXT,__text) non-external _start_pass_coef
00007ff81069cdb0 (__TEXT,__text) non-external _start_pass_dcolor
00007ff8106b62e1 (__TEXT,__text) non-external _start_pass_downsample
00007ff8106ac12a (__TEXT,__text) non-external _start_pass_dpost
00007ff81069c000 (__TEXT,__text) non-external _start_pass_fdctmgr
00007ff8106c0870 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscalefactor
00007ff8106c07f0 (__TEXT,__const) non-external _start_pass_fdctmgr.aanscales
00007ff8106bb523 (__TEXT,__text) non-external _start_pass_huff
00007ff8106b7654 (__TEXT,__text) non-external _start_pass_huff_decoder
00007ff81069e264 (__TEXT,__text) non-external _start_pass_main
00007ff8106ab638 (__TEXT,__text) non-external _start_pass_main
00007ff8106b708f (__TEXT,__text) non-external _start_pass_merged_upsample
00007ff81069e5c3 (__TEXT,__text) non-external _start_pass_prep
00007ff8106abd00 (__TEXT,__text) non-external _start_pass_upsample
00007ff8106c1010 (__TEXT,__const) non-external _std_chrominance_quant_tbl
00007ff8106c0f10 (__TEXT,__const) non-external _std_luminance_quant_tbl
                 (undefined) external _strlen (from libSystem)
00007ff8106bef8b (__TEXT,__text) non-external _term_destination
00007ff8106bf1ac (__TEXT,__text) non-external _term_mem_destination
00007ff81069a63b (__TEXT,__text) non-external _term_source
                 (undefined) external _unlink (from libSystem)
00007ff810695955 (__TEXT,__text) non-external _update_box
00007ff8106aae5b (__TEXT,__text) non-external _use_merged_upsample
00007ff81069a438 (__TEXT,__text) non-external _write_backing_store
00007ff8106ba2b2 (__TEXT,__text) non-external _write_file_header
00007ff8106bab2c (__TEXT,__text) non-external _write_file_trailer
00007ff8106ba4e3 (__TEXT,__text) non-external _write_frame_header
00007ff8106bac68 (__TEXT,__text) non-external _write_marker_byte
00007ff8106babf8 (__TEXT,__text) non-external _write_marker_header
00007ff8106ba7cc (__TEXT,__text) non-external _write_scan_header
00007ff8106bab52 (__TEXT,__text) non-external _write_tables_only
00007ff81069cf6f (__TEXT,__text) non-external _ycc_rgb_convert
00007ff81069d24d (__TEXT,__text) non-external _ycck_cmyk_convert
