0000000227a30008 (__TEXT,__text) non-external _DiToMD5
0000000227a14eb8 (__TEXT,__text) external __ZN12IOUserServer15LoadModule_ImplEPKc
0000000227a3f104 (__TEXT,__text) external __ZN12IOUserServer17LoadModule_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
0000000227a3f4f4 (__TEXT,__text) external __ZN12IOUserServer4ExitEPKcPFiP15OSMetaClassBase5IORPCE
0000000227a14db0 (__TEXT,__text) external __ZN12IOUserServer4freeEv
0000000227a14da0 (__TEXT,__text) external __ZN12IOUserServer4initEv
0000000227a3f3b0 (__TEXT,__text) external __ZN12IOUserServer5PanicEPKcPFiP15OSMetaClassBase5IORPCE
0000000227a3f224 (__TEXT,__text) external __ZN12IOUserServer6CreateEPKcyyP8OSStringPPS_
0000000227a3ef1c (__TEXT,__text) external __ZN12IOUserServer8DispatchE5IORPC
0000000227a14e90 (__TEXT,__text) external __ZN12IOUserServer9Exit_ImplEPKc
0000000227a3ef50 (__TEXT,__text) external __ZN12IOUserServer9_DispatchEPS_5IORPC
0000000227a207c8 (__TEXT,__text) external __ZN12OSDictionary11withObjectsEPPK8OSObjectS3_jj
0000000227a20994 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPK8OSObject
0000000227a209a0 (__TEXT,__text) external __ZN12OSDictionary12removeObjectEPKc
0000000227a207c4 (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
0000000227a20640 (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
0000000227a20874 (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
0000000227a20650 (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
0000000227a20754 (__TEXT,__text) external __ZN12OSDictionary4freeEv
0000000227a208d4 (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
0000000227a20868 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
0000000227a20984 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
0000000227a19fb4 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
0000000227a1a32c (__TEXT,__text) external __ZN12OSMappedFile4freeEv
0000000227a1a2ac (__TEXT,__text) external __ZN12OSMappedFile4initEv
0000000227a21c58 (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
0000000227a218d4 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
0000000227a21b20 (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
0000000227a21b84 (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
0000000227a2199c (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
0000000227a21990 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
0000000227a21a0c (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
0000000227a1a668 (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
0000000227a1a4ac (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
0000000227a1a7a0 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
0000000227a1a87c (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
0000000227a4381c (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
0000000227a1a96c (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
0000000227a43848 (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
0000000227a1a540 (__TEXT,__text) external __ZN13IOCommandPool4freeEv
0000000227a1a49c (__TEXT,__text) external __ZN13IOCommandPool4initEv
0000000227a1a5c4 (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
0000000227a2faa4 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
0000000227a2fa18 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
0000000227a2f8f4 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
0000000227a2f864 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
0000000227a2f5dc (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
0000000227a2f8e8 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
0000000227a41230 (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
0000000227a336d4 (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
0000000227a12fbc (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
0000000227a338ec (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
0000000227a153ec (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
0000000227a15660 (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
0000000227a33854 (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
0000000227a12e6c (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
0000000227a15b70 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
0000000227a1580c (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
0000000227a43294 (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
0000000227a15bc4 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
0000000227a43370 (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
0000000227a4339c (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
0000000227a15588 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
0000000227a155d8 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
0000000227a43268 (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
0000000227a15398 (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
0000000227a150fc (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
0000000227a14f1c (__TEXT,__text) external __ZN15IODispatchQueue4initEv
0000000227a15bc0 (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
0000000227a14f9c (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
0000000227a14988 (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
0000000227a43010 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
0000000227a43038 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
0000000227a43060 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
0000000227a43088 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
0000000227a430b4 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
0000000227a430e0 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
0000000227a4310c (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
0000000227a43138 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
0000000227a15c78 (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
0000000227a12d60 (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
0000000227a12d6c (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
0000000227a335ec (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
0000000227a334f4 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
0000000227a15c80 (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
0000000227a33544 (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
0000000227a2ee4c (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
0000000227a2e934 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
0000000227a2e9dc (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
0000000227a2efd0 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
0000000227a2f048 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
0000000227a2e9e0 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
0000000227a449d8 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
0000000227a2f244 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
0000000227a2f370 (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
0000000227a2eb94 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
0000000227a449f0 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
0000000227a2f37c (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
0000000227a2f388 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
0000000227a2e144 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
0000000227a2e1f4 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
0000000227a2ed54 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
0000000227a2ee48 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
0000000227a4093c (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
0000000227a11554 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
0000000227a11dd0 (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
0000000227a12090 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
0000000227a423c8 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
0000000227a423f4 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
0000000227a11fdc (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
0000000227a42378 (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
0000000227a127b0 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
0000000227a4263c (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
0000000227a42668 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
0000000227a42694 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
0000000227a426bc (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
0000000227a426e4 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
0000000227a42710 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
0000000227a12258 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
0000000227a424e4 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
0000000227a42510 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
0000000227a4253c (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
0000000227a42568 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
0000000227a1154c (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
0000000227a11584 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
0000000227a1d81c (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
0000000227a22434 (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
0000000227a44304 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
0000000227a223e8 (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
0000000227a442dc (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
0000000227a223e0 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
0000000227a223e4 (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
0000000227a22468 (__TEXT,__text) external __ZN15OSSerialization4freeEv
0000000227a33e0c (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
0000000227a34084 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
0000000227a15e2c (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
0000000227a33b08 (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
0000000227a341bc (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
0000000227a33cfc (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
0000000227a3411c (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
0000000227a15e20 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
0000000227a15e10 (__TEXT,__text) external __ZN16IODispatchSource4initEv
0000000227a33bf4 (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
0000000227a33a34 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
0000000227a33f78 (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
0000000227a33a68 (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
0000000227a2cd9c (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
0000000227a4471c (__TEXT,__text) non-external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey.cold.1
0000000227a2c3e8 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
0000000227a2cc68 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
0000000227a2c418 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
0000000227a2d234 (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
0000000227a2d124 (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
0000000227a4473c (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
0000000227a2d0a0 (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
0000000227a44720 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
0000000227a2d170 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
0000000227a44758 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
0000000227a2d2a0 (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
0000000227a2c7d8 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
0000000227a44644 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
0000000227a44660 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
0000000227a4468c (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
0000000227a446b0 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
0000000227a446dc (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
0000000227a2c4a8 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
0000000227a44510 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
0000000227a4452c (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
0000000227a44544 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
0000000227a2cbc0 (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
0000000227a2c9c0 (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
0000000227a2c3b8 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
0000000227a2d168 (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
0000000227a2cae0 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
0000000227a44700 (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
0000000227a2d1c8 (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
0000000227a2c668 (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
0000000227a4456c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
0000000227a44588 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
0000000227a445a4 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
0000000227a445d0 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
0000000227a445f4 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
0000000227a44620 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
0000000227a2c424 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
0000000227a2c8a0 (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
0000000227a2c050 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
0000000227a2bf44 (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
0000000227a2c190 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
0000000227a2c18c (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
0000000227a2c0b8 (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
0000000227a4446c (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
0000000227a44498 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
0000000227a444bc (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
0000000227a444e8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
0000000227a2d5f4 (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
0000000227a2d3d4 (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
0000000227a2d6e0 (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
0000000227a2d480 (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
0000000227a2d510 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
0000000227a4074c (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
0000000227a41de0 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
0000000227a40058 (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
0000000227a40204 (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
0000000227a4083c (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
0000000227a40a94 (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
0000000227a40afc (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
0000000227a40be4 (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
0000000227a412b8 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
0000000227a317d0 (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
0000000227a36524 (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
0000000227a36648 (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
0000000227a36a28 (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
0000000227a36ac0 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
0000000227a36798 (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
0000000227a368b4 (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
0000000227a36b78 (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
0000000227a36c5c (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
0000000227a170c8 (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
0000000227a4351c (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
0000000227a1892c (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
0000000227a188ac (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
0000000227a3642c (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
0000000227a189b0 (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
0000000227a436a4 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
0000000227a3647c (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
0000000227a372c4 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
0000000227a37da8 (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
0000000227a407d4 (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
0000000227a2e0ec (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
0000000227a2dfb4 (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
0000000227a2df04 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
0000000227a2d7c0 (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
0000000227a2d8b8 (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
0000000227a370bc (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
0000000227a342a8 (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
0000000227a34458 (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
0000000227a34f80 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10AppendDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
0000000227a34e68 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10InsertDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
0000000227a351dc (__TEXT,__text) external __ZN20IOExtensiblePaniclog10SetUsedLenEjPFiP15OSMetaClassBase5IORPCE
0000000227a1bea0 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11ClaimBufferEPyS0_
0000000227a34d5c (__TEXT,__text) external __ZN20IOExtensiblePaniclog11SetInactiveEPFiP15OSMetaClassBase5IORPCE
0000000227a1bfb8 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11YieldBufferEj
0000000227a352e8 (__TEXT,__text) external __ZN20IOExtensiblePaniclog13Create_InvokeE5IORPCPFiP6OSDataP8OSStringjjPPS_E
0000000227a353ec (__TEXT,__text) external __ZN20IOExtensiblePaniclog16SetActive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
0000000227a355e8 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17AppendData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
0000000227a3550c (__TEXT,__text) external __ZN20IOExtensiblePaniclog17InsertData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
0000000227a3576c (__TEXT,__text) external __ZN20IOExtensiblePaniclog17SetUsedLen_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
0000000227a3547c (__TEXT,__text) external __ZN20IOExtensiblePaniclog18SetInactive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
0000000227a35098 (__TEXT,__text) external __ZN20IOExtensiblePaniclog20CopyMemoryDescriptorEPP24IOBufferMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
0000000227a356c4 (__TEXT,__text) external __ZN20IOExtensiblePaniclog27CopyMemoryDescriptor_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP24IOBufferMemoryDescriptorE
0000000227a1be20 (__TEXT,__text) external __ZN20IOExtensiblePaniclog4freeEv
0000000227a1bd98 (__TEXT,__text) external __ZN20IOExtensiblePaniclog4initEv
0000000227a34afc (__TEXT,__text) external __ZN20IOExtensiblePaniclog6CreateEP6OSDataP8OSStringjjPPS_
0000000227a34a04 (__TEXT,__text) external __ZN20IOExtensiblePaniclog8DispatchE5IORPC
0000000227a34c50 (__TEXT,__text) external __ZN20IOExtensiblePaniclog9SetActiveEPFiP15OSMetaClassBase5IORPCE
0000000227a34a54 (__TEXT,__text) external __ZN20IOExtensiblePaniclog9_DispatchEPS_5IORPC
0000000227a36d9c (__TEXT,__text) external __ZN20IOMemoryMapMetaClass3NewEP8OSObject
0000000227a36e84 (__TEXT,__text) external __ZN20IOMemoryMapMetaClass8DispatchE5IORPC
0000000227a3f960 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass3NewEP8OSObject
0000000227a3fb10 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass8DispatchE5IORPC
0000000227a408d4 (__TEXT,__text) external __ZN20OSContainerMetaClass3NewEP8OSObject
0000000227a318c0 (__TEXT,__text) external __ZN21IODMACommandMetaClass3NewEP8OSObject
0000000227a319a8 (__TEXT,__text) external __ZN21IODMACommandMetaClass8DispatchE5IORPC
0000000227a2f250 (__TEXT,__text) external __ZN21IOStateReporter_IVars14_getStateValueEyy29IOStateReporter_valueSelector
0000000227a2e834 (__TEXT,__text) external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_
0000000227a449bc (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_.cold.1
0000000227a2eec4 (__TEXT,__text) external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy
