00007ffd415285a8 (__DATA,__bss) non-external _A
00007ffd000eded7 (__TEXT,__text) external _cmark_strbuf_trim
00007ffd000ede28 (__TEXT,__text) external _cmark_strbuf_truncate
00007ffd000edfc3 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffd000e0392 (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffd000f9273 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffd000e02f8 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffd000e048d (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffd000e033d (__TEXT,__text) external _cmark_syntax_extension_new
00007ffd000e040f (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffd000e04b1 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffd000e0423 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffd000e0419 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffd000e03c7 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffd000e0405 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffd000e0465 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffd000e0458 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffd000e03f1 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffd000e0437 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffd000e044b (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffd000e03de (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffd000e03e7 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffd000e0497 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffd000e04a4 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffd000e03d4 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffd000e042d (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffd000e0472 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffd000e047f (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffd000e03fb (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffd000e0441 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffd000ed734 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffd000d5299 (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffd000d4e50 (__TEXT,__text) external _cmark_utf8proc_check
00007ffd000d5194 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffd000f9197 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffd000dcd7a (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffd000dcd20 (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffd000d5053 (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffd000de5c3 (__TEXT,__text) external _cmark_version
00007ffd000de5ce (__TEXT,__text) external _cmark_version_string
00007ffd000dfb31 (__TEXT,__text) non-external _commonmark_render
00007ffd000e25a9 (__TEXT,__text) non-external _commonmark_render
00007ffd000f79d6 (__TEXT,__text) non-external _commonmark_render
00007ffd000f9c27 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffd000f79c1 (__TEXT,__text) non-external _contains_inlines
00007ffd000ed786 (__TEXT,__text) non-external _core_extensions_registration
00007ffd000e04be (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffd000e2486 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffd000f6e88 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffd000f9057 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffd000df973 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffd41528418 (__DATA,__bss) non-external _enable_safety_checks
00007ffd000f9ed0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffd000f8654 (__TEXT,__text) non-external _escape
00007ffd41528390 (__DATA,__bss) non-external _extensions_lock
00007ffd41528210 (__DATA,__data) non-external _extensions_once
00007ffd000f9085 (__TEXT,__text) non-external _filter
00007ffd000f01a1 (__TEXT,__text) non-external _finalize
00007ffd000f94e7 (__TEXT,__text) non-external _finalize.cold.1
00007ffd000f950a (__TEXT,__text) non-external _finalize.cold.2
00007ffd000ed6f8 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffd000f0b2f (__TEXT,__text) non-external _free_node_as
00007ffd000f8c92 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffd000e37f7 (__TEXT,__text) non-external _get_link_type
00007ffd000dfa6c (__TEXT,__text) non-external _get_type_string
00007ffd000e2568 (__TEXT,__text) non-external _get_type_string
00007ffd000f78f9 (__TEXT,__text) non-external _get_type_string
00007ffd000f6418 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffd000fcab0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffd000de5ae (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffd000de4d0 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffd000f6513 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffd000f677f (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffd000f686f (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffd000dfba1 (__TEXT,__text) non-external _html_render
00007ffd000e264e (__TEXT,__text) non-external _html_render
00007ffd000f7fdf (__TEXT,__text) non-external _html_render
00007ffd000f9c90 (__TEXT,__text) non-external _html_render.cold.1
00007ffd000f8cf9 (__TEXT,__text) non-external _html_table_add_align
00007ffd000f900e (__TEXT,__text) non-external _init_arena
00007ffd000f8ffb (__TEXT,__text) non-external _initialize_arena
00007ffd000e15cc (__TEXT,__text) non-external _initialize_extensions
00007ffd000f1f0f (__TEXT,__text) non-external _initialize_nextflag
00007ffd000f1efc (__TEXT,__text) non-external _initialize_safety
00007ffd000e27d4 (__TEXT,__text) non-external _insert
00007ffd000e1343 (__TEXT,__text) non-external _is_valid_hostchar
00007ffd000e25ca (__TEXT,__text) non-external _latex_render
00007ffd000f7bfc (__TEXT,__text) non-external _latex_render
00007ffd000f9c4a (__TEXT,__text) non-external _latex_render.cold.1
00007ffd000f5113 (__TEXT,__text) non-external _link_label
00007ffd000f9990 (__TEXT,__text) non-external _link_label.cold.1
00007ffd000f99b3 (__TEXT,__text) non-external _link_label.cold.2
00007ffd000f99d6 (__TEXT,__text) non-external _link_label.cold.3
00007ffd000f99f9 (__TEXT,__text) non-external _link_label.cold.4
00007ffd000f9a1c (__TEXT,__text) non-external _link_label.cold.5
00007ffd000f5bdd (__TEXT,__text) non-external _make_autolink
00007ffd000f9be1 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ffd000e25f9 (__TEXT,__text) non-external _man_render
00007ffd000f7e72 (__TEXT,__text) non-external _man_render
00007ffd000f9c6d (__TEXT,__text) non-external _man_render.cold.1
00007ffd000f53b9 (__TEXT,__text) non-external _manual_scan_link_url
00007ffd000e052c (__TEXT,__text) non-external _match
00007ffd000e2691 (__TEXT,__text) non-external _match
00007ffd000dfa08 (__TEXT,__text) non-external _matches
00007ffd000f6faa (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd41528420 (__DATA,__bss) non-external _nextflag_lock
00007ffd41528240 (__DATA,__data) non-external _nextflag_once
00007ffd000ed7eb (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffd000f9341 (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffd000f85b5 (__TEXT,__text) non-external _opaque_alloc
00007ffd000f8601 (__TEXT,__text) non-external _opaque_free
00007ffd000dfa79 (__TEXT,__text) non-external _open_tasklist_item
00007ffd000dd53b (__TEXT,__text) non-external _outc
00007ffd000e2dea (__TEXT,__text) non-external _outc
00007ffd000f6903 (__TEXT,__text) non-external _outc
00007ffd000e2670 (__TEXT,__text) non-external _plaintext_render
00007ffd000e09ce (__TEXT,__text) non-external _postprocess
00007ffd000f9294 (__TEXT,__text) non-external _postprocess.cold.1
00007ffd000f92b7 (__TEXT,__text) non-external _postprocess.cold.2
00007ffd000f4820 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffd000f5af9 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
00007ffd000eda41 (__TEXT,__text) non-external _refcmp
00007ffd000ee1b4 (__TEXT,__text) non-external _reference_free
00007ffd000ed9bc (__TEXT,__text) non-external _refsearch
00007ffd000ed775 (__TEXT,__text) non-external _register_plugins
00007ffd41528220 (__DATA,__data) non-external _registered_once
00007ffd000f9ee0 (__TEXT,__const) non-external _reltable.houdini_escape_html0
00007ffd000f4dcd (__TEXT,__text) non-external _remove_delimiter
00007ffd000f9878 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffd000f0554 (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffd000f8859 (__TEXT,__text) non-external _row_from_string
00007ffd415283d8 (__DATA,__bss) non-external _safety_lock
00007ffd41528230 (__DATA,__data) non-external _safety_once
00007ffd40073dd0 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffd000f06b7 (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffd000f52dc (__TEXT,__text) non-external _spnl
00007ffd000f9a3d (__TEXT,__text) non-external _spnl.cold.1
00007ffd000f9a60 (__TEXT,__text) non-external _spnl.cold.2
00007ffd000f9a83 (__TEXT,__text) non-external _spnl.cold.3
00007ffd000f9aa6 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffd415283d0 (__DATA,__bss) non-external _syntax_extensions
00007ffd000f7039 (__TEXT,__text) non-external _try_opening_table_block
00007ffd000f8bee (__TEXT,__text) non-external _unescape_pipes
00007ffd000f9dd0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffd000e137c (__TEXT,__text) non-external _validate_protocol
00007ffd000de5db (__TEXT,__text) non-external _xcalloc
00007ffd000f91df (__TEXT,__text) non-external _xcalloc.cold.1
00007ffd000de617 (__TEXT,__text) non-external _xfree
00007ffd000dfcee (__TEXT,__text) non-external _xml_attr
00007ffd000f7d93 (__TEXT,__text) non-external _xml_attr
00007ffd000de5f9 (__TEXT,__text) non-external _xrealloc
00007ffd000f9204 (__TEXT,__text) non-external _xrealloc.cold.1
