00007ffb0975021c (__TEXT,__text) non-external +[MGDaemon daemon]
00007ffb418f07d8 (__DATA,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffb418f03b8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGClientInterfaceProtocol
00007ffb418f03e0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
00007ffb418f0900 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceInterfaceProtocol
00007ffb418efde8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_MGServiceListenerProviderProtocol
00007ffb418efaf8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb418f05e8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffb418f0a20 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_MGGroupsQueryAgentDelegate
00007ffb418efcc8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb418f07b8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffb418f08d8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXPCListenerDelegate
00007ffb418f03d8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGClientInterfaceProtocol
00007ffb418f0a40 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGGroupsQueryAgentDelegate
00007ffb418f04a8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceInterfaceProtocol
00007ffb418f09c8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceInterfaceProtocol
00007ffb418efe68 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_MGServiceListenerProviderProtocol
00007ffb418efd30 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb418f0820 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffb418f08f8 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXPCListenerDelegate
00007ffb418f0a08 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_MGGroupsQueryAgentDelegate
00007ffb418efdd0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_MGServiceListenerProviderProtocol
00007ffb418f08c0 (__DATA,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXPCListenerDelegate
00007ffb418f0a48 (__DATA,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_MGDaemon
00007ffb418efe90 (__DATA,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_MGServiceListenerProvider
00007ffb418f0c28 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGDaemon
00007ffb418efab0 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsActivity
00007ffb418ef9b0 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsMediator
00007ffb418f0210 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsQueryAgent
00007ffb418f0370 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGGroupsQueryOperation
00007ffb418f05a0 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGOutstandingQuery
00007ffb418f0d78 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceClient
00007ffb418f0e68 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceClientSet
00007ffb418effd0 (__DATA,__objc_const) non-external __OBJC_CLASS_RO_$_MGServiceListenerProvider
00007ffb418ef860 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGClientInterfaceProtocol
00007ffb418ef878 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGGroupsQueryAgentDelegate
00007ffb418ef868 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGServiceInterfaceProtocol
00007ffb418ef858 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_MGServiceListenerProviderProtocol
00007ffb418ef850 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffb418ef870 (__DATA,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXPCListenerDelegate
00007ffb418f0a70 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGDaemon
00007ffb418ef9f8 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsActivity
00007ffb418ef888 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsMediator
00007ffb418f0018 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsQueryAgent
00007ffb418f0258 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGGroupsQueryOperation
00007ffb418f04e8 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGOutstandingQuery
00007ffb418f0c70 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceClient
00007ffb418f0dc0 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceClientSet
00007ffb418efea8 (__DATA,__objc_const) non-external __OBJC_METACLASS_RO_$_MGServiceListenerProvider
00007ffb418f1c18 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGClientInterfaceProtocol
00007ffb418f1d38 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGGroupsQueryAgentDelegate
00007ffb418f1c78 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGServiceInterfaceProtocol
00007ffb418f1bb8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_MGServiceListenerProviderProtocol
00007ffb418f1b58 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffb418f1cd8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXPCListenerDelegate
00007ffb418f15a8 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_MGClientInterfaceProtocol
00007ffb418f15b0 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_MGServiceInterfaceProtocol
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb09750dd5 (__TEXT,__text) non-external ___27-[MGDaemon addHomeKitHome:]_block_invoke
00007ffb09750dee (__TEXT,__text) non-external ___27-[MGDaemon addHomeKitHome:]_block_invoke.159
00007ffb09750e0e (__TEXT,__text) non-external ___27-[MGDaemon addHomeKitHome:]_block_invoke.165
00007ffb09754a10 (__TEXT,__text) non-external ___28-[MGServiceClient addQuery:]_block_invoke
00007ffb097490dd (__TEXT,__text) non-external ___29-[MGGroupsMediator addGroup:]_block_invoke
00007ffb0974dca0 (__TEXT,__text) non-external ___30-[MGGroupsQueryOperation main]_block_invoke
00007ffb0974887e (__TEXT,__text) non-external ___31-[MGGroupsMediator description]_block_invoke
00007ffb09754b42 (__TEXT,__text) non-external ___31-[MGServiceClient removeQuery:]_block_invoke
00007ffb09748e3d (__TEXT,__text) non-external ___32-[MGGroupsMediator endActivity:]_block_invoke
00007ffb0974929f (__TEXT,__text) non-external ___32-[MGGroupsMediator removeGroup:]_block_invoke
00007ffb09748a61 (__TEXT,__text) non-external ___33-[MGGroupsMediator currentGroups]_block_invoke
00007ffb097532d6 (__TEXT,__text) non-external ___35-[MGDaemon deleteGroup:completion:]_block_invoke
00007ffb0974953d (__TEXT,__text) non-external ___35-[MGGroupsMediator group:renameTo:]_block_invoke
00007ffb097515e1 (__TEXT,__text) non-external ___36-[MGDaemon addHomeKitRoom:fromHome:]_block_invoke
00007ffb097511f6 (__TEXT,__text) non-external ___36-[MGDaemon addHomeKitZone:fromHome:]_block_invoke
00007ffb097499c2 (__TEXT,__text) non-external ___36-[MGGroupsMediator group:addMember:]_block_invoke
00007ffb09749e15 (__TEXT,__text) non-external ___39-[MGGroupsMediator group:removeMember:]_block_invoke
00007ffb09755235 (__TEXT,__text) non-external ___39-[MGServiceClientSet addClientService:]_block_invoke
00007ffb09748c31 (__TEXT,__text) non-external ___42-[MGGroupsMediator startActivityWithName:]_block_invoke
00007ffb0974d12d (__TEXT,__text) non-external ___42-[MGGroupsQueryAgent addOutstandingQuery:]_block_invoke
00007ffb09755334 (__TEXT,__text) non-external ___42-[MGServiceClientSet removeClientService:]_block_invoke
00007ffb097519c8 (__TEXT,__text) non-external ___43-[MGDaemon addHomeKitMediaSystem:fromHome:]_block_invoke
00007ffb0974fee9 (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke
00007ffb0975007e (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke.95
00007ffb09750094 (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke.98
00007ffb0974feef (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke_2
00007ffb0974ff8d (__TEXT,__text) non-external ___44-[MGDaemon initWithServiceListenerProvider:]_block_invoke_3
00007ffb0974d493 (__TEXT,__text) non-external ___45-[MGGroupsQueryAgent removeOutstandingQuery:]_block_invoke
00007ffb0974a19d (__TEXT,__text) non-external ___46-[MGGroupsMediator removeGroupWithIdentifier:]_block_invoke
00007ffb09754ec5 (__TEXT,__text) non-external ___46-[MGServiceClient enumerateQueriesUsingBlock:]_block_invoke
00007ffb09754f03 (__TEXT,__text) non-external ___46-[MGServiceClient enumerateQueriesUsingBlock:]_block_invoke.44
00007ffb0975256d (__TEXT,__text) non-external ___47-[MGDaemon listener:shouldAcceptNewConnection:]_block_invoke
00007ffb0974ac77 (__TEXT,__text) non-external ___49-[MGGroupsQueryAgent setCurrentDeviceIdentifier:]_block_invoke
00007ffb09754d18 (__TEXT,__text) non-external ___49-[MGServiceClient outstandingQueryForIdentifier:]_block_invoke
00007ffb097554ee (__TEXT,__text) non-external ___49-[MGServiceClientSet enumerateClientsUsingBlock:]_block_invoke
00007ffb09755579 (__TEXT,__text) non-external ___49-[MGServiceClientSet enumerateClientsUsingBlock:]_block_invoke_2
00007ffb0975030a (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke
00007ffb0975089d (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke.132
00007ffb097504a5 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_2
00007ffb0975058b (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_3
00007ffb097507a2 (__TEXT,__text) non-external ___52-[MGDaemon groupsQueryAgent:didFindGroups:forQuery:]_block_invoke_4
00007ffb0974ccf3 (__TEXT,__text) non-external ___52-[MGGroupsQueryAgent _queryOperation:didFindGroups:]_block_invoke
00007ffb0975513f (__TEXT,__text) non-external ___52-[MGServiceClientSet serviceClientForXPCConnection:]_block_invoke
00007ffb0974d783 (__TEXT,__text) non-external ___53-[MGGroupsQueryAgent groupsMediator:didUpdateGroups:]_block_invoke
00007ffb09752ddb (__TEXT,__text) non-external ___56-[MGDaemon createGroupWithType:name:members:completion:]_block_invoke
00007ffb0974bd5c (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke
00007ffb0974c4e0 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.120
00007ffb0974c6bd (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.136
00007ffb0974ca4c (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.147
00007ffb0974c01a (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.61
00007ffb0974c093 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.69
00007ffb0974c158 (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.75
00007ffb0974c4ba (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke.87
00007ffb0974be4a (__TEXT,__text) non-external ___59-[MGGroupsQueryAgent _prepareWithGroups:currentIdentifier:]_block_invoke_2
00007ffb0974ae0e (__TEXT,__text) non-external ___73-[MGGroupsQueryAgent _performQueryExchangeUsingGroups:currentIdentifier:]_block_invoke
00007ffb09753960 (__TEXT,__text) non-external ___99-[MGDaemon HomeKitAccessoryOfType:accessoryIdentifier:homeIdentifier:categoryType:name:completion:]_block_invoke
00007ffb09748859 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb09754cf3 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb0974886f (__TEXT,__text) non-external ___Block_byref_object_dispose_
00007ffb09754d09 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb0974f65f (__TEXT,__text) non-external (was a private external) ___MGLogForCategory_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00007ffb0974de3a (__TEXT,__text) non-external ____AddContainmentForGroup_block_invoke
00007ffb418eeef8 (__DATA,__const) non-external (was a private external) ___block_descriptor_32_e24_v32?0"MGGroup"8Q16^c24l
00007ffb418eeeb8 (__DATA,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00007ffb418ef1d8 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e32_v32?0"MGServiceClient"8Q16^c24l
00007ffb418ef1a8 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e43_v32?0"NSUUID"8"MGOutstandingQuery"16^c24l
00007ffb418eed20 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e21_c24?0"NSArray"8^c16l
00007ffb418eec90 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e24_c32?0"MGGroup"8Q16^c24l
00007ffb418eecc0 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e29_q24?0"MGGroup"8"MGGroup"16l
00007ffb418ef058 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e30_v32?0"HMMediaSystem"8Q16^c24l
00007ffb418eef38 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e34_v32?0"MGGroupIdentifier"8Q16^c24l
00007ffb418eef68 (__DATA,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e43_v32?0"MGGroupIdentifier"8"MGGroup"16^c24l
00007ffb418eeb40 (__DATA,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e5_v8?0l
00007ffb418ef088 (__DATA,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e23_v32?0"HMRoom"8Q16^c24l
00007ffb418ef0b8 (__DATA,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e23_v32?0"HMZone"8Q16^c24l
00007ffb418ef0e8 (__DATA,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e28_v32?0"HMAccessory"8Q16^c24l
00007ffb418eeb70 (__DATA,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40s_e5_v8?0l
00007ffb418eecf0 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e24_v32?0"MGGroup"8Q16^c24l
00007ffb418eeba0 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48r_e5_v8?0l
00007ffb418eed50 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e38_v32?0"NSString"8"NSPredicate"16^c24l
00007ffb418eec60 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_c8?0l
00007ffb418eee10 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e5_v8?0l
00007ffb418eec00 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48w_e5_v8?0l
00007ffb418ef118 (__DATA,__const) non-external (was a private external) ___block_descriptor_56_e8_32w40w48w_e5_v8?0l
00007ffb418eeb10 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40r48r56r_e5_v8?0l
00007ffb418eec30 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56r_e5_v8?0l
00007ffb418eef98 (__DATA,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48s56s_e5_v8?0l
00007ffb418ef028 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56r64r_e29_v24?0"MGServiceClient"8^c16l
00007ffb418eebd0 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56r64r_e5_v8?0l
00007ffb418eee70 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64bs_e34_v32?0"MGGroupIdentifier"8Q16^c24l
00007ffb418eefc8 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64r_e17_v16?0"NSError"8l
00007ffb418eede0 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64r_e5_v8?0l
00007ffb418eee40 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e43_v32?0"MGGroupIdentifier"8"MGGroup"16^c24l
00007ffb418eed80 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e43_v32?0"NSUUID"8"MGOutstandingQuery"16^c24l
00007ffb418eedb0 (__DATA,__const) non-external (was a private external) ___block_descriptor_72_e8_32s40s48s56s64s_e5_v8?0l
00007ffb418eeff8 (__DATA,__const) non-external (was a private external) ___block_descriptor_80_e8_32s40s48s56s64r72r_e32_v24?0"MGOutstandingQuery"8^c16l
00007ffb418eeed8 (__DATA,__const) non-external (was a private external) ___block_literal_global
00007ffb418eef18 (__DATA,__const) non-external ___block_literal_global
00007ffb418ef148 (__DATA,__const) non-external ___block_literal_global.241
00007ffb418ef168 (__DATA,__const) non-external ___block_literal_global.266
00007ffb418ef188 (__DATA,__const) non-external ___block_literal_global.269
00007ffb09754f18 (__TEXT,__text) non-external ___copy_helper_block_e8_32b
00007ffb0974c075 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00007ffb09748b06 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00007ffb097488f3 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40r48r56r
00007ffb09748cab (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00007ffb0974c476 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48b
00007ffb09748f1e (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48r
00007ffb0974bfc2 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00007ffb0974bf3d (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56r
00007ffb09749712 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56r64r
00007ffb0975014e (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s
00007ffb0974df51 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64b
00007ffb0974cfc9 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s56s64r
00007ffb097509f2 (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64r72r
00007ffb0974cafe (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48s56s64s
00007ffb0974ae4e (__TEXT,__text) non-external ___copy_helper_block_e8_32s40s48w
00007ffb097526b4 (__TEXT,__text) non-external ___copy_helper_block_e8_32w40w48w
00007ffb0974c084 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00007ffb09748b36 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00007ffb09748947 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40r48r56r
00007ffb09748cd0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00007ffb09748f62 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48r
00007ffb0974bfee (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00007ffb0974bf88 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56r
00007ffb0974976f (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56r64r
00007ffb09750181 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s
00007ffb0974d01b (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s64r
00007ffb09750a56 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s64r72r
00007ffb0974cb38 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48s56s64s
00007ffb0974ae90 (__TEXT,__text) non-external ___destroy_helper_block_e8_32s40s48w
00007ffb097526f2 (__TEXT,__text) non-external ___destroy_helper_block_e8_32w40w48w
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
00007ffb418f1dc0 (__DATA,__bss) non-external _createGroupWithType:name:members:completion:.allowed
00007ffb418f1dc8 (__DATA,__bss) non-external _createGroupWithType:name:members:completion:.disallowed
00007ffb418f1dd0 (__DATA,__bss) non-external _createGroupWithType:name:members:completion:.onceToken
00007ffb418f1dd8 (__DATA,__bss) non-external _deleteGroup:completion:.allowed
00007ffb418f1de0 (__DATA,__bss) non-external _deleteGroup:completion:.disallowed
00007ffb418f1de8 (__DATA,__bss) non-external _deleteGroup:completion:.onceToken
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _notify_post (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getAssociatedObject (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_transaction_create (from libSystem)
                 (undefined) external _os_unfair_lock_assert_owner (from libSystem)
                 (undefined) external _os_unfair_lock_lock (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _proc_name (from libSystem)
