00007ffc411fe428 (__DATA,__bss) non-external _A
00007ffc0dfbba90 (__TEXT,__text) external _cmark_strbuf_cmp
00007ffc0dfbb9d5 (__TEXT,__text) external _cmark_strbuf_copy_cstr
00007ffc0dfc7087 (__TEXT,__text) non-external _cmark_strbuf_copy_cstr.cold.1
00007ffc0dfbba5a (__TEXT,__text) external _cmark_strbuf_detach
00007ffc0dfbbb7d (__TEXT,__text) external _cmark_strbuf_drop
00007ffc0dfbb828 (__TEXT,__text) external _cmark_strbuf_free
00007ffc0dfbb7be (__TEXT,__text) external _cmark_strbuf_grow
00007ffc0dfc7040 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.1
00007ffc0dfc7061 (__TEXT,__text) non-external _cmark_strbuf_grow.cold.2
00007ffc0dfbb793 (__TEXT,__text) external _cmark_strbuf_init
00007ffc0dfbb81f (__TEXT,__text) external _cmark_strbuf_len
00007ffc0dfbbc62 (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffc0dfbb95b (__TEXT,__text) external _cmark_strbuf_put
00007ffc0dfbb922 (__TEXT,__text) external _cmark_strbuf_putc
00007ffc0dfbb9af (__TEXT,__text) external _cmark_strbuf_puts
00007ffc0dfbbbc5 (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffc0dfbb878 (__TEXT,__text) external _cmark_strbuf_set
00007ffc0dfbb8f2 (__TEXT,__text) external _cmark_strbuf_sets
00007ffc0dfbbadd (__TEXT,__text) external _cmark_strbuf_strchr
00007ffc0dfbbb1d (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffc0dfbba28 (__TEXT,__text) external _cmark_strbuf_swap
00007ffc0dfbbc0d (__TEXT,__text) external _cmark_strbuf_trim
00007ffc0dfbbb5e (__TEXT,__text) external _cmark_strbuf_truncate
00007ffc0dfbbcf9 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffc0dfae74e (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffc0dfc6f4f (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffc0dfae6b4 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffc0dfae849 (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffc0dfae6f9 (__TEXT,__text) external _cmark_syntax_extension_new
00007ffc0dfae7cb (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffc0dfae86d (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffc0dfae7df (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffc0dfae7d5 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffc0dfae783 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffc0dfae7c1 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffc0dfae821 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffc0dfae814 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffc0dfae7ad (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffc0dfae7f3 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffc0dfae807 (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffc0dfae79a (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffc0dfae7a3 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffc0dfae853 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffc0dfae860 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffc0dfae790 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffc0dfae7e9 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffc0dfae82e (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffc0dfae83b (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffc0dfae7b7 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffc0dfae7fd (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffc0dfbb45c (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffc0dfa35ed (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffc0dfa31b0 (__TEXT,__text) external _cmark_utf8proc_check
00007ffc0dfa34e8 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffc0dfc6e74 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffc0dfab0da (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffc0dfab080 (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffc0dfa33aa (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffc0dfac946 (__TEXT,__text) external _cmark_version
00007ffc0dfac951 (__TEXT,__text) external _cmark_version_string
00007ffc0dfadee6 (__TEXT,__text) non-external _commonmark_render
00007ffc0dfb08ec (__TEXT,__text) non-external _commonmark_render
00007ffc0dfc56e2 (__TEXT,__text) non-external _commonmark_render
00007ffc0dfc7907 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffc0dfc56cd (__TEXT,__text) non-external _contains_inlines
00007ffc0dfbb4ae (__TEXT,__text) non-external _core_extensions_registration
00007ffc0dfae87a (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffc0dfb07c9 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffc0dfc4b94 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffc0dfc6d64 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffc0dfadd28 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffc411fe298 (__DATA,__bss) non-external _enable_safety_checks
00007ffc0dfc7bb0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffc0dfc6314 (__TEXT,__text) non-external _escape
00007ffc411fe210 (__DATA,__bss) non-external _extensions_lock
00007ffc411fe090 (__DATA,__data) non-external _extensions_once
00007ffc0dfc6d92 (__TEXT,__text) non-external _filter
00007ffc0dfbdf59 (__TEXT,__text) non-external _finalize
00007ffc0dfc71bf (__TEXT,__text) non-external _finalize.cold.1
00007ffc0dfc71e2 (__TEXT,__text) non-external _finalize.cold.2
00007ffc0dfbb420 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffc0dfbe8eb (__TEXT,__text) non-external _free_node_as
00007ffc0dfc6969 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffc0dfc69d0 (__TEXT,__text) non-external _get_cell_alignment
00007ffc0dfb1b5b (__TEXT,__text) non-external _get_link_type
00007ffc0dfade21 (__TEXT,__text) non-external _get_type_string
00007ffc0dfb08ab (__TEXT,__text) non-external _get_type_string
00007ffc0dfc5605 (__TEXT,__text) non-external _get_type_string
00007ffc0dfc40c4 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffc0dfca7a0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffc0dfac931 (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffc0dfac810 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffc0dfc41de (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffc0dfc4450 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffc0dfc457a (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffc0dfadf56 (__TEXT,__text) non-external _html_render
00007ffc0dfb0991 (__TEXT,__text) non-external _html_render
00007ffc0dfc5cd2 (__TEXT,__text) non-external _html_render
00007ffc0dfc7970 (__TEXT,__text) non-external _html_render.cold.1
00007ffc0dfc6a14 (__TEXT,__text) non-external _html_table_add_align
00007ffc0dfc6d1b (__TEXT,__text) non-external _init_arena
00007ffc0dfc6d08 (__TEXT,__text) non-external _initialize_arena
00007ffc0dfaf93c (__TEXT,__text) non-external _initialize_extensions
00007ffc0dfbfccc (__TEXT,__text) non-external _initialize_nextflag
00007ffc0dfbfcb9 (__TEXT,__text) non-external _initialize_safety
00007ffc0dfb0b13 (__TEXT,__text) non-external _insert
00007ffc0dfaf6b3 (__TEXT,__text) non-external _is_valid_hostchar
00007ffc0dfb090d (__TEXT,__text) non-external _latex_render
00007ffc0dfc5908 (__TEXT,__text) non-external _latex_render
00007ffc0dfc792a (__TEXT,__text) non-external _latex_render.cold.1
00007ffc0dfc2db9 (__TEXT,__text) non-external _link_label
00007ffc0dfc7670 (__TEXT,__text) non-external _link_label.cold.1
00007ffc0dfc7693 (__TEXT,__text) non-external _link_label.cold.2
00007ffc0dfc76b6 (__TEXT,__text) non-external _link_label.cold.3
00007ffc0dfc76d9 (__TEXT,__text) non-external _link_label.cold.4
00007ffc0dfc76fc (__TEXT,__text) non-external _link_label.cold.5
00007ffc0dfc3888 (__TEXT,__text) non-external _make_autolink
00007ffc0dfc78c1 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
00007ffc0dfb093c (__TEXT,__text) non-external _man_render
00007ffc0dfc5b65 (__TEXT,__text) non-external _man_render
00007ffc0dfc794d (__TEXT,__text) non-external _man_render.cold.1
00007ffc0dfc3060 (__TEXT,__text) non-external _manual_scan_link_url
00007ffc0dfae8e8 (__TEXT,__text) non-external _match
00007ffc0dfb09d4 (__TEXT,__text) non-external _match
00007ffc0dfaddbd (__TEXT,__text) non-external _matches
00007ffc0dfc4cb6 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffc411fe2a0 (__DATA,__bss) non-external _nextflag_lock
00007ffc411fe0c0 (__DATA,__data) non-external _nextflag_once
00007ffc0dfbb513 (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffc0dfc701f (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffc0dfc6275 (__TEXT,__text) non-external _opaque_alloc
00007ffc0dfc62c1 (__TEXT,__text) non-external _opaque_free
00007ffc0dfade2e (__TEXT,__text) non-external _open_tasklist_item
00007ffc0dfab89f (__TEXT,__text) non-external _outc
00007ffc0dfb1126 (__TEXT,__text) non-external _outc
00007ffc0dfc460f (__TEXT,__text) non-external _outc
00007ffc0dfb09b3 (__TEXT,__text) non-external _plaintext_render
00007ffc0dfaed45 (__TEXT,__text) non-external _postprocess
00007ffc0dfc6f70 (__TEXT,__text) non-external _postprocess.cold.1
00007ffc0dfc6f93 (__TEXT,__text) non-external _postprocess.cold.2
00007ffc0dfc24cc (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffc0dfc37a4 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffc0dfbb769 (__TEXT,__text) non-external _refcmp
00007ffc0dfbbeea (__TEXT,__text) non-external _reference_free
00007ffc0dfbb6e4 (__TEXT,__text) non-external _refsearch
00007ffc0dfbb49d (__TEXT,__text) non-external _register_plugins
00007ffc411fe0a0 (__DATA,__data) non-external _registered_once
00007ffc0dfc7bc0 (__TEXT,__const) non-external _reltable.houdini_escape_html0
00007ffc0dfc2a73 (__TEXT,__text) non-external _remove_delimiter
00007ffc0dfc7558 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffc0dfbe30c (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffc0dfc6519 (__TEXT,__text) non-external _row_from_string
00007ffc411fe258 (__DATA,__bss) non-external _safety_lock
00007ffc411fe0b0 (__DATA,__data) non-external _safety_once
00007ffc411f5b10 (__DATA,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffc0dfbe46f (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffc0dfc2f82 (__TEXT,__text) non-external _spnl
00007ffc0dfc771d (__TEXT,__text) non-external _spnl.cold.1
00007ffc0dfc7740 (__TEXT,__text) non-external _spnl.cold.2
00007ffc0dfc7763 (__TEXT,__text) non-external _spnl.cold.3
00007ffc0dfc7786 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffc411fe250 (__DATA,__bss) non-external _syntax_extensions
00007ffc0dfc4d45 (__TEXT,__text) non-external _try_opening_table_block
00007ffc0dfc68c5 (__TEXT,__text) non-external _unescape_pipes
00007ffc0dfc7ab0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffc0dfaf6ec (__TEXT,__text) non-external _validate_protocol
00007ffc0dfac95e (__TEXT,__text) non-external _xcalloc
00007ffc0dfc6ebb (__TEXT,__text) non-external _xcalloc.cold.1
00007ffc0dfac990 (__TEXT,__text) non-external _xfree
00007ffc0dfae0ad (__TEXT,__text) non-external _xml_attr
00007ffc0dfc5a9f (__TEXT,__text) non-external _xml_attr
00007ffc0dfac977 (__TEXT,__text) non-external _xrealloc
00007ffc0dfc6ee0 (__TEXT,__text) non-external _xrealloc.cold.1
