00007ffb437cb5d0 (__DATA,__common) external _AfterColour
00007ffb159db20c (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_10BasicBlockELb1EEC2EOS2_
00007ffb159db35c (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_10BasicBlockELb1EEaSEOS2_
00007ffb1575fa26 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE10createNodeEPS1_
00007ffb1575f55a (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE10deleteEdgeEPS1_S3_
00007ffb1575f548 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE10insertEdgeEPS1_S3_
00007ffb1575eae8 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE10root_beginEv
00007ffb1575f798 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE10setNewRootEPS1_
00007ffb1575fc98 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE10splitBlockEPS1_
00007ffb1575f56c (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE11addNewBlockEPS1_S3_
00007ffb1575f5fc (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE11createChildEPS1_PNS_15DomTreeNodeBaseIS1_EE
00007ffb1575ec4e (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE11getRootNodeEv
00007ffb157600e4 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE11recalculateERNS_15MachineFunctionE
00007ffb157600f4 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE11recalculateERNS_15MachineFunctionENS_8ArrayRefINS_3cfg6UpdateIPS1_EEEE
00007ffb1575f304 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE12applyUpdatesENS_8ArrayRefINS_3cfg6UpdateIPS1_EEEE
00007ffb1575f392 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE12applyUpdatesENS_8ArrayRefINS_3cfg6UpdateIPS1_EEEES8_
00007ffb18ba45aa (__TEXT,__const) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE15IsPostDominatorE
00007ffb1575fb76 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE24changeImmediateDominatorEPNS_15DomTreeNodeBaseIS1_EES5_
00007ffb1575fb8a (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE24changeImmediateDominatorEPS1_S3_
00007ffb1575e8ba (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE4wipeEv
00007ffb157601b2 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE5resetEv
00007ffb1575eb26 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE5rootsEv
00007ffb18ba45ac (__TEXT,__const) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE6DeleteE
00007ffb18ba45ab (__TEXT,__const) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE6InsertE
00007ffb1575eafc (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE8root_endEv
00007ffb16956e3c (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EE9eraseNodeEPS1_
00007ffb1575e8da (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EEC1EOS2_
00007ffb1575e794 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EEC2EOS2_
00007ffb1575e8e4 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb0EEaSEOS2_
00007ffb157a8798 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE10createNodeEPS1_
00007ffb157a82ce (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE10deleteEdgeEPS1_S3_
00007ffb157a82be (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE10insertEdgeEPS1_S3_
00007ffb157a7714 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE10root_beginEv
00007ffb157a850a (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE10setNewRootEPS1_
00007ffb157a8b82 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE10splitBlockEPS1_
00007ffb157a82de (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE11addNewBlockEPS1_S3_
00007ffb157a836e (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE11createChildEPS1_PNS_15DomTreeNodeBaseIS1_EE
00007ffb157a787a (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE11getRootNodeEv
00007ffb157a8fce (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE11recalculateERNS_15MachineFunctionE
00007ffb157a8fde (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE11recalculateERNS_15MachineFunctionENS_8ArrayRefINS_3cfg6UpdateIPS1_EEEE
00007ffb157a807a (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE12applyUpdatesENS_8ArrayRefINS_3cfg6UpdateIPS1_EEEE
00007ffb157a8108 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE12applyUpdatesENS_8ArrayRefINS_3cfg6UpdateIPS1_EEEES8_
00007ffb18ba4850 (__TEXT,__const) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE15IsPostDominatorE
00007ffb157a8928 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE24changeImmediateDominatorEPNS_15DomTreeNodeBaseIS1_EES5_
00007ffb157a893c (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE24changeImmediateDominatorEPS1_S3_
00007ffb157a7596 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE4wipeEv
00007ffb157a909c (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE5resetEv
00007ffb157a7752 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE5rootsEv
00007ffb18ba4852 (__TEXT,__const) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE6DeleteE
00007ffb18ba4851 (__TEXT,__const) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE6InsertE
00007ffb157a88e8 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE7addRootEPS1_
00007ffb157a7728 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE8root_endEv
00007ffb157a8a42 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EE9eraseNodeEPS1_
00007ffb157a75b6 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EEC1EOS2_
00007ffb157a7470 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EEC2EOS2_
00007ffb157a75c0 (__TEXT,__text) weak external __ZN4llvm17DominatorTreeBaseINS_17MachineBasicBlockELb1EEaSEOS2_
00007ffb437c88d0 (__DATA,__common) external __ZN4llvm17EnableLoopFlattenE
00007ffb16512f8a (__TEXT,__text) external __ZN4llvm17FileCollectorBase12addDirectoryERKNS_5TwineE
00007ffb16512ede (__TEXT,__text) external __ZN4llvm17FileCollectorBase7addFileERKNS_5TwineE
00007ffb16512e6e (__TEXT,__text) external __ZN4llvm17FileCollectorBaseC2Ev
00007ffb16512ed8 (__TEXT,__text) external __ZN4llvm17FileCollectorBaseD0Ev
00007ffb16512ed2 (__TEXT,__text) external __ZN4llvm17FileCollectorBaseD1Ev
00007ffb16512ea4 (__TEXT,__text) external __ZN4llvm17FileCollectorBaseD2Ev
00007ffb15573089 (__TEXT,__text) external __ZN4llvm17FindInsertedValueEPNS_5ValueENS_8ArrayRefIjEEPNS_11InstructionE
00007ffb437c6bb0 (__DATA,__common) external __ZN4llvm17FuncletLayoutPass3KeyE
00007ffb15412174 (__TEXT,__text) external __ZN4llvm17FunctionGroupInfo6createERNS_20GPUFunctionInfoCacheEb
00007ffb156c976e (__TEXT,__text) external __ZN4llvm17GCMetadataPrinterC1Ev
00007ffb156c975e (__TEXT,__text) external __ZN4llvm17GCMetadataPrinterC2Ev
00007ffb156c978a (__TEXT,__text) external __ZN4llvm17GCMetadataPrinterD0Ev
00007ffb156c9784 (__TEXT,__text) external __ZN4llvm17GCMetadataPrinterD1Ev
00007ffb156c977e (__TEXT,__text) external __ZN4llvm17GCMetadataPrinterD2Ev
00007ffb157d15a8 (__TEXT,__text) external __ZN4llvm17GenericSSAContextINS_15MachineFunctionEE11setFunctionERS1_
00007ffb157d159a (__TEXT,__text) external __ZN4llvm17GenericSSAContextINS_15MachineFunctionEE13getEntryBlockERS1_
00007ffb169b054a (__TEXT,__text) external __ZN4llvm17GenericSSAContextINS_8FunctionEE11setFunctionERS1_
00007ffb169b0534 (__TEXT,__text) external __ZN4llvm17GenericSSAContextINS_8FunctionEE13getEntryBlockERS1_
00007ffb15a0f820 (__TEXT,__text) external __ZN4llvm17GetElementPtrInst13setIsInBoundsEb
00007ffb15a0f66e (__TEXT,__text) external __ZN4llvm17GetElementPtrInst14getIndexedTypeEPNS_4TypeENS_8ArrayRefIPNS_5ValueEEE
00007ffb15a0f6b8 (__TEXT,__text) external __ZN4llvm17GetElementPtrInst14getIndexedTypeEPNS_4TypeENS_8ArrayRefIPNS_8ConstantEEE
00007ffb15a0f702 (__TEXT,__text) external __ZN4llvm17GetElementPtrInst14getIndexedTypeEPNS_4TypeENS_8ArrayRefIyEE
00007ffb15a0f564 (__TEXT,__text) external __ZN4llvm17GetElementPtrInst14getTypeAtIndexEPNS_4TypeEPNS_5ValueE
00007ffb15a0f61e (__TEXT,__text) external __ZN4llvm17GetElementPtrInst14getTypeAtIndexEPNS_4TypeEy
00007ffb15a0f35c (__TEXT,__text) external __ZN4llvm17GetElementPtrInst4initEPNS_5ValueENS_8ArrayRefIS2_EERKNS_5TwineE
00007ffb15a0f4ce (__TEXT,__text) external __ZN4llvm17GetElementPtrInstC1ERKS0_
00007ffb15a0f438 (__TEXT,__text) external __ZN4llvm17GetElementPtrInstC2ERKS0_
00007ffb16669090 (__TEXT,__text) external __ZN4llvm17GetUnrollMetadataEPNS_6MDNodeENS_9StringRefE
00007ffb159f91dc (__TEXT,__text) external __ZN4llvm17GlobalPtrAuthInfo10tryAnalyzeEPKNS_5ValueE
00007ffb169acf32 (__TEXT,__text) external __ZN4llvm17GlobalPtrAuthInfo6createERNS_6ModuleEPNS_8ConstantEPNS_11ConstantIntES4_S6_
00007ffb159f953c (__TEXT,__text) external __ZN4llvm17GlobalPtrAuthInfo7analyzeEPKNS_5ValueE
00007ffb161abbe2 (__TEXT,__text) external __ZN4llvm17GuardWideningPass3runERNS_4LoopERNS_15AnalysisManagerIS1_JRNS_27LoopStandardAnalysisResultsEEEES5_RNS_10LPMUpdaterE
00007ffb161aad5c (__TEXT,__text) external __ZN4llvm17GuardWideningPass3runERNS_8FunctionERNS_15AnalysisManagerIS1_JEEE
00007ffb154c707e (__TEXT,__text) external __ZN4llvm17ICFLoopSafetyInfo17removeInstructionEPKNS_11InstructionE
00007ffb154c7046 (__TEXT,__text) external __ZN4llvm17ICFLoopSafetyInfo19insertInstructionToEPKNS_11InstructionEPKNS_10BasicBlockE
00007ffb154c6fc0 (__TEXT,__text) external __ZN4llvm17ICFLoopSafetyInfo21computeLoopSafetyInfoEPKNS_4LoopE
00007ffb16b66e22 (__TEXT,__text) external __ZN4llvm17InjectTLIMappings3runERNS_8FunctionERNS_15AnalysisManagerIS1_JEEE
00007ffb16b9520e (__TEXT,__text) external __ZN4llvm17InnerLoopUnroller18getBroadcastInstrsEPNS_5ValueE
00007ffb15a0fefc (__TEXT,__text) external __ZN4llvm17InsertElementInst15isValidOperandsEPKNS_5ValueES3_S3_
00007ffb15a0fef2 (__TEXT,__text) external __ZN4llvm17InsertElementInstC1EPNS_5ValueES2_S2_RKNS_5TwineEPNS_10BasicBlockE
00007ffb15a0fd28 (__TEXT,__text) external __ZN4llvm17InsertElementInstC1EPNS_5ValueES2_S2_RKNS_5TwineEPNS_11InstructionE
00007ffb15a0fd32 (__TEXT,__text) external __ZN4llvm17InsertElementInstC2EPNS_5ValueES2_S2_RKNS_5TwineEPNS_10BasicBlockE
00007ffb15a0fb62 (__TEXT,__text) external __ZN4llvm17InsertElementInstC2EPNS_5ValueES2_S2_RKNS_5TwineEPNS_11InstructionE
00007ffb168fe240 (__TEXT,__text) external __ZN4llvm17IntervalPartition13releaseMemoryEv
00007ffb168fe404 (__TEXT,__text) external __ZN4llvm17IntervalPartition13runOnFunctionERNS_8FunctionE
00007ffb168fe36a (__TEXT,__text) external __ZN4llvm17IntervalPartition18updatePredecessorsEPNS_8IntervalE
00007ffb168fe302 (__TEXT,__text) external __ZN4llvm17IntervalPartition22addIntervalToPartitionEPNS_8IntervalE
00007ffb437c5e28 (__DATA,__common) external __ZN4llvm17IntervalPartition2IDE
00007ffb154503c4 (__TEXT,__text) external __ZN4llvm17IntervalPartitionC1ERS0_b
00007ffb168fe236 (__TEXT,__text) external __ZN4llvm17IntervalPartitionC1Ev
00007ffb15450186 (__TEXT,__text) external __ZN4llvm17IntervalPartitionC2ERS0_b
00007ffb168fe1a4 (__TEXT,__text) external __ZN4llvm17IntervalPartitionC2Ev
00007ffb156f6f6e (__TEXT,__text) external __ZN4llvm17IntrinsicLowering15LowerToByteSwapEPNS_8CallInstE
00007ffb156f4b08 (__TEXT,__text) external __ZN4llvm17IntrinsicLowering18LowerIntrinsicCallEPNS_8CallInstE
00007ffb16559178 (__TEXT,__text) external __ZN4llvm17JSONScopedPrinterC1ERNS_11raw_ostreamEbONSt3__110unique_ptrINS_14DelimitedScopeENS3_14default_deleteIS5_EEEE
00007ffb165590cc (__TEXT,__text) external __ZN4llvm17JSONScopedPrinterC2ERNS_11raw_ostreamEbONSt3__110unique_ptrINS_14DelimitedScopeENS3_14default_deleteIS5_EEEE
00007ffb16aae46a (__TEXT,__text) external __ZN4llvm17JumpThreadingPass10threadEdgeEPNS_10BasicBlockERKNS_15SmallVectorImplIS2_EES2_
00007ffb161f6b86 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass11threadGuardEPNS_10BasicBlockEPNS_13IntrinsicInstEPNS_10BranchInstE
00007ffb161ec930 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass12processBlockEPNS_10BasicBlockE
00007ffb161f0428 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass13processGuardsEPNS_10BasicBlockE
00007ffb161f476c (__TEXT,__text) external __ZN4llvm17JumpThreadingPass13tryThreadEdgeEPNS_10BasicBlockERKNS_15SmallVectorImplIS2_EES2_
00007ffb16aadf96 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass15findLoopHeadersERNS_8FunctionE
00007ffb161f3892 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass15splitBlockPredsEPNS_10BasicBlockENS_8ArrayRefIS2_EEPKc
00007ffb161f58e6 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass17cloneInstructionsENS_14ilist_iteratorINS_12ilist_detail12node_optionsINS_11InstructionELb0ELb0EvEELb0ELb0EEES6_PNS_10BasicBlockES8_
00007ffb161f1b86 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass17tryToUnfoldSelectEPNS_10SwitchInstEPNS_10BasicBlockE
00007ffb161f1980 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass17tryToUnfoldSelectEPNS_7CmpInstEPNS_10BasicBlockE
00007ffb161f67e2 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass17unfoldSelectInstrEPNS_10BasicBlockES2_PNS_10SelectInstEPNS_7PHINodeEj
00007ffb161f2da4 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass18processBranchOnPHIEPNS_7PHINodeE
00007ffb161f2ee6 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass18processBranchOnXOREPNS_14BinaryOperatorE
00007ffb161f0780 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass22processThreadableEdgesEPNS_5ValueEPNS_10BasicBlockENS_13jumpthreading18ConstantPreferenceEPNS_11InstructionE
00007ffb161f34b8 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass23processImpliedConditionEPNS_10BasicBlockE
00007ffb16aae788 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass24doesBlockHaveProfileDataEPNS_10BasicBlockE
00007ffb161f40a4 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass25evaluateOnPredecessorEdgeEPNS_10BasicBlockES2_PNS_5ValueE
00007ffb161ef880 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass25tryToUnfoldSelectInCurrBBEPNS_10BasicBlockE
00007ffb16aae11c (__TEXT,__text) external __ZN4llvm17JumpThreadingPass27threadThroughTwoBasicBlocksEPNS_10BasicBlockES2_S2_S2_
00007ffb161f62d0 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass28updateBlockFreqAndEdgeWeightEPNS_10BasicBlockES2_S2_S2_
00007ffb161f1ca8 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass30simplifyPartiallyRedundantLoadEPNS_8LoadInstE
00007ffb161f48b0 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass32duplicateCondBranchOnPHIIntoPredEPNS_10BasicBlockERKNS_15SmallVectorImplIS2_EE
00007ffb161ef6fe (__TEXT,__text) external __ZN4llvm17JumpThreadingPass32maybeMergeBasicBlockIntoOnlyPredEPNS_10BasicBlockE
00007ffb161f422a (__TEXT,__text) external __ZN4llvm17JumpThreadingPass32maybethreadThroughTwoBasicBlocksEPNS_10BasicBlockEPNS_5ValueE
00007ffb161edd06 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass35computeValueKnownInPredecessorsImplEPNS_5ValueEPNS_10BasicBlockERNS_15SmallVectorImplINSt3__14pairIPNS_8ConstantES4_EEEENS_13jumpthreading18ConstantPreferenceERNS_8DenseSetIS2_NS_12DenseMapInfoIS2_vEEEEPNS_11InstructionE
00007ffb161ebd64 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass3runERNS_8FunctionERNS_15AnalysisManagerIS1_JEEE
00007ffb161ec396 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass7runImplERNS_8FunctionEPNS_17TargetLibraryInfoEPNS_19TargetTransformInfoEPNS_13LazyValueInfoEPNS_9AAResultsEPNS_14DomTreeUpdaterEbNSt3__110unique_ptrINS_18BlockFrequencyInfoENSD_14default_deleteISF_EEEENSE_INS_21BranchProbabilityInfoENSG_ISJ_EEEE
00007ffb161f54b8 (__TEXT,__text) external __ZN4llvm17JumpThreadingPass9updateSSAEPNS_10BasicBlockES2_RNS_8DenseMapIPNS_11InstructionEPNS_5ValueENS_12DenseMapInfoIS5_vEENS_6detail12DenseMapPairIS5_S7_EEEE
00007ffb16aadf32 (__TEXT,__text) external __ZN4llvm17JumpThreadingPassC1Ebi
00007ffb161ebd00 (__TEXT,__text) external __ZN4llvm17JumpThreadingPassC2Ebi
00007ffb1694f428 (__TEXT,__text) external __ZN4llvm17LLVMTargetMachine11initAsmInfoEv
00007ffb1694f832 (__TEXT,__text) external __ZN4llvm17LLVMTargetMachine13addAsmPrinterERNS_6legacy15PassManagerBaseERNS_17raw_pwrite_streamEPS4_NS_15CodeGenFileTypeERNS_9MCContextE
00007ffb1572a918 (__TEXT,__text) external __ZN4llvm17LLVMTargetMachine16createMCStreamerERNS_17raw_pwrite_streamEPS1_NS_15CodeGenFileTypeERNS_9MCContextE
00007ffb1698bda4 (__TEXT,__text) external __ZN4llvm17LLVMTargetMachine16createPassConfigERNS_6legacy15PassManagerBaseE
00007ffb1694fa80 (__TEXT,__text) external __ZN4llvm17LLVMTargetMachine17addPassesToEmitMCERNS_6legacy15PassManagerBaseERPNS_9MCContextERNS_17raw_pwrite_streamEb
00007ffb1694f99a (__TEXT,__text) external __ZN4llvm17LLVMTargetMachine19addPassesToEmitFileERNS_6legacy15PassManagerBaseERNS_17raw_pwrite_streamEPS4_NS_15CodeGenFileTypeEbPNS_28MachineModuleInfoWrapperPassE
00007ffb1572a8a6 (__TEXT,__text) external __ZN4llvm17LLVMTargetMachineC1ERKNS_6TargetENS_9StringRefERKNS_6TripleES4_S4_RKNS_13TargetOptionsENS_5Reloc5ModelENS_9CodeModel5ModelENS_10CodeGenOpt5LevelE
00007ffb1694f758 (__TEXT,__text) external __ZN4llvm17LLVMTargetMachineC2ERKNS_6TargetENS_9StringRefERKNS_6TripleES4_S4_RKNS_13TargetOptionsENS_5Reloc5ModelENS_9CodeModel5ModelENS_10CodeGenOpt5LevelE
00007ffb437c5e50 (__DATA,__common) external __ZN4llvm17LazyValueAnalysis3KeyE
00007ffb1545b174 (__TEXT,__text) external __ZN4llvm17LazyValueAnalysis3runERNS_8FunctionERNS_15AnalysisManagerIS1_JEEE
00007ffb15d53bda (__TEXT,__text) external __ZN4llvm17LegacyInlinerBase11inlineCallsERNS_12CallGraphSCCE
00007ffb15d55956 (__TEXT,__text) external __ZN4llvm17LegacyInlinerBase14doFinalizationERNS_9CallGraphE
00007ffb15d53bb4 (__TEXT,__text) external __ZN4llvm17LegacyInlinerBase16doInitializationERNS_9CallGraphE
00007ffb15d55994 (__TEXT,__text) external __ZN4llvm17LegacyInlinerBase19removeDeadFunctionsERNS_9CallGraphEb
00007ffb16a1fb42 (__TEXT,__text) external __ZN4llvm17LegacyInlinerBase8runOnSCCERNS_12CallGraphSCCE
00007ffb16a1fa3c (__TEXT,__text) external __ZN4llvm17LegacyInlinerBaseC2ERc
00007ffb16a1fa90 (__TEXT,__text) external __ZN4llvm17LegacyInlinerBaseC2ERcb
00007ffb16b74df0 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier11optimizeAbsEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb1670600a (__TEXT,__text) external __ZN4llvm17LibCallSimplifier11optimizeFFSEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb1670639e (__TEXT,__text) external __ZN4llvm17LibCallSimplifier11optimizeFlsEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16704748 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier11optimizeLogEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16703360 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier11optimizePowEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16705204 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier11optimizeTanEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16b75020 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier12optimizeAtoiEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16701874 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier12optimizeBCmpEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16b746f6 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier12optimizeCAbsEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16709ae4 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier12optimizeCallEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16704532 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier12optimizeExp2EPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16b75758 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier12optimizePutsEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16704d58 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier12optimizeSqrtEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16b7582a (__TEXT,__text) external __ZN4llvm17LibCallSimplifier13optimizeBCopyEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16b75624 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier13optimizeFPutsEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16b74236 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier13optimizeStrToEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16705cfa (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14classifyArgUseEPNS_5ValueEPNS_8FunctionEbRNS_15SmallVectorImplIPNS_8CallInstEEES9_S9_
00007ffb167089c2 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeFWriteEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb167003b8 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeMemChrEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16b745e0 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeMemCmpEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb1670187e (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeMemCpyEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16702054 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeMemSetEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16b7507e (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizePrintFEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb166fee68 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeStpCpyEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16b73e5c (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeStrCatEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb166fd542 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeStrChrEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb166fdb12 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeStrCmpEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb166febfe (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeStrCpyEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16700046 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeStrLenEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb16b74280 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeStrSpnEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb1670008c (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeStrStrEPNS_8CallInstERNS_13IRBuilderBaseE
00007ffb167067c6 (__TEXT,__text) external __ZN4llvm17LibCallSimplifier14optimizeStrtolEPNS_8CallInstERNS_13IRBuilderBaseE
