000000027ed60888 (__TEXT,__text) non-external _Done_iODBC
000000029221a080 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
000000029221a0a8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
000000029221a0f0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
0000000292219df0 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
000000029221a118 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
0000000292219630 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
0000000292219238 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
0000000292219650 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
0000000292219300 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
0000000292219320 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00000002922193d0 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00000002922196d0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
0000000292219680 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
0000000292219038 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000027ed78390 (__TEXT,__text) non-external __trace_bufferlen
000000027ed779e4 (__TEXT,__text) non-external __trace_c_type
000000027ed74690 (__TEXT,__text) non-external __trace_colattr2_type
000000027ed74a20 (__TEXT,__text) non-external __trace_colattr3_data
000000027ed746e8 (__TEXT,__text) non-external __trace_colattr3_type
000000027ed70720 (__TEXT,__text) non-external __trace_connattr_type
000000027ed786ec (__TEXT,__text) non-external __trace_connopt_type
000000027ed7a938 (__TEXT,__text) non-external __trace_connstr
000000027ed7ac68 (__TEXT,__text) non-external __trace_connstr_hidepwd
000000027ed7aba0 (__TEXT,__text) non-external __trace_connstr_w
000000027ed79b3c (__TEXT,__text) non-external __trace_data
000000027ed70a1c (__TEXT,__text) non-external __trace_desc_null
000000027ed73f50 (__TEXT,__text) non-external __trace_descfield_type
000000027ed797bc (__TEXT,__text) non-external __trace_diag_type
000000027ed762cc (__TEXT,__text) non-external __trace_direction
000000027ed7aa48 (__TEXT,__text) non-external __trace_drvcn_completion
000000027ed71438 (__TEXT,__text) non-external __trace_envattr_type
000000027ed71cc4 (__TEXT,__text) non-external __trace_fetchtype
000000027ed7b224 (__TEXT,__text) non-external __trace_freestmt_option
000000027ed75900 (__TEXT,__text) non-external __trace_func_name
000000027ed75834 (__TEXT,__text) non-external __trace_func_result
000000027ed71f58 (__TEXT,__text) non-external __trace_getinfo
000000027ed772fc (__TEXT,__text) non-external __trace_handle
000000027ed77288 (__TEXT,__text) non-external __trace_handle_p
000000027ed77224 (__TEXT,__text) non-external __trace_handletype
000000027ed77d60 (__TEXT,__text) non-external __trace_inouttype
000000027ed773c0 (__TEXT,__text) non-external __trace_integer
000000027ed77560 (__TEXT,__text) non-external __trace_integer_p
000000027ed77694 (__TEXT,__text) non-external __trace_len
000000027ed776fc (__TEXT,__text) non-external __trace_len_p
000000027ed77430 (__TEXT,__text) non-external __trace_pointer
000000027ed77044 (__TEXT,__text) non-external __trace_print_function
000000027ed71dd0 (__TEXT,__text) non-external __trace_scrollopt_type
000000027ed71af4 (__TEXT,__text) non-external __trace_setpos_irow
000000027ed71b84 (__TEXT,__text) non-external __trace_setpos_lock
000000027ed71b2c (__TEXT,__text) non-external __trace_setpos_oper
000000027ed77350 (__TEXT,__text) non-external __trace_smallint
000000027ed77478 (__TEXT,__text) non-external __trace_smallint_p
000000027ed7172c (__TEXT,__text) non-external __trace_spcols_null
000000027ed716d4 (__TEXT,__text) non-external __trace_spcols_scope
000000027ed71674 (__TEXT,__text) non-external __trace_spcols_type
000000027ed782b4 (__TEXT,__text) non-external __trace_sql_subtype
000000027ed77dc8 (__TEXT,__text) non-external __trace_sql_type
000000027ed77ff0 (__TEXT,__text) non-external __trace_sql_type_p
000000027ed7aee4 (__TEXT,__text) non-external __trace_stats_accuracy
000000027ed7ae84 (__TEXT,__text) non-external __trace_stats_unique
000000027ed78aa8 (__TEXT,__text) non-external __trace_stmtattr_type
000000027ed79404 (__TEXT,__text) non-external __trace_stmtopt_type
000000027ed777e4 (__TEXT,__text) non-external __trace_string
000000027ed778c8 (__TEXT,__text) non-external __trace_string_w
000000027ed77648 (__TEXT,__text) non-external __trace_stringlen
000000029221a218 (__DATA_CONST,__const) non-external __trace_sym_handletype
000000027ed7a224 (__TEXT,__text) non-external __trace_tran_completion
000000027ed7a568 (__TEXT,__text) non-external __trace_typeinfo
000000027ed773f8 (__TEXT,__text) non-external __trace_uinteger
000000027ed775d4 (__TEXT,__text) non-external __trace_uinteger_p
000000027ed776c8 (__TEXT,__text) non-external __trace_ulen
000000027ed77770 (__TEXT,__text) non-external __trace_ulen_p
000000027ed77388 (__TEXT,__text) non-external __trace_usmallint
000000027ed774ec (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _close (from libSystem)
000000029831474a (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000027ed7c268 (__TEXT,__text) non-external _dm_SQL_A2W
000000027ed7c7f0 (__TEXT,__text) non-external _dm_SQL_U8toW
000000027ed7c1dc (__TEXT,__text) non-external _dm_SQL_W2A
000000027ed7c534 (__TEXT,__text) non-external _dm_SQL_WtoU8
000000027ed7c2f4 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
000000027ed7ca28 (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
000000027ed7c3b8 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000027ed7c47c (__TEXT,__text) non-external _dm_strcpy_A2W
000000027ed7c4d8 (__TEXT,__text) non-external _dm_strcpy_W2A
000000027ed7def0 (__TEXT,__text) non-external _do_create_dsns
0000000298314708 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00000002983146e8 (__DATA,__common) non-external _ierror
000000027ed7e044 (__TEXT,__text) non-external _install_from_ini
000000027ed7e51c (__TEXT,__text) non-external _install_from_string
0000000298314150 (__DATA,__data) external _iodbc_version
0000000298314628 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
0000000298314670 (__DATA,__data) non-external _numerrors
0000000298314158 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
0000000298314678 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
000000027ed7e718 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00000002922184a8 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00000002983146b8 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
000000027ed73800 (__TEXT,__text) non-external _trace_SQLAllocConnect
000000027ed78620 (__TEXT,__text) non-external _trace_SQLAllocEnv
000000027ed744c0 (__TEXT,__text) non-external _trace_SQLAllocHandle
000000027ed761c8 (__TEXT,__text) non-external _trace_SQLAllocStmt
000000027ed74410 (__TEXT,__text) non-external _trace_SQLBindCol
000000027ed7508c (__TEXT,__text) non-external _trace_SQLBindParameter
000000027ed78470 (__TEXT,__text) non-external _trace_SQLBrowseConnect
000000027ed78548 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
000000027ed715d8 (__TEXT,__text) non-external _trace_SQLBulkOperations
000000027ed79a8c (__TEXT,__text) non-external _trace_SQLCancel
000000027ed76284 (__TEXT,__text) non-external _trace_SQLCloseCursor
000000027ed74960 (__TEXT,__text) non-external _trace_SQLColAttribute
000000027ed74de0 (__TEXT,__text) non-external _trace_SQLColAttributeW
000000027ed74ea0 (__TEXT,__text) non-external _trace_SQLColAttributes
000000027ed74f6c (__TEXT,__text) non-external _trace_SQLColAttributesW
000000027ed79584 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000027ed796a0 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000027ed738f8 (__TEXT,__text) non-external _trace_SQLColumns
000000027ed73a14 (__TEXT,__text) non-external _trace_SQLColumnsW
000000027ed78e74 (__TEXT,__text) non-external _trace_SQLConnect
000000027ed78f60 (__TEXT,__text) non-external _trace_SQLConnectW
000000027ed71c6c (__TEXT,__text) non-external _trace_SQLCopyDesc
000000027ed76354 (__TEXT,__text) non-external _trace_SQLDataSources
000000027ed76454 (__TEXT,__text) non-external _trace_SQLDataSourcesW
000000027ed70ab0 (__TEXT,__text) non-external _trace_SQLDescribeCol
000000027ed70bbc (__TEXT,__text) non-external _trace_SQLDescribeColW
000000027ed794c4 (__TEXT,__text) non-external _trace_SQLDescribeParam
000000027ed7623c (__TEXT,__text) non-external _trace_SQLDisconnect
000000027ed7a838 (__TEXT,__text) non-external _trace_SQLDriverConnect
000000027ed7aaa0 (__TEXT,__text) non-external _trace_SQLDriverConnectW
000000027ed7535c (__TEXT,__text) non-external _trace_SQLDrivers
000000027ed7545c (__TEXT,__text) non-external _trace_SQLDriversW
000000027ed73798 (__TEXT,__text) non-external _trace_SQLEndTran
000000027ed70f38 (__TEXT,__text) non-external _trace_SQLError
000000027ed71038 (__TEXT,__text) non-external _trace_SQLErrorW
000000027ed75f64 (__TEXT,__text) non-external _trace_SQLExecDirect
000000027ed75fe8 (__TEXT,__text) non-external _trace_SQLExecDirectW
000000027ed7162c (__TEXT,__text) non-external _trace_SQLExecute
000000027ed71d28 (__TEXT,__text) non-external _trace_SQLExtendedFetch
000000027ed7665c (__TEXT,__text) non-external _trace_SQLFetch
000000027ed78684 (__TEXT,__text) non-external _trace_SQLFetchScroll
000000027ed7904c (__TEXT,__text) non-external _trace_SQLForeignKeys
000000027ed791cc (__TEXT,__text) non-external _trace_SQLForeignKeysW
000000027ed793bc (__TEXT,__text) non-external _trace_SQLFreeConnect
000000027ed71aac (__TEXT,__text) non-external _trace_SQLFreeEnv
000000027ed73744 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000027ed7b27c (__TEXT,__text) non-external _trace_SQLFreeStmt
000000027ed708d4 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
000000027ed70978 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
000000027ed78908 (__TEXT,__text) non-external _trace_SQLGetConnectOption
000000027ed78970 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
000000027ed74548 (__TEXT,__text) non-external _trace_SQLGetCursorName
000000027ed745ec (__TEXT,__text) non-external _trace_SQLGetCursorNameW
000000027ed7a118 (__TEXT,__text) non-external _trace_SQLGetData
000000027ed742b0 (__TEXT,__text) non-external _trace_SQLGetDescField
000000027ed74360 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
000000027ed70cc8 (__TEXT,__text) non-external _trace_SQLGetDescRec
000000027ed70e00 (__TEXT,__text) non-external _trace_SQLGetDescRecW
000000027ed79918 (__TEXT,__text) non-external _trace_SQLGetDiagField
000000027ed799dc (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
000000027ed71248 (__TEXT,__text) non-external _trace_SQLGetDiagRec
000000027ed71340 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
000000027ed714c4 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
000000027ed75eec (__TEXT,__text) non-external _trace_SQLGetFunctions
000000027ed71ea8 (__TEXT,__text) non-external _trace_SQLGetInfo
000000027ed733f4 (__TEXT,__text) non-external _trace_SQLGetInfoW
000000027ed78d40 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
000000027ed78de4 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
000000027ed7945c (__TEXT,__text) non-external _trace_SQLGetStmtOption
000000027ed7a790 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000027ed7a7e4 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
000000027ed7a1dc (__TEXT,__text) non-external _trace_SQLMoreResults
000000027ed73d78 (__TEXT,__text) non-external _trace_SQLNativeSql
000000027ed73e64 (__TEXT,__text) non-external _trace_SQLNativeSqlW
000000027ed73b30 (__TEXT,__text) non-external _trace_SQLNumParams
000000027ed7934c (__TEXT,__text) non-external _trace_SQLNumResultCols
000000027ed75038 (__TEXT,__text) non-external _trace_SQLParamData
000000027ed73874 (__TEXT,__text) non-external _trace_SQLParamOptions
000000027ed7b2d0 (__TEXT,__text) non-external _trace_SQLPrepare
000000027ed7b354 (__TEXT,__text) non-external _trace_SQLPrepareW
000000027ed7555c (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000027ed75648 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
000000027ed734a4 (__TEXT,__text) non-external _trace_SQLProcedureColumns
000000027ed735c0 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000027ed75184 (__TEXT,__text) non-external _trace_SQLProcedures
000000027ed75270 (__TEXT,__text) non-external _trace_SQLProceduresW
000000027ed79ad4 (__TEXT,__text) non-external _trace_SQLPutData
000000027ed71568 (__TEXT,__text) non-external _trace_SQLRowCount
000000027ed7ad9c (__TEXT,__text) non-external _trace_SQLSetConnectAttr
000000027ed7ae10 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
000000027ed789d8 (__TEXT,__text) non-external _trace_SQLSetConnectOption
000000027ed78a40 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
000000027ed76554 (__TEXT,__text) non-external _trace_SQLSetCursorName
000000027ed765d8 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
000000027ed71138 (__TEXT,__text) non-external _trace_SQLSetDescField
000000027ed711c0 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000027ed75734 (__TEXT,__text) non-external _trace_SQLSetDescRec
000000027ed7606c (__TEXT,__text) non-external _trace_SQLSetEnvAttr
000000027ed71bdc (__TEXT,__text) non-external _trace_SQLSetPos
000000027ed71e34 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
000000027ed760e0 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000027ed76154 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
000000027ed736dc (__TEXT,__text) non-external _trace_SQLSetStmtOption
000000027ed7178c (__TEXT,__text) non-external _trace_SQLSpecialColumns
000000027ed7191c (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
000000027ed7af44 (__TEXT,__text) non-external _trace_SQLStatistics
000000027ed7b0b4 (__TEXT,__text) non-external _trace_SQLStatisticsW
000000027ed73ba0 (__TEXT,__text) non-external _trace_SQLTablePrivileges
000000027ed73c8c (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
000000027ed7a330 (__TEXT,__text) non-external _trace_SQLTables
000000027ed7a44c (__TEXT,__text) non-external _trace_SQLTablesW
000000027ed7a288 (__TEXT,__text) non-external _trace_SQLTransact
00000002983146a8 (__DATA,__bss) non-external _trace_appname
000000027ed76c18 (__TEXT,__text) non-external _trace_emit
000000027ed76e94 (__TEXT,__text) non-external _trace_emit_binary
000000027ed76c80 (__TEXT,__text) non-external _trace_emit_string
000000027ed76c64 (__TEXT,__text) non-external _trace_emitc
00000002983146b0 (__DATA,__bss) non-external _trace_fname
00000002983146c8 (__DATA,__bss) non-external _trace_fp
00000002983146d0 (__DATA,__bss) non-external _trace_fp_close
000000027ed766e0 (__TEXT,__text) non-external _trace_get_filename
000000027ed766a4 (__TEXT,__text) non-external _trace_set_appname
000000027ed766ec (__TEXT,__text) non-external _trace_set_filename
000000027ed769c0 (__TEXT,__text) non-external _trace_start
000000027ed76b64 (__TEXT,__text) non-external _trace_stop
000000027ed76948 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
000000027ed7c9ac (__TEXT,__text) non-external _utf8_len
000000027ed7cacc (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
0000000298314748 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
