00007ffd419f6408 (__DATA,__bss) non-external _A
00007ffd04aa6af7 (__TEXT,__text) external _cmark_strbuf_len
00007ffd04aa6f2c (__TEXT,__text) external _cmark_strbuf_normalize_whitespace
00007ffd04aa6c33 (__TEXT,__text) external _cmark_strbuf_put
00007ffd04aa6bfa (__TEXT,__text) external _cmark_strbuf_putc
00007ffd04aa6c87 (__TEXT,__text) external _cmark_strbuf_puts
00007ffd04aa6e8f (__TEXT,__text) external _cmark_strbuf_rtrim
00007ffd04aa6b50 (__TEXT,__text) external _cmark_strbuf_set
00007ffd04aa6bca (__TEXT,__text) external _cmark_strbuf_sets
00007ffd04aa6da9 (__TEXT,__text) external _cmark_strbuf_strchr
00007ffd04aa6de9 (__TEXT,__text) external _cmark_strbuf_strrchr
00007ffd04aa6d00 (__TEXT,__text) external _cmark_strbuf_swap
00007ffd04aa6ed7 (__TEXT,__text) external _cmark_strbuf_trim
00007ffd04aa6e28 (__TEXT,__text) external _cmark_strbuf_truncate
00007ffd04aa6fc3 (__TEXT,__text) external _cmark_strbuf_unescape
00007ffd04a99392 (__TEXT,__text) external _cmark_syntax_extension_add_node
00007ffd04ab2273 (__TEXT,__text) non-external _cmark_syntax_extension_add_node.cold.1
00007ffd04a992f8 (__TEXT,__text) external _cmark_syntax_extension_free
00007ffd04a9948d (__TEXT,__text) external _cmark_syntax_extension_get_private
00007ffd04a9933d (__TEXT,__text) external _cmark_syntax_extension_new
00007ffd04a9940f (__TEXT,__text) external _cmark_syntax_extension_set_can_contain_func
00007ffd04a994b1 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_escape_func
00007ffd04a99423 (__TEXT,__text) external _cmark_syntax_extension_set_commonmark_render_func
00007ffd04a99419 (__TEXT,__text) external _cmark_syntax_extension_set_contains_inlines_func
00007ffd04a993c7 (__TEXT,__text) external _cmark_syntax_extension_set_emphasis
00007ffd04a99405 (__TEXT,__text) external _cmark_syntax_extension_set_get_type_string_func
00007ffd04a99465 (__TEXT,__text) external _cmark_syntax_extension_set_html_filter_func
00007ffd04a99458 (__TEXT,__text) external _cmark_syntax_extension_set_html_render_func
00007ffd04a993f1 (__TEXT,__text) external _cmark_syntax_extension_set_inline_from_delim_func
00007ffd04a99437 (__TEXT,__text) external _cmark_syntax_extension_set_latex_render_func
00007ffd04a9944b (__TEXT,__text) external _cmark_syntax_extension_set_man_render_func
00007ffd04a993de (__TEXT,__text) external _cmark_syntax_extension_set_match_block_func
00007ffd04a993e7 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
00007ffd04a99497 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
00007ffd04a994a4 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
00007ffd04a993d4 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
00007ffd04a9942d (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
00007ffd04a99472 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
00007ffd04a9947f (__TEXT,__text) external _cmark_syntax_extension_set_private
00007ffd04a993fb (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
00007ffd04a99441 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
00007ffd04aa6734 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
00007ffd04a8e299 (__TEXT,__text) external _cmark_utf8proc_case_fold
00007ffd04a8de50 (__TEXT,__text) external _cmark_utf8proc_check
00007ffd04a8e194 (__TEXT,__text) external _cmark_utf8proc_encode_char
00007ffd04ab2197 (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
00007ffd04a95d7a (__TEXT,__text) external _cmark_utf8proc_is_punctuation
00007ffd04a95d20 (__TEXT,__text) external _cmark_utf8proc_is_space
00007ffd04a8e053 (__TEXT,__text) external _cmark_utf8proc_iterate
00007ffd04a975c3 (__TEXT,__text) external _cmark_version
00007ffd04a975ce (__TEXT,__text) external _cmark_version_string
00007ffd04a98b31 (__TEXT,__text) non-external _commonmark_render
00007ffd04a9b5a9 (__TEXT,__text) non-external _commonmark_render
00007ffd04ab09d6 (__TEXT,__text) non-external _commonmark_render
00007ffd04ab2c27 (__TEXT,__text) non-external _commonmark_render.cold.1
00007ffd04ab09c1 (__TEXT,__text) non-external _contains_inlines
00007ffd04aa6786 (__TEXT,__text) non-external _core_extensions_registration
00007ffd04a994be (__TEXT,__text) non-external (was a private external) _create_autolink_extension
00007ffd04a9b486 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
00007ffd04aafe88 (__TEXT,__text) non-external (was a private external) _create_table_extension
00007ffd04ab2057 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
00007ffd04a98973 (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
00007ffd419f6278 (__DATA,__bss) non-external _enable_safety_checks
00007ffd04ab2ed0 (__TEXT,__const) non-external _encode_unknown.repl
00007ffd04ab1654 (__TEXT,__text) non-external _escape
00007ffd419f61f0 (__DATA,__bss) non-external _extensions_lock
00007ffd419f6070 (__DATA,__data) non-external _extensions_once
00007ffd04ab2085 (__TEXT,__text) non-external _filter
00007ffd04aa91a1 (__TEXT,__text) non-external _finalize
00007ffd04ab24e7 (__TEXT,__text) non-external _finalize.cold.1
00007ffd04ab250a (__TEXT,__text) non-external _finalize.cold.2
00007ffd04aa66f8 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffd04aa9b2f (__TEXT,__text) non-external _free_node_as
00007ffd04ab1c92 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
00007ffd04a9c7f7 (__TEXT,__text) non-external _get_link_type
00007ffd04a98a6c (__TEXT,__text) non-external _get_type_string
00007ffd04a9b568 (__TEXT,__text) non-external _get_type_string
00007ffd04ab08f9 (__TEXT,__text) non-external _get_type_string
00007ffd04aaf418 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
00007ffd04ab5ab0 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00007ffd04a975ae (__TEXT,__text) non-external (was a private external) _houdini_escape_html
00007ffd04a974d0 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
00007ffd04aaf513 (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
00007ffd04aaf77f (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
00007ffd04aaf86f (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
00007ffd04a98ba1 (__TEXT,__text) non-external _html_render
00007ffd04a9b64e (__TEXT,__text) non-external _html_render
00007ffd04ab0fdf (__TEXT,__text) non-external _html_render
00007ffd04ab2c90 (__TEXT,__text) non-external _html_render.cold.1
00007ffd04ab1cf9 (__TEXT,__text) non-external _html_table_add_align
00007ffd04ab200e (__TEXT,__text) non-external _init_arena
00007ffd04ab1ffb (__TEXT,__text) non-external _initialize_arena
00007ffd04a9a5cc (__TEXT,__text) non-external _initialize_extensions
00007ffd04aaaf0f (__TEXT,__text) non-external _initialize_nextflag
00007ffd04aaaefc (__TEXT,__text) non-external _initialize_safety
00007ffd04a9b7d4 (__TEXT,__text) non-external _insert
00007ffd04a9a343 (__TEXT,__text) non-external _is_valid_hostchar
00007ffd04a9b5ca (__TEXT,__text) non-external _latex_render
00007ffd04ab0bfc (__TEXT,__text) non-external _latex_render
00007ffd04ab2c4a (__TEXT,__text) non-external _latex_render.cold.1
00007ffd04aae113 (__TEXT,__text) non-external _link_label
00007ffd04ab2990 (__TEXT,__text) non-external _link_label.cold.1
00007ffd04ab29b3 (__TEXT,__text) non-external _link_label.cold.2
00007ffd04ab29d6 (__TEXT,__text) non-external _link_label.cold.3
00007ffd04ab29f9 (__TEXT,__text) non-external _link_label.cold.4
00007ffd04ab2a1c (__TEXT,__text) non-external _link_label.cold.5
00007ffd04aaebdd (__TEXT,__text) non-external _make_autolink
00007ffd04ab2be1 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
00007ffd04a9b5f9 (__TEXT,__text) non-external _man_render
00007ffd04ab0e72 (__TEXT,__text) non-external _man_render
00007ffd04ab2c6d (__TEXT,__text) non-external _man_render.cold.1
00007ffd04aae3b9 (__TEXT,__text) non-external _manual_scan_link_url
00007ffd04a9952c (__TEXT,__text) non-external _match
00007ffd04a9b691 (__TEXT,__text) non-external _match
00007ffd04a98a08 (__TEXT,__text) non-external _matches
00007ffd04aaffaa (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffd419f6280 (__DATA,__bss) non-external _nextflag_lock
00007ffd419f60a0 (__DATA,__data) non-external _nextflag_once
00007ffd04aa67eb (__TEXT,__text) non-external (was a private external) _normalize_map_label
00007ffd04ab2341 (__TEXT,__text) non-external _normalize_map_label.cold.1
00007ffd04ab15b5 (__TEXT,__text) non-external _opaque_alloc
00007ffd04ab1601 (__TEXT,__text) non-external _opaque_free
00007ffd04a98a79 (__TEXT,__text) non-external _open_tasklist_item
00007ffd04a9653b (__TEXT,__text) non-external _outc
00007ffd04a9bdea (__TEXT,__text) non-external _outc
00007ffd04aaf903 (__TEXT,__text) non-external _outc
00007ffd04a9b670 (__TEXT,__text) non-external _plaintext_render
00007ffd04a999ce (__TEXT,__text) non-external _postprocess
00007ffd04ab2294 (__TEXT,__text) non-external _postprocess.cold.1
00007ffd04ab22b7 (__TEXT,__text) non-external _postprocess.cold.2
00007ffd04aad820 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
00007ffd04aaeaf9 (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
00007ffd04aa6a41 (__TEXT,__text) non-external _refcmp
00007ffd04aa71b4 (__TEXT,__text) non-external _reference_free
00007ffd04aa69bc (__TEXT,__text) non-external _refsearch
00007ffd04aa6775 (__TEXT,__text) non-external _register_plugins
00007ffd419f6080 (__DATA,__data) non-external _registered_once
00007ffd04ab2ee0 (__TEXT,__const) non-external _reltable.houdini_escape_html0
00007ffd04aaddcd (__TEXT,__text) non-external _remove_delimiter
00007ffd04ab2878 (__TEXT,__text) non-external _remove_delimiter.cold.1
00007ffd04aa9554 (__TEXT,__text) non-external _resolve_reference_link_definitions
00007ffd04ab1859 (__TEXT,__text) non-external _row_from_string
00007ffd419f6238 (__DATA,__bss) non-external _safety_lock
00007ffd419f6090 (__DATA,__data) non-external _safety_once
00007ffd403f0660 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00007ffd04aa96b7 (__TEXT,__text) non-external _sort_footnote_by_ix
00007ffd04aae2dc (__TEXT,__text) non-external _spnl
00007ffd04ab2a3d (__TEXT,__text) non-external _spnl.cold.1
00007ffd04ab2a60 (__TEXT,__text) non-external _spnl.cold.2
00007ffd04ab2a83 (__TEXT,__text) non-external _spnl.cold.3
00007ffd04ab2aa6 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
00007ffd419f6230 (__DATA,__bss) non-external _syntax_extensions
00007ffd04ab0039 (__TEXT,__text) non-external _try_opening_table_block
00007ffd04ab1bee (__TEXT,__text) non-external _unescape_pipes
00007ffd04ab2dd0 (__TEXT,__const) non-external _utf8proc_utf8class
00007ffd04a9a37c (__TEXT,__text) non-external _validate_protocol
00007ffd04a975db (__TEXT,__text) non-external _xcalloc
00007ffd04ab21df (__TEXT,__text) non-external _xcalloc.cold.1
00007ffd04a97617 (__TEXT,__text) non-external _xfree
00007ffd04a98cee (__TEXT,__text) non-external _xml_attr
00007ffd04ab0d93 (__TEXT,__text) non-external _xml_attr
00007ffd04a975f9 (__TEXT,__text) non-external _xrealloc
00007ffd04ab2204 (__TEXT,__text) non-external _xrealloc.cold.1
