00007ffa42c6f970 (__DATA,__bss) non-external _SVC_REQ_KEY
00007ffa42c6f778 (__DATA,__data) non-external _kq_control_fd
                 (undefined) external _kqueue (from libSystem)
                 (undefined) external _listen (from libSystem)
                 (undefined) external _lseek (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
00007ffa0fff420c (__TEXT,__text) non-external _makefd_xprt
00007ffa0fffeed5 (__TEXT,__text) non-external _makefd_xprt.cold.1
00007ffa0fffef83 (__TEXT,__text) non-external _makefd_xprt.cold.2
00007ffa0ffff031 (__TEXT,__text) non-external _makefd_xprt.cold.3
00007ffa0ffff0df (__TEXT,__text) non-external _makefd_xprt.cold.4
00007ffa0ffff17a (__TEXT,__text) non-external _makefd_xprt.cold.5
                 (undefined) external _malloc (from libSystem)
00007ffa0ffed18b (__TEXT,__text) non-external _marshal_new_auth
00007ffa0fffcb4e (__TEXT,__text) non-external _marshal_new_auth.cold.1
00007ffa42c6f400 (__DATA,__data) non-external _maxgrplist
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mkstemps (from libSystem)
00007ffa40ad5930 (__DATA_CONST,__const) non-external _nc_tab
00007ffa40ad5840 (__DATA_CONST,__const) non-external _netids
00007ffa10001660 (__TEXT,__const) external _oncrpcVersionNumber
00007ffa10001630 (__TEXT,__const) external _oncrpcVersionString
00007ffa42c6f768 (__DATA,__data) non-external _oncrpc_xprt_init
                 (undefined) external _open (from libSystem)
00007ffa0fff9298 (__TEXT,__text) non-external (was a private external) _open_socket
00007ffa42c6f3b0 (__DATA,__data) non-external _ops
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _pipe (from libSystem)
00007ffa42c6f4d0 (__DATA,__data) non-external _pmap_addrs
00007ffa0fff1d0d (__TEXT,__text) non-external _pmap_bcastrecv
00007ffa0fff0f99 (__TEXT,__text) non-external (was a private external) _pmap_getport_timeout
00007ffa0fff1a45 (__TEXT,__text) non-external _pmap_mcastrecv
                 (undefined) external _poll (from libSystem)
00007ffa42c6f6b8 (__DATA,__data) non-external _poll_timeout
00007ffa42c6f8d0 (__DATA,__data) non-external (was a private external) _portmap_netid
00007ffa42c6f960 (__DATA,__bss) non-external _proglst
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_set_qos_class_np (from libSystem)
                 (undefined) external _pthread_attr_setdetachstate (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait_relative_np (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_exit (from libSystem)
                 (undefined) external _pthread_getspecific (from libSystem)
                 (undefined) external _pthread_getugid_np (from libSystem)
                 (undefined) external _pthread_key_create (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_destroy (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _pthread_rwlock_init (from libSystem)
                 (undefined) external _pthread_rwlock_rdlock (from libSystem)
                 (undefined) external _pthread_rwlock_unlock (from libSystem)
                 (undefined) external _pthread_rwlock_wrlock (from libSystem)
                 (undefined) external _pthread_set_qos_class_self_np (from libSystem)
                 (undefined) external _pthread_setspecific (from libSystem)
                 (undefined) external _pthread_setugid_np (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffa0ffef9d8 (__TEXT,__text) non-external _readstrm
00007ffa0fff46ad (__TEXT,__text) non-external _readstrm
00007ffa0ffff384 (__TEXT,__text) non-external _readstrm.cold.1
00007ffa0ffff432 (__TEXT,__text) non-external _readstrm.cold.2
                 (undefined) external _realloc (from libSystem)
00007ffa0fff813c (__TEXT,__text) non-external _realloc_stream
                 (undefined) external _reallocf (from libSystem)
                 (undefined) external _recvfrom (from libSystem)
00007ffa0fff932d (__TEXT,__text) non-external (was a private external) _recvfrom_and_to
00007ffa100011ac (__TEXT,__text) non-external _recvfrom_and_to.cold.1
                 (undefined) external _recvmsg (from libSystem)
00007ffa0fff4616 (__TEXT,__text) non-external _rendezvous_abort_freeargs
00007ffa0fff4606 (__TEXT,__text) non-external _rendezvous_abort_getargs
00007ffa0fff460e (__TEXT,__text) non-external _rendezvous_abort_reply
00007ffa0fff461e (__TEXT,__text) non-external _rendezvous_destroy
00007ffa0fff4471 (__TEXT,__text) non-external _rendezvous_request
00007ffa0ffff228 (__TEXT,__text) non-external _rendezvous_request.cold.1
00007ffa0fff45fb (__TEXT,__text) non-external _rendezvous_stat
00007ffa0ffed981 (__TEXT,__text) external _reply_addr_cache_create
00007ffa0ffed9d9 (__TEXT,__text) external _reply_addr_cache_destroy
00007ffa42c6f510 (__DATA,__data) non-external _reply_dscrm
00007ffa0fffa127 (__TEXT,__text) non-external _reset_if_addr_cache
00007ffa0ffeed1b (__TEXT,__text) non-external _rpc_createerr_destroy
00007ffa42c6f930 (__DATA,__bss) non-external _rpc_createerr_key
00007ffa42c6f408 (__DATA,__data) non-external _rpc_createerr_once
00007ffa40ad5560 (__DATA_CONST,__const) non-external _rpc_errlist
00007ffa42c6f4e8 (__DATA,__data) non-external _rpc_multicast
00007ffa42c6f4c0 (__DATA,__data) non-external _rpcb_addrs
00007ffa0fff17e7 (__TEXT,__text) non-external _rpcb_mcastrecv
00007ffa0fffbdf2 (__TEXT,__text) non-external _rpcbind_getaddr_generic
00007ffa0fff957a (__TEXT,__text) non-external _search_local_ifaddr_cache
                 (undefined) external _sendto (from libSystem)
00007ffa42c6f540 (__DATA,__data) non-external _server_ops
00007ffa0fff7e56 (__TEXT,__text) non-external _set_input_fragment
00007ffa0fff9feb (__TEXT,__text) non-external (was a private external) _set_local_ephemeral_sockname
00007ffa42c6f870 (__DATA,__data) non-external _set_retry_timeout
00007ffa42c6f8d8 (__DATA,__data) non-external _set_retry_timeout
00007ffa42c6f880 (__DATA,__data) non-external _set_total_timeout
00007ffa42c6f8e8 (__DATA,__data) non-external _set_total_timeout
                 (undefined) external _setsockopt (from libSystem)
00007ffa0fff7df9 (__TEXT,__text) non-external _skip_input_bytes
                 (undefined) external _sleep (from libSystem)
00007ffa0ffeec1a (__TEXT,__text) non-external _slprintf
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _socket (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror_r (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
00007ffa42c6f458 (__DATA,__data) non-external _strm_ops
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strtol (from libSystem)
00007ffa42c6f948 (__DATA,__bss) non-external _svc_active_threads
00007ffa0fff5cb6 (__TEXT,__text) non-external (was a private external) _svc_armxprt
00007ffa10000410 (__TEXT,__text) non-external _svc_armxprt.cold.1
00007ffa100004be (__TEXT,__text) non-external _svc_armxprt.cold.2
00007ffa10000547 (__TEXT,__text) non-external _svc_armxprt.cold.3
00007ffa0fff5e54 (__TEXT,__text) non-external (was a private external) _svc_clear_kq_control
00007ffa0fff36cd (__TEXT,__text) non-external _svc_complete
00007ffa42c6fa94 (__DATA,__common) non-external (was a private external) _svc_cred_switch
00007ffa42c6f5c8 (__DATA,__data) non-external _svc_exit_cond
00007ffa42c6f94c (__DATA,__bss) non-external _svc_exit_flag
00007ffa0fff6220 (__TEXT,__text) non-external (was a private external) _svc_get_thread_req
00007ffa42c6f968 (__DATA,__bss) non-external _svc_head
00007ffa0fff5e48 (__TEXT,__text) non-external (was a private external) _svc_kq_control
00007ffa42c6f6c8 (__DATA,__data) non-external (was a private external) _svc_listen_backlog
00007ffa42c6f570 (__DATA,__data) non-external (was a private external) _svc_max_threads
00007ffa42c6f574 (__DATA,__data) non-external (was a private external) _svc_min_threads
00007ffa42c6f578 (__DATA,__data) non-external (was a private external) _svc_nreq
00007ffa0fff5b8c (__TEXT,__text) non-external _svc_oncrpc_start
00007ffa10000206 (__TEXT,__text) non-external _svc_oncrpc_start.cold.1
00007ffa100002b4 (__TEXT,__text) non-external _svc_oncrpc_start.cold.2
00007ffa10000362 (__TEXT,__text) non-external _svc_oncrpc_start.cold.3
00007ffa42c6f688 (__DATA,__data) non-external _svc_poll_cond
00007ffa42c6f648 (__DATA,__data) non-external _svc_poll_lock
00007ffa42c6f950 (__DATA,__bss) non-external _svc_polling
00007ffa0fff5eda (__TEXT,__text) non-external (was a private external) _svc_rearmxprt
00007ffa10000744 (__TEXT,__text) non-external _svc_rearmxprt.cold.1
00007ffa100007e5 (__TEXT,__text) non-external _svc_rearmxprt.cold.2
00007ffa10000893 (__TEXT,__text) non-external _svc_rearmxprt.cold.3
00007ffa42c6f780 (__DATA,__data) non-external _svc_register_lock
00007ffa0fff6257 (__TEXT,__text) external _svc_req_clone
00007ffa0fff63a6 (__TEXT,__text) external _svc_req_destroy
00007ffa0fff5db5 (__TEXT,__text) non-external (was a private external) _svc_rmxprt
00007ffa100005e8 (__TEXT,__text) non-external _svc_rmxprt.cold.1
00007ffa42c6f580 (__DATA,__data) non-external (was a private external) _svc_stack_size
00007ffa0fff2f56 (__TEXT,__text) non-external _svc_start_threads
00007ffa0fff2f03 (__TEXT,__text) non-external _svc_thread
00007ffa42c6f588 (__DATA,__data) non-external _svc_thread_lock
00007ffa42c6fa88 (__DATA,__common) non-external (was a private external) _svc_thread_qos_class
00007ffa42c6fa8c (__DATA,__common) non-external (was a private external) _svc_thread_relative_priority
00007ffa0fff601d (__TEXT,__text) non-external (was a private external) _svc_unarmxprt
00007ffa10000934 (__TEXT,__text) non-external _svc_unarmxprt.cold.1
00007ffa100009bd (__TEXT,__text) non-external _svc_unarmxprt.cold.2
00007ffa42c6f5f8 (__DATA,__data) non-external _svc_workq_lock
00007ffa0fff57e7 (__TEXT,__text) non-external (was a private external) _svc_xprt_create
00007ffa100000aa (__TEXT,__text) non-external _svc_xprt_create.cold.1
00007ffa10000158 (__TEXT,__text) non-external _svc_xprt_create.cold.2
00007ffa0fff5a2e (__TEXT,__text) non-external (was a private external) _svc_xprt_destroy
00007ffa40ad5700 (__DATA_CONST,__const) non-external _svcauthsw
00007ffa0fff2e40 (__TEXT,__text) non-external _svcraw_destroy
00007ffa0fff2e38 (__TEXT,__text) non-external _svcraw_freeargs
00007ffa0fff2e28 (__TEXT,__text) non-external _svcraw_getargs
00007ffa0fff2e15 (__TEXT,__text) non-external _svcraw_recv
00007ffa0fff2e30 (__TEXT,__text) non-external _svcraw_reply
00007ffa0fff2e1d (__TEXT,__text) non-external _svcraw_stat
00007ffa0fff4657 (__TEXT,__text) non-external _svcstrm_destroy
00007ffa0ffff2d6 (__TEXT,__text) non-external _svcstrm_destroy.cold.1
00007ffa0fff3d02 (__TEXT,__text) non-external _svcstrm_domain_create
00007ffa0fffe6e9 (__TEXT,__text) non-external _svcstrm_domain_create.cold.1
00007ffa0fffe797 (__TEXT,__text) non-external _svcstrm_domain_create.cold.2
00007ffa0fffe845 (__TEXT,__text) non-external _svcstrm_domain_create.cold.3
00007ffa0fff4ce9 (__TEXT,__text) non-external _svcstrm_freeargs
00007ffa0fff4b9d (__TEXT,__text) non-external _svcstrm_getargs
00007ffa42c6f700 (__DATA,__data) non-external _svcstrm_op
00007ffa0fff49d0 (__TEXT,__text) non-external _svcstrm_recv
00007ffa0ffff57b (__TEXT,__text) non-external _svcstrm_recv.cold.1
00007ffa0ffff616 (__TEXT,__text) non-external _svcstrm_recv.cold.2
00007ffa0ffff6c4 (__TEXT,__text) non-external _svcstrm_recv.cold.3
00007ffa42c6f6d0 (__DATA,__data) non-external _svcstrm_rendezvous_op
00007ffa0fff4c35 (__TEXT,__text) non-external _svcstrm_reply
00007ffa0ffff75f (__TEXT,__text) non-external _svcstrm_reply.cold.1
00007ffa0fff4b41 (__TEXT,__text) non-external _svcstrm_stat
00007ffa0fff3ec1 (__TEXT,__text) external _svcticots_create
00007ffa0fff3ecb (__TEXT,__text) external _svcticotsord_create
00007ffa0fffe8f3 (__TEXT,__text) non-external _svcticotsord_create.cold.1
00007ffa0fffe9a1 (__TEXT,__text) non-external _svcticotsord_create.cold.2
00007ffa0fffea4f (__TEXT,__text) non-external _svcticotsord_create.cold.3
00007ffa0fffeae3 (__TEXT,__text) non-external _svcticotsord_create.cold.4
00007ffa0fffeb82 (__TEXT,__text) non-external _svcticotsord_create.cold.5
00007ffa0fffec1d (__TEXT,__text) non-external _svcticotsord_create.cold.6
00007ffa0fffeccb (__TEXT,__text) non-external _svcticotsord_create.cold.7
00007ffa0fffed79 (__TEXT,__text) non-external _svcticotsord_create.cold.8
00007ffa0fffee27 (__TEXT,__text) non-external _svcticotsord_create.cold.9
00007ffa0fff5789 (__TEXT,__text) non-external _svcudp_destroy
00007ffa0ffffffc (__TEXT,__text) non-external _svcudp_destroy.cold.1
00007ffa0fff575b (__TEXT,__text) non-external _svcudp_freeargs
00007ffa0fff53a1 (__TEXT,__text) non-external _svcudp_getargs
00007ffa42c6f730 (__DATA,__data) non-external _svcudp_op
00007ffa0fff5077 (__TEXT,__text) non-external _svcudp_recv
00007ffa0ffffc21 (__TEXT,__text) non-external _svcudp_recv.cold.1
00007ffa0ffffccf (__TEXT,__text) non-external _svcudp_recv.cold.2
00007ffa0fff541f (__TEXT,__text) non-external _svcudp_reply
00007ffa0ffffd7d (__TEXT,__text) non-external _svcudp_reply.cold.1
00007ffa0ffffe18 (__TEXT,__text) non-external _svcudp_reply.cold.2
00007ffa0ffffeb3 (__TEXT,__text) non-external _svcudp_reply.cold.3
00007ffa0fffff4e (__TEXT,__text) non-external _svcudp_reply.cold.4
00007ffa0fff5396 (__TEXT,__text) non-external _svcudp_stat
                 (undefined) external _sys_nerr (from libSystem)
00007ffa0ffeed2c (__TEXT,__text) non-external _tsd_init_buf
00007ffa0fffd088 (__TEXT,__text) non-external _tsd_init_buf.cold.1
00007ffa0ffee64d (__TEXT,__text) non-external _tsd_init_rpc_createerr
00007ffa0fffce93 (__TEXT,__text) non-external _tsd_init_rpc_createerr.cold.1
00007ffa42c6f488 (__DATA,__data) non-external _udp_ops
00007ffa0fff9ce5 (__TEXT,__text) non-external _ugetport
00007ffa0fff3896 (__TEXT,__text) non-external _universal
00007ffa0fffe093 (__TEXT,__text) non-external _universal.cold.1
00007ffa0fffe12e (__TEXT,__text) non-external _universal.cold.2
00007ffa0fffe1c2 (__TEXT,__text) non-external _universal.cold.3
                 (undefined) external _unlink (from libSystem)
00007ffa42c6f890 (__DATA,__data) non-external _unset_retry_timeout
00007ffa42c6f8f8 (__DATA,__data) non-external _unset_retry_timeout
00007ffa42c6f8a0 (__DATA,__data) non-external _unset_total_timeout
00007ffa42c6f908 (__DATA,__data) non-external _unset_total_timeout
                 (undefined) external _vm_allocate (from libSystem)
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) external _vsnprintf (from libSystem)
00007ffa0fff5e82 (__TEXT,__text) non-external _wakeup_kq
00007ffa10000696 (__TEXT,__text) non-external _wakeup_kq.cold.1
                 (undefined) external _warnx (from libSystem)
00007ffa42c6f638 (__DATA,__data) non-external _workq
                 (undefined) external _write (from libSystem)
00007ffa0ffefae1 (__TEXT,__text) non-external _writestrm
00007ffa0fff4874 (__TEXT,__text) non-external _writestrm
00007ffa0ffff4cd (__TEXT,__text) non-external _writestrm.cold.1
00007ffa0fff847b (__TEXT,__text) non-external _x_destroy
00007ffa0fff846a (__TEXT,__text) non-external _x_getpostn
00007ffa0fff83fa (__TEXT,__text) non-external _x_inline
00007ffa0fff83ec (__TEXT,__text) non-external _x_putbytes
00007ffa0fff83dd (__TEXT,__text) non-external _x_putlong
00007ffa0fff8473 (__TEXT,__text) non-external _x_setpostn
00007ffa0fff29a4 (__TEXT,__text) non-external _xdr_accepted_reply
00007ffa0fff1ef6 (__TEXT,__text) non-external _xdr_callit_args
00007ffa0fff74b0 (__TEXT,__text) non-external (was a private external) _xdr_is_memstream
00007ffa0fff8126 (__TEXT,__text) non-external (was a private external) _xdr_is_recstream
00007ffa0fff2086 (__TEXT,__text) non-external _xdr_pmapcallres
00007ffa0fff2a33 (__TEXT,__text) non-external _xdr_rejected_reply
00007ffa0fff1f73 (__TEXT,__text) non-external _xdr_rmt3callres
00007ffa0fff8c18 (__TEXT,__text) external _xdr_vmbytes
00007ffa1000104e (__TEXT,__text) non-external _xdr_vmbytes.cold.1
00007ffa100016e0 (__TEXT,__const) non-external _xdr_zero
00007ffa0fff75f1 (__TEXT,__text) non-external _xdrmem_destroy
00007ffa0fff7530 (__TEXT,__text) non-external _xdrmem_getbytes
00007ffa0fff75f7 (__TEXT,__text) non-external _xdrmem_getlong_aligned
00007ffa0fff74d9 (__TEXT,__text) non-external _xdrmem_getlong_unaligned
00007ffa0fff759c (__TEXT,__text) non-external _xdrmem_getpos
00007ffa0fff7446 (__TEXT,__text) non-external (was a private external) _xdrmem_getrecord
00007ffa0fff7651 (__TEXT,__text) non-external _xdrmem_inline_aligned
00007ffa0fff75e9 (__TEXT,__text) non-external _xdrmem_inline_unaligned
00007ffa40ad5760 (__DATA_CONST,__const) non-external _xdrmem_ops_aligned
00007ffa40ad5718 (__DATA_CONST,__const) non-external _xdrmem_ops_unaligned
00007ffa0fff7569 (__TEXT,__text) non-external _xdrmem_putbytes
00007ffa0fff7624 (__TEXT,__text) non-external _xdrmem_putlong_aligned
00007ffa0fff7506 (__TEXT,__text) non-external _xdrmem_putlong_unaligned
00007ffa0fff75b6 (__TEXT,__text) non-external _xdrmem_setpos
00007ffa0fff795b (__TEXT,__text) non-external _xdrrec_destroy
00007ffa0fff7740 (__TEXT,__text) non-external _xdrrec_getbytes
00007ffa0fff7672 (__TEXT,__text) non-external _xdrrec_getlong
00007ffa0fff783b (__TEXT,__text) non-external _xdrrec_getpos
00007ffa0fff7fca (__TEXT,__text) non-external (was a private external) _xdrrec_getrecord
00007ffa0fff7910 (__TEXT,__text) non-external _xdrrec_inline
00007ffa0fff7b24 (__TEXT,__text) non-external (was a private external) _xdrrec_isrecordstart
00007ffa40ad57a8 (__DATA_CONST,__const) non-external (was a private external) _xdrrec_ops
00007ffa0fff77b5 (__TEXT,__text) non-external _xdrrec_putbytes
00007ffa0fff76da (__TEXT,__text) non-external _xdrrec_putlong
00007ffa0fff788e (__TEXT,__text) non-external _xdrrec_setpos
00007ffa0fff85f9 (__TEXT,__text) non-external _xdrstdio_destroy
00007ffa0fff855e (__TEXT,__text) non-external _xdrstdio_getbytes
00007ffa0fff84de (__TEXT,__text) non-external _xdrstdio_getlong
00007ffa0fff85be (__TEXT,__text) non-external _xdrstdio_getpos
00007ffa0fff85f1 (__TEXT,__text) non-external _xdrstdio_inline
00007ffa40ad57f0 (__DATA_CONST,__const) non-external _xdrstdio_ops
00007ffa0fff858e (__TEXT,__text) non-external _xdrstdio_putbytes
00007ffa0fff8525 (__TEXT,__text) non-external _xdrstdio_putlong
00007ffa0fff85d9 (__TEXT,__text) non-external _xdrstdio_setpos
00007ffa0fff5ab4 (__TEXT,__text) non-external (was a private external) _xprt_ref
00007ffa0fff5afa (__TEXT,__text) non-external (was a private external) _xprt_unref
