00007ffa0fcc01c4 (__TEXT,__text) non-external +[Cube initialize]
00007ffa0fb31d91 (__TEXT,__text) non-external -[MREffectMapZoom setPixelSize:]
00007ffa0fb32fa4 (__TEXT,__text) non-external -[MREffectMapZoom(MRLoadable) _unload]
00007ffa0fb331ef (__TEXT,__text) non-external -[MREffectModern _cleanup]
00007ffa0fb33ae6 (__TEXT,__text) non-external -[MREffectModern elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa0fb33b16 (__TEXT,__text) non-external -[MREffectModern getVerticesCoordinates:withMatrix:forElement:]
00007ffa0fb330ff (__TEXT,__text) non-external -[MREffectModern initWithEffectID:]
00007ffa0fb332a4 (__TEXT,__text) non-external -[MREffectModern isAlphaFriendly]
00007ffa0fb33291 (__TEXT,__text) non-external -[MREffectModern isNative3D]
00007ffa0fb3329c (__TEXT,__text) non-external -[MREffectModern isOpaque]
00007ffa0fb33a7a (__TEXT,__text) non-external -[MREffectModern patchworkAtTime:inContext:withArguments:]
00007ffa0fb332af (__TEXT,__text) non-external -[MREffectModern prerenderForTime:inContext:withArguments:]
00007ffa0fb33397 (__TEXT,__text) non-external -[MREffectModern renderAtTime:inContext:withArguments:]
00007ffa0fb33b33 (__TEXT,__text) non-external -[MREffectModern renderImage:withMask:inContext:atPosition:andSize:zRotation:]
00007ffa0fb33234 (__TEXT,__text) non-external -[MREffectModern setPixelSize:]
00007ffa0fb402df (__TEXT,__text) non-external -[MREffectOrigami _checkPanoramaAbsoluteSizeForImage:inRect:]
00007ffa0fb342ab (__TEXT,__text) non-external -[MREffectOrigami _cleanupSwingTimings]
00007ffa0fb340e0 (__TEXT,__text) non-external -[MREffectOrigami _cleanup]
00007ffa0fb4eb8e (__TEXT,__text) non-external -[MREffectOrigami _needsRenderingAtTime:remainingStillDurationAfter:]
00007ffa0fb3ef3b (__TEXT,__text) non-external -[MREffectOrigami _renderFallBreakImage:atProgress:inContext:withArguments:inRect:withAttributes:::]
00007ffa0fb3ebcc (__TEXT,__text) non-external -[MREffectOrigami _renderFallImage:atProgress:inContext:withArguments:inRect:withAttributes:::]
00007ffa0fb3b7b1 (__TEXT,__text) non-external -[MREffectOrigami _retainedByUserBackColorImageInContext:]
00007ffa0fb34326 (__TEXT,__text) non-external -[MREffectOrigami _setTargetSizeOfImageProviders]
00007ffa0fb3bb15 (__TEXT,__text) non-external -[MREffectOrigami _setupBreakInfos:inContext:withArguments:]
00007ffa0fb341cf (__TEXT,__text) non-external -[MREffectOrigami _setupSwingTimings]
00007ffa0fb34175 (__TEXT,__text) non-external -[MREffectOrigami _unload]
00007ffa0fb4f020 (__TEXT,__text) non-external -[MREffectOrigami beginMorphingToAspectRatio:withDuration:]
00007ffa0fb3d54c (__TEXT,__text) non-external -[MREffectOrigami elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa0fb4fa5e (__TEXT,__text) non-external -[MREffectOrigami getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00007ffa0fb4f072 (__TEXT,__text) non-external -[MREffectOrigami getStartTime:andDuration:forMovingToElementID:backwards:]
00007ffa0fb3d770 (__TEXT,__text) non-external -[MREffectOrigami getVerticesCoordinates:withMatrix:forElement:]
00007ffa0fb4f07a (__TEXT,__text) non-external -[MREffectOrigami hasMoreSlidesFromTime:backwards:startTime:duration:]
00007ffa0fb33f33 (__TEXT,__text) non-external -[MREffectOrigami initWithEffectID:]
00007ffa0fb4f616 (__TEXT,__text) non-external -[MREffectOrigami interestingTimeForElement:]
00007ffa0fb4f39b (__TEXT,__text) non-external -[MREffectOrigami interestingTimeForTime:]
00007ffa0fb4bb13 (__TEXT,__text) non-external -[MREffectOrigami patchworkAtTime:inContext:withArguments:]
00007ffa0fb3c2da (__TEXT,__text) non-external -[MREffectOrigami prerenderForTime:inContext:withArguments:]
00007ffa0fb46b34 (__TEXT,__text) non-external -[MREffectOrigami render1To3DownAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb481f9 (__TEXT,__text) non-external -[MREffectOrigami render1To3LeftAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb3c682 (__TEXT,__text) non-external -[MREffectOrigami renderAtTime:inContext:withArguments:]
00007ffa0fb402e7 (__TEXT,__text) non-external -[MREffectOrigami renderBreakAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb3f880 (__TEXT,__text) non-external -[MREffectOrigami renderFall2AtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb3f77b (__TEXT,__text) non-external -[MREffectOrigami renderFallAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb3fad3 (__TEXT,__text) non-external -[MREffectOrigami renderFallBreakAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb4a958 (__TEXT,__text) non-external -[MREffectOrigami renderFlipDiagonalAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb43639 (__TEXT,__text) non-external -[MREffectOrigami renderFlipDownAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb418f8 (__TEXT,__text) non-external -[MREffectOrigami renderFlipLeftAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb49673 (__TEXT,__text) non-external -[MREffectOrigami renderFold4LeftAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb46291 (__TEXT,__text) non-external -[MREffectOrigami renderFoldDownAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb45638 (__TEXT,__text) non-external -[MREffectOrigami renderFoldLeftAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb3fbd8 (__TEXT,__text) non-external -[MREffectOrigami renderStillAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb4af36 (__TEXT,__text) non-external -[MREffectOrigami renderUnfoldingFlowerAtTime:andProgress:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb3d7be (__TEXT,__text) non-external -[MREffectOrigami setPhaseInDuration:mainDuration:phaseOutDuration:]
00007ffa0fb37eb7 (__TEXT,__text) non-external -[MREffectOrigami setPixelSize:]
00007ffa0fb37f13 (__TEXT,__text) non-external -[MREffectOrigami updateSizes]
00007ffa0fb4feef (__TEXT,__text) non-external -[MREffectOrigamiTiming dealloc]
00007ffa0fb5035c (__TEXT,__text) non-external -[MREffectOrigamiTiming displayTimeForSlideAtIndex:]
00007ffa0fb50374 (__TEXT,__text) non-external -[MREffectOrigamiTiming displayTimeForTextAtIndex:]
00007ffa0fb4fe08 (__TEXT,__text) non-external -[MREffectOrigamiTiming initWithEffectID:]
00007ffa0fb5037d (__TEXT,__text) non-external -[MREffectOrigamiTiming lowestDisplayTime]
00007ffa0fb50399 (__TEXT,__text) non-external -[MREffectOrigamiTiming mainDuration]
00007ffa0fb5038b (__TEXT,__text) non-external -[MREffectOrigamiTiming phaseInDuration]
00007ffa0fb503a7 (__TEXT,__text) non-external -[MREffectOrigamiTiming phaseOutDuration]
00007ffa0fb4ff53 (__TEXT,__text) non-external -[MREffectOrigamiTiming setPhaseInDuration:mainDuration:phaseOutDuration:]
00007ffa0fb5034c (__TEXT,__text) non-external -[MREffectOrigamiTiming showDurationForSlideAtIndex:]
00007ffa0fb5033c (__TEXT,__text) non-external -[MREffectOrigamiTiming showTimeForSlideAtIndex:]
00007ffa0fb5059f (__TEXT,__text) non-external -[MREffectOrigamiTitle _cleanupSwingTimings]
00007ffa0fb504d9 (__TEXT,__text) non-external -[MREffectOrigamiTitle _cleanup]
00007ffa0fb56dfd (__TEXT,__text) non-external -[MREffectOrigamiTitle _retainedByUserBackColorImageInContext:]
00007ffa0fb50563 (__TEXT,__text) non-external -[MREffectOrigamiTitle _setupSwingTimings]
00007ffa0fb52ba0 (__TEXT,__text) non-external -[MREffectOrigamiTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa0fb52de7 (__TEXT,__text) non-external -[MREffectOrigamiTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa0fb503b5 (__TEXT,__text) non-external -[MREffectOrigamiTitle init]
00007ffa0fb505c7 (__TEXT,__text) non-external -[MREffectOrigamiTitle isLoadedForTime:]
00007ffa0fb55468 (__TEXT,__text) non-external -[MREffectOrigamiTitle patchworkAtTime:inContext:withArguments:]
00007ffa0fb506ce (__TEXT,__text) non-external -[MREffectOrigamiTitle renderAtTime:inContext:withArguments:]
00007ffa0fb541dd (__TEXT,__text) non-external -[MREffectOrigamiTitle renderBreakImage:atProgress:withKey:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb535c9 (__TEXT,__text) non-external -[MREffectOrigamiTitle renderFallBreakImage:atProgress:inContext:withArguments:inRect:withAttributes:::]
00007ffa0fb5320c (__TEXT,__text) non-external -[MREffectOrigamiTitle renderFallImage:atProgress:inContext:withArguments:inRect:withAttributes:::]
00007ffa0fb52e76 (__TEXT,__text) non-external -[MREffectOrigamiTitle renderFallImage:atProgress:strength:inContext:withArguments:inRect:withAttributes:::]
00007ffa0fb53e4b (__TEXT,__text) non-external -[MREffectOrigamiTitle renderStillImage:withKey:inContext:withArguments:inRect:withAttributes:]
00007ffa0fb52638 (__TEXT,__text) non-external -[MREffectOrigamiTitle renderTextEffectAtTime:inContext:withArguments:]
00007ffa0fb507a0 (__TEXT,__text) non-external -[MREffectOrigamiTitle renderTitleEffectAtTime:inContext:withArguments:]
00007ffa0fb56f4d (__TEXT,__text) non-external -[MREffectOrigamiTitle(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa0fb578e2 (__TEXT,__text) non-external -[MREffectOrigamiTitle(MRLoadable) _maxLinesForTextElement:]
00007ffa0fb578bd (__TEXT,__text) non-external -[MREffectOrigamiTitle(MRLoadable) _maxSizeForTextElement:]
00007ffa0fb578ed (__TEXT,__text) non-external -[MREffectOrigamiTitle(MRLoadable) _unload]
00007ffa0fb57db9 (__TEXT,__text) non-external -[MREffectPhotoEdges _cleanup]
00007ffa0fb5be90 (__TEXT,__text) non-external -[MREffectPhotoEdges elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa0fb5c137 (__TEXT,__text) non-external -[MREffectPhotoEdges getVerticesCoordinates:withMatrix:forElement:]
00007ffa0fb57c68 (__TEXT,__text) non-external -[MREffectPhotoEdges initWithEffectID:]
00007ffa0fb57e4c (__TEXT,__text) non-external -[MREffectPhotoEdges isLoadedForTime:]
00007ffa0fb583a3 (__TEXT,__text) non-external -[MREffectPhotoEdges prerenderForTime:inContext:withArguments:]
00007ffa0fb58f4e (__TEXT,__text) non-external -[MREffectPhotoEdges renderAtTime:inContext:withArguments:]
00007ffa0fb57f9f (__TEXT,__text) non-external -[MREffectPhotoEdges setPhaseInDuration:mainDuration:phaseOutDuration:]
00007ffa0fb5818a (__TEXT,__text) non-external -[MREffectPhotoEdges setPixelSize:]
00007ffa0fb5c185 (__TEXT,__text) non-external -[MREffectPhotoEdges(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa0fb5c5a3 (__TEXT,__text) non-external -[MREffectPhotoEdges(MRLoadable) _maxLinesForTextElement:]
00007ffa0fb5c4c2 (__TEXT,__text) non-external -[MREffectPhotoEdges(MRLoadable) _maxSizeForTextElement:]
00007ffa0fb5c5ae (__TEXT,__text) non-external -[MREffectPhotoEdges(MRLoadable) _unload]
00007ffa0fc74c12 (__TEXT,__text) non-external -[MREffectPictureFrames _applyTimingToSlideProviders]
00007ffa0fc76748 (__TEXT,__text) non-external -[MREffectPictureFrames _aspectRatioForSlideIndex:]
00007ffa0fc71228 (__TEXT,__text) non-external -[MREffectPictureFrames _cleanup]
00007ffa0fc795c1 (__TEXT,__text) non-external -[MREffectPictureFrames _drawBreakFrame:provider:index:rect:time:inContext:withArguments:]
00007ffa0fc79bf2 (__TEXT,__text) non-external -[MREffectPictureFrames _drawBreakFrameInRect:frameWidth:time:inContext:withArguments:]
00007ffa0fc7a16d (__TEXT,__text) non-external -[MREffectPictureFrames _drawFrame:provider:index:rect:time:onTable:inContext:withArguments:]
00007ffa0fc75054 (__TEXT,__text) non-external -[MREffectPictureFrames _durationForEffect:]
00007ffa0fc7503d (__TEXT,__text) non-external -[MREffectPictureFrames _durationForEffect]
00007ffa0fc76b25 (__TEXT,__text) non-external -[MREffectPictureFrames _frameRectFromInfo:onShelf:]
00007ffa0fc78b9f (__TEXT,__text) non-external -[MREffectPictureFrames _nextSlideProviderAspectRatioToFitInAspectRatio:providerKeys:slideInformation:index:force:]
00007ffa0fc767ef (__TEXT,__text) non-external -[MREffectPictureFrames _populateFrames]
00007ffa0fc79041 (__TEXT,__text) non-external -[MREffectPictureFrames _randomFrameForAspectRatio:forTable:allowMatte:onlyLoaded:ignoreFrames:randomGenerator:]
00007ffa0fc793d1 (__TEXT,__text) non-external -[MREffectPictureFrames _rectForFrameID:rect:onTable:aspectRatio:slideAspectRatio:]
00007ffa0fc71e6f (__TEXT,__text) non-external -[MREffectPictureFrames _setSizeScripts:]
00007ffa0fc757b0 (__TEXT,__text) non-external -[MREffectPictureFrames _setupLayoutWithSlideInformation:]
00007ffa0fc7572e (__TEXT,__text) non-external -[MREffectPictureFrames _startingOffset]
00007ffa0fc75602 (__TEXT,__text) non-external -[MREffectPictureFrames _startingWidth]
00007ffa0fc76bfd (__TEXT,__text) non-external -[MREffectPictureFrames _xForSlideAtIndex:layoutWidth:]
00007ffa0fc77411 (__TEXT,__text) non-external -[MREffectPictureFrames displayTimeForSlideAtIndex:]
00007ffa0fc774be (__TEXT,__text) non-external -[MREffectPictureFrames displayTimeForTextAtIndex:]
00007ffa0fc7a7c8 (__TEXT,__text) non-external -[MREffectPictureFrames elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa0fc7a9ec (__TEXT,__text) non-external -[MREffectPictureFrames getVerticesCoordinates:withMatrix:forElement:]
00007ffa0fc7116d (__TEXT,__text) non-external -[MREffectPictureFrames initWithEffectID:]
00007ffa0fc71b24 (__TEXT,__text) non-external -[MREffectPictureFrames isLoadedForTime:]
00007ffa0fc715ac (__TEXT,__text) non-external -[MREffectPictureFrames layoutsWithSlidesInfo:seed:hasShelf:]
00007ffa0fc774c7 (__TEXT,__text) non-external -[MREffectPictureFrames lowestDisplayTime]
00007ffa0fc730c9 (__TEXT,__text) non-external -[MREffectPictureFrames prerenderForTime:inContext:withArguments:]
00007ffa0fc774d0 (__TEXT,__text) non-external -[MREffectPictureFrames renderAtTime:inContext:withArguments:]
00007ffa0fc74bd1 (__TEXT,__text) non-external -[MREffectPictureFrames setPhaseInDuration:mainDuration:phaseOutDuration:]
00007ffa0fc71d93 (__TEXT,__text) non-external -[MREffectPictureFrames setPixelSize:]
00007ffa0fc772f5 (__TEXT,__text) non-external -[MREffectPictureFrames showDurationForSlideAtIndex:]
00007ffa0fc77211 (__TEXT,__text) non-external -[MREffectPictureFrames showTimeForSlideAtIndex:]
00007ffa0fc7aa3a (__TEXT,__text) non-external -[MREffectPictureFrames(MRLoadable) _unload]
00007ffa0fb20d3e (__TEXT,__text) non-external -[MREffectPinMap _cleanup]
00007ffa0fb2a12c (__TEXT,__text) non-external -[MREffectPinMap _drawArrowInContext:atTime:withArguments:atPoint:scale:withTextAtIndex:t:pointDown:m:]
00007ffa0fb2af20 (__TEXT,__text) non-external -[MREffectPinMap _drawTitleInContext:atTime:withArguments:atPoint:scale:withTextAtIndex:]
00007ffa0fb2b8f1 (__TEXT,__text) non-external -[MREffectPinMap _maxLinesForTextElement:]
00007ffa0fb2b882 (__TEXT,__text) non-external -[MREffectPinMap _maxSizeForTextElement:]
00007ffa0fb2b5ab (__TEXT,__text) non-external -[MREffectPinMap elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa0fb2b7ea (__TEXT,__text) non-external -[MREffectPinMap getVerticesCoordinates:withMatrix:forElement:]
00007ffa0fb2098f (__TEXT,__text) non-external -[MREffectPinMap initWithEffectID:]
00007ffa0fb22197 (__TEXT,__text) non-external -[MREffectPinMap isLoadedForTime:]
00007ffa0fb2b919 (__TEXT,__text) non-external -[MREffectPinMap patchworkAtTime:inContext:withArguments:]
00007ffa0fb224ca (__TEXT,__text) non-external -[MREffectPinMap prerenderForTime:inContext:withArguments:]
00007ffa0fb23552 (__TEXT,__text) non-external -[MREffectPinMap renderAtTime:inContext:withArguments:]
00007ffa0fb21487 (__TEXT,__text) non-external -[MREffectPinMap setAttributes:]
00007ffa0fb211bb (__TEXT,__text) non-external -[MREffectPinMap setPixelSize:]
00007ffa0fb2bf9f (__TEXT,__text) non-external -[MREffectPinMap(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa0fb2c8fb (__TEXT,__text) non-external -[MREffectPinMap(MRLoadable) _unload]
00007ffa0fc87fa7 (__TEXT,__text) non-external -[MREffectPortfolio _cleanup]
00007ffa0fc8de12 (__TEXT,__text) non-external -[MREffectPortfolio _drawBreakXLAtTime:inContext:withArguments:]
00007ffa0fc8cc4b (__TEXT,__text) non-external -[MREffectPortfolio _drawFrame:index:leftCount:time:inContext:withArguments:]
00007ffa0fc8fc11 (__TEXT,__text) non-external -[MREffectPortfolio _drawIndex:time:context:arguments:size:position:]
00007ffa0fc8f5db (__TEXT,__text) non-external -[MREffectPortfolio _drawLandscapeBreakForPortraitAtTime:duration:inContext:withArguments:]
00007ffa0fc8ca95 (__TEXT,__text) non-external -[MREffectPortfolio _drawPagesAtTime:inContext:withArguments:]
00007ffa0fc8cb80 (__TEXT,__text) non-external -[MREffectPortfolio _drawPagesCreaseWithHeight:atTime:inContext:withArguments:]
00007ffa0fc8e8a6 (__TEXT,__text) non-external -[MREffectPortfolio _drawPortraitBreakForLandscapeAtTime:duration:onePage:inContext:withArguments:]
00007ffa0fc8ed37 (__TEXT,__text) non-external -[MREffectPortfolio _drawPortraitBreakForPortraitAtTime:duration:inContext:withArguments:]
00007ffa0fc8d7bf (__TEXT,__text) non-external -[MREffectPortfolio _rectForSlideAtIndex:frame:leftCount:movie:localAspectRatio:]
00007ffa0fc8fa07 (__TEXT,__text) non-external -[MREffectPortfolio _renderLandscapeBreakPageAtIndex:atTime:inContext:withArguments:]
00007ffa0fc8f3d6 (__TEXT,__text) non-external -[MREffectPortfolio _renderPortraitBreakForPortraitPageAtIndex:atTime:inContext:withArguments:]
00007ffa0fc8f14c (__TEXT,__text) non-external -[MREffectPortfolio _renderPortraitBreakPageAtIndex:flipped:onePage:atTime:inContext:withArguments:]
00007ffa0fc8e53f (__TEXT,__text) non-external -[MREffectPortfolio _renderXLPageAtIndex:flipped:atTime:inContext:withArguments:]
00007ffa0fc908d9 (__TEXT,__text) non-external -[MREffectPortfolio _updateSizes:]
00007ffa0fc905f8 (__TEXT,__text) non-external -[MREffectPortfolio beginMorphingToAspectRatio:withDuration:]
00007ffa0fc8fd3d (__TEXT,__text) non-external -[MREffectPortfolio elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa0fc9076e (__TEXT,__text) non-external -[MREffectPortfolio endMorphing]
00007ffa0fc902b5 (__TEXT,__text) non-external -[MREffectPortfolio getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00007ffa0fc8ff61 (__TEXT,__text) non-external -[MREffectPortfolio getVerticesCoordinates:withMatrix:forElement:]
00007ffa0fc8ffaf (__TEXT,__text) non-external -[MREffectPortfolio hasMoreSlidesFromTime:backwards:startTime:duration:]
00007ffa0fc87df6 (__TEXT,__text) non-external -[MREffectPortfolio initWithEffectID:]
00007ffa0fc9019f (__TEXT,__text) non-external -[MREffectPortfolio interestingTimeForElement:]
00007ffa0fc900d9 (__TEXT,__text) non-external -[MREffectPortfolio interestingTimeForTime:]
00007ffa0fc884aa (__TEXT,__text) non-external -[MREffectPortfolio isLoadedForTime:]
00007ffa0fc886f1 (__TEXT,__text) non-external -[MREffectPortfolio prerenderForTime:inContext:withArguments:]
00007ffa0fc8ac41 (__TEXT,__text) non-external -[MREffectPortfolio renderAtTime:inContext:withArguments:]
00007ffa0fc88260 (__TEXT,__text) non-external -[MREffectPortfolio setPixelSize:]
00007ffa0fc91419 (__TEXT,__text) non-external -[MREffectPortfolio(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa0fc9170b (__TEXT,__text) non-external -[MREffectPortfolio(MRLoadable) _unload]
00007ffa0fb5dbc4 (__TEXT,__text) non-external -[MREffectReflections _applySizeScripts:]
00007ffa0fb5d3cd (__TEXT,__text) non-external -[MREffectReflections _cleanup]
00007ffa0fb5ec7c (__TEXT,__text) non-external -[MREffectReflections _tXForTime:layout:]
00007ffa0fb5ed78 (__TEXT,__text) non-external -[MREffectReflections _yOffsetForTime:layout:size:position:aspectRatio:]
00007ffa0fb5eae6 (__TEXT,__text) non-external -[MREffectReflections _yRotationForTime:layout:]
00007ffa0fb60809 (__TEXT,__text) non-external -[MREffectReflections beginMorphingToAspectRatio:withDuration:]
00007ffa0fb5f773 (__TEXT,__text) non-external -[MREffectReflections elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa0fb6086d (__TEXT,__text) non-external -[MREffectReflections endMorphing]
00007ffa0fb608c7 (__TEXT,__text) non-external -[MREffectReflections getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00007ffa0fb5f997 (__TEXT,__text) non-external -[MREffectReflections getVerticesCoordinates:withMatrix:forElement:]
00007ffa0fb5d1a4 (__TEXT,__text) non-external -[MREffectReflections initWithEffectID:]
00007ffa0fb5d5fc (__TEXT,__text) non-external -[MREffectReflections isLoadedForTime:]
00007ffa0fb5d662 (__TEXT,__text) non-external -[MREffectReflections prerenderForTime:inContext:withArguments:]
00007ffa0fb5df5c (__TEXT,__text) non-external -[MREffectReflections renderAtTime:inContext:withArguments:]
00007ffa0fb5eed1 (__TEXT,__text) non-external -[MREffectReflections renderKey:size:position:yRot:tX:time:inContext:withArguments:flipped:shadow:]
00007ffa0fb5f9e5 (__TEXT,__text) non-external -[MREffectReflections renderStuffAtTime:alpha:inContext:withArguments:]
00007ffa0fb5d567 (__TEXT,__text) non-external -[MREffectReflections setAttributes:]
00007ffa0fb5d491 (__TEXT,__text) non-external -[MREffectReflections setPixelSize:]
00007ffa0fb60905 (__TEXT,__text) non-external -[MREffectReflections(MRLoadable) _unload]
00007ffa0fb60c8a (__TEXT,__text) non-external -[MREffectReflectionsBackground _cleanup]
00007ffa0fb61190 (__TEXT,__text) non-external -[MREffectReflectionsBackground beginMorphingToAspectRatio:withDuration:]
00007ffa0fb611ad (__TEXT,__text) non-external -[MREffectReflectionsBackground endMorphing]
00007ffa0fb60b96 (__TEXT,__text) non-external -[MREffectReflectionsBackground initWithEffectID:]
00007ffa0fb60d20 (__TEXT,__text) non-external -[MREffectReflectionsBackground isLoadedForTime:]
00007ffa0fb60d3d (__TEXT,__text) non-external -[MREffectReflectionsBackground prerenderForTime:inContext:withArguments:]
00007ffa0fb61061 (__TEXT,__text) non-external -[MREffectReflectionsBackground renderAtTime:inContext:withArguments:]
00007ffa0fb60dac (__TEXT,__text) non-external -[MREffectReflectionsBackground setAttributes:]
00007ffa0fb60cc3 (__TEXT,__text) non-external -[MREffectReflectionsBackground setPixelSize:]
00007ffa0fb611ca (__TEXT,__text) non-external -[MREffectReflectionsBackground(MRLoadable) _unload]
00007ffa0fb61291 (__TEXT,__text) non-external -[MREffectReflectionsSubtitle _cleanup]
00007ffa0fb6185d (__TEXT,__text) non-external -[MREffectReflectionsSubtitle _loadForTime:inContext:withArguments:]
00007ffa0fb61328 (__TEXT,__text) non-external -[MREffectReflectionsSubtitle _maxLinesForTextElement:]
00007ffa0fb6130d (__TEXT,__text) non-external -[MREffectReflectionsSubtitle _maxSizeForTextElement:]
00007ffa0fb61333 (__TEXT,__text) non-external -[MREffectReflectionsSubtitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa0fb61363 (__TEXT,__text) non-external -[MREffectReflectionsSubtitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa0fb6123a (__TEXT,__text) non-external -[MREffectReflectionsSubtitle initWithEffectID:]
00007ffa0fb613c6 (__TEXT,__text) non-external -[MREffectReflectionsSubtitle isLoadedForTime:]
00007ffa0fb61448 (__TEXT,__text) non-external -[MREffectReflectionsSubtitle renderAtTime:inContext:withArguments:]
00007ffa0fb62128 (__TEXT,__text) non-external -[MREffectReflectionsTitle _applySizeScripts:]
00007ffa0fb61e02 (__TEXT,__text) non-external -[MREffectReflectionsTitle _cleanup]
00007ffa0fb64716 (__TEXT,__text) non-external -[MREffectReflectionsTitle _loadForTime:inContext:withArguments:]
00007ffa0fb6242a (__TEXT,__text) non-external -[MREffectReflectionsTitle _maxLinesForTextElement:]
00007ffa0fb6240f (__TEXT,__text) non-external -[MREffectReflectionsTitle _maxSizeForTextElement:]
00007ffa0fb64d7b (__TEXT,__text) non-external -[MREffectReflectionsTitle _unload]
00007ffa0fb64b5d (__TEXT,__text) non-external -[MREffectReflectionsTitle cacheRenderedWords]
00007ffa0fb644a4 (__TEXT,__text) non-external -[MREffectReflectionsTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa0fb646c8 (__TEXT,__text) non-external -[MREffectReflectionsTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa0fb61b3c (__TEXT,__text) non-external -[MREffectReflectionsTitle initWithEffectID:]
00007ffa0fb62435 (__TEXT,__text) non-external -[MREffectReflectionsTitle isLoadedForTime:]
00007ffa0fb62301 (__TEXT,__text) non-external -[MREffectReflectionsTitle prerenderForTime:inContext:withArguments:]
00007ffa0fb63479 (__TEXT,__text) non-external -[MREffectReflectionsTitle render1SlideAtTime:inContext:withArguments:scale:tilt:phaseOutType:direction:]
00007ffa0fb6251e (__TEXT,__text) non-external -[MREffectReflectionsTitle renderAtTime:inContext:withArguments:]
00007ffa0fb63ab0 (__TEXT,__text) non-external -[MREffectReflectionsTitle renderKey:size:position:yRot:tX:time:inContext:withArguments:light:shadow:]
00007ffa0fb62bc4 (__TEXT,__text) non-external -[MREffectReflectionsTitle renderTextAtTime:inContext:withArguments:scale:]
00007ffa0fb6226c (__TEXT,__text) non-external -[MREffectReflectionsTitle setAttributes:]
00007ffa0fb6206b (__TEXT,__text) non-external -[MREffectReflectionsTitle setPixelSize:]
00007ffa0fcb2c06 (__TEXT,__text) non-external -[MREffectScrapbook _cleanup]
00007ffa0fcb7ebc (__TEXT,__text) non-external -[MREffectScrapbook _drawBlendedFrame:info:index:rect:zIndex:zRotation:subtract:time:inContext:withArguments:]
00007ffa0fcb90cb (__TEXT,__text) non-external -[MREffectScrapbook _drawBreakFrame:index:rect:rotation:forcedAspectRatio:layout:offset:time:inContext:withArguments:]
00007ffa0fcbb1c5 (__TEXT,__text) non-external -[MREffectScrapbook _drawBreakFrameInRect:frameWidth:time:inContext:withArguments:]
00007ffa0fcb8874 (__TEXT,__text) non-external -[MREffectScrapbook _drawBreakTwoPartFrame:index:rect:rotation:forcedAspectRatio:time:inContext:withArguments:]
00007ffa0fcb7462 (__TEXT,__text) non-external -[MREffectScrapbook _drawFrame:info:index:rect:zIndex:zRotation:subtract:time:inContext:withArguments:]
00007ffa0fcb6512 (__TEXT,__text) non-external -[MREffectScrapbook _drawFrame:info:rect:stretch:zIndex:zRotation:subtract:key:time:inContext:withArguments:]
00007ffa0fcb98e6 (__TEXT,__text) non-external -[MREffectScrapbook _drawLandscapePanoBackgroundInRect:paperType:subtract:inTime:inContext:withArguments:]
00007ffa0fcb6d4b (__TEXT,__text) non-external -[MREffectScrapbook _drawMask:index:rect:zIndex:zRotation:subtract:time:inContext:withArguments:]
00007ffa0fcba4f5 (__TEXT,__text) non-external -[MREffectScrapbook _drawPortraitPanoBackgroundInRect:flippedRect:paperType:subtract:inTime:inContext:withArguments:]
