00000001e6fca860 (__DATA,__data) external _NDR_record
00000001e4d3c7c8 (__DATA_CONST,__const) non-external _err_codes_exception
00000001e4d3c4a0 (__DATA_CONST,__const) non-external _err_codes_execd
00000001e4d3c5a0 (__DATA_CONST,__const) non-external _err_codes_io
00000001e4d3d108 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001e4d3cd40 (__DATA_CONST,__const) non-external _err_codes_iokit_common
000000018043c9a8 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001e4d3cfd0 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
000000018043c9e8 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001e4d3cef0 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
000000018043c9b8 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001e4d3c048 (__DATA_CONST,__const) non-external _err_codes_kern
00000001e4d3cbd0 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001e4d3cc40 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001e4d3cbe0 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001e4d3c798 (__DATA_CONST,__const) non-external _err_codes_loader
00000001e4d3cb80 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001e4d3caf8 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001e4d3ca40 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001e4d3c768 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001e4d3ca00 (__DATA_CONST,__const) non-external _err_codes_mig
00000001e4d3c4c0 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001e4d3c440 (__DATA_CONST,__const) non-external _err_codes_netname
00000001e4d3c510 (__DATA_CONST,__const) non-external _err_codes_ns
00000001e4d3c9b8 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001e4d3c958 (__DATA_CONST,__const) non-external _err_codes_send
00000001e4d3c6d8 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001e4d3c4e0 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001e4d3c4d8 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001e4d3c210 (__DATA_CONST,__const) non-external _err_codes_unix
00000001e4d3c618 (__DATA_CONST,__const) non-external _err_codes_us
00000001e4d3c800 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001e4d3c8f0 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001e4d3be68 (__DATA_CONST,__const) non-external _err_iokit_sub
000000018043c998 (__TEXT,__const) non-external _err_iokit_sub_map
00000001e4d3bd00 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001e4d3bdf0 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001e4d3bd78 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001e4d3b9e0 (__DATA_CONST,__const) non-external _err_os_sub
00000001e4d3ba80 (__DATA_CONST,__const) non-external _err_server_sub
000000018043c970 (__TEXT,__const) non-external _err_us_sub
00000001e82a3610 (__DATA_DIRTY,__common) external _errno
000000018043908c (__TEXT,__text) external _etap_trace_thread
00000001804278f8 (__TEXT,__text) external _exc_server
00000001804278c4 (__TEXT,__text) external _exc_server_routine
0000000180426f10 (__TEXT,__text) external _exception_raise
000000018042708c (__TEXT,__text) external _exception_raise_state
0000000180427300 (__TEXT,__text) external _exception_raise_state_identity
0000000180415378 (__TEXT,__text) external _exchangedata
000000018041b408 (__TEXT,__text) external _exclaves_audio_buffer_copyout
000000018041b3dc (__TEXT,__text) external _exclaves_audio_buffer_create
000000018041b3ac (__TEXT,__text) external _exclaves_boot
000000018041b018 (__TEXT,__text) external _exclaves_endpoint_call
000000018041b11c (__TEXT,__text) external _exclaves_inbound_buffer_copyin
000000018041b0f0 (__TEXT,__text) external _exclaves_inbound_buffer_create
000000018041b2d4 (__TEXT,__text) external _exclaves_launch_conclave
000000018041b318 (__TEXT,__text) external _exclaves_lookup_service
000000018041b26c (__TEXT,__text) external _exclaves_named_buffer_copyin
000000018041b2a0 (__TEXT,__text) external _exclaves_named_buffer_copyout
000000018041b150 (__TEXT,__text) external _exclaves_named_buffer_create
000000018041b4fc (__TEXT,__text) external _exclaves_notification_create
000000018041b0bc (__TEXT,__text) external _exclaves_outbound_buffer_copyout
000000018041b090 (__TEXT,__text) external _exclaves_outbound_buffer_create
000000018041b43c (__TEXT,__text) external _exclaves_sensor_create
000000018041b46c (__TEXT,__text) external _exclaves_sensor_start
000000018041b4cc (__TEXT,__text) external _exclaves_sensor_status
000000018041b49c (__TEXT,__text) external _exclaves_sensor_stop
000000018041177c (__TEXT,__text) external _execve
00000001e6fca900 (__DATA,__bss) non-external _execve_with_filter
0000000180416ff0 (__TEXT,__text) external _faccessat
000000018041701c (__TEXT,__text) external _fchdir
000000018040e454 (__TEXT,__text) external _fchflags
000000018040d4e0 (__TEXT,__text) external _fchmod
0000000180417048 (__TEXT,__text) external _fchmodat
000000018040e898 (__TEXT,__text) external _fchown
0000000180417074 (__TEXT,__text) external _fchownat
00000001804170a0 (__TEXT,__text) external _fclonefileat
00000001804098d0 (__TEXT,__text) external _fcntl
000000018040d0ac (__TEXT,__text) external _fcntl$NOCANCEL
00000001804170cc (__TEXT,__text) external _fdatasync
00000001804109b8 (__TEXT,__text) external _ffsctl
000000018040c76c (__TEXT,__text) external _fgetattrlist
000000018040d428 (__TEXT,__text) external _fgetxattr
00000001804170f8 (__TEXT,__text) external _fhopen
000000018040f11c (__TEXT,__text) external _fileport_makefd
000000018040f39c (__TEXT,__text) external _fileport_makeport
000000018041528c (__TEXT,__text) external _flistxattr
000000018040cdb0 (__TEXT,__text) external _flock
0000000180417124 (__TEXT,__text) external _fmount
0000000180417150 (__TEXT,__text) external _fpathconf
000000018041adc0 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
000000018041717c (__TEXT,__text) external _freadlink
00000001804171a8 (__TEXT,__text) external _fremovexattr
00000001804231c8 (__TEXT,__text) external _fs_snapshot_create
00000001804231e4 (__TEXT,__text) external _fs_snapshot_delete
000000018041166c (__TEXT,__text) external _fs_snapshot_list
0000000180423254 (__TEXT,__text) external _fs_snapshot_mount
0000000180423200 (__TEXT,__text) external _fs_snapshot_rename
000000018042321c (__TEXT,__text) external _fs_snapshot_revert
0000000180423238 (__TEXT,__text) external _fs_snapshot_root
000000018040c740 (__TEXT,__text) external _fsctl
000000018040e86c (__TEXT,__text) external _fsetattrlist
000000018040e290 (__TEXT,__text) external _fsetxattr
000000018040c82c (__TEXT,__text) external _fsgetpath
00000001804171d4 (__TEXT,__text) external _fsgetpath_ext
000000018041722c (__TEXT,__text) external _fstat
000000018041722c (__TEXT,__text) external _fstat64
0000000180417284 (__TEXT,__text) external _fstatat
0000000180417284 (__TEXT,__text) external _fstatat64
0000000180414a00 (__TEXT,__text) external _fstatfs
0000000180414a00 (__TEXT,__text) external _fstatfs64
000000018040c8dc (__TEXT,__text) external _fsync
0000000180415ea8 (__TEXT,__text) external _fsync$NOCANCEL
000000018040c534 (__TEXT,__text) external _ftruncate
000000018041d824 (__TEXT,__text) external _futimens
000000018040e480 (__TEXT,__text) external _futimes
00000001e6fca868 (__DATA,__crash_info) non-external _gCRAnnotations
00000001804097f0 (__TEXT,__text) external _getattrlist
00000001804172dc (__TEXT,__text) external _getattrlistat
000000018040c58c (__TEXT,__text) external _getattrlistbulk
0000000180426560 (__TEXT,__text) external _getaudit
000000018040b1a8 (__TEXT,__text) external _getaudit_addr
0000000180417308 (__TEXT,__text) external _getauid
0000000180417334 (__TEXT,__text) external _getdirentries
0000000180417360 (__TEXT,__text) external _getdirentriesattr
0000000180411b0c (__TEXT,__text) external _getdtablesize
000000018040a95c (__TEXT,__text) external _getegid
00000001804092f0 (__TEXT,__text) external _getentropy
000000018040a0e4 (__TEXT,__text) external _geteuid
000000018041738c (__TEXT,__text) external _getfh
00000001804173e4 (__TEXT,__text) external _getfsstat
00000001804173e4 (__TEXT,__text) external _getfsstat64
000000018040d028 (__TEXT,__text) external _getgid
000000018040e8c4 (__TEXT,__text) external _getgroups
000000018040e658 (__TEXT,__text) external _gethostuuid
000000018040d608 (__TEXT,__text) external _getiopolicy_np
0000000180417410 (__TEXT,__text) external _getitimer
000000018040d4b4 (__TEXT,__text) external _getpeername
0000000180413324 (__TEXT,__text) external _getpgid
0000000180411750 (__TEXT,__text) external _getpgrp
000000018040932c (__TEXT,__text) external _getpid
000000018040f420 (__TEXT,__text) external _getppid
0000000180411590 (__TEXT,__text) external _getpriority
000000018040b174 (__TEXT,__text) external _getrlimit
00000001804107e8 (__TEXT,__text) external _getrusage
0000000180415ed4 (__TEXT,__text) external _getsgroups_np
000000018041743c (__TEXT,__text) external _getsid
00000001804109e4 (__TEXT,__text) external _getsockname
000000018040d3d0 (__TEXT,__text) external _getsockopt
000000018040a904 (__TEXT,__text) external _getuid
0000000180415f00 (__TEXT,__text) external _getwgroups_np
000000018040bfa4 (__TEXT,__text) external _getxattr
0000000180417468 (__TEXT,__text) external _grab_pgo_data
0000000180417494 (__TEXT,__text) external _graftdmg
000000018040c8b0 (__TEXT,__text) external _guarded_close_np
0000000180413a7c (__TEXT,__text) external _guarded_kqueue_np
000000018041ae38 (__TEXT,__text) external _guarded_open_dprotected_np
000000018040c63c (__TEXT,__text) external _guarded_open_np
000000018040c698 (__TEXT,__text) external _guarded_pwrite_np
0000000180410b48 (__TEXT,__text) external _guarded_write_np
00000001804174c0 (__TEXT,__text) external _guarded_writev_np
0000000180441e74 (__TEXT,__cstring) non-external _hex
000000018041ae88 (__TEXT,__text) external _host_check_multiuser_mode
0000000180409ea8 (__TEXT,__text) external _host_create_mach_voucher
0000000180408e70 (__TEXT,__text) external _host_create_mach_voucher_trap
0000000180427edc (__TEXT,__text) external _host_default_memory_manager
000000018042992c (__TEXT,__text) external _host_get_UNDServer
000000018041ae68 (__TEXT,__text) external _host_get_atm_diagnostic_flag
0000000180427980 (__TEXT,__text) external _host_get_boot_info
00000001804285d0 (__TEXT,__text) external _host_get_clock_control
000000018040ecc4 (__TEXT,__text) external _host_get_clock_service
0000000180428dc4 (__TEXT,__text) external _host_get_exception_ports
000000018042a5ec (__TEXT,__text) external _host_get_io_main
000000018040c908 (__TEXT,__text) external _host_get_io_master
000000018041ae80 (__TEXT,__text) external _host_get_multiuser_config_flags
0000000180409af4 (__TEXT,__text) external _host_get_special_port
000000018040dd28 (__TEXT,__text) external _host_info
0000000180429f68 (__TEXT,__text) external _host_kernel_version
000000018042aed4 (__TEXT,__text) external _host_lockgroup_info
000000018041afe8 (__TEXT,__text) external _host_page_size
0000000180427cb8 (__TEXT,__text) external _host_priv_statistics
000000018042a44c (__TEXT,__text) external _host_processor_info
0000000180429690 (__TEXT,__text) external _host_processor_set_priv
000000018042950c (__TEXT,__text) external _host_processor_sets
000000018042844c (__TEXT,__text) external _host_processors
0000000180427b98 (__TEXT,__text) external _host_reboot
000000018042b558 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
000000018042b6ec (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
000000018040ae6c (__TEXT,__text) external _host_request_notification
0000000180429c7c (__TEXT,__text) external _host_security_create_task_token
0000000180429e20 (__TEXT,__text) external _host_security_set_task_token
000000018041b900 (__TEXT,__text) external _host_self
0000000180408d20 (__TEXT,__text) external _host_self_trap
0000000180429808 (__TEXT,__text) external _host_set_UNDServer
000000018042b874 (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000180428c8c (__TEXT,__text) external _host_set_exception_ports
000000018042bbac (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180428b58 (__TEXT,__text) external _host_set_special_port
0000000180413424 (__TEXT,__text) external _host_statistics
0000000180412ca8 (__TEXT,__text) external _host_statistics64
0000000180429098 (__TEXT,__text) external _host_swap_exception_ports
000000018042a8d0 (__TEXT,__text) external _host_virtual_physical_table_info
00000001e6fca840 (__DATA,__data) external _important_boost_assertion_token
00000001ed1dc9c0 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
000000018041ad10 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001e6fca830 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
000000018041ac40 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001e6fca828 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
000000018041ab5c (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001e6fca820 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
000000018040d2c4 (__TEXT,__text) external _ioctl
0000000180408ae4 (__TEXT,__text) external _issetugid
00000001e6fca8e8 (__DATA,__bss) non-external _kAccountingThreshold
00000001804174ec (__TEXT,__text) external _kas_info
0000000180408980 (__TEXT,__text) external _kdebug_is_enabled
00000001804233e8 (__TEXT,__text) external _kdebug_signpost
0000000180413414 (__TEXT,__text) external _kdebug_signpost_end
0000000180413360 (__TEXT,__text) non-external _kdebug_signpost_internal
0000000180413350 (__TEXT,__text) external _kdebug_signpost_start
0000000180423398 (__TEXT,__text) external _kdebug_timestamp
00000001804233b0 (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001804233cc (__TEXT,__text) external _kdebug_timestamp_from_continuous
0000000180408a64 (__TEXT,__text) external _kdebug_trace
000000018040b92c (__TEXT,__text) external _kdebug_trace_string
00000001804089e0 (__TEXT,__text) external _kdebug_typefilter
00000001e82a3c90 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
0000000180423384 (__TEXT,__text) external _kdebug_using_continuous_time
000000018040ef38 (__TEXT,__text) external _kevent
0000000180414c18 (__TEXT,__text) external _kevent64
000000018040ab20 (__TEXT,__text) external _kevent_id
000000018040aaf4 (__TEXT,__text) external _kevent_qos
0000000180429a8c (__TEXT,__text) external _kext_request
0000000180410ffc (__TEXT,__text) external _kill
00000001804289b0 (__TEXT,__text) external _kmod_control
0000000180428740 (__TEXT,__text) external _kmod_create
0000000180428890 (__TEXT,__text) external _kmod_destroy
000000018042a74c (__TEXT,__text) external _kmod_get_info
000000018042664c (__TEXT,__text) external _kpersona_alloc
00000001804266cc (__TEXT,__text) external _kpersona_dealloc
0000000180426798 (__TEXT,__text) external _kpersona_find
0000000180426878 (__TEXT,__text) external _kpersona_find_by_type
000000018040cfe8 (__TEXT,__text) external _kpersona_get
0000000180426710 (__TEXT,__text) external _kpersona_getpath
000000018040cce8 (__TEXT,__text) external _kpersona_info
000000018042668c (__TEXT,__text) external _kpersona_palloc
0000000180426754 (__TEXT,__text) external _kpersona_pidinfo
000000018040ef0c (__TEXT,__text) external _kqueue
000000018040e8f0 (__TEXT,__text) external _lchown
0000000180417518 (__TEXT,__text) external _ledger
000000018040d6cc (__TEXT,__text) external _link
0000000180417544 (__TEXT,__text) external _linkat
0000000180417570 (__TEXT,__text) external _lio_listio
00000001804116a0 (__TEXT,__text) external _listen
000000018040c5b8 (__TEXT,__text) external _listxattr
0000000180433dd0 (__TEXT,__text) external _lock_set_create
0000000180433f3c (__TEXT,__text) external _lock_set_destroy
000000018041ddc8 (__TEXT,__text) external _log_data_as_kernel
000000018040a6d0 (__TEXT,__text) external _lseek
00000001804148e0 (__TEXT,__text) external _lstat
00000001804148e0 (__TEXT,__text) external _lstat64
0000000180409254 (__TEXT,__text) external _mach_absolute_time
00000001804092d8 (__TEXT,__text) external _mach_absolute_time_kernel
000000018040a530 (__TEXT,__text) external _mach_approximate_time
000000018041d2ac (__TEXT,__text) external _mach_boottime_usec
0000000180410484 (__TEXT,__text) external _mach_continuous_approximate_time
00000001804091dc (__TEXT,__text) external _mach_continuous_time
00000001804092e4 (__TEXT,__text) external _mach_continuous_time_kernel
000000018041af60 (__TEXT,__text) external _mach_error
00000001e6fca8b0 (__DATA,__common) external _mach_error_full_diag
000000018040f584 (__TEXT,__text) external _mach_error_string
000000018040f5a8 (__TEXT,__text) non-external _mach_error_string_int
000000018041ae90 (__TEXT,__text) external _mach_error_type
000000018043b46c (__TEXT,__text) external _mach_eventlink_associate
000000018043b1ac (__TEXT,__text) external _mach_eventlink_create
000000018043b34c (__TEXT,__text) external _mach_eventlink_destroy
000000018043b5b4 (__TEXT,__text) external _mach_eventlink_disassociate
000000018041d788 (__TEXT,__text) external _mach_eventlink_signal
000000018041d7e4 (__TEXT,__text) external _mach_eventlink_signal_wait_until
000000018041d7a4 (__TEXT,__text) external _mach_eventlink_wait_until
0000000180408dbc (__TEXT,__text) external _mach_generate_activity_id
000000018040ad84 (__TEXT,__text) external _mach_get_times
0000000180409af0 (__TEXT,__text) external _mach_host_self
0000000180419444 (__TEXT,__text) external _mach_host_special_port_description
00000001e4d3b848 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
00000001804194a4 (__TEXT,__text) external _mach_host_special_port_for_id
00000001e6fca6a8 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
000000018040eb68 (__TEXT,__text) external _mach_init
00000001e82a3c78 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
000000018040eba0 (__TEXT,__text) non-external _mach_init_doit
00000001804300e0 (__TEXT,__text) external _mach_make_memory_entry
000000018040a364 (__TEXT,__text) external _mach_make_memory_entry_64
000000018043aef4 (__TEXT,__text) external _mach_memory_entry_access_tracking
000000018043b074 (__TEXT,__text) external _mach_memory_entry_ownership
000000018043ad98 (__TEXT,__text) external _mach_memory_entry_purgable_control
000000018042b994 (__TEXT,__text) external _mach_memory_info
000000018042a2bc (__TEXT,__text) external _mach_memory_object_memory_entry
000000018042ad44 (__TEXT,__text) external _mach_memory_object_memory_entry_64
0000000180409160 (__TEXT,__text) external _mach_msg
000000018041b594 (__TEXT,__text) external _mach_msg2_internal
0000000180408dec (__TEXT,__text) external _mach_msg2_trap
0000000180409c60 (__TEXT,__text) external _mach_msg_destroy
0000000180409d9c (__TEXT,__text) non-external _mach_msg_destroy_port
00000001804117e8 (__TEXT,__text) external _mach_msg_overwrite
0000000180408d38 (__TEXT,__text) external _mach_msg_overwrite_trap
000000018041b6e0 (__TEXT,__text) external _mach_msg_priority_encode
000000018041b6d0 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
000000018041b714 (__TEXT,__text) external _mach_msg_priority_overide_qos
000000018041b724 (__TEXT,__text) external _mach_msg_priority_qos
000000018041b734 (__TEXT,__text) external _mach_msg_priority_relpri
00000001804152b8 (__TEXT,__text) external _mach_msg_receive
000000018040d690 (__TEXT,__text) external _mach_msg_send
0000000180410c94 (__TEXT,__text) external _mach_msg_server
0000000180411aa4 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
000000018041b6cc (__TEXT,__text) external _mach_msg_server_importance
0000000180414060 (__TEXT,__text) external _mach_msg_server_once
0000000180408d2c (__TEXT,__text) external _mach_msg_trap
0000000180430f80 (__TEXT,__text) external _mach_notify_dead_name
0000000180430ebc (__TEXT,__text) external _mach_notify_no_senders
0000000180430de0 (__TEXT,__text) external _mach_notify_port_deleted
0000000180430e48 (__TEXT,__text) external _mach_notify_port_destroyed
0000000180430f24 (__TEXT,__text) external _mach_notify_send_once
000000018040afa0 (__TEXT,__text) external _mach_port_allocate
00000001804260c0 (__TEXT,__text) external _mach_port_allocate_full
00000001804260ac (__TEXT,__text) external _mach_port_allocate_name
00000001804260bc (__TEXT,__text) external _mach_port_allocate_qos
0000000180426330 (__TEXT,__text) external _mach_port_assert_attributes
0000000180409f38 (__TEXT,__text) external _mach_port_construct
000000018040a110 (__TEXT,__text) external _mach_port_deallocate
000000018040e654 (__TEXT,__text) external _mach_port_destroy
000000018040a764 (__TEXT,__text) external _mach_port_destruct
0000000180426260 (__TEXT,__text) external _mach_port_dnrequest_info
000000018040c440 (__TEXT,__text) external _mach_port_extract_member
000000018041306c (__TEXT,__text) external _mach_port_extract_right
000000018040b730 (__TEXT,__text) external _mach_port_get_attributes
000000018040e2bc (__TEXT,__text) external _mach_port_get_context
000000018040c288 (__TEXT,__text) external _mach_port_get_refs
000000018042632c (__TEXT,__text) external _mach_port_get_service_port_info
0000000180414e8c (__TEXT,__text) external _mach_port_get_set_status
00000001804260c8 (__TEXT,__text) external _mach_port_get_srights
000000018040bc98 (__TEXT,__text) external _mach_port_guard
0000000180426320 (__TEXT,__text) external _mach_port_guard_with_flags
000000018040b010 (__TEXT,__text) external _mach_port_insert_member
000000018040b23c (__TEXT,__text) external _mach_port_insert_right
0000000180426328 (__TEXT,__text) external _mach_port_is_connection_for_service
0000000180426264 (__TEXT,__text) external _mach_port_kernel_object
00000001804262a8 (__TEXT,__text) external _mach_port_kobject
00000001804262ac (__TEXT,__text) external _mach_port_kobject_description
00000001804094ec (__TEXT,__text) external _mach_port_mod_refs
000000018040df4c (__TEXT,__text) external _mach_port_move_member
00000001804260a4 (__TEXT,__text) external _mach_port_names
00000001804260b0 (__TEXT,__text) external _mach_port_peek
00000001804260a8 (__TEXT,__text) external _mach_port_rename
000000018040abd0 (__TEXT,__text) external _mach_port_request_notification
000000018040b7bc (__TEXT,__text) external _mach_port_set_attributes
0000000180414d68 (__TEXT,__text) external _mach_port_set_context
00000001804260b4 (__TEXT,__text) external _mach_port_set_mscount
00000001804260b8 (__TEXT,__text) external _mach_port_set_seqno
00000001804260d0 (__TEXT,__text) external _mach_port_space_basic_info
00000001804260cc (__TEXT,__text) external _mach_port_space_info
0000000180426324 (__TEXT,__text) external _mach_port_swap_guard
000000018040ba00 (__TEXT,__text) external _mach_port_type
00000001804262b0 (__TEXT,__text) external _mach_port_unguard
0000000180414a2c (__TEXT,__text) external _mach_ports_lookup
000000018041d400 (__TEXT,__text) non-external _mach_ports_lookup_legacy
0000000180410814 (__TEXT,__text) external _mach_ports_register
000000018041d30c (__TEXT,__text) non-external _mach_ports_register_legacy
0000000180408cfc (__TEXT,__text) external _mach_reply_port
000000018041bc08 (__TEXT,__text) external _mach_right_recv_construct
000000018041bccc (__TEXT,__text) external _mach_right_recv_destruct
000000018041bd64 (__TEXT,__text) external _mach_right_send_create
000000018041beac (__TEXT,__text) external _mach_right_send_once_consume
000000018041be40 (__TEXT,__text) external _mach_right_send_once_create
000000018040d6f8 (__TEXT,__text) external _mach_right_send_release
000000018041bdcc (__TEXT,__text) external _mach_right_send_retain
0000000180426140 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001804261ec (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
000000018041d2bc (__TEXT,__text) external _mach_task_is_self
000000018041bc04 (__TEXT,__text) external _mach_task_self
00000001e82a3c60 (__DATA_DIRTY,__common) external _mach_task_self_
0000000180419464 (__TEXT,__text) external _mach_task_special_port_description
00000001e4d3b960 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
0000000180419568 (__TEXT,__text) external _mach_task_special_port_for_id
00000001e6fca7a0 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
000000018040ec94 (__TEXT,__text) external _mach_thread_self
0000000180419484 (__TEXT,__text) external _mach_thread_special_port_description
00000001e4d3b9c0 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
0000000180419578 (__TEXT,__text) external _mach_thread_special_port_for_id
00000001e6fca800 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
0000000180409184 (__TEXT,__text) external _mach_timebase_info
00000001e82a3c84 (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
0000000180408eac (__TEXT,__text) external _mach_timebase_info_trap
000000018040b0c0 (__TEXT,__text) external _mach_vm_allocate
000000018042fb60 (__TEXT,__text) external _mach_vm_behavior_set
0000000180410b74 (__TEXT,__text) external _mach_vm_copy
000000018040a860 (__TEXT,__text) external _mach_vm_deallocate
00000001804308cc (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_init
00000001804309ec (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_synchronize
0000000180430b0c (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
000000018042f4c8 (__TEXT,__text) external _mach_vm_inherit
000000018042fc84 (__TEXT,__text) external _mach_vm_machine_attribute
0000000180408b10 (__TEXT,__text) external _mach_vm_map
000000018042fa3c (__TEXT,__text) external _mach_vm_msync
00000001804303d8 (__TEXT,__text) external _mach_vm_page_info
000000018042ff78 (__TEXT,__text) external _mach_vm_page_query
00000001804305c4 (__TEXT,__text) external _mach_vm_page_range_query
000000018040cb24 (__TEXT,__text) external _mach_vm_protect
000000018040c6c8 (__TEXT,__text) external _mach_vm_purgable_control
0000000180430c2c (__TEXT,__text) external _mach_vm_range_create
0000000180426464 (__TEXT,__text) external _mach_vm_read
000000018042f778 (__TEXT,__text) external _mach_vm_read_list
0000000180413f0c (__TEXT,__text) external _mach_vm_read_overwrite
000000018041c2c0 (__TEXT,__text) external _mach_vm_reclaim_is_available
000000018041c2e4 (__TEXT,__text) external _mach_vm_reclaim_is_reclaimed
000000018041c024 (__TEXT,__text) external _mach_vm_reclaim_mark_free
000000018041c19c (__TEXT,__text) external _mach_vm_reclaim_mark_used
000000018041bf5c (__TEXT,__text) external _mach_vm_reclaim_ringbuffer_init
000000018041c308 (__TEXT,__text) external _mach_vm_reclaim_synchronize
000000018041c2ac (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
000000018040d808 (__TEXT,__text) external _mach_vm_region
0000000180413c98 (__TEXT,__text) external _mach_vm_region_recurse
0000000180426334 (__TEXT,__text) external _mach_vm_remap
00000001804263cc (__TEXT,__text) external _mach_vm_remap_new
00000001804293d4 (__TEXT,__text) external _mach_vm_wire
000000018042f900 (__TEXT,__text) external _mach_vm_write
000000018040da6c (__TEXT,__text) external _mach_voucher_attr_command
000000018040a728 (__TEXT,__text) external _mach_voucher_deallocate
000000018043bb88 (__TEXT,__text) external _mach_voucher_debug_info
000000018043b930 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
000000018041382c (__TEXT,__text) external _mach_voucher_extract_attr_content
000000018040b6b8 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
0000000180408e7c (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
0000000180408eb8 (__TEXT,__text) external _mach_wait_until
000000018042b238 (__TEXT,__text) external _mach_zone_force_gc
000000018042c184 (__TEXT,__text) external _mach_zone_get_btlog_records
000000018042bff0 (__TEXT,__text) external _mach_zone_get_zlog_zones
000000018042b068 (__TEXT,__text) external _mach_zone_info
000000018042be40 (__TEXT,__text) external _mach_zone_info_for_largest_zone
000000018042bccc (__TEXT,__text) external _mach_zone_info_for_zone
0000000180408e34 (__TEXT,__text) external _macx_backing_store_recovery
0000000180408e28 (__TEXT,__text) external _macx_backing_store_suspend
0000000180408e04 (__TEXT,__text) external _macx_swapoff
0000000180408df8 (__TEXT,__text) external _macx_swapon
0000000180408e1c (__TEXT,__text) external _macx_triggers
000000018040ba70 (__TEXT,__text) external _madvise
000000018040f86c (__TEXT,__text) non-external (was a private external) _malloc
00000001e6fca8e0 (__DATA,__bss) non-external _master_host_port
00000001804090bc (__TEXT,__text) non-external _memcpy
00000001804183fc (__TEXT,__text) non-external _memmove
0000000180411d20 (__TEXT,__text) external _memorystatus_control
00000001804175c8 (__TEXT,__text) external _memorystatus_get_level
000000018041b74c (__TEXT,__text) external _mig_allocate
000000018040c02c (__TEXT,__text) external _mig_dealloc_reply_port
00000001804260d4 (__TEXT,__text) external _mig_dealloc_special_reply_port
000000018040e9a0 (__TEXT,__text) external _mig_deallocate
00000001804090cc (__TEXT,__text) external _mig_get_reply_port
000000018040a54c (__TEXT,__text) external _mig_get_special_reply_port
000000018040e1c0 (__TEXT,__text) external _mig_put_reply_port
000000018040d7d4 (__TEXT,__text) external _mig_reply_setup
000000018040e1c4 (__TEXT,__text) external _mig_strncpy
