000000018246f8a8 (__DATA,__data) external _NDR_record
000000018044b290 (__DATA_CONST,__const) non-external _err_codes_ufs
000000018044afc8 (__DATA_CONST,__const) non-external _err_codes_unix
000000018044b3d0 (__DATA_CONST,__const) non-external _err_codes_us
000000018044b5b8 (__DATA_CONST,__const) non-external _err_codes_ux_signal
000000018044b6a8 (__DATA_CONST,__const) non-external _err_codes_xkernel
000000018044ad10 (__DATA_CONST,__const) non-external _err_ipc_sub
000000018044ad88 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
000000018044a9f0 (__DATA_CONST,__const) non-external _err_os_sub
000000018044aa90 (__DATA_CONST,__const) non-external _err_server_sub
00000001803a9a40 (__TEXT,__const) non-external _err_us_sub
000000018246f930 (__DATA,__common) external _errno
00000001803a4e44 (__TEXT,__text) external _etap_trace_thread
000000018038fb68 (__TEXT,__text) external _exc_server
000000018038fb34 (__TEXT,__text) external _exc_server_routine
000000018038f178 (__TEXT,__text) external _exception_raise
000000018038f2f4 (__TEXT,__text) external _exception_raise_state
000000018038f568 (__TEXT,__text) external _exception_raise_state_identity
000000018037b040 (__TEXT,__text) external _exchangedata
0000000180385a28 (__TEXT,__text) external _execve
000000018037b06c (__TEXT,__text) external _faccessat
000000018037b098 (__TEXT,__text) external _fchdir
000000018037b0c4 (__TEXT,__text) external _fchflags
0000000180383830 (__TEXT,__text) external _fchmod
000000018037b0f0 (__TEXT,__text) external _fchmodat
000000018037b11c (__TEXT,__text) external _fchown
000000018037b148 (__TEXT,__text) external _fchownat
000000018037b174 (__TEXT,__text) external _fclonefileat
00000001803860f0 (__TEXT,__text) external _fcntl
0000000180385d80 (__TEXT,__text) external _fcntl$NOCANCEL
000000018037b1a0 (__TEXT,__text) external _fdatasync
000000018037b1cc (__TEXT,__text) external _ffsctl
000000018037b1f8 (__TEXT,__text) external _fgetattrlist
000000018037b224 (__TEXT,__text) external _fgetxattr
000000018037b250 (__TEXT,__text) external _fhopen
000000018037b27c (__TEXT,__text) external _fileport_makefd
000000018037b2a8 (__TEXT,__text) external _fileport_makeport
000000018037b2d4 (__TEXT,__text) external _flistxattr
000000018037b300 (__TEXT,__text) external _flock
000000018037b32c (__TEXT,__text) external _fmount
000000018037b358 (__TEXT,__text) external _fpathconf
000000018037f378 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
000000018037b384 (__TEXT,__text) external _freadlink
000000018037b3b0 (__TEXT,__text) external _fremovexattr
0000000180389d60 (__TEXT,__text) external _fs_snapshot_create
0000000180389db0 (__TEXT,__text) external _fs_snapshot_delete
0000000180389d7c (__TEXT,__text) external _fs_snapshot_list
0000000180389e20 (__TEXT,__text) external _fs_snapshot_mount
0000000180389dcc (__TEXT,__text) external _fs_snapshot_rename
0000000180389de8 (__TEXT,__text) external _fs_snapshot_revert
0000000180389e04 (__TEXT,__text) external _fs_snapshot_root
000000018037b3dc (__TEXT,__text) external _fsctl
000000018037b408 (__TEXT,__text) external _fsetattrlist
000000018037b434 (__TEXT,__text) external _fsetxattr
000000018037b460 (__TEXT,__text) external _fsgetpath
000000018037b48c (__TEXT,__text) external _fsgetpath_ext
000000018037b4b8 (__TEXT,__text) external _fstat
000000018037b4b8 (__TEXT,__text) external _fstat64
000000018037b4e4 (__TEXT,__text) external _fstatat
000000018037b4e4 (__TEXT,__text) external _fstatat64
000000018037b510 (__TEXT,__text) external _fstatfs
000000018037b510 (__TEXT,__text) external _fstatfs64
000000018037b53c (__TEXT,__text) external _fsync
0000000180378ab8 (__TEXT,__text) external _fsync$NOCANCEL
000000018037b568 (__TEXT,__text) external _ftruncate
0000000180383054 (__TEXT,__text) external _futimens
000000018037b594 (__TEXT,__text) external _futimes
000000018246f8b0 (__DATA,__crash_info) non-external _gCRAnnotations
0000000180378ae4 (__TEXT,__text) external _getattrlist
000000018037b5c0 (__TEXT,__text) external _getattrlistat
000000018037b5ec (__TEXT,__text) external _getattrlistbulk
000000018038e52c (__TEXT,__text) external _getaudit
000000018037b618 (__TEXT,__text) external _getaudit_addr
000000018037b644 (__TEXT,__text) external _getauid
000000018037b670 (__TEXT,__text) external _getdirentries
000000018037b69c (__TEXT,__text) external _getdirentriesattr
000000018037b6c8 (__TEXT,__text) external _getdtablesize
000000018037b6f4 (__TEXT,__text) external _getegid
000000018037b720 (__TEXT,__text) external _getentropy
000000018037b74c (__TEXT,__text) external _geteuid
000000018037b778 (__TEXT,__text) external _getfh
000000018037b7a4 (__TEXT,__text) external _getfsstat
000000018037b7a4 (__TEXT,__text) external _getfsstat64
000000018037b7d0 (__TEXT,__text) external _getgid
000000018037b7fc (__TEXT,__text) external _getgroups
0000000180382d88 (__TEXT,__text) external _gethostuuid
0000000180380dc0 (__TEXT,__text) external _getiopolicy_np
000000018037b828 (__TEXT,__text) external _getitimer
0000000180378b94 (__TEXT,__text) external _getpeername
000000018037b854 (__TEXT,__text) external _getpgid
000000018037b880 (__TEXT,__text) external _getpgrp
0000000180378bc0 (__TEXT,__text) external _getpid
000000018037b8ac (__TEXT,__text) external _getppid
000000018037b8d8 (__TEXT,__text) external _getpriority
0000000180386280 (__TEXT,__text) external _getrlimit
000000018037b904 (__TEXT,__text) external _getrusage
0000000180378c3c (__TEXT,__text) external _getsgroups_np
000000018037b930 (__TEXT,__text) external _getsid
0000000180378c68 (__TEXT,__text) external _getsockname
000000018037b95c (__TEXT,__text) external _getsockopt
000000018037b988 (__TEXT,__text) external _getuid
0000000180378d1c (__TEXT,__text) external _getwgroups_np
000000018037b9b4 (__TEXT,__text) external _getxattr
000000018037b9e0 (__TEXT,__text) external _grab_pgo_data
000000018037ba0c (__TEXT,__text) external _graftdmg
000000018037ba38 (__TEXT,__text) external _guarded_close_np
000000018037ba64 (__TEXT,__text) external _guarded_kqueue_np
000000018037f3f4 (__TEXT,__text) external _guarded_open_dprotected_np
000000018038e98c (__TEXT,__text) external _guarded_open_np
000000018037ba90 (__TEXT,__text) external _guarded_pwrite_np
000000018037babc (__TEXT,__text) external _guarded_write_np
000000018037bae8 (__TEXT,__text) external _guarded_writev_np
00000001803ad15c (__TEXT,__cstring) non-external _hex
000000018037f444 (__TEXT,__text) external _host_check_multiuser_mode
000000018037f44c (__TEXT,__text) external _host_create_mach_voucher
0000000180377fc4 (__TEXT,__text) external _host_create_mach_voucher_trap
000000018039014c (__TEXT,__text) external _host_default_memory_manager
0000000180391d10 (__TEXT,__text) external _host_get_UNDServer
000000018037f424 (__TEXT,__text) external _host_get_atm_diagnostic_flag
000000018038fbf4 (__TEXT,__text) external _host_get_boot_info
0000000180390840 (__TEXT,__text) external _host_get_clock_control
0000000180392d50 (__TEXT,__text) external _host_get_clock_service
00000001803911a0 (__TEXT,__text) external _host_get_exception_ports
0000000180392bf0 (__TEXT,__text) external _host_get_io_main
000000018037f4c4 (__TEXT,__text) external _host_get_io_master
000000018037f43c (__TEXT,__text) external _host_get_multiuser_config_flags
0000000180390dc8 (__TEXT,__text) external _host_get_special_port
000000018039234c (__TEXT,__text) external _host_info
0000000180392570 (__TEXT,__text) external _host_kernel_version
00000001803939a0 (__TEXT,__text) external _host_lockgroup_info
000000018037f884 (__TEXT,__text) external _host_page_size
000000018038ff28 (__TEXT,__text) external _host_priv_statistics
0000000180392a50 (__TEXT,__text) external _host_processor_info
0000000180391a74 (__TEXT,__text) external _host_processor_set_priv
00000001803918f0 (__TEXT,__text) external _host_processor_sets
00000001803906bc (__TEXT,__text) external _host_processors
000000018038fe08 (__TEXT,__text) external _host_reboot
000000018039425c (__TEXT,__text) external _host_register_mach_voucher_attr_manager
00000001803943f0 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
000000018039386c (__TEXT,__text) external _host_request_notification
0000000180392060 (__TEXT,__text) external _host_security_create_task_token
0000000180392204 (__TEXT,__text) external _host_security_set_task_token
0000000180380c14 (__TEXT,__text) external _host_self
0000000180377e74 (__TEXT,__text) external _host_self_trap
0000000180391bec (__TEXT,__text) external _host_set_UNDServer
0000000180394578 (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000180391068 (__TEXT,__text) external _host_set_exception_ports
00000001803948b0 (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180390f34 (__TEXT,__text) external _host_set_special_port
0000000180393648 (__TEXT,__text) external _host_statistics
0000000180393b34 (__TEXT,__text) external _host_statistics64
0000000180391480 (__TEXT,__text) external _host_swap_exception_ports
0000000180393044 (__TEXT,__text) external _host_virtual_physical_table_info
000000018246f888 (__DATA,__data) external _important_boost_assertion_token
00000001824adfb0 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
000000018037f26c (__TEXT,__text) non-external _internal_catch_exception_raise
000000018246f878 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
000000018037f140 (__TEXT,__text) non-external _internal_catch_exception_raise_state
000000018246f870 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
000000018037f000 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
000000018246f868 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
0000000180386300 (__TEXT,__text) external _ioctl
000000018037bb14 (__TEXT,__text) external _issetugid
000000018246ffb8 (__DATA,__bss) non-external _kAccountingThreshold
000000018037bb40 (__TEXT,__text) external _kas_info
000000018038a02c (__TEXT,__text) external _kdebug_is_enabled
000000018038a218 (__TEXT,__text) external _kdebug_signpost
000000018038a2e4 (__TEXT,__text) external _kdebug_signpost_end
000000018038a220 (__TEXT,__text) non-external _kdebug_signpost_internal
000000018038a2d4 (__TEXT,__text) external _kdebug_signpost_start
000000018038a0a0 (__TEXT,__text) external _kdebug_timestamp
000000018038a0b8 (__TEXT,__text) external _kdebug_timestamp_from_absolute
000000018038a0d4 (__TEXT,__text) external _kdebug_timestamp_from_continuous
000000018038a0f0 (__TEXT,__text) external _kdebug_trace
000000018038a170 (__TEXT,__text) external _kdebug_trace_string
0000000180389fa8 (__TEXT,__text) external _kdebug_typefilter
000000018246ffe0 (__DATA,__bss) non-external _kdebug_typefilter.typefilter
000000018038a08c (__TEXT,__text) external _kdebug_using_continuous_time
000000018037bb6c (__TEXT,__text) external _kevent
000000018037bb98 (__TEXT,__text) external _kevent64
000000018037bbc4 (__TEXT,__text) external _kevent_id
000000018037bbf0 (__TEXT,__text) external _kevent_qos
0000000180391e70 (__TEXT,__text) external _kext_request
0000000180389b14 (__TEXT,__text) external _kill
0000000180390c20 (__TEXT,__text) external _kmod_control
00000001803909b0 (__TEXT,__text) external _kmod_create
0000000180390b00 (__TEXT,__text) external _kmod_destroy
0000000180392ec0 (__TEXT,__text) external _kmod_get_info
000000018038e618 (__TEXT,__text) external _kpersona_alloc
000000018038e698 (__TEXT,__text) external _kpersona_dealloc
000000018038e7e8 (__TEXT,__text) external _kpersona_find
000000018038e8d0 (__TEXT,__text) external _kpersona_find_by_type
000000018038e6dc (__TEXT,__text) external _kpersona_get
000000018038e71c (__TEXT,__text) external _kpersona_getpath
000000018038e760 (__TEXT,__text) external _kpersona_info
000000018038e658 (__TEXT,__text) external _kpersona_palloc
000000018038e7a4 (__TEXT,__text) external _kpersona_pidinfo
000000018037bc1c (__TEXT,__text) external _kqueue
0000000180378f58 (__TEXT,__text) external _lchown
000000018037bc48 (__TEXT,__text) external _ledger
000000018037bc74 (__TEXT,__text) external _link
000000018037bca0 (__TEXT,__text) external _linkat
000000018037bccc (__TEXT,__text) external _lio_listio
0000000180378f84 (__TEXT,__text) external _listen
000000018037bcf8 (__TEXT,__text) external _listxattr
000000018039ea68 (__TEXT,__text) external _lock_set_create
000000018039ebd4 (__TEXT,__text) external _lock_set_destroy
000000018038382c (__TEXT,__text) external _log_data_as_kernel
0000000180378fdc (__TEXT,__text) external _lseek
000000018037bd24 (__TEXT,__text) external _lstat
000000018037bd24 (__TEXT,__text) external _lstat64
0000000180377d00 (__TEXT,__text) external _mach_absolute_time
0000000180377d84 (__TEXT,__text) external _mach_absolute_time_kernel
0000000180382d6c (__TEXT,__text) external _mach_approximate_time
0000000180382e64 (__TEXT,__text) external _mach_boottime_usec
000000018037ef48 (__TEXT,__text) external _mach_continuous_approximate_time
000000018037eed0 (__TEXT,__text) external _mach_continuous_time
0000000180377d90 (__TEXT,__text) external _mach_continuous_time_kernel
000000018037f7fc (__TEXT,__text) external _mach_error
000000018246f8f8 (__DATA,__common) external _mach_error_full_diag
000000018037f7d8 (__TEXT,__text) external _mach_error_string
000000018037f648 (__TEXT,__text) non-external _mach_error_string_int
000000018037f4c8 (__TEXT,__text) external _mach_error_type
00000001803a80b0 (__TEXT,__text) external _mach_eventlink_associate
00000001803a7df0 (__TEXT,__text) external _mach_eventlink_create
00000001803a7f90 (__TEXT,__text) external _mach_eventlink_destroy
00000001803a81f8 (__TEXT,__text) external _mach_eventlink_disassociate
0000000180382fb8 (__TEXT,__text) external _mach_eventlink_signal
0000000180383014 (__TEXT,__text) external _mach_eventlink_signal_wait_until
0000000180382fd4 (__TEXT,__text) external _mach_eventlink_wait_until
0000000180377f10 (__TEXT,__text) external _mach_generate_activity_id
0000000180385f10 (__TEXT,__text) external _mach_get_times
0000000180381014 (__TEXT,__text) external _mach_host_self
000000018037d748 (__TEXT,__text) external _mach_host_special_port_description
000000018044a860 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
000000018037d7a8 (__TEXT,__text) external _mach_host_special_port_for_id
000000018246f6f0 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
000000018037f898 (__TEXT,__text) external _mach_init
000000018246ffa8 (__DATA,__bss) non-external _mach_init.mach_init_inited
000000018037f8d0 (__TEXT,__text) non-external _mach_init_doit
000000018039a34c (__TEXT,__text) external _mach_make_memory_entry
00000001803a7270 (__TEXT,__text) external _mach_make_memory_entry_64
00000001803a7b38 (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001803a7cb8 (__TEXT,__text) external _mach_memory_entry_ownership
00000001803a79dc (__TEXT,__text) external _mach_memory_entry_purgable_control
0000000180394698 (__TEXT,__text) external _mach_memory_info
00000001803928c0 (__TEXT,__text) external _mach_memory_object_memory_entry
00000001803934b8 (__TEXT,__text) external _mach_memory_object_memory_entry_64
000000018037fa9c (__TEXT,__text) external _mach_msg
000000018037f990 (__TEXT,__text) external _mach_msg2_internal
0000000180377f40 (__TEXT,__text) external _mach_msg2_trap
000000018037fd84 (__TEXT,__text) external _mach_msg_destroy
000000018037fee0 (__TEXT,__text) non-external _mach_msg_destroy_port
000000018037fac0 (__TEXT,__text) external _mach_msg_overwrite
0000000180377e8c (__TEXT,__text) external _mach_msg_overwrite_trap
0000000180380704 (__TEXT,__text) external _mach_msg_priority_encode
00000001803806f4 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
0000000180380738 (__TEXT,__text) external _mach_msg_priority_overide_qos
0000000180380748 (__TEXT,__text) external _mach_msg_priority_qos
0000000180380758 (__TEXT,__text) external _mach_msg_priority_relpri
000000018037fd48 (__TEXT,__text) external _mach_msg_receive
000000018037fd0c (__TEXT,__text) external _mach_msg_send
0000000180380344 (__TEXT,__text) external _mach_msg_server
00000001803802dc (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001803806e0 (__TEXT,__text) external _mach_msg_server_importance
0000000180380004 (__TEXT,__text) external _mach_msg_server_once
0000000180377e80 (__TEXT,__text) external _mach_msg_trap
000000018039b038 (__TEXT,__text) external _mach_notify_dead_name
000000018039af74 (__TEXT,__text) external _mach_notify_no_senders
000000018039ae98 (__TEXT,__text) external _mach_notify_port_deleted
000000018039af00 (__TEXT,__text) external _mach_notify_port_destroyed
000000018039afdc (__TEXT,__text) external _mach_notify_send_once
000000018038d3d4 (__TEXT,__text) external _mach_port_allocate
000000018038d758 (__TEXT,__text) external _mach_port_allocate_full
000000018038d3d0 (__TEXT,__text) external _mach_port_allocate_name
000000018038d754 (__TEXT,__text) external _mach_port_allocate_qos
000000018038dd64 (__TEXT,__text) external _mach_port_assert_attributes
000000018038db7c (__TEXT,__text) external _mach_port_construct
000000018038d448 (__TEXT,__text) external _mach_port_deallocate
000000018038d444 (__TEXT,__text) external _mach_port_destroy
000000018038d814 (__TEXT,__text) external _mach_port_destruct
000000018038da08 (__TEXT,__text) external _mach_port_dnrequest_info
000000018038dac0 (__TEXT,__text) external _mach_port_extract_member
000000018038d6bc (__TEXT,__text) external _mach_port_extract_right
000000018038d6c4 (__TEXT,__text) external _mach_port_get_attributes
000000018038db30 (__TEXT,__text) external _mach_port_get_context
000000018038d4a4 (__TEXT,__text) external _mach_port_get_refs
000000018038dd60 (__TEXT,__text) external _mach_port_get_service_port_info
000000018038d528 (__TEXT,__text) external _mach_port_get_set_status
000000018038d760 (__TEXT,__text) external _mach_port_get_srights
000000018038dbf4 (__TEXT,__text) external _mach_port_guard
000000018038dd54 (__TEXT,__text) external _mach_port_guard_with_flags
000000018038da50 (__TEXT,__text) external _mach_port_insert_member
000000018038d644 (__TEXT,__text) external _mach_port_insert_right
000000018038dd5c (__TEXT,__text) external _mach_port_is_connection_for_service
000000018038da0c (__TEXT,__text) external _mach_port_kernel_object
000000018038db74 (__TEXT,__text) external _mach_port_kobject
000000018038db78 (__TEXT,__text) external _mach_port_kobject_description
000000018038d4a8 (__TEXT,__text) external _mach_port_mod_refs
000000018038d52c (__TEXT,__text) external _mach_port_move_member
000000018038d358 (__TEXT,__text) external _mach_port_names
000000018038d520 (__TEXT,__text) external _mach_port_peek
000000018038d3cc (__TEXT,__text) external _mach_port_rename
000000018038d59c (__TEXT,__text) external _mach_port_request_notification
000000018038d750 (__TEXT,__text) external _mach_port_set_attributes
000000018038db70 (__TEXT,__text) external _mach_port_set_context
000000018038d524 (__TEXT,__text) external _mach_port_set_mscount
000000018038d6c0 (__TEXT,__text) external _mach_port_set_seqno
000000018038d768 (__TEXT,__text) external _mach_port_space_basic_info
000000018038d764 (__TEXT,__text) external _mach_port_space_info
000000018038dd58 (__TEXT,__text) external _mach_port_swap_guard
000000018038d35c (__TEXT,__text) external _mach_port_type
000000018038dc6c (__TEXT,__text) external _mach_port_unguard
000000018039d5a0 (__TEXT,__text) external _mach_ports_lookup
000000018039d46c (__TEXT,__text) external _mach_ports_register
0000000180377e50 (__TEXT,__text) external _mach_reply_port
00000001803810a8 (__TEXT,__text) external _mach_right_recv_construct
0000000180381170 (__TEXT,__text) external _mach_right_recv_destruct
0000000180381208 (__TEXT,__text) external _mach_right_send_create
00000001803813fc (__TEXT,__text) external _mach_right_send_once_consume
0000000180381390 (__TEXT,__text) external _mach_right_send_once_create
00000001803812e4 (__TEXT,__text) external _mach_right_send_release
0000000180381270 (__TEXT,__text) external _mach_right_send_retain
000000018038d8e8 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
000000018038d994 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
0000000180382e74 (__TEXT,__text) external _mach_task_is_self
0000000180381018 (__TEXT,__text) external _mach_task_self
000000018246ff90 (__DATA,__common) external _mach_task_self_
000000018037d768 (__TEXT,__text) external _mach_task_special_port_description
000000018044a970 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
000000018037d870 (__TEXT,__text) external _mach_task_special_port_for_id
000000018246f7e8 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
000000018038101c (__TEXT,__text) external _mach_thread_self
000000018037d788 (__TEXT,__text) external _mach_thread_special_port_description
000000018044a9d0 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
000000018037d880 (__TEXT,__text) external _mach_thread_special_port_for_id
000000018246f848 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
0000000180389f50 (__TEXT,__text) external _mach_timebase_info
000000018246ffd4 (__DATA,__bss) non-external _mach_timebase_info.cached_info
0000000180377ff4 (__TEXT,__text) external _mach_timebase_info_trap
000000018038dd68 (__TEXT,__text) external _mach_vm_allocate
00000001803997ec (__TEXT,__text) external _mach_vm_behavior_set
0000000180399454 (__TEXT,__text) external _mach_vm_copy
000000018038de1c (__TEXT,__text) external _mach_vm_deallocate
000000018039ab38 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_init
000000018039ac58 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_synchronize
000000018039ad78 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
0000000180398ee0 (__TEXT,__text) external _mach_vm_inherit
0000000180399aa4 (__TEXT,__text) external _mach_vm_machine_attribute
000000018038df98 (__TEXT,__text) external _mach_vm_map
00000001803996c8 (__TEXT,__text) external _mach_vm_msync
000000018039a644 (__TEXT,__text) external _mach_vm_page_info
0000000180399d98 (__TEXT,__text) external _mach_vm_page_query
000000018039a830 (__TEXT,__text) external _mach_vm_page_range_query
000000018038dec4 (__TEXT,__text) external _mach_vm_protect
000000018038e4b0 (__TEXT,__text) external _mach_vm_purgable_control
000000018038e20c (__TEXT,__text) external _mach_vm_read
0000000180399190 (__TEXT,__text) external _mach_vm_read_list
0000000180399574 (__TEXT,__text) external _mach_vm_read_overwrite
00000001803817e0 (__TEXT,__text) external _mach_vm_reclaim_is_available
0000000180381578 (__TEXT,__text) external _mach_vm_reclaim_mark_free
00000001803816bc (__TEXT,__text) external _mach_vm_reclaim_mark_used
00000001803814ac (__TEXT,__text) external _mach_vm_reclaim_ringbuffer_init
0000000180381800 (__TEXT,__text) external _mach_vm_reclaim_synchronize
00000001803817cc (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
000000018039a11c (__TEXT,__text) external _mach_vm_region
0000000180399f00 (__TEXT,__text) external _mach_vm_region_recurse
000000018038e0d4 (__TEXT,__text) external _mach_vm_remap
000000018038e170 (__TEXT,__text) external _mach_vm_remap_new
00000001803917b8 (__TEXT,__text) external _mach_vm_wire
0000000180399318 (__TEXT,__text) external _mach_vm_write
00000001803a8a10 (__TEXT,__text) external _mach_voucher_attr_command
00000001803806e4 (__TEXT,__text) external _mach_voucher_deallocate
00000001803a8c70 (__TEXT,__text) external _mach_voucher_debug_info
00000001803a87bc (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
00000001803a8324 (__TEXT,__text) external _mach_voucher_extract_attr_content
000000018038dcdc (__TEXT,__text) external _mach_voucher_extract_attr_recipe
0000000180377fd0 (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
0000000180378000 (__TEXT,__text) external _mach_wait_until
0000000180393f40 (__TEXT,__text) external _mach_zone_force_gc
0000000180394e88 (__TEXT,__text) external _mach_zone_get_btlog_records
0000000180394cf4 (__TEXT,__text) external _mach_zone_get_zlog_zones
0000000180393d70 (__TEXT,__text) external _mach_zone_info
0000000180394b44 (__TEXT,__text) external _mach_zone_info_for_largest_zone
00000001803949d0 (__TEXT,__text) external _mach_zone_info_for_zone
0000000180377f88 (__TEXT,__text) external _macx_backing_store_recovery
0000000180377f7c (__TEXT,__text) external _macx_backing_store_suspend
0000000180377f58 (__TEXT,__text) external _macx_swapoff
0000000180377f4c (__TEXT,__text) external _macx_swapon
0000000180377f70 (__TEXT,__text) external _macx_triggers
000000018037bd50 (__TEXT,__text) external _madvise
000000018037d0cc (__TEXT,__text) non-external (was a private external) _malloc
000000018246ffb0 (__DATA,__bss) non-external _master_host_port
000000018037d210 (__TEXT,__text) non-external _memcpy
000000018037bd7c (__TEXT,__text) external _memorystatus_control
000000018037bda8 (__TEXT,__text) external _memorystatus_get_level
0000000180380770 (__TEXT,__text) external _mig_allocate
00000001803809c8 (__TEXT,__text) external _mig_dealloc_reply_port
000000018038d7a8 (__TEXT,__text) external _mig_dealloc_special_reply_port
00000001803807cc (__TEXT,__text) external _mig_deallocate
0000000180380930 (__TEXT,__text) external _mig_get_reply_port
000000018038d76c (__TEXT,__text) external _mig_get_special_reply_port
0000000180380a40 (__TEXT,__text) external _mig_put_reply_port
00000001803808fc (__TEXT,__text) external _mig_reply_setup
0000000180380a44 (__TEXT,__text) external _mig_strncpy
0000000180380a8c (__TEXT,__text) external _mig_strncpy_zerofill
000000018037bdd4 (__TEXT,__text) external _mincore
000000018037be00 (__TEXT,__text) external _minherit
0000000180378024 (__TEXT,__text) external _mk_timer_arm
000000018037803c (__TEXT,__text) external _mk_timer_arm_leeway
0000000180378030 (__TEXT,__text) external _mk_timer_cancel
000000018037800c (__TEXT,__text) external _mk_timer_create
0000000180378018 (__TEXT,__text) external _mk_timer_destroy
000000018037be2c (__TEXT,__text) external _mkdir
000000018037be58 (__TEXT,__text) external _mkdirat
000000018037be84 (__TEXT,__text) external _mkfifo
000000018037beb0 (__TEXT,__text) external _mkfifoat
000000018037bedc (__TEXT,__text) external _mknod
000000018037bf08 (__TEXT,__text) external _mknodat
000000018037bf34 (__TEXT,__text) external _mlock
000000018037bf60 (__TEXT,__text) external _mlockall
0000000180389c78 (__TEXT,__text) external _mmap
000000018037bf8c (__TEXT,__text) external _mount
0000000180379480 (__TEXT,__text) external _mprotect
000000018037bfb8 (__TEXT,__text) external _mremap_encrypted
0000000180380c00 (__TEXT,__text) external _msg_receive
0000000180380bf0 (__TEXT,__text) external _msg_rpc
0000000180380bf8 (__TEXT,__text) external _msg_send
00000001803794ac (__TEXT,__text) external _msgctl
000000018037bfe4 (__TEXT,__text) external _msgget
000000018037c010 (__TEXT,__text) external _msgrcv
00000001803794d8 (__TEXT,__text) external _msgrcv$NOCANCEL
000000018037c03c (__TEXT,__text) external _msgsnd
0000000180379504 (__TEXT,__text) external _msgsnd$NOCANCEL
0000000180378304 (__TEXT,__text) external _msgsys
000000018037955c (__TEXT,__text) external _msync
0000000180379588 (__TEXT,__text) external _msync$NOCANCEL
000000018037c068 (__TEXT,__text) external _munlock
000000018037c094 (__TEXT,__text) external _munlockall
000000018038e9e8 (__TEXT,__text) external _munmap
000000018037c0c0 (__TEXT,__text) external _necp_client_action
000000018037c0ec (__TEXT,__text) external _necp_match_policy
000000018037c118 (__TEXT,__text) external _necp_open
000000018037c144 (__TEXT,__text) external _necp_session_action
000000018037c170 (__TEXT,__text) external _necp_session_open
000000018037c19c (__TEXT,__text) external _net_qos_guideline
000000018037c1c8 (__TEXT,__text) external _netagent_trigger
000000018039c8ec (__TEXT,__text) external _netname_check_in
000000018039ccf4 (__TEXT,__text) external _netname_check_out
000000018039ca98 (__TEXT,__text) external _netname_look_up
000000018039ce9c (__TEXT,__text) external _netname_version
0000000180382ec4 (__TEXT,__text) external _nfsclnt
000000018037c1f4 (__TEXT,__text) external _nfssvc
000000018246f898 (__DATA,__data) external _non_boost_assertion_token
000000018246f890 (__DATA,__data) external _normal_boost_assertion_token
000000018037c220 (__TEXT,__text) external _ntp_adjtime
000000018037c24c (__TEXT,__text) external _ntp_gettime
000000018037c278 (__TEXT,__text) external _objc_bp_assist_cfg_np
000000018038ba80 (__TEXT,__text) external _open
0000000180382f50 (__TEXT,__text) external _open$NOCANCEL
000000018038c578 (__TEXT,__text) external _open_dprotected_np
000000018038bab4 (__TEXT,__text) external _openat
0000000180382f84 (__TEXT,__text) external _openat$NOCANCEL
000000018038c634 (__TEXT,__text) external _openat_authenticated_np
000000018038c5d4 (__TEXT,__text) external _openat_dprotected_np
000000018037c2a4 (__TEXT,__text) external _openbyid_np
000000018037ec04 (__TEXT,__text) external _os_buflet_get_data_address
000000018037ebd4 (__TEXT,__text) external _os_buflet_get_data_length
000000018037ec0c (__TEXT,__text) external _os_buflet_get_data_limit
000000018037ebcc (__TEXT,__text) external _os_buflet_get_data_offset
000000018037ec1c (__TEXT,__text) external _os_buflet_get_gro_len
000000018037ec24 (__TEXT,__text) external _os_buflet_get_next_buf
000000018037ebf4 (__TEXT,__text) external _os_buflet_get_object_address
000000018037ebfc (__TEXT,__text) external _os_buflet_get_object_limit
000000018037ec14 (__TEXT,__text) external _os_buflet_get_object_offset
