0000000216f774f8 (__DATA,__bss) non-external _A
0000000208f83304 (__TEXT,__text) external _create_tagfilter_extension
0000000208f68f1c (__TEXT,__text) external _create_tasklist_extension
0000000208f84430 (__TEXT,__const) non-external _encode_unknown.repl
0000000208f82974 (__TEXT,__text) non-external _escape
0000000216f77370 (__DATA,__bss) non-external _extensions_lock
0000000216f77240 (__DATA,__data) non-external _extensions_once
0000000208f83348 (__TEXT,__text) non-external _filter
0000000208f7a6b8 (__TEXT,__text) non-external _finalize
0000000208f83814 (__TEXT,__text) non-external _finalize.cold.1
0000000208f83840 (__TEXT,__text) non-external _finalize.cold.2
0000000208f778b8 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
0000000208f7afc8 (__TEXT,__text) non-external _free_node_as
0000000208f82e6c (__TEXT,__text) non-external _free_table_cell
                 (undefined) external _fwrite (from libSystem)
0000000208f6908c (__TEXT,__text) non-external _get_type_string
0000000208f6bd58 (__TEXT,__text) non-external _get_type_string
0000000208f81a0c (__TEXT,__text) non-external _get_type_string
0000000208f80458 (__TEXT,__text) external _houdini_escape_href
0000000208f86b1e (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
0000000208f67dbc (__TEXT,__text) external _houdini_escape_html
0000000208f67c84 (__TEXT,__text) external _houdini_escape_html0
0000000208f805c4 (__TEXT,__text) external _houdini_unescape_ent
0000000208f8087c (__TEXT,__text) external _houdini_unescape_html
0000000208f809b8 (__TEXT,__text) external _houdini_unescape_html_f
0000000208f6923c (__TEXT,__text) non-external _html_render
0000000208f6bea8 (__TEXT,__text) non-external _html_render
0000000208f822d4 (__TEXT,__text) non-external _html_render
0000000208f840b4 (__TEXT,__text) non-external _html_render.cold.1
0000000208f82ebc (__TEXT,__text) non-external _html_table_add_align
0000000208f83294 (__TEXT,__text) non-external _init_arena
0000000208f83284 (__TEXT,__text) non-external _initialize_arena
0000000208f6ab34 (__TEXT,__text) non-external _initialize_extensions
0000000208f6c010 (__TEXT,__text) non-external _insert
0000000208f6a43c (__TEXT,__text) non-external _is_valid_hostchar
0000000208f6bdcc (__TEXT,__text) non-external _latex_render
0000000208f81d80 (__TEXT,__text) non-external _latex_render
0000000208f8405c (__TEXT,__text) non-external _latex_render.cold.1
0000000208f7f0b8 (__TEXT,__text) non-external _link_label
0000000208f83d2c (__TEXT,__text) non-external _link_label.cold.1
0000000208f83d54 (__TEXT,__text) non-external _link_label.cold.2
0000000208f83d7c (__TEXT,__text) non-external _link_label.cold.3
0000000208f83da4 (__TEXT,__text) non-external _link_label.cold.4
0000000208f83dcc (__TEXT,__text) non-external _link_label.cold.5
0000000208f7fc50 (__TEXT,__text) non-external _make_autolink
0000000208f83fd8 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
0000000208f6be00 (__TEXT,__text) non-external _man_render
0000000208f820a8 (__TEXT,__text) non-external _man_render
0000000208f84088 (__TEXT,__text) non-external _man_render.cold.1
0000000208f7f3bc (__TEXT,__text) non-external _manual_scan_link_url
0000000208f69d2c (__TEXT,__text) non-external _match
0000000208f6beec (__TEXT,__text) non-external _match
0000000208f69000 (__TEXT,__text) non-external _matches
0000000208f81294 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
0000000208f779b8 (__TEXT,__text) external _normalize_map_label
0000000208f835fc (__TEXT,__text) non-external _normalize_map_label.cold.1
0000000208f82874 (__TEXT,__text) non-external _opaque_alloc
0000000208f828f0 (__TEXT,__text) non-external _opaque_free
0000000208f69098 (__TEXT,__text) non-external _open_tasklist_item
0000000208f66aa4 (__TEXT,__text) non-external _outc
0000000208f6c6cc (__TEXT,__text) non-external _outc
0000000208f80a98 (__TEXT,__text) non-external _outc
0000000208f6bec8 (__TEXT,__text) non-external _plaintext_render
0000000208f6a120 (__TEXT,__text) non-external _postprocess
0000000208f6a48c (__TEXT,__text) non-external _postprocess_text
0000000208f7e734 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
0000000208f77c5c (__TEXT,__text) non-external _refcmp
0000000208f785c0 (__TEXT,__text) non-external _reference_free
0000000208f77ba0 (__TEXT,__text) non-external _refsearch
0000000208f77930 (__TEXT,__text) non-external _register_plugins
0000000216f77250 (__DATA,__data) non-external _registered_once
0000000208f7ed10 (__TEXT,__text) non-external _remove_delimiter
0000000208f83be8 (__TEXT,__text) non-external _remove_delimiter.cold.1
0000000208f7aa5c (__TEXT,__text) non-external _resolve_reference_link_definitions
0000000208f82b20 (__TEXT,__text) non-external _row_from_string
0000000213b3bc30 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
0000000208f7ac28 (__TEXT,__text) non-external _sort_footnote_by_ix
0000000208f7f2a8 (__TEXT,__text) non-external _spnl
0000000208f83df8 (__TEXT,__text) non-external _spnl.cold.1
0000000208f83e20 (__TEXT,__text) non-external _spnl.cold.2
0000000208f83e48 (__TEXT,__text) non-external _spnl.cold.3
0000000208f83e70 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
0000000216f773b0 (__DATA,__bss) non-external _syntax_extensions
0000000208f8135c (__TEXT,__text) non-external _try_opening_table_block
0000000208f82d98 (__TEXT,__text) non-external _unescape_pipes
0000000208f84330 (__TEXT,__const) non-external _utf8proc_utf8class
0000000208f67df0 (__TEXT,__text) non-external _xcalloc
0000000208f83494 (__TEXT,__text) non-external _xcalloc.cold.1
0000000208f67e30 (__TEXT,__text) non-external _xfree
0000000208f693c0 (__TEXT,__text) non-external _xml_attr
0000000208f81fd4 (__TEXT,__text) non-external _xml_attr
0000000208f67e10 (__TEXT,__text) non-external _xrealloc
0000000208f834c4 (__TEXT,__text) non-external _xrealloc.cold.1
