00007ff81532dcd8 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff8428f4560 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalCalendarStore
00007ff8428f4650 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalEvent
00007ff8428f46f0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalNthWeekDay
00007ff8428f44c0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalPredicate
00007ff8428f4740 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceEnd
00007ff8428f46a0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalRecurrenceRule
00007ff8428f47e0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalTask
                 (undefined) external _OBJC_METACLASS_$_NSCompoundPredicate (from Foundation)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external __NSMethodExceptionProem (from Foundation)
00007ff815338c40 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalAlarm
00007ff815338b48 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendar
00007ff8153391d8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarItem
00007ff815338960 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalCalendarStore
00007ff815338dc8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalEvent
00007ff815339078 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalNthWeekDay
00007ff815339110 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceEnd
00007ff815338f08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalRecurrenceRule
00007ff815339358 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalTask
00007ff840e8dd08 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_CalCalendarStore
00007ff815338c58 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAlarm
00007ff8153388d0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalAttendee
00007ff815338b60 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendar
00007ff8153391f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarItem
00007ff815338a28 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalCalendarStore
00007ff815338de8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalEvent
00007ff815339090 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalNthWeekDay
00007ff815338880 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalPredicate
00007ff815339130 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceEnd
00007ff815338f38 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalRecurrenceRule
00007ff815339370 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalTask
00007ff840e8dfe8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAlarm
00007ff840e8dc50 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalAttendee
00007ff840e8de78 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendar
00007ff840e8e708 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarItem
00007ff840e8dd68 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalCalendarStore
00007ff840e8e178 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalEvent
00007ff840e8e498 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalNthWeekDay
00007ff840e8db58 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalPredicate
00007ff840e8e5c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceEnd
00007ff840e8e308 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalRecurrenceRule
00007ff840e8e878 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalTask
00007ff840e8e050 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAlarm
00007ff840e8dc78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalAttendee
00007ff840e8dea0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendar
00007ff840e8e750 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarItem
00007ff840e8dd90 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalCalendarStore
00007ff840e8e1a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalEvent
00007ff840e8e4c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalNthWeekDay
00007ff840e8e5f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceEnd
00007ff840e8e330 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalRecurrenceRule
00007ff840e8e8a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalTask
00007ff840e8dbc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840e8ddf0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840e8df60 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840e8e280 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840e8e410 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840e8e540 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840e8e680 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ff840e8dbe8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ff840e8de10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ff840e8df80 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ff840e8e2a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ff840e8e430 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ff840e8e560 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ff840e8e6a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ff840e8df88 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAlarm
00007ff840e8dbf0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalAttendee
00007ff840e8de18 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendar
00007ff840e8e6a8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalCalendarItem
00007ff840e8e438 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalNthWeekDay
00007ff840e8e568 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceEnd
00007ff840e8e2a8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceRule
00007ff840e8e0e8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAlarm
00007ff840e8dcc0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalAttendee
00007ff840e8df18 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendar
00007ff840e8e7e8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarItem
00007ff840e8dda8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalCalendarStore
00007ff840e8e238 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalEvent
00007ff840e8e4f8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalNthWeekDay
00007ff840e8db80 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalPredicate
00007ff840e8e638 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceEnd
00007ff840e8e3c8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalRecurrenceRule
00007ff840e8e8f8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalTask
00007ff840e8db00 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ff840e8dfa0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAlarm
00007ff840e8dc08 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalAttendee
00007ff840e8de30 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendar
00007ff840e8e6c0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarItem
00007ff840e8dd20 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalCalendarStore
00007ff840e8e130 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalEvent
00007ff840e8e450 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalNthWeekDay
00007ff840e8db10 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalPredicate
00007ff840e8e580 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceEnd
00007ff840e8e2c0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalRecurrenceRule
00007ff840e8e830 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalTask
00007ff8428f4808 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
                 (undefined) external __Unwind_Resume (from libSystem)
00007ff81532fbef (__TEXT,__text) non-external ___58+[CalCalendarStore requestAccessForEntityType:eventStore:]_block_invoke
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff840e8cb30 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e20_v20?0c8"NSError"12l
00007ff81532fc09 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00007ff81532fc39 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff8428f4868 (__DATA,__bss) non-external __defaultCalendarStore
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
