00007ffc14505473 (__TEXT,__text) non-external _Done_iODBC
00007ffc4032cf20 (__DATA_CONST,__const) non-external __mask_SQL_SCHEMA_USAGE
00007ffc4032c290 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_CONCURRENCY
00007ffc4032c2c0 (__DATA_CONST,__const) non-external __mask_SQL_SCROLL_OPTIONS
00007ffc4032cf80 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_DATETIME_FUNCTIONS
00007ffc4032cfa0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_DELETE_RULE
00007ffc4032cfd0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_FOREIGN_KEY_UPDATE_RULE
00007ffc4032d000 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_GRANT
00007ffc4032d070 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_NUMERIC_VALUE_FUNCTIONS
00007ffc4032d0b0 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_PREDICATES
00007ffc4032d130 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_RELATIONAL_JOIN_OPERATORS
00007ffc4032d190 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_REVOKE
00007ffc4032d210 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_ROW_VALUE_CONSTRUCTOR
00007ffc4032d240 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
00007ffc4032d290 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
00007ffc4032cf50 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
00007ffc4032d2c0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
00007ffc4032c720 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
00007ffc4032c2f0 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
00007ffc4032c740 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
00007ffc4032c3c0 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
00007ffc4032c3e0 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
00007ffc4032c490 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
00007ffc4032c7c0 (__DATA_CONST,__const) non-external __mask_SQL_UNION
00007ffc4032c770 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
00007ffc4032c0c0 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
00007ffc1451c6e9 (__TEXT,__text) non-external __trace_bufferlen
00007ffc1451bf05 (__TEXT,__text) non-external __trace_c_type
00007ffc145193d8 (__TEXT,__text) non-external __trace_colattr2_type
00007ffc145196d8 (__TEXT,__text) non-external __trace_colattr3_data
00007ffc14519416 (__TEXT,__text) non-external __trace_colattr3_type
00007ffc14515bc0 (__TEXT,__text) non-external __trace_connattr_type
00007ffc1451c9cc (__TEXT,__text) non-external __trace_connopt_type
00007ffc1451e6cc (__TEXT,__text) non-external __trace_connstr
00007ffc1451e95c (__TEXT,__text) non-external __trace_connstr_hidepwd
00007ffc1451e8bb (__TEXT,__text) non-external __trace_connstr_w
00007ffc1451da28 (__TEXT,__text) non-external __trace_data
00007ffc14515e4e (__TEXT,__text) non-external __trace_desc_null
00007ffc14518d9c (__TEXT,__text) non-external __trace_descfield_type
00007ffc1451d76c (__TEXT,__text) non-external __trace_diag_type
00007ffc1451abad (__TEXT,__text) non-external __trace_direction
00007ffc1451e799 (__TEXT,__text) non-external __trace_drvcn_completion
00007ffc1451672e (__TEXT,__text) non-external __trace_envattr_type
00007ffc14516db1 (__TEXT,__text) non-external __trace_fetchtype
00007ffc1451ee02 (__TEXT,__text) non-external __trace_freestmt_option
00007ffc1451a381 (__TEXT,__text) non-external __trace_func_name
00007ffc1451a2e0 (__TEXT,__text) non-external __trace_func_result
00007ffc14516fa1 (__TEXT,__text) non-external __trace_getinfo
00007ffc1451ba47 (__TEXT,__text) non-external __trace_handle
00007ffc1451b9e2 (__TEXT,__text) non-external __trace_handle_p
00007ffc1451b9a4 (__TEXT,__text) non-external __trace_handletype
00007ffc1451c210 (__TEXT,__text) non-external __trace_inouttype
00007ffc1451bab9 (__TEXT,__text) non-external __trace_integer
00007ffc1451bbd1 (__TEXT,__text) non-external __trace_integer_p
00007ffc1451bcaa (__TEXT,__text) non-external __trace_len
00007ffc1451bce4 (__TEXT,__text) non-external __trace_len_p
00007ffc1451baf2 (__TEXT,__text) non-external __trace_pointer
00007ffc1451b815 (__TEXT,__text) non-external __trace_print_function
00007ffc14516e7e (__TEXT,__text) non-external __trace_scrollopt_type
00007ffc14516c7f (__TEXT,__text) non-external __trace_setpos_irow
00007ffc14516cd9 (__TEXT,__text) non-external __trace_setpos_lock
00007ffc14516c9b (__TEXT,__text) non-external __trace_setpos_oper
00007ffc1451ba80 (__TEXT,__text) non-external __trace_smallint
00007ffc1451bb2a (__TEXT,__text) non-external __trace_smallint_p
00007ffc14516958 (__TEXT,__text) non-external __trace_spcols_null
00007ffc1451691a (__TEXT,__text) non-external __trace_spcols_scope
00007ffc145168d9 (__TEXT,__text) non-external __trace_spcols_type
00007ffc1451c630 (__TEXT,__text) non-external __trace_sql_subtype
00007ffc1451c24e (__TEXT,__text) non-external __trace_sql_type
00007ffc1451c424 (__TEXT,__text) non-external __trace_sql_type_p
00007ffc1451eb49 (__TEXT,__text) non-external __trace_stats_accuracy
00007ffc1451eb0a (__TEXT,__text) non-external __trace_stats_unique
00007ffc1451ccac (__TEXT,__text) non-external __trace_stmtattr_type
00007ffc1451d463 (__TEXT,__text) non-external __trace_stmtopt_type
00007ffc1451bd8a (__TEXT,__text) non-external __trace_string
00007ffc1451be33 (__TEXT,__text) non-external __trace_string_w
00007ffc1451bc76 (__TEXT,__text) non-external __trace_stringlen
00007ffc4032d2e0 (__DATA_CONST,__const) non-external __trace_sym_handletype
00007ffc1451e110 (__TEXT,__text) non-external __trace_tran_completion
00007ffc1451e3b0 (__TEXT,__text) non-external __trace_typeinfo
00007ffc1451bad6 (__TEXT,__text) non-external __trace_uinteger
00007ffc1451bc24 (__TEXT,__text) non-external __trace_uinteger_p
00007ffc1451bcc7 (__TEXT,__text) non-external __trace_ulen
00007ffc1451bd37 (__TEXT,__text) non-external __trace_ulen_p
00007ffc1451ba9d (__TEXT,__text) non-external __trace_usmallint
00007ffc1451bb7e (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
00007ffc419acc62 (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffc1451fc47 (__TEXT,__text) non-external _dm_SQL_A2W
00007ffc14520172 (__TEXT,__text) non-external _dm_SQL_U8toW
00007ffc1451fbe1 (__TEXT,__text) non-external _dm_SQL_W2A
00007ffc1451fe93 (__TEXT,__text) non-external _dm_SQL_WtoU8
00007ffc1451fcb1 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
00007ffc1452037c (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
00007ffc1451fd57 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
00007ffc1451fdfa (__TEXT,__text) non-external _dm_strcpy_A2W
00007ffc1451fe48 (__TEXT,__text) non-external _dm_strcpy_W2A
00007ffc14521928 (__TEXT,__text) non-external _do_create_dsns
00007ffc419acc20 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
00007ffc419acc00 (__DATA,__common) non-external _ierror
00007ffc14521a51 (__TEXT,__text) non-external _install_from_ini
00007ffc14521f44 (__TEXT,__text) non-external _install_from_string
00007ffc419ac660 (__DATA,__data) external _iodbc_version
00007ffc419acb40 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00007ffc419acb88 (__DATA,__data) non-external _numerrors
00007ffc419ac670 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
00007ffc419acb90 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
00007ffc145220e9 (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
00007ffc4032b600 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
00007ffc419acbd0 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
00007ffc14518775 (__TEXT,__text) non-external _trace_SQLAllocConnect
00007ffc1451c934 (__TEXT,__text) non-external _trace_SQLAllocEnv
00007ffc1451925b (__TEXT,__text) non-external _trace_SQLAllocHandle
00007ffc1451aafd (__TEXT,__text) non-external _trace_SQLAllocStmt
00007ffc145191c0 (__TEXT,__text) non-external _trace_SQLBindCol
00007ffc14519c51 (__TEXT,__text) non-external _trace_SQLBindParameter
00007ffc1451c7bc (__TEXT,__text) non-external _trace_SQLBrowseConnect
00007ffc1451c878 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
00007ffc1451687d (__TEXT,__text) non-external _trace_SQLBulkOperations
00007ffc1451d9b5 (__TEXT,__text) non-external _trace_SQLCancel
00007ffc1451ab83 (__TEXT,__text) non-external _trace_SQLCloseCursor
00007ffc14519644 (__TEXT,__text) non-external _trace_SQLColAttribute
00007ffc14519a28 (__TEXT,__text) non-external _trace_SQLColAttributeW
00007ffc14519abf (__TEXT,__text) non-external _trace_SQLColAttributes
00007ffc14519b6e (__TEXT,__text) non-external _trace_SQLColAttributesW
00007ffc1451d58e (__TEXT,__text) non-external _trace_SQLColumnPrivileges
00007ffc1451d67d (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
00007ffc1451883c (__TEXT,__text) non-external _trace_SQLColumns
00007ffc1451892b (__TEXT,__text) non-external _trace_SQLColumnsW
00007ffc1451cfda (__TEXT,__text) non-external _trace_SQLConnect
00007ffc1451d09a (__TEXT,__text) non-external _trace_SQLConnectW
00007ffc14516d78 (__TEXT,__text) non-external _trace_SQLCopyDesc
00007ffc1451ac0c (__TEXT,__text) non-external _trace_SQLDataSources
00007ffc1451acf1 (__TEXT,__text) non-external _trace_SQLDataSourcesW
00007ffc14515ebf (__TEXT,__text) non-external _trace_SQLDescribeCol
00007ffc14515fab (__TEXT,__text) non-external _trace_SQLDescribeColW
00007ffc1451d4e9 (__TEXT,__text) non-external _trace_SQLDescribeParam
00007ffc1451ab59 (__TEXT,__text) non-external _trace_SQLDisconnect
00007ffc1451e5e8 (__TEXT,__text) non-external _trace_SQLDriverConnect
00007ffc1451e7d7 (__TEXT,__text) non-external _trace_SQLDriverConnectW
00007ffc14519eb2 (__TEXT,__text) non-external _trace_SQLDrivers
00007ffc14519f97 (__TEXT,__text) non-external _trace_SQLDriversW
00007ffc14518730 (__TEXT,__text) non-external _trace_SQLEndTran
00007ffc145162c3 (__TEXT,__text) non-external _trace_SQLError
00007ffc145163b2 (__TEXT,__text) non-external _trace_SQLErrorW
00007ffc1451a94e (__TEXT,__text) non-external _trace_SQLExecDirect
00007ffc1451a9ac (__TEXT,__text) non-external _trace_SQLExecDirectW
00007ffc145168af (__TEXT,__text) non-external _trace_SQLExecute
00007ffc14516df3 (__TEXT,__text) non-external _trace_SQLExtendedFetch
00007ffc1451ae89 (__TEXT,__text) non-external _trace_SQLFetch
00007ffc1451c981 (__TEXT,__text) non-external _trace_SQLFetchScroll
00007ffc1451d15a (__TEXT,__text) non-external _trace_SQLForeignKeys
00007ffc1451d29e (__TEXT,__text) non-external _trace_SQLForeignKeysW
00007ffc1451d439 (__TEXT,__text) non-external _trace_SQLFreeConnect
00007ffc14516c55 (__TEXT,__text) non-external _trace_SQLFreeEnv
00007ffc145186fe (__TEXT,__text) non-external _trace_SQLFreeHandle
00007ffc1451ee3d (__TEXT,__text) non-external _trace_SQLFreeStmt
00007ffc14515d38 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
00007ffc14515dc3 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00007ffc1451cb8c (__TEXT,__text) non-external _trace_SQLGetConnectOption
00007ffc1451cbd4 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00007ffc145192c5 (__TEXT,__text) non-external _trace_SQLGetCursorName
00007ffc1451934d (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00007ffc1451e040 (__TEXT,__text) non-external _trace_SQLGetData
00007ffc14519090 (__TEXT,__text) non-external _trace_SQLGetDescField
00007ffc14519128 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
00007ffc14516097 (__TEXT,__text) non-external _trace_SQLGetDescRec
00007ffc145161ad (__TEXT,__text) non-external _trace_SQLGetDescRecW
00007ffc1451d880 (__TEXT,__text) non-external _trace_SQLGetDiagField
00007ffc1451d928 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
00007ffc1451656f (__TEXT,__text) non-external _trace_SQLGetDiagRec
00007ffc1451664e (__TEXT,__text) non-external _trace_SQLGetDiagRecW
00007ffc1451679b (__TEXT,__text) non-external _trace_SQLGetEnvAttr
00007ffc1451a8f8 (__TEXT,__text) non-external _trace_SQLGetFunctions
00007ffc14516f14 (__TEXT,__text) non-external _trace_SQLGetInfo
00007ffc1451844c (__TEXT,__text) non-external _trace_SQLGetInfoW
00007ffc1451cee0 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
00007ffc1451cf6b (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
00007ffc1451d4a1 (__TEXT,__text) non-external _trace_SQLGetStmtOption
00007ffc1451e584 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
00007ffc1451e5b6 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
00007ffc1451e0e6 (__TEXT,__text) non-external _trace_SQLMoreResults
00007ffc14518bf9 (__TEXT,__text) non-external _trace_SQLNativeSql
00007ffc14518cca (__TEXT,__text) non-external _trace_SQLNativeSqlW
00007ffc14518a1a (__TEXT,__text) non-external _trace_SQLNumParams
00007ffc1451d3e2 (__TEXT,__text) non-external _trace_SQLNumResultCols
00007ffc14519c1d (__TEXT,__text) non-external _trace_SQLParamData
00007ffc145187d1 (__TEXT,__text) non-external _trace_SQLParamOptions
00007ffc1451ee6f (__TEXT,__text) non-external _trace_SQLPrepare
00007ffc1451eecd (__TEXT,__text) non-external _trace_SQLPrepareW
00007ffc1451a07c (__TEXT,__text) non-external _trace_SQLPrimaryKeys
00007ffc1451a140 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
00007ffc145184d9 (__TEXT,__text) non-external _trace_SQLProcedureColumns
00007ffc145185c8 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
00007ffc14519d2a (__TEXT,__text) non-external _trace_SQLProcedures
00007ffc14519dee (__TEXT,__text) non-external _trace_SQLProceduresW
00007ffc1451d9df (__TEXT,__text) non-external _trace_SQLPutData
00007ffc14516826 (__TEXT,__text) non-external _trace_SQLRowCount
00007ffc1451ea68 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
00007ffc1451eab9 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
00007ffc1451cc1c (__TEXT,__text) non-external _trace_SQLSetConnectOption
00007ffc1451cc64 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
00007ffc1451adcf (__TEXT,__text) non-external _trace_SQLSetCursorName
00007ffc1451ae2c (__TEXT,__text) non-external _trace_SQLSetCursorNameW
00007ffc145164a1 (__TEXT,__text) non-external _trace_SQLSetDescField
00007ffc14516508 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
00007ffc1451a204 (__TEXT,__text) non-external _trace_SQLSetDescRec
00007ffc1451aa0a (__TEXT,__text) non-external _trace_SQLSetEnvAttr
00007ffc14516d17 (__TEXT,__text) non-external _trace_SQLSetPos
00007ffc14516ec0 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00007ffc1451aa5b (__TEXT,__text) non-external _trace_SQLSetStmtAttr
00007ffc1451aaac (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
00007ffc145186b7 (__TEXT,__text) non-external _trace_SQLSetStmtOption
00007ffc14516997 (__TEXT,__text) non-external _trace_SQLSpecialColumns
00007ffc14516af6 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
00007ffc1451eb88 (__TEXT,__text) non-external _trace_SQLStatistics
00007ffc1451ecc5 (__TEXT,__text) non-external _trace_SQLStatisticsW
00007ffc14518a71 (__TEXT,__text) non-external _trace_SQLTablePrivileges
00007ffc14518b35 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00007ffc1451e1d0 (__TEXT,__text) non-external _trace_SQLTables
00007ffc1451e2bf (__TEXT,__text) non-external _trace_SQLTablesW
00007ffc1451e150 (__TEXT,__text) non-external _trace_SQLTransact
00007ffc419acbc0 (__DATA,__bss) non-external _trace_appname
00007ffc1451b3a7 (__TEXT,__text) non-external _trace_emit
00007ffc1451b698 (__TEXT,__text) non-external _trace_emit_binary
00007ffc1451b498 (__TEXT,__text) non-external _trace_emit_string
00007ffc1451b472 (__TEXT,__text) non-external _trace_emitc
00007ffc419acbc8 (__DATA,__bss) non-external _trace_fname
00007ffc419acbe0 (__DATA,__bss) non-external _trace_fp
00007ffc419acbe8 (__DATA,__bss) non-external _trace_fp_close
00007ffc1451aee4 (__TEXT,__text) non-external _trace_get_filename
00007ffc1451aeb4 (__TEXT,__text) non-external _trace_set_appname
00007ffc1451aef5 (__TEXT,__text) non-external _trace_set_filename
00007ffc1451b171 (__TEXT,__text) non-external _trace_start
00007ffc1451b307 (__TEXT,__text) non-external _trace_stop
00007ffc1451b11e (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
00007ffc1452031c (__TEXT,__text) non-external _utf8_len
00007ffc145203fb (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
00007ffc419acc60 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
