00000001db33d14c (__TEXT,__text) non-external +[Cube initialize]
00000001db1d9954 (__TEXT,__text) non-external -[MRContext drawTriangleFanFromOffset:count:]
00000001db1d9840 (__TEXT,__text) non-external -[MRContext drawTriangleStripFromOffset:count:]
00000001db1d99dc (__TEXT,__text) non-external -[MRContext drawTrianglesFromOffset:count:]
00000001db1d6b64 (__TEXT,__text) non-external -[MRContext flush]
00000001db1d709c (__TEXT,__text) non-external -[MRContext foreColorIsOpaqueWhite]
00000001db1d7090 (__TEXT,__text) non-external -[MRContext foreColor]
00000001db1d9b80 (__TEXT,__text) non-external -[MRContext glContext]
00000001db1d9b30 (__TEXT,__text) non-external -[MRContext imageManager]
00000001db1d73f0 (__TEXT,__text) non-external -[MRContext imageSetOnTextureUnit:]
00000001db1d601c (__TEXT,__text) non-external -[MRContext initLocalWithContext:glContext:andSize:]
00000001db1d6134 (__TEXT,__text) non-external -[MRContext initLocalWithContext:texture:andSize:]
00000001db1d5d5c (__TEXT,__text) non-external -[MRContext initWithCGLContext:pixelFormat:andAssetManager:]
00000001db1d695c (__TEXT,__text) non-external -[MRContext isDoubleBuffered]
00000001db1d9b78 (__TEXT,__text) non-external -[MRContext isFlipped]
00000001db1d9b58 (__TEXT,__text) non-external -[MRContext localAspectRatio]
00000001db1d6360 (__TEXT,__text) non-external -[MRContext lock]
00000001db1d69cc (__TEXT,__text) non-external -[MRContext maxDimension]
00000001db1d9b90 (__TEXT,__text) non-external -[MRContext maxTextureSize]
00000001db1d9094 (__TEXT,__text) non-external -[MRContext modelViewMatrix]
00000001db1d6920 (__TEXT,__text) non-external -[MRContext monochromaticColorSpace]
00000001db1d9b68 (__TEXT,__text) non-external -[MRContext orientation]
00000001db1d9b38 (__TEXT,__text) non-external -[MRContext pixelOffset]
00000001db1d9b48 (__TEXT,__text) non-external -[MRContext pixelSize]
00000001db1d908c (__TEXT,__text) non-external -[MRContext projectionMatrix]
00000001db1d6bc8 (__TEXT,__text) non-external -[MRContext purgeResources:]
00000001db1d7274 (__TEXT,__text) non-external -[MRContext restoreBackColor:]
00000001db1d7200 (__TEXT,__text) non-external -[MRContext restoreForeColor:]
00000001db1d91c4 (__TEXT,__text) non-external -[MRContext restoreModelViewMatrix:]
00000001db1d7088 (__TEXT,__text) non-external -[MRContext restoreScissorRect:]
00000001db1d6cfc (__TEXT,__text) non-external -[MRContext retainedByUserBlackImage]
00000001db1d6c98 (__TEXT,__text) non-external -[MRContext retainedByUserImageByEndingLocalContext:andRestoreState:]
00000001db1d9b28 (__TEXT,__text) non-external -[MRContext setAssetManager:]
00000001db1d7214 (__TEXT,__text) non-external -[MRContext setBackColor:saveTo:]
00000001db1d723c (__TEXT,__text) non-external -[MRContext setBackColorRed:green:blue:alpha:saveTo:]
00000001db1d94b8 (__TEXT,__text) non-external -[MRContext setColorsPointer:]
00000001db1d6600 (__TEXT,__text) non-external -[MRContext setDimensionalMode:]
00000001db1d70e0 (__TEXT,__text) non-external -[MRContext setForeColor:saveTo:]
00000001db1d7108 (__TEXT,__text) non-external -[MRContext setForeColorRed:green:blue:alpha:saveTo:]
00000001db1d727c (__TEXT,__text) non-external -[MRContext setImage:onTextureUnit:withReferenceAspectRatio:state:]
00000001db1d94f0 (__TEXT,__text) non-external -[MRContext setInSpriteCoordinatesPointer:]
00000001db1d6d04 (__TEXT,__text) non-external -[MRContext setIsFlipped:]
00000001db1d9b60 (__TEXT,__text) non-external -[MRContext setLocalAspectRatio:]
00000001db1d90a0 (__TEXT,__text) non-external -[MRContext setModelViewMatrix:saveTo:]
00000001db1d91cc (__TEXT,__text) non-external -[MRContext setNormal:::]
00000001db1d94a0 (__TEXT,__text) non-external -[MRContext setNormalsPointer:]
00000001db1d9b70 (__TEXT,__text) non-external -[MRContext setOrientation:]
00000001db1d9b40 (__TEXT,__text) non-external -[MRContext setPixelOffset:]
00000001db1d9b50 (__TEXT,__text) non-external -[MRContext setPixelSize:]
00000001db1d6ea4 (__TEXT,__text) non-external -[MRContext setScissorRect:saveTo:]
00000001db1d8c30 (__TEXT,__text) non-external -[MRContext setShader:]
00000001db1d8d8c (__TEXT,__text) non-external -[MRContext setShaderUniformFloat:forKey:]
00000001db1d8d1c (__TEXT,__text) non-external -[MRContext setShaderUniformInt:forKey:]
00000001db1d8fac (__TEXT,__text) non-external -[MRContext setShaderUniformMat3:forKey:]
00000001db1d901c (__TEXT,__text) non-external -[MRContext setShaderUniformMat4:forKey:]
00000001db1d8e04 (__TEXT,__text) non-external -[MRContext setShaderUniformVec2::forKey:]
00000001db1d8e84 (__TEXT,__text) non-external -[MRContext setShaderUniformVec3:::forKey:]
00000001db1d8f14 (__TEXT,__text) non-external -[MRContext setShaderUniformVec4::::forKey:]
00000001db1d94d0 (__TEXT,__text) non-external -[MRContext setTextureCoordinatesPointer:onTextureUnit:]
00000001db1d91e8 (__TEXT,__text) non-external -[MRContext setTextureMatrix:onTextureUnit:]
00000001db1d9440 (__TEXT,__text) non-external -[MRContext setVertex2DPointer:]
00000001db1d9470 (__TEXT,__text) non-external -[MRContext setVertex3DPointer:]
00000001db1d9508 (__TEXT,__text) non-external -[MRContext setVertexAttributePointer:ofSize:forKey:]
00000001db1d92d0 (__TEXT,__text) non-external -[MRContext setVertexBuffer2D:withFeatures:]
00000001db1d9210 (__TEXT,__text) non-external -[MRContext setVertexBuffer2D:withStride:inSpriteCoordinatesOffset:texture0CoordinatesOffset:]
00000001db1d936c (__TEXT,__text) non-external -[MRContext setVertexPointer:flags:]
00000001db1d8c0c (__TEXT,__text) non-external -[MRContext shaderIsSet]
00000001db1d68ac (__TEXT,__text) non-external -[MRContext size]
00000001db1d7844 (__TEXT,__text) non-external -[MRContext snapshotWithTextureName:offset:size:]
00000001db1d6a88 (__TEXT,__text) non-external -[MRContext startFrame]
00000001db1d9aec (__TEXT,__text) non-external -[MRContext supportsMirroredRepeatForImage:]
00000001db1d9170 (__TEXT,__text) non-external -[MRContext translateModelViewMatrixByX:Y:Z:saveTo:]
00000001db1d9838 (__TEXT,__text) non-external -[MRContext unbindMesh]
00000001db1d6368 (__TEXT,__text) non-external -[MRContext unlock]
00000001db1d960c (__TEXT,__text) non-external -[MRContext unsetColorsPointer]
00000001db1d73a8 (__TEXT,__text) non-external -[MRContext unsetImage:onTextureUnit:state:]
00000001db1d9628 (__TEXT,__text) non-external -[MRContext unsetInSpriteCoordinatesPointer]
00000001db1d9600 (__TEXT,__text) non-external -[MRContext unsetNormalsPointer]
00000001db1d8cd8 (__TEXT,__text) non-external -[MRContext unsetShader]
00000001db1d9618 (__TEXT,__text) non-external -[MRContext unsetTextureCoordinatesPointerOnTextureUnit:]
00000001db1d9634 (__TEXT,__text) non-external -[MRContext unsetVertexAttributePointerForKey:]
00000001db1d959c (__TEXT,__text) non-external -[MRContext unsetVertexPointer]
00000001db1d6370 (__TEXT,__text) non-external -[MRContext updateGeometry]
00000001db1d971c (__TEXT,__text) non-external -[MRContext uploadBuffer:withSize:toVertexBuffer2D:usage:]
00000001db1d699c (__TEXT,__text) non-external -[MRContext virtualScreen]
00000001db1d9b88 (__TEXT,__text) non-external -[MRContext vram]
00000001db1d5cb0 (__TEXT,__text) non-external -[MRContextState dealloc]
00000001db1d5c20 (__TEXT,__text) non-external -[MRContextState init]
00000001db1d5d44 (__TEXT,__text) non-external -[MRContextState setShaderArguments:]
00000001db1d5d30 (__TEXT,__text) non-external -[MRContextState setShaderID:]
00000001db1d5d38 (__TEXT,__text) non-external -[MRContextState shaderArguments]
00000001db1d5d24 (__TEXT,__text) non-external -[MRContextState shaderID]
00000001db1d5d54 (__TEXT,__text) non-external -[MRContextState temporaryUniforms]
00000001db1d5d4c (__TEXT,__text) non-external -[MRContextState vertexAttributes]
00000001db1d9f1c (__TEXT,__text) non-external -[MRCroppingSprite fakeRenderInContext:atPosition:andSize:zRotation:]
00000001db1da0a8 (__TEXT,__text) non-external -[MRCroppingSprite getOpaquePosition:andHalfSize:]
00000001db1dbcc4 (__TEXT,__text) non-external -[MRCroppingSprite getVerticesCoordinates:withMatrix:]
00000001db1dc688 (__TEXT,__text) non-external -[MRCroppingSprite halfSize]
00000001db1dbb6c (__TEXT,__text) non-external -[MRCroppingSprite hitAtPoint:withInverseMatrix:localPoint:]
00000001db1dc6c0 (__TEXT,__text) non-external -[MRCroppingSprite hitIsActive]
00000001db1d9ce0 (__TEXT,__text) non-external -[MRCroppingSprite initWithPosition:size:zRotation:context:]
00000001db1d9d5c (__TEXT,__text) non-external -[MRCroppingSprite initWithPosition:size:zRotation:innerRect:context:]
00000001db1d9e10 (__TEXT,__text) non-external -[MRCroppingSprite initWithPosition:size:zRotation:innerRect:outerRect:context:]
00000001db1d9c84 (__TEXT,__text) non-external -[MRCroppingSprite init]
00000001db1dc698 (__TEXT,__text) non-external -[MRCroppingSprite innerRect]
00000001db1dc710 (__TEXT,__text) non-external -[MRCroppingSprite meshType]
00000001db1dc6d0 (__TEXT,__text) non-external -[MRCroppingSprite needsInSpriteCoordinates]
00000001db1dc6a4 (__TEXT,__text) non-external -[MRCroppingSprite outerRect]
00000001db1dc680 (__TEXT,__text) non-external -[MRCroppingSprite position]
00000001db1dc6b0 (__TEXT,__text) non-external -[MRCroppingSprite preservesImageAspectRatio]
00000001db1da1a0 (__TEXT,__text) non-external -[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:]
00000001db1da1a8 (__TEXT,__text) non-external -[MRCroppingSprite renderDumbImage:inContext:atPosition:andSize:zRotation:]
00000001db1da234 (__TEXT,__text) non-external -[MRCroppingSprite renderImage:inContext:atPosition:andSize:]
00000001db1da364 (__TEXT,__text) non-external -[MRCroppingSprite renderImage:inContext:atPosition:andSize:withReferenceAspectRatio:andJustifications:]
00000001db1da23c (__TEXT,__text) non-external -[MRCroppingSprite renderImage:inContext:atPosition:andSize:zRotation:]
00000001db1da2c8 (__TEXT,__text) non-external -[MRCroppingSprite renderImage:withMask:inContext:atPosition:andSize:zRotation:]
00000001db1da40c (__TEXT,__text) non-external -[MRCroppingSprite renderImageInner:inContext:]
00000001db1dba70 (__TEXT,__text) non-external -[MRCroppingSprite renderImageInner:inContext:atPosition:andSize:zRotation:]
00000001db1da798 (__TEXT,__text) non-external -[MRCroppingSprite renderImageMiddle:inContext:]
00000001db1dbac4 (__TEXT,__text) non-external -[MRCroppingSprite renderImageMiddle:inContext:atPosition:andSize:zRotation:]
00000001db1daeb8 (__TEXT,__text) non-external -[MRCroppingSprite renderImageOuter:inContext:]
00000001db1dbb18 (__TEXT,__text) non-external -[MRCroppingSprite renderImageOuter:inContext:atPosition:andSize:zRotation:]
00000001db1d9ef4 (__TEXT,__text) non-external -[MRCroppingSprite reset]
00000001db1dc690 (__TEXT,__text) non-external -[MRCroppingSprite rotation]
00000001db1dc6c8 (__TEXT,__text) non-external -[MRCroppingSprite setHitIsActive:]
00000001db1da030 (__TEXT,__text) non-external -[MRCroppingSprite setInnerRect:]
00000001db1dc718 (__TEXT,__text) non-external -[MRCroppingSprite setMeshType:]
00000001db1dc6d8 (__TEXT,__text) non-external -[MRCroppingSprite setNeedsInSpriteCoordinates:]
00000001db1da06c (__TEXT,__text) non-external -[MRCroppingSprite setOuterRect:]
00000001db1dc6b8 (__TEXT,__text) non-external -[MRCroppingSprite setPreservesImageAspectRatio:]
00000001db1dc6f8 (__TEXT,__text) non-external -[MRCroppingSprite setSpriteCoordinatesFactor:]
00000001db1dc708 (__TEXT,__text) non-external -[MRCroppingSprite setSpriteCoordinatesOffset:]
00000001db1dc6e8 (__TEXT,__text) non-external -[MRCroppingSprite setUsesOwnMatrixForHitTest:]
00000001db1dc6f0 (__TEXT,__text) non-external -[MRCroppingSprite spriteCoordinatesFactor]
00000001db1dc700 (__TEXT,__text) non-external -[MRCroppingSprite spriteCoordinatesOffset]
00000001db1dc6e0 (__TEXT,__text) non-external -[MRCroppingSprite usesOwnMatrixForHitTest]
00000001db1dc9c4 (__TEXT,__text) non-external -[MRCroppingSpriteVBO fakeRenderInContext:atPosition:andSize:zRotation:]
00000001db1dcbc0 (__TEXT,__text) non-external -[MRCroppingSpriteVBO getOpaquePosition:andHalfSize:]
00000001db1dd9b4 (__TEXT,__text) non-external -[MRCroppingSpriteVBO getVerticesCoordinates:withMatrix:]
00000001db1ddac8 (__TEXT,__text) non-external -[MRCroppingSpriteVBO halfSize]
00000001db1dd8e0 (__TEXT,__text) non-external -[MRCroppingSpriteVBO hitAtPoint:withInverseMatrix:localPoint:]
00000001db1ddb00 (__TEXT,__text) non-external -[MRCroppingSpriteVBO hitIsActive]
00000001db1dc780 (__TEXT,__text) non-external -[MRCroppingSpriteVBO initWithPosition:size:zRotation:context:]
00000001db1dc7fc (__TEXT,__text) non-external -[MRCroppingSpriteVBO initWithPosition:size:zRotation:innerRect:context:]
00000001db1dc8b0 (__TEXT,__text) non-external -[MRCroppingSpriteVBO initWithPosition:size:zRotation:innerRect:outerRect:context:]
00000001db1dc720 (__TEXT,__text) non-external -[MRCroppingSpriteVBO init]
00000001db1ddad8 (__TEXT,__text) non-external -[MRCroppingSpriteVBO innerRect]
00000001db1ddb40 (__TEXT,__text) non-external -[MRCroppingSpriteVBO meshType]
00000001db1ddb10 (__TEXT,__text) non-external -[MRCroppingSpriteVBO needsInSpriteCoordinates]
00000001db1ddae4 (__TEXT,__text) non-external -[MRCroppingSpriteVBO outerRect]
00000001db1ddac0 (__TEXT,__text) non-external -[MRCroppingSpriteVBO position]
00000001db1ddaf0 (__TEXT,__text) non-external -[MRCroppingSpriteVBO preservesImageAspectRatio]
00000001db1dd540 (__TEXT,__text) non-external -[MRCroppingSpriteVBO renderImageInner:inContext:]
00000001db1dd64c (__TEXT,__text) non-external -[MRCroppingSpriteVBO renderImageMiddle:inContext:]
00000001db1dd79c (__TEXT,__text) non-external -[MRCroppingSpriteVBO renderImageOuter:inContext:]
00000001db1dc994 (__TEXT,__text) non-external -[MRCroppingSpriteVBO reset]
00000001db1ddad0 (__TEXT,__text) non-external -[MRCroppingSpriteVBO rotation]
00000001db1ddb08 (__TEXT,__text) non-external -[MRCroppingSpriteVBO setHitIsActive:]
00000001db1dcac0 (__TEXT,__text) non-external -[MRCroppingSpriteVBO setInnerRect:]
00000001db1ddb48 (__TEXT,__text) non-external -[MRCroppingSpriteVBO setMeshType:]
00000001db1ddb18 (__TEXT,__text) non-external -[MRCroppingSpriteVBO setNeedsInSpriteCoordinates:]
00000001db1dcb40 (__TEXT,__text) non-external -[MRCroppingSpriteVBO setOuterRect:]
00000001db1ddaf8 (__TEXT,__text) non-external -[MRCroppingSpriteVBO setPreservesImageAspectRatio:]
00000001db1ddb28 (__TEXT,__text) non-external -[MRCroppingSpriteVBO setSpriteCoordinatesFactor:]
00000001db1ddb38 (__TEXT,__text) non-external -[MRCroppingSpriteVBO setSpriteCoordinatesOffset:]
00000001db1ddb20 (__TEXT,__text) non-external -[MRCroppingSpriteVBO spriteCoordinatesFactor]
00000001db1ddb30 (__TEXT,__text) non-external -[MRCroppingSpriteVBO spriteCoordinatesOffset]
00000001db1dcc70 (__TEXT,__text) non-external -[MRCroppingSpriteVBO updateVBOsInContext:]
00000001db1ddfd4 (__TEXT,__text) non-external -[MREffect _cleanup]
00000001db1ddea4 (__TEXT,__text) non-external -[MREffect _computePhaseTimeForTime:]
00000001db1ddf3c (__TEXT,__text) non-external -[MREffect _computeTimeForPhaseTime:]
00000001db1dea50 (__TEXT,__text) non-external -[MREffect _maxLinesForTextElement:]
00000001db1dea40 (__TEXT,__text) non-external -[MREffect _maxSizeForTextElement:]
00000001db1dea60 (__TEXT,__text) non-external -[MREffect attributes]
00000001db1de12c (__TEXT,__text) non-external -[MREffect beginMorphingToAspectRatio:withDuration:]
00000001db1de6a8 (__TEXT,__text) non-external -[MREffect cancelLoading]
00000001db1ddcfc (__TEXT,__text) non-external -[MREffect cleanup]
00000001db1ddcb4 (__TEXT,__text) non-external -[MREffect dealloc]
00000001db1dea58 (__TEXT,__text) non-external -[MREffect effectID]
00000001db1de134 (__TEXT,__text) non-external -[MREffect elementHitAtPoint:withInverseMatrix:localPoint:]
00000001db1de130 (__TEXT,__text) non-external -[MREffect endMorphing]
00000001db1de36c (__TEXT,__text) non-external -[MREffect endPanoramaPanning]
00000001db1de1b4 (__TEXT,__text) non-external -[MREffect enterInteractiveModeAtTime:]
00000001db1de1c0 (__TEXT,__text) non-external -[MREffect exitInteractiveMode]
00000001db1de144 (__TEXT,__text) non-external -[MREffect getCurrentCenter:scale:rotation:isMain:forElement:]
00000001db1de1d8 (__TEXT,__text) non-external -[MREffect getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00000001db1de14c (__TEXT,__text) non-external -[MREffect getStartTime:andDuration:forMovingToElementID:backwards:]
00000001db1de13c (__TEXT,__text) non-external -[MREffect getVerticesCoordinates:withMatrix:forElement:]
00000001db1de154 (__TEXT,__text) non-external -[MREffect hasMoreSlidesFromTime:backwards:startTime:duration:]
00000001db1ddba0 (__TEXT,__text) non-external -[MREffect initWithEffectID:]
00000001db1de1d0 (__TEXT,__text) non-external -[MREffect interestingTimeForElement:]
00000001db1de1c8 (__TEXT,__text) non-external -[MREffect interestingTimeForTime:]
00000001db1de724 (__TEXT,__text) non-external -[MREffect isAlphaFriendly]
00000001db1deabc (__TEXT,__text) non-external -[MREffect isInInteractiveMode]
00000001db1de72c (__TEXT,__text) non-external -[MREffect isInfinite]
00000001db1de378 (__TEXT,__text) non-external -[MREffect isLoadedForTime:]
00000001db1de714 (__TEXT,__text) non-external -[MREffect isNative3D]
00000001db1de71c (__TEXT,__text) non-external -[MREffect isOpaque]
00000001db1dde88 (__TEXT,__text) non-external -[MREffect isRetainedByEffectLayer]
00000001db1de380 (__TEXT,__text) non-external -[MREffect loadForTime:inContext:withArguments:now:]
00000001db1de518 (__TEXT,__text) non-external -[MREffect loadWithArguments:]
00000001db1deaac (__TEXT,__text) non-external -[MREffect mainDuration]
00000001db1dea90 (__TEXT,__text) non-external -[MREffect multiImageSlideRange]
00000001db1dea70 (__TEXT,__text) non-external -[MREffect needsToUpdateSlides]
00000001db1dea80 (__TEXT,__text) non-external -[MREffect needsToUpdateTexts]
00000001db1de940 (__TEXT,__text) non-external -[MREffect patchworkAtTime:inContext:withArguments:]
00000001db1deaa4 (__TEXT,__text) non-external -[MREffect phaseInDuration]
00000001db1deab4 (__TEXT,__text) non-external -[MREffect phaseOutDuration]
00000001db1dea68 (__TEXT,__text) non-external -[MREffect pixelSize]
00000001db1de734 (__TEXT,__text) non-external -[MREffect prerenderForTime:inContext:withArguments:]
00000001db1dde10 (__TEXT,__text) non-external -[MREffect releaseByEffectLayer:]
00000001db1de844 (__TEXT,__text) non-external -[MREffect renderAtTime:inContext:withArguments:]
00000001db1dddbc (__TEXT,__text) non-external -[MREffect retainByEffectLayer:]
00000001db1de89c (__TEXT,__text) non-external -[MREffect retainedByUserRenderedImageAtTime:inContext:withArguments:]
00000001db1de03c (__TEXT,__text) non-external -[MREffect setAttributes:]
00000001db1de128 (__TEXT,__text) non-external -[MREffect setLiveAttributes:]
00000001db1dea9c (__TEXT,__text) non-external -[MREffect setMultiImageSlideRange:]
00000001db1dea78 (__TEXT,__text) non-external -[MREffect setNeedsToUpdateSlides:]
00000001db1dea88 (__TEXT,__text) non-external -[MREffect setNeedsToUpdateTexts:]
00000001db1dde98 (__TEXT,__text) non-external -[MREffect setPhaseInDuration:mainDuration:phaseOutDuration:]
00000001db1de01c (__TEXT,__text) non-external -[MREffect setPixelSize:]
00000001db1de208 (__TEXT,__text) non-external -[MREffect startPanoramaPanningForElementID:isLandscape:]
00000001db1de1f0 (__TEXT,__text) non-external -[MREffect supportsChapters]
00000001db1de1f8 (__TEXT,__text) non-external -[MREffect timeForNextChapterAfterTime:]
00000001db1de200 (__TEXT,__text) non-external -[MREffect timeForPreviousChapterBeforeTime:]
00000001db1de618 (__TEXT,__text) non-external -[MREffect unload]
00000001db1de250 (__TEXT,__text) non-external -[MREffect updatePanoramaPanningForElementID:withDelta:]
00000001db1de2c4 (__TEXT,__text) non-external -[MREffect valueForPanoramaPanningForElementID:value:minValue:maxValue:]
00000001db1deae8 (__TEXT,__text) non-external -[MREffect(DynamicExpansionSupport) firstSlideIndexStillNeededAtTime:]
00000001db1deaf0 (__TEXT,__text) non-external -[MREffect(DynamicExpansionSupport) needsMoreSlidesAtTime:]
00000001db1dead8 (__TEXT,__text) non-external -[MREffect(DynamicExpansionSupport) supportsDynamicExpansion]
00000001db1deae0 (__TEXT,__text) non-external -[MREffect(DynamicExpansionSupport) typicalSlideBatchSize]
00000001db1deb08 (__TEXT,__text) non-external -[MREffect(MRLoadable) _loadForTime:inContext:withArguments:]
00000001db1deb0c (__TEXT,__text) non-external -[MREffect(MRLoadable) _unload]
00000001db1ded78 (__TEXT,__text) non-external -[MREffectBackgroundImage _cleanup]
00000001db1df4c8 (__TEXT,__text) non-external -[MREffectBackgroundImage assetPath]
00000001db1deb10 (__TEXT,__text) non-external -[MREffectBackgroundImage initWithEffectID:]
00000001db1dee6c (__TEXT,__text) non-external -[MREffectBackgroundImage prerenderForTime:inContext:withArguments:]
00000001db1deef8 (__TEXT,__text) non-external -[MREffectBackgroundImage renderAtTime:inContext:withArguments:]
00000001db1df4e0 (__TEXT,__text) non-external -[MREffectBackgroundImage setAssetPath:]
00000001db1dedd0 (__TEXT,__text) non-external -[MREffectBackgroundImage setPixelSize:]
00000001db1df4f8 (__TEXT,__text) non-external -[MREffectBackgroundImage(MRLoadable) _unload]
00000001db343cb4 (__TEXT,__text) non-external -[MREffectCAML _addValue:toKeyframe:inDict:forKey:]
00000001db343d5c (__TEXT,__text) non-external -[MREffectCAML _animationsForTransformAnimation:inContext:]
00000001db3424e8 (__TEXT,__text) non-external -[MREffectCAML _cleanup]
00000001db342894 (__TEXT,__text) non-external -[MREffectCAML createLayer:inArray:parentSize:parentOrigin:inContext:]
00000001db342404 (__TEXT,__text) non-external -[MREffectCAML initWithEffectID:]
00000001db342634 (__TEXT,__text) non-external -[MREffectCAML isLoadedForTime:]
00000001db34275c (__TEXT,__text) non-external -[MREffectCAML prerenderForTime:inContext:withArguments:]
00000001db344740 (__TEXT,__text) non-external -[MREffectCAML renderAtTime:inContext:withArguments:]
00000001db344814 (__TEXT,__text) non-external -[MREffectCAML renderLayer:atTime:inContext:arguments:offset:aspectRatio:withCurrentState:]
00000001db3455ac (__TEXT,__text) non-external -[MREffectCAML(MRLoadable) _loadForTime:inContext:withArguments:]
00000001db3458a0 (__TEXT,__text) non-external -[MREffectCAML(MRLoadable) _unload]
00000001db3124bc (__TEXT,__text) non-external -[MREffectCalendar init]
00000001db312c64 (__TEXT,__text) non-external -[MREffectCalendar isLoadedForTime:]
00000001db312cd8 (__TEXT,__text) non-external -[MREffectCalendar prerenderForTime:inContext:withArguments:]
00000001db312d28 (__TEXT,__text) non-external -[MREffectCalendar renderAtTime:inContext:withArguments:]
00000001db3124f4 (__TEXT,__text) non-external -[MREffectCalendar setAttributes:]
00000001db312f4c (__TEXT,__text) non-external -[MREffectCalendar(MRLoadable) _loadForTime:inContext:withArguments:]
00000001db3130b8 (__TEXT,__text) non-external -[MREffectCalendar(MRLoadable) _unload]
00000001db2fabf8 (__TEXT,__text) non-external -[MREffectCoverCascade _applyTimingToSlideProviders]
00000001db2fb874 (__TEXT,__text) non-external -[MREffectCoverCascade _buildNumberOfSlideStories:withSlideRange:]
00000001db2fd8e8 (__TEXT,__text) non-external -[MREffectCoverCascade _cleanup]
00000001db2fd8b4 (__TEXT,__text) non-external -[MREffectCoverCascade _unload]
00000001db2fab34 (__TEXT,__text) non-external -[MREffectCoverCascade appendSlideInformation:andTextInformation:]
00000001db2faab4 (__TEXT,__text) non-external -[MREffectCoverCascade displayTimeForSlideAtIndex:]
00000001db2fab24 (__TEXT,__text) non-external -[MREffectCoverCascade displayTimeForTextAtIndex:]
00000001db2fab2c (__TEXT,__text) non-external -[MREffectCoverCascade lowestDisplayTime]
00000001db2fc298 (__TEXT,__text) non-external -[MREffectCoverCascade prerenderForTime:inContext:withArguments:]
00000001db2fc38c (__TEXT,__text) non-external -[MREffectCoverCascade renderAtTime:inContext:withArguments:]
00000001db2fae64 (__TEXT,__text) non-external -[MREffectCoverCascade setPhaseInDuration:mainDuration:phaseOutDuration:]
00000001db2faa4c (__TEXT,__text) non-external -[MREffectCoverCascade showDurationForSlideAtIndex:]
00000001db2fa9f0 (__TEXT,__text) non-external -[MREffectCoverCascade showTimeForSlideAtIndex:]
00000001db2fd978 (__TEXT,__text) non-external -[MREffectCoverCascade(DynamicExpansionSupport) firstSlideIndexStillNeededAtTime:]
00000001db2fdad0 (__TEXT,__text) non-external -[MREffectCoverCascade(DynamicExpansionSupport) setMultiImageSlideRange:]
00000001db2fd92c (__TEXT,__text) non-external -[MREffectCoverCascade(DynamicExpansionSupport) supportsDynamicExpansion]
00000001db2fd934 (__TEXT,__text) non-external -[MREffectCoverCascade(DynamicExpansionSupport) typicalSlideBatchSize]
00000001db2fa874 (__TEXT,__text) non-external -[MREffectCoverCascadeEvent initWithRelativeX:relativeY:type:relativeStartTime:andDuration:]
00000001db2fa824 (__TEXT,__text) non-external -[MREffectCoverCascadeSlideStory dealloc]
00000001db2fa778 (__TEXT,__text) non-external -[MREffectCoverCascadeSlideStory initWithSlideIndex:x:y:birthType:birthStart:birthDuration:]
00000001db32cb44 (__TEXT,__text) non-external -[MREffectDateline _addTextImage:forKey:inDictionary:]
00000001db3242d0 (__TEXT,__text) non-external -[MREffectDateline _aspectRatioForSlideIndex:]
00000001db323dec (__TEXT,__text) non-external -[MREffectDateline _calculateDurations:slideInformation:aspectRatio:]
00000001db322cec (__TEXT,__text) non-external -[MREffectDateline _calculateMainDurationWithAttributes:]
00000001db325908 (__TEXT,__text) non-external -[MREffectDateline _chapterIndexForTime:]
00000001db323c70 (__TEXT,__text) non-external -[MREffectDateline _chapterRangeForSlide:startIndex:endIndex:]
00000001db32c500 (__TEXT,__text) non-external -[MREffectDateline _cleanUpDictionary:]
00000001db321aa4 (__TEXT,__text) non-external -[MREffectDateline _cleanup]
00000001db325de4 (__TEXT,__text) non-external -[MREffectDateline _currentItemForChapter:atTime:forDuration:fromTime:]
00000001db32b620 (__TEXT,__text) non-external -[MREffectDateline _drawChapterDateSwitch:to:progress:time:arguments:context:]
00000001db328488 (__TEXT,__text) non-external -[MREffectDateline _drawGrayChapters:time:arguments:showInfo:startProgress:titleEnd:titleToChapter:drawPhotos:startIndex:exit:isExiting:chapterIntro:chapterProgress:]
00000001db324190 (__TEXT,__text) non-external -[MREffectDateline _isMovieForSlideAtIndex:]
00000001db32d844 (__TEXT,__text) non-external -[MREffectDateline _loadDateForChapter:context:]
00000001db32d0e0 (__TEXT,__text) non-external -[MREffectDateline _loadTextForChapter:context:]
00000001db324230 (__TEXT,__text) non-external -[MREffectDateline _movieDurationForSlideAtIndex:]
00000001db325750 (__TEXT,__text) non-external -[MREffectDateline _offsetForChapterIndex:layoutIndex:aspectRatio:]
00000001db32c698 (__TEXT,__text) non-external -[MREffectDateline _retainedByUserTextImageForString:string2:type:inContext:firstLine:lastLine:]
00000001db32c658 (__TEXT,__text) non-external -[MREffectDateline _retainedByUserTextImageForString:type:inContext:]
00000001db323c64 (__TEXT,__text) non-external -[MREffectDateline _sizeForBreakAspectRatio:size:inContext:]
00000001db325a78 (__TEXT,__text) non-external -[MREffectDateline _startTimeForChapter:]
00000001db325ba4 (__TEXT,__text) non-external -[MREffectDateline _startTimeForSlideIndex:inChapter:]
00000001db32cf88 (__TEXT,__text) non-external -[MREffectDateline _unloadTextForChapter:]
00000001db322a68 (__TEXT,__text) non-external -[MREffectDateline _updateIndiciesWithAttributes:]
