00000001df32cbe8 (__DATA,__data) external _NDR_record
00000001802c4124 (__TEXT,__text) external _coalition_terminate
00000001802b53bc (__TEXT,__text) external _connect
00000001802b521c (__TEXT,__text) external _connect$NOCANCEL
00000001802b5440 (__TEXT,__text) external _connectx
00000001802b298c (__TEXT,__text) external _csops
00000001802b1784 (__TEXT,__text) external _csops_audittoken
00000001802b187c (__TEXT,__text) external _csr_check
00000001802b9194 (__TEXT,__text) external _csr_get_active_config
00000001802b0f88 (__TEXT,__text) external _debug_control_port_for_pid
00000001df32cc10 (__DATA,__data) external _denap_boost_assertion_token
00000001802db3c8 (__TEXT,__text) external _disconnectx
00000001802b74cc (__TEXT,__text) non-external _do_compat
00000001802b54f0 (__TEXT,__text) external _dup
00000001802b9054 (__TEXT,__text) external _dup2
00000001e59191a8 (__DATA_CONST,__const) non-external _err_codes_auth
00000001e5919038 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001e59193a0 (__DATA_CONST,__const) non-external _err_codes_exception
00000001e5919078 (__DATA_CONST,__const) non-external _err_codes_execd
00000001e5919178 (__DATA_CONST,__const) non-external _err_codes_io
00000001e5919ce0 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001e5919918 (__DATA_CONST,__const) non-external _err_codes_iokit_common
00000001802dd408 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001e5919ba8 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
00000001802dd448 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001e5919ac8 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
00000001802dd418 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001e5918c40 (__DATA_CONST,__const) non-external _err_codes_kern
00000001e59197a8 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001e5919818 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001e59197b8 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001e5919370 (__DATA_CONST,__const) non-external _err_codes_loader
00000001e5919758 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001e59196d0 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001e5919618 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001e5919340 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001e59195d8 (__DATA_CONST,__const) non-external _err_codes_mig
00000001e5919098 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001e5919018 (__DATA_CONST,__const) non-external _err_codes_netname
00000001e59190e8 (__DATA_CONST,__const) non-external _err_codes_ns
00000001e5919590 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001e5919530 (__DATA_CONST,__const) non-external _err_codes_send
00000001e59192b0 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001e59190b8 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001e59190b0 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001e5918de8 (__DATA_CONST,__const) non-external _err_codes_unix
00000001e59191f0 (__DATA_CONST,__const) non-external _err_codes_us
00000001e59193d8 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001e59194c8 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001e5918060 (__DATA_CONST,__const) non-external _err_iokit_sub
00000001802dd3f8 (__TEXT,__const) non-external _err_iokit_sub_map
00000001e5917ef8 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001e5917fe8 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001e5917f70 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001e5917bd8 (__DATA_CONST,__const) non-external _err_os_sub
00000001e5917c78 (__DATA_CONST,__const) non-external _err_server_sub
00000001802dd3d0 (__TEXT,__const) non-external _err_us_sub
00000001eb7448d0 (__DATA_DIRTY,__common) external _errno
00000001802d762c (__TEXT,__text) external _etap_trace_thread
00000001802c7abc (__TEXT,__text) external _exc_server
00000001802c7724 (__TEXT,__text) external _exc_server_routine
00000001802c7158 (__TEXT,__text) external _exception_raise
00000001802c72d0 (__TEXT,__text) external _exception_raise_state
00000001802c74f8 (__TEXT,__text) external _exception_raise_state_identity
00000001802bc5f0 (__TEXT,__text) external _exchangedata
00000001802b8ffc (__TEXT,__text) external _execve
00000001802db3f4 (__TEXT,__text) external _faccessat
00000001802db420 (__TEXT,__text) external _fchdir
00000001802b6348 (__TEXT,__text) external _fchflags
00000001802b5584 (__TEXT,__text) external _fchmod
00000001802db44c (__TEXT,__text) external _fchmodat
00000001802b6724 (__TEXT,__text) external _fchown
00000001802db478 (__TEXT,__text) external _fchownat
00000001802db4a4 (__TEXT,__text) external _fclonefileat
00000001802b18d8 (__TEXT,__text) external _fcntl
00000001802b5140 (__TEXT,__text) external _fcntl$NOCANCEL
00000001802db4d0 (__TEXT,__text) external _fdatasync
00000001802b8300 (__TEXT,__text) external _ffsctl
00000001802b46c8 (__TEXT,__text) external _fgetattrlist
00000001802b54c4 (__TEXT,__text) external _fgetxattr
00000001802db4fc (__TEXT,__text) external _fhopen
00000001802b6efc (__TEXT,__text) external _fileport_makefd
00000001802b7128 (__TEXT,__text) external _fileport_makeport
00000001802bc524 (__TEXT,__text) external _flistxattr
00000001802b4e4c (__TEXT,__text) external _flock
00000001802db528 (__TEXT,__text) external _fmount
00000001802db554 (__TEXT,__text) external _fpathconf
00000001802be8b4 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
00000001802b7d80 (__TEXT,__text) non-external (was a private external) _free
00000001802db580 (__TEXT,__text) external _fremovexattr
00000001802c426c (__TEXT,__text) external _fs_snapshot_create
00000001802c4288 (__TEXT,__text) external _fs_snapshot_delete
00000001802b8ee4 (__TEXT,__text) external _fs_snapshot_list
00000001802c42f8 (__TEXT,__text) external _fs_snapshot_mount
00000001802c42a4 (__TEXT,__text) external _fs_snapshot_rename
00000001802c42c0 (__TEXT,__text) external _fs_snapshot_revert
00000001802c42dc (__TEXT,__text) external _fs_snapshot_root
00000001802b469c (__TEXT,__text) external _fsctl
00000001802b66f8 (__TEXT,__text) external _fsetattrlist
00000001802b61a8 (__TEXT,__text) external _fsetxattr
00000001802b4790 (__TEXT,__text) external _fsgetpath
00000001802db5ac (__TEXT,__text) external _fsgetpath_ext
00000001802db604 (__TEXT,__text) external _fstat
00000001802db604 (__TEXT,__text) external _fstat64
00000001802db65c (__TEXT,__text) external _fstatat
00000001802db65c (__TEXT,__text) external _fstatat64
00000001802bbc28 (__TEXT,__text) external _fstatfs
00000001802bbc28 (__TEXT,__text) external _fstatfs64
00000001802b4840 (__TEXT,__text) external _fsync
00000001802da2d8 (__TEXT,__text) external _fsync$NOCANCEL
00000001802b4490 (__TEXT,__text) external _ftruncate
00000001802c00e0 (__TEXT,__text) external _futimens
00000001802b6374 (__TEXT,__text) external _futimes
00000001df32ca18 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00000001802b17f8 (__TEXT,__text) external _getattrlist
00000001802db6b4 (__TEXT,__text) external _getattrlistat
00000001802b44e8 (__TEXT,__text) external _getattrlistbulk
00000001802c6878 (__TEXT,__text) external _getaudit
00000001802b31a0 (__TEXT,__text) external _getaudit_addr
00000001802db6e0 (__TEXT,__text) external _getauid
00000001802db70c (__TEXT,__text) external _getdirentries
00000001802db738 (__TEXT,__text) external _getdirentriesattr
00000001802b9248 (__TEXT,__text) external _getdtablesize
00000001802b2960 (__TEXT,__text) external _getegid
00000001802b1358 (__TEXT,__text) external _getentropy
00000001802b210c (__TEXT,__text) external _geteuid
00000001802db764 (__TEXT,__text) external _getfh
00000001802db7bc (__TEXT,__text) external _getfsstat
00000001802db7bc (__TEXT,__text) external _getfsstat64
00000001802b50bc (__TEXT,__text) external _getgid
00000001802b6750 (__TEXT,__text) external _getgroups
00000001802b6524 (__TEXT,__text) external _gethostuuid
00000001802b568c (__TEXT,__text) external _getiopolicy_np
00000001802db7e8 (__TEXT,__text) external _getitimer
00000001802b5558 (__TEXT,__text) external _getpeername
00000001802ba7b4 (__TEXT,__text) external _getpgid
00000001802b8fd0 (__TEXT,__text) external _getpgrp
00000001802b1394 (__TEXT,__text) external _getpid
00000001802b71ac (__TEXT,__text) external _getppid
00000001802b8e08 (__TEXT,__text) external _getpriority
00000001802b316c (__TEXT,__text) external _getrlimit
00000001802b8110 (__TEXT,__text) external _getrusage
00000001802da304 (__TEXT,__text) external _getsgroups_np
00000001802db814 (__TEXT,__text) external _getsid
00000001802b832c (__TEXT,__text) external _getsockname
00000001802b546c (__TEXT,__text) external _getsockopt
00000001802b2908 (__TEXT,__text) external _getuid
00000001802da330 (__TEXT,__text) external _getwgroups_np
00000001802b3f3c (__TEXT,__text) external _getxattr
00000001802db840 (__TEXT,__text) external _grab_pgo_data
00000001802b4814 (__TEXT,__text) external _guarded_close_np
00000001802badcc (__TEXT,__text) external _guarded_kqueue_np
00000001802be92c (__TEXT,__text) external _guarded_open_dprotected_np
00000001802b4598 (__TEXT,__text) external _guarded_open_np
00000001802b45f4 (__TEXT,__text) external _guarded_pwrite_np
00000001802b8490 (__TEXT,__text) external _guarded_write_np
00000001802db86c (__TEXT,__text) external _guarded_writev_np
00000001802e2fa9 (__TEXT,__cstring) non-external _hex
00000001802be97c (__TEXT,__text) external _host_check_multiuser_mode
00000001802b1ed4 (__TEXT,__text) external _host_create_mach_voucher
00000001802b0f04 (__TEXT,__text) external _host_create_mach_voucher_trap
00000001802c7f9c (__TEXT,__text) external _host_default_memory_manager
00000001802c981c (__TEXT,__text) external _host_get_UNDServer
00000001802be95c (__TEXT,__text) external _host_get_atm_diagnostic_flag
00000001802c7b48 (__TEXT,__text) external _host_get_boot_info
00000001802c8644 (__TEXT,__text) external _host_get_clock_control
00000001802b6b08 (__TEXT,__text) external _host_get_clock_service
00000001802c8e00 (__TEXT,__text) external _host_get_exception_ports
00000001802b486c (__TEXT,__text) external _host_get_io_master
00000001802be974 (__TEXT,__text) external _host_get_multiuser_config_flags
00000001802b1af8 (__TEXT,__text) external _host_get_special_port
00000001802b5ccc (__TEXT,__text) external _host_info
00000001802ca510 (__TEXT,__text) external _host_kernel_version
00000001802cb1d4 (__TEXT,__text) external _host_lockgroup_info
00000001802beae8 (__TEXT,__text) external _host_page_size
00000001802c7dd8 (__TEXT,__text) external _host_priv_statistics
00000001802ca920 (__TEXT,__text) external _host_processor_info
00000001802c9598 (__TEXT,__text) external _host_processor_set_priv
00000001802c942c (__TEXT,__text) external _host_processor_sets
00000001802c84d8 (__TEXT,__text) external _host_processors
00000001802c7cb8 (__TEXT,__text) external _host_reboot
00000001802cb7bc (__TEXT,__text) external _host_register_mach_voucher_attr_manager
00000001802cb940 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001802b2e6c (__TEXT,__text) external _host_request_notification
00000001802c9b44 (__TEXT,__text) external _host_security_create_task_token
00000001802c9cdc (__TEXT,__text) external _host_security_set_task_token
00000001802bed58 (__TEXT,__text) external _host_self
00000001802b0dc0 (__TEXT,__text) external _host_self_trap
00000001802c9700 (__TEXT,__text) external _host_set_UNDServer
00000001802cbabc (__TEXT,__text) external _host_set_atm_diagnostic_flag
00000001802c8ccc (__TEXT,__text) external _host_set_exception_ports
00000001802cbddc (__TEXT,__text) external _host_set_multiuser_config_flags
00000001802c8b9c (__TEXT,__text) external _host_set_special_port
00000001802ba8a0 (__TEXT,__text) external _host_statistics
00000001802ba1d8 (__TEXT,__text) external _host_statistics64
00000001802c9074 (__TEXT,__text) external _host_swap_exception_ports
00000001802cac1c (__TEXT,__text) external _host_virtual_physical_table_info
00000001df32cbf8 (__DATA,__data) external _important_boost_assertion_token
00000001eed72ce0 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
00000001802be800 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise
00000001df32cbe0 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
00000001802be72c (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise_state
00000001df32cbd8 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
00000001802be644 (__TEXT,__text) non-external (was a private external) _internal_catch_exception_raise_state_identity
00000001df32cbd0 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
00000001802b5360 (__TEXT,__text) external _ioctl
00000001802b0b88 (__TEXT,__text) external _issetugid
00000001802db898 (__TEXT,__text) external _kas_info
00000001802b0a20 (__TEXT,__text) external _kdebug_is_enabled
00000001802c4324 (__TEXT,__text) external _kdebug_signpost
00000001802ba890 (__TEXT,__text) external _kdebug_signpost_end
00000001802ba7f0 (__TEXT,__text) non-external _kdebug_signpost_internal
00000001802ba7e0 (__TEXT,__text) external _kdebug_signpost_start
00000001802b0b08 (__TEXT,__text) external _kdebug_trace
00000001802b38ec (__TEXT,__text) external _kdebug_trace_string
00000001802b0a80 (__TEXT,__text) external _kdebug_typefilter
00000001eb744f28 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
00000001802c4310 (__TEXT,__text) external _kdebug_using_continuous_time
00000001802b6d4c (__TEXT,__text) external _kevent
00000001802bbee0 (__TEXT,__text) external _kevent64
00000001802b2b08 (__TEXT,__text) external _kevent_id
00000001802b2adc (__TEXT,__text) external _kevent_qos
00000001802c996c (__TEXT,__text) external _kext_request
00000001802b88fc (__TEXT,__text) external _kill
00000001802c89fc (__TEXT,__text) external _kmod_control
00000001802c87a8 (__TEXT,__text) external _kmod_create
00000001802c88dc (__TEXT,__text) external _kmod_destroy
00000001802caab0 (__TEXT,__text) external _kmod_get_info
00000001802c6950 (__TEXT,__text) external _kpersona_alloc
00000001802c69d0 (__TEXT,__text) external _kpersona_dealloc
00000001802c6a9c (__TEXT,__text) external _kpersona_find
00000001802c6b20 (__TEXT,__text) external _kpersona_find_by_type
00000001802b507c (__TEXT,__text) external _kpersona_get
00000001802c6a14 (__TEXT,__text) external _kpersona_getpath
00000001802b4d80 (__TEXT,__text) external _kpersona_info
00000001802c6990 (__TEXT,__text) external _kpersona_palloc
00000001802c6a58 (__TEXT,__text) external _kpersona_pidinfo
00000001802b6d20 (__TEXT,__text) external _kqueue
00000001802b677c (__TEXT,__text) external _lchown
00000001802db8c4 (__TEXT,__text) external _ledger
00000001802b5724 (__TEXT,__text) external _link
00000001802db8f0 (__TEXT,__text) external _linkat
00000001802db91c (__TEXT,__text) external _lio_listio
00000001802b8f20 (__TEXT,__text) external _listen
00000001802b4514 (__TEXT,__text) external _listxattr
00000001802c9e20 (__TEXT,__text) external _lock_acquire
00000001802ca2c0 (__TEXT,__text) external _lock_handoff
00000001802ca3e8 (__TEXT,__text) external _lock_handoff_accept
00000001802ca198 (__TEXT,__text) external _lock_make_stable
00000001802c9f48 (__TEXT,__text) external _lock_release
00000001802d2c70 (__TEXT,__text) external _lock_set_create
00000001802d2dd4 (__TEXT,__text) external _lock_set_destroy
00000001802ca070 (__TEXT,__text) external _lock_try
00000001802c05a8 (__TEXT,__text) external _log_data_as_kernel
00000001802b26d0 (__TEXT,__text) external _lseek
00000001802bbb0c (__TEXT,__text) external _lstat
00000001802bbb0c (__TEXT,__text) external _lstat64
00000001802b12e0 (__TEXT,__text) external _mach_absolute_time
00000001802b1340 (__TEXT,__text) external _mach_absolute_time_kernel
00000001802b252c (__TEXT,__text) external _mach_approximate_time
00000001802bfe44 (__TEXT,__text) external _mach_boottime_usec
00000001802b7e00 (__TEXT,__text) external _mach_continuous_approximate_time
00000001802b1278 (__TEXT,__text) external _mach_continuous_time
00000001802b134c (__TEXT,__text) external _mach_continuous_time_kernel
00000001802bea64 (__TEXT,__text) external _mach_error
00000001df32cc28 (__DATA,__common) external _mach_error_full_diag
00000001802b730c (__TEXT,__text) external _mach_error_string
00000001802b7330 (__TEXT,__text) non-external (was a private external) _mach_error_string_int
00000001802be984 (__TEXT,__text) external _mach_error_type
00000001802d9814 (__TEXT,__text) external _mach_eventlink_associate
00000001802d9574 (__TEXT,__text) external _mach_eventlink_create
00000001802d9700 (__TEXT,__text) external _mach_eventlink_destroy
00000001802d9954 (__TEXT,__text) external _mach_eventlink_disassociate
00000001802c0044 (__TEXT,__text) external _mach_eventlink_signal
00000001802c00a0 (__TEXT,__text) external _mach_eventlink_signal_wait_until
00000001802c0060 (__TEXT,__text) external _mach_eventlink_wait_until
00000001802b0e5c (__TEXT,__text) external _mach_generate_activity_id
00000001802b2d70 (__TEXT,__text) external _mach_get_times
00000001802b1af4 (__TEXT,__text) external _mach_host_self
00000001802bcf5c (__TEXT,__text) external _mach_host_special_port_description
00000001e5917a50 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
00000001802bcfbc (__TEXT,__text) external _mach_host_special_port_for_id
00000001df32ca58 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
00000001802b697c (__TEXT,__text) external _mach_init
00000001eb744f18 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
00000001802b69b4 (__TEXT,__text) non-external _mach_init_doit
00000001802cfb60 (__TEXT,__text) external _mach_make_memory_entry
00000001802b236c (__TEXT,__text) external _mach_make_memory_entry_64
00000001802d92e0 (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001802d9440 (__TEXT,__text) external _mach_memory_entry_ownership
00000001802d91a0 (__TEXT,__text) external _mach_memory_entry_purgable_control
00000001802cbbdc (__TEXT,__text) external _mach_memory_info
00000001802ca79c (__TEXT,__text) external _mach_memory_object_memory_entry
00000001802cb050 (__TEXT,__text) external _mach_memory_object_memory_entry_64
00000001802b1138 (__TEXT,__text) external _mach_msg
00000001802b1c5c (__TEXT,__text) external _mach_msg_destroy
00000001802b1db8 (__TEXT,__text) non-external _mach_msg_destroy_port
00000001802b9080 (__TEXT,__text) external _mach_msg_overwrite
00000001802b0dd8 (__TEXT,__text) external _mach_msg_overwrite_trap
00000001802beb58 (__TEXT,__text) external _mach_msg_priority_encode
00000001802beb48 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001802beb8c (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001802beb9c (__TEXT,__text) external _mach_msg_priority_qos
00000001802bebac (__TEXT,__text) external _mach_msg_priority_relpri
00000001802bc550 (__TEXT,__text) external _mach_msg_receive
00000001802b5708 (__TEXT,__text) external _mach_msg_send
00000001802b85e0 (__TEXT,__text) external _mach_msg_server
00000001802b91dc (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001802beb44 (__TEXT,__text) external _mach_msg_server_importance
00000001802bb350 (__TEXT,__text) external _mach_msg_server_once
00000001802b0dcc (__TEXT,__text) external _mach_msg_trap
00000001802d0450 (__TEXT,__text) external _mach_notify_dead_name
00000001802d039c (__TEXT,__text) external _mach_notify_no_senders
00000001802d02d4 (__TEXT,__text) external _mach_notify_port_deleted
00000001802d0338 (__TEXT,__text) external _mach_notify_port_destroyed
00000001802d0400 (__TEXT,__text) external _mach_notify_send_once
00000001802b2f9c (__TEXT,__text) external _mach_port_allocate
00000001802c6418 (__TEXT,__text) external _mach_port_allocate_full
00000001802c6404 (__TEXT,__text) external _mach_port_allocate_name
00000001802c6414 (__TEXT,__text) external _mach_port_allocate_qos
00000001802b1f64 (__TEXT,__text) external _mach_port_construct
00000001802b2138 (__TEXT,__text) external _mach_port_deallocate
00000001802b6520 (__TEXT,__text) external _mach_port_destroy
00000001802b2768 (__TEXT,__text) external _mach_port_destruct
00000001802c65cc (__TEXT,__text) external _mach_port_dnrequest_info
00000001802b439c (__TEXT,__text) external _mach_port_extract_member
00000001802ba504 (__TEXT,__text) external _mach_port_extract_right
00000001802b36f8 (__TEXT,__text) external _mach_port_get_attributes
00000001802b61d4 (__TEXT,__text) external _mach_port_get_context
00000001802b4200 (__TEXT,__text) external _mach_port_get_refs
00000001802bc15c (__TEXT,__text) external _mach_port_get_set_status
00000001802c6420 (__TEXT,__text) external _mach_port_get_srights
00000001802b3c34 (__TEXT,__text) external _mach_port_guard
00000001802c664c (__TEXT,__text) external _mach_port_guard_with_flags
00000001802b300c (__TEXT,__text) external _mach_port_insert_member
00000001802b3234 (__TEXT,__text) external _mach_port_insert_right
00000001802c65d0 (__TEXT,__text) external _mach_port_kernel_object
00000001802c65d4 (__TEXT,__text) external _mach_port_kobject
00000001802c65d8 (__TEXT,__text) external _mach_port_kobject_description
00000001802b1548 (__TEXT,__text) external _mach_port_mod_refs
00000001802b5e90 (__TEXT,__text) external _mach_port_move_member
00000001802c63fc (__TEXT,__text) external _mach_port_names
00000001802c6408 (__TEXT,__text) external _mach_port_peek
00000001802c6400 (__TEXT,__text) external _mach_port_rename
00000001802b2bb8 (__TEXT,__text) external _mach_port_request_notification
00000001802b3784 (__TEXT,__text) external _mach_port_set_attributes
00000001802bc034 (__TEXT,__text) external _mach_port_set_context
00000001802c640c (__TEXT,__text) external _mach_port_set_mscount
00000001802c6410 (__TEXT,__text) external _mach_port_set_seqno
00000001802c6428 (__TEXT,__text) external _mach_port_space_basic_info
00000001802c6424 (__TEXT,__text) external _mach_port_space_info
00000001802c6650 (__TEXT,__text) external _mach_port_swap_guard
00000001802b39a4 (__TEXT,__text) external _mach_port_type
00000001802c65dc (__TEXT,__text) external _mach_port_unguard
00000001802bbc54 (__TEXT,__text) external _mach_ports_lookup
00000001802b813c (__TEXT,__text) external _mach_ports_register
00000001802b0d9c (__TEXT,__text) external _mach_reply_port
00000001802bf030 (__TEXT,__text) external _mach_right_recv_construct
00000001802dc730 (__TEXT,__text) non-external _mach_right_recv_construct.cold.1
00000001802bf0e0 (__TEXT,__text) external _mach_right_recv_destruct
00000001802dc758 (__TEXT,__text) non-external _mach_right_recv_destruct.cold.1
00000001802dc780 (__TEXT,__text) non-external _mach_right_recv_destruct.cold.2
00000001802bf138 (__TEXT,__text) external _mach_right_send_create
00000001802dc7a8 (__TEXT,__text) non-external _mach_right_send_create.cold.1
00000001802bf228 (__TEXT,__text) external _mach_right_send_once_consume
00000001802dc870 (__TEXT,__text) non-external _mach_right_send_once_consume.cold.1
00000001802dc898 (__TEXT,__text) non-external _mach_right_send_once_consume.cold.2
00000001802bf1d8 (__TEXT,__text) external _mach_right_send_once_create
00000001802dc848 (__TEXT,__text) non-external _mach_right_send_once_create.cold.1
00000001802b5750 (__TEXT,__text) external _mach_right_send_release
00000001802dc7f8 (__TEXT,__text) non-external _mach_right_send_release.cold.1
00000001802dc820 (__TEXT,__text) non-external _mach_right_send_release.cold.2
00000001802bf180 (__TEXT,__text) external _mach_right_send_retain
00000001802dc7d0 (__TEXT,__text) non-external _mach_right_send_retain.cold.1
00000001802c64a0 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001802c6554 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
00000001802bfe54 (__TEXT,__text) external _mach_task_is_self
00000001802bf02c (__TEXT,__text) external _mach_task_self
00000001eb74489c (__DATA_DIRTY,__common) external _mach_task_self_
00000001802bcf7c (__TEXT,__text) external _mach_task_special_port_description
00000001e5917b58 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
00000001802bd04c (__TEXT,__text) external _mach_task_special_port_for_id
00000001df32cb50 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
00000001802b6ad8 (__TEXT,__text) external _mach_thread_self
00000001802bcf9c (__TEXT,__text) external _mach_thread_special_port_description
00000001e5917bb8 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
00000001802bd05c (__TEXT,__text) external _mach_thread_special_port_for_id
00000001df32cbb0 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
00000001802b1220 (__TEXT,__text) external _mach_timebase_info
00000001eb744f1c (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
00000001802b0f34 (__TEXT,__text) external _mach_timebase_info_trap
00000001802b30bc (__TEXT,__text) external _mach_vm_allocate
00000001802cf628 (__TEXT,__text) external _mach_vm_behavior_set
00000001802b84bc (__TEXT,__text) external _mach_vm_copy
00000001802b2864 (__TEXT,__text) external _mach_vm_deallocate
00000001802cefa0 (__TEXT,__text) external _mach_vm_inherit
00000001802cf750 (__TEXT,__text) external _mach_vm_machine_attribute
00000001802b0bb4 (__TEXT,__text) external _mach_vm_map
00000001802cf500 (__TEXT,__text) external _mach_vm_msync
00000001802cfe34 (__TEXT,__text) external _mach_vm_page_info
00000001802cfa14 (__TEXT,__text) external _mach_vm_page_query
00000001802cfffc (__TEXT,__text) external _mach_vm_page_range_query
00000001802b4bbc (__TEXT,__text) external _mach_vm_protect
00000001802b4624 (__TEXT,__text) external _mach_vm_purgable_control
00000001802c677c (__TEXT,__text) external _mach_vm_read
00000001802cf250 (__TEXT,__text) external _mach_vm_read_list
00000001802bb210 (__TEXT,__text) external _mach_vm_read_overwrite
00000001802b5820 (__TEXT,__text) external _mach_vm_region
00000001802bafc0 (__TEXT,__text) external _mach_vm_region_recurse
00000001802c6654 (__TEXT,__text) external _mach_vm_remap
00000001802c66e8 (__TEXT,__text) external _mach_vm_remap_new
00000001802c92f8 (__TEXT,__text) external _mach_vm_wire
00000001802cf3c4 (__TEXT,__text) external _mach_vm_write
00000001802b5a70 (__TEXT,__text) external _mach_voucher_attr_command
00000001802b2728 (__TEXT,__text) external _mach_voucher_deallocate
00000001802d9e18 (__TEXT,__text) external _mach_voucher_debug_info
00000001802d9c44 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
00000001802bac04 (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001802b3680 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
00000001802b0f10 (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001802b0f40 (__TEXT,__text) external _mach_wait_until
00000001802cb508 (__TEXT,__text) external _mach_zone_force_gc
00000001802cc338 (__TEXT,__text) external _mach_zone_get_btlog_records
00000001802cc1bc (__TEXT,__text) external _mach_zone_get_zlog_zones
00000001802cb350 (__TEXT,__text) external _mach_zone_info
00000001802cc058 (__TEXT,__text) external _mach_zone_info_for_largest_zone
00000001802cbefc (__TEXT,__text) external _mach_zone_info_for_zone
00000001802b0ec8 (__TEXT,__text) external _macx_backing_store_recovery
00000001802b0ebc (__TEXT,__text) external _macx_backing_store_suspend
00000001802b0e98 (__TEXT,__text) external _macx_swapoff
00000001802b0e8c (__TEXT,__text) external _macx_swapon
00000001802b0eb0 (__TEXT,__text) external _macx_triggers
00000001802b3a14 (__TEXT,__text) external _madvise
00000001802b75c0 (__TEXT,__text) non-external (was a private external) _malloc
00000001df32cc60 (__DATA,__bss) non-external _master_host_port
00000001802bc890 (__TEXT,__text) non-external (was a private external) _memcmp
00000001802b10f0 (__TEXT,__text) non-external (was a private external) _memcpy
00000001802b9394 (__TEXT,__text) external _memorystatus_control
00000001802db974 (__TEXT,__text) external _memorystatus_get_level
00000001802bebc4 (__TEXT,__text) external _mig_allocate
00000001802b3fd0 (__TEXT,__text) external _mig_dealloc_reply_port
00000001802c642c (__TEXT,__text) external _mig_dealloc_special_reply_port
00000001802b682c (__TEXT,__text) external _mig_deallocate
00000001802b1100 (__TEXT,__text) external _mig_get_reply_port
00000001802b2548 (__TEXT,__text) external _mig_get_special_reply_port
00000001802b60d8 (__TEXT,__text) external _mig_put_reply_port
00000001802b57e8 (__TEXT,__text) external _mig_reply_setup
00000001802b60dc (__TEXT,__text) external _mig_strncpy
00000001802b2588 (__TEXT,__text) external _mig_strncpy_zerofill
00000001802db9a0 (__TEXT,__text) external _mincore
00000001802db9cc (__TEXT,__text) external _minherit
00000001802b0f64 (__TEXT,__text) external _mk_timer_arm
00000001802b0f7c (__TEXT,__text) external _mk_timer_arm_leeway
00000001802b0f70 (__TEXT,__text) external _mk_timer_cancel
00000001802b0f4c (__TEXT,__text) external _mk_timer_create
00000001802b0f58 (__TEXT,__text) external _mk_timer_destroy
00000001802b2838 (__TEXT,__text) external _mkdir
