00000001d71797d8 (__DATA,__common) external _BC
00000001a44f38dc (__TEXT,__text) external _set_curterm
00000001a45003f8 (__TEXT,__text) external _set_escdelay
00000001a4507b5c (__TEXT,__text) external _set_tabsize
00000001a45071ac (__TEXT,__text) external _set_term
00000001a44fe634 (__TEXT,__text) external _setcchar
                 (undefined) external _setlocale (from libSystem)
00000001a45153e8 (__TEXT,__text) external _setscrreg
00000001a4507d90 (__TEXT,__text) external _setupterm
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _sigaction (from libSystem)
                 (undefined) external _sigprocmask (from libSystem)
                 (undefined) external _sleep (from libSystem)
00000001a45083f8 (__TEXT,__text) external _slk_attr
00000001a4515400 (__TEXT,__text) external _slk_attr_off
00000001a4515410 (__TEXT,__text) external _slk_attr_on
00000001a450828c (__TEXT,__text) external _slk_attr_set
00000001a450830c (__TEXT,__text) external _slk_attroff
00000001a4508360 (__TEXT,__text) external _slk_attron
00000001a45083bc (__TEXT,__text) external _slk_attrset
00000001a4508420 (__TEXT,__text) external _slk_clear
00000001a45084cc (__TEXT,__text) external _slk_color
00000001a4508528 (__TEXT,__text) external _slk_init
00000001a4508574 (__TEXT,__text) external _slk_label
00000001a45085c0 (__TEXT,__text) external _slk_noutrefresh
00000001a45088c4 (__TEXT,__text) external _slk_refresh
00000001a450815c (__TEXT,__text) external _slk_restore
00000001a4508938 (__TEXT,__text) external _slk_set
00000001a4508c80 (__TEXT,__text) external _slk_touch
00000001a4508184 (__TEXT,__text) external _slk_wset
                 (undefined) external _sprintf (from libSystem)
                 (undefined) external _sscanf (from libSystem)
00000001a451543c (__TEXT,__text) external _standend
00000001a4515420 (__TEXT,__text) external _standout
00000001a44feb14 (__TEXT,__text) external _start_color
                 (undefined) external _stat (from libSystem)
00000001d7179690 (__DATA,__common) external _stdscr
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
00000001d2ebd038 (__DATA_CONST,__const) external _strcodes
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
00000001d2ebef78 (__DATA_CONST,__const) external _strfnames
                 (undefined) external _strlen (from libSystem)
00000001d2ebe280 (__DATA_CONST,__const) external _strnames
                 (undefined) external _strncat (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _strtol (from libSystem)
00000001a45053b0 (__TEXT,__text) external _subpad
00000001a4504a84 (__TEXT,__text) external _subwin
00000001a450b79c (__TEXT,__text) external _syncok
                 (undefined) external _tcflush (from libSystem)
                 (undefined) external _tcgetattr (from libSystem)
                 (undefined) external _tcgetpgrp (from libSystem)
                 (undefined) external _tcsetattr (from libSystem)
00000001a450a924 (__TEXT,__text) external _term_attrs
00000001a450b0fc (__TEXT,__text) external _termattrs
00000001a4508f54 (__TEXT,__text) external _termname
00000001a44f2224 (__TEXT,__text) external _tgetent
00000001a4508cb0 (__TEXT,__text) external _tgetflag
00000001a4508d60 (__TEXT,__text) external _tgetnum
00000001a4508e20 (__TEXT,__text) external _tgetstr
00000001a4508f74 (__TEXT,__text) external _tgoto
00000001a45093cc (__TEXT,__text) external _tigetflag
00000001a4509478 (__TEXT,__text) external _tigetnum
00000001a4509534 (__TEXT,__text) external _tigetstr
00000001a4515454 (__TEXT,__text) external _timeout
00000001a4515468 (__TEXT,__text) external _touchline
00000001a4515470 (__TEXT,__text) external _touchwin
00000001a44f4088 (__TEXT,__text) external _tparm
00000001a4509a2c (__TEXT,__text) external _tputs
00000001d71796c0 (__DATA,__common) external _ttytype
00000001a4504ddc (__TEXT,__text) external _typeahead
00000001a4512434 (__TEXT,__text) external _unctrl
00000001a450a75c (__TEXT,__text) external _unget_wch
00000001a450a8e4 (__TEXT,__text) external _ungetch
00000001a450204c (__TEXT,__text) external _ungetmouse
00000001a4515490 (__TEXT,__text) external _untouchwin
00000001a44ff9a4 (__TEXT,__text) external _use_default_colors
00000001a4507bac (__TEXT,__text) external _use_env
00000001a44fb1f8 (__TEXT,__text) external _use_extended_names
00000001a44fc3b8 (__TEXT,__text) external _use_legacy_coding
00000001a4512448 (__TEXT,__text) external _use_screen
00000001a45124a4 (__TEXT,__text) external _use_window
                 (undefined) external _vfprintf (from libSystem)
00000001a450a908 (__TEXT,__text) external _vid_attr
00000001a450a8f8 (__TEXT,__text) external _vid_puts
00000001a450b0d0 (__TEXT,__text) external _vidattr
00000001a450a9ac (__TEXT,__text) external _vidputs
00000001a45154b0 (__TEXT,__text) external _vline
00000001a4516784 (__TEXT,__text) external _vline_set
                 (undefined) external _vsnprintf (from libSystem)
                 (undefined) external _vsscanf (from libSystem)
00000001a45154c8 (__TEXT,__text) external _vw_printw
00000001a45154cc (__TEXT,__text) external _vw_scanw
00000001a45059e8 (__TEXT,__text) external _vwprintw
00000001a450683c (__TEXT,__text) external _vwscanw
00000001a44fc634 (__TEXT,__text) external _wadd_wch
00000001a44fd694 (__TEXT,__text) external _wadd_wchnstr
00000001a451679c (__TEXT,__text) external _wadd_wchstr
00000001a44fcd94 (__TEXT,__text) external _waddch
00000001a44fd578 (__TEXT,__text) external _waddchnstr
00000001a45154d0 (__TEXT,__text) external _waddchstr
00000001a44fd4d4 (__TEXT,__text) external _waddnstr
00000001a44fda3c (__TEXT,__text) external _waddnwstr
00000001a45154d8 (__TEXT,__text) external _waddstr
00000001a45167a4 (__TEXT,__text) external _waddwstr
00000001a45154fc (__TEXT,__text) external _wattr_get
00000001a450b528 (__TEXT,__text) external _wattr_off
00000001a450b558 (__TEXT,__text) external _wattr_on
00000001a451551c (__TEXT,__text) external _wattr_set
00000001a45154e8 (__TEXT,__text) external _wattroff
00000001a45154e0 (__TEXT,__text) external _wattron
00000001a45154f0 (__TEXT,__text) external _wattrset
00000001a44fde2c (__TEXT,__text) external _wbkgd
00000001a44fdbf0 (__TEXT,__text) external _wbkgdset
00000001a44fdc28 (__TEXT,__text) external _wbkgrnd
00000001a44fdb38 (__TEXT,__text) external _wbkgrndset
00000001a44fde64 (__TEXT,__text) external _wborder
00000001a44fe240 (__TEXT,__text) external _wborder_set
00000001a44fe7d4 (__TEXT,__text) external _wchgat
00000001a44fe88c (__TEXT,__text) external _wclear
00000001a44fe8dc (__TEXT,__text) external _wclrtobot
00000001a44fe9bc (__TEXT,__text) external _wclrtoeol
00000001a44ff758 (__TEXT,__text) external _wcolor_set
                 (undefined) external _wcrtomb (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsrtombs (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
                 (undefined) external _wctob (from libSystem)
00000001a450b87c (__TEXT,__text) external _wcursyncup
                 (undefined) external _wcwidth (from libSystem)
00000001a44ff804 (__TEXT,__text) external _wdelch
00000001a4515530 (__TEXT,__text) external _wdeleteln
00000001a44fc744 (__TEXT,__text) external _wecho_wchar
00000001a44fcdf8 (__TEXT,__text) external _wechochar
00000001a4502364 (__TEXT,__text) external _wenclose
00000001a44ffb38 (__TEXT,__text) external _werase
00000001a44ffd64 (__TEXT,__text) external _wget_wch
00000001a45167ac (__TEXT,__text) external _wget_wstr
00000001a45167b4 (__TEXT,__text) external _wgetbkgrnd
00000001a4500a88 (__TEXT,__text) external _wgetch
00000001a44ffedc (__TEXT,__text) external _wgetn_wstr
00000001a4500ae0 (__TEXT,__text) external _wgetnstr
00000001a4515630 (__TEXT,__text) external _wgetparent
00000001a4515694 (__TEXT,__text) external _wgetscrreg
00000001a4515538 (__TEXT,__text) external _wgetstr
00000001a4500f80 (__TEXT,__text) external _whline
00000001a45010d0 (__TEXT,__text) external _whline_set
00000001a4501210 (__TEXT,__text) external _win_wch
00000001a4501254 (__TEXT,__text) external _win_wchnstr
00000001a45167cc (__TEXT,__text) external _win_wchstr
00000001a450b588 (__TEXT,__text) external _winch
00000001a4501300 (__TEXT,__text) external _winchnstr
00000001a4515540 (__TEXT,__text) external _winchstr
00000001a4501b4c (__TEXT,__text) external _winnstr
00000001a4501d1c (__TEXT,__text) external _winnwstr
00000001a45015c8 (__TEXT,__text) external _wins_nwstr
00000001a4501438 (__TEXT,__text) external _wins_wch
00000001a45167d4 (__TEXT,__text) external _wins_wstr
00000001a45019e8 (__TEXT,__text) external _winsch
00000001a4501a38 (__TEXT,__text) external _winsdelln
00000001a4515548 (__TEXT,__text) external _winsertln
00000001a4501aac (__TEXT,__text) external _winsnstr
00000001a4515550 (__TEXT,__text) external _winsstr
00000001a4515558 (__TEXT,__text) external _winstr
00000001a4501dec (__TEXT,__text) external _winwstr
                 (undefined) external _wmemchr (from libSystem)
                 (undefined) external _wmemcpy (from libSystem)
00000001a45023fc (__TEXT,__text) external _wmouse_trafo
00000001a4502af4 (__TEXT,__text) external _wmove
00000001a450631c (__TEXT,__text) external _wnoutrefresh
00000001a4505a44 (__TEXT,__text) external _wprintw
00000001a4506164 (__TEXT,__text) external _wredrawln
00000001a4506288 (__TEXT,__text) external _wrefresh
00000001a45126f4 (__TEXT,__text) external _wresize
                 (undefined) external _write (from libSystem)
00000001a45068fc (__TEXT,__text) external _wscanw
00000001a45070dc (__TEXT,__text) external _wscrl
00000001a4507168 (__TEXT,__text) external _wsetscrreg
00000001a4515570 (__TEXT,__text) external _wstandend
00000001a4515560 (__TEXT,__text) external _wstandout
00000001a450b7b8 (__TEXT,__text) external _wsyncdown
00000001a450b60c (__TEXT,__text) external _wsyncup
00000001a4504c38 (__TEXT,__text) external _wtimeout
00000001a450966c (__TEXT,__text) external _wtouchln
00000001a450ba24 (__TEXT,__text) external _wunctrl
00000001a450b1b4 (__TEXT,__text) external _wvline
00000001a450b304 (__TEXT,__text) external _wvline_set
