0000000182cbeea8 (__DATA,__data) non-external _C
0000000180b60e18 (__TEXT,__text) non-external (was a private external) ___svfscanf_l
0000000180b91f00 (__TEXT,__const) non-external ___svfscanf_l.basefix
0000000180b6836c (__TEXT,__text) external ___swbuf
0000000180b58edc (__TEXT,__text) external ___swhatbuf
0000000180b5c7b8 (__TEXT,__text) external ___swrite
0000000180b6859c (__TEXT,__text) external ___swsetup
                 (undefined) external ___sysctl (from libsystem_kernel)
0000000182cbfcd0 (__DATA,__data) non-external ___systemfn_mutex
0000000182cbfd30 (__DATA,__data) non-external ___systemfn_mutex
0000000180b916b8 (__TEXT,__const) external ___tens_D2A
                 (undefined) external ___thread_selfusage (from libsystem_kernel)
0000000180b2e08c (__TEXT,__text) non-external ___thread_stack_async_pcs
0000000180b2dc3c (__TEXT,__text) non-external ___thread_stack_pcs
0000000180b6e8a0 (__TEXT,__text) non-external (was a private external) ___time_load_locale
0000000182ccb7f8 (__DATA,__bss) non-external ___time_load_locale.cache
0000000180b91690 (__TEXT,__const) external ___tinytens_D2A
0000000180b4ff2c (__TEXT,__text) external ___tolower
0000000180b50080 (__TEXT,__text) external ___tolower_l
0000000180b4feec (__TEXT,__text) external ___toupper
0000000180b50060 (__TEXT,__text) external ___toupper_l
0000000180b401b8 (__TEXT,__text) external ___trailz_D2A
0000000180b41170 (__TEXT,__text) external ___ulp_D2A
0000000180b60950 (__TEXT,__text) non-external ___ultoa
0000000180b65ab0 (__TEXT,__text) non-external ___ultoa
0000000180b5d0b0 (__TEXT,__text) external ___ungetc
0000000180b5d268 (__TEXT,__text) external ___ungetwc
                 (undefined) external ___unix_conforming (from libsystem_pthread)
0000000180b78b94 (__TEXT,__text) non-external (was a private external) ___unsetenv_locked
0000000180b923a1 (__TEXT,__const) non-external (was a private external) ___uppercase_hex
0000000180b7ffc8 (__TEXT,__text) non-external (was a private external) ___v2printf
0000000180b5d9ac (__TEXT,__text) non-external (was a private external) ___vfprintf
0000000180b8f9a4 (__TEXT,__text) non-external ___vfprintf.cold.1
0000000180b91ebf (__TEXT,__const) non-external ___vfprintf.xdigs_lower
0000000180b91ecf (__TEXT,__const) non-external ___vfprintf.xdigs_upper
0000000180b62ec0 (__TEXT,__text) non-external (was a private external) ___vfwprintf
0000000180b91f24 (__TEXT,__const) non-external ___vfwprintf.xdigs_lower
0000000180b91f34 (__TEXT,__const) non-external ___vfwprintf.xdigs_upper
0000000180b66058 (__TEXT,__text) non-external (was a private external) ___vfwscanf
0000000180b92020 (__TEXT,__const) non-external ___vfwscanf.basefix
0000000180b8e60c (__TEXT,__text) external ___vsnprintf_chk
0000000180b8e3f4 (__TEXT,__text) external ___vsprintf_chk
                 (undefined) external ___wait4 (from libsystem_kernel)
                 (undefined) external ___wait4_nocancel (from libsystem_kernel)
0000000180b51ff0 (__TEXT,__text) non-external (was a private external) ___wcs_end_offset
0000000180b51d58 (__TEXT,__text) non-external (was a private external) ___wcsnrtombs_std
0000000180b4ff6c (__TEXT,__text) external ___wcwidth
0000000180b500a0 (__TEXT,__text) external ___wcwidth_l
0000000180b5120c (__TEXT,__text) non-external (was a private external) ___wrap_setrunelocale
0000000182cbf570 (__DATA,__data) external ___xlocale_C_collate
0000000180b31098 (__TEXT,__text) non-external (was a private external) ___xlocale_init
0000000180b310d0 (__TEXT,__text) non-external ___xlocale_release
0000000180b31d08 (__TEXT,__text) non-external (was a private external) ___xprintf_domain_init
0000000180b8e99c (__TEXT,__text) non-external ___xprintf_domain_init.cold.1
0000000182cbf470 (__DATA,__data) non-external (was a private external) ___xprintf_domain_once
0000000180b80500 (__TEXT,__text) non-external (was a private external) ___xprintf_vector
0000000180b8034c (__TEXT,__text) non-external (was a private external) ___xvprintf
0000000180b78c80 (__TEXT,__text) external __allocenvstate
0000000180b41368 (__TEXT,__text) non-external (was a private external) __arc4_fork_child
0000000180b4a998 (__TEXT,__text) non-external (was a private external) __ascii_init
0000000180b4aa10 (__TEXT,__text) non-external __ascii_mbrtowc
0000000180b4aa6c (__TEXT,__text) non-external __ascii_mbsinit
0000000180b4aa74 (__TEXT,__text) non-external __ascii_mbsnrtowcs
0000000180b4ab34 (__TEXT,__text) non-external __ascii_wcrtomb
0000000180b4ab74 (__TEXT,__text) non-external __ascii_wcsnrtombs
0000000180b2693c (__TEXT,__text) non-external __boottime_fallback_usec
0000000180c9d1c8 (__DATA_CONST,__const) external __c_locale
0000000180b56420 (__TEXT,__text) external __cleanup
0000000180b4bbe4 (__TEXT,__text) external __collate_lookup
0000000180b4cf0c (__TEXT,__text) non-external (was a private external) __collate_sxfrm
0000000180b8f740 (__TEXT,__text) non-external __collate_sxfrm.cold.1
0000000180b4cc98 (__TEXT,__text) non-external (was a private external) __collate_wxfrm
0000000180b8f714 (__TEXT,__text) non-external __collate_wxfrm.cold.1
0000000180b78c84 (__TEXT,__text) external __copyenv
0000000182ce5af0 (__AUTH,__data) external __cthread_init_routine
0000000180b78d1c (__TEXT,__text) external __deallocenvstate
0000000180b78578 (__TEXT,__text) non-external __do_nothing
0000000180b305f4 (__TEXT,__text) non-external __duplocale
                 (undefined) external __dyld_images_for_addresses (from libdyld)
                 (undefined) external __dyld_stack_range (from libdyld)
0000000182ccb908 (__DATA,__common) non-external (was a private external) __e_err_exit
0000000182ccb900 (__DATA,__common) non-external (was a private external) __e_err_file
0000000180b41874 (__TEXT,__text) non-external (was a private external) __e_visprintf
0000000180b5b954 (__TEXT,__text) non-external __ensurespace
                 (undefined) external __exit (from libsystem_kernel)
0000000180b26bf0 (__TEXT,__text) non-external __ffpp_strtoencf32_l
0000000180b8e63c (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.1
0000000180b8e668 (__TEXT,__text) non-external __ffpp_strtoencf32_l.cold.2
0000000180b90ff0 (__TEXT,__const) non-external __ffpp_strtoencf32_l.floatPowerOf10
0000000180b26f48 (__TEXT,__text) non-external __ffpp_strtoencf64_l
0000000180b8e694 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.1
0000000180b8e6c0 (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.2
0000000180b8e6ec (__TEXT,__text) non-external __ffpp_strtoencf64_l.cold.3
0000000180b91390 (__TEXT,__const) non-external __ffpp_strtoencf64_l.doublePowerOf10
0000000180b45d18 (__TEXT,__text) non-external (was a private external) __filldir
0000000180b484d0 (__TEXT,__text) non-external (was a private external) __fixtelldir
0000000180b54d80 (__TEXT,__text) external __flockfile_debug_stub
0000000180b578d8 (__TEXT,__text) external __fseeko
0000000180b57d5c (__TEXT,__text) external __ftello
0000000180b58310 (__TEXT,__text) external __fwalk
0000000180b72bd4 (__TEXT,__text) external __getenvp
0000000180b2d234 (__TEXT,__text) external __init_clock_port
0000000180b6e878 (__TEXT,__text) external __int_to_time
0000000180b7560c (__TEXT,__text) non-external __isort
0000000180b761a4 (__TEXT,__text) non-external __isort
0000000182cc0bd0 (__DATA,__bss) non-external __libSystem_atfork_child
0000000182cc0bb8 (__DATA,__bss) non-external __libSystem_atfork_child_v2
0000000182cc0bc8 (__DATA,__bss) non-external __libSystem_atfork_parent
0000000182cc0bb0 (__DATA,__bss) non-external __libSystem_atfork_parent_v2
0000000182cc0bc0 (__DATA,__bss) non-external __libSystem_atfork_prepare
0000000182cc0ba8 (__DATA,__bss) non-external __libSystem_atfork_prepare_v2
0000000180b33364 (__TEXT,__text) external __libc_fork_child
0000000180b33418 (__TEXT,__text) non-external (was a private external) __libc_fork_init
0000000180b33360 (__TEXT,__text) external __libc_fork_parent
0000000180b3335c (__TEXT,__text) external __libc_fork_prepare
0000000180b332ac (__TEXT,__text) external __libc_initializer
0000000180b4ece0 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_child
0000000180b4ecb8 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_parent
0000000180b4ec90 (__TEXT,__text) non-external (was a private external) __locale_lock_fork_prepare
0000000180b6e870 (__TEXT,__text) external __long_to_time
0000000180b26604 (__TEXT,__text) non-external __mach_boottime_usec
0000000182cc0ba0 (__DATA,__bss) non-external __mh_execute_header_pointer
0000000180b596b4 (__TEXT,__text) non-external __mkdtemp_action
0000000180b593e4 (__TEXT,__text) non-external __mkostemps_action
0000000180b325cc (__TEXT,__text) non-external __mkpath
0000000180b325b8 (__TEXT,__text) external __mkpath_np
0000000180b598d8 (__TEXT,__text) non-external __mkstemp_dprotected_np_action
0000000180b8f860 (__TEXT,__text) non-external __mkstemp_dprotected_np_action.cold.1
0000000180b59738 (__TEXT,__text) external __mktemp
0000000180b59790 (__TEXT,__text) non-external __mktemp_action
0000000180b500e4 (__TEXT,__text) non-external (was a private external) __none_init
0000000180b5015c (__TEXT,__text) non-external (was a private external) __none_mbrtowc
0000000180b5018c (__TEXT,__text) non-external (was a private external) __none_mbsinit
0000000180b50194 (__TEXT,__text) non-external (was a private external) __none_mbsnrtowcs
0000000180b50228 (__TEXT,__text) non-external (was a private external) __none_wcrtomb
0000000180b50268 (__TEXT,__text) non-external (was a private external) __none_wcsnrtombs
                 (undefined) external __os_alloc_once (from libsystem_platform)
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
0000000180b8eb9c (__TEXT,__text) external __os_assert_log
0000000180b8eda8 (__TEXT,__text) external __os_assert_log_ctx
0000000180b8ea90 (__TEXT,__text) external __os_assumes_log
0000000180b8ec6c (__TEXT,__text) external __os_assumes_log_ctx
0000000180b33e9c (__TEXT,__text) external __os_avoid_tail_call
0000000180b8ea84 (__TEXT,__text) external __os_crash
0000000182ccb8f0 (__DATA,__common) external __os_crash_callback
0000000180b33ea0 (__TEXT,__text) non-external __os_get_build
                 (undefined) external __os_once (from libsystem_platform)
0000000180b78580 (__TEXT,__text) non-external (was a private external) __owned_ptr_add
0000000180b786d8 (__TEXT,__text) non-external (was a private external) __owned_ptr_alloc
0000000180b78644 (__TEXT,__text) non-external (was a private external) __owned_ptr_search
                 (undefined) external __platform_bzero (from libsystem_platform)
                 (undefined) external __platform_memccpy (from libsystem_platform)
                 (undefined) external __platform_memchr (from libsystem_platform)
                 (undefined) external __platform_memcmp (from libsystem_platform)
                 (undefined) external __platform_memmove (from libsystem_platform)
                 (undefined) external __platform_memset (from libsystem_platform)
                 (undefined) external __platform_memset_pattern16 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern4 (from libsystem_platform)
                 (undefined) external __platform_memset_pattern8 (from libsystem_platform)
                 (undefined) external __platform_strchr (from libsystem_platform)
                 (undefined) external __platform_strcmp (from libsystem_platform)
                 (undefined) external __platform_strcpy (from libsystem_platform)
                 (undefined) external __platform_strlcat (from libsystem_platform)
                 (undefined) external __platform_strlcpy (from libsystem_platform)
                 (undefined) external __platform_strlen (from libsystem_platform)
                 (undefined) external __platform_strncmp (from libsystem_platform)
                 (undefined) external __platform_strncpy (from libsystem_platform)
                 (undefined) external __platform_strnlen (from libsystem_platform)
                 (undefined) external __platform_strstr (from libsystem_platform)
0000000182d5fe40 (__AUTH_CONST,__const) non-external __printf_tbl_defaults_fbsd
0000000180b93f38 (__TEXT,__cstring) non-external __printf_tbl_flags
0000000180b333e0 (__TEXT,__text) non-external (was a private external) __program_vars_init
0000000180b74bd4 (__TEXT,__text) external __putenvp
0000000180b74d54 (__TEXT,__text) non-external __qsort
0000000180b75830 (__TEXT,__text) non-external __qsort
0000000182cbf4d0 (__DATA,__data) external __rand48_add
0000000182cbf4c8 (__DATA,__data) external __rand48_mult
0000000182cbf4c0 (__DATA,__data) external __rand48_seed
0000000180b465f0 (__TEXT,__text) external __readdir_unlocked
0000000180b48504 (__TEXT,__text) external __reclaim_telldir
0000000180b92308 (__TEXT,__const) non-external (was a private external) __rp_alist
0000000180b48414 (__TEXT,__text) external __seekdir
0000000180b78d78 (__TEXT,__text) external __setenvp
0000000180b33a50 (__TEXT,__text) external __sigaction_nobind
0000000182ccb920 (__DATA,__common) external __sigintr
0000000180b47650 (__TEXT,__text) external __signal_nobind
0000000180b260a8 (__TEXT,__text) external __sigvec_nobind
                 (undefined) external __simple_asl_log (from libsystem_platform)
                 (undefined) external __simple_asl_log_prog (from libsystem_platform)
                 (undefined) external __simple_asl_msg_new (from libsystem_platform)
                 (undefined) external __simple_dprintf (from libsystem_platform)
                 (undefined) external __simple_getenv (from libsystem_platform)
                 (undefined) external __simple_salloc (from libsystem_platform)
                 (undefined) external __simple_sappend (from libsystem_platform)
                 (undefined) external __simple_sfree (from libsystem_platform)
                 (undefined) external __simple_sprintf (from libsystem_platform)
                 (undefined) external __simple_string (from libsystem_platform)
                 (undefined) external __simple_vsprintf (from libsystem_platform)
0000000180b47374 (__TEXT,__text) non-external (was a private external) __sm_compress_mode
0000000180b5c7e8 (__TEXT,__text) external __sread
0000000180b5c91c (__TEXT,__text) external __sseek
0000000180b6bfa8 (__TEXT,__text) non-external (was a private external) __st_fmt
0000000180b31928 (__TEXT,__text) non-external (was a private external) __st_get_timezone
0000000180b69fe0 (__TEXT,__text) non-external (was a private external) __st_localsub
0000000180b31934 (__TEXT,__text) non-external (was a private external) __st_set_timezone
0000000180b6aaa4 (__TEXT,__text) non-external (was a private external) __st_time1
0000000180b68e38 (__TEXT,__text) non-external (was a private external) __st_tzset_basic
0000000180b80ae4 (__TEXT,__text) non-external __strfmon
0000000180b6d0b8 (__TEXT,__text) non-external __strptime0
0000000180b920f8 (__TEXT,__const) non-external __strptime0.start_of_month
0000000180b31194 (__TEXT,__text) external __subsystem_init
0000000180b5c858 (__TEXT,__text) external __swrite
0000000180b2e024 (__TEXT,__text) non-external (was a private external) __thread_stack_async_pcs
0000000180b2dc1c (__TEXT,__text) non-external (was a private external) __thread_stack_pcs
0000000180b6e858 (__TEXT,__text) external __time32_to_time
0000000180b6e864 (__TEXT,__text) external __time64_to_time
0000000180b6e874 (__TEXT,__text) external __time_to_int
0000000180b6e86c (__TEXT,__text) external __time_to_long
0000000180b6e860 (__TEXT,__text) external __time_to_time32
0000000180b6e868 (__TEXT,__text) external __time_to_time64
0000000180b78e08 (__TEXT,__text) external __unsetenvp
0000000180b5d424 (__TEXT,__text) non-external (was a private external) __vasprintf
0000000180b5d60c (__TEXT,__text) non-external (was a private external) __vdprintf
0000000180b67a24 (__TEXT,__text) non-external (was a private external) __vsnprintf
0000000180b6ce10 (__TEXT,__text) non-external __yconv
0000000180b72234 (__TEXT,__text) external _a64l
0000000180b8fba8 (__TEXT,__text) external _abort
0000000180b8fcd8 (__TEXT,__text) external _abort_report_np
0000000180b7231c (__TEXT,__text) external _abs
                 (undefined) external _access (from libsystem_kernel)
0000000180b28b08 (__TEXT,__text) non-external _addToMP
0000000180b4727c (__TEXT,__text) non-external _addcmd
0000000180b2c168 (__TEXT,__text) non-external _advance_directory
0000000180b8e980 (__TEXT,__text) non-external _advance_directory.cold.1
0000000180b411dc (__TEXT,__text) external _alarm
0000000180b386fc (__TEXT,__text) non-external _alloc_segs
0000000180b46b08 (__TEXT,__text) external _alphasort
0000000180b921ee (__TEXT,__const) non-external _ambig
0000000180b412d4 (__TEXT,__text) non-external _arc4_init
0000000180b8ef08 (__TEXT,__text) non-external _arc4_init.cold.1
0000000180b41240 (__TEXT,__text) external _arc4random
0000000180b4123c (__TEXT,__text) external _arc4random_addrandom
0000000180b41284 (__TEXT,__text) external _arc4random_buf
0000000180b4131c (__TEXT,__text) external _arc4random_stir
0000000180b41320 (__TEXT,__text) external _arc4random_uniform
0000000180b7fa94 (__TEXT,__text) non-external _arrayget
0000000180b68c30 (__TEXT,__text) external _asctime
0000000180b68ae4 (__TEXT,__text) external _asctime_r
0000000180b92057 (__TEXT,__const) non-external _asctime_r.mon_name
0000000180b92042 (__TEXT,__const) non-external _asctime_r.wday_name
0000000180b54e08 (__TEXT,__text) external _asprintf
0000000180b54e58 (__TEXT,__text) external _asprintf_l
0000000180b31940 (__TEXT,__text) external _asxprintf
0000000180b32350 (__TEXT,__text) external _asxprintf_exec
0000000180b809d0 (__TEXT,__text) external _at_quick_exit
0000000180b72374 (__TEXT,__text) external _atexit
0000000180b724c8 (__TEXT,__text) external _atexit_b
0000000182cbfb98 (__DATA,__data) non-external _atexit_mutex
0000000180b723a8 (__TEXT,__text) non-external _atexit_register
0000000180b8fd2c (__TEXT,__text) non-external _atexit_register.cold.1
0000000180b72860 (__TEXT,__text) external _atof
0000000180b72888 (__TEXT,__text) external _atof_l
0000000180b72894 (__TEXT,__text) external _atoi
0000000180b728d4 (__TEXT,__text) external _atoi_l
0000000180b728f8 (__TEXT,__text) external _atol
0000000180b72924 (__TEXT,__text) external _atol_l
0000000180b72934 (__TEXT,__text) external _atoll
0000000180b72960 (__TEXT,__text) external _atoll_l
0000000180b294d0 (__TEXT,__text) external _backtrace
0000000180b29538 (__TEXT,__text) external _backtrace_async
0000000180b295b4 (__TEXT,__text) external _backtrace_from_fp
0000000182ce5918 (__AUTH,__data) non-external _backtrace_get_pcs_func
0000000180b2961c (__TEXT,__text) external _backtrace_image_offsets
0000000180b294ac (__TEXT,__text) external _backtrace_set_pcs_func
0000000180b41444 (__TEXT,__text) external _basename
0000000182cc0c00 (__DATA,__bss) non-external _basename.bname
0000000180b4136c (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
0000000180b2f404 (__TEXT,__text) external _bcopy
0000000180b28e30 (__TEXT,__text) non-external _bitCountMP
0000000180b8e954 (__TEXT,__text) non-external _bitCountMP.cold.1
0000000180b91edf (__TEXT,__const) non-external _blanks
0000000180b91fa0 (__TEXT,__const) non-external _blanks
0000000182cbfd20 (__DATA,__data) non-external _blanks
0000000180b2d478 (__TEXT,__text) non-external _both_ftw
0000000182cc0a98 (__DATA,__bss) non-external _brapreg
0000000180b26a50 (__TEXT,__text) external _brk
0000000180b26a74 (__TEXT,__text) external _bsd_signal
0000000180b72970 (__TEXT,__text) external _bsearch
0000000180b729f8 (__TEXT,__text) external _bsearch_b
0000000180b37718 (__TEXT,__text) non-external _bt_broot
0000000180b37464 (__TEXT,__text) non-external _bt_page
0000000180b37880 (__TEXT,__text) non-external _bt_preserve
0000000180b378d8 (__TEXT,__text) non-external _bt_psplit
0000000180b37380 (__TEXT,__text) non-external _bt_root
0000000180b37618 (__TEXT,__text) non-external _bt_rroot
0000000180b4ae88 (__TEXT,__text) external _btowc
0000000180b4adcc (__TEXT,__text) external _btowc_l
0000000182cc2778 (__DATA,__bss) non-external _buf_asctime
0000000180b5a98c (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
0000000180b90d88 (__TEXT,__const) non-external (was a private external) _cVersionNumber
0000000180b90d60 (__TEXT,__const) non-external (was a private external) _cVersionString
0000000180b54c68 (__TEXT,__text) external _catclose
0000000180c9d508 (__DATA_CONST,__const) non-external _categories
0000000180b54998 (__TEXT,__text) external _catgets
0000000180b542bc (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
0000000180b4871c (__TEXT,__text) external _cfgetispeed
0000000180b48714 (__TEXT,__text) external _cfgetospeed
0000000180b48748 (__TEXT,__text) external _cfmakeraw
0000000180b48730 (__TEXT,__text) external _cfsetispeed
0000000180b48724 (__TEXT,__text) external _cfsetospeed
0000000180b4873c (__TEXT,__text) external _cfsetspeed
0000000180b43b04 (__TEXT,__text) external _cgetcap
0000000180b44314 (__TEXT,__text) external _cgetclose
0000000180b43b90 (__TEXT,__text) external _cgetent
0000000180b442a4 (__TEXT,__text) external _cgetfirst
0000000180b4422c (__TEXT,__text) external _cgetmatch
0000000180b44360 (__TEXT,__text) external _cgetnext
0000000180b44ac8 (__TEXT,__text) external _cgetnum
0000000180b43a6c (__TEXT,__text) external _cgetset
0000000180b44724 (__TEXT,__text) external _cgetstr
0000000180b449c8 (__TEXT,__text) external _cgetustr
0000000180b4bd54 (__TEXT,__text) non-external _chainsearch
0000000180b91cb8 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
0000000180b2c40c (__TEXT,__text) non-external _check_env_var
0000000180b54e84 (__TEXT,__text) external _clearerr
0000000180b54ec8 (__TEXT,__text) external _clearerr_unlocked
0000000180b414b4 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
0000000180b2682c (__TEXT,__text) external _clock_getres
0000000180b2667c (__TEXT,__text) external _clock_gettime
0000000180b26458 (__TEXT,__text) external _clock_gettime_nsec_np
0000000182ccb8b4 (__DATA,__common) external _clock_port
0000000182ccb8b0 (__DATA,__common) external _clock_sem
0000000180b268d0 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
0000000180b2becc (__TEXT,__text) non-external _close_directory
0000000180b41524 (__TEXT,__text) external _closedir
0000000180c9dad0 (__DATA_CONST,__const) non-external _cnames
0000000180b39b64 (__TEXT,__text) non-external _collect_data
0000000180b39d2c (__TEXT,__text) non-external _collect_key
0000000180b9216e (__TEXT,__const) non-external _command_substitution_str
0000000180b2c208 (__TEXT,__text) external _compat_mode
0000000180b296d8 (__TEXT,__text) external _confstr
0000000180b31e74 (__TEXT,__text) external _copy_printf_domain
0000000180b8c8fc (__TEXT,__text) external _creat
0000000180b33f58 (__TEXT,__text) external _creat$NOCANCEL
0000000180b41598 (__TEXT,__text) external _ctermid
0000000182cbf4d8 (__DATA,__data) non-external _ctermid.def
0000000180b415c4 (__TEXT,__text) external _ctermid_r
0000000180b6aa20 (__TEXT,__text) external _ctime
0000000180b6aa54 (__TEXT,__text) external _ctime_r
0000000182cbf644 (__DATA,__data) non-external _current_categories
0000000180b507e4 (__TEXT,__text) non-external _currentlocale
0000000182cc0ec0 (__DATA,__bss) non-external _currentlocale.current_locale_string
0000000182cc0af8 (__DATA,__bss) non-external _curshell
0000000182cbfc00 (__DATA,__data) non-external _dash_prefix
0000000182ccb940 (__DATA,__common) external _daylight
0000000180b3bdc4 (__TEXT,__text) external _dbm_clearerr
0000000180b3bbf4 (__TEXT,__text) external _dbm_close
0000000180b3bd38 (__TEXT,__text) external _dbm_delete
0000000180b3bdd4 (__TEXT,__text) external _dbm_dirfno
0000000180b3bdb8 (__TEXT,__text) external _dbm_error
0000000180b3bc00 (__TEXT,__text) external _dbm_fetch
0000000180b3bc4c (__TEXT,__text) external _dbm_firstkey
0000000180b3bcbc (__TEXT,__text) external _dbm_nextkey
0000000180b3bb08 (__TEXT,__text) external _dbm_open
0000000180b3bd74 (__TEXT,__text) external _dbm_store
0000000180b38048 (__TEXT,__text) external _dbopen
0000000182cc0c70 (__DATA,__bss) non-external _dbp
0000000182cc0ab8 (__DATA,__bss) non-external _decpreg
0000000180b922e0 (__TEXT,__const) non-external _degrees
0000000180b4bad0 (__TEXT,__text) non-external _destruct_collate
0000000180b7c2c4 (__TEXT,__text) non-external _destruct_ctype
0000000180b4e30c (__TEXT,__text) non-external (was a private external) _destruct_ldpart
0000000180b310f8 (__TEXT,__text) non-external _destruct_locale
0000000180b29bb4 (__TEXT,__text) external _devname
0000000182cc0a18 (__DATA,__bss) non-external _devname.buf
0000000180b29a64 (__TEXT,__text) external _devname_r
0000000180b68c3c (__TEXT,__text) external _difftime
0000000180b2e81c (__TEXT,__text) external _digittoint
0000000180b2eb1c (__TEXT,__text) external _digittoint_l
0000000180b33e64 (__TEXT,__text) external _dirfd
0000000180b416ec (__TEXT,__text) external _dirname
0000000182cc0c08 (__DATA,__bss) non-external _dirname.dname
0000000180b415e4 (__TEXT,__text) external _dirname_r
0000000180b72a90 (__TEXT,__text) external _div
0000000182cbe7e8 (__DATA,__data) non-external _dktypenames
0000000180b4a060 (__TEXT,__text) non-external _do_hvis
0000000180b4a198 (__TEXT,__text) non-external _do_mvis
0000000180b4a340 (__TEXT,__text) non-external _do_svis
0000000180b54ed8 (__TEXT,__text) external _dprintf
0000000180b54f28 (__TEXT,__text) external _dprintf_l
0000000180b4175c (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
0000000180b30598 (__TEXT,__text) external _duplocale
0000000180b3197c (__TEXT,__text) external _dxprintf
0000000180b32390 (__TEXT,__text) external _dxprintf_exec
0000000180b7ad64 (__TEXT,__text) external _ecvt
0000000182cc0cd8 (__DATA,__bss) non-external _empty
0000000182cc0ce8 (__DATA,__bss) non-external _empty
0000000182cbfc48 (__DATA,__data) non-external _end_ptr
0000000180b2cd38 (__TEXT,__text) external _endttyent
0000000180b2d0a4 (__TEXT,__text) external _endusershell
0000000180b72bac (__TEXT,__text) external _environ_lock_np
0000000182cc0b90 (__DATA,__bss) non-external _environ_pointer
0000000180b72bbc (__TEXT,__text) external _environ_unlock_np
0000000180b67e60 (__TEXT,__text) non-external _eofread
0000000180b68290 (__TEXT,__text) non-external _eofread
0000000180b417e0 (__TEXT,__text) external _erand48
0000000180b8f040 (__TEXT,__text) external _err
0000000180b419c0 (__TEXT,__text) external _err_set_exit
0000000180b41a18 (__TEXT,__text) external _err_set_exit_b
0000000180b419a0 (__TEXT,__text) external _err_set_file
0000000180b8f1ac (__TEXT,__text) external _errc
0000000180b8f1cc (__TEXT,__text) external _errx
0000000180b91770 (__TEXT,__const) non-external _escape
0000000180b41a74 (__TEXT,__text) external _execl
0000000180b41b54 (__TEXT,__text) external _execle
0000000180b41c3c (__TEXT,__text) external _execlp
0000000180b41d7c (__TEXT,__text) external _execv
0000000180b41db8 (__TEXT,__text) external _execvP
0000000180b41e04 (__TEXT,__text) non-external _execvPe
0000000180b91870 (__TEXT,__const) non-external _execvPe_err_preamble
0000000180b91879 (__TEXT,__const) non-external _execvPe_err_trailer
                 (undefined) external _execve (from libsystem_kernel)
0000000180b41d18 (__TEXT,__text) external _execvp
0000000180b72ac0 (__TEXT,__text) external _exit
0000000180b312c4 (__TEXT,__text) non-external _extract_next_subsystem_root_path
0000000180b56394 (__TEXT,__text) external _f_prealloc
0000000180b27494 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
0000000180b54f54 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
0000000180b7af50 (__TEXT,__text) external _fcvt
0000000180b550cc (__TEXT,__text) external _fdopen
0000000180b8d4b8 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180b459fc (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
0000000180b55254 (__TEXT,__text) external _feof
0000000180b5528c (__TEXT,__text) external _feof_unlocked
0000000180b55298 (__TEXT,__text) external _ferror
0000000180b552d0 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
0000000180b3ba68 (__TEXT,__text) non-external _fetch_bitmap
0000000180b2da34 (__TEXT,__text) external _fflagstostr
0000000180b552dc (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
0000000180b5557c (__TEXT,__text) external _fgetc
0000000180b55664 (__TEXT,__text) external _fgetln
0000000180b55810 (__TEXT,__text) external _fgetpos
0000000180b55840 (__TEXT,__text) external _fgets
0000000180b55a1c (__TEXT,__text) external _fgetwc
0000000180b55ba8 (__TEXT,__text) external _fgetwc_l
0000000180b55d04 (__TEXT,__text) external _fgetwln
0000000180b55c2c (__TEXT,__text) external _fgetwln_l
0000000180b55ef8 (__TEXT,__text) external _fgetws
0000000180b55d28 (__TEXT,__text) external _fgetws_l
0000000182cbf9e8 (__DATA,__data) non-external _filelist_lock
0000000180b55f1c (__TEXT,__text) external _fileno
0000000180b55f50 (__TEXT,__text) external _fileno_unlocked
0000000180b59148 (__TEXT,__text) non-external _find_temp_path
0000000180b6e7a4 (__TEXT,__text) non-external _first_wday_of
0000000180b54d44 (__TEXT,__text) external _flockfile
