00000001d9428c20 (__DATA,__data) external _NDR_record
00000001d4411b88 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001d44117c0 (__DATA_CONST,__const) non-external _err_codes_iokit_common
00000001803c08e8 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001d4411a50 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
00000001803c0928 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001d4411970 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
00000001803c08f8 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001d4410ac8 (__DATA_CONST,__const) non-external _err_codes_kern
00000001d4411650 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001d44116c0 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001d4411660 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001d4411218 (__DATA_CONST,__const) non-external _err_codes_loader
00000001d4411600 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001d4411578 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001d44114c0 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001d44111e8 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001d4411480 (__DATA_CONST,__const) non-external _err_codes_mig
00000001d4410f40 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001d4410ec0 (__DATA_CONST,__const) non-external _err_codes_netname
00000001d4410f90 (__DATA_CONST,__const) non-external _err_codes_ns
00000001d4411438 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001d44113d8 (__DATA_CONST,__const) non-external _err_codes_send
00000001d4411158 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001d4410f60 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001d4410f58 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001d4410c90 (__DATA_CONST,__const) non-external _err_codes_unix
00000001d4411098 (__DATA_CONST,__const) non-external _err_codes_us
00000001d4411280 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001d4411370 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001d44108e8 (__DATA_CONST,__const) non-external _err_iokit_sub
00000001803c08d8 (__TEXT,__const) non-external _err_iokit_sub_map
00000001d4410780 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001d4410870 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001d44107f8 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001d4410460 (__DATA_CONST,__const) non-external _err_os_sub
00000001d4410500 (__DATA_CONST,__const) non-external _err_server_sub
00000001803c08b0 (__TEXT,__const) non-external _err_us_sub
00000001db962600 (__DATA_DIRTY,__common) external _errno
00000001803bcffc (__TEXT,__text) external _etap_trace_thread
00000001803abd24 (__TEXT,__text) external _exc_server
00000001803abcf4 (__TEXT,__text) external _exc_server_routine
00000001803ab200 (__TEXT,__text) external _exception_raise
00000001803ab37c (__TEXT,__text) external _exception_raise_state
00000001803ab5f0 (__TEXT,__text) external _exception_raise_state_identity
000000018039a684 (__TEXT,__text) external _exchangedata
00000001803969f4 (__TEXT,__text) external _execve
00000001d9428cc0 (__DATA,__bss) non-external _execve_with_filter
000000018039c2e4 (__TEXT,__text) external _faccessat
000000018039c310 (__TEXT,__text) external _fchdir
00000001803936a8 (__TEXT,__text) external _fchflags
0000000180392740 (__TEXT,__text) external _fchmod
000000018039c33c (__TEXT,__text) external _fchmodat
0000000180393aec (__TEXT,__text) external _fchown
000000018039c368 (__TEXT,__text) external _fchownat
000000018039c394 (__TEXT,__text) external _fclonefileat
000000018038eb28 (__TEXT,__text) external _fcntl
000000018039230c (__TEXT,__text) external _fcntl$NOCANCEL
000000018039c3c0 (__TEXT,__text) external _fdatasync
0000000180395c08 (__TEXT,__text) external _ffsctl
00000001803919cc (__TEXT,__text) external _fgetattrlist
0000000180392688 (__TEXT,__text) external _fgetxattr
000000018039c3ec (__TEXT,__text) external _fhopen
0000000180394370 (__TEXT,__text) external _fileport_makefd
00000001803945f0 (__TEXT,__text) external _fileport_makeport
000000018039a598 (__TEXT,__text) external _flistxattr
0000000180392010 (__TEXT,__text) external _flock
000000018039c418 (__TEXT,__text) external _fmount
000000018039c444 (__TEXT,__text) external _fpathconf
000000018039fe68 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
000000018039c470 (__TEXT,__text) external _freadlink
000000018039c49c (__TEXT,__text) external _fremovexattr
00000001803a7584 (__TEXT,__text) external _fs_snapshot_create
00000001803a75a0 (__TEXT,__text) external _fs_snapshot_delete
00000001803968e4 (__TEXT,__text) external _fs_snapshot_list
00000001803a7610 (__TEXT,__text) external _fs_snapshot_mount
00000001803a75bc (__TEXT,__text) external _fs_snapshot_rename
00000001803a75d8 (__TEXT,__text) external _fs_snapshot_revert
00000001803a75f4 (__TEXT,__text) external _fs_snapshot_root
00000001803919a0 (__TEXT,__text) external _fsctl
0000000180393ac0 (__TEXT,__text) external _fsetattrlist
00000001803934e4 (__TEXT,__text) external _fsetxattr
0000000180391a8c (__TEXT,__text) external _fsgetpath
000000018039c4c8 (__TEXT,__text) external _fsgetpath_ext
000000018039c520 (__TEXT,__text) external _fstat
000000018039c520 (__TEXT,__text) external _fstat64
000000018039c578 (__TEXT,__text) external _fstatat
000000018039c578 (__TEXT,__text) external _fstatat64
0000000180399c50 (__TEXT,__text) external _fstatfs
0000000180399c50 (__TEXT,__text) external _fstatfs64
0000000180391b3c (__TEXT,__text) external _fsync
000000018039b19c (__TEXT,__text) external _fsync$NOCANCEL
0000000180391794 (__TEXT,__text) external _ftruncate
00000001803a2000 (__TEXT,__text) external _futimens
00000001803936d4 (__TEXT,__text) external _futimes
00000001d9428c28 (__DATA,__crash_info) non-external _gCRAnnotations
000000018038ea48 (__TEXT,__text) external _getattrlist
000000018039c5d0 (__TEXT,__text) external _getattrlistat
00000001803917ec (__TEXT,__text) external _getattrlistbulk
00000001803aa84c (__TEXT,__text) external _getaudit
0000000180390408 (__TEXT,__text) external _getaudit_addr
000000018039c5fc (__TEXT,__text) external _getauid
000000018039c628 (__TEXT,__text) external _getdirentries
000000018039c654 (__TEXT,__text) external _getdirentriesattr
0000000180396d90 (__TEXT,__text) external _getdtablesize
000000018038fbbc (__TEXT,__text) external _getegid
000000018038e544 (__TEXT,__text) external _getentropy
000000018038f344 (__TEXT,__text) external _geteuid
000000018039c680 (__TEXT,__text) external _getfh
000000018039c6d8 (__TEXT,__text) external _getfsstat
000000018039c6d8 (__TEXT,__text) external _getfsstat64
0000000180392288 (__TEXT,__text) external _getgid
0000000180393b18 (__TEXT,__text) external _getgroups
00000001803938ac (__TEXT,__text) external _gethostuuid
0000000180392868 (__TEXT,__text) external _getiopolicy_np
000000018039c704 (__TEXT,__text) external _getitimer
0000000180392714 (__TEXT,__text) external _getpeername
0000000180398570 (__TEXT,__text) external _getpgid
00000001803969c8 (__TEXT,__text) external _getpgrp
000000018038e580 (__TEXT,__text) external _getpid
0000000180394674 (__TEXT,__text) external _getppid
0000000180396808 (__TEXT,__text) external _getpriority
00000001803903d4 (__TEXT,__text) external _getrlimit
00000001803959c8 (__TEXT,__text) external _getrusage
000000018039b1c8 (__TEXT,__text) external _getsgroups_np
000000018039c730 (__TEXT,__text) external _getsid
0000000180395c34 (__TEXT,__text) external _getsockname
0000000180392630 (__TEXT,__text) external _getsockopt
000000018038fb64 (__TEXT,__text) external _getuid
000000018039b1f4 (__TEXT,__text) external _getwgroups_np
0000000180391204 (__TEXT,__text) external _getxattr
000000018039c75c (__TEXT,__text) external _grab_pgo_data
000000018039c788 (__TEXT,__text) external _graftdmg
0000000180391b10 (__TEXT,__text) external _guarded_close_np
0000000180398cbc (__TEXT,__text) external _guarded_kqueue_np
000000018039fee0 (__TEXT,__text) external _guarded_open_dprotected_np
000000018039189c (__TEXT,__text) external _guarded_open_np
00000001803918f8 (__TEXT,__text) external _guarded_pwrite_np
0000000180395d98 (__TEXT,__text) external _guarded_write_np
000000018039c7b4 (__TEXT,__text) external _guarded_writev_np
00000001803c5ebd (__TEXT,__cstring) non-external _hex
000000018039ff30 (__TEXT,__text) external _host_check_multiuser_mode
000000018038f108 (__TEXT,__text) external _host_create_mach_voucher
000000018038e0cc (__TEXT,__text) external _host_create_mach_voucher_trap
00000001803ac2f8 (__TEXT,__text) external _host_default_memory_manager
00000001803add50 (__TEXT,__text) external _host_get_UNDServer
000000018039ff10 (__TEXT,__text) external _host_get_atm_diagnostic_flag
00000001803abda8 (__TEXT,__text) external _host_get_boot_info
00000001803ac9ec (__TEXT,__text) external _host_get_clock_control
0000000180393f18 (__TEXT,__text) external _host_get_clock_service
00000001803ad1e0 (__TEXT,__text) external _host_get_exception_ports
00000001803aea08 (__TEXT,__text) external _host_get_io_main
0000000180391b68 (__TEXT,__text) external _host_get_io_master
000000018039ff28 (__TEXT,__text) external _host_get_multiuser_config_flags
000000018038ed48 (__TEXT,__text) external _host_get_special_port
0000000180392f78 (__TEXT,__text) external _host_info
00000001803ae38c (__TEXT,__text) external _host_kernel_version
00000001803af2f0 (__TEXT,__text) external _host_lockgroup_info
00000001803a009c (__TEXT,__text) external _host_page_size
00000001803ac0d0 (__TEXT,__text) external _host_priv_statistics
00000001803ae868 (__TEXT,__text) external _host_processor_info
00000001803adab4 (__TEXT,__text) external _host_processor_set_priv
00000001803ad930 (__TEXT,__text) external _host_processor_sets
00000001803ac868 (__TEXT,__text) external _host_processors
00000001803abfb0 (__TEXT,__text) external _host_reboot
00000001803af970 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
00000001803afb04 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
00000001803900d0 (__TEXT,__text) external _host_request_notification
00000001803ae0a0 (__TEXT,__text) external _host_security_create_task_token
00000001803ae244 (__TEXT,__text) external _host_security_set_task_token
00000001803a0438 (__TEXT,__text) external _host_self
000000018038df7c (__TEXT,__text) external _host_self_trap
00000001803adc2c (__TEXT,__text) external _host_set_UNDServer
00000001803afc8c (__TEXT,__text) external _host_set_atm_diagnostic_flag
00000001803ad0a8 (__TEXT,__text) external _host_set_exception_ports
00000001803affc4 (__TEXT,__text) external _host_set_multiuser_config_flags
00000001803acf74 (__TEXT,__text) external _host_set_special_port
0000000180398670 (__TEXT,__text) external _host_statistics
0000000180397ef0 (__TEXT,__text) external _host_statistics64
00000001803ad4c0 (__TEXT,__text) external _host_swap_exception_ports
00000001803aecec (__TEXT,__text) external _host_virtual_physical_table_info
00000001d9428c00 (__DATA,__data) external _important_boost_assertion_token
00000001dd389650 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
00000001d9428bf0 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
00000001d9428be8 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
00000001d9428be0 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
0000000180392524 (__TEXT,__text) external _ioctl
000000018038dd44 (__TEXT,__text) external _issetugid
00000001d9428ca8 (__DATA,__bss) non-external _kAccountingThreshold
000000018039c7e0 (__TEXT,__text) external _kas_info
000000018038dbe0 (__TEXT,__text) external _kdebug_is_enabled
00000001803a77a4 (__TEXT,__text) external _kdebug_signpost
0000000180398660 (__TEXT,__text) external _kdebug_signpost_end
00000001803985ac (__TEXT,__text) non-external _kdebug_signpost_internal
000000018039859c (__TEXT,__text) external _kdebug_signpost_start
00000001803a7754 (__TEXT,__text) external _kdebug_timestamp
00000001803a776c (__TEXT,__text) external _kdebug_timestamp_from_absolute
00000001803a7788 (__TEXT,__text) external _kdebug_timestamp_from_continuous
000000018038dcc4 (__TEXT,__text) external _kdebug_trace
0000000180390b8c (__TEXT,__text) external _kdebug_trace_string
000000018038dc40 (__TEXT,__text) external _kdebug_typefilter
00000001db962c80 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
00000001803a7740 (__TEXT,__text) external _kdebug_using_continuous_time
000000018039418c (__TEXT,__text) external _kevent
0000000180399f24 (__TEXT,__text) external _kevent64
000000018038fd80 (__TEXT,__text) external _kevent_id
000000018038fd54 (__TEXT,__text) external _kevent_qos
00000001803adeb0 (__TEXT,__text) external _kext_request
0000000180396270 (__TEXT,__text) external _kill
00000001803acdcc (__TEXT,__text) external _kmod_control
00000001803acb5c (__TEXT,__text) external _kmod_create
00000001803accac (__TEXT,__text) external _kmod_destroy
00000001803aeb68 (__TEXT,__text) external _kmod_get_info
00000001803aa938 (__TEXT,__text) external _kpersona_alloc
00000001803aa9b8 (__TEXT,__text) external _kpersona_dealloc
00000001803aaa84 (__TEXT,__text) external _kpersona_find
00000001803aab68 (__TEXT,__text) external _kpersona_find_by_type
0000000180392248 (__TEXT,__text) external _kpersona_get
00000001803aa9fc (__TEXT,__text) external _kpersona_getpath
0000000180391f48 (__TEXT,__text) external _kpersona_info
00000001803aa978 (__TEXT,__text) external _kpersona_palloc
00000001803aaa40 (__TEXT,__text) external _kpersona_pidinfo
0000000180394160 (__TEXT,__text) external _kqueue
0000000180393b44 (__TEXT,__text) external _lchown
000000018039c80c (__TEXT,__text) external _ledger
000000018039292c (__TEXT,__text) external _link
000000018039c838 (__TEXT,__text) external _linkat
000000018039c864 (__TEXT,__text) external _lio_listio
0000000180396918 (__TEXT,__text) external _listen
0000000180391818 (__TEXT,__text) external _listxattr
00000001803b7d48 (__TEXT,__text) external _lock_set_create
00000001803b7eb4 (__TEXT,__text) external _lock_set_destroy
00000001803a25b4 (__TEXT,__text) external _log_data_as_kernel
000000018038f930 (__TEXT,__text) external _lseek
0000000180399b30 (__TEXT,__text) external _lstat
0000000180399b30 (__TEXT,__text) external _lstat64
000000018038e4a8 (__TEXT,__text) external _mach_absolute_time
000000018038e52c (__TEXT,__text) external _mach_absolute_time_kernel
000000018038f790 (__TEXT,__text) external _mach_approximate_time
00000001803a1cd4 (__TEXT,__text) external _mach_boottime_usec
0000000180395664 (__TEXT,__text) external _mach_continuous_approximate_time
000000018038e430 (__TEXT,__text) external _mach_continuous_time
000000018038e538 (__TEXT,__text) external _mach_continuous_time_kernel
00000001803a0014 (__TEXT,__text) external _mach_error
00000001d9428c78 (__DATA,__common) external _mach_error_full_diag
00000001803947d8 (__TEXT,__text) external _mach_error_string
0000000180394800 (__TEXT,__text) non-external _mach_error_string_int
000000018039ff38 (__TEXT,__text) external _mach_error_type
00000001803bf3dc (__TEXT,__text) external _mach_eventlink_associate
00000001803bf11c (__TEXT,__text) external _mach_eventlink_create
00000001803bf2bc (__TEXT,__text) external _mach_eventlink_destroy
00000001803bf524 (__TEXT,__text) external _mach_eventlink_disassociate
00000001803a1f64 (__TEXT,__text) external _mach_eventlink_signal
00000001803a1fc0 (__TEXT,__text) external _mach_eventlink_signal_wait_until
00000001803a1f80 (__TEXT,__text) external _mach_eventlink_wait_until
000000018038e018 (__TEXT,__text) external _mach_generate_activity_id
000000018038ffe8 (__TEXT,__text) external _mach_get_times
000000018038ed44 (__TEXT,__text) external _mach_host_self
000000018039e6a4 (__TEXT,__text) external _mach_host_special_port_description
00000001d44102d0 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
000000018039e704 (__TEXT,__text) external _mach_host_special_port_for_id
00000001d9428a68 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
0000000180393dbc (__TEXT,__text) external _mach_init
00000001db962c68 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
0000000180393df4 (__TEXT,__text) non-external _mach_init_doit
00000001803b44e8 (__TEXT,__text) external _mach_make_memory_entry
000000018038f5c4 (__TEXT,__text) external _mach_make_memory_entry_64
00000001803bee64 (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001803befe4 (__TEXT,__text) external _mach_memory_entry_ownership
00000001803bed08 (__TEXT,__text) external _mach_memory_entry_purgable_control
00000001803afdac (__TEXT,__text) external _mach_memory_info
00000001803ae6d8 (__TEXT,__text) external _mach_memory_object_memory_entry
00000001803af160 (__TEXT,__text) external _mach_memory_object_memory_entry_64
000000018038e3b4 (__TEXT,__text) external _mach_msg
00000001803a00cc (__TEXT,__text) external _mach_msg2_internal
000000018038e048 (__TEXT,__text) external _mach_msg2_trap
000000018038eeb4 (__TEXT,__text) external _mach_msg_destroy
000000018038effc (__TEXT,__text) non-external _mach_msg_destroy_port
0000000180396a60 (__TEXT,__text) external _mach_msg_overwrite
000000018038df94 (__TEXT,__text) external _mach_msg_overwrite_trap
00000001803a0218 (__TEXT,__text) external _mach_msg_priority_encode
00000001803a0208 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001803a024c (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001803a025c (__TEXT,__text) external _mach_msg_priority_qos
00000001803a026c (__TEXT,__text) external _mach_msg_priority_relpri
000000018039a5c4 (__TEXT,__text) external _mach_msg_receive
00000001803928f0 (__TEXT,__text) external _mach_msg_send
0000000180395ee4 (__TEXT,__text) external _mach_msg_server
0000000180396d28 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
00000001803a0204 (__TEXT,__text) external _mach_msg_server_importance
00000001803992a8 (__TEXT,__text) external _mach_msg_server_once
000000018038df88 (__TEXT,__text) external _mach_msg_trap
00000001803b51d8 (__TEXT,__text) external _mach_notify_dead_name
00000001803b5114 (__TEXT,__text) external _mach_notify_no_senders
00000001803b5038 (__TEXT,__text) external _mach_notify_port_deleted
00000001803b50a0 (__TEXT,__text) external _mach_notify_port_destroyed
00000001803b517c (__TEXT,__text) external _mach_notify_send_once
0000000180390204 (__TEXT,__text) external _mach_port_allocate
00000001803aa3a8 (__TEXT,__text) external _mach_port_allocate_full
00000001803aa394 (__TEXT,__text) external _mach_port_allocate_name
00000001803aa3a4 (__TEXT,__text) external _mach_port_allocate_qos
00000001803aa61c (__TEXT,__text) external _mach_port_assert_attributes
000000018038f198 (__TEXT,__text) external _mach_port_construct
000000018038f370 (__TEXT,__text) external _mach_port_deallocate
00000001803938a8 (__TEXT,__text) external _mach_port_destroy
000000018038f9c4 (__TEXT,__text) external _mach_port_destruct
00000001803aa54c (__TEXT,__text) external _mach_port_dnrequest_info
00000001803916a0 (__TEXT,__text) external _mach_port_extract_member
00000001803982b8 (__TEXT,__text) external _mach_port_extract_right
0000000180390990 (__TEXT,__text) external _mach_port_get_attributes
0000000180393510 (__TEXT,__text) external _mach_port_get_context
00000001803914e8 (__TEXT,__text) external _mach_port_get_refs
00000001803aa618 (__TEXT,__text) external _mach_port_get_service_port_info
000000018039a198 (__TEXT,__text) external _mach_port_get_set_status
00000001803aa3b0 (__TEXT,__text) external _mach_port_get_srights
0000000180390ef8 (__TEXT,__text) external _mach_port_guard
00000001803aa60c (__TEXT,__text) external _mach_port_guard_with_flags
0000000180390274 (__TEXT,__text) external _mach_port_insert_member
000000018039049c (__TEXT,__text) external _mach_port_insert_right
00000001803aa614 (__TEXT,__text) external _mach_port_is_connection_for_service
00000001803aa550 (__TEXT,__text) external _mach_port_kernel_object
00000001803aa594 (__TEXT,__text) external _mach_port_kobject
00000001803aa598 (__TEXT,__text) external _mach_port_kobject_description
000000018038e740 (__TEXT,__text) external _mach_port_mod_refs
00000001803931a0 (__TEXT,__text) external _mach_port_move_member
00000001803aa38c (__TEXT,__text) external _mach_port_names
00000001803aa398 (__TEXT,__text) external _mach_port_peek
00000001803aa390 (__TEXT,__text) external _mach_port_rename
000000018038fe30 (__TEXT,__text) external _mach_port_request_notification
0000000180390a1c (__TEXT,__text) external _mach_port_set_attributes
000000018039a074 (__TEXT,__text) external _mach_port_set_context
00000001803aa39c (__TEXT,__text) external _mach_port_set_mscount
00000001803aa3a0 (__TEXT,__text) external _mach_port_set_seqno
00000001803aa3b8 (__TEXT,__text) external _mach_port_space_basic_info
00000001803aa3b4 (__TEXT,__text) external _mach_port_space_info
00000001803aa610 (__TEXT,__text) external _mach_port_swap_guard
0000000180390c60 (__TEXT,__text) external _mach_port_type
00000001803aa59c (__TEXT,__text) external _mach_port_unguard
0000000180399c7c (__TEXT,__text) external _mach_ports_lookup
00000001803959f4 (__TEXT,__text) external _mach_ports_register
000000018038df58 (__TEXT,__text) external _mach_reply_port
00000001803a0758 (__TEXT,__text) external _mach_right_recv_construct
00000001803a0820 (__TEXT,__text) external _mach_right_recv_destruct
00000001803a08b8 (__TEXT,__text) external _mach_right_send_create
00000001803a0a04 (__TEXT,__text) external _mach_right_send_once_consume
00000001803a0994 (__TEXT,__text) external _mach_right_send_once_create
0000000180392958 (__TEXT,__text) external _mach_right_send_release
00000001803a0920 (__TEXT,__text) external _mach_right_send_retain
00000001803aa428 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
00000001803aa4d8 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
00000001803a1ce4 (__TEXT,__text) external _mach_task_is_self
00000001803a0754 (__TEXT,__text) external _mach_task_self
00000001db962c50 (__DATA_DIRTY,__common) external _mach_task_self_
000000018039e6c4 (__TEXT,__text) external _mach_task_special_port_description
00000001d44103e0 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
000000018039e7c8 (__TEXT,__text) external _mach_task_special_port_for_id
00000001d9428b60 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
0000000180393ee8 (__TEXT,__text) external _mach_thread_self
000000018039e6e4 (__TEXT,__text) external _mach_thread_special_port_description
00000001d4410440 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
000000018039e7d8 (__TEXT,__text) external _mach_thread_special_port_for_id
00000001d9428bc0 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
000000018038e3d8 (__TEXT,__text) external _mach_timebase_info
00000001db962c74 (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
000000018038e0fc (__TEXT,__text) external _mach_timebase_info_trap
0000000180390324 (__TEXT,__text) external _mach_vm_allocate
00000001803b3f68 (__TEXT,__text) external _mach_vm_behavior_set
0000000180395dc4 (__TEXT,__text) external _mach_vm_copy
000000018038fac0 (__TEXT,__text) external _mach_vm_deallocate
00000001803b4cd8 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_init
00000001803b4df8 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_synchronize
00000001803b4f18 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
00000001803b38d0 (__TEXT,__text) external _mach_vm_inherit
00000001803b408c (__TEXT,__text) external _mach_vm_machine_attribute
000000018038dd70 (__TEXT,__text) external _mach_vm_map
00000001803b3e44 (__TEXT,__text) external _mach_vm_msync
00000001803b47e0 (__TEXT,__text) external _mach_vm_page_info
00000001803b4380 (__TEXT,__text) external _mach_vm_page_query
00000001803b49d0 (__TEXT,__text) external _mach_vm_page_range_query
0000000180391d84 (__TEXT,__text) external _mach_vm_protect
0000000180391928 (__TEXT,__text) external _mach_vm_purgable_control
00000001803aa750 (__TEXT,__text) external _mach_vm_read
00000001803b3b80 (__TEXT,__text) external _mach_vm_read_list
0000000180399154 (__TEXT,__text) external _mach_vm_read_overwrite
00000001803a0de8 (__TEXT,__text) external _mach_vm_reclaim_is_available
00000001803a0b80 (__TEXT,__text) external _mach_vm_reclaim_mark_free
00000001803a0cc4 (__TEXT,__text) external _mach_vm_reclaim_mark_used
00000001803a0ab4 (__TEXT,__text) external _mach_vm_reclaim_ringbuffer_init
00000001803a0e08 (__TEXT,__text) external _mach_vm_reclaim_synchronize
00000001803a0dd4 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
0000000180392a68 (__TEXT,__text) external _mach_vm_region
0000000180398edc (__TEXT,__text) external _mach_vm_region_recurse
00000001803aa620 (__TEXT,__text) external _mach_vm_remap
00000001803aa6b8 (__TEXT,__text) external _mach_vm_remap_new
00000001803ad7f8 (__TEXT,__text) external _mach_vm_wire
00000001803b3d08 (__TEXT,__text) external _mach_vm_write
0000000180392ccc (__TEXT,__text) external _mach_voucher_attr_command
000000018038f988 (__TEXT,__text) external _mach_voucher_deallocate
00000001803bfae0 (__TEXT,__text) external _mach_voucher_debug_info
00000001803bf890 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
0000000180398a7c (__TEXT,__text) external _mach_voucher_extract_attr_content
0000000180390918 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
000000018038e0d8 (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
000000018038e108 (__TEXT,__text) external _mach_wait_until
00000001803af654 (__TEXT,__text) external _mach_zone_force_gc
00000001803b059c (__TEXT,__text) external _mach_zone_get_btlog_records
00000001803b0408 (__TEXT,__text) external _mach_zone_get_zlog_zones
00000001803af484 (__TEXT,__text) external _mach_zone_info
00000001803b0258 (__TEXT,__text) external _mach_zone_info_for_largest_zone
00000001803b00e4 (__TEXT,__text) external _mach_zone_info_for_zone
000000018038e090 (__TEXT,__text) external _macx_backing_store_recovery
000000018038e084 (__TEXT,__text) external _macx_backing_store_suspend
000000018038e060 (__TEXT,__text) external _macx_swapoff
000000018038e054 (__TEXT,__text) external _macx_swapon
000000018038e078 (__TEXT,__text) external _macx_triggers
0000000180390cd0 (__TEXT,__text) external _madvise
0000000180394ad8 (__TEXT,__text) non-external (was a private external) _malloc
00000001d9428ca0 (__DATA,__bss) non-external _master_host_port
000000018038e30c (__TEXT,__text) non-external _memcpy
000000018039d6c4 (__TEXT,__text) non-external _memmove
0000000180396f60 (__TEXT,__text) external _memorystatus_control
000000018039c8bc (__TEXT,__text) external _memorystatus_get_level
00000001803a0284 (__TEXT,__text) external _mig_allocate
000000018039128c (__TEXT,__text) external _mig_dealloc_reply_port
00000001803aa3bc (__TEXT,__text) external _mig_dealloc_special_reply_port
0000000180393bf4 (__TEXT,__text) external _mig_deallocate
000000018038e31c (__TEXT,__text) external _mig_get_reply_port
000000018038f7ac (__TEXT,__text) external _mig_get_special_reply_port
0000000180393414 (__TEXT,__text) external _mig_put_reply_port
0000000180392a34 (__TEXT,__text) external _mig_reply_setup
0000000180393418 (__TEXT,__text) external _mig_strncpy
000000018038f7e8 (__TEXT,__text) external _mig_strncpy_zerofill
000000018039c8e8 (__TEXT,__text) external _mincore
000000018039c914 (__TEXT,__text) external _minherit
000000018038e12c (__TEXT,__text) external _mk_timer_arm
000000018038e144 (__TEXT,__text) external _mk_timer_arm_leeway
000000018038e138 (__TEXT,__text) external _mk_timer_cancel
000000018038e114 (__TEXT,__text) external _mk_timer_create
000000018038e120 (__TEXT,__text) external _mk_timer_destroy
000000018038fa94 (__TEXT,__text) external _mkdir
0000000180391ae4 (__TEXT,__text) external _mkdirat
000000018039c940 (__TEXT,__text) external _mkfifo
000000018039c96c (__TEXT,__text) external _mkfifoat
000000018039c998 (__TEXT,__text) external _mknod
000000018039c9c4 (__TEXT,__text) external _mknodat
0000000180397e64 (__TEXT,__text) external _mlock
000000018039c9f0 (__TEXT,__text) external _mlockall
000000018038ec5c (__TEXT,__text) external _mmap
000000018039a600 (__TEXT,__text) external _mount
0000000180391e3c (__TEXT,__text) external _mprotect
000000018039ca1c (__TEXT,__text) external _mremap_encrypted
00000001803a0424 (__TEXT,__text) external _msg_receive
00000001803a0414 (__TEXT,__text) external _msg_rpc
00000001803a041c (__TEXT,__text) external _msg_send
000000018039b6c4 (__TEXT,__text) external _msgctl
000000018039ca48 (__TEXT,__text) external _msgget
000000018039ca74 (__TEXT,__text) external _msgrcv
000000018039b6f0 (__TEXT,__text) external _msgrcv$NOCANCEL
000000018039caa0 (__TEXT,__text) external _msgsnd
000000018039b71c (__TEXT,__text) external _msgsnd$NOCANCEL
000000018039add0 (__TEXT,__text) external _msgsys
000000018039458c (__TEXT,__text) external _msync
000000018039b774 (__TEXT,__text) external _msync$NOCANCEL
0000000180397e90 (__TEXT,__text) external _munlock
000000018039cacc (__TEXT,__text) external _munlockall
