00007ffa445fc530 (__DATA,__bss) non-external _SVC_REQ_KEY
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _kevent64 (from libSystem)
00007ffa445fc320 (__DATA,__data) non-external (was a private external) _kq
00007ffa445fc338 (__DATA,__data) non-external _kq_control_fd
                 (undefined) external _kqueue (from libSystem)
                 (undefined) external _listen (from libSystem)
                 (undefined) external _lseek (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
00007ffa1ba7d59d (__TEXT,__text) non-external _makefd_xprt
00007ffa1ba882d5 (__TEXT,__text) non-external _makefd_xprt.cold.1
00007ffa1ba88383 (__TEXT,__text) non-external _makefd_xprt.cold.2
00007ffa1ba88431 (__TEXT,__text) non-external _makefd_xprt.cold.3
00007ffa1ba884df (__TEXT,__text) non-external _makefd_xprt.cold.4
00007ffa1ba8857a (__TEXT,__text) non-external _makefd_xprt.cold.5
                 (undefined) external _malloc (from libSystem)
00007ffa1ba7656c (__TEXT,__text) non-external _marshal_new_auth
00007ffa1ba85f3e (__TEXT,__text) non-external _marshal_new_auth.cold.1
00007ffa445fbfc0 (__DATA,__data) non-external _maxgrplist
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _mkstemps (from libSystem)
00007ffa425850c0 (__DATA_CONST,__const) non-external _nc_tab
00007ffa42584fd0 (__DATA_CONST,__const) non-external _netids
00007ffa1ba8aa58 (__TEXT,__const) external _oncrpcVersionNumber
00007ffa1ba8aa30 (__TEXT,__const) external _oncrpcVersionString
00007ffa445fc328 (__DATA,__data) non-external _oncrpc_xprt_init
                 (undefined) external _open (from libSystem)
00007ffa1ba826a8 (__TEXT,__text) non-external (was a private external) _open_socket
00007ffa445fbf70 (__DATA,__data) non-external _ops
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _pipe (from libSystem)
00007ffa445fc090 (__DATA,__data) non-external _pmap_addrs
00007ffa1ba7b11d (__TEXT,__text) non-external _pmap_bcastrecv
00007ffa1ba7a3a3 (__TEXT,__text) non-external (was a private external) _pmap_getport_timeout
00007ffa1ba7ae54 (__TEXT,__text) non-external _pmap_mcastrecv
                 (undefined) external _poll (from libSystem)
00007ffa445fc278 (__DATA,__data) non-external _poll_timeout
00007ffa445fc490 (__DATA,__data) non-external (was a private external) _portmap_netid
00007ffa445fc520 (__DATA,__bss) non-external _proglst
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_set_qos_class_np (from libSystem)
                 (undefined) external _pthread_attr_setdetachstate (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_signal (from libSystem)
                 (undefined) external _pthread_cond_timedwait_relative_np (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_exit (from libSystem)
                 (undefined) external _pthread_getspecific (from libSystem)
                 (undefined) external _pthread_getugid_np (from libSystem)
                 (undefined) external _pthread_key_create (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_destroy (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _pthread_rwlock_init (from libSystem)
                 (undefined) external _pthread_rwlock_rdlock (from libSystem)
                 (undefined) external _pthread_rwlock_unlock (from libSystem)
                 (undefined) external _pthread_rwlock_wrlock (from libSystem)
                 (undefined) external _pthread_set_qos_class_self_np (from libSystem)
                 (undefined) external _pthread_setspecific (from libSystem)
                 (undefined) external _pthread_setugid_np (from libSystem)
                 (undefined) external _read (from libSystem)
00007ffa1ba78ddd (__TEXT,__text) non-external _readstrm
00007ffa1ba7da44 (__TEXT,__text) non-external _readstrm
00007ffa1ba88784 (__TEXT,__text) non-external _readstrm.cold.1
00007ffa1ba88832 (__TEXT,__text) non-external _readstrm.cold.2
                 (undefined) external _realloc (from libSystem)
00007ffa1ba814ea (__TEXT,__text) non-external _realloc_stream
                 (undefined) external _reallocf (from libSystem)
                 (undefined) external _recvfrom (from libSystem)
00007ffa1ba8273f (__TEXT,__text) non-external (was a private external) _recvfrom_and_to
00007ffa1ba8a5ac (__TEXT,__text) non-external _recvfrom_and_to.cold.1
                 (undefined) external _recvmsg (from libSystem)
00007ffa1ba7d9ad (__TEXT,__text) non-external _rendezvous_abort_freeargs
00007ffa1ba7d99d (__TEXT,__text) non-external _rendezvous_abort_getargs
00007ffa1ba7d9a5 (__TEXT,__text) non-external _rendezvous_abort_reply
00007ffa1ba7d9b5 (__TEXT,__text) non-external _rendezvous_destroy
00007ffa1ba7d804 (__TEXT,__text) non-external _rendezvous_request
00007ffa1ba88628 (__TEXT,__text) non-external _rendezvous_request.cold.1
00007ffa1ba7d992 (__TEXT,__text) non-external _rendezvous_stat
00007ffa1ba76d4a (__TEXT,__text) external _reply_addr_cache_create
00007ffa1ba76da2 (__TEXT,__text) external _reply_addr_cache_destroy
00007ffa445fc0d0 (__DATA,__data) non-external _reply_dscrm
00007ffa1ba83545 (__TEXT,__text) non-external _reset_if_addr_cache
00007ffa1ba780ff (__TEXT,__text) non-external _rpc_createerr_destroy
00007ffa445fc4f0 (__DATA,__bss) non-external _rpc_createerr_key
00007ffa445fbfc8 (__DATA,__data) non-external _rpc_createerr_once
00007ffa42584cf0 (__DATA_CONST,__const) non-external _rpc_errlist
00007ffa445fc0a8 (__DATA,__data) non-external _rpc_multicast
00007ffa445fc080 (__DATA,__data) non-external _rpcb_addrs
00007ffa1ba7abea (__TEXT,__text) non-external _rpcb_mcastrecv
00007ffa1ba851f1 (__TEXT,__text) non-external _rpcbind_getaddr_generic
00007ffa1ba829a2 (__TEXT,__text) non-external _search_local_ifaddr_cache
                 (undefined) external _sendto (from libSystem)
00007ffa445fc100 (__DATA,__data) non-external _server_ops
00007ffa1ba811ff (__TEXT,__text) non-external _set_input_fragment
00007ffa1ba83407 (__TEXT,__text) non-external (was a private external) _set_local_ephemeral_sockname
00007ffa445fc430 (__DATA,__data) non-external _set_retry_timeout
00007ffa445fc498 (__DATA,__data) non-external _set_retry_timeout
00007ffa445fc440 (__DATA,__data) non-external _set_total_timeout
00007ffa445fc4a8 (__DATA,__data) non-external _set_total_timeout
                 (undefined) external _setsockopt (from libSystem)
00007ffa1ba811a8 (__TEXT,__text) non-external _skip_input_bytes
                 (undefined) external _sleep (from libSystem)
00007ffa1ba78007 (__TEXT,__text) non-external _slprintf
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _socket (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strerror_r (from libSystem)
                 (undefined) external _strlcat (from libSystem)
                 (undefined) external _strlcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
00007ffa445fc018 (__DATA,__data) non-external _strm_ops
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strnlen (from libSystem)
                 (undefined) external _strtol (from libSystem)
00007ffa445fc508 (__DATA,__bss) non-external _svc_active_threads
00007ffa1ba7f056 (__TEXT,__text) non-external (was a private external) _svc_armxprt
00007ffa1ba89810 (__TEXT,__text) non-external _svc_armxprt.cold.1
00007ffa1ba898be (__TEXT,__text) non-external _svc_armxprt.cold.2
00007ffa1ba89947 (__TEXT,__text) non-external _svc_armxprt.cold.3
00007ffa1ba7f1f4 (__TEXT,__text) non-external (was a private external) _svc_clear_kq_control
00007ffa1ba7cac5 (__TEXT,__text) non-external _svc_complete
00007ffa445fc66c (__DATA,__common) non-external (was a private external) _svc_cred_switch
00007ffa445fc188 (__DATA,__data) non-external _svc_exit_cond
00007ffa445fc50c (__DATA,__bss) non-external _svc_exit_flag
00007ffa1ba7f5bc (__TEXT,__text) non-external (was a private external) _svc_get_thread_req
00007ffa445fc528 (__DATA,__bss) non-external _svc_head
00007ffa1ba7f1e8 (__TEXT,__text) non-external (was a private external) _svc_kq_control
00007ffa445fc288 (__DATA,__data) non-external (was a private external) _svc_listen_backlog
00007ffa445fc130 (__DATA,__data) non-external (was a private external) _svc_max_threads
00007ffa445fc134 (__DATA,__data) non-external (was a private external) _svc_min_threads
00007ffa445fc138 (__DATA,__data) non-external (was a private external) _svc_nreq
00007ffa1ba7ef2c (__TEXT,__text) non-external _svc_oncrpc_start
00007ffa1ba89606 (__TEXT,__text) non-external _svc_oncrpc_start.cold.1
00007ffa1ba896b4 (__TEXT,__text) non-external _svc_oncrpc_start.cold.2
00007ffa1ba89762 (__TEXT,__text) non-external _svc_oncrpc_start.cold.3
00007ffa445fc248 (__DATA,__data) non-external _svc_poll_cond
00007ffa445fc208 (__DATA,__data) non-external _svc_poll_lock
00007ffa445fc510 (__DATA,__bss) non-external _svc_polling
00007ffa1ba7f27a (__TEXT,__text) non-external (was a private external) _svc_rearmxprt
00007ffa1ba89b44 (__TEXT,__text) non-external _svc_rearmxprt.cold.1
00007ffa1ba89be5 (__TEXT,__text) non-external _svc_rearmxprt.cold.2
00007ffa1ba89c93 (__TEXT,__text) non-external _svc_rearmxprt.cold.3
00007ffa445fc340 (__DATA,__data) non-external _svc_register_lock
00007ffa1ba7f5f3 (__TEXT,__text) external _svc_req_clone
00007ffa1ba7f742 (__TEXT,__text) external _svc_req_destroy
00007ffa1ba7f155 (__TEXT,__text) non-external (was a private external) _svc_rmxprt
00007ffa1ba899e8 (__TEXT,__text) non-external _svc_rmxprt.cold.1
00007ffa445fc140 (__DATA,__data) non-external (was a private external) _svc_stack_size
00007ffa1ba7c347 (__TEXT,__text) non-external _svc_start_threads
00007ffa1ba7c2f4 (__TEXT,__text) non-external _svc_thread
00007ffa445fc148 (__DATA,__data) non-external _svc_thread_lock
00007ffa445fc660 (__DATA,__common) non-external (was a private external) _svc_thread_qos_class
00007ffa445fc664 (__DATA,__common) non-external (was a private external) _svc_thread_relative_priority
00007ffa1ba7f3b9 (__TEXT,__text) non-external (was a private external) _svc_unarmxprt
00007ffa1ba89d34 (__TEXT,__text) non-external _svc_unarmxprt.cold.1
00007ffa1ba89dbd (__TEXT,__text) non-external _svc_unarmxprt.cold.2
00007ffa445fc1b8 (__DATA,__data) non-external _svc_workq_lock
00007ffa1ba7eb76 (__TEXT,__text) non-external (was a private external) _svc_xprt_create
00007ffa1ba894aa (__TEXT,__text) non-external _svc_xprt_create.cold.1
00007ffa1ba89558 (__TEXT,__text) non-external _svc_xprt_create.cold.2
00007ffa1ba7edc8 (__TEXT,__text) non-external (was a private external) _svc_xprt_destroy
00007ffa42584e90 (__DATA_CONST,__const) non-external _svcauthsw
00007ffa1ba7c233 (__TEXT,__text) non-external _svcraw_destroy
00007ffa1ba7c22b (__TEXT,__text) non-external _svcraw_freeargs
00007ffa1ba7c21b (__TEXT,__text) non-external _svcraw_getargs
00007ffa1ba7c208 (__TEXT,__text) non-external _svcraw_recv
00007ffa1ba7c223 (__TEXT,__text) non-external _svcraw_reply
00007ffa1ba7c210 (__TEXT,__text) non-external _svcraw_stat
00007ffa1ba7d9ee (__TEXT,__text) non-external _svcstrm_destroy
00007ffa1ba886d6 (__TEXT,__text) non-external _svcstrm_destroy.cold.1
00007ffa1ba7d096 (__TEXT,__text) non-external _svcstrm_domain_create
00007ffa1ba87ae9 (__TEXT,__text) non-external _svcstrm_domain_create.cold.1
00007ffa1ba87b97 (__TEXT,__text) non-external _svcstrm_domain_create.cold.2
00007ffa1ba87c45 (__TEXT,__text) non-external _svcstrm_domain_create.cold.3
00007ffa1ba7e084 (__TEXT,__text) non-external _svcstrm_freeargs
00007ffa1ba7df32 (__TEXT,__text) non-external _svcstrm_getargs
00007ffa445fc2c0 (__DATA,__data) non-external _svcstrm_op
00007ffa1ba7dd67 (__TEXT,__text) non-external _svcstrm_recv
00007ffa1ba8897b (__TEXT,__text) non-external _svcstrm_recv.cold.1
00007ffa1ba88a16 (__TEXT,__text) non-external _svcstrm_recv.cold.2
00007ffa1ba88ac4 (__TEXT,__text) non-external _svcstrm_recv.cold.3
00007ffa445fc290 (__DATA,__data) non-external _svcstrm_rendezvous_op
00007ffa1ba7dfce (__TEXT,__text) non-external _svcstrm_reply
00007ffa1ba88b5f (__TEXT,__text) non-external _svcstrm_reply.cold.1
00007ffa1ba7ded6 (__TEXT,__text) non-external _svcstrm_stat
00007ffa1ba7d252 (__TEXT,__text) external _svcticots_create
00007ffa1ba7d25c (__TEXT,__text) external _svcticotsord_create
00007ffa1ba87cf3 (__TEXT,__text) non-external _svcticotsord_create.cold.1
00007ffa1ba87da1 (__TEXT,__text) non-external _svcticotsord_create.cold.2
00007ffa1ba87e4f (__TEXT,__text) non-external _svcticotsord_create.cold.3
00007ffa1ba87ee3 (__TEXT,__text) non-external _svcticotsord_create.cold.4
00007ffa1ba87f82 (__TEXT,__text) non-external _svcticotsord_create.cold.5
00007ffa1ba8801d (__TEXT,__text) non-external _svcticotsord_create.cold.6
00007ffa1ba880cb (__TEXT,__text) non-external _svcticotsord_create.cold.7
00007ffa1ba88179 (__TEXT,__text) non-external _svcticotsord_create.cold.8
00007ffa1ba88227 (__TEXT,__text) non-external _svcticotsord_create.cold.9
00007ffa1ba7eb18 (__TEXT,__text) non-external _svcudp_destroy
00007ffa1ba893fc (__TEXT,__text) non-external _svcudp_destroy.cold.1
00007ffa1ba7eaea (__TEXT,__text) non-external _svcudp_freeargs
00007ffa1ba7e71f (__TEXT,__text) non-external _svcudp_getargs
00007ffa445fc2f0 (__DATA,__data) non-external _svcudp_op
00007ffa1ba7e40b (__TEXT,__text) non-external _svcudp_recv
00007ffa1ba89021 (__TEXT,__text) non-external _svcudp_recv.cold.1
00007ffa1ba890cf (__TEXT,__text) non-external _svcudp_recv.cold.2
00007ffa1ba7e7a0 (__TEXT,__text) non-external _svcudp_reply
00007ffa1ba8917d (__TEXT,__text) non-external _svcudp_reply.cold.1
00007ffa1ba89218 (__TEXT,__text) non-external _svcudp_reply.cold.2
00007ffa1ba892b3 (__TEXT,__text) non-external _svcudp_reply.cold.3
00007ffa1ba8934e (__TEXT,__text) non-external _svcudp_reply.cold.4
00007ffa1ba7e714 (__TEXT,__text) non-external _svcudp_stat
                 (undefined) external _sys_nerr (from libSystem)
00007ffa1ba78110 (__TEXT,__text) non-external _tsd_init_buf
00007ffa1ba86478 (__TEXT,__text) non-external _tsd_init_buf.cold.1
00007ffa1ba77a41 (__TEXT,__text) non-external _tsd_init_rpc_createerr
00007ffa1ba86283 (__TEXT,__text) non-external _tsd_init_rpc_createerr.cold.1
00007ffa445fc048 (__DATA,__data) non-external _udp_ops
00007ffa1ba83106 (__TEXT,__text) non-external _ugetport
00007ffa1ba7cc7f (__TEXT,__text) non-external _universal
00007ffa1ba8748e (__TEXT,__text) non-external _universal.cold.1
00007ffa1ba87529 (__TEXT,__text) non-external _universal.cold.2
00007ffa1ba875bd (__TEXT,__text) non-external _universal.cold.3
                 (undefined) external _unlink (from libSystem)
00007ffa445fc450 (__DATA,__data) non-external _unset_retry_timeout
00007ffa445fc4b8 (__DATA,__data) non-external _unset_retry_timeout
00007ffa445fc460 (__DATA,__data) non-external _unset_total_timeout
00007ffa445fc4c8 (__DATA,__data) non-external _unset_total_timeout
                 (undefined) external _vm_allocate (from libSystem)
                 (undefined) external _vm_deallocate (from libSystem)
                 (undefined) external _vsnprintf (from libSystem)
00007ffa1ba7f222 (__TEXT,__text) non-external _wakeup_kq
00007ffa1ba89a96 (__TEXT,__text) non-external _wakeup_kq.cold.1
                 (undefined) external _warnx (from libSystem)
00007ffa445fc1f8 (__DATA,__data) non-external _workq
                 (undefined) external _write (from libSystem)
00007ffa1ba78edb (__TEXT,__text) non-external _writestrm
00007ffa1ba7dc0b (__TEXT,__text) non-external _writestrm
00007ffa1ba888cd (__TEXT,__text) non-external _writestrm.cold.1
00007ffa1ba81827 (__TEXT,__text) non-external _x_destroy
00007ffa1ba81816 (__TEXT,__text) non-external _x_getpostn
00007ffa1ba817a3 (__TEXT,__text) non-external _x_inline
00007ffa1ba81795 (__TEXT,__text) non-external _x_putbytes
00007ffa1ba81786 (__TEXT,__text) non-external _x_putlong
00007ffa1ba8181f (__TEXT,__text) non-external _x_setpostn
00007ffa1ba7bd8c (__TEXT,__text) non-external _xdr_accepted_reply
00007ffa1ba7b30b (__TEXT,__text) non-external _xdr_callit_args
00007ffa1ba8085c (__TEXT,__text) non-external (was a private external) _xdr_is_memstream
00007ffa1ba814d4 (__TEXT,__text) non-external (was a private external) _xdr_is_recstream
00007ffa1ba7b4a4 (__TEXT,__text) non-external _xdr_pmapcallres
00007ffa1ba7be17 (__TEXT,__text) non-external _xdr_rejected_reply
00007ffa1ba7b386 (__TEXT,__text) non-external _xdr_rmt3callres
00007ffa1ba81fcb (__TEXT,__text) external _xdr_vmbytes
00007ffa1ba8a44e (__TEXT,__text) non-external _xdr_vmbytes.cold.1
00007ffa1ba8aac0 (__TEXT,__const) non-external _xdr_zero
00007ffa1ba8099d (__TEXT,__text) non-external _xdrmem_destroy
00007ffa1ba808dc (__TEXT,__text) non-external _xdrmem_getbytes
00007ffa1ba809a3 (__TEXT,__text) non-external _xdrmem_getlong_aligned
00007ffa1ba80885 (__TEXT,__text) non-external _xdrmem_getlong_unaligned
00007ffa1ba80948 (__TEXT,__text) non-external _xdrmem_getpos
00007ffa1ba807f3 (__TEXT,__text) non-external (was a private external) _xdrmem_getrecord
00007ffa1ba809fd (__TEXT,__text) non-external _xdrmem_inline_aligned
00007ffa1ba80995 (__TEXT,__text) non-external _xdrmem_inline_unaligned
00007ffa42584ef0 (__DATA_CONST,__const) non-external _xdrmem_ops_aligned
00007ffa42584ea8 (__DATA_CONST,__const) non-external _xdrmem_ops_unaligned
00007ffa1ba80915 (__TEXT,__text) non-external _xdrmem_putbytes
00007ffa1ba809d0 (__TEXT,__text) non-external _xdrmem_putlong_aligned
00007ffa1ba808b2 (__TEXT,__text) non-external _xdrmem_putlong_unaligned
00007ffa1ba80962 (__TEXT,__text) non-external _xdrmem_setpos
00007ffa1ba80d08 (__TEXT,__text) non-external _xdrrec_destroy
00007ffa1ba80aec (__TEXT,__text) non-external _xdrrec_getbytes
00007ffa1ba80a1e (__TEXT,__text) non-external _xdrrec_getlong
00007ffa1ba80be8 (__TEXT,__text) non-external _xdrrec_getpos
00007ffa1ba81371 (__TEXT,__text) non-external (was a private external) _xdrrec_getrecord
00007ffa1ba80cbd (__TEXT,__text) non-external _xdrrec_inline
00007ffa1ba80ed1 (__TEXT,__text) non-external (was a private external) _xdrrec_isrecordstart
00007ffa42584f38 (__DATA_CONST,__const) non-external (was a private external) _xdrrec_ops
00007ffa1ba80b64 (__TEXT,__text) non-external _xdrrec_putbytes
00007ffa1ba80a86 (__TEXT,__text) non-external _xdrrec_putlong
00007ffa1ba80c3b (__TEXT,__text) non-external _xdrrec_setpos
00007ffa1ba819a5 (__TEXT,__text) non-external _xdrstdio_destroy
00007ffa1ba8190a (__TEXT,__text) non-external _xdrstdio_getbytes
00007ffa1ba8188a (__TEXT,__text) non-external _xdrstdio_getlong
00007ffa1ba8196a (__TEXT,__text) non-external _xdrstdio_getpos
00007ffa1ba8199d (__TEXT,__text) non-external _xdrstdio_inline
00007ffa42584f80 (__DATA_CONST,__const) non-external _xdrstdio_ops
00007ffa1ba8193a (__TEXT,__text) non-external _xdrstdio_putbytes
00007ffa1ba818d1 (__TEXT,__text) non-external _xdrstdio_putlong
00007ffa1ba81985 (__TEXT,__text) non-external _xdrstdio_setpos
00007ffa1ba7ee4e (__TEXT,__text) non-external (was a private external) _xprt_ref
00007ffa1ba7ee94 (__TEXT,__text) non-external (was a private external) _xprt_unref
