00007ffa1e97e082 (__TEXT,__text) non-external _DiToMD5
00007ffa1e971434 (__TEXT,__text) external __ZN12OSDictionary12withCapacityEj
00007ffa1e971318 (__TEXT,__text) external __ZN12OSDictionary14ensureCapacityEj
00007ffa1e9714c6 (__TEXT,__text) external __ZN12OSDictionary14withDictionaryEPKS_j
00007ffa1e971328 (__TEXT,__text) external __ZN12OSDictionary15flushCollectionEv
00007ffa1e9713e6 (__TEXT,__text) external __ZN12OSDictionary4freeEv
00007ffa1e971500 (__TEXT,__text) external __ZN12OSDictionary5mergeEPKS_
00007ffa1e9714b6 (__TEXT,__text) external __ZN12OSDictionary9setObjectEPK8OSObjectPK15OSMetaClassBase
00007ffa1e97158c (__TEXT,__text) external __ZN12OSDictionary9setObjectEPKcPK15OSMetaClassBase
00007ffa1e96bde6 (__TEXT,__text) external __ZN12OSMappedFile14createFromPathEPKcymPPS_
00007ffa1e96c0f8 (__TEXT,__text) external __ZN12OSMappedFile4freeEv
00007ffa1e96c0b8 (__TEXT,__text) external __ZN12OSMappedFile4initEv
00007ffa1e9722fc (__TEXT,__text) external __ZN12OSOrderedSet11orderObjectEPK15OSMetaClassBase
00007ffa1e9720c8 (__TEXT,__text) external __ZN12OSOrderedSet12withCapacityEjU13block_pointerFiPK15OSMetaClassBaseS2_E
00007ffa1e972254 (__TEXT,__text) external __ZN12OSOrderedSet13setLastObjectEPK15OSMetaClassBase
00007ffa1e97228c (__TEXT,__text) external __ZN12OSOrderedSet14setFirstObjectEPK15OSMetaClassBase
00007ffa1e972150 (__TEXT,__text) external __ZN12OSOrderedSet4freeEv
00007ffa1e972138 (__TEXT,__text) external __ZN12OSOrderedSet4initEv
00007ffa1e9721b4 (__TEXT,__text) external __ZN12OSOrderedSet9setObjectEPK15OSMetaClassBase
00007ffa1e96c346 (__TEXT,__text) external __ZN13IOCommandPool10getCommandEb
00007ffa1e96c228 (__TEXT,__text) external __ZN13IOCommandPool13initWithQueueEP15IODispatchQueue
00007ffa1e96c428 (__TEXT,__text) external __ZN13IOCommandPool13returnCommandEP9IOCommand
00007ffa1e96c4fa (__TEXT,__text) external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb
00007ffa1e98fafa (__TEXT,__text) non-external __ZN13IOCommandPool15gatedGetCommandEPP9IOCommandb.cold.1
00007ffa1e96c59c (__TEXT,__text) external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand
00007ffa1e98fb1d (__TEXT,__text) non-external __ZN13IOCommandPool18gatedReturnCommandEP9IOCommand.cold.1
00007ffa1e96c28a (__TEXT,__text) external __ZN13IOCommandPool4freeEv
00007ffa1e96c218 (__TEXT,__text) external __ZN13IOCommandPool4initEv
00007ffa1e96c2ec (__TEXT,__text) external __ZN13IOCommandPool9withQueueEP15IODispatchQueue
00007ffa1e97dc68 (__TEXT,__text) external __ZN14IOReportLegend14addLegendEntryEP12OSDictionaryPKcS3_
00007ffa1e97dc10 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP10IOReporterPKcS3_
00007ffa1e97db16 (__TEXT,__text) external __ZN14IOReportLegend17addReporterLegendEP9IOServiceP10IOReporterPKcS5_
00007ffa1e97dac4 (__TEXT,__text) external __ZN14IOReportLegend4freeEv
00007ffa1e97d942 (__TEXT,__text) external __ZN14IOReportLegend4withEP7OSArray
00007ffa1e97db08 (__TEXT,__text) external __ZN14IOReportLegend9getLegendEv
00007ffa1e98dbfa (__TEXT,__text) external __ZN14OSSetMetaClass3NewEP8OSObject
00007ffa1e980e7c (__TEXT,__text) external __ZN15IODispatchQueue11Create_CallEPKcyyPPS_
00007ffa1e966aea (__TEXT,__text) external __ZN15IODispatchQueue12DispatchSyncEU13block_pointerFvvE
00007ffa1e981074 (__TEXT,__text) external __ZN15IODispatchQueue13Create_InvokeE5IORPCPFiPKcyyPPS_E
00007ffa1e96882a (__TEXT,__text) external __ZN15IODispatchQueue13DispatchAsyncEU13block_pointerFvvE
00007ffa1e9689be (__TEXT,__text) external __ZN15IODispatchQueue14DispatchSync_fEPvPFvS0_E
00007ffa1e980ffc (__TEXT,__text) external __ZN15IODispatchQueue14SetPort_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffa1e966a08 (__TEXT,__text) external __ZN15IODispatchQueue15DispatchAsync_fEPvPFvS0_E
00007ffa1e968d80 (__TEXT,__text) external __ZN15IODispatchQueue16SleepWithTimeoutEPvy
00007ffa1e968af2 (__TEXT,__text) external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy
00007ffa1e98f69e (__TEXT,__text) non-external __ZN15IODispatchQueue17SleepWithDeadlineEPvyy.cold.1
00007ffa1e968df4 (__TEXT,__text) external __ZN15IODispatchQueue17WakeupWithOptionsEPvy
00007ffa1e98f72a (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.1
00007ffa1e98f74d (__TEXT,__text) non-external __ZN15IODispatchQueue17WakeupWithOptionsEPvy.cold.2
00007ffa1e968926 (__TEXT,__text) external __ZN15IODispatchQueue18DispatchConcurrentEU13block_pointerFvvE
00007ffa1e968950 (__TEXT,__text) external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E
00007ffa1e98f67b (__TEXT,__text) non-external __ZN15IODispatchQueue20DispatchConcurrent_fEPvPFvS0_E.cold.1
00007ffa1e9687ec (__TEXT,__text) external __ZN15IODispatchQueue3LogEPKcPFiS1_zE
00007ffa1e968596 (__TEXT,__text) external __ZN15IODispatchQueue4freeEv
00007ffa1e968470 (__TEXT,__text) external __ZN15IODispatchQueue4initEv
00007ffa1e968dea (__TEXT,__text) external __ZN15IODispatchQueue5SleepEPvy
00007ffa1e9684b0 (__TEXT,__text) external __ZN15IODispatchQueue6CancelEU13block_pointerFvvE
00007ffa1e96805c (__TEXT,__text) external __ZN15IODispatchQueue6CreateEPKcyyPPS_
00007ffa1e98f491 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.1
00007ffa1e98f4b4 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.2
00007ffa1e98f4d7 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.3
00007ffa1e98f4fa (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.4
00007ffa1e98f51d (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.5
00007ffa1e98f540 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.6
00007ffa1e98f563 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.7
00007ffa1e98f586 (__TEXT,__text) non-external __ZN15IODispatchQueue6CreateEPKcyyPPS_.cold.8
00007ffa1e968e92 (__TEXT,__text) external __ZN15IODispatchQueue6WakeupEPv
00007ffa1e96693e (__TEXT,__text) external __ZN15IODispatchQueue7GetNameEv
00007ffa1e966950 (__TEXT,__text) external __ZN15IODispatchQueue7OnQueueEv
00007ffa1e980d6a (__TEXT,__text) external __ZN15IODispatchQueue7SetPortEjPFiP15OSMetaClassBase5IORPCE
00007ffa1e980cf0 (__TEXT,__text) external __ZN15IODispatchQueue8DispatchE5IORPC
00007ffa1e968e9e (__TEXT,__text) external __ZN15IODispatchQueue9RunActionEU13block_pointerFivE
00007ffa1e980d26 (__TEXT,__text) external __ZN15IODispatchQueue9_DispatchEPS_5IORPC
00007ffa1e97d40e (__TEXT,__text) external __ZN15IOStateReporter10setStateIDEyiy
00007ffa1e97d08c (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyy
00007ffa1e97d0f8 (__TEXT,__text) external __ZN15IOStateReporter15setChannelStateEyyyy
00007ffa1e97d4fc (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEii
00007ffa1e97d544 (__TEXT,__text) external __ZN15IOStateReporter17setStateByIndicesEiiyy
00007ffa1e97d102 (__TEXT,__text) external __ZN15IOStateReporter20overrideChannelStateEyyyyy
00007ffa1e990a43 (__TEXT,__text) non-external __ZN15IOStateReporter20overrideChannelStateEyyyyy.cold.1
00007ffa1e97d6f8 (__TEXT,__text) external __ZN15IOStateReporter21getStateInTransitionsEyy
00007ffa1e97d7ec (__TEXT,__text) external __ZN15IOStateReporter21getStateResidencyTimeEyy
00007ffa1e97d232 (__TEXT,__text) external __ZN15IOStateReporter21incrementChannelStateEyyyyy
00007ffa1e990a55 (__TEXT,__text) non-external __ZN15IOStateReporter21incrementChannelStateEyyyyy.cold.1
00007ffa1e97d800 (__TEXT,__text) external __ZN15IOStateReporter26getStateLastTransitionTimeEyy
00007ffa1e97d814 (__TEXT,__text) external __ZN15IOStateReporter29getStateLastChannelUpdateTimeEy
00007ffa1e97c994 (__TEXT,__text) external __ZN15IOStateReporter4withEP9IOServicetiy
00007ffa1e97ca06 (__TEXT,__text) external __ZN15IOStateReporter8initWithEP9IOServicetiy
00007ffa1e97d376 (__TEXT,__text) external __ZN15IOStateReporter8setStateEy
00007ffa1e97d404 (__TEXT,__text) external __ZN15IOStateReporter8setStateEyyy
00007ffa1e98d518 (__TEXT,__text) external __ZN15OSDataMetaClass3NewEP8OSObject
00007ffa1e965318 (__TEXT,__text) external __ZN15OSMetaClassBase12GetClassNameEv
00007ffa1e965ade (__TEXT,__text) external __ZN15OSMetaClassBase12safeMetaCastEPKS_PK11OSMetaClass
00007ffa1e965cf0 (__TEXT,__text) external __ZN15OSMetaClassBase14QueueForObjectEy
00007ffa1e98ea56 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.1
00007ffa1e98ea79 (__TEXT,__text) non-external __ZN15OSMetaClassBase14QueueForObjectEy.cold.2
00007ffa1e965c48 (__TEXT,__text) external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass
00007ffa1e98ea17 (__TEXT,__text) non-external __ZN15OSMetaClassBase16requiredMetaCastEPKS_PK11OSMetaClass.cold.1
00007ffa1e9663e8 (__TEXT,__text) external __ZN15OSMetaClassBase6InvokeE5IORPC
00007ffa1e98ec4e (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.1
00007ffa1e98ec71 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.2
00007ffa1e98ec94 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.3
00007ffa1e98ecb7 (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.4
00007ffa1e98ecda (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.5
00007ffa1e98ecfd (__TEXT,__text) non-external __ZN15OSMetaClassBase6InvokeE5IORPC.cold.6
00007ffa1e965e68 (__TEXT,__text) external __ZN15OSMetaClassBase8DispatchE5IORPC
00007ffa1e98eb36 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.1
00007ffa1e98eb59 (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.2
00007ffa1e98eb7c (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.3
00007ffa1e98eb9f (__TEXT,__text) non-external __ZN15OSMetaClassBase8DispatchE5IORPC.cold.4
00007ffa1e96530e (__TEXT,__text) external __ZN15OSMetaClassBase8GetClassEv
00007ffa1e965348 (__TEXT,__text) external __ZN15OSMetaClassBase8IsRemoteEv
00007ffa1e96ebcc (__TEXT,__text) external __ZN15OSSerialization10copyObjectEv
00007ffa1e972a18 (__TEXT,__text) external __ZN15OSSerialization10freeBufferEPKvm
00007ffa1e990406 (__TEXT,__text) non-external __ZN15OSSerialization10freeBufferEPKvm.cold.1
00007ffa1e9729d4 (__TEXT,__text) external __ZN15OSSerialization14finalizeBufferEPm
00007ffa1e9903e3 (__TEXT,__text) non-external __ZN15OSSerialization14finalizeBufferEPm.cold.1
00007ffa1e9729c0 (__TEXT,__text) external __ZN15OSSerialization15createFromBytesEPKvmU13block_pointerFvS1_mE
00007ffa1e9729ca (__TEXT,__text) external __ZN15OSSerialization16createFromObjectEP8OSObject
00007ffa1e972a3e (__TEXT,__text) external __ZN15OSSerialization4freeEv
00007ffa1e981556 (__TEXT,__text) external __ZN16IODispatchSource12CheckForWorkEbPFiP15OSMetaClassBase5IORPCE
00007ffa1e981874 (__TEXT,__text) external __ZN16IODispatchSource13Cancel_InvokeE5IORPCP15OSMetaClassBasePFiS2_U13block_pointerFvvEE
00007ffa1e968fd0 (__TEXT,__text) external __ZN16IODispatchSource14SetEnable_ImplEb
00007ffa1e98123c (__TEXT,__text) external __ZN16IODispatchSource16SetEnable_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffa1e981968 (__TEXT,__text) external __ZN16IODispatchSource19CheckForWork_InvokeE5IORPCP15OSMetaClassBasePFiS2_S0_bE
00007ffa1e981412 (__TEXT,__text) external __ZN16IODispatchSource23SetEnableWithCompletionEbU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffa1e9818ec (__TEXT,__text) external __ZN16IODispatchSource30SetEnableWithCompletion_InvokeE5IORPCP15OSMetaClassBasePFiS2_bU13block_pointerFvvEE
00007ffa1e968fb8 (__TEXT,__text) external __ZN16IODispatchSource4freeEv
00007ffa1e968fa8 (__TEXT,__text) external __ZN16IODispatchSource4initEv
00007ffa1e9812d6 (__TEXT,__text) external __ZN16IODispatchSource6CancelEU13block_pointerFvvEPFiP15OSMetaClassBase5IORPCE
00007ffa1e981186 (__TEXT,__text) external __ZN16IODispatchSource8DispatchE5IORPC
00007ffa1e981734 (__TEXT,__text) external __ZN16IODispatchSource9SetEnableEbPFiP15OSMetaClassBase5IORPCE
00007ffa1e981190 (__TEXT,__text) external __ZN16IODispatchSource9_DispatchEPS_5IORPC
00007ffa1e97bb26 (__TEXT,__text) external __ZN16IOReporter_IVars10legendWithEP7OSArrayS1_19IOReportChannelTypey
00007ffa1e97b336 (__TEXT,__text) external __ZN16IOReporter_IVars12lockReporterEv
00007ffa1e97ba54 (__TEXT,__text) external __ZN16IOReporter_IVars14copyChannelIDsEv
00007ffa1e97b354 (__TEXT,__text) external __ZN16IOReporter_IVars14unlockReporterEv
00007ffa1e97be7c (__TEXT,__text) external __ZN16IOReporter_IVars15getChannelIndexEyPi
00007ffa1e97bdbe (__TEXT,__text) external __ZN16IOReporter_IVars16getElementValuesEi
00007ffa1e9907ac (__TEXT,__text) non-external __ZN16IOReporter_IVars16getElementValuesEi.cold.1
00007ffa1e97bd4c (__TEXT,__text) external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy
00007ffa1e990793 (__TEXT,__text) non-external __ZN16IOReporter_IVars16setElementValuesEiP21IOReportElementValuesy.cold.1
00007ffa1e97bdf6 (__TEXT,__text) external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues
00007ffa1e9907c5 (__TEXT,__text) non-external __ZN16IOReporter_IVars17copyElementValuesEiP21IOReportElementValues.cold.1
00007ffa1e97beba (__TEXT,__text) external __ZN16IOReporter_IVars17getChannelIndicesEyPiS0_
00007ffa1e97b718 (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapCleanupEi
00007ffa1e9906d3 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.1
00007ffa1e9906ec (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.2
00007ffa1e99070c (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.3
00007ffa1e990733 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.4
00007ffa1e990753 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapCleanupEi.cold.5
00007ffa1e97b3ca (__TEXT,__text) external __ZN16IOReporter_IVars17handleSwapPrepareEi
00007ffa1e9905cf (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.1
00007ffa1e9905e8 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.2
00007ffa1e990601 (__TEXT,__text) non-external __ZN16IOReporter_IVars17handleSwapPrepareEi.cold.3
00007ffa1e97b9f0 (__TEXT,__text) external __ZN16IOReporter_IVars18handleCreateLegendEv
00007ffa1e97b89a (__TEXT,__text) external __ZN16IOReporter_IVars18handleUpdateReportEP19IOReportChannelListjRjRPhRm
00007ffa1e97b318 (__TEXT,__text) external __ZN16IOReporter_IVars18lockReporterConfigEv
00007ffa1e97bdee (__TEXT,__text) external __ZN16IOReporter_IVars19updateChannelValuesEi
00007ffa1e97b954 (__TEXT,__text) external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm
00007ffa1e99077a (__TEXT,__text) non-external __ZN16IOReporter_IVars19updateReportChannelEiRjRPhRm.cold.1
00007ffa1e97be3e (__TEXT,__text) external __ZN16IOReporter_IVars20getFirstElementIndexEyPi
00007ffa1e97b586 (__TEXT,__text) external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString
00007ffa1e990613 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.1
00007ffa1e99062c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.2
00007ffa1e990645 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.3
00007ffa1e990665 (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.4
00007ffa1e99068c (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.5
00007ffa1e9906ac (__TEXT,__text) non-external __ZN16IOReporter_IVars20handleAddChannelSwapEyPK8OSString.cold.6
00007ffa1e97b366 (__TEXT,__text) external __ZN16IOReporter_IVars20unlockReporterConfigEv
00007ffa1e97b7dc (__TEXT,__text) external __ZN16IOReporter_IVars21handleConfigureReportEP19IOReportChannelListjRj
00007ffa1e97b088 (__TEXT,__text) external __ZN16IOReporter_IVarsC1EP9IOService19IOReportChannelTypey
00007ffa1e97af82 (__TEXT,__text) external __ZN16IOReporter_IVarsC2EP9IOService19IOReportChannelTypey
00007ffa1e97b1a4 (__TEXT,__text) external __ZN16IOReporter_IVarsD0Ev
00007ffa1e97b19a (__TEXT,__text) external __ZN16IOReporter_IVarsD1Ev
00007ffa1e97b0f2 (__TEXT,__text) external __ZN16IOReporter_IVarsD2Ev
00007ffa1e990541 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.1
00007ffa1e990561 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.2
00007ffa1e990588 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.3
00007ffa1e9905a8 (__TEXT,__text) non-external __ZN16IOReporter_IVarsD2Ev.cold.4
00007ffa1e97c0c2 (__TEXT,__text) external __ZN16IOSimpleReporter14incrementValueEyx
00007ffa1e97bf4a (__TEXT,__text) external __ZN16IOSimpleReporter4withEP9IOServicety
00007ffa1e97c150 (__TEXT,__text) external __ZN16IOSimpleReporter8getValueEy
00007ffa1e97bfba (__TEXT,__text) external __ZN16IOSimpleReporter8initWithEP9IOServicety
00007ffa1e97c034 (__TEXT,__text) external __ZN16IOSimpleReporter8setValueEyx
00007ffa1e98d42c (__TEXT,__text) external __ZN16OSArrayMetaClass3NewEP8OSObject
00007ffa1e98e582 (__TEXT,__text) external __ZN17IOThreadMetaClass3NewEP8OSObject
00007ffa1e98ce50 (__TEXT,__text) external __ZN17OSActionMetaClass3NewEP8OSObject
00007ffa1e98cf1c (__TEXT,__text) external __ZN17OSActionMetaClass8DispatchE5IORPC
00007ffa1e98d49a (__TEXT,__text) external __ZN17OSBundleMetaClass3NewEP8OSObject
00007ffa1e98d5b6 (__TEXT,__text) external __ZN17OSNumberMetaClass3NewEP8OSObject
00007ffa1e98d5e6 (__TEXT,__text) external __ZN17OSObjectMetaClass3NewEP8OSObject
00007ffa1e98d65c (__TEXT,__text) external __ZN17OSObjectMetaClass8DispatchE5IORPC
00007ffa1e98dc38 (__TEXT,__text) external __ZN17OSStringMetaClass3NewEP8OSObject
00007ffa1e97f2aa (__TEXT,__text) external __ZN18IOCommandMetaClass3NewEP8OSObject
00007ffa1e983a68 (__TEXT,__text) external __ZN18IOMemoryDescriptor10_CopyStateEP17_IOMDPrivateStatePFiP15OSMetaClassBase5IORPCE
00007ffa1e983bca (__TEXT,__text) external __ZN18IOMemoryDescriptor13CreateMappingEyyyyyPP11IOMemoryMapPFiP15OSMetaClassBase5IORPCE
00007ffa1e983fca (__TEXT,__text) external __ZN18IOMemoryDescriptor17_CopyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_P17_IOMDPrivateStateE
00007ffa1e984042 (__TEXT,__text) external __ZN18IOMemoryDescriptor20CreateMapping_InvokeE5IORPCP15OSMetaClassBasePFiS2_yyyyyPP11IOMemoryMapE
00007ffa1e983d4c (__TEXT,__text) external __ZN18IOMemoryDescriptor25CreateSubMemoryDescriptorEyyyPS_PS0_
00007ffa1e983e5e (__TEXT,__text) external __ZN18IOMemoryDescriptor27CreateWithMemoryDescriptorsEyjPPS_S1_
00007ffa1e9840de (__TEXT,__text) external __ZN18IOMemoryDescriptor32CreateSubMemoryDescriptor_InvokeE5IORPCPFiyyyPS_PS1_E
00007ffa1e9841aa (__TEXT,__text) external __ZN18IOMemoryDescriptor34CreateWithMemoryDescriptors_InvokeE5IORPCPFiyjPPS_S2_E
00007ffa1e969afe (__TEXT,__text) external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_
00007ffa1e98f884 (__TEXT,__text) non-external __ZN18IOMemoryDescriptor3MapEyyyyPyS0_.cold.1
00007ffa1e96ae0e (__TEXT,__text) external __ZN18IOMemoryDescriptor4freeEv
00007ffa1e96adce (__TEXT,__text) external __ZN18IOMemoryDescriptor4initEv
00007ffa1e9839ee (__TEXT,__text) external __ZN18IOMemoryDescriptor8DispatchE5IORPC
00007ffa1e96ae70 (__TEXT,__text) external __ZN18IOMemoryDescriptor9GetLengthEPy
00007ffa1e98f9bf (__TEXT,__text) non-external __ZN18IOMemoryDescriptor9GetLengthEPy.cold.1
00007ffa1e983a24 (__TEXT,__text) external __ZN18IOMemoryDescriptor9_DispatchEPS_5IORPC
00007ffa1e984652 (__TEXT,__text) external __ZN18IOServiceMetaClass3NewEP8OSObject
00007ffa1e985232 (__TEXT,__text) external __ZN18IOServiceMetaClass8DispatchE5IORPC
00007ffa1e98d46a (__TEXT,__text) external __ZN18OSBooleanMetaClass3NewEP8OSObject
00007ffa1e97c988 (__TEXT,__text) external __ZN19IOHistogramReporter10addChannelEyPKc
00007ffa1e97c8ae (__TEXT,__text) external __ZN19IOHistogramReporter10tallyValueEx
00007ffa1e97c828 (__TEXT,__text) external __ZN19IOHistogramReporter20overrideBucketValuesEjyxxx
00007ffa1e97c1ec (__TEXT,__text) external __ZN19IOHistogramReporter4withEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffa1e97c29c (__TEXT,__text) external __ZN19IOHistogramReporter8initWithEP9IOServicetyPKcyiP24IOHistogramSegmentConfig
00007ffa1e984562 (__TEXT,__text) external __ZN19IOReporterMetaClass3NewEP8OSObject
00007ffa1e981a1a (__TEXT,__text) external __ZN20IOEventLinkMetaClass3NewEP8OSObject
00007ffa1e981b66 (__TEXT,__text) external __ZN20IOEventLinkMetaClass8DispatchE5IORPC
00007ffa1e982640 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10AppendDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffa1e9824f8 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10InsertDataEP6OSDataPFiP15OSMetaClassBase5IORPCE
00007ffa1e9828f6 (__TEXT,__text) external __ZN20IOExtensiblePaniclog10SetUsedLenEjPFiP15OSMetaClassBase5IORPCE
00007ffa1e96d4f2 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11ClaimBufferEPyS0_
00007ffa1e9823c0 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11SetInactiveEPFiP15OSMetaClassBase5IORPCE
00007ffa1e96d5c2 (__TEXT,__text) external __ZN20IOExtensiblePaniclog11YieldBufferEj
00007ffa1e982a34 (__TEXT,__text) external __ZN20IOExtensiblePaniclog13Create_InvokeE5IORPCPFiP6OSDataP8OSStringjjPPS_E
00007ffa1e982b2a (__TEXT,__text) external __ZN20IOExtensiblePaniclog16SetActive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffa1e982cca (__TEXT,__text) external __ZN20IOExtensiblePaniclog17AppendData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00007ffa1e982c0e (__TEXT,__text) external __ZN20IOExtensiblePaniclog17InsertData_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDataE
00007ffa1e982e08 (__TEXT,__text) external __ZN20IOExtensiblePaniclog17SetUsedLen_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffa1e982b9c (__TEXT,__text) external __ZN20IOExtensiblePaniclog18SetInactive_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffa1e982788 (__TEXT,__text) external __ZN20IOExtensiblePaniclog20CopyMemoryDescriptorEPP24IOBufferMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffa1e982d86 (__TEXT,__text) external __ZN20IOExtensiblePaniclog27CopyMemoryDescriptor_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP24IOBufferMemoryDescriptorE
00007ffa1e96d49a (__TEXT,__text) external __ZN20IOExtensiblePaniclog4freeEv
00007ffa1e96d452 (__TEXT,__text) external __ZN20IOExtensiblePaniclog4initEv
00007ffa1e98212a (__TEXT,__text) external __ZN20IOExtensiblePaniclog6CreateEP6OSDataP8OSStringjjPPS_
00007ffa1e9820b0 (__TEXT,__text) external __ZN20IOExtensiblePaniclog8DispatchE5IORPC
00007ffa1e982288 (__TEXT,__text) external __ZN20IOExtensiblePaniclog9SetActiveEPFiP15OSMetaClassBase5IORPCE
00007ffa1e9820e6 (__TEXT,__text) external __ZN20IOExtensiblePaniclog9_DispatchEPS_5IORPC
00007ffa1e9842ce (__TEXT,__text) external __ZN20IOMemoryMapMetaClass3NewEP8OSObject
00007ffa1e984344 (__TEXT,__text) external __ZN20IOMemoryMapMetaClass8DispatchE5IORPC
00007ffa1e98c7e2 (__TEXT,__text) external __ZN20IOWorkGroupMetaClass3NewEP8OSObject
00007ffa1e98c92e (__TEXT,__text) external __ZN20IOWorkGroupMetaClass8DispatchE5IORPC
00007ffa1e98d4e8 (__TEXT,__text) external __ZN20OSContainerMetaClass3NewEP8OSObject
00007ffa1e97f318 (__TEXT,__text) external __ZN21IODMACommandMetaClass3NewEP8OSObject
00007ffa1e97f38e (__TEXT,__text) external __ZN21IODMACommandMetaClass8DispatchE5IORPC
00007ffa1e97d708 (__TEXT,__text) external __ZN21IOStateReporter_IVars14_getStateValueEyy29IOStateReporter_valueSelector
00007ffa1e97cfee (__TEXT,__text) external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_
00007ffa1e990a2a (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16_getStateIndicesEyyPiS0_.cold.1
00007ffa1e97d45c (__TEXT,__text) external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy
00007ffa1e990a67 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars16handleSetStateIDEyiy.cold.1
00007ffa1e97cf3e (__TEXT,__text) external __ZN21IOStateReporter_IVars17handleSwapCleanupEi
00007ffa1e990983 (__TEXT,__text) non-external __ZN21IOStateReporter_IVars17handleSwapCleanupEi.cold.1
