00000001d98fb4a4 (__TEXT,__text) non-external +[NFPromise new]
00000001ecb323c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00000001ecb323c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._lock
00000001ecb32394 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00000001ecb3231c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00000001ecb32324 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00000001ecb32320 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00000001ecb3236c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00000001ecb32374 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
00000001ecb3237c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._handlers
00000001ecb32380 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._lock
00000001ecb32378 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._state
00000001ecb32370 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._value
00000001ecb32390 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentNetworkPath
00000001ecb32384 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentReachabilityStatus
00000001ecb3238c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._networkPathMonitor
00000001ecb32388 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._observationQueue
00000001ecb32354 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._events
00000001ecb32358 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._lock
00000001ecb3234c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._owner
00000001ecb32348 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._state
00000001ecb32350 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._states
00000001ecb32344 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._status
00000001ecb3235c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._statusToken
00000001ecb323a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._destinationState
00000001ecb323a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._fireBlock
00000001ecb32398 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._name
00000001ecb3239c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._states
00000001ecb323ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._canTryBlock
00000001ecb323bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didEnterBlock
00000001ecb323b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didExitBlock
00000001ecb323a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._name
00000001ecb323b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willEnterBlock
00000001ecb323b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willExitBlock
00000001ecb32318 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._context
00000001ecb3230c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._event
00000001ecb32310 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._fromState
00000001ecb32308 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._stateMachine
00000001ecb32314 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._toState
00000001ecb32300 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLock
00000001ecb32304 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLockOptions
00000001edcec220 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFArchiver
00000001edcebfa0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventManager
00000001edcebf78 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventTrigger
00000001edcebf50 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFLazy
00000001edcec298 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMultiDelegate
00000001edcebf28 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMutexLock
00000001edcec1f8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPendingPromise
00000001edcebf00 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromise
00000001edcebed8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromiseSeal
00000001edcebeb0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFReachability
00000001edcebe88 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachine
00000001edcebe60 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineEvent
00000001edcebe38 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineState
00000001edcebe10 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineTransition
00000001edcebde8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFUnfairLock
00000001edcebdc0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFVoid
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001d98f942c (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d98f944c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001d98f9460 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001d98f947c (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001d98f9488 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
                 (undefined) external _SCNetworkReachabilityCreateWithAddress (from SystemConfiguration)
                 (undefined) external _SCNetworkReachabilityGetFlags (from SystemConfiguration)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001d99016e0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSError_$_NFStateMachine
00000001d99016f8 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSKeyedUnarchiver_$_FRAdditions
00000001d9901730 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSObject_$_NFAdditions
00000001d9901750 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSValue_$_NFAdditions
00000001d9901770 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSError_$_NFStateMachine
00000001d9901788 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSKeyedUnarchiver_$_FRAdditions
00000001d99017a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSString_$_NFAdditions
00000001d99017c0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSUserDefaults_$_NFAdditions
00000001d99017d8 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSValue_$_NFAdditions
00000001f56a5218 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSError_$_NFStateMachine
00000001f56a55b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSKeyedUnarchiver_$_FRAdditions
00000001f56a5818 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSObject_$_NFAdditions
00000001f56a5858 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSString_$_NFAdditions
00000001f56a5448 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSUserDefaults_$_NFAdditions
00000001f56a60b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSValue_$_NFAdditions
00000001d99017f8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00000001d9901860 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFReachability
00000001d9901880 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFArchiver
00000001d99018a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventManager
00000001d9901948 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventTrigger
00000001d99019a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFLazy
00000001d99019f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMultiDelegate
00000001d9901ab8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMutexLock
00000001d9901b08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPendingPromise
00000001d9901b70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00000001d9901cb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromiseSeal
00000001d9901da8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFReachability
00000001d9901e50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachine
00000001d9901f88 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineEvent
00000001d9902048 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineState(Private)
00000001d9902198 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineTransition
00000001d9902240 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFUnfairLock
00000001d99022a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFVoid
00000001f56a4dd0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventManager
00000001f56a4ed0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventTrigger
00000001f56a54d0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFLazy
00000001f56a5fc0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMultiDelegate
00000001f56a5be8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMutexLock
00000001f56a4ca0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPendingPromise
00000001f56a5640 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromise
00000001f56a58e0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromiseSeal
00000001f56a5a70 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFReachability
00000001f56a52a0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachine
00000001f56a5ca0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineEvent
00000001f56a5e00 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineState
00000001f56a4b10 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineTransition
00000001f56a4a38 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFUnfairLock
00000001f56a5188 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFArchiver
00000001f56a4e18 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventManager
00000001f56a4f78 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventTrigger
00000001f56a5538 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFLazy
00000001f56a6028 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFMultiDelegate
00000001f56a4d08 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPendingPromise
00000001f56a5668 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromise
00000001f56a5988 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromiseSeal
00000001f56a5af8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFReachability
00000001f56a5388 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachine
00000001f56a5d28 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineEvent
00000001f56a5ec8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineState
00000001f56a4bb8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineTransition
00000001f56a5018 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d99022b8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NFArchiver
00000001d99022d8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001d99022f0 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00000001d9902310 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d9902400 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001f56a5118 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NFArchiver
00000001f56a5768 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001f56a49b0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00000001f56a5060 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001f56a5100 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFArchiver
00000001f56a49c0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00000001f56a5128 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFArchiver
00000001f56a5b88 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFMutexLock
00000001f56a49d8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFUnfairLock
00000001f56a5770 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFVoid
00000001f56a51d0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFArchiver
00000001f56a4e40 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventManager
00000001f56a4fd0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventTrigger
00000001f56a5570 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFLazy
00000001f56a6070 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMultiDelegate
00000001f56a5c10 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMutexLock
00000001f56a4d40 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPendingPromise
00000001f56a5720 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromise
00000001f56a59e0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromiseSeal
00000001f56a5b40 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFReachability
00000001f56a5400 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachine
00000001f56a5d70 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineEvent
00000001f56a5f30 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineState
00000001f56a4c10 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineTransition
00000001f56a4a80 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFUnfairLock
00000001f56a57d0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFVoid
00000001e86df338 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFArchiver
00000001e86df328 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFLocking
00000001e86df340 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001e86df320 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSLocking
00000001e86df330 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001f56a5140 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFArchiver
00000001f56a4d88 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventManager
00000001f56a4e88 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventTrigger
00000001f56a5488 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFLazy
00000001f56a5f78 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMultiDelegate
00000001f56a5ba0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMutexLock
00000001f56a4c58 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPendingPromise
00000001f56a55f8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromise
00000001f56a5898 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromiseSeal
00000001f56a5a28 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFReachability
00000001f56a5258 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachine
00000001f56a5c58 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineEvent
00000001f56a5db8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineState
00000001f56a4ac8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineTransition
00000001f56a49f0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFUnfairLock
00000001f56a5788 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFVoid
00000001ecb324f0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFArchiver
00000001ecb32430 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFLocking
00000001ecb32568 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000001ecb323d0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSLocking
00000001ecb32490 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001d9900558 (__TEXT,__text) external __UIValueCGPointValue
00000001d99003b4 (__TEXT,__text) external __UIValueCGRectValue
                 (undefined) external __Unwind_Resume (from libSystem)
00000001d98fbe6c (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke
00000001d98fbf2c (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke_2
00000001d98fbd58 (__TEXT,__text) non-external ___17-[NFPromise then]_block_invoke
00000001d98fc7ac (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke
00000001d98fc834 (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke_2
00000001d98fc104 (__TEXT,__text) non-external ___18-[NFPromise error]_block_invoke
00000001d98fbfb0 (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke
00000001d98fc080 (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke_2
00000001d98fbde0 (__TEXT,__text) non-external ___19-[NFPromise thenOn]_block_invoke
00000001d98fc8c8 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke
00000001d98fc99c (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke_2
00000001d98fc204 (__TEXT,__text) non-external ___20-[NFPromise errorOn]_block_invoke
00000001d98fc290 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke
00000001d98fc350 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_2
00000001d98fc434 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_3
00000001d98fc560 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke
00000001d98fc630 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_2
00000001d98fc714 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_3
00000001d98fe060 (__TEXT,__text) non-external ___22-[NFReachability init]_block_invoke
00000001d98f850c (__TEXT,__text) non-external ___24-[NFPendingPromise init]_block_invoke
00000001d98fb6d8 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke
00000001d98fb804 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_2
00000001d98fba18 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_3
00000001d98fbc58 (__TEXT,__text) non-external ___27-[NFPromise errorOn:error:]_block_invoke
00000001d98fb354 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke
00000001d98fb3b8 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke.16
00000001d98fded8 (__TEXT,__text) non-external ___32+[NFReachability sharedInstance]_block_invoke
00000001d98fd94c (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke
00000001d98fd9d4 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke_2
00000001d98feb60 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke
00000001d98ff2c4 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.13
00000001d98ff0a8 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.4
00000001d98ff1e4 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.8
00000001d98feed8 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2
00000001d98ff354 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.14
00000001d98ff180 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.5
00000001d98ff2b0 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.9
00000001d98fef78 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_3
00000001d98fd698 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke
00000001d98fd810 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke.11
00000001d98fd7fc (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke_2
00000001d98fe1cc (__TEXT,__text) non-external ___44-[NFReachability _updateCurrentNetworkPath:]_block_invoke
00000001d98fce5c (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke
00000001d98fcf40 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke_2
00000001d98fcc1c (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke
00000001d98fcd00 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke_2
00000001d98fa6ec (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke
00000001d98fa874 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.47
00000001d98fa884 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.51
00000001d9900e4c (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.51.cold.1
00000001d98fa8b4 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.58
00000001d98fa8fc (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.60
00000001d98fa764 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_2
00000001d98fa7dc (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_3
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001d990081c (__TEXT,__text) non-external ___NFDeviceHasExtendedColorDisplay_block_invoke
00000001d990065c (__TEXT,__text) non-external ___NFDevicePlatform_block_invoke
00000001d98f7fb8 (__TEXT,__text) non-external ___NFInternalBuild_block_invoke
00000001d98f8020 (__TEXT,__text) non-external ___NFStoreDemoMode_block_invoke
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00000001e86df208 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
00000001e86df1e0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001e86df228 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v16?08l
00000001e86df248 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_16?08l
00000001f56a42f0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
00000001f56a4140 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e8_16?08l
00000001f56a3ee0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
00000001f56a4050 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?08l
