0000000182bbf1d8 (__DATA,__data) external _NDR_record
0000000180aad0c0 (__TEXT,__text) external _coalition_ledger_set_logical_writes_limit
0000000180a9d530 (__TEXT,__text) external _coalition_policy_get
0000000180a9d55c (__TEXT,__text) external _coalition_policy_set
0000000180aacfac (__TEXT,__text) external _coalition_reap
0000000180aacf7c (__TEXT,__text) external _coalition_terminate
0000000180a9acf4 (__TEXT,__text) external _connect
0000000180a9ad20 (__TEXT,__text) external _connect$NOCANCEL
0000000180a9d588 (__TEXT,__text) external _connectx
0000000180a9d5b4 (__TEXT,__text) external _csops
0000000180a9d5e0 (__TEXT,__text) external _csops_audittoken
0000000180aad1a4 (__TEXT,__text) external _csr_check
0000000180aad1d4 (__TEXT,__text) external _csr_get_active_config
0000000180a9a5f4 (__TEXT,__text) external _debug_control_port_for_pid
0000000180aad3d0 (__TEXT,__text) external _debug_syscall_reject
0000000180aad2bc (__TEXT,__text) external _debug_syscall_reject_config
0000000182bbf1d0 (__DATA,__data) external _denap_boost_assertion_token
0000000180a9d60c (__TEXT,__text) external _disconnectx
0000000180aa1cd0 (__TEXT,__text) non-external _do_compat
0000000180a9d638 (__TEXT,__text) external _dup
0000000180a9d664 (__TEXT,__text) external _dup2
0000000180b94368 (__DATA_CONST,__const) non-external _err_codes_auth
0000000180b941f8 (__DATA_CONST,__const) non-external _err_codes_env_mgr
0000000180b94560 (__DATA_CONST,__const) non-external _err_codes_exception
0000000180b94238 (__DATA_CONST,__const) non-external _err_codes_execd
0000000180b94338 (__DATA_CONST,__const) non-external _err_codes_io
0000000180b93de0 (__DATA_CONST,__const) non-external _err_codes_kern
0000000180b94530 (__DATA_CONST,__const) non-external _err_codes_loader
0000000180b94918 (__DATA_CONST,__const) non-external _err_codes_mach_mig
0000000180b94890 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
0000000180b947d8 (__DATA_CONST,__const) non-external _err_codes_mach_send
0000000180b94500 (__DATA_CONST,__const) non-external _err_codes_machobj
0000000180b94798 (__DATA_CONST,__const) non-external _err_codes_mig
0000000180b94258 (__DATA_CONST,__const) non-external _err_codes_netmemory
0000000180b941d8 (__DATA_CONST,__const) non-external _err_codes_netname
0000000180b942a8 (__DATA_CONST,__const) non-external _err_codes_ns
0000000180b94750 (__DATA_CONST,__const) non-external _err_codes_rcv
0000000180b946f0 (__DATA_CONST,__const) non-external _err_codes_send
0000000180b94470 (__DATA_CONST,__const) non-external _err_codes_sunrpc
0000000180b94278 (__DATA_CONST,__const) non-external _err_codes_task_master
0000000180b94270 (__DATA_CONST,__const) non-external _err_codes_ufs
0000000180b93fa8 (__DATA_CONST,__const) non-external _err_codes_unix
0000000180b943b0 (__DATA_CONST,__const) non-external _err_codes_us
0000000180b94598 (__DATA_CONST,__const) non-external _err_codes_ux_signal
0000000180b94968 (__DATA_CONST,__const) non-external _err_codes_vm_reclaim
0000000180b94688 (__DATA_CONST,__const) non-external _err_codes_xkernel
0000000180b93ca0 (__DATA_CONST,__const) non-external _err_ipc_sub
0000000180b93d18 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
0000000180b93980 (__DATA_CONST,__const) non-external _err_os_sub
0000000180b93a20 (__DATA_CONST,__const) non-external _err_server_sub
0000000180acd000 (__TEXT,__const) non-external _err_us_sub
0000000180b93d90 (__DATA_CONST,__const) non-external _err_vm_sub
0000000182bbf2a8 (__DATA,__common) external _errno
0000000180ac83b0 (__TEXT,__text) external _etap_trace_thread
0000000180ab2e90 (__TEXT,__text) external _exc_server
0000000180ab2e5c (__TEXT,__text) external _exc_server_routine
0000000180ab24b8 (__TEXT,__text) external _exception_raise
0000000180ab2634 (__TEXT,__text) external _exception_raise_state
0000000180ab28a4 (__TEXT,__text) external _exception_raise_state_identity
0000000180a9d690 (__TEXT,__text) external _exchangedata
0000000180aa22d4 (__TEXT,__text) external _exclaves_audio_buffer_copyout
0000000180aa230c (__TEXT,__text) external _exclaves_audio_buffer_copyout_with_status
0000000180aa22a4 (__TEXT,__text) external _exclaves_audio_buffer_create
0000000180aa2270 (__TEXT,__text) external _exclaves_boot
0000000180aa2028 (__TEXT,__text) external _exclaves_endpoint_call
0000000180aa213c (__TEXT,__text) external _exclaves_inbound_buffer_copyin
0000000180aa210c (__TEXT,__text) external _exclaves_inbound_buffer_create
0000000180aa2414 (__TEXT,__text) external _exclaves_indicator_min_on_time
0000000180aa218c (__TEXT,__text) external _exclaves_launch_conclave
0000000180aa21d4 (__TEXT,__text) external _exclaves_lookup_service
0000000180aa217c (__TEXT,__text) external _exclaves_named_buffer_copyin
0000000180aa2184 (__TEXT,__text) external _exclaves_named_buffer_copyout
0000000180aa2174 (__TEXT,__text) external _exclaves_named_buffer_create
0000000180aa24ac (__TEXT,__text) external _exclaves_notification_create
0000000180aa20d4 (__TEXT,__text) external _exclaves_outbound_buffer_copyout
0000000180aa20a4 (__TEXT,__text) external _exclaves_outbound_buffer_create
0000000180aa2344 (__TEXT,__text) external _exclaves_sensor_create
0000000180aa2378 (__TEXT,__text) external _exclaves_sensor_start
0000000180aa23e0 (__TEXT,__text) external _exclaves_sensor_status
0000000180aa23ac (__TEXT,__text) external _exclaves_sensor_stop
0000000180aa8d6c (__TEXT,__text) external _execve
0000000180a9d6bc (__TEXT,__text) external _faccessat
0000000180a9d6e8 (__TEXT,__text) external _fchdir
0000000180a9d714 (__TEXT,__text) external _fchflags
0000000180aa6c44 (__TEXT,__text) external _fchmod
0000000180a9d740 (__TEXT,__text) external _fchmodat
0000000180a9d76c (__TEXT,__text) external _fchown
0000000180a9d798 (__TEXT,__text) external _fchownat
0000000180a9d7c4 (__TEXT,__text) external _fclonefileat
0000000180aa9420 (__TEXT,__text) external _fcntl
0000000180aa909c (__TEXT,__text) external _fcntl$NOCANCEL
0000000180a9d7f0 (__TEXT,__text) external _fdatasync
0000000180a9d81c (__TEXT,__text) external _ffsctl
0000000180a9d848 (__TEXT,__text) external _fgetattrlist
0000000180a9d874 (__TEXT,__text) external _fgetxattr
0000000180a9d8a0 (__TEXT,__text) external _fhopen
0000000180a9d8cc (__TEXT,__text) external _fileport_makefd
0000000180a9d8f8 (__TEXT,__text) external _fileport_makeport
0000000180a9d924 (__TEXT,__text) external _flistxattr
0000000180a9d950 (__TEXT,__text) external _flock
0000000180a9d97c (__TEXT,__text) external _fmount
0000000180a9d9a8 (__TEXT,__text) external _fpathconf
0000000180aa1b14 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
0000000180a9d9d4 (__TEXT,__text) external _freadlink
0000000180a9da00 (__TEXT,__text) external _fremovexattr
0000000180aad1e4 (__TEXT,__text) external _fs_snapshot_create
0000000180aad234 (__TEXT,__text) external _fs_snapshot_delete
0000000180aad200 (__TEXT,__text) external _fs_snapshot_list
0000000180aad2a4 (__TEXT,__text) external _fs_snapshot_mount
0000000180aad250 (__TEXT,__text) external _fs_snapshot_rename
0000000180aad26c (__TEXT,__text) external _fs_snapshot_revert
0000000180aad288 (__TEXT,__text) external _fs_snapshot_root
0000000180a9da2c (__TEXT,__text) external _fsctl
0000000180a9da58 (__TEXT,__text) external _fsetattrlist
0000000180a9da84 (__TEXT,__text) external _fsetxattr
0000000180a9dab0 (__TEXT,__text) external _fsgetpath
0000000180a9dadc (__TEXT,__text) external _fsgetpath_ext
0000000180a9db08 (__TEXT,__text) external _fstat
0000000180a9db08 (__TEXT,__text) external _fstat64
0000000180a9db34 (__TEXT,__text) external _fstatat
0000000180a9db34 (__TEXT,__text) external _fstatat64
0000000180a9db60 (__TEXT,__text) external _fstatfs
0000000180a9db60 (__TEXT,__text) external _fstatfs64
0000000180aa67cc (__TEXT,__text) external _fstatfs_ext
0000000180a9db8c (__TEXT,__text) external _fsync
0000000180a9b058 (__TEXT,__text) external _fsync$NOCANCEL
0000000180a9dbb8 (__TEXT,__text) external _ftruncate
0000000180aa60e8 (__TEXT,__text) external _futimens
0000000180a9dbe4 (__TEXT,__text) external _futimes
0000000182bbf1e0 (__DATA,__crash_info) non-external _gCRAnnotations
0000000180a9b084 (__TEXT,__text) external _getattrlist
0000000180a9dc10 (__TEXT,__text) external _getattrlistat
0000000180a9dc3c (__TEXT,__text) external _getattrlistbulk
0000000180ab1880 (__TEXT,__text) external _getaudit
0000000180a9dc68 (__TEXT,__text) external _getaudit_addr
0000000180a9dc94 (__TEXT,__text) external _getauid
0000000180a9dcc0 (__TEXT,__text) external _getdirentries
0000000180a9dcec (__TEXT,__text) external _getdirentriesattr
0000000180a9dd18 (__TEXT,__text) external _getdtablesize
0000000180a9dd44 (__TEXT,__text) external _getegid
0000000180a9dd70 (__TEXT,__text) external _getentropy
0000000180a9dd9c (__TEXT,__text) external _geteuid
0000000180a9ddc8 (__TEXT,__text) external _getfh
0000000180a9ddf4 (__TEXT,__text) external _getfsstat
0000000180a9ddf4 (__TEXT,__text) external _getfsstat64
0000000180a9de20 (__TEXT,__text) external _getgid
0000000180a9de4c (__TEXT,__text) external _getgroups
0000000180aa5cf4 (__TEXT,__text) external _gethostuuid
0000000180aa38b0 (__TEXT,__text) external _getiopolicy_np
0000000180a9de78 (__TEXT,__text) external _getitimer
0000000180a9b134 (__TEXT,__text) external _getpeername
0000000180a9dea4 (__TEXT,__text) external _getpgid
0000000180a9ded0 (__TEXT,__text) external _getpgrp
0000000180a9b160 (__TEXT,__text) external _getpid
0000000180a9defc (__TEXT,__text) external _getppid
0000000180a9df28 (__TEXT,__text) external _getpriority
0000000180aa95c4 (__TEXT,__text) external _getrlimit
0000000180a9df54 (__TEXT,__text) external _getrusage
0000000180a9b1dc (__TEXT,__text) external _getsgroups_np
0000000180a9df80 (__TEXT,__text) external _getsid
0000000180a9b208 (__TEXT,__text) external _getsockname
0000000180a9dfac (__TEXT,__text) external _getsockopt
0000000180a9dfd8 (__TEXT,__text) external _getuid
0000000180a9b2bc (__TEXT,__text) external _getwgroups_np
0000000180a9e004 (__TEXT,__text) external _getxattr
0000000180a9e030 (__TEXT,__text) external _grab_pgo_data
0000000180a9e05c (__TEXT,__text) external _graftdmg
0000000180a9e088 (__TEXT,__text) external _guarded_close_np
0000000180a9e0b4 (__TEXT,__text) external _guarded_kqueue_np
0000000180aa1b90 (__TEXT,__text) external _guarded_open_dprotected_np
0000000180ab1cdc (__TEXT,__text) external _guarded_open_np
0000000180a9e0e0 (__TEXT,__text) external _guarded_pwrite_np
0000000180a9e10c (__TEXT,__text) external _guarded_write_np
0000000180a9e138 (__TEXT,__text) external _guarded_writev_np
0000000180ad080f (__TEXT,__cstring) non-external _hex
0000000180aa1be0 (__TEXT,__text) external _host_check_multiuser_mode
0000000180aa1be8 (__TEXT,__text) external _host_create_mach_voucher
0000000180a9a564 (__TEXT,__text) external _host_create_mach_voucher_trap
0000000180ab3474 (__TEXT,__text) external _host_default_memory_manager
0000000180ab4fa4 (__TEXT,__text) external _host_get_UNDServer
0000000180aa1bc0 (__TEXT,__text) external _host_get_atm_diagnostic_flag
0000000180ab2f20 (__TEXT,__text) external _host_get_boot_info
0000000180ab3b44 (__TEXT,__text) external _host_get_clock_control
0000000180ab5fb4 (__TEXT,__text) external _host_get_clock_service
0000000180ab447c (__TEXT,__text) external _host_get_exception_ports
0000000180ab5e58 (__TEXT,__text) external _host_get_io_main
0000000180aa1c60 (__TEXT,__text) external _host_get_io_master
0000000180aa1bd8 (__TEXT,__text) external _host_get_multiuser_config_flags
0000000180ab40b8 (__TEXT,__text) external _host_get_special_port
0000000180ab55c4 (__TEXT,__text) external _host_info
0000000180ab57e4 (__TEXT,__text) external _host_kernel_version
0000000180ab6bdc (__TEXT,__text) external _host_lockgroup_info
0000000180aa1f1c (__TEXT,__text) external _host_page_size
0000000180ab3254 (__TEXT,__text) external _host_priv_statistics
0000000180ab5cbc (__TEXT,__text) external _host_processor_info
0000000180ab4d18 (__TEXT,__text) external _host_processor_set_priv
0000000180ab4b98 (__TEXT,__text) external _host_processor_sets
0000000180ab39c4 (__TEXT,__text) external _host_processors
0000000180ab3138 (__TEXT,__text) external _host_reboot
0000000180ab747c (__TEXT,__text) external _host_register_mach_voucher_attr_manager
0000000180ab7608 (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
0000000180ab6ab0 (__TEXT,__text) external _host_request_notification
0000000180ab52e8 (__TEXT,__text) external _host_security_create_task_token
0000000180ab5484 (__TEXT,__text) external _host_security_set_task_token
0000000180aa371c (__TEXT,__text) external _host_self
0000000180a9a414 (__TEXT,__text) external _host_self_trap
0000000180ab4e88 (__TEXT,__text) external _host_set_UNDServer
0000000180ab7788 (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000180ab434c (__TEXT,__text) external _host_set_exception_ports
0000000180ab7ab8 (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180ab4220 (__TEXT,__text) external _host_set_special_port
0000000180ab6890 (__TEXT,__text) external _host_statistics
0000000180ab6d6c (__TEXT,__text) external _host_statistics64
0000000180ab4740 (__TEXT,__text) external _host_swap_exception_ports
0000000180ab62a0 (__TEXT,__text) external _host_virtual_physical_table_info
0000000182bbf1b8 (__DATA,__data) external _important_boost_assertion_token
0000000182c4ed50 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
0000000180aa1a08 (__TEXT,__text) non-external _internal_catch_exception_raise
0000000182bbf1a8 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
0000000180aa18dc (__TEXT,__text) non-external _internal_catch_exception_raise_state
0000000182bbf1a0 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
0000000180aa179c (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
0000000182bbf198 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
0000000180aa9644 (__TEXT,__text) external _ioctl
0000000180a9e164 (__TEXT,__text) external _issetugid
0000000182bbf240 (__DATA,__bss) non-external _kAccountingThreshold
0000000180a9e190 (__TEXT,__text) external _kas_info
0000000180aad4b4 (__TEXT,__text) external _kdebug_is_enabled
0000000180aad6a0 (__TEXT,__text) external _kdebug_signpost
0000000180aad768 (__TEXT,__text) external _kdebug_signpost_end
0000000180aad6a8 (__TEXT,__text) non-external _kdebug_signpost_internal
0000000180aad75c (__TEXT,__text) external _kdebug_signpost_start
0000000180aad528 (__TEXT,__text) external _kdebug_timestamp
0000000180aad540 (__TEXT,__text) external _kdebug_timestamp_from_absolute
0000000180aad55c (__TEXT,__text) external _kdebug_timestamp_from_continuous
0000000180aad578 (__TEXT,__text) external _kdebug_trace
0000000180aad5f8 (__TEXT,__text) external _kdebug_trace_string
0000000180aad430 (__TEXT,__text) external _kdebug_typefilter
0000000182bbf268 (__DATA,__bss) non-external _kdebug_typefilter.typefilter
0000000180aad514 (__TEXT,__text) external _kdebug_using_continuous_time
0000000180a9e1bc (__TEXT,__text) external _kevent
0000000180a9e1e8 (__TEXT,__text) external _kevent64
0000000180a9e214 (__TEXT,__text) external _kevent_id
0000000180a9e240 (__TEXT,__text) external _kevent_qos
0000000180ab5100 (__TEXT,__text) external _kext_request
0000000180aacf60 (__TEXT,__text) external _kill
0000000180ab3f18 (__TEXT,__text) external _kmod_control
0000000180ab3cb0 (__TEXT,__text) external _kmod_create
0000000180ab3dfc (__TEXT,__text) external _kmod_destroy
0000000180ab6120 (__TEXT,__text) external _kmod_get_info
0000000180ab196c (__TEXT,__text) external _kpersona_alloc
0000000180ab19ec (__TEXT,__text) external _kpersona_dealloc
0000000180ab1b3c (__TEXT,__text) external _kpersona_find
0000000180ab1c24 (__TEXT,__text) external _kpersona_find_by_type
0000000180ab1a30 (__TEXT,__text) external _kpersona_get
0000000180ab1a70 (__TEXT,__text) external _kpersona_getpath
0000000180ab1ab4 (__TEXT,__text) external _kpersona_info
0000000180ab19ac (__TEXT,__text) external _kpersona_palloc
0000000180ab1af8 (__TEXT,__text) external _kpersona_pidinfo
0000000180a9e26c (__TEXT,__text) external _kqueue
0000000180a9b4f8 (__TEXT,__text) external _lchown
0000000180a9e298 (__TEXT,__text) external _ledger
0000000180a9e2c4 (__TEXT,__text) external _link
0000000180a9e2f0 (__TEXT,__text) external _linkat
0000000180a9e31c (__TEXT,__text) external _lio_listio
0000000180a9b524 (__TEXT,__text) external _listen
0000000180a9e348 (__TEXT,__text) external _listxattr
0000000180ac2000 (__TEXT,__text) external _lock_set_create
0000000180ac2168 (__TEXT,__text) external _lock_set_destroy
0000000180aa6c40 (__TEXT,__text) external _log_data_as_kernel
0000000180a9b57c (__TEXT,__text) external _lseek
0000000180a9e374 (__TEXT,__text) external _lstat
0000000180a9e374 (__TEXT,__text) external _lstat64
0000000180a9a2a0 (__TEXT,__text) external _mach_absolute_time
0000000180a9a324 (__TEXT,__text) external _mach_absolute_time_kernel
0000000180aa5cd8 (__TEXT,__text) external _mach_approximate_time
0000000180aa5dd0 (__TEXT,__text) external _mach_boottime_usec
0000000180aa16e8 (__TEXT,__text) external _mach_continuous_approximate_time
0000000180aa1670 (__TEXT,__text) external _mach_continuous_time
0000000180a9a330 (__TEXT,__text) external _mach_continuous_time_kernel
0000000180aa1e94 (__TEXT,__text) external _mach_error
0000000182bbf280 (__DATA,__common) external _mach_error_full_diag
0000000180aa1e70 (__TEXT,__text) external _mach_error_string
0000000180aa1d68 (__TEXT,__text) non-external _mach_error_string_int
0000000180aa1c64 (__TEXT,__text) external _mach_error_type
0000000180acb694 (__TEXT,__text) external _mach_eventlink_associate
0000000180acb3dc (__TEXT,__text) external _mach_eventlink_create
0000000180acb578 (__TEXT,__text) external _mach_eventlink_destroy
0000000180acb7d4 (__TEXT,__text) external _mach_eventlink_disassociate
0000000180aa604c (__TEXT,__text) external _mach_eventlink_signal
0000000180aa60a8 (__TEXT,__text) external _mach_eventlink_signal_wait_until
0000000180aa6068 (__TEXT,__text) external _mach_eventlink_wait_until
0000000180a9a4b0 (__TEXT,__text) external _mach_generate_activity_id
0000000180aa9240 (__TEXT,__text) external _mach_get_times
0000000180aa3b04 (__TEXT,__text) external _mach_host_self
0000000180a9fff0 (__TEXT,__text) external _mach_host_special_port_description
0000000180b937e0 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
0000000180aa0050 (__TEXT,__text) external _mach_host_special_port_for_id
0000000182bbf020 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
0000000180aa1f30 (__TEXT,__text) external _mach_init
0000000182bbf230 (__DATA,__bss) non-external _mach_init.mach_init_inited
0000000180aa1f68 (__TEXT,__text) non-external _mach_init_doit
0000000180abd44c (__TEXT,__text) external _mach_make_memory_entry
0000000180aca894 (__TEXT,__text) external _mach_make_memory_entry_64
0000000180acb130 (__TEXT,__text) external _mach_memory_entry_access_tracking
0000000180acb2ac (__TEXT,__text) external _mach_memory_entry_ownership
0000000180acafd8 (__TEXT,__text) external _mach_memory_entry_purgable_control
0000000180ab78a4 (__TEXT,__text) external _mach_memory_info
0000000180ab5b34 (__TEXT,__text) external _mach_memory_object_memory_entry
0000000180ab6708 (__TEXT,__text) external _mach_memory_object_memory_entry_64
0000000180aa2650 (__TEXT,__text) external _mach_msg
0000000180aa254c (__TEXT,__text) external _mach_msg2_internal
0000000180a9a4e0 (__TEXT,__text) external _mach_msg2_trap
0000000180aa2900 (__TEXT,__text) external _mach_msg_destroy
0000000180aa2a44 (__TEXT,__text) non-external _mach_msg_destroy_port
0000000180aa2674 (__TEXT,__text) external _mach_msg_overwrite
0000000180a9a42c (__TEXT,__text) external _mach_msg_overwrite_trap
0000000180aa3214 (__TEXT,__text) external _mach_msg_priority_encode
0000000180aa3204 (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
0000000180aa3248 (__TEXT,__text) external _mach_msg_priority_overide_qos
0000000180aa3258 (__TEXT,__text) external _mach_msg_priority_qos
0000000180aa3268 (__TEXT,__text) external _mach_msg_priority_relpri
0000000180aa28c4 (__TEXT,__text) external _mach_msg_receive
0000000180aa2888 (__TEXT,__text) external _mach_msg_send
0000000180aa2e88 (__TEXT,__text) external _mach_msg_server
0000000180aa2e20 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
0000000180aa31f0 (__TEXT,__text) external _mach_msg_server_importance
0000000180aa2b50 (__TEXT,__text) external _mach_msg_server_once
0000000180a9a420 (__TEXT,__text) external _mach_msg_trap
0000000180abe684 (__TEXT,__text) external _mach_notify_dead_name
0000000180abe5c0 (__TEXT,__text) external _mach_notify_no_senders
0000000180abe4e4 (__TEXT,__text) external _mach_notify_port_deleted
0000000180abe54c (__TEXT,__text) external _mach_notify_port_destroyed
0000000180abe628 (__TEXT,__text) external _mach_notify_send_once
0000000180ab0724 (__TEXT,__text) external _mach_port_allocate
0000000180ab0aa8 (__TEXT,__text) external _mach_port_allocate_full
0000000180ab0720 (__TEXT,__text) external _mach_port_allocate_name
0000000180ab0aa4 (__TEXT,__text) external _mach_port_allocate_qos
0000000180ab10b4 (__TEXT,__text) external _mach_port_assert_attributes
0000000180ab0ecc (__TEXT,__text) external _mach_port_construct
0000000180ab0798 (__TEXT,__text) external _mach_port_deallocate
0000000180ab0794 (__TEXT,__text) external _mach_port_destroy
0000000180ab0b64 (__TEXT,__text) external _mach_port_destruct
0000000180ab0d58 (__TEXT,__text) external _mach_port_dnrequest_info
0000000180ab0e10 (__TEXT,__text) external _mach_port_extract_member
0000000180ab0a0c (__TEXT,__text) external _mach_port_extract_right
0000000180ab0a14 (__TEXT,__text) external _mach_port_get_attributes
0000000180ab0e80 (__TEXT,__text) external _mach_port_get_context
0000000180ab07f4 (__TEXT,__text) external _mach_port_get_refs
0000000180ab10b0 (__TEXT,__text) external _mach_port_get_service_port_info
0000000180ab0878 (__TEXT,__text) external _mach_port_get_set_status
0000000180ab0ab0 (__TEXT,__text) external _mach_port_get_srights
0000000180ab0f44 (__TEXT,__text) external _mach_port_guard
0000000180ab10a4 (__TEXT,__text) external _mach_port_guard_with_flags
0000000180ab0da0 (__TEXT,__text) external _mach_port_insert_member
0000000180ab0994 (__TEXT,__text) external _mach_port_insert_right
0000000180ab10ac (__TEXT,__text) external _mach_port_is_connection_for_service
0000000180ab0d5c (__TEXT,__text) external _mach_port_kernel_object
0000000180ab0ec4 (__TEXT,__text) external _mach_port_kobject
0000000180ab0ec8 (__TEXT,__text) external _mach_port_kobject_description
0000000180ab07f8 (__TEXT,__text) external _mach_port_mod_refs
0000000180ab087c (__TEXT,__text) external _mach_port_move_member
0000000180ab06a8 (__TEXT,__text) external _mach_port_names
0000000180ab0870 (__TEXT,__text) external _mach_port_peek
0000000180ab071c (__TEXT,__text) external _mach_port_rename
0000000180ab08ec (__TEXT,__text) external _mach_port_request_notification
0000000180ab0aa0 (__TEXT,__text) external _mach_port_set_attributes
0000000180ab0ec0 (__TEXT,__text) external _mach_port_set_context
0000000180ab0874 (__TEXT,__text) external _mach_port_set_mscount
0000000180ab0a10 (__TEXT,__text) external _mach_port_set_seqno
0000000180ab0ab8 (__TEXT,__text) external _mach_port_space_basic_info
0000000180ab0ab4 (__TEXT,__text) external _mach_port_space_info
0000000180ab10a8 (__TEXT,__text) external _mach_port_swap_guard
0000000180ab06ac (__TEXT,__text) external _mach_port_type
0000000180ab0fbc (__TEXT,__text) external _mach_port_unguard
0000000180aa5eb8 (__TEXT,__text) external _mach_ports_lookup
0000000180aa5e34 (__TEXT,__text) external _mach_ports_register
0000000180a9a3f0 (__TEXT,__text) external _mach_reply_port
0000000180aa3b98 (__TEXT,__text) external _mach_right_recv_construct
0000000180aa3c70 (__TEXT,__text) external _mach_right_recv_destruct
0000000180aa3d08 (__TEXT,__text) external _mach_right_send_create
0000000180aa3efc (__TEXT,__text) external _mach_right_send_once_consume
0000000180aa3e90 (__TEXT,__text) external _mach_right_send_once_create
0000000180aa3de4 (__TEXT,__text) external _mach_right_send_release
0000000180aa3d70 (__TEXT,__text) external _mach_right_send_retain
0000000180ab0c38 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
0000000180ab0ce4 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
0000000180aa5de0 (__TEXT,__text) external _mach_task_is_self
0000000180aa3b08 (__TEXT,__text) external _mach_task_self
0000000182bbf910 (__DATA,__common) external _mach_task_self_
0000000180aa0010 (__TEXT,__text) external _mach_task_special_port_description
0000000180b93900 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
0000000180aa0118 (__TEXT,__text) external _mach_task_special_port_for_id
0000000182bbf118 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
0000000180aa3b0c (__TEXT,__text) external _mach_thread_self
0000000180aa0030 (__TEXT,__text) external _mach_thread_special_port_description
0000000180b93960 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
0000000180aa0128 (__TEXT,__text) external _mach_thread_special_port_for_id
0000000182bbf178 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
0000000180aad3d8 (__TEXT,__text) external _mach_timebase_info
0000000182bbf260 (__DATA,__bss) non-external _mach_timebase_info.cached_info
0000000180a9a5a0 (__TEXT,__text) external _mach_timebase_info_trap
0000000180ab10b8 (__TEXT,__text) external _mach_vm_allocate
0000000180abc908 (__TEXT,__text) external _mach_vm_behavior_set
0000000180abc57c (__TEXT,__text) external _mach_vm_copy
0000000180ab116c (__TEXT,__text) external _mach_vm_deallocate
0000000180abdc20 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_allocate
0000000180abdd78 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_flush
0000000180abe164 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_resize
0000000180abde98 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
0000000180abc01c (__TEXT,__text) external _mach_vm_inherit
0000000180abcbb4 (__TEXT,__text) external _mach_vm_machine_attribute
0000000180ab12e8 (__TEXT,__text) external _mach_vm_map
0000000180abc7e8 (__TEXT,__text) external _mach_vm_msync
0000000180abd738 (__TEXT,__text) external _mach_vm_page_info
0000000180abce9c (__TEXT,__text) external _mach_vm_page_query
0000000180abd924 (__TEXT,__text) external _mach_vm_page_range_query
0000000180ab1214 (__TEXT,__text) external _mach_vm_protect
0000000180ab1800 (__TEXT,__text) external _mach_vm_purgable_control
0000000180abdfb4 (__TEXT,__text) external _mach_vm_range_create
0000000180ab155c (__TEXT,__text) external _mach_vm_read
0000000180abc2c4 (__TEXT,__text) external _mach_vm_read_list
0000000180abc698 (__TEXT,__text) external _mach_vm_read_overwrite
0000000180aa4500 (__TEXT,__text) external _mach_vm_reclaim_is_reusable
0000000180aa447c (__TEXT,__text) external _mach_vm_reclaim_query_state
0000000180aa3fac (__TEXT,__text) external _mach_vm_reclaim_ring_allocate
0000000180aa4510 (__TEXT,__text) external _mach_vm_reclaim_ring_capacity
0000000180aa453c (__TEXT,__text) external _mach_vm_reclaim_ring_flush
0000000180aa4058 (__TEXT,__text) external _mach_vm_reclaim_ring_resize
0000000180aa40b8 (__TEXT,__text) external _mach_vm_reclaim_round_capacity
0000000180aa42ac (__TEXT,__text) external _mach_vm_reclaim_try_cancel
0000000180aa4104 (__TEXT,__text) external _mach_vm_reclaim_try_enter
0000000180aa44ec (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
0000000180abd21c (__TEXT,__text) external _mach_vm_region
0000000180abd000 (__TEXT,__text) external _mach_vm_region_recurse
0000000180ab1424 (__TEXT,__text) external _mach_vm_remap
0000000180ab14c0 (__TEXT,__text) external _mach_vm_remap_new
0000000180ab187c (__TEXT,__text) external _mach_vm_update_pointers_with_remote_tags
0000000180ab4a68 (__TEXT,__text) external _mach_vm_wire
0000000180abc448 (__TEXT,__text) external _mach_vm_write
0000000180acbfe8 (__TEXT,__text) external _mach_voucher_attr_command
0000000180aa31f4 (__TEXT,__text) external _mach_voucher_deallocate
