0000000205b9c778 (__DATA,__bss) non-external _A
00000001ff321be4 (__TEXT,__text) non-external _core_extensions_registration
00000001ff32e814 (__TEXT,__text) external _create_autolink_extension
00000001ff32fe44 (__TEXT,__text) external _create_strikethrough_extension
00000001ff32365c (__TEXT,__text) external _create_table_extension
00000001ff321b98 (__TEXT,__text) external _create_tagfilter_extension
00000001ff32da98 (__TEXT,__text) external _create_tasklist_extension
00000001ff343410 (__TEXT,__const) non-external _encode_unknown.repl
00000001ff3419bc (__TEXT,__text) non-external _escape
0000000206254ad0 (__DATA_DIRTY,__bss) non-external _extensions_lock
0000000206254ab0 (__DATA_DIRTY,__data) non-external _extensions_once
00000001ff34234c (__TEXT,__text) non-external _filter
00000001ff33c7b4 (__TEXT,__text) non-external _finalize
00000001ff342814 (__TEXT,__text) non-external _finalize.cold.1
00000001ff342840 (__TEXT,__text) non-external _finalize.cold.2
00000001ff33a2b4 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00000001ff33cef8 (__TEXT,__text) non-external _free_node_as
00000001ff341eb4 (__TEXT,__text) non-external _free_table_cell
                 (undefined) external _fwrite (from libSystem)
00000001ff32dc08 (__TEXT,__text) non-external _get_type_string
00000001ff32ff80 (__TEXT,__text) non-external _get_type_string
00000001ff340a54 (__TEXT,__text) non-external _get_type_string
00000001ff33fcfc (__TEXT,__text) external _houdini_escape_href
00000001ff345afe (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
00000001ff32c97c (__TEXT,__text) external _houdini_escape_html
00000001ff32c84c (__TEXT,__text) external _houdini_escape_html0
00000001ff33fe68 (__TEXT,__text) external _houdini_unescape_ent
00000001ff340128 (__TEXT,__text) external _houdini_unescape_html
00000001ff340254 (__TEXT,__text) external _houdini_unescape_html_f
00000001ff32ddb8 (__TEXT,__text) non-external _html_render
00000001ff3300d0 (__TEXT,__text) non-external _html_render
00000001ff34131c (__TEXT,__text) non-external _html_render
00000001ff3430b4 (__TEXT,__text) non-external _html_render.cold.1
00000001ff341f04 (__TEXT,__text) non-external _html_table_add_align
00000001ff3422dc (__TEXT,__text) non-external _init_arena
00000001ff3422cc (__TEXT,__text) non-external _initialize_arena
00000001ff32edb4 (__TEXT,__text) non-external _initialize_extensions
00000001ff330238 (__TEXT,__text) non-external _insert
00000001ff32ebbc (__TEXT,__text) non-external _is_valid_hostchar
00000001ff32fff4 (__TEXT,__text) non-external _latex_render
00000001ff340dc8 (__TEXT,__text) non-external _latex_render
00000001ff34305c (__TEXT,__text) non-external _latex_render.cold.1
00000001ff33e9a4 (__TEXT,__text) non-external _link_label
00000001ff342d2c (__TEXT,__text) non-external _link_label.cold.1
00000001ff342d54 (__TEXT,__text) non-external _link_label.cold.2
00000001ff342d7c (__TEXT,__text) non-external _link_label.cold.3
00000001ff342da4 (__TEXT,__text) non-external _link_label.cold.4
00000001ff342dcc (__TEXT,__text) non-external _link_label.cold.5
00000001ff33f4f4 (__TEXT,__text) non-external _make_autolink
00000001ff342fd8 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
00000001ff330028 (__TEXT,__text) non-external _man_render
00000001ff3410f0 (__TEXT,__text) non-external _man_render
00000001ff343088 (__TEXT,__text) non-external _man_render.cold.1
00000001ff33eca8 (__TEXT,__text) non-external _manual_scan_link_url
00000001ff31eaf8 (__TEXT,__text) non-external _match
00000001ff330114 (__TEXT,__text) non-external _match
00000001ff32db7c (__TEXT,__text) non-external _matches
00000001ff34098c (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
00000001ff33a310 (__TEXT,__text) external _normalize_map_label
00000001ff3425fc (__TEXT,__text) non-external _normalize_map_label.cold.1
00000001ff3418bc (__TEXT,__text) non-external _opaque_alloc
00000001ff341938 (__TEXT,__text) non-external _opaque_free
00000001ff32dc14 (__TEXT,__text) non-external _open_tasklist_item
00000001ff32b66c (__TEXT,__text) non-external _outc
00000001ff330814 (__TEXT,__text) non-external _outc
00000001ff340334 (__TEXT,__text) non-external _outc
00000001ff3300f0 (__TEXT,__text) non-external _plaintext_render
00000001ff32e8a0 (__TEXT,__text) non-external _postprocess
00000001ff321c74 (__TEXT,__text) non-external _postprocess_text
00000001ff323908 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
00000001ff33a578 (__TEXT,__text) non-external _refcmp
00000001ff33ae68 (__TEXT,__text) non-external _reference_free
00000001ff33a4f8 (__TEXT,__text) non-external _refsearch
00000001ff323648 (__TEXT,__text) non-external _register_plugins
0000000206254ac0 (__DATA_DIRTY,__data) non-external _registered_once
00000001ff33e604 (__TEXT,__text) non-external _remove_delimiter
00000001ff342be8 (__TEXT,__text) non-external _remove_delimiter.cold.1
00000001ff33cb64 (__TEXT,__text) non-external _resolve_reference_link_definitions
00000001ff341b68 (__TEXT,__text) non-external _row_from_string
00000002020ec570 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
00000001ff33cd30 (__TEXT,__text) non-external _sort_footnote_by_ix
00000001ff33eb94 (__TEXT,__text) non-external _spnl
00000001ff342df8 (__TEXT,__text) non-external _spnl.cold.1
00000001ff342e20 (__TEXT,__text) non-external _spnl.cold.2
00000001ff342e48 (__TEXT,__text) non-external _spnl.cold.3
00000001ff342e70 (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
0000000206254b10 (__DATA_DIRTY,__bss) non-external _syntax_extensions
00000001ff3214ac (__TEXT,__text) non-external _try_opening_table_block
00000001ff341de0 (__TEXT,__text) non-external _unescape_pipes
00000001ff343310 (__TEXT,__const) non-external _utf8proc_utf8class
00000001ff32249c (__TEXT,__text) non-external _xcalloc
00000001ff342494 (__TEXT,__text) non-external _xcalloc.cold.1
00000001ff323ee4 (__TEXT,__text) non-external _xfree
00000001ff32df3c (__TEXT,__text) non-external _xml_attr
00000001ff34101c (__TEXT,__text) non-external _xml_attr
00000001ff32c9b0 (__TEXT,__text) non-external _xrealloc
00000001ff3424c4 (__TEXT,__text) non-external _xrealloc.cold.1
