000000020c795b4c (__TEXT,__text) non-external _Done_iODBC
0000000217bd7870 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_STRING_FUNCTIONS
0000000217bd78b8 (__DATA_CONST,__const) non-external __mask_SQL_SQL92_VALUE_EXPRESSIONS
0000000217bd75b8 (__DATA_CONST,__const) non-external __mask_SQL_SQL_CONFORMANCE
0000000217bd78e0 (__DATA_CONST,__const) non-external __mask_SQL_STANDARD_CLI_CONFORMANCE
0000000217bd6df8 (__DATA_CONST,__const) non-external __mask_SQL_STATIC_SENSITIVITY
0000000217bd6a00 (__DATA_CONST,__const) non-external __mask_SQL_STRING_FUNCTIONS
0000000217bd6e18 (__DATA_CONST,__const) non-external __mask_SQL_SUBQUERIES
0000000217bd6ac8 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
0000000217bd6ae8 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
0000000217bd6b98 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
0000000217bd6e98 (__DATA_CONST,__const) non-external __mask_SQL_UNION
0000000217bd6e48 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
0000000217bd6800 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000020c7ad4b0 (__TEXT,__text) non-external __trace_bufferlen
000000020c7acb70 (__TEXT,__text) non-external __trace_c_type
000000020c7a97cc (__TEXT,__text) non-external __trace_colattr2_type
000000020c7a9b84 (__TEXT,__text) non-external __trace_colattr3_data
000000020c7a982c (__TEXT,__text) non-external __trace_colattr3_type
000000020c7a5854 (__TEXT,__text) non-external __trace_connattr_type
000000020c7ad80c (__TEXT,__text) non-external __trace_connopt_type
000000020c7afa84 (__TEXT,__text) non-external __trace_connstr
000000020c7afdac (__TEXT,__text) non-external __trace_connstr_hidepwd
000000020c7afce4 (__TEXT,__text) non-external __trace_connstr_w
000000020c7aec84 (__TEXT,__text) non-external __trace_data
000000020c7a5b50 (__TEXT,__text) non-external __trace_desc_null
000000020c7a9090 (__TEXT,__text) non-external __trace_descfield_type
000000020c7ae8fc (__TEXT,__text) non-external __trace_diag_type
000000020c7ab470 (__TEXT,__text) non-external __trace_direction
000000020c7afb84 (__TEXT,__text) non-external __trace_drvcn_completion
000000020c7a656c (__TEXT,__text) non-external __trace_envattr_type
000000020c7a6e20 (__TEXT,__text) non-external __trace_fetchtype
000000020c7b0380 (__TEXT,__text) non-external __trace_freestmt_option
000000020c7aaaa4 (__TEXT,__text) non-external __trace_func_name
000000020c7aa9d8 (__TEXT,__text) non-external __trace_func_result
000000020c7a70b4 (__TEXT,__text) non-external __trace_getinfo
000000020c7ac488 (__TEXT,__text) non-external __trace_handle
000000020c7ac414 (__TEXT,__text) non-external __trace_handle_p
000000020c7ac3b4 (__TEXT,__text) non-external __trace_handletype
000000020c7acee8 (__TEXT,__text) non-external __trace_inouttype
000000020c7ac54c (__TEXT,__text) non-external __trace_integer
000000020c7ac6ec (__TEXT,__text) non-external __trace_integer_p
000000020c7ac820 (__TEXT,__text) non-external __trace_len
000000020c7ac888 (__TEXT,__text) non-external __trace_len_p
000000020c7ac5bc (__TEXT,__text) non-external __trace_pointer
000000020c7ac1c0 (__TEXT,__text) non-external __trace_print_function
000000020c7a6f2c (__TEXT,__text) non-external __trace_scrollopt_type
000000020c7a6c40 (__TEXT,__text) non-external __trace_setpos_irow
000000020c7a6cd8 (__TEXT,__text) non-external __trace_setpos_lock
000000020c7a6c78 (__TEXT,__text) non-external __trace_setpos_oper
000000020c7ac4dc (__TEXT,__text) non-external __trace_smallint
000000020c7ac604 (__TEXT,__text) non-external __trace_smallint_p
000000020c7a686c (__TEXT,__text) non-external __trace_spcols_null
000000020c7a680c (__TEXT,__text) non-external __trace_spcols_scope
000000020c7a67a8 (__TEXT,__text) non-external __trace_spcols_type
000000020c7ad3cc (__TEXT,__text) non-external __trace_sql_subtype
000000020c7acf48 (__TEXT,__text) non-external __trace_sql_type
000000020c7ad16c (__TEXT,__text) non-external __trace_sql_type_p
000000020c7b003c (__TEXT,__text) non-external __trace_stats_accuracy
000000020c7affd8 (__TEXT,__text) non-external __trace_stats_unique
000000020c7adbd8 (__TEXT,__text) non-external __trace_stmtattr_type
000000020c7ae53c (__TEXT,__text) non-external __trace_stmtopt_type
000000020c7ac970 (__TEXT,__text) non-external __trace_string
000000020c7aca54 (__TEXT,__text) non-external __trace_string_w
000000020c7ac7d4 (__TEXT,__text) non-external __trace_stringlen
0000000217bd79e0 (__DATA_CONST,__const) non-external __trace_sym_handletype
000000020c7af374 (__TEXT,__text) non-external __trace_tran_completion
000000020c7af6b8 (__TEXT,__text) non-external __trace_typeinfo
000000020c7ac584 (__TEXT,__text) non-external __trace_uinteger
000000020c7ac760 (__TEXT,__text) non-external __trace_uinteger_p
000000020c7ac854 (__TEXT,__text) non-external __trace_ulen
000000020c7ac8fc (__TEXT,__text) non-external __trace_ulen_p
000000020c7ac514 (__TEXT,__text) non-external __trace_usmallint
000000020c7ac678 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _close (from libSystem)
000000021b0d3efa (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000020c7b1334 (__TEXT,__text) non-external _dm_SQL_A2W
000000020c7b1870 (__TEXT,__text) non-external _dm_SQL_U8toW
000000020c7b12b8 (__TEXT,__text) non-external _dm_SQL_W2A
000000020c7b15c8 (__TEXT,__text) non-external _dm_SQL_WtoU8
000000020c7b13b0 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
000000020c7b1a8c (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
000000020c7b1460 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000020c7b1510 (__TEXT,__text) non-external _dm_strcpy_A2W
000000020c7b156c (__TEXT,__text) non-external _dm_strcpy_W2A
000000020c7b2ff0 (__TEXT,__text) non-external _do_create_dsns
000000021b0d3eb8 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
000000021b0d3e98 (__DATA,__common) non-external _ierror
000000020c7b3144 (__TEXT,__text) non-external _install_from_ini
000000020c7b3610 (__TEXT,__text) non-external _install_from_string
000000021b0d3900 (__DATA,__data) external _iodbc_version
000000021b0d3dd8 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000021b0d3e20 (__DATA,__data) non-external _numerrors
000000021b0d3908 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
000000021b0d3e28 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000020c7b37bc (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
0000000217bd5c70 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
000000021b0d3e68 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
000000020c7a8940 (__TEXT,__text) non-external _trace_SQLAllocConnect
000000020c7ad740 (__TEXT,__text) non-external _trace_SQLAllocEnv
000000020c7a95fc (__TEXT,__text) non-external _trace_SQLAllocHandle
000000020c7ab36c (__TEXT,__text) non-external _trace_SQLAllocStmt
000000020c7a954c (__TEXT,__text) non-external _trace_SQLBindCol
000000020c7aa230 (__TEXT,__text) non-external _trace_SQLBindParameter
000000020c7ad590 (__TEXT,__text) non-external _trace_SQLBrowseConnect
000000020c7ad668 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
000000020c7a670c (__TEXT,__text) non-external _trace_SQLBulkOperations
000000020c7aebd4 (__TEXT,__text) non-external _trace_SQLCancel
000000020c7ab428 (__TEXT,__text) non-external _trace_SQLCloseCursor
000000020c7a9ac4 (__TEXT,__text) non-external _trace_SQLColAttribute
000000020c7a9f84 (__TEXT,__text) non-external _trace_SQLColAttributeW
000000020c7aa044 (__TEXT,__text) non-external _trace_SQLColAttributes
000000020c7aa110 (__TEXT,__text) non-external _trace_SQLColAttributesW
000000020c7ae6c4 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000020c7ae7e0 (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000020c7a8a38 (__TEXT,__text) non-external _trace_SQLColumns
000000020c7a8b54 (__TEXT,__text) non-external _trace_SQLColumnsW
000000020c7adfac (__TEXT,__text) non-external _trace_SQLConnect
000000020c7ae098 (__TEXT,__text) non-external _trace_SQLConnectW
000000020c7a6dc8 (__TEXT,__text) non-external _trace_SQLCopyDesc
000000020c7ab4fc (__TEXT,__text) non-external _trace_SQLDataSources
000000020c7ab5fc (__TEXT,__text) non-external _trace_SQLDataSourcesW
000000020c7a5be4 (__TEXT,__text) non-external _trace_SQLDescribeCol
000000020c7a5cf0 (__TEXT,__text) non-external _trace_SQLDescribeColW
000000020c7ae604 (__TEXT,__text) non-external _trace_SQLDescribeParam
000000020c7ab3e0 (__TEXT,__text) non-external _trace_SQLDisconnect
000000020c7af984 (__TEXT,__text) non-external _trace_SQLDriverConnect
000000020c7afbe4 (__TEXT,__text) non-external _trace_SQLDriverConnectW
000000020c7aa500 (__TEXT,__text) non-external _trace_SQLDrivers
000000020c7aa600 (__TEXT,__text) non-external _trace_SQLDriversW
000000020c7a88d8 (__TEXT,__text) non-external _trace_SQLEndTran
000000020c7a606c (__TEXT,__text) non-external _trace_SQLError
000000020c7a616c (__TEXT,__text) non-external _trace_SQLErrorW
000000020c7ab108 (__TEXT,__text) non-external _trace_SQLExecDirect
000000020c7ab18c (__TEXT,__text) non-external _trace_SQLExecDirectW
000000020c7a6760 (__TEXT,__text) non-external _trace_SQLExecute
000000020c7a6e84 (__TEXT,__text) non-external _trace_SQLExtendedFetch
000000020c7ab804 (__TEXT,__text) non-external _trace_SQLFetch
000000020c7ad7a4 (__TEXT,__text) non-external _trace_SQLFetchScroll
000000020c7ae184 (__TEXT,__text) non-external _trace_SQLForeignKeys
000000020c7ae304 (__TEXT,__text) non-external _trace_SQLForeignKeysW
000000020c7ae4f4 (__TEXT,__text) non-external _trace_SQLFreeConnect
000000020c7a6bf8 (__TEXT,__text) non-external _trace_SQLFreeEnv
000000020c7a8884 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000020c7b03d8 (__TEXT,__text) non-external _trace_SQLFreeStmt
000000020c7a5a08 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
000000020c7a5aac (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
000000020c7ada38 (__TEXT,__text) non-external _trace_SQLGetConnectOption
000000020c7adaa0 (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
000000020c7a9684 (__TEXT,__text) non-external _trace_SQLGetCursorName
000000020c7a9728 (__TEXT,__text) non-external _trace_SQLGetCursorNameW
000000020c7af268 (__TEXT,__text) non-external _trace_SQLGetData
000000020c7a93ec (__TEXT,__text) non-external _trace_SQLGetDescField
000000020c7a949c (__TEXT,__text) non-external _trace_SQLGetDescFieldW
000000020c7a5dfc (__TEXT,__text) non-external _trace_SQLGetDescRec
000000020c7a5f34 (__TEXT,__text) non-external _trace_SQLGetDescRecW
000000020c7aea60 (__TEXT,__text) non-external _trace_SQLGetDiagField
000000020c7aeb24 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
000000020c7a637c (__TEXT,__text) non-external _trace_SQLGetDiagRec
000000020c7a6474 (__TEXT,__text) non-external _trace_SQLGetDiagRecW
000000020c7a65f8 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
000000020c7ab090 (__TEXT,__text) non-external _trace_SQLGetFunctions
000000020c7a7004 (__TEXT,__text) non-external _trace_SQLGetInfo
000000020c7a8534 (__TEXT,__text) non-external _trace_SQLGetInfoW
000000020c7ade78 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
000000020c7adf1c (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
000000020c7ae59c (__TEXT,__text) non-external _trace_SQLGetStmtOption
000000020c7af8dc (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000020c7af930 (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
000000020c7af32c (__TEXT,__text) non-external _trace_SQLMoreResults
000000020c7a8eb8 (__TEXT,__text) non-external _trace_SQLNativeSql
000000020c7a8fa4 (__TEXT,__text) non-external _trace_SQLNativeSqlW
000000020c7a8c70 (__TEXT,__text) non-external _trace_SQLNumParams
000000020c7ae484 (__TEXT,__text) non-external _trace_SQLNumResultCols
000000020c7aa1dc (__TEXT,__text) non-external _trace_SQLParamData
000000020c7a89b4 (__TEXT,__text) non-external _trace_SQLParamOptions
000000020c7b042c (__TEXT,__text) non-external _trace_SQLPrepare
000000020c7b04b0 (__TEXT,__text) non-external _trace_SQLPrepareW
000000020c7aa700 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
000000020c7aa7ec (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
000000020c7a85e4 (__TEXT,__text) non-external _trace_SQLProcedureColumns
000000020c7a8700 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000020c7aa328 (__TEXT,__text) non-external _trace_SQLProcedures
000000020c7aa414 (__TEXT,__text) non-external _trace_SQLProceduresW
000000020c7aec1c (__TEXT,__text) non-external _trace_SQLPutData
000000020c7a669c (__TEXT,__text) non-external _trace_SQLRowCount
000000020c7afef0 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
000000020c7aff64 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
000000020c7adb08 (__TEXT,__text) non-external _trace_SQLSetConnectOption
000000020c7adb70 (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
000000020c7ab6fc (__TEXT,__text) non-external _trace_SQLSetCursorName
000000020c7ab780 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
000000020c7a626c (__TEXT,__text) non-external _trace_SQLSetDescField
000000020c7a62f4 (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000020c7aa8d8 (__TEXT,__text) non-external _trace_SQLSetDescRec
000000020c7ab210 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
000000020c7a6d38 (__TEXT,__text) non-external _trace_SQLSetPos
000000020c7a6f90 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
000000020c7ab284 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000020c7ab2f8 (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
000000020c7a881c (__TEXT,__text) non-external _trace_SQLSetStmtOption
000000020c7a68d0 (__TEXT,__text) non-external _trace_SQLSpecialColumns
000000020c7a6a64 (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
000000020c7b00a0 (__TEXT,__text) non-external _trace_SQLStatistics
000000020c7b0210 (__TEXT,__text) non-external _trace_SQLStatisticsW
000000020c7a8ce0 (__TEXT,__text) non-external _trace_SQLTablePrivileges
000000020c7a8dcc (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
000000020c7af480 (__TEXT,__text) non-external _trace_SQLTables
000000020c7af59c (__TEXT,__text) non-external _trace_SQLTablesW
000000020c7af3d8 (__TEXT,__text) non-external _trace_SQLTransact
000000021b0d3e58 (__DATA,__bss) non-external _trace_appname
000000020c7abdac (__TEXT,__text) non-external _trace_emit
000000020c7ac02c (__TEXT,__text) non-external _trace_emit_binary
000000020c7abe14 (__TEXT,__text) non-external _trace_emit_string
000000020c7abdf8 (__TEXT,__text) non-external _trace_emitc
000000021b0d3e60 (__DATA,__bss) non-external _trace_fname
000000021b0d3e78 (__DATA,__bss) non-external _trace_fp
000000021b0d3e80 (__DATA,__bss) non-external _trace_fp_close
000000020c7ab888 (__TEXT,__text) non-external _trace_get_filename
000000020c7ab84c (__TEXT,__text) non-external _trace_set_appname
000000020c7ab894 (__TEXT,__text) non-external _trace_set_filename
000000020c7abb54 (__TEXT,__text) non-external _trace_start
000000020c7abcf8 (__TEXT,__text) non-external _trace_stop
000000020c7abadc (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
000000020c7b1a10 (__TEXT,__text) non-external _utf8_len
000000020c7b1b30 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
000000021b0d3ef8 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
