00000001d0fdc100 (__TEXT,__text) non-external +[NFPromise new]
00000001e9133f54 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00000001e9133f58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._lock
00000001e9133f24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00000001e9133eac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00000001e9133eb4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00000001e9133eb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00000001e9133efc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00000001e9133f04 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
00000001e9133f0c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._handlers
00000001e9133f10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._lock
00000001e9133f08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._state
00000001e9133f00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._value
00000001e9133f20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentNetworkPath
00000001e9133f14 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentReachabilityStatus
00000001e9133f1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._networkPathMonitor
00000001e9133f18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._observationQueue
00000001e9133ee4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._events
00000001e9133ee8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._lock
00000001e9133edc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._owner
00000001e9133ed8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._state
00000001e9133ee0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._states
00000001e9133ed4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._status
00000001e9133eec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._statusToken
00000001e9133f30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._destinationState
00000001e9133f34 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._fireBlock
00000001e9133f28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._name
00000001e9133f2c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._states
00000001e9133f3c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._canTryBlock
00000001e9133f4c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didEnterBlock
00000001e9133f48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didExitBlock
00000001e9133f38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._name
00000001e9133f44 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willEnterBlock
00000001e9133f40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willExitBlock
00000001e9133ea8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._context
00000001e9133e9c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._event
00000001e9133ea0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._fromState
00000001e9133e98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._stateMachine
00000001e9133ea4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._toState
00000001e9133e90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLock
00000001e9133e94 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLockOptions
00000001eaa218f8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFArchiver
00000001ea1abdb8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventManager
00000001ea1abde0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventTrigger
00000001ea1abe30 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFLazy
00000001ea1ac010 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMultiDelegate
00000001ea1abfc0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMutexLock
00000001eaa218d0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFPendingPromise
00000001ea1abe80 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromise
00000001ea1abf20 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromiseSeal
00000001ea1abf70 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFReachability
00000001eaa21970 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachine
00000001eaa219c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineEvent
00000001eaa21a10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineState
00000001eaa21880 (__AUTH,__objc_data) external _OBJC_METACLASS_$_NFStateMachineTransition
00000001ea1abd40 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFUnfairLock
00000001ea1abea8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFVoid
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001d0fda058 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d0fda058 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d0fda058 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001d0fda078 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001d0fda078 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001d0fda078 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001d0fda08c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001d0fda08c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001d0fda08c (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001d0fda0a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001d0fda0b4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
                 (undefined) external _SCNetworkReachabilityCreateWithAddress (from SystemConfiguration)
                 (undefined) external _SCNetworkReachabilityGetFlags (from SystemConfiguration)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001d0fe22e0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSError_$_NFStateMachine
00000001d0fe22f8 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSKeyedUnarchiver_$_FRAdditions
00000001d0fe2330 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSObject_$_NFAdditions
00000001d0fe2350 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSValue_$_NFAdditions
00000001d0fe2370 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSError_$_NFStateMachine
00000001d0fe2388 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSKeyedUnarchiver_$_FRAdditions
00000001d0fe23a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSString_$_NFAdditions
00000001d0fe23c0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSUserDefaults_$_NFAdditions
00000001d0fe23d8 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSValue_$_NFAdditions
00000001f1188e10 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSError_$_NFStateMachine
00000001f11891b0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSKeyedUnarchiver_$_FRAdditions
00000001f1189430 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSObject_$_NFAdditions
00000001f1189470 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSString_$_NFAdditions
00000001f1189040 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSUserDefaults_$_NFAdditions
00000001f1189cd0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSValue_$_NFAdditions
00000001d0fe23f8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00000001d0fe2460 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFReachability
00000001d0fe2480 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFArchiver
00000001d0fe24a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventManager
00000001d0fe2548 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventTrigger
00000001d0fe25a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFLazy
00000001d0fe25f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMultiDelegate
00000001d0fe26b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMutexLock
00000001d0fe2708 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPendingPromise
00000001d0fe2770 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00000001d0fe28b0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromiseSeal
00000001d0fe29a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFReachability
00000001d0fe2a50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachine
00000001d0fe2b88 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineEvent
00000001d0fe2c48 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineState(Private)
00000001d0fe2d98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineTransition
00000001d0fe2e40 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFUnfairLock
00000001d0fe2ea0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFVoid
00000001f11887a0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventManager
00000001f11888a0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventTrigger
00000001f11890c8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFLazy
00000001f1189bd8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMultiDelegate
00000001f1189800 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMutexLock
00000001f1188670 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPendingPromise
00000001f1189238 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromise
00000001f11894f8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromiseSeal
00000001f1189688 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFReachability
00000001f1188e98 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachine
00000001f11898b8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineEvent
00000001f1189a18 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineState
00000001f11884e0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineTransition
00000001f1188408 (__AUTH_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFUnfairLock
00000001f1188d80 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFArchiver
00000001f11887e8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventManager
00000001f1188948 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventTrigger
00000001f1189130 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFLazy
00000001f1189c40 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFMultiDelegate
00000001f11886d8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPendingPromise
00000001f1189260 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromise
00000001f11895a0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromiseSeal
00000001f1189710 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFReachability
00000001f1188f80 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachine
00000001f1189940 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineEvent
00000001f1189ae0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineState
00000001f1188588 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineTransition
00000001f1188bd8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001f1188cd8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NFArchiver
00000001f1189360 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00000001f1188348 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00000001f11889e8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001f1188bb8 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001f1188d10 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NFArchiver
00000001f1189380 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00000001f1188380 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00000001f1188c20 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001f1188cc0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFArchiver
00000001f1188390 (__AUTH_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00000001f1188d20 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFArchiver
00000001f11897a0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFMutexLock
00000001f11883a8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFUnfairLock
00000001f1189388 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFVoid
00000001f1188dc8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFArchiver
00000001f1188810 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventManager
00000001f11889a0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventTrigger
00000001f1189168 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFLazy
00000001f1189c88 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMultiDelegate
00000001f1189828 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMutexLock
00000001f1188710 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPendingPromise
00000001f1189318 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromise
00000001f11895f8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromiseSeal
00000001f1189758 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFReachability
00000001f1188ff8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachine
00000001f1189988 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineEvent
00000001f1189b48 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineState
00000001f11885e0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineTransition
00000001f1188450 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFUnfairLock
00000001f11893e8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFVoid
00000001e556f728 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFArchiver
00000001e556f718 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFLocking
00000001e556f730 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001e556f710 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSLocking
00000001e556f720 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001f1188d38 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFArchiver
00000001f1188758 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventManager
00000001f1188858 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventTrigger
00000001f1189080 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFLazy
00000001f1189b90 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMultiDelegate
00000001f11897b8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMutexLock
00000001f1188628 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPendingPromise
00000001f11891f0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromise
00000001f11894b0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromiseSeal
00000001f1189640 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFReachability
00000001f1188e50 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachine
00000001f1189870 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineEvent
00000001f11899d0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineState
00000001f1188498 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineTransition
00000001f11883c0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFUnfairLock
00000001f11893a0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFVoid
00000001e9134080 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFArchiver
00000001e9133fc0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFLocking
00000001e91340f8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00000001e9133f60 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSLocking
00000001e9134020 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001d0fe11c8 (__TEXT,__text) external __UIValueCGPointValue
00000001d0fe1020 (__TEXT,__text) external __UIValueCGRectValue
                 (undefined) external __Unwind_Resume (from libSystem)
00000001d0fdcac8 (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke
00000001d0fdcb88 (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke_2
00000001d0fdc9b4 (__TEXT,__text) non-external ___17-[NFPromise then]_block_invoke
00000001d0fdd408 (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke
00000001d0fdd490 (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke_2
00000001d0fdcd60 (__TEXT,__text) non-external ___18-[NFPromise error]_block_invoke
00000001d0fdcc0c (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke
00000001d0fdccdc (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke_2
00000001d0fdca3c (__TEXT,__text) non-external ___19-[NFPromise thenOn]_block_invoke
00000001d0fdd524 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke
00000001d0fdd5f8 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke_2
00000001d0fdce60 (__TEXT,__text) non-external ___20-[NFPromise errorOn]_block_invoke
00000001d0fdceec (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke
00000001d0fdcfac (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_2
00000001d0fdd090 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_3
00000001d0fdd1bc (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke
00000001d0fdd28c (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_2
00000001d0fdd370 (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_3
00000001d0fdecd0 (__TEXT,__text) non-external ___22-[NFReachability init]_block_invoke
00000001d0fd9138 (__TEXT,__text) non-external ___24-[NFPendingPromise init]_block_invoke
00000001d0fdc334 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke
00000001d0fdc460 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_2
00000001d0fdc674 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_3
00000001d0fdc8b4 (__TEXT,__text) non-external ___27-[NFPromise errorOn:error:]_block_invoke
00000001d0fdbfb0 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke
00000001d0fdc014 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke.16
00000001d0fdeb44 (__TEXT,__text) non-external ___32+[NFReachability sharedInstance]_block_invoke
00000001d0fde5a8 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke
00000001d0fde630 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke_2
00000001d0fdf7d0 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke
00000001d0fdff30 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.13
00000001d0fdfd10 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.4
00000001d0fdfe50 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.8
00000001d0fdfb48 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2
00000001d0fdffc0 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.14
00000001d0fdfdec (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.5
00000001d0fdff1c (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.9
00000001d0fdfbe8 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_3
00000001d0fde2f4 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke
00000001d0fde46c (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke.11
00000001d0fde458 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke_2
00000001d0fdee3c (__TEXT,__text) non-external ___44-[NFReachability _updateCurrentNetworkPath:]_block_invoke
00000001d0fddab8 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke
00000001d0fddb9c (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke_2
00000001d0fdd878 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke
00000001d0fdd95c (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke_2
00000001d0fdb328 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke
00000001d0fdb4b0 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.47
00000001d0fdb4c0 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.51
00000001d0fe1ab0 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.51.cold.1
00000001d0fdb4f0 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.58
00000001d0fdb538 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.60
00000001d0fdb3a0 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_2
00000001d0fdb418 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_3
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001d0fe14a8 (__TEXT,__text) non-external ___NFDeviceHasExtendedColorDisplay_block_invoke
00000001d0fe12dc (__TEXT,__text) non-external ___NFDevicePlatform_block_invoke
00000001d0fd8bd4 (__TEXT,__text) non-external ___NFInternalBuild_block_invoke
00000001d0fd8c48 (__TEXT,__text) non-external ___NFStoreDemoMode_block_invoke
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00000001e556f5f8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
00000001e556f5d0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001e556f618 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v16?08l
