000000022f4daa30 (__DATA,__bss) non-external _A
000000021e47e848 (__TEXT,__text) external _cmark_syntax_extension_set_match_inline_func
000000021e47e8cc (__TEXT,__text) external _cmark_syntax_extension_set_opaque_alloc_func
000000021e47e8d4 (__TEXT,__text) external _cmark_syntax_extension_set_opaque_free_func
000000021e47e838 (__TEXT,__text) external _cmark_syntax_extension_set_open_block_func
000000021e47e880 (__TEXT,__text) external _cmark_syntax_extension_set_plaintext_render_func
000000021e47e8b0 (__TEXT,__text) external _cmark_syntax_extension_set_postprocess_func
000000021e47e8b8 (__TEXT,__text) external _cmark_syntax_extension_set_private
000000021e47e858 (__TEXT,__text) external _cmark_syntax_extension_set_special_inline_chars
000000021e47e890 (__TEXT,__text) external _cmark_syntax_extension_set_xml_attr_func
000000021e48c670 (__TEXT,__text) non-external (was a private external) _cmark_unlink_footnotes_map
000000021e474ae4 (__TEXT,__text) external _cmark_utf8proc_case_fold
000000021e474650 (__TEXT,__text) external _cmark_utf8proc_check
000000021e4749ac (__TEXT,__text) external _cmark_utf8proc_encode_char
000000021e498dec (__TEXT,__text) non-external _cmark_utf8proc_encode_char.cold.1
000000021e47ac30 (__TEXT,__text) external _cmark_utf8proc_is_punctuation
000000021e47abb4 (__TEXT,__text) external _cmark_utf8proc_is_space
000000021e474870 (__TEXT,__text) external _cmark_utf8proc_iterate
000000021e47c85c (__TEXT,__text) external _cmark_version
000000021e47c864 (__TEXT,__text) external _cmark_version_string
000000021e47ddb0 (__TEXT,__text) non-external _commonmark_render
000000021e480b4c (__TEXT,__text) non-external _commonmark_render
000000021e497140 (__TEXT,__text) non-external _commonmark_render
000000021e499b40 (__TEXT,__text) non-external _commonmark_render.cold.1
000000021e497128 (__TEXT,__text) non-external _contains_inlines
000000021e48c6d8 (__TEXT,__text) non-external _core_extensions_registration
000000021e47e8e4 (__TEXT,__text) non-external (was a private external) _create_autolink_extension
000000021e4809c8 (__TEXT,__text) non-external (was a private external) _create_strikethrough_extension
000000021e4964f4 (__TEXT,__text) non-external (was a private external) _create_table_extension
000000021e498cb4 (__TEXT,__text) non-external (was a private external) _create_tagfilter_extension
000000021e47db4c (__TEXT,__text) non-external (was a private external) _create_tasklist_extension
000000022f4da8a0 (__DATA,__bss) non-external _enable_safety_checks
000000021e499f40 (__TEXT,__const) non-external _encode_unknown.repl
000000021e49808c (__TEXT,__text) non-external _escape
000000022f4da818 (__DATA,__bss) non-external _extensions_lock
000000022f4da6c0 (__DATA,__data) non-external _extensions_once
000000021e498cf8 (__TEXT,__text) non-external _filter
000000021e48f518 (__TEXT,__text) non-external _finalize
000000021e49921c (__TEXT,__text) non-external _finalize.cold.1
000000021e499248 (__TEXT,__text) non-external _finalize.cold.2
000000021e48c614 (__TEXT,__text) non-external _footnote_free
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
000000021e48ffb0 (__TEXT,__text) non-external _free_node_as
000000021e4987a4 (__TEXT,__text) non-external _free_row_cells
                 (undefined) external _fwrite (from libSystem)
000000021e498828 (__TEXT,__text) non-external _get_cell_alignment
000000021e482058 (__TEXT,__text) non-external _get_link_type
000000021e47dcbc (__TEXT,__text) non-external _get_type_string
000000021e480b04 (__TEXT,__text) non-external _get_type_string
000000021e497018 (__TEXT,__text) non-external _get_type_string
000000021e495870 (__TEXT,__text) non-external (was a private external) _houdini_escape_href
000000021e49cab4 (__TEXT,__cstring) non-external _houdini_escape_href.hex_chars
000000021e47c83c (__TEXT,__text) non-external (was a private external) _houdini_escape_html
000000021e47c700 (__TEXT,__text) non-external (was a private external) _houdini_escape_html0
000000021e4959dc (__TEXT,__text) non-external (was a private external) _houdini_unescape_ent
000000021e495c90 (__TEXT,__text) non-external (was a private external) _houdini_unescape_html
000000021e495dcc (__TEXT,__text) non-external (was a private external) _houdini_unescape_html_f
000000021e47de6c (__TEXT,__text) non-external _html_render
000000021e480c4c (__TEXT,__text) non-external _html_render
000000021e49797c (__TEXT,__text) non-external _html_render
000000021e499bc4 (__TEXT,__text) non-external _html_render.cold.1
000000021e49886c (__TEXT,__text) non-external _html_table_add_align
000000021e498c44 (__TEXT,__text) non-external _init_arena
000000021e498c34 (__TEXT,__text) non-external _initialize_arena
000000021e47f994 (__TEXT,__text) non-external _initialize_extensions
000000021e4915c0 (__TEXT,__text) non-external _initialize_nextflag
000000021e4915b0 (__TEXT,__text) non-external _initialize_safety
000000021e480db4 (__TEXT,__text) non-external _insert
000000021e47f62c (__TEXT,__text) non-external _is_valid_hostchar
000000021e480b70 (__TEXT,__text) non-external _latex_render
000000021e497400 (__TEXT,__text) non-external _latex_render
000000021e499b6c (__TEXT,__text) non-external _latex_render.cold.1
000000021e4943ec (__TEXT,__text) non-external _link_label
000000021e4997fc (__TEXT,__text) non-external _link_label.cold.1
000000021e499828 (__TEXT,__text) non-external _link_label.cold.2
000000021e499854 (__TEXT,__text) non-external _link_label.cold.3
000000021e499880 (__TEXT,__text) non-external _link_label.cold.4
000000021e4998ac (__TEXT,__text) non-external _link_label.cold.5
000000021e49505c (__TEXT,__text) non-external _make_autolink
000000021e499ae8 (__TEXT,__text) non-external _make_autolink.cold.1
                 (undefined) external _malloc (from libSystem)
000000021e480ba4 (__TEXT,__text) non-external _man_render
000000021e497750 (__TEXT,__text) non-external _man_render
000000021e499b98 (__TEXT,__text) non-external _man_render.cold.1
000000021e4946e8 (__TEXT,__text) non-external _manual_scan_link_url
000000021e47e970 (__TEXT,__text) non-external _match
000000021e480c90 (__TEXT,__text) non-external _match
000000021e47dc30 (__TEXT,__text) non-external _matches
000000021e4966a8 (__TEXT,__text) non-external _matches
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000022f4da8a8 (__DATA,__bss) non-external _nextflag_lock
000000022f4da6f0 (__DATA,__data) non-external _nextflag_once
000000021e48c74c (__TEXT,__text) non-external (was a private external) _normalize_map_label
000000021e499004 (__TEXT,__text) non-external _normalize_map_label.cold.1
000000021e497f7c (__TEXT,__text) non-external _opaque_alloc
000000021e497ff8 (__TEXT,__text) non-external _opaque_free
000000021e47dcc8 (__TEXT,__text) non-external _open_tasklist_item
000000021e47b568 (__TEXT,__text) non-external _outc
000000021e481410 (__TEXT,__text) non-external _outc
000000021e495eac (__TEXT,__text) non-external _outc
000000021e480c6c (__TEXT,__text) non-external _plaintext_render
000000021e47ede0 (__TEXT,__text) non-external _postprocess
000000021e498f28 (__TEXT,__text) non-external _postprocess.cold.1
000000021e498f54 (__TEXT,__text) non-external _postprocess.cold.2
000000021e493a40 (__TEXT,__text) non-external _process_emphasis
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_once (from libSystem)
000000021e494f6c (__TEXT,__text) non-external _push_bracket
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
000000021e48ca00 (__TEXT,__text) non-external _refcmp
000000021e48d370 (__TEXT,__text) non-external _reference_free
000000021e48c940 (__TEXT,__text) non-external _refsearch
000000021e48c6c4 (__TEXT,__text) non-external _register_plugins
000000022f4da6d0 (__DATA,__data) non-external _registered_once
000000021e49401c (__TEXT,__text) non-external _remove_delimiter
000000021e49969c (__TEXT,__text) non-external _remove_delimiter.cold.1
000000021e48f8d4 (__TEXT,__text) non-external _resolve_reference_link_definitions
000000021e4982fc (__TEXT,__text) non-external _row_from_string
000000022f4da860 (__DATA,__bss) non-external _safety_lock
000000022f4da6e0 (__DATA,__data) non-external _safety_once
000000022c3083d0 (__DATA_CONST,__const) non-external _sd_autolink_issafe.valid_uris
                 (undefined) external _snprintf (from libSystem)
000000021e48fa9c (__TEXT,__text) non-external _sort_footnote_by_ix
000000021e4945d4 (__TEXT,__text) non-external _spnl
000000021e4998d8 (__TEXT,__text) non-external _spnl.cold.1
000000021e499904 (__TEXT,__text) non-external _spnl.cold.2
000000021e499930 (__TEXT,__text) non-external _spnl.cold.3
000000021e49995c (__TEXT,__text) non-external _spnl.cold.4
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncasecmp (from libSystem)
                 (undefined) external _strncmp (from libSystem)
                 (undefined) external _strstr (from libSystem)
000000022f4da858 (__DATA,__bss) non-external _syntax_extensions
000000021e496760 (__TEXT,__text) non-external _try_opening_table_block
000000021e4986d0 (__TEXT,__text) non-external _unescape_pipes
000000021e499e40 (__TEXT,__const) non-external _utf8proc_utf8class
000000021e47f67c (__TEXT,__text) non-external _validate_protocol
000000021e47c870 (__TEXT,__text) non-external _xcalloc
000000021e498e44 (__TEXT,__text) non-external _xcalloc.cold.1
000000021e47c8b0 (__TEXT,__text) non-external _xfree
000000021e47dff0 (__TEXT,__text) non-external _xml_attr
000000021e497654 (__TEXT,__text) non-external _xml_attr
000000021e47c890 (__TEXT,__text) non-external _xrealloc
000000021e498e74 (__TEXT,__text) non-external _xrealloc.cold.1
