00007ffa19d476eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa43c11c80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._events
00007ffa43c11c70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnAny
00007ffa43c11c68 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._fireOnce
00007ffa43c11c78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFEventTrigger._key
00007ffa43c11cd0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._constructor
00007ffa43c11cd8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._lock
00007ffa43c11cc8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFLazy._value
00007ffa43c11d88 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._children
00007ffa43c11d90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._delegateProtocol
00007ffa43c11d98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMultiDelegate._lock
00007ffa43c11d30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFMutexLock._lock
00007ffa43c11c40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._promise
00007ffa43c11c50 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._reject
00007ffa43c11c48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPendingPromise._resolve
00007ffa43c11ce0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromise._seal
00007ffa43c11cf0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._error
00007ffa43c11d00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._handlers
00007ffa43c11d08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._lock
00007ffa43c11cf8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._state
00007ffa43c11ce8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFPromiseSeal._value
00007ffa43c11d28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentNetworkPath
00007ffa43c11d10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._currentReachabilityStatus
00007ffa43c11d20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._networkPathMonitor
00007ffa43c11d18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFReachability._observationQueue
00007ffa43c11cb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._events
00007ffa43c11cb8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._lock
00007ffa43c11ca0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._owner
00007ffa43c11c98 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._state
00007ffa43c11ca8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._states
00007ffa43c11c90 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._status
00007ffa43c11cc0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachine._statusToken
00007ffa43c11d48 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._destinationState
00007ffa43c11d50 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._fireBlock
00007ffa43c11d38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._name
00007ffa43c11d40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineEvent._states
00007ffa43c11d60 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._canTryBlock
00007ffa43c11d80 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didEnterBlock
00007ffa43c11d78 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._didExitBlock
00007ffa43c11d58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._name
00007ffa43c11d70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willEnterBlock
00007ffa43c11d68 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineState._willExitBlock
00007ffa43c11c38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._context
00007ffa43c11c20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._event
00007ffa43c11c28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._fromState
00007ffa43c11c18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._stateMachine
00007ffa43c11c30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFStateMachineTransition._toState
00007ffa43c11c08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLock
00007ffa43c11c10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_NFUnfairLock._unfairLockOptions
00007ffa42f50030 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFArchiver
00007ffa42f4fdb0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventManager
00007ffa42f4fd88 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFEventTrigger
00007ffa42f4fd60 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFLazy
00007ffa42f500a8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMultiDelegate
00007ffa42f4fd38 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFMutexLock
00007ffa42f50008 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPendingPromise
00007ffa42f4fd10 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromise
00007ffa42f4fce8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFPromiseSeal
00007ffa42f4fcc0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFReachability
00007ffa42f4fc98 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachine
00007ffa42f4fc70 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineEvent
00007ffa42f4fc48 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineState
00007ffa42f4fc20 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFStateMachineTransition
00007ffa42f4fbf8 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFUnfairLock
00007ffa42f4fbd0 (__DATA_DIRTY,__objc_data) external _OBJC_METACLASS_$_NFVoid
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
                 (undefined) external _SCNetworkReachabilityCreateWithAddress (from SystemConfiguration)
                 (undefined) external _SCNetworkReachabilityGetFlags (from SystemConfiguration)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffa19d4d1d8 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSError_$_NFStateMachine
00007ffa19d4d1f0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSKeyedUnarchiver_$_FRAdditions
00007ffa19d4d228 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSObject_$_NFAdditions
00007ffa19d4d248 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_CLASS_METHODS_NSValue_$_NFAdditions
00007ffa19d4d268 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSError_$_NFStateMachine
00007ffa19d4d280 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSKeyedUnarchiver_$_FRAdditions
00007ffa19d4d298 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSString_$_NFAdditions
00007ffa19d4d2b8 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSUserDefaults_$_NFAdditions
00007ffa19d4d2d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CATEGORY_INSTANCE_METHODS_NSValue_$_NFAdditions
00007ffa42354f00 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSError_$_NFStateMachine
00007ffa423552a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSKeyedUnarchiver_$_FRAdditions
00007ffa42355500 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSObject_$_NFAdditions
00007ffa42355540 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSString_$_NFAdditions
00007ffa42355130 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSUserDefaults_$_NFAdditions
00007ffa42355da0 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSValue_$_NFAdditions
00007ffa19d4d2f0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00007ffa19d4d358 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NFReachability
00007ffa19d4d378 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFArchiver
00007ffa19d4d398 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventManager
00007ffa19d4d440 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFEventTrigger
00007ffa19d4d4a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFLazy
00007ffa19d4d4f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMultiDelegate
00007ffa19d4d5b0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFMutexLock
00007ffa19d4d600 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPendingPromise
00007ffa19d4d668 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromise(Firstly|Void|Delay|Timeout)
00007ffa19d4d7a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFPromiseSeal
00007ffa19d4d8a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFReachability
00007ffa19d4d948 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachine
00007ffa19d4da80 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineEvent
00007ffa19d4db40 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineState(Private)
00007ffa19d4dc90 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFStateMachineTransition
00007ffa19d4dd38 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFUnfairLock
00007ffa19d4dd98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NFVoid
00007ffa42354ab8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventManager
00007ffa42354bb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFEventTrigger
00007ffa423551b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFLazy
00007ffa42355ca8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMultiDelegate
00007ffa423558d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFMutexLock
00007ffa42354988 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPendingPromise
00007ffa42355328 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromise
00007ffa423555c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFPromiseSeal
00007ffa42355758 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFReachability
00007ffa42354f88 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachine
00007ffa42355988 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineEvent
00007ffa42355ae8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineState
00007ffa423547f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFStateMachineTransition
00007ffa42354720 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_NFUnfairLock
00007ffa42354e70 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFArchiver
00007ffa42354b00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventManager
00007ffa42354c60 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFEventTrigger
00007ffa42355220 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFLazy
00007ffa42355d10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFMultiDelegate
00007ffa423549f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPendingPromise
00007ffa42355350 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromise
00007ffa42355670 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFPromiseSeal
00007ffa423557e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFReachability
00007ffa42355070 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachine
00007ffa42355a10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineEvent
00007ffa42355bb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineState
00007ffa423548a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NFStateMachineTransition
00007ffa42354d00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ffa19d4ddb0 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NFArchiver
00007ffa19d4ddd0 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCopying
00007ffa19d4dde8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSLocking
00007ffa19d4de08 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ffa19d4def8 (__TEXT,__objc_methlist) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ffa42354e00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NFArchiver
00007ffa42355450 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCopying
00007ffa42354698 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSLocking
00007ffa42354d48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ffa42354de8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFArchiver
00007ffa423546a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NFLocking
00007ffa42354e10 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFArchiver
00007ffa42355870 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFMutexLock
00007ffa423546c0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFUnfairLock
00007ffa42355458 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_NFVoid
00007ffa42354eb8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFArchiver
00007ffa42354b28 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventManager
00007ffa42354cb8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFEventTrigger
00007ffa42355258 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFLazy
00007ffa42355d58 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMultiDelegate
00007ffa423558f8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFMutexLock
00007ffa42354a28 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPendingPromise
00007ffa42355408 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromise
00007ffa423556c8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFPromiseSeal
00007ffa42355828 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFReachability
00007ffa423550e8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachine
00007ffa42355a58 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineEvent
00007ffa42355c18 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineState
00007ffa423548f8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFStateMachineTransition
00007ffa42354768 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFUnfairLock
00007ffa423554b8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_NFVoid
00007ffa42354680 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFArchiver
00007ffa42354670 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NFLocking
00007ffa42354688 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00007ffa42354668 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSLocking
00007ffa42354678 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ffa42354e28 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFArchiver
00007ffa42354a70 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventManager
00007ffa42354b70 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFEventTrigger
00007ffa42355170 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFLazy
00007ffa42355c60 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMultiDelegate
00007ffa42355888 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFMutexLock
00007ffa42354940 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPendingPromise
00007ffa423552e0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromise
00007ffa42355580 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFPromiseSeal
00007ffa42355710 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFReachability
00007ffa42354f40 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachine
00007ffa42355940 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineEvent
00007ffa42355aa0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineState
00007ffa423547b0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFStateMachineTransition
00007ffa423546d8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFUnfairLock
00007ffa42355470 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_NFVoid
00007ffa43c11ec0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFArchiver
00007ffa43c11e00 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NFLocking
00007ffa43c11f38 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
00007ffa43c11da0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSLocking
00007ffa43c11e60 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ffa19d4c262 (__TEXT,__text) external __UIValueCGPointValue
00007ffa19d4c120 (__TEXT,__text) external __UIValueCGRectValue
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffa19d47fcb (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke
00007ffa19d48071 (__TEXT,__text) non-external ___17-[NFPromise pipe]_block_invoke_2
00007ffa19d47efa (__TEXT,__text) non-external ___17-[NFPromise then]_block_invoke
00007ffa19d48714 (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke
00007ffa19d48774 (__TEXT,__text) non-external ___18-[NFPromise delay]_block_invoke_2
00007ffa19d481d9 (__TEXT,__text) non-external ___18-[NFPromise error]_block_invoke
00007ffa19d480cd (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke
00007ffa19d4817d (__TEXT,__text) non-external ___19-[NFPromise pipeOn]_block_invoke_2
00007ffa19d47f61 (__TEXT,__text) non-external ___19-[NFPromise thenOn]_block_invoke
00007ffa19d487e6 (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke
00007ffa19d4889f (__TEXT,__text) non-external ___20-[NFPromise delayOn]_block_invoke_2
00007ffa19d48296 (__TEXT,__text) non-external ___20-[NFPromise errorOn]_block_invoke
00007ffa19d48300 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke
00007ffa19d483a6 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_2
00007ffa19d48468 (__TEXT,__text) non-external ___20-[NFPromise resolve]_block_invoke_3
00007ffa19d4853b (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke
00007ffa19d485eb (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_2
00007ffa19d486ad (__TEXT,__text) non-external ___22-[NFPromise resolveOn]_block_invoke_3
00007ffa19d49e85 (__TEXT,__text) non-external ___22-[NFReachability init]_block_invoke
00007ffa19d44376 (__TEXT,__text) non-external ___24-[NFPendingPromise init]_block_invoke
00007ffa19d478f9 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke
00007ffa19d47a10 (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_2
00007ffa19d47c0b (__TEXT,__text) non-external ___25-[NFPromise thenOn:then:]_block_invoke_3
00007ffa19d47e19 (__TEXT,__text) non-external ___27-[NFPromise errorOn:error:]_block_invoke
00007ffa19d47595 (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke
00007ffa19d475ff (__TEXT,__text) non-external ___30-[NFPromise initWithResolver:]_block_invoke.23
00007ffa19d49d27 (__TEXT,__text) non-external ___32+[NFReachability sharedInstance]_block_invoke
00007ffa19d496c2 (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke
00007ffa19d4972a (__TEXT,__text) non-external ___33-[NFPromiseSeal alwaysOn:always:]_block_invoke_2
00007ffa19d4a8d7 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke
00007ffa19d4ae95 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.12
00007ffa19d4af51 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.17
00007ffa19d4ad97 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke.7
00007ffa19d4ac3c (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2
00007ffa19d4af3e (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.13
00007ffa19d4afb7 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.18
00007ffa19d4ae4a (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_2.8
00007ffa19d4acd6 (__TEXT,__text) non-external ___38-[NFPromise(Timeout) timeoutAfter:on:]_block_invoke_3
00007ffa19d49479 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke
00007ffa19d495ba (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke.24
00007ffa19d495a7 (__TEXT,__text) non-external ___42-[NFPromiseSeal resolveOn:reject:resolve:]_block_invoke_2
00007ffa19d49fe5 (__TEXT,__text) non-external ___44-[NFReachability _updateCurrentNetworkPath:]_block_invoke
00007ffa19d48cbd (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke
00007ffa19d48d82 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withError:]_block_invoke_2
00007ffa19d48ae1 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke
00007ffa19d48ba6 (__TEXT,__text) non-external ___46+[NFPromise(Delay) asDelay:onQueue:withValue:]_block_invoke_2
00007ffa19d469c8 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke
00007ffa19d46b27 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.101
00007ffa19d46b48 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.107
00007ffa19d4cc00 (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.107.cold.1
00007ffa19d46b6a (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.114
00007ffa19d46bab (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.120
00007ffa19d46a3b (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_2
00007ffa19d46aae (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_3
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffa19d4c4bb (__TEXT,__text) non-external ___NFDeviceHasExtendedColorDisplay_block_invoke
00007ffa19d4c37c (__TEXT,__text) non-external ___NFDevicePlatform_block_invoke
00007ffa19d43e8e (__TEXT,__text) non-external ___NFInternalBuild_block_invoke
