00007ffb17cd2cf0 (__TEXT,__text) non-external +[ODCAction action]
00007ffb42792818 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._odSession
00007ffb427927f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._originalThread
00007ffb427927c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._percentComplete
00007ffb427927d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._progressStatus
00007ffb427927e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoverable
00007ffb427927a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._recoveryAction
00007ffb42792820 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remote
00007ffb42792838 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteAuthExtForm
00007ffb42792828 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._remoteauth_external
00007ffb42792768 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._results
00007ffb42792850 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._rootDSE
00007ffb427927b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._running
00007ffb427927f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._timeoutInterval
00007ffb42792800 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._updatesOnMainThread
00007ffb42792808 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userChangedUpdatesOnMainThread
00007ffb42792760 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAction._userInfo
00007ffb42792750 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addCertificates
00007ffb42792740 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._addServerToSearchPaths
00007ffb42792710 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._authBindOnlyIfRequired
00007ffb42792748 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._autoSSL
00007ffb427926e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._clientComputerID
00007ffb42792730 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._encryptionOnly
00007ffb42792700 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._errorOnOptionalAuthWithNoCredentials
00007ffb42792708 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._forceBind
00007ffb42792728 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._manInMiddle
00007ffb427926f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._password
00007ffb42792720 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._secureAuthOnly
00007ffb427926e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._serverName
00007ffb42792738 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._signPackets
00007ffb42792718 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._useSSL
00007ffb427926f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCAddODServerAction._userName
00007ffb427928a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._addDomainToSearchPaths
00007ffb42792888 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._clientComputerID
00007ffb427928a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._computerOU
00007ffb42792880 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._domainName
00007ffb427928b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._forceBind
00007ffb427928c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._optionsDictionary
00007ffb42792898 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._password
00007ffb427928b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._preferredServer
00007ffb42792890 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCBindToADAction._userName
00007ffb42792918 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCGetODServerInfoAction._serverName
00007ffb42792870 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._forceUnbind
00007ffb42792868 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._password
00007ffb42792878 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._removeServerFromSearchPaths
00007ffb42792858 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._serverName
00007ffb42792860 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCRemoveODServerAction._userName
00007ffb42792900 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isAuthBound
00007ffb42792908 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInAuthSearchPath
00007ffb42792910 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._isInContantsSearchPath
00007ffb427928e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._name
00007ffb427928f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._status
00007ffb427928f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCServer._type
00007ffb427928d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._forceUnbind
00007ffb427928d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._password
00007ffb427928e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._removeDomainFromSearchPaths
00007ffb427928c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_ODCUnbindFromADAction._userName
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ffb42792998 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAction
00007ffb42792948 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCAddODServerAction
00007ffb42792a38 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCBindToADAction
00007ffb42792b28 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCGetODServerInfoAction
00007ffb427929e8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCRemoveODServerAction
00007ffb42792ad8 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCServer
00007ffb42792a88 (__DATA,__objc_data) external _OBJC_METACLASS_$_ODCUnbindFromADAction
00007ffb40a6f9a8 (__DATA_CONST,__const) external _ODCActionErrorActionsKey
00007ffb40a6f9a0 (__DATA_CONST,__const) external _ODCActionErrorDomain
00007ffb40a6f9b8 (__DATA_CONST,__const) external _ODCActionFinishedNotification
00007ffb40a6f9b0 (__DATA_CONST,__const) external _ODCActionStartedNotification
00007ffb40a6f898 (__DATA_CONST,__const) external _ODCAddODServerStep1
00007ffb40a6f8a0 (__DATA_CONST,__const) external _ODCAddODServerStep2
00007ffb40a6f8a8 (__DATA_CONST,__const) external _ODCAddODServerStep3
00007ffb40a6f8b0 (__DATA_CONST,__const) external _ODCAddODServerStep4
00007ffb40a6f8b8 (__DATA_CONST,__const) external _ODCAddODServerStep5
00007ffb40a6f8c0 (__DATA_CONST,__const) external _ODCAddODServerStep6
00007ffb40a6f988 (__DATA_CONST,__const) external _ODCAuthSucceededNotification
00007ffb40a6f950 (__DATA_CONST,__const) external _ODCAuthedBindingAllowedKey
00007ffb40a6f958 (__DATA_CONST,__const) external _ODCAuthedBindingRequiredKey
00007ffb40a6f8e0 (__DATA_CONST,__const) external _ODCBindToADStep1
00007ffb40a6f8e8 (__DATA_CONST,__const) external _ODCBindToADStep2
00007ffb40a6f8f0 (__DATA_CONST,__const) external _ODCBindToADStep3
00007ffb40a6f8f8 (__DATA_CONST,__const) external _ODCBindToADStep4
00007ffb40a6f900 (__DATA_CONST,__const) external _ODCBindToADStep5
00007ffb40a6f908 (__DATA_CONST,__const) external _ODCBindToADStep6
00007ffb40a6f910 (__DATA_CONST,__const) external _ODCBindToADStep7
00007ffb40a6f918 (__DATA_CONST,__const) external _ODCBindToADStep8
00007ffb40a6f978 (__DATA_CONST,__const) external _ODCConfiguredSecurityLevel
00007ffb40a6f890 (__DATA_CONST,__const) external _ODCFrameworkErrorDomain
00007ffb40a6f938 (__DATA_CONST,__const) external _ODCGetODServerInfoStep1
00007ffb40a6f940 (__DATA_CONST,__const) external _ODCGetODServerInfoStep2
00007ffb40a6f948 (__DATA_CONST,__const) external _ODCGetODServerInfoStep3
00007ffb40a6f970 (__DATA_CONST,__const) external _ODCKerberosRealmNameKey
00007ffb40a6f8c8 (__DATA_CONST,__const) external _ODCRemoveODServerStep1
00007ffb40a6f8d0 (__DATA_CONST,__const) external _ODCRemoveODServerStep2
00007ffb40a6f8d8 (__DATA_CONST,__const) external _ODCRemoveODServerStep3
00007ffb40a6f968 (__DATA_CONST,__const) external _ODCServerActiveDirectoryDomainKey
00007ffb40a6f960 (__DATA_CONST,__const) external _ODCServerIsActiveDirectoryKey
00007ffb40a6f998 (__DATA_CONST,__const) external _ODCServerSSLCertificates
00007ffb40a6f990 (__DATA_CONST,__const) external _ODCServerSupportSSL
00007ffb40a6f980 (__DATA_CONST,__const) external _ODCSupportedSecurityLevel
00007ffb40a6f920 (__DATA_CONST,__const) external _ODCUnbindFromADStep1
00007ffb40a6f928 (__DATA_CONST,__const) external _ODCUnbindFromADStep2
00007ffb40a6f930 (__DATA_CONST,__const) external _ODCUnbindFromADStep3
                 (undefined) external _ODFrameworkErrorDomain (from OpenDirectory)
                 (undefined) external _ODTriggerCancel (from OpenDirectory)
                 (undefined) external _ODTriggerCreateForSearch (from OpenDirectory)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ffb17cdf5c8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAction
00007ffb17cdf400 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb17cdffa0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb17cdff08 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_ODCServer(PrivateMethods)
00007ffb17cdf640 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAction
00007ffb17cdf418 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCAddODServerAction(PrivateMethods)
00007ffb17cdfd50 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCBindToADAction
00007ffb17cdffb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCGetODServerInfoAction(PrivateMethods)
00007ffb17cdfc90 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCRemoveODServerAction
00007ffb17cdff28 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCServer(PrivateMethods)
00007ffb17cdfe70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_ODCUnbindFromADAction
00007ffb40a71f60 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAction
00007ffb40a71bf0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCAddODServerAction
00007ffb40a727f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCBindToADAction
00007ffb40a72d60 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCGetODServerInfoAction
00007ffb40a72660 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCRemoveODServerAction
00007ffb40a72ba0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCServer
00007ffb40a72a40 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_ODCUnbindFromADAction
00007ffb40a72368 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAction
00007ffb40a71dd8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCAddODServerAction
00007ffb40a72918 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCBindToADAction
00007ffb40a72d88 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCGetODServerInfoAction
00007ffb40a72708 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCRemoveODServerAction
00007ffb40a72c68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCServer
00007ffb40a72ac8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_ODCUnbindFromADAction
00007ffb40a725d0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAction
00007ffb40a71ed0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCAddODServerAction
00007ffb40a729b0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCBindToADAction
00007ffb40a72da0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCGetODServerInfoAction
00007ffb40a72760 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCRemoveODServerAction
00007ffb40a72cd0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCServer
00007ffb40a72b10 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_ODCUnbindFromADAction
00007ffb40a71f18 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAction
00007ffb40a71ba8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCAddODServerAction
00007ffb40a727a8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCBindToADAction
00007ffb40a72d18 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCGetODServerInfoAction
00007ffb40a72618 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCRemoveODServerAction
00007ffb40a72b58 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCServer
00007ffb40a729f8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_ODCUnbindFromADAction
                 (undefined) external __Unwind_Resume (from libSystem)
00007ffb17cd2d3e (__TEXT,__text) non-external ___19+[ODCAction action]_block_invoke
00007ffb17cdad28 (__TEXT,__text) non-external ___25-[ODCBindToADAction bind]_block_invoke
00007ffb17cd07a3 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke
00007ffb17cd0996 (__TEXT,__text) non-external ___28-[ODCAddODServerAction bind]_block_invoke.261
00007ffb17cd3ba5 (__TEXT,__text) non-external ___30-[ODCAction performCallbacks:]_block_invoke
00007ffb17cd0779 (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ffb17cd0790 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb17ce0070 (__TEXT,__const) external ___OpenDirectoryConfigVersionNumber
00007ffb17ce0030 (__TEXT,__const) external ___OpenDirectoryConfigVersionString
00007ffb17cdef6c (__TEXT,__text) non-external _____init_schema_block_invoke
00007ffb17cdef2a (__TEXT,__text) non-external ____schema_validate_type_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb40a6f9c0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e28_"NSError"16?0"ODCAction"8l
00007ffb40a6fa00 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e31_v24?0"NSNumber"8"NSString"16l
00007ffb40a6f860 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32o_e38_v24?0^{__ODTrigger=}8^{__CFString=}16l
00007ffb40a6f830 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32o40r48r56r_e13_"ODNode"8?0l
00007ffb40a6fc28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb40a6fc68 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.118
00007ffb40a6f9e0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb40a6fc48 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb40a6fc88 (__DATA_CONST,__const) non-external ___block_literal_global.119
00007ffb17cd09a4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o
00007ffb17cd08f3 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r48r56r
00007ffb17cd09bb (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o
00007ffb17cd094f (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r48r56r
00007ffb17cdf04b (__TEXT,__text) non-external ___fixup_schema2
00007ffb17cdf061 (__TEXT,__text) non-external ___fixup_schema3
00007ffb17cdf08f (__TEXT,__text) non-external ___fixup_schema4
00007ffb17cdf148 (__TEXT,__text) non-external ___fixup_schema5
00007ffb17cdedef (__TEXT,__text) non-external ___get_keyinfo
00007ffb42792b90 (__DATA,__bss) non-external ___init_schema.once
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
00007ffb17cde71e (__TEXT,__text) non-external __schema_construct
00007ffb17cde921 (__TEXT,__text) non-external __schema_deconstruct
00007ffb17cdee4a (__TEXT,__text) non-external __schema_validate_type
00007ffb42792b70 (__DATA,__bss) non-external __schema_validate_type.arr
00007ffb17cdf209 (__TEXT,__text) non-external __schema_validate_type.cold.1
00007ffb42792b88 (__DATA,__bss) non-external __schema_validate_type.dat
00007ffb42792b78 (__DATA,__bss) non-external __schema_validate_type.dic
00007ffb42792b80 (__DATA,__bss) non-external __schema_validate_type.num
00007ffb42792b60 (__DATA,__bss) non-external __schema_validate_type.once
00007ffb42792b68 (__DATA,__bss) non-external __schema_validate_type.str
                 (undefined) external _abort (from libSystem)
                 (undefined) external _arc4random (from libSystem)
                 (undefined) external _close (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
00007ffb42792b50 (__DATA,__bss) non-external _errorForUserCancellation.userCancellationError
                 (undefined) external _free (from libSystem)
                 (undefined) external _geteuid (from libSystem)
                 (undefined) external _gethostname (from libSystem)
                 (undefined) external _gethostuuid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFAllocatorNull (from CoreFoundation)
                 (undefined) external _kCFBooleanFalse (from CoreFoundation)
                 (undefined) external _kCFBooleanTrue (from CoreFoundation)
                 (undefined) external _kCFNull (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryValueCallBacks (from CoreFoundation)
                 (undefined) external _kODAttributeTypeAuthenticationAuthority (from OpenDirectory)
                 (undefined) external _kODAttributeTypeAutomaticSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeCustomSearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeENetAddress (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFullName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeFunctionalState (from OpenDirectory)
                 (undefined) external _kODAttributeTypeHardwareUUID (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLDAPReadReplicas (from OpenDirectory)
                 (undefined) external _kODAttributeTypeLocalOnlySearchPath (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaNodeLocation (from OpenDirectory)
                 (undefined) external _kODAttributeTypeMetaRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeOperatingSystemVersion (from OpenDirectory)
                 (undefined) external _kODAttributeTypePassword (from OpenDirectory)
                 (undefined) external _kODAttributeTypePluginIndex (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordName (from OpenDirectory)
                 (undefined) external _kODAttributeTypeRecordType (from OpenDirectory)
                 (undefined) external _kODAttributeTypeSearchPolicy (from OpenDirectory)
                 (undefined) external _kODAttributeTypeStandardOnly (from OpenDirectory)
                 (undefined) external _kODAttributeTypeXMLPlist (from OpenDirectory)
00007ffb40a6fbb8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainAccount
00007ffb40a6fbc0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainNodename
00007ffb40a6fbc8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainPassword
00007ffb40a6fbd0 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetAccount
00007ffb40a6fbd8 (__DATA_CONST,__const) external _kODConfigureCustomKeychainTargetNodename
00007ffb40a6fa70 (__DATA_CONST,__const) external _kODKeyConfigAttributes
00007ffb40a6fa78 (__DATA_CONST,__const) external _kODKeyConfigAuthentication
00007ffb40a6fa80 (__DATA_CONST,__const) external _kODKeyConfigComment
00007ffb40a6fa88 (__DATA_CONST,__const) external _kODKeyConfigDefault
00007ffb40a6fab0 (__DATA_CONST,__const) external _kODKeyConfigDescription
00007ffb40a6fa90 (__DATA_CONST,__const) external _kODKeyConfigDestination
00007ffb40a6fa98 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerHost
00007ffb40a6faa8 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerOther
00007ffb40a6faa0 (__DATA_CONST,__const) external _kODKeyConfigDestinationServerPort
00007ffb40a6fab8 (__DATA_CONST,__const) external _kODKeyConfigDiscovery
00007ffb40a6fac0 (__DATA_CONST,__const) external _kODKeyConfigHideRegistration
00007ffb40a6fac8 (__DATA_CONST,__const) external _kODKeyConfigLocked
00007ffb40a6fad0 (__DATA_CONST,__const) external _kODKeyConfigMappings
00007ffb40a6fad8 (__DATA_CONST,__const) external _kODKeyConfigModule
00007ffb40a6fae8 (__DATA_CONST,__const) external _kODKeyConfigModuleOptions
00007ffb40a6fae0 (__DATA_CONST,__const) external _kODKeyConfigModuleXPCService
00007ffb40a6faf0 (__DATA_CONST,__const) external _kODKeyConfigModules
00007ffb40a6faf8 (__DATA_CONST,__const) external _kODKeyConfigNodeName
00007ffb40a6fb00 (__DATA_CONST,__const) external _kODKeyConfigOptions
00007ffb40a6fb60 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionIdleDisconnect
00007ffb40a6fb58 (__DATA_CONST,__const) external _kODKeyConfigOptionsConnectionSetupTimeout
00007ffb40a6fb78 (__DATA_CONST,__const) external _kODKeyConfigOptionsManInTheMiddle
00007ffb40a6fb80 (__DATA_CONST,__const) external _kODKeyConfigOptionsNoCleartextAuthentication
00007ffb40a6fb70 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketEncryption
00007ffb40a6fb68 (__DATA_CONST,__const) external _kODKeyConfigOptionsPacketSigning
00007ffb40a6fb50 (__DATA_CONST,__const) external _kODKeyConfigOptionsQueryTimeout
00007ffb40a6fb08 (__DATA_CONST,__const) external _kODKeyConfigSession
00007ffb40a6fb10 (__DATA_CONST,__const) external _kODKeyConfigTemplate
00007ffb40a6fb20 (__DATA_CONST,__const) external _kODKeyConfigTrustAccount
00007ffb40a6fb28 (__DATA_CONST,__const) external _kODKeyConfigTrustKerberosPrincipal
00007ffb40a6fb30 (__DATA_CONST,__const) external _kODKeyConfigTrustMetaAccount
00007ffb40a6fb38 (__DATA_CONST,__const) external _kODKeyConfigTrustOptions
00007ffb40a6fb18 (__DATA_CONST,__const) external _kODKeyConfigTrustType
00007ffb40a6fb40 (__DATA_CONST,__const) external _kODKeyConfigUUID
00007ffb40a6fb48 (__DATA_CONST,__const) external _kODKeyConfigVirtualSubnodes
00007ffb40a6fbe0 (__DATA_CONST,__const) external _kODKeyMappingAttributeTypes
00007ffb40a6fbf0 (__DATA_CONST,__const) external _kODKeyMappingAttributes
00007ffb40a6fbf8 (__DATA_CONST,__const) external _kODKeyMappingCustom
00007ffb40a6fc00 (__DATA_CONST,__const) external _kODKeyMappingFunction
00007ffb40a6fc08 (__DATA_CONST,__const) external _kODKeyMappingInfo
00007ffb40a6fc10 (__DATA_CONST,__const) external _kODKeyMappingNative
00007ffb40a6fc18 (__DATA_CONST,__const) external _kODKeyMappingQuery
00007ffb40a6fbe8 (__DATA_CONST,__const) external _kODKeyMappingRecordTypes
00007ffb40a6fc20 (__DATA_CONST,__const) external _kODKeyMappingTranslate
00007ffb17ce00e0 (__TEXT,__const) external _kODNullUUID
                 (undefined) external _kODRecordTypeComputers (from OpenDirectory)
                 (undefined) external _kODRecordTypeConfiguration (from OpenDirectory)
                 (undefined) external _kODRecordTypeGroups (from OpenDirectory)
                 (undefined) external _kODRecordTypeUsers (from OpenDirectory)
                 (undefined) external _kODSessionProxyAddress (from OpenDirectory)
                 (undefined) external _kODSessionProxyPassword (from OpenDirectory)
                 (undefined) external _kODSessionProxyUsername (from OpenDirectory)
00007ffb40a6fba0 (__DATA_CONST,__const) external _kODTrustOptionsMutualAuthentication
00007ffb40a6fbb0 (__DATA_CONST,__const) external _kODTrustOptionsUseKerberosKeytab
00007ffb40a6fba8 (__DATA_CONST,__const) external _kODTrustOptionsUseSystemKeychain
00007ffb40a6fb98 (__DATA_CONST,__const) external _kODTrustTypeAnonymous
00007ffb40a6fb90 (__DATA_CONST,__const) external _kODTrustTypeAuthenticated
00007ffb40a6fb88 (__DATA_CONST,__const) external _kODTrustTypeJoined
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffb17cded90 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffb42792b58 (__DATA,__bss) non-external _request_schema
00007ffb17cde85d (__TEXT,__text) external _schema_construct_request
00007ffb17cde704 (__TEXT,__text) external _schema_construct_requestv
00007ffb17cdeccc (__TEXT,__text) external _schema_construct_result
00007ffb17cdecb2 (__TEXT,__text) external _schema_construct_resultv
00007ffb17cde907 (__TEXT,__text) external _schema_deconstruct_request
