000000025947e86c (__TEXT,__text) non-external _Done_iODBC
000000026a57d508 (__DATA_CONST,__const) non-external __mask_SQL_SYSTEM_FUNCTIONS
000000026a57d528 (__DATA_CONST,__const) non-external __mask_SQL_TIMEDATE_FUNCTIONS
000000026a57d5d8 (__DATA_CONST,__const) non-external __mask_SQL_TXN_CAPABLE
000000026a57d8d8 (__DATA_CONST,__const) non-external __mask_SQL_UNION
000000026a57d888 (__DATA_CONST,__const) non-external __mask_TIMEDATE_INTERVALS
000000026a57d240 (__DATA_CONST,__const) non-external __mask_TXN_ISOLATION
000000025949641c (__TEXT,__text) non-external __trace_bufferlen
0000000259495adc (__TEXT,__text) non-external __trace_c_type
0000000259492700 (__TEXT,__text) non-external __trace_colattr2_type
0000000259492ab8 (__TEXT,__text) non-external __trace_colattr3_data
0000000259492760 (__TEXT,__text) non-external __trace_colattr3_type
000000025948e77c (__TEXT,__text) non-external __trace_connattr_type
0000000259496778 (__TEXT,__text) non-external __trace_connopt_type
00000002594989f0 (__TEXT,__text) non-external __trace_connstr
0000000259498d20 (__TEXT,__text) non-external __trace_connstr_hidepwd
0000000259498c58 (__TEXT,__text) non-external __trace_connstr_w
0000000259497bf0 (__TEXT,__text) non-external __trace_data
000000025948ea78 (__TEXT,__text) non-external __trace_desc_null
0000000259491fc4 (__TEXT,__text) non-external __trace_descfield_type
0000000259497868 (__TEXT,__text) non-external __trace_diag_type
00000002594943a4 (__TEXT,__text) non-external __trace_direction
0000000259498af8 (__TEXT,__text) non-external __trace_drvcn_completion
000000025948f494 (__TEXT,__text) non-external __trace_envattr_type
000000025948fd48 (__TEXT,__text) non-external __trace_fetchtype
00000002594992f4 (__TEXT,__text) non-external __trace_freestmt_option
00000002594939d8 (__TEXT,__text) non-external __trace_func_name
000000025949390c (__TEXT,__text) non-external __trace_func_result
000000025948ffe4 (__TEXT,__text) non-external __trace_getinfo
00000002594953f4 (__TEXT,__text) non-external __trace_handle
0000000259495380 (__TEXT,__text) non-external __trace_handle_p
0000000259495320 (__TEXT,__text) non-external __trace_handletype
0000000259495e54 (__TEXT,__text) non-external __trace_inouttype
00000002594954b8 (__TEXT,__text) non-external __trace_integer
0000000259495658 (__TEXT,__text) non-external __trace_integer_p
000000025949578c (__TEXT,__text) non-external __trace_len
00000002594957f4 (__TEXT,__text) non-external __trace_len_p
0000000259495528 (__TEXT,__text) non-external __trace_pointer
0000000259495130 (__TEXT,__text) non-external __trace_print_function
000000025948fe58 (__TEXT,__text) non-external __trace_scrollopt_type
000000025948fb68 (__TEXT,__text) non-external __trace_setpos_irow
000000025948fc00 (__TEXT,__text) non-external __trace_setpos_lock
000000025948fba0 (__TEXT,__text) non-external __trace_setpos_oper
0000000259495448 (__TEXT,__text) non-external __trace_smallint
0000000259495570 (__TEXT,__text) non-external __trace_smallint_p
000000025948f794 (__TEXT,__text) non-external __trace_spcols_null
000000025948f734 (__TEXT,__text) non-external __trace_spcols_scope
000000025948f6d0 (__TEXT,__text) non-external __trace_spcols_type
0000000259496338 (__TEXT,__text) non-external __trace_sql_subtype
0000000259495eb4 (__TEXT,__text) non-external __trace_sql_type
00000002594960d8 (__TEXT,__text) non-external __trace_sql_type_p
0000000259498fb0 (__TEXT,__text) non-external __trace_stats_accuracy
0000000259498f4c (__TEXT,__text) non-external __trace_stats_unique
0000000259496b44 (__TEXT,__text) non-external __trace_stmtattr_type
00000002594974a8 (__TEXT,__text) non-external __trace_stmtopt_type
00000002594958dc (__TEXT,__text) non-external __trace_string
00000002594959c0 (__TEXT,__text) non-external __trace_string_w
0000000259495740 (__TEXT,__text) non-external __trace_stringlen
000000026a57e420 (__DATA_CONST,__const) non-external __trace_sym_handletype
00000002594982e0 (__TEXT,__text) non-external __trace_tran_completion
0000000259498624 (__TEXT,__text) non-external __trace_typeinfo
00000002594954f0 (__TEXT,__text) non-external __trace_uinteger
00000002594956cc (__TEXT,__text) non-external __trace_uinteger_p
00000002594957c0 (__TEXT,__text) non-external __trace_ulen
0000000259495868 (__TEXT,__text) non-external __trace_ulen_p
0000000259495480 (__TEXT,__text) non-external __trace_usmallint
00000002594955e4 (__TEXT,__text) non-external __trace_usmallint_p
                 (undefined) external _access (from libSystem)
                 (undefined) external _atoi (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _close (from libSystem)
000000026f16c53a (__DATA,__common) non-external _configMode
                 (undefined) external _creat (from libSystem)
                 (undefined) external _dlclose (from libSystem)
                 (undefined) external _dlerror (from libSystem)
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
000000025949a308 (__TEXT,__text) non-external _dm_SQL_A2W
000000025949a880 (__TEXT,__text) non-external _dm_SQL_U8toW
000000025949a284 (__TEXT,__text) non-external _dm_SQL_W2A
000000025949a5c4 (__TEXT,__text) non-external _dm_SQL_WtoU8
000000025949a394 (__TEXT,__text) non-external _dm_StrCopyOut2_A2W
000000025949aabc (__TEXT,__text) non-external _dm_StrCopyOut2_U8toW
000000025949a450 (__TEXT,__text) non-external _dm_StrCopyOut2_W2A
000000025949a50c (__TEXT,__text) non-external _dm_strcpy_A2W
000000025949a568 (__TEXT,__text) non-external _dm_strcpy_W2A
000000025949bfb0 (__TEXT,__text) non-external _do_create_dsns
000000026f16c4f8 (__DATA,__common) non-external _errormsg
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fdopen (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _ftell (from libSystem)
                 (undefined) external _getenv (from libSystem)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _getprogname (from libSystem)
                 (undefined) external _getpwuid (from libSystem)
                 (undefined) external _gettimeofday (from libSystem)
                 (undefined) external _getuid (from libSystem)
000000026f16c4d8 (__DATA,__common) non-external _ierror
000000025949c104 (__TEXT,__text) non-external _install_from_ini
000000025949c5e0 (__TEXT,__text) non-external _install_from_string
000000026f16bf40 (__DATA,__data) external _iodbc_version
000000026f16c418 (__DATA,__data) non-external _iodbcdm_global_lock
                 (undefined) external _localtime_r (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _mbstowcs (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
000000026f16c460 (__DATA,__data) non-external _numerrors
000000026f16bf48 (__DATA,__data) non-external _odbcapi_symtab
                 (undefined) external _open (from libSystem)
000000026f16c468 (__DATA,__bss) non-external _pRoot
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _read (from libSystem)
000000025949c7dc (__TEXT,__text) non-external _rtrim
                 (undefined) external _setvbuf (from libSystem)
                 (undefined) external _snprintf (from libSystem)
000000026a57c6b0 (__DATA_CONST,__const) non-external _sqlerrmsg_tab
000000026f16c4a8 (__DATA,__bss) non-external _starttime
                 (undefined) external _stat (from libSystem)
                 (undefined) external _strcasecmp (from libSystem)
                 (undefined) external _strchr (from libSystem)
                 (undefined) external _strcmp (from libSystem)
                 (undefined) external _strcpy (from libSystem)
                 (undefined) external _strdup (from libSystem)
                 (undefined) external _strftime (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strncpy (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _strstr (from libSystem)
                 (undefined) external _time (from libSystem)
0000000259491874 (__TEXT,__text) non-external _trace_SQLAllocConnect
00000002594966ac (__TEXT,__text) non-external _trace_SQLAllocEnv
0000000259492530 (__TEXT,__text) non-external _trace_SQLAllocHandle
00000002594942a0 (__TEXT,__text) non-external _trace_SQLAllocStmt
0000000259492480 (__TEXT,__text) non-external _trace_SQLBindCol
0000000259493164 (__TEXT,__text) non-external _trace_SQLBindParameter
00000002594964fc (__TEXT,__text) non-external _trace_SQLBrowseConnect
00000002594965d4 (__TEXT,__text) non-external _trace_SQLBrowseConnectW
000000025948f634 (__TEXT,__text) non-external _trace_SQLBulkOperations
0000000259497b40 (__TEXT,__text) non-external _trace_SQLCancel
000000025949435c (__TEXT,__text) non-external _trace_SQLCloseCursor
00000002594929f8 (__TEXT,__text) non-external _trace_SQLColAttribute
0000000259492eb8 (__TEXT,__text) non-external _trace_SQLColAttributeW
0000000259492f78 (__TEXT,__text) non-external _trace_SQLColAttributes
0000000259493044 (__TEXT,__text) non-external _trace_SQLColAttributesW
0000000259497630 (__TEXT,__text) non-external _trace_SQLColumnPrivileges
000000025949774c (__TEXT,__text) non-external _trace_SQLColumnPrivilegesW
000000025949196c (__TEXT,__text) non-external _trace_SQLColumns
0000000259491a88 (__TEXT,__text) non-external _trace_SQLColumnsW
0000000259496f18 (__TEXT,__text) non-external _trace_SQLConnect
0000000259497004 (__TEXT,__text) non-external _trace_SQLConnectW
000000025948fcf0 (__TEXT,__text) non-external _trace_SQLCopyDesc
0000000259494430 (__TEXT,__text) non-external _trace_SQLDataSources
0000000259494530 (__TEXT,__text) non-external _trace_SQLDataSourcesW
000000025948eb0c (__TEXT,__text) non-external _trace_SQLDescribeCol
000000025948ec18 (__TEXT,__text) non-external _trace_SQLDescribeColW
0000000259497570 (__TEXT,__text) non-external _trace_SQLDescribeParam
0000000259494314 (__TEXT,__text) non-external _trace_SQLDisconnect
00000002594988f0 (__TEXT,__text) non-external _trace_SQLDriverConnect
0000000259498b58 (__TEXT,__text) non-external _trace_SQLDriverConnectW
0000000259493434 (__TEXT,__text) non-external _trace_SQLDrivers
0000000259493534 (__TEXT,__text) non-external _trace_SQLDriversW
000000025949180c (__TEXT,__text) non-external _trace_SQLEndTran
000000025948ef94 (__TEXT,__text) non-external _trace_SQLError
000000025948f094 (__TEXT,__text) non-external _trace_SQLErrorW
000000025949403c (__TEXT,__text) non-external _trace_SQLExecDirect
00000002594940c0 (__TEXT,__text) non-external _trace_SQLExecDirectW
000000025948f688 (__TEXT,__text) non-external _trace_SQLExecute
000000025948fdb0 (__TEXT,__text) non-external _trace_SQLExtendedFetch
0000000259494738 (__TEXT,__text) non-external _trace_SQLFetch
0000000259496710 (__TEXT,__text) non-external _trace_SQLFetchScroll
00000002594970f0 (__TEXT,__text) non-external _trace_SQLForeignKeys
0000000259497270 (__TEXT,__text) non-external _trace_SQLForeignKeysW
0000000259497460 (__TEXT,__text) non-external _trace_SQLFreeConnect
000000025948fb20 (__TEXT,__text) non-external _trace_SQLFreeEnv
00000002594917b8 (__TEXT,__text) non-external _trace_SQLFreeHandle
000000025949934c (__TEXT,__text) non-external _trace_SQLFreeStmt
000000025948e930 (__TEXT,__text) non-external _trace_SQLGetConnectAttr
000000025948e9d4 (__TEXT,__text) non-external _trace_SQLGetConnectAttrW
00000002594969a4 (__TEXT,__text) non-external _trace_SQLGetConnectOption
0000000259496a0c (__TEXT,__text) non-external _trace_SQLGetConnectOptionW
00000002594925b8 (__TEXT,__text) non-external _trace_SQLGetCursorName
000000025949265c (__TEXT,__text) non-external _trace_SQLGetCursorNameW
00000002594981d4 (__TEXT,__text) non-external _trace_SQLGetData
0000000259492320 (__TEXT,__text) non-external _trace_SQLGetDescField
00000002594923d0 (__TEXT,__text) non-external _trace_SQLGetDescFieldW
000000025948ed24 (__TEXT,__text) non-external _trace_SQLGetDescRec
000000025948ee5c (__TEXT,__text) non-external _trace_SQLGetDescRecW
00000002594979cc (__TEXT,__text) non-external _trace_SQLGetDiagField
0000000259497a90 (__TEXT,__text) non-external _trace_SQLGetDiagFieldW
000000025948f2a4 (__TEXT,__text) non-external _trace_SQLGetDiagRec
000000025948f39c (__TEXT,__text) non-external _trace_SQLGetDiagRecW
000000025948f520 (__TEXT,__text) non-external _trace_SQLGetEnvAttr
0000000259493fc4 (__TEXT,__text) non-external _trace_SQLGetFunctions
000000025948ff34 (__TEXT,__text) non-external _trace_SQLGetInfo
0000000259491468 (__TEXT,__text) non-external _trace_SQLGetInfoW
0000000259496de4 (__TEXT,__text) non-external _trace_SQLGetStmtAttr
0000000259496e88 (__TEXT,__text) non-external _trace_SQLGetStmtAttrW
0000000259497508 (__TEXT,__text) non-external _trace_SQLGetStmtOption
0000000259498848 (__TEXT,__text) non-external _trace_SQLGetTypeInfo
000000025949889c (__TEXT,__text) non-external _trace_SQLGetTypeInfoW
0000000259498298 (__TEXT,__text) non-external _trace_SQLMoreResults
0000000259491dec (__TEXT,__text) non-external _trace_SQLNativeSql
0000000259491ed8 (__TEXT,__text) non-external _trace_SQLNativeSqlW
0000000259491ba4 (__TEXT,__text) non-external _trace_SQLNumParams
00000002594973f0 (__TEXT,__text) non-external _trace_SQLNumResultCols
0000000259493110 (__TEXT,__text) non-external _trace_SQLParamData
00000002594918e8 (__TEXT,__text) non-external _trace_SQLParamOptions
00000002594993a0 (__TEXT,__text) non-external _trace_SQLPrepare
0000000259499424 (__TEXT,__text) non-external _trace_SQLPrepareW
0000000259493634 (__TEXT,__text) non-external _trace_SQLPrimaryKeys
0000000259493720 (__TEXT,__text) non-external _trace_SQLPrimaryKeysW
0000000259491518 (__TEXT,__text) non-external _trace_SQLProcedureColumns
0000000259491634 (__TEXT,__text) non-external _trace_SQLProcedureColumnsW
000000025949325c (__TEXT,__text) non-external _trace_SQLProcedures
0000000259493348 (__TEXT,__text) non-external _trace_SQLProceduresW
0000000259497b88 (__TEXT,__text) non-external _trace_SQLPutData
000000025948f5c4 (__TEXT,__text) non-external _trace_SQLRowCount
0000000259498e64 (__TEXT,__text) non-external _trace_SQLSetConnectAttr
0000000259498ed8 (__TEXT,__text) non-external _trace_SQLSetConnectAttrW
0000000259496a74 (__TEXT,__text) non-external _trace_SQLSetConnectOption
0000000259496adc (__TEXT,__text) non-external _trace_SQLSetConnectOptionW
0000000259494630 (__TEXT,__text) non-external _trace_SQLSetCursorName
00000002594946b4 (__TEXT,__text) non-external _trace_SQLSetCursorNameW
000000025948f194 (__TEXT,__text) non-external _trace_SQLSetDescField
000000025948f21c (__TEXT,__text) non-external _trace_SQLSetDescFieldW
000000025949380c (__TEXT,__text) non-external _trace_SQLSetDescRec
0000000259494144 (__TEXT,__text) non-external _trace_SQLSetEnvAttr
000000025948fc60 (__TEXT,__text) non-external _trace_SQLSetPos
000000025948fec0 (__TEXT,__text) non-external _trace_SQLSetScrollOptions
00000002594941b8 (__TEXT,__text) non-external _trace_SQLSetStmtAttr
000000025949422c (__TEXT,__text) non-external _trace_SQLSetStmtAttrW
0000000259491750 (__TEXT,__text) non-external _trace_SQLSetStmtOption
000000025948f7f8 (__TEXT,__text) non-external _trace_SQLSpecialColumns
000000025948f98c (__TEXT,__text) non-external _trace_SQLSpecialColumnsW
0000000259499014 (__TEXT,__text) non-external _trace_SQLStatistics
0000000259499184 (__TEXT,__text) non-external _trace_SQLStatisticsW
0000000259491c14 (__TEXT,__text) non-external _trace_SQLTablePrivileges
0000000259491d00 (__TEXT,__text) non-external _trace_SQLTablePrivilegesW
00000002594983ec (__TEXT,__text) non-external _trace_SQLTables
0000000259498508 (__TEXT,__text) non-external _trace_SQLTablesW
0000000259498344 (__TEXT,__text) non-external _trace_SQLTransact
000000026f16c498 (__DATA,__bss) non-external _trace_appname
0000000259494cf0 (__TEXT,__text) non-external _trace_emit
0000000259494f80 (__TEXT,__text) non-external _trace_emit_binary
0000000259494d54 (__TEXT,__text) non-external _trace_emit_string
0000000259494d38 (__TEXT,__text) non-external _trace_emitc
000000026f16c4a0 (__DATA,__bss) non-external _trace_fname
000000026f16c4b8 (__DATA,__bss) non-external _trace_fp
000000026f16c4c0 (__DATA,__bss) non-external _trace_fp_close
00000002594947bc (__TEXT,__text) non-external _trace_get_filename
0000000259494780 (__TEXT,__text) non-external _trace_set_appname
00000002594947c8 (__TEXT,__text) non-external _trace_set_filename
0000000259494a98 (__TEXT,__text) non-external _trace_start
0000000259494c3c (__TEXT,__text) non-external _trace_stop
0000000259494a20 (__TEXT,__text) non-external _trace_strftime_now
                 (undefined) external _tzset (from libSystem)
000000025949aa40 (__TEXT,__text) non-external _utf8_len
000000025949ab60 (__TEXT,__text) non-external _utf8towcs
                 (undefined) external _vfprintf (from libSystem)
000000026f16c538 (__DATA,__common) non-external _wSystemDSN
                 (undefined) external _wcschr (from libSystem)
                 (undefined) external _wcscpy (from libSystem)
                 (undefined) external _wcslen (from libSystem)
                 (undefined) external _wcsncat (from libSystem)
                 (undefined) external _wcsncpy (from libSystem)
                 (undefined) external _wcstombs (from libSystem)
