00000001a0ea3ff8 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a0e91dac (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithApplication:path:developerName:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a0e92030 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithCoder:]
00000001a0e91f04 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem initWithDeveloper:teamID:bundleIDs:allowed:rebootRequired:isPendingUpgrade:]
00000001a0e91d90 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem init]
00000001a0e923b0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isAllowed]
00000001a0e9201c (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isModified]
00000001a0e923c8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isPendingUpgrade]
00000001a0e923c0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem isRebootRequired]
00000001a0e92334 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem redactedDescription]
00000001a0e923b8 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem setAllowed:]
00000001a0e923a0 (__TEXT,__text) non-external -[SPKernelExtensionPolicyItem teamID]
00000001a0ea31f8 (__TEXT,__text) non-external -[SPMigrationScanner .cxx_destruct]
00000001a0ea31f0 (__TEXT,__text) non-external -[SPMigrationScanner allBundleURLs]
00000001a0ea31e8 (__TEXT,__text) non-external -[SPMigrationScanner allKextURLs]
00000001a0ea2eb8 (__TEXT,__text) non-external -[SPMigrationScanner initWithRoot:]
00000001a0ea2f4c (__TEXT,__text) non-external -[SPMigrationScanner performMigrationScan]
00000001a0ea31e0 (__TEXT,__text) non-external -[SPMigrationScanner volumeRoot]
00000001a0ea2e38 (__TEXT,__text) non-external -[SPProvenanceMetadata .cxx_destruct]
00000001a0ea2de8 (__TEXT,__text) non-external -[SPProvenanceMetadata bundleID]
00000001a0ea2e24 (__TEXT,__text) non-external -[SPProvenanceMetadata cdhash]
00000001a0ea2cd8 (__TEXT,__text) non-external -[SPProvenanceMetadata encodeWithCoder:]
00000001a0ea2af4 (__TEXT,__text) non-external -[SPProvenanceMetadata initWithCoder:]
00000001a0ea2dc0 (__TEXT,__text) non-external -[SPProvenanceMetadata rootID]
00000001a0ea2df0 (__TEXT,__text) non-external -[SPProvenanceMetadata setBundleID:]
00000001a0ea2e2c (__TEXT,__text) non-external -[SPProvenanceMetadata setCdhash:]
00000001a0ea2dc8 (__TEXT,__text) non-external -[SPProvenanceMetadata setRootID:]
00000001a0ea2e18 (__TEXT,__text) non-external -[SPProvenanceMetadata setSigningID:]
00000001a0ea2e04 (__TEXT,__text) non-external -[SPProvenanceMetadata setTeamID:]
00000001a0ea2db4 (__TEXT,__text) non-external -[SPProvenanceMetadata setUniqueID:]
00000001a0ea2ddc (__TEXT,__text) non-external -[SPProvenanceMetadata setUrl:]
00000001a0ea2e10 (__TEXT,__text) non-external -[SPProvenanceMetadata signingID]
00000001a0ea2dfc (__TEXT,__text) non-external -[SPProvenanceMetadata teamID]
00000001a0ea2dac (__TEXT,__text) non-external -[SPProvenanceMetadata uniqueID]
00000001a0ea2dd4 (__TEXT,__text) non-external -[SPProvenanceMetadata url]
00000001a0e94298 (__TEXT,__text) non-external -[SPProvenanceTracking .cxx_destruct]
00000001a0e93f6c (__TEXT,__text) non-external -[SPProvenanceTracking dealloc]
00000001a0e94190 (__TEXT,__text) non-external -[SPProvenanceTracking findAssociatedProvenanceEntries:]
00000001a0e940a4 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForID:]
00000001a0e93fb8 (__TEXT,__text) non-external -[SPProvenanceTracking findProvenanceEntryForURL:]
00000001a0e9427c (__TEXT,__text) non-external -[SPProvenanceTracking getAllProvenanceEntries]
00000001a0e93dec (__TEXT,__text) non-external -[SPProvenanceTracking init]
00000001a0e92bc4 (__TEXT,__text) non-external -[StagedBundleData .cxx_destruct]
00000001a0e92ba8 (__TEXT,__text) non-external -[StagedBundleData access:]
00000001a0e92bbc (__TEXT,__text) non-external -[StagedBundleData bundle]
00000001a0e926bc (__TEXT,__text) non-external -[StagedBundleData handleReload]
00000001a0e92438 (__TEXT,__text) non-external -[StagedBundleData initWithURL:withStagedURL:withReloadBlock:withPrepareBlock:]
00000001a0e92bb4 (__TEXT,__text) non-external -[StagedBundleData stagedBundle]
00000001a0ea9cf4 (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a0ea9d7c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001a0ea9d2c (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001a0ea9d54 (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001a0ea9d14 (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a0ea9d8c (__TEXT,__gcc_except_tab) non-external GCC_except_table5
00000001a0ea3dd8 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibrary
00000001a0ea3c00 (__TEXT,__text) non-external (was a private external) _AppleMobileFileIntegrityLibraryCore
00000001d9afc988 (__DATA,__bss) non-external _AppleMobileFileIntegrityLibraryCore.frameworkLibrary
00000001a0e9efc0 (__TEXT,__text) non-external _BooleanXPCImpl
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBundleCopyExecutableURL (from CoreFoundation)
                 (undefined) external _CFBundleCreate (from CoreFoundation)
                 (undefined) external _CFBundleGetIdentifier (from CoreFoundation)
                 (undefined) external _CFBundleGetInfoDictionary (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFDataGetTypeID (from CoreFoundation)
                 (undefined) external _CFDateGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFEqual (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFNumberCreate (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFStringGetTypeID (from CoreFoundation)
                 (undefined) external _FSEventStreamCreate (from CoreServices)
                 (undefined) external _FSEventStreamInvalidate (from CoreServices)
                 (undefined) external _FSEventStreamRelease (from CoreServices)
                 (undefined) external _FSEventStreamScheduleWithRunLoop (from CoreServices)
                 (undefined) external _FSEventStreamStart (from CoreServices)
                 (undefined) external _FSEventStreamStop (from CoreServices)
00000001d581f978 (__DATA_CONST,__const) external _GKErrorDomain
                 (undefined) weak external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) weak external _MISInstallProvisioningProfile (from libmis)
                 (undefined) weak external _MISProfileCreateWithFile (from libmis)
                 (undefined) weak external _MISProvisioningProfileCheckValidity (from libmis)
                 (undefined) weak external _MISProvisioningProfileGetUUID (from libmis)
                 (undefined) weak external _MISRemoveProvisioningProfile (from libmis)
                 (undefined) weak external _MISUPPTrusted (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfo (from libmis)
                 (undefined) weak external _MISValidateSignatureAndCopyInfoWithProgress (from libmis)
                 (undefined) external _NSFileModificationDate (from Foundation)
                 (undefined) external _NSHomeDirectory (from Foundation)
                 (undefined) external _NSLocalizedDescriptionKey (from Foundation)
                 (undefined) external _NSPOSIXErrorDomain (from Foundation)
                 (undefined) external _NSURLErrorKey (from Foundation)
                 (undefined) external _NSURLIsDirectoryKey (from CoreFoundation)
00000001dc02b288 (__AUTH,__objc_data) external _OBJC_CLASS_$_AKELData
00000001dc02b8a0 (__AUTH,__objc_data) external _OBJC_CLASS_$_AMFI
00000001dc02b440 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapper
00000001dc02b940 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicy
00000001dc02b8c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_AppWrapperPolicyResult
00000001dc02b3c8 (__AUTH,__objc_data) external _OBJC_CLASS_$_BundleData
00000001dc02b4b8 (__AUTH,__objc_data) external _OBJC_CLASS_$_GKScanResult
00000001dc02b698 (__AUTH,__objc_data) external _OBJC_CLASS_$_MIS
                 (undefined) external _OBJC_CLASS_$_NSArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSConstantIntegerNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDate (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSLock (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableArray (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableData (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableDictionary (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSMutableString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNull (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSSet (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSThread (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSUUID (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
00000001dc02b350 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyCacheMeta
00000001dc02b788 (__AUTH,__objc_data) external _OBJC_CLASS_$_PolicyScanTarget
00000001dc02b968 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPDeveloperPolicy
00000001dc02b558 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionHistoryItem
00000001dc02b5f8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicy
00000001dc02b468 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPExecutionPolicyItem
00000001dc02b2d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPFilePolicy
00000001dc02b738 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPInstallationPolicy
00000001dc02b5a8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistory
00000001dc02b648 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionHistoryItem
00000001dc02b198 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicy
00000001dc02b1c0 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPKernelExtensionPolicyItem
00000001dc02b508 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPLog
00000001dc02b6e8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigration
00000001dc02b828 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPMigrationScanner
00000001dc02b7d8 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceMetadata
00000001dc02b378 (__AUTH,__objc_data) external _OBJC_CLASS_$_SPProvenanceTracking
00000001dc02b238 (__AUTH,__objc_data) external _OBJC_CLASS_$_StagedBundleData
00000001d9afc504 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._bundle
00000001d9afc508 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._signatureExceptionData
00000001d9afc50c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AKELData._timestampExceptionData
00000001d9afc6a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isModified
00000001d9afc69c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.isValid
00000001d9afc6a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_AppWrapperPolicyResult.signerCategory
00000001d9afc534 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._isSignedBundle
00000001d9afc538 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._reloadHandler
00000001d9afc53c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._stream
00000001d9afc548 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._timestamp
00000001d9afc530 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._url
00000001d9afc540 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._version
00000001d9afc544 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_BundleData._versionNumber
00000001d9afc56c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.allowed
00000001d9afc570 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_GKScanResult.gkError
00000001d9afc51c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._forEntry
00000001d9afc518 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._lastMiss
00000001d9afc510 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._metaId
00000001d9afc514 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._missCount
00000001d9afc520 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._sourceTable
00000001d9afc524 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyCacheMeta._target
00000001d9afc600 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._blockDevice
00000001d9afc630 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundle
00000001d9afc620 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleID
00000001d9afc624 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._bundleVersion
00000001d9afc63c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhash
00000001d9afc640 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashData
00000001d9afc644 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._cdhashDigestAlgorithm
00000001d9afc610 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._checkValidity
00000001d9afc60c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._chgTime
00000001d9afc650 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._entitlements
00000001d9afc5f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._fsTypeName
00000001d9afc62c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isAppWrapper
00000001d9afc668 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isBundled
00000001d9afc628 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isDirectory
00000001d9afc65c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantined
00000001d9afc658 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isQuarantinedMount
00000001d9afc664 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isScript
00000001d9afc660 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._isUserApproved
00000001d9afc61c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mainExecutableURL
00000001d9afc608 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._modTime
00000001d9afc604 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._mountTime
00000001d9afc5f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._objectID
00000001d9afc618 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._originalURL
00000001d9afc5f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pathOnVolume
00000001d9afc670 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._pid
00000001d9afc654 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._quarantineChecked
00000001d9afc64c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingID
00000001d9afc638 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._signingInfo
00000001d9afc634 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._staticCodeRef
00000001d9afc648 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._teamID
00000001d9afc66c (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._triggeredByLibraryLoad
00000001d9afc614 (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._url
00000001d9afc5fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumePath
00000001d9afc5ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_PolicyScanTarget._volumeUUID
00000001d9afc6ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._connection
00000001d9afc6a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPDeveloperPolicy._interface
00000001d9afc584 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._cdHash
00000001d9afc58c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._developerName
00000001d9afc574 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._execPath
00000001d9afc590 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._lastSeen
00000001d9afc578 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._mmapPath
00000001d9afc588 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._responsiblePath
00000001d9afc57c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._signingID
00000001d9afc580 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionHistoryItem._teamID
00000001d9afc5b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._connection
00000001d9afc5ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._interface
00000001d9afc5b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._lock
00000001d9afc5b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPExecutionPolicy._progressBlock
00000001d9afc568 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._blockedReasonDescription
00000001d9afc558 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._cdHash
00000001d9afc54c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._itemPath
00000001d9afc564 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._knownMalware
00000001d9afc55c (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsApproval
00000001d9afc560 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._needsOverride
00000001d9afc550 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._signingID
00000001d9afc554 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPExecutionPolicyItem._teamID
00000001d9afc5e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._connection
00000001d9afc5e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._interface
00000001d9afc5e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPInstallationPolicy._requireDaemon
00000001d9afc598 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._connection
00000001d9afc594 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPKernelExtensionHistory._interface
00000001d9afc5d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.bundleID
00000001d9afc5d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.cdHash
00000001d9afc5c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isCodeless
00000001d9afc5c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isDeprecated
00000001d9afc5bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isNotarized
00000001d9afc5c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.isUnsupported
00000001d9afc5dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.lastUsed
00000001d9afc5cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.path
00000001d9afc5d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionHistoryItem.teamID
00000001d9afc5a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._connection
00000001d9afc59c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._currentPolicy
00000001d9afc5a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy._interface
00000001d9afc5a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicy.currentUAKL
00000001d9afc4c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem._originalAllowed
00000001d9afc4c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.allowed
00000001d9afc4d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationName
00000001d9afc4d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.applicationPath
00000001d9afc4e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.bundleIDs
00000001d9afc4d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.developerName
00000001d9afc4cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.isPendingUpgrade
00000001d9afc4c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.rebootRequired
00000001d9afc4dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPKernelExtensionPolicyItem.teamID
00000001d9afc698 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allBundleURLs
00000001d9afc694 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._allKextURLs
00000001d9afc690 (__DATA,__objc_ivar) external _OBJC_IVAR_$_SPMigrationScanner._volumeRoot
00000001d9afc680 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.bundleID
00000001d9afc68c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.cdhash
00000001d9afc678 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.rootID
00000001d9afc688 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.signingID
00000001d9afc684 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.teamID
00000001d9afc674 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.uniqueID
00000001d9afc67c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceMetadata.url
00000001d9afc52c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceTracking._connection
00000001d9afc528 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_SPProvenanceTracking._interface
00000001d9afc4ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._accessQueue
00000001d9afc4f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundle
00000001d9afc4e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._bundleUrl
00000001d9afc4f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._fileManager
00000001d9afc500 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._prepareBlock
00000001d9afc4fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._reloadBlock
00000001d9afc4f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedBundle
00000001d9afc4e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_StagedBundleData._stagedUrl
00000001dc02b2b0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AKELData
00000001dc02b878 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AMFI
00000001dc02b418 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapper
00000001dc02b918 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicy
00000001dc02b8f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_AppWrapperPolicyResult
00000001dc02b3f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_BundleData
00000001dc02b4e0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_GKScanResult
00000001dc02b6c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_MIS
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001dc02b328 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyCacheMeta
00000001dc02b7b0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_PolicyScanTarget
00000001dc02b990 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPDeveloperPolicy
00000001dc02b580 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionHistoryItem
00000001dc02b620 (__AUTH,__objc_data) external _OBJC_METACLASS_$_SPExecutionPolicy
