00000001ebf7b8d0 (__DATA,__data) external _NDR_record
000000018043edd4 (__TEXT,__text) external _disconnectx
00000001804374bc (__TEXT,__text) non-external _do_compat
000000018043522c (__TEXT,__text) external _dup
0000000180439554 (__TEXT,__text) external _dup2
00000001e8179c88 (__DATA_CONST,__const) non-external _err_codes_auth
00000001e8179b18 (__DATA_CONST,__const) non-external _err_codes_env_mgr
00000001e8179e80 (__DATA_CONST,__const) non-external _err_codes_exception
00000001e8179b58 (__DATA_CONST,__const) non-external _err_codes_execd
00000001e8179c58 (__DATA_CONST,__const) non-external _err_codes_io
00000001e817a800 (__DATA_CONST,__const) non-external _err_codes_iokit_bluetooth
00000001e817a438 (__DATA_CONST,__const) non-external _err_codes_iokit_common
0000000180464dc8 (__TEXT,__const) non-external _err_codes_iokit_common_map
00000001e817a6c8 (__DATA_CONST,__const) non-external _err_codes_iokit_fw
0000000180464e08 (__TEXT,__const) non-external _err_codes_iokit_fw_map
00000001e817a5e8 (__DATA_CONST,__const) non-external _err_codes_iokit_usb
0000000180464dd8 (__TEXT,__const) non-external _err_codes_iokit_usb_map
00000001e8179700 (__DATA_CONST,__const) non-external _err_codes_kern
00000001e817a2c8 (__DATA_CONST,__const) non-external _err_codes_libkern_common
00000001e817a338 (__DATA_CONST,__const) non-external _err_codes_libkern_kext
00000001e817a2d8 (__DATA_CONST,__const) non-external _err_codes_libkern_metaclass
00000001e8179e50 (__DATA_CONST,__const) non-external _err_codes_loader
00000001e817a238 (__DATA_CONST,__const) non-external _err_codes_mach_mig
00000001e817a1b0 (__DATA_CONST,__const) non-external _err_codes_mach_rcv
00000001e817a0f8 (__DATA_CONST,__const) non-external _err_codes_mach_send
00000001e8179e20 (__DATA_CONST,__const) non-external _err_codes_machobj
00000001e817a0b8 (__DATA_CONST,__const) non-external _err_codes_mig
00000001e8179b78 (__DATA_CONST,__const) non-external _err_codes_netmemory
00000001e8179af8 (__DATA_CONST,__const) non-external _err_codes_netname
00000001e8179bc8 (__DATA_CONST,__const) non-external _err_codes_ns
00000001e817a070 (__DATA_CONST,__const) non-external _err_codes_rcv
00000001e817a010 (__DATA_CONST,__const) non-external _err_codes_send
00000001e8179d90 (__DATA_CONST,__const) non-external _err_codes_sunrpc
00000001e8179b98 (__DATA_CONST,__const) non-external _err_codes_task_master
00000001e8179b90 (__DATA_CONST,__const) non-external _err_codes_ufs
00000001e81798c8 (__DATA_CONST,__const) non-external _err_codes_unix
00000001e8179cd0 (__DATA_CONST,__const) non-external _err_codes_us
00000001e8179eb8 (__DATA_CONST,__const) non-external _err_codes_ux_signal
00000001e817a288 (__DATA_CONST,__const) non-external _err_codes_vm_reclaim
00000001e8179fa8 (__DATA_CONST,__const) non-external _err_codes_xkernel
00000001e8179520 (__DATA_CONST,__const) non-external _err_iokit_sub
0000000180464db8 (__TEXT,__const) non-external _err_iokit_sub_map
00000001e8179368 (__DATA_CONST,__const) non-external _err_ipc_sub
00000001e81794a8 (__DATA_CONST,__const) non-external _err_libkern_sub
00000001e81793e0 (__DATA_CONST,__const) non-external _err_mach_ipc_sub
00000001e8179048 (__DATA_CONST,__const) non-external _err_os_sub
00000001e81790e8 (__DATA_CONST,__const) non-external _err_server_sub
0000000180464d90 (__TEXT,__const) non-external _err_us_sub
00000001e8179458 (__DATA_CONST,__const) non-external _err_vm_sub
00000001ee58c588 (__DATA_DIRTY,__common) external _errno
0000000180461444 (__TEXT,__text) external _etap_trace_thread
000000018044fba0 (__TEXT,__text) external _exc_server
000000018044fb6c (__TEXT,__text) external _exc_server_routine
000000018044f1c8 (__TEXT,__text) external _exception_raise
000000018044f344 (__TEXT,__text) external _exception_raise_state
000000018044f5b4 (__TEXT,__text) external _exception_raise_state_identity
000000018043d0ac (__TEXT,__text) external _exchangedata
00000001804430e0 (__TEXT,__text) external _exclaves_audio_buffer_copyout
0000000180443118 (__TEXT,__text) external _exclaves_audio_buffer_copyout_with_status
00000001804430b0 (__TEXT,__text) external _exclaves_audio_buffer_create
000000018044307c (__TEXT,__text) external _exclaves_boot
0000000180442e38 (__TEXT,__text) external _exclaves_endpoint_call
0000000180442f4c (__TEXT,__text) external _exclaves_inbound_buffer_copyin
0000000180442f1c (__TEXT,__text) external _exclaves_inbound_buffer_create
0000000180443220 (__TEXT,__text) external _exclaves_indicator_min_on_time
0000000180442f9c (__TEXT,__text) external _exclaves_launch_conclave
0000000180442fe4 (__TEXT,__text) external _exclaves_lookup_service
0000000180442f8c (__TEXT,__text) external _exclaves_named_buffer_copyin
0000000180442f94 (__TEXT,__text) external _exclaves_named_buffer_copyout
0000000180442f84 (__TEXT,__text) external _exclaves_named_buffer_create
00000001804432b8 (__TEXT,__text) external _exclaves_notification_create
0000000180442ee4 (__TEXT,__text) external _exclaves_outbound_buffer_copyout
0000000180442eb4 (__TEXT,__text) external _exclaves_outbound_buffer_create
0000000180443150 (__TEXT,__text) external _exclaves_sensor_create
0000000180443184 (__TEXT,__text) external _exclaves_sensor_start
00000001804431ec (__TEXT,__text) external _exclaves_sensor_status
00000001804431b8 (__TEXT,__text) external _exclaves_sensor_stop
0000000180439514 (__TEXT,__text) external _execve
00000001ebf7b930 (__DATA,__bss) non-external _execve_with_filter
000000018043ee00 (__TEXT,__text) external _faccessat
000000018043ee2c (__TEXT,__text) external _fchdir
0000000180436220 (__TEXT,__text) external _fchflags
00000001804352b8 (__TEXT,__text) external _fchmod
000000018043ee58 (__TEXT,__text) external _fchmodat
0000000180436664 (__TEXT,__text) external _fchown
000000018043ee84 (__TEXT,__text) external _fchownat
000000018043eeb0 (__TEXT,__text) external _fclonefileat
00000001804316f8 (__TEXT,__text) external _fcntl
0000000180434e84 (__TEXT,__text) external _fcntl$NOCANCEL
000000018043eedc (__TEXT,__text) external _fdatasync
0000000180438764 (__TEXT,__text) external _ffsctl
000000018043454c (__TEXT,__text) external _fgetattrlist
0000000180435200 (__TEXT,__text) external _fgetxattr
000000018043ef08 (__TEXT,__text) external _fhopen
0000000180436ee0 (__TEXT,__text) external _fileport_makefd
000000018043715c (__TEXT,__text) external _fileport_makeport
000000018043cfc0 (__TEXT,__text) external _flistxattr
0000000180434b90 (__TEXT,__text) external _flock
000000018043ef34 (__TEXT,__text) external _fmount
000000018043ef60 (__TEXT,__text) external _fpathconf
0000000180442be8 (__TEXT,__text) non-external (was a private external) _fprintf_stderr
000000018043ef8c (__TEXT,__text) external _freadlink
000000018043efb8 (__TEXT,__text) external _fremovexattr
000000018044b57c (__TEXT,__text) external _fs_snapshot_create
000000018044b598 (__TEXT,__text) external _fs_snapshot_delete
0000000180439404 (__TEXT,__text) external _fs_snapshot_list
000000018044b608 (__TEXT,__text) external _fs_snapshot_mount
000000018044b5b4 (__TEXT,__text) external _fs_snapshot_rename
000000018044b5d0 (__TEXT,__text) external _fs_snapshot_revert
000000018044b5ec (__TEXT,__text) external _fs_snapshot_root
0000000180434520 (__TEXT,__text) external _fsctl
0000000180436638 (__TEXT,__text) external _fsetattrlist
0000000180436060 (__TEXT,__text) external _fsetxattr
000000018043460c (__TEXT,__text) external _fsgetpath
000000018043efe4 (__TEXT,__text) external _fsgetpath_ext
000000018043f03c (__TEXT,__text) external _fstat
000000018043f03c (__TEXT,__text) external _fstat64
000000018043f094 (__TEXT,__text) external _fstatat
000000018043f094 (__TEXT,__text) external _fstatat64
000000018043c72c (__TEXT,__text) external _fstatfs
000000018043c72c (__TEXT,__text) external _fstatfs64
0000000180445e90 (__TEXT,__text) external _fstatfs_ext
00000001804346bc (__TEXT,__text) external _fsync
000000018043dc08 (__TEXT,__text) external _fsync$NOCANCEL
0000000180434314 (__TEXT,__text) external _ftruncate
00000001804458d8 (__TEXT,__text) external _futimens
000000018043624c (__TEXT,__text) external _futimes
00000001ebf7b6d8 (__DATA,__crash_info) non-external _gCRAnnotations
0000000180431618 (__TEXT,__text) external _getattrlist
000000018043f0ec (__TEXT,__text) external _getattrlistat
000000018043436c (__TEXT,__text) external _getattrlistbulk
000000018044e828 (__TEXT,__text) external _getaudit
0000000180432fac (__TEXT,__text) external _getaudit_addr
000000018043f118 (__TEXT,__text) external _getauid
000000018043f144 (__TEXT,__text) external _getdirentries
000000018043f170 (__TEXT,__text) external _getdirentriesattr
00000001804398ac (__TEXT,__text) external _getdtablesize
0000000180432768 (__TEXT,__text) external _getegid
0000000180431120 (__TEXT,__text) external _getentropy
0000000180431f08 (__TEXT,__text) external _geteuid
000000018043f19c (__TEXT,__text) external _getfh
000000018043f1f4 (__TEXT,__text) external _getfsstat
000000018043f1f4 (__TEXT,__text) external _getfsstat64
0000000180434e00 (__TEXT,__text) external _getgid
0000000180436690 (__TEXT,__text) external _getgroups
0000000180436420 (__TEXT,__text) external _gethostuuid
00000001804353e0 (__TEXT,__text) external _getiopolicy_np
000000018043f220 (__TEXT,__text) external _getitimer
000000018043528c (__TEXT,__text) external _getpeername
000000018043b078 (__TEXT,__text) external _getpgid
00000001804394e8 (__TEXT,__text) external _getpgrp
000000018043115c (__TEXT,__text) external _getpid
00000001804371e0 (__TEXT,__text) external _getppid
0000000180439328 (__TEXT,__text) external _getpriority
0000000180432f78 (__TEXT,__text) external _getrlimit
0000000180438588 (__TEXT,__text) external _getrusage
000000018043dc34 (__TEXT,__text) external _getsgroups_np
000000018043f24c (__TEXT,__text) external _getsid
0000000180438790 (__TEXT,__text) external _getsockname
00000001804351a8 (__TEXT,__text) external _getsockopt
0000000180432710 (__TEXT,__text) external _getuid
000000018043dc60 (__TEXT,__text) external _getwgroups_np
0000000180433d90 (__TEXT,__text) external _getxattr
000000018043f278 (__TEXT,__text) external _grab_pgo_data
000000018043f2a4 (__TEXT,__text) external _graftdmg
0000000180434690 (__TEXT,__text) external _guarded_close_np
000000018043b7c0 (__TEXT,__text) external _guarded_kqueue_np
0000000180442c60 (__TEXT,__text) external _guarded_open_dprotected_np
000000018043441c (__TEXT,__text) external _guarded_open_np
0000000180434478 (__TEXT,__text) external _guarded_pwrite_np
00000001804388f4 (__TEXT,__text) external _guarded_write_np
000000018043f2d0 (__TEXT,__text) external _guarded_writev_np
000000018046a487 (__TEXT,__cstring) non-external _hex
0000000180442cb0 (__TEXT,__text) external _host_check_multiuser_mode
0000000180431cd4 (__TEXT,__text) external _host_create_mach_voucher
0000000180430cb0 (__TEXT,__text) external _host_create_mach_voucher_trap
0000000180450180 (__TEXT,__text) external _host_default_memory_manager
0000000180451b48 (__TEXT,__text) external _host_get_UNDServer
0000000180442c90 (__TEXT,__text) external _host_get_atm_diagnostic_flag
000000018044fc2c (__TEXT,__text) external _host_get_boot_info
0000000180450850 (__TEXT,__text) external _host_get_clock_control
0000000180436a90 (__TEXT,__text) external _host_get_clock_service
0000000180451020 (__TEXT,__text) external _host_get_exception_ports
00000001804527dc (__TEXT,__text) external _host_get_io_main
00000001804346e8 (__TEXT,__text) external _host_get_io_master
0000000180442ca8 (__TEXT,__text) external _host_get_multiuser_config_flags
000000018043191c (__TEXT,__text) external _host_get_special_port
0000000180435afc (__TEXT,__text) external _host_info
0000000180452168 (__TEXT,__text) external _host_kernel_version
00000001804530a8 (__TEXT,__text) external _host_lockgroup_info
0000000180442e08 (__TEXT,__text) external _host_page_size
000000018044ff60 (__TEXT,__text) external _host_priv_statistics
0000000180452640 (__TEXT,__text) external _host_processor_info
00000001804518bc (__TEXT,__text) external _host_processor_set_priv
000000018045173c (__TEXT,__text) external _host_processor_sets
00000001804506d0 (__TEXT,__text) external _host_processors
000000018044fe44 (__TEXT,__text) external _host_reboot
0000000180453710 (__TEXT,__text) external _host_register_mach_voucher_attr_manager
000000018045389c (__TEXT,__text) external _host_register_well_known_mach_voucher_attr_manager
0000000180432c78 (__TEXT,__text) external _host_request_notification
0000000180451e8c (__TEXT,__text) external _host_security_create_task_token
0000000180452028 (__TEXT,__text) external _host_security_set_task_token
000000018044368c (__TEXT,__text) external _host_self
0000000180430b60 (__TEXT,__text) external _host_self_trap
0000000180451a2c (__TEXT,__text) external _host_set_UNDServer
0000000180453a1c (__TEXT,__text) external _host_set_atm_diagnostic_flag
0000000180450ef0 (__TEXT,__text) external _host_set_exception_ports
0000000180453d4c (__TEXT,__text) external _host_set_multiuser_config_flags
0000000180450dc4 (__TEXT,__text) external _host_set_special_port
000000018043b170 (__TEXT,__text) external _host_statistics
000000018043aa04 (__TEXT,__text) external _host_statistics64
00000001804512e4 (__TEXT,__text) external _host_swap_exception_ports
0000000180452ab8 (__TEXT,__text) external _host_virtual_physical_table_info
00000001ebf7b8b0 (__DATA,__data) external _important_boost_assertion_token
00000001ef61a3a0 (__AUTH_CONST,__const) external _internal_catch_exc_subsystem
0000000180442b38 (__TEXT,__text) non-external _internal_catch_exception_raise
00000001ebf7b8a0 (__DATA,__data) non-external _internal_catch_exception_raise.exc_raise_func
0000000180442a68 (__TEXT,__text) non-external _internal_catch_exception_raise_state
00000001ebf7b898 (__DATA,__data) non-external _internal_catch_exception_raise_state.exc_raise_state_func
0000000180442984 (__TEXT,__text) non-external _internal_catch_exception_raise_state_identity
00000001ebf7b890 (__DATA,__data) non-external _internal_catch_exception_raise_state_identity.exc_raise_state_identity_func
000000018043509c (__TEXT,__text) external _ioctl
0000000180430924 (__TEXT,__text) external _issetugid
00000001ebf7b918 (__DATA,__bss) non-external _kAccountingThreshold
000000018043f2fc (__TEXT,__text) external _kas_info
00000001804307c0 (__TEXT,__text) external _kdebug_is_enabled
000000018044b7a0 (__TEXT,__text) external _kdebug_signpost
000000018043b164 (__TEXT,__text) external _kdebug_signpost_end
000000018043b0b0 (__TEXT,__text) non-external _kdebug_signpost_internal
000000018043b0a4 (__TEXT,__text) external _kdebug_signpost_start
000000018044b750 (__TEXT,__text) external _kdebug_timestamp
000000018044b768 (__TEXT,__text) external _kdebug_timestamp_from_absolute
000000018044b784 (__TEXT,__text) external _kdebug_timestamp_from_continuous
00000001804308a4 (__TEXT,__text) external _kdebug_trace
0000000180433724 (__TEXT,__text) external _kdebug_trace_string
0000000180430820 (__TEXT,__text) external _kdebug_typefilter
00000001ee58c558 (__DATA_DIRTY,__bss) non-external _kdebug_typefilter.typefilter
000000018044b73c (__TEXT,__text) external _kdebug_using_continuous_time
0000000180436cfc (__TEXT,__text) external _kevent
000000018043c954 (__TEXT,__text) external _kevent64
000000018043292c (__TEXT,__text) external _kevent_id
0000000180432900 (__TEXT,__text) external _kevent_qos
0000000180451ca4 (__TEXT,__text) external _kext_request
0000000180438d94 (__TEXT,__text) external _kill
0000000180450c24 (__TEXT,__text) external _kmod_control
00000001804509bc (__TEXT,__text) external _kmod_create
0000000180450b08 (__TEXT,__text) external _kmod_destroy
0000000180452938 (__TEXT,__text) external _kmod_get_info
000000018044e914 (__TEXT,__text) external _kpersona_alloc
000000018044e994 (__TEXT,__text) external _kpersona_dealloc
000000018044ea60 (__TEXT,__text) external _kpersona_find
000000018044eb44 (__TEXT,__text) external _kpersona_find_by_type
0000000180434dc0 (__TEXT,__text) external _kpersona_get
000000018044e9d8 (__TEXT,__text) external _kpersona_getpath
0000000180434ac8 (__TEXT,__text) external _kpersona_info
000000018044e954 (__TEXT,__text) external _kpersona_palloc
000000018044ea1c (__TEXT,__text) external _kpersona_pidinfo
0000000180436cd0 (__TEXT,__text) external _kqueue
00000001804366bc (__TEXT,__text) external _lchown
000000018043f328 (__TEXT,__text) external _ledger
00000001804354a4 (__TEXT,__text) external _link
000000018043f354 (__TEXT,__text) external _linkat
000000018043f380 (__TEXT,__text) external _lio_listio
0000000180439438 (__TEXT,__text) external _listen
0000000180434398 (__TEXT,__text) external _listxattr
000000018045c18c (__TEXT,__text) external _lock_set_create
000000018045c2f4 (__TEXT,__text) external _lock_set_destroy
0000000180446228 (__TEXT,__text) external _log_data_as_kernel
00000001804324dc (__TEXT,__text) external _lseek
000000018043c60c (__TEXT,__text) external _lstat
000000018043c60c (__TEXT,__text) external _lstat64
0000000180431084 (__TEXT,__text) external _mach_absolute_time
0000000180431108 (__TEXT,__text) external _mach_absolute_time_kernel
0000000180432344 (__TEXT,__text) external _mach_approximate_time
000000018044536c (__TEXT,__text) external _mach_boottime_usec
0000000180438228 (__TEXT,__text) external _mach_continuous_approximate_time
000000018043100c (__TEXT,__text) external _mach_continuous_time
0000000180431114 (__TEXT,__text) external _mach_continuous_time_kernel
0000000180442d80 (__TEXT,__text) external _mach_error
00000001ebf7b8e0 (__DATA,__common) external _mach_error_full_diag
000000018043733c (__TEXT,__text) external _mach_error_string
0000000180437360 (__TEXT,__text) non-external _mach_error_string_int
0000000180442cb8 (__TEXT,__text) external _mach_error_type
00000001804638d0 (__TEXT,__text) external _mach_eventlink_associate
0000000180463618 (__TEXT,__text) external _mach_eventlink_create
00000001804637b4 (__TEXT,__text) external _mach_eventlink_destroy
0000000180463a10 (__TEXT,__text) external _mach_eventlink_disassociate
000000018044583c (__TEXT,__text) external _mach_eventlink_signal
0000000180445898 (__TEXT,__text) external _mach_eventlink_signal_wait_until
0000000180445858 (__TEXT,__text) external _mach_eventlink_wait_until
0000000180430bfc (__TEXT,__text) external _mach_generate_activity_id
0000000180432b90 (__TEXT,__text) external _mach_get_times
0000000180431918 (__TEXT,__text) external _mach_host_self
00000001804412f4 (__TEXT,__text) external _mach_host_special_port_description
00000001e8178ea8 (__DATA_CONST,__const) non-external _mach_host_special_port_description.hsp_descs
0000000180441354 (__TEXT,__text) external _mach_host_special_port_for_id
00000001ebf7b718 (__DATA,__data) non-external _mach_host_special_port_for_id.hsp_ids
0000000180436934 (__TEXT,__text) external _mach_init
00000001ee58c540 (__DATA_DIRTY,__bss) non-external _mach_init.mach_init_inited
000000018043696c (__TEXT,__text) non-external _mach_init_doit
00000001804581a4 (__TEXT,__text) external _mach_make_memory_entry
0000000180432180 (__TEXT,__text) external _mach_make_memory_entry_64
000000018046336c (__TEXT,__text) external _mach_memory_entry_access_tracking
00000001804634e8 (__TEXT,__text) external _mach_memory_entry_ownership
0000000180463214 (__TEXT,__text) external _mach_memory_entry_purgable_control
0000000180453b38 (__TEXT,__text) external _mach_memory_info
00000001804524b8 (__TEXT,__text) external _mach_memory_object_memory_entry
0000000180452f20 (__TEXT,__text) external _mach_memory_object_memory_entry_64
0000000180430f90 (__TEXT,__text) external _mach_msg
0000000180443354 (__TEXT,__text) external _mach_msg2_internal
0000000180430c2c (__TEXT,__text) external _mach_msg2_trap
0000000180431a84 (__TEXT,__text) external _mach_msg_destroy
0000000180431bc8 (__TEXT,__text) non-external _mach_msg_destroy_port
0000000180439580 (__TEXT,__text) external _mach_msg_overwrite
0000000180430b78 (__TEXT,__text) external _mach_msg_overwrite_trap
000000018044346c (__TEXT,__text) external _mach_msg_priority_encode
000000018044345c (__TEXT,__text) external _mach_msg_priority_is_pthread_priority
00000001804434a0 (__TEXT,__text) external _mach_msg_priority_overide_qos
00000001804434b0 (__TEXT,__text) external _mach_msg_priority_qos
00000001804434c0 (__TEXT,__text) external _mach_msg_priority_relpri
000000018043cfec (__TEXT,__text) external _mach_msg_receive
0000000180435468 (__TEXT,__text) external _mach_msg_send
0000000180438a3c (__TEXT,__text) external _mach_msg_server
0000000180439844 (__TEXT,__text) non-external _mach_msg_server_consume_unsent_message
0000000180443458 (__TEXT,__text) external _mach_msg_server_importance
000000018043bda0 (__TEXT,__text) external _mach_msg_server_once
0000000180430b6c (__TEXT,__text) external _mach_msg_trap
00000001804593dc (__TEXT,__text) external _mach_notify_dead_name
0000000180459318 (__TEXT,__text) external _mach_notify_no_senders
000000018045923c (__TEXT,__text) external _mach_notify_port_deleted
00000001804592a4 (__TEXT,__text) external _mach_notify_port_destroyed
0000000180459380 (__TEXT,__text) external _mach_notify_send_once
0000000180432da4 (__TEXT,__text) external _mach_port_allocate
000000018044e384 (__TEXT,__text) external _mach_port_allocate_full
000000018044e370 (__TEXT,__text) external _mach_port_allocate_name
000000018044e380 (__TEXT,__text) external _mach_port_allocate_qos
000000018044e5f4 (__TEXT,__text) external _mach_port_assert_attributes
0000000180431d64 (__TEXT,__text) external _mach_port_construct
0000000180431f34 (__TEXT,__text) external _mach_port_deallocate
000000018043641c (__TEXT,__text) external _mach_port_destroy
0000000180432570 (__TEXT,__text) external _mach_port_destruct
000000018044e524 (__TEXT,__text) external _mach_port_dnrequest_info
0000000180434220 (__TEXT,__text) external _mach_port_extract_member
000000018043adcc (__TEXT,__text) external _mach_port_extract_right
000000018043352c (__TEXT,__text) external _mach_port_get_attributes
000000018043608c (__TEXT,__text) external _mach_port_get_context
000000018043406c (__TEXT,__text) external _mach_port_get_refs
000000018044e5f0 (__TEXT,__text) external _mach_port_get_service_port_info
000000018043cbcc (__TEXT,__text) external _mach_port_get_set_status
000000018044e38c (__TEXT,__text) external _mach_port_get_srights
0000000180433a8c (__TEXT,__text) external _mach_port_guard
000000018044e5e4 (__TEXT,__text) external _mach_port_guard_with_flags
0000000180432e14 (__TEXT,__text) external _mach_port_insert_member
0000000180433040 (__TEXT,__text) external _mach_port_insert_right
000000018044e5ec (__TEXT,__text) external _mach_port_is_connection_for_service
000000018044e528 (__TEXT,__text) external _mach_port_kernel_object
000000018044e56c (__TEXT,__text) external _mach_port_kobject
000000018044e570 (__TEXT,__text) external _mach_port_kobject_description
0000000180431318 (__TEXT,__text) external _mach_port_mod_refs
0000000180435d1c (__TEXT,__text) external _mach_port_move_member
000000018044e368 (__TEXT,__text) external _mach_port_names
000000018044e374 (__TEXT,__text) external _mach_port_peek
000000018044e36c (__TEXT,__text) external _mach_port_rename
00000001804329dc (__TEXT,__text) external _mach_port_request_notification
00000001804335b8 (__TEXT,__text) external _mach_port_set_attributes
000000018043caac (__TEXT,__text) external _mach_port_set_context
000000018044e378 (__TEXT,__text) external _mach_port_set_mscount
000000018044e37c (__TEXT,__text) external _mach_port_set_seqno
000000018044e394 (__TEXT,__text) external _mach_port_space_basic_info
000000018044e390 (__TEXT,__text) external _mach_port_space_info
000000018044e5e8 (__TEXT,__text) external _mach_port_swap_guard
00000001804337f8 (__TEXT,__text) external _mach_port_type
000000018044e574 (__TEXT,__text) external _mach_port_unguard
000000018043c758 (__TEXT,__text) external _mach_ports_lookup
00000001804454bc (__TEXT,__text) non-external _mach_ports_lookup_legacy
00000001804385b4 (__TEXT,__text) external _mach_ports_register
00000001804453d0 (__TEXT,__text) non-external _mach_ports_register_legacy
0000000180430b3c (__TEXT,__text) external _mach_reply_port
0000000180443984 (__TEXT,__text) external _mach_right_recv_construct
0000000180443a5c (__TEXT,__text) external _mach_right_recv_destruct
0000000180443af4 (__TEXT,__text) external _mach_right_send_create
0000000180443c3c (__TEXT,__text) external _mach_right_send_once_consume
0000000180443bd0 (__TEXT,__text) external _mach_right_send_once_create
00000001804354d0 (__TEXT,__text) external _mach_right_send_release
0000000180443b5c (__TEXT,__text) external _mach_right_send_retain
000000018044e404 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_start
000000018044e4b0 (__TEXT,__text) external _mach_sync_ipc_link_monitoring_stop
000000018044537c (__TEXT,__text) external _mach_task_is_self
0000000180443980 (__TEXT,__text) external _mach_task_self
00000001ee58cbe0 (__DATA_DIRTY,__common) external _mach_task_self_
0000000180441314 (__TEXT,__text) external _mach_task_special_port_description
00000001e8178fc8 (__DATA_CONST,__const) non-external _mach_task_special_port_description.tsp_descs
0000000180441418 (__TEXT,__text) external _mach_task_special_port_for_id
00000001ebf7b810 (__DATA,__data) non-external _mach_task_special_port_for_id.tsp_ids
0000000180436a60 (__TEXT,__text) external _mach_thread_self
0000000180441334 (__TEXT,__text) external _mach_thread_special_port_description
00000001e8179028 (__DATA_CONST,__const) non-external _mach_thread_special_port_description.tsp_descs
0000000180441428 (__TEXT,__text) external _mach_thread_special_port_for_id
00000001ebf7b870 (__DATA,__data) non-external _mach_thread_special_port_for_id.tsp_ids
0000000180430fb4 (__TEXT,__text) external _mach_timebase_info
00000001ee58c54c (__DATA_DIRTY,__bss) non-external _mach_timebase_info.cached_info
0000000180430cec (__TEXT,__text) external _mach_timebase_info_trap
0000000180432ec4 (__TEXT,__text) external _mach_vm_allocate
0000000180457c38 (__TEXT,__text) external _mach_vm_behavior_set
0000000180438920 (__TEXT,__text) external _mach_vm_copy
000000018043266c (__TEXT,__text) external _mach_vm_deallocate
0000000180458978 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_allocate
0000000180458ad0 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_flush
0000000180458ebc (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_resize
0000000180458bf0 (__TEXT,__text) external _mach_vm_deferred_reclamation_buffer_update_reclaimable_bytes
00000001804575b8 (__TEXT,__text) external _mach_vm_inherit
0000000180457d58 (__TEXT,__text) external _mach_vm_machine_attribute
0000000180430950 (__TEXT,__text) external _mach_vm_map
0000000180457b18 (__TEXT,__text) external _mach_vm_msync
0000000180458490 (__TEXT,__text) external _mach_vm_page_info
0000000180458040 (__TEXT,__text) external _mach_vm_page_query
000000018045867c (__TEXT,__text) external _mach_vm_page_range_query
0000000180434904 (__TEXT,__text) external _mach_vm_protect
00000001804344a8 (__TEXT,__text) external _mach_vm_purgable_control
0000000180458d0c (__TEXT,__text) external _mach_vm_range_create
000000018044e728 (__TEXT,__text) external _mach_vm_read
0000000180457860 (__TEXT,__text) external _mach_vm_read_list
000000018043bc50 (__TEXT,__text) external _mach_vm_read_overwrite
0000000180444240 (__TEXT,__text) external _mach_vm_reclaim_is_reusable
00000001804441bc (__TEXT,__text) external _mach_vm_reclaim_query_state
0000000180443cec (__TEXT,__text) external _mach_vm_reclaim_ring_allocate
0000000180444250 (__TEXT,__text) external _mach_vm_reclaim_ring_capacity
000000018044427c (__TEXT,__text) external _mach_vm_reclaim_ring_flush
0000000180443d98 (__TEXT,__text) external _mach_vm_reclaim_ring_resize
0000000180443df8 (__TEXT,__text) external _mach_vm_reclaim_round_capacity
0000000180443fec (__TEXT,__text) external _mach_vm_reclaim_try_cancel
0000000180443e44 (__TEXT,__text) external _mach_vm_reclaim_try_enter
000000018044422c (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
00000001804355e0 (__TEXT,__text) external _mach_vm_region
000000018043b9dc (__TEXT,__text) external _mach_vm_region_recurse
000000018044e5f8 (__TEXT,__text) external _mach_vm_remap
000000018044e690 (__TEXT,__text) external _mach_vm_remap_new
000000018044e824 (__TEXT,__text) external _mach_vm_update_pointers_with_remote_tags
000000018045160c (__TEXT,__text) external _mach_vm_wire
00000001804579e4 (__TEXT,__text) external _mach_vm_write
0000000180435844 (__TEXT,__text) external _mach_voucher_attr_command
0000000180432534 (__TEXT,__text) external _mach_voucher_deallocate
0000000180463fd8 (__TEXT,__text) external _mach_voucher_debug_info
0000000180463d84 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
000000018043b574 (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001804334b4 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
0000000180430cbc (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
0000000180430cf8 (__TEXT,__text) external _mach_wait_until
0000000180453404 (__TEXT,__text) external _mach_zone_force_gc
0000000180454314 (__TEXT,__text) external _mach_zone_get_btlog_records
0000000180454184 (__TEXT,__text) external _mach_zone_get_zlog_zones
0000000180453238 (__TEXT,__text) external _mach_zone_info
0000000180453fd8 (__TEXT,__text) external _mach_zone_info_for_largest_zone
0000000180453e68 (__TEXT,__text) external _mach_zone_info_for_zone
0000000180430c74 (__TEXT,__text) external _macx_backing_store_recovery
0000000180430c68 (__TEXT,__text) external _macx_backing_store_suspend
0000000180430c44 (__TEXT,__text) external _macx_swapoff
0000000180430c38 (__TEXT,__text) external _macx_swapon
0000000180430c5c (__TEXT,__text) external _macx_triggers
0000000180433868 (__TEXT,__text) external _madvise
