00007ff80b3b57fc (__TEXT,__text) non-external _Annihilate
00007ff80b44bc30 (__TEXT,__const) non-external _kTransformsData
00007ff80b44c980 (__TEXT,__const) non-external _kZeroRepsBits
00007ff80b44be80 (__TEXT,__const) non-external _kZeroRepsDepth
                 (undefined) external _log2 (from libSystem)
00007ff80b39f10d (__TEXT,__text) non-external _longest_match
00007ff842317840 (__DATA,__common) non-external (was a private external) _lut_ok
00007ff842317850 (__DATA,__common) non-external (was a private external) _lut_quantize
00007ff80b455860 (__TEXT,__const) non-external (was a private external) _lut_rle
00007ff80b3a53d0 (__TEXT,__text) non-external (was a private external) _lz4_decode
00007ff80b3a4f80 (__TEXT,__text) non-external (was a private external) _lz4_decode_asm
00007ff80b3a4da8 (__TEXT,__text) non-external (was a private external) _lz4_decode_buffer
00007ff80b3a65b5 (__TEXT,__text) non-external (was a private external) _lz4_encode_2gb
00007ff80b3a6408 (__TEXT,__text) non-external (was a private external) _lz4_encode_buffer
00007ff80b3d5014 (__TEXT,__text) non-external (was a private external) _lz4_stream_end
00007ff80b3d5074 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_decode_state_size
00007ff80b3d5069 (__TEXT,__text) non-external (was a private external) _lz4_stream_get_encode_state_size
00007ff80b3d505e (__TEXT,__text) non-external (was a private external) _lz4_stream_get_state_size
00007ff80b3d5037 (__TEXT,__text) non-external (was a private external) _lz4_stream_identify_algorithm
00007ff80b3d48cc (__TEXT,__text) non-external (was a private external) _lz4_stream_init
00007ff80b3d4989 (__TEXT,__text) non-external (was a private external) _lz4_stream_process
00007ff80b3c4a81 (__TEXT,__text) non-external (was a private external) _lz4raw_decode_buffer
00007ff80b3c499a (__TEXT,__text) non-external (was a private external) _lz4raw_encode_buffer
00007ff80b3cdcf5 (__TEXT,__text) non-external (was a private external) _lzbitmap_alloc
00007ff80b3cdd44 (__TEXT,__text) non-external (was a private external) _lzbitmap_buf_align
00007ff80b3cf3ab (__TEXT,__text) non-external (was a private external) _lzbitmap_create_dictionary_and_token_map
00007ff80b3c0d00 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode
00007ff80b3d0f38 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_buffer
00007ff80b3cfbeb (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_rle
00007ff80b3d0f84 (__TEXT,__text) non-external (was a private external) _lzbitmap_decode_scratch_size
00007ff80b3cf84e (__TEXT,__text) non-external (was a private external) _lzbitmap_encode
00007ff80b3cf5ac (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_block
00007ff80b3d0f59 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_buffer
00007ff80b3cfb0e (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_rle
00007ff80b3d0f8f (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_scratch_size
00007ff80b3cde45 (__TEXT,__text) non-external (was a private external) _lzbitmap_encode_state_size
00007ff80b3c9e98 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode
00007ff80b3d0edf (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_decode_buffer
00007ff80b3c3f90 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode
00007ff80b3d0f00 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_buffer
00007ff80b3d0f2b (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_scratch_size
00007ff80b3c30d7 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_encode_state_size
00007ff80b3c30f1 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser0
00007ff80b3c358a (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser1
00007ff80b3c3a81 (__TEXT,__text) non-external (was a private external) _lzbitmap_fast_parser2
00007ff80b4568a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_fast_unpack_dist
00007ff80b3cdcd0 (__TEXT,__text) non-external (was a private external) _lzbitmap_flags
00007ff80b3cf2b0 (__TEXT,__text) non-external (was a private external) _lzbitmap_get_top_k
00007ff80b3cdd56 (__TEXT,__text) non-external (was a private external) _lzbitmap_init_encode_state
00007ff80b3cf27e (__TEXT,__text) non-external (was a private external) _lzbitmap_init_token_info
00007ff80b3cf47d (__TEXT,__text) non-external (was a private external) _lzbitmap_output_masks_and_buffer_commands
00007ff80b3cf4c0 (__TEXT,__text) non-external (was a private external) _lzbitmap_output_nibbles
00007ff80b4560a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_pack_perm_table
00007ff80b3cde8a (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l0
00007ff80b3ce46e (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l1
00007ff80b3cead2 (__TEXT,__text) non-external (was a private external) _lzbitmap_parser_l2
00007ff80b3cf79f (__TEXT,__text) non-external (was a private external) _lzbitmap_process_block
00007ff80b3cdd0f (__TEXT,__text) non-external (was a private external) _lzbitmap_store
00007ff80b3d0f9c (__TEXT,__text) non-external (was a private external) _lzbitmap_stream_identify_algorithm
00007ff80b4578a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_dist_perm_table
00007ff80b4558a0 (__TEXT,__const) non-external (was a private external) _lzbitmap_unpack_perm_table
00007ff80b3f99f0 (__TEXT,__text) non-external _lzfseBackendMatch
00007ff80b3a1592 (__TEXT,__text) non-external (was a private external) _lzfseDecode
00007ff80b3a55a9 (__TEXT,__text) non-external _lzfseDecodeV1
00007ff80b3f9652 (__TEXT,__text) non-external (was a private external) _lzfseEncodeBase
00007ff80b3f9a2f (__TEXT,__text) non-external (was a private external) _lzfseEncodeFinish
00007ff80b3f94a5 (__TEXT,__text) non-external (was a private external) _lzfseEncodeGetScratchSize
00007ff80b3f9512 (__TEXT,__text) non-external (was a private external) _lzfseEncodeInitState
00007ff80b3f9de0 (__TEXT,__text) non-external _lzfseEncodeMatches
00007ff80b3f94ce (__TEXT,__text) non-external (was a private external) _lzfseEncodeSetStateScratch
00007ff80b3f95d6 (__TEXT,__text) non-external (was a private external) _lzfseEncodeTranslateState
00007ff80b3f9ad6 (__TEXT,__text) non-external _lzfsePushMatch
00007ff80b3a12f6 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecode
00007ff80b3a1223 (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeInit
00007ff80b3c9e8b (__TEXT,__text) non-external (was a private external) _lzfseStreamDecodeStateSize
00007ff80b3e8298 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncode
00007ff80b3e8201 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeInit
00007ff80b3e81f0 (__TEXT,__text) non-external (was a private external) _lzfseStreamEncodeStateSize
00007ff80b3a2b0b (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer
00007ff80b3c5888 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_iboot
00007ff80b3c56f6 (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_output_size
00007ff80b3c587d (__TEXT,__text) non-external (was a private external) _lzfse_decode_buffer_scratch_size_iboot
00007ff80b3a60d0 (__TEXT,__text) non-external (was a private external) _lzfse_decode_lmd
00007ff80b3c65ab (__TEXT,__text) non-external _lzfse_decode_lzvn_block_iboot
00007ff842316620 (__DATA,__const) non-external _lzfse_decode_lzvn_block_iboot.opc_tbl
00007ff80b3a282b (__TEXT,__text) non-external (was a private external) _lzfse_decode_scratch_size
00007ff80b3d8689 (__TEXT,__text) non-external (was a private external) _lzfse_encode_buffer
00007ff80b3d863f (__TEXT,__text) non-external (was a private external) _lzfse_encode_lzvn_algo
00007ff80b3d8655 (__TEXT,__text) non-external (was a private external) _lzfse_encode_scratch_size
00007ff80b41c590 (__TEXT,__const) non-external (was a private external) _lzfse_freq_nbits_table
00007ff80b41c5b0 (__TEXT,__const) non-external (was a private external) _lzfse_freq_value_table
00007ff80b3a2744 (__TEXT,__text) non-external (was a private external) _lzfse_stream_end
00007ff80b3c436e (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_decode_state_size
00007ff80b3c4364 (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_encode_state_size
00007ff80b3c433b (__TEXT,__text) non-external (was a private external) _lzfse_stream_get_state_size
00007ff80b3c42fa (__TEXT,__text) non-external (was a private external) _lzfse_stream_identify_algorithm
00007ff80b3a11fb (__TEXT,__text) non-external (was a private external) _lzfse_stream_init
00007ff80b3a12d0 (__TEXT,__text) non-external (was a private external) _lzfse_stream_process
                 (undefined) external _lzma_auto_decoder (from liblzma)
                 (undefined) external _lzma_code (from liblzma)
00007ff80b3cfa6c (__TEXT,__text) non-external (was a private external) _lzma_decode_buffer
00007ff80b3cfa64 (__TEXT,__text) non-external (was a private external) _lzma_decode_scratch_size
                 (undefined) external _lzma_easy_buffer_encode (from liblzma)
                 (undefined) external _lzma_easy_encoder (from liblzma)
00007ff80b3cfacc (__TEXT,__text) non-external (was a private external) _lzma_encode_buffer
00007ff80b3cfac4 (__TEXT,__text) non-external (was a private external) _lzma_encode_scratch_size
                 (undefined) external _lzma_end (from liblzma)
                 (undefined) external _lzma_stream_buffer_decode (from liblzma)
00007ff80b3a11d3 (__TEXT,__text) non-external (was a private external) _lzma_stream_end
00007ff80b3fb8e1 (__TEXT,__text) non-external (was a private external) _lzma_stream_identify_algorithm
00007ff80b45a920 (__TEXT,__const) non-external _lzma_stream_identify_algorithm.XZ_HEADER_MAGIC
00007ff80b3a1092 (__TEXT,__text) non-external (was a private external) _lzma_stream_init
00007ff80b3a1143 (__TEXT,__text) non-external (was a private external) _lzma_stream_process
00007ff80b3a2308 (__TEXT,__text) non-external (was a private external) _lzvnDecode
00007ff842315c30 (__DATA,__const) non-external _lzvnDecode.opc_tbl
00007ff80b3d00fd (__TEXT,__text) non-external (was a private external) _lzvnEncode
00007ff80b3d0081 (__TEXT,__text) non-external (was a private external) _lzvnEncodeInitState
00007ff80b3b60eb (__TEXT,__text) non-external (was a private external) _lzvnStreamDecode
00007ff80b3b6057 (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeInit
00007ff80b3b604c (__TEXT,__text) non-external (was a private external) _lzvnStreamDecodeStateSize
00007ff80b3ba984 (__TEXT,__text) non-external (was a private external) _lzvnStreamEncode
00007ff80b3ba8af (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeInit
00007ff80b3ba89e (__TEXT,__text) non-external (was a private external) _lzvnStreamEncodeStateSize
00007ff842317040 (__DATA,__data) non-external _lzvn_decode.opcode_table
00007ff80b3a2bc0 (__TEXT,__text) non-external (was a private external) _lzvn_decode_buffer
00007ff80b3a2bad (__TEXT,__text) non-external (was a private external) _lzvn_decode_scratch_size
00007ff80b3d0c4d (__TEXT,__text) non-external (was a private external) _lzvn_encode_buffer
00007ff80b3d0c8b (__TEXT,__text) non-external (was a private external) _lzvn_encode_partial
00007ff80b3d0c33 (__TEXT,__text) non-external (was a private external) _lzvn_encode_scratch_size
00007ff80b3cf9e2 (__TEXT,__text) non-external (was a private external) _lzvn_stream_end
00007ff80b3cfa5a (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_decode_state_size
00007ff80b3cfa50 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_encode_state_size
00007ff80b3cfa27 (__TEXT,__text) non-external (was a private external) _lzvn_stream_get_state_size
00007ff80b3cfa05 (__TEXT,__text) non-external (was a private external) _lzvn_stream_identify_algorithm
00007ff80b3cf994 (__TEXT,__text) non-external (was a private external) _lzvn_stream_init
00007ff80b3cf9bc (__TEXT,__text) non-external (was a private external) _lzvn_stream_process
00007ff80b3d7d89 (__TEXT,__text) non-external (was a private external) _lzx_decode_buffer
00007ff80b3d7d28 (__TEXT,__text) non-external (was a private external) _lzx_decode_scratch_size
00007ff80b3f357e (__TEXT,__text) non-external (was a private external) _lzx_decoder_init
00007ff80b3d7d33 (__TEXT,__text) non-external (was a private external) _lzx_e8_translation
00007ff80b3aee02 (__TEXT,__text) non-external (was a private external) _lzx_huffman_create_pre_tree
00007ff80b3ae883 (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_compute_lookup_from_code_len
00007ff80b3aea2f (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_read_code
00007ff80b3aeb1d (__TEXT,__text) non-external (was a private external) _lzx_huffman_tree_update_tree_using_pre_tree_encoding
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _memset_s (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
                 (undefined) external _open (from libSystem)
00007ff80b3ca5e1 (__TEXT,__text) non-external (was a private external) _parse_size
00007ff80b450c70 (__TEXT,__const) non-external _position_slot_base_position
00007ff80b450bf0 (__TEXT,__const) non-external _position_slot_extra_bits
00007ff80b3a0365 (__TEXT,__text) non-external _pqdownheap
                 (undefined) external _pthread_attr_destroy (from libSystem)
                 (undefined) external _pthread_attr_init (from libSystem)
                 (undefined) external _pthread_attr_setstacksize (from libSystem)
                 (undefined) external _pthread_cond_broadcast (from libSystem)
                 (undefined) external _pthread_cond_destroy (from libSystem)
                 (undefined) external _pthread_cond_init (from libSystem)
                 (undefined) external _pthread_cond_wait (from libSystem)
                 (undefined) external _pthread_create (from libSystem)
                 (undefined) external _pthread_join (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
00007ff80b3f4da7 (__TEXT,__text) non-external _quantize_slow
                 (undefined) external _read (from libSystem)
00007ff80b3a4508 (__TEXT,__text) non-external _readHuffmanTable
00007ff80b3ca530 (__TEXT,__text) non-external (was a private external) _read_expected
00007ff80b39cc0f (__TEXT,__text) non-external (was a private external) _realloc_stream_state
                 (undefined) external _reallocf (from libSystem)
00007ff80b3a043b (__TEXT,__text) non-external _scan_tree
00007ff80b3a0525 (__TEXT,__text) non-external _send_tree
                 (undefined) external _stat$INODE64 (from libSystem)
00007ff842317020 (__DATA,__data) non-external _static_bl_desc
00007ff842317000 (__DATA,__data) non-external _static_d_desc
00007ff80b459120 (__TEXT,__const) non-external _static_dtree
00007ff842316fe0 (__DATA,__data) non-external _static_l_desc
00007ff80b458ca0 (__TEXT,__const) non-external _static_ltree
                 (undefined) external _strtoll (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ff842316f40 (__DATA,__data) non-external (was a private external) _tc_quant16
00007ff80b3b5d69 (__TEXT,__text) non-external (was a private external) _thread_pool_create
00007ff80b3b5f94 (__TEXT,__text) non-external (was a private external) _thread_pool_destroy
00007ff80b3b5e97 (__TEXT,__text) non-external _thread_pool_entry
00007ff80b3b5bb9 (__TEXT,__text) non-external (was a private external) _thread_pool_send_task
00007ff80b3b5cda (__TEXT,__text) non-external (was a private external) _thread_pool_sync
                 (undefined) external _write (from libSystem)
00007ff80b3ca58d (__TEXT,__text) non-external (was a private external) _write_expected
00007ff80b3e86df (__TEXT,__text) external _yzip_codec_create
00007ff80b3e8711 (__TEXT,__text) external _yzip_codec_destroy
00007ff80b3e8736 (__TEXT,__text) non-external (was a private external) _yzip_codec_pool_init
00007ff80b3c6984 (__TEXT,__text) external _yzip_image_create
00007ff80b3c6acc (__TEXT,__text) external _yzip_image_create_with_payload
00007ff80b3c6e02 (__TEXT,__text) external _yzip_image_decode
00007ff80b3c6bf6 (__TEXT,__text) external _yzip_image_destroy
00007ff80b3c6c00 (__TEXT,__text) external _yzip_image_encode
00007ff80b3c6f11 (__TEXT,__text) external _yzip_image_get_descriptor
00007ff80b3c6fcf (__TEXT,__text) external _yzip_image_get_max_payload_size
00007ff80b3c6f7b (__TEXT,__text) external _yzip_image_get_plane_descriptor
00007ff80b3c7047 (__TEXT,__text) external _yzip_image_set_data
00007ff80b3c7493 (__TEXT,__text) external _yzip_image_set_identifier
00007ff80b3c7420 (__TEXT,__text) external _yzip_image_set_plane_data
00007ff80b3c2544 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_decoder_list
00007ff80b3c2435 (__TEXT,__text) non-external _yzip_jobs_create_empty_list
00007ff80b3c2227 (__TEXT,__text) non-external (was a private external) _yzip_jobs_create_encoder_list
00007ff80b3c3057 (__TEXT,__text) non-external (was a private external) _yzip_jobs_decode
00007ff80b3c2a29 (__TEXT,__text) non-external (was a private external) _yzip_jobs_encode
00007ff80b3c2fbb (__TEXT,__text) non-external _yzip_jobs_process
00007ff80b3c21cb (__TEXT,__text) non-external (was a private external) _yzip_jobs_worker_entry
00007ff80b3f47fe (__TEXT,__text) non-external (was a private external) _yzip_plane_decoder
00007ff80b3f382f (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase1
00007ff80b3f4001 (__TEXT,__text) non-external (was a private external) _yzip_plane_encoder_phase2
00007ff80b3a63ee (__TEXT,__text) non-external (was a private external) _zError
00007ff842315be0 (__DATA,__const) non-external (was a private external) _z_errmsg
00007ff80b39cf23 (__TEXT,__text) non-external (was a private external) _zcalloc
00007ff80b3a0fe1 (__TEXT,__text) non-external (was a private external) _zcfree
00007ff80b3a63e3 (__TEXT,__text) non-external (was a private external) _zlibCompileFlags
00007ff80b3a3191 (__TEXT,__text) non-external (was a private external) _zlibDecodeBuffer
00007ff80b3a3ac4 (__TEXT,__text) non-external (was a private external) _zlibDecodeBufferSafe
00007ff80b450a90 (__TEXT,__const) non-external _zlibDecodeBufferSafe.distance_base
00007ff80b450a50 (__TEXT,__const) non-external _zlibDecodeBufferSafe.litlen_base
00007ff80b3d7b5b (__TEXT,__text) non-external (was a private external) _zlibDecodeStateInit
00007ff80b3a63d6 (__TEXT,__text) non-external (was a private external) _zlibVersion
00007ff80b3d7b70 (__TEXT,__text) non-external (was a private external) _zlib_decode_buffer
00007ff80b3d7b50 (__TEXT,__text) non-external (was a private external) _zlib_decode_scratch_size
00007ff80b3a2efc (__TEXT,__text) non-external (was a private external) _zlib_decode_stream_process
00007ff80b3b633c (__TEXT,__text) non-external (was a private external) _zlib_encode_buffer
00007ff80b3b6331 (__TEXT,__text) non-external (was a private external) _zlib_encode_scratch_size
00007ff80b39d9e4 (__TEXT,__text) non-external (was a private external) _zlib_encode_stream_process
00007ff80b3d0ed9 (__TEXT,__text) non-external (was a private external) _zlib_free
00007ff80b3d0eb1 (__TEXT,__text) non-external (was a private external) _zlib_malloc
00007ff80b3a106f (__TEXT,__text) non-external (was a private external) _zlib_stream_end
00007ff80b3d7d05 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_decode_state_size
00007ff80b3d7cfd (__TEXT,__text) non-external (was a private external) _zlib_stream_get_encode_state_size
00007ff80b3d7d10 (__TEXT,__text) non-external (was a private external) _zlib_stream_get_state_size
00007ff80b3d7cf5 (__TEXT,__text) non-external (was a private external) _zlib_stream_identify_algorithm
00007ff80b39cb45 (__TEXT,__text) non-external (was a private external) _zlib_stream_init
00007ff80b39d9be (__TEXT,__text) non-external (was a private external) _zlib_stream_process
                 (undefined) external dyld_stub_binder (from libSystem)
00007ff80b3a6dab (__TEXT,__text) non-external n_loop
00007ff80b3a709a (__TEXT,__text) non-external scalar_loop
00007ff80b3a6d90 (__TEXT,__text) non-external skip_loading_tables
00007ff842316f90 (__DATA,__data) non-external sum2_coefficients
00007ff842316f60 (__DATA,__data) non-external sum2_coefficients_nossse3
