00007ffa0703d38c (__TEXT,__text) non-external +[Cube initialize]
00007ffa06eebb2d (__TEXT,__text) non-external -[MREffectScrapbookTitle isLoadedForTime:]
00007ffa06eebbaf (__TEXT,__text) non-external -[MREffectScrapbookTitle isOpaque]
00007ffa06eebbbf (__TEXT,__text) non-external -[MREffectScrapbookTitle prerenderForTime:inContext:withArguments:]
00007ffa06eebc48 (__TEXT,__text) non-external -[MREffectScrapbookTitle renderAtTime:inContext:withArguments:]
00007ffa06eeb5f0 (__TEXT,__text) non-external -[MREffectScrapbookTitle setPixelSize:]
00007ffa06eed32e (__TEXT,__text) non-external -[MREffectScrapbookTitle(Effects) renderEffectTitle2AtTime:inContext:withArguments:]
00007ffa06eec12c (__TEXT,__text) non-external -[MREffectScrapbookTitle(Effects) renderEffectTitleAtTime:inContext:withArguments:]
00007ffa06eebd31 (__TEXT,__text) non-external -[MREffectScrapbookTitle(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06eec064 (__TEXT,__text) non-external -[MREffectScrapbookTitle(MRLoadable) _maxLinesForTextElement:]
00007ffa06eec002 (__TEXT,__text) non-external -[MREffectScrapbookTitle(MRLoadable) _maxSizeForTextElement:]
00007ffa06eec06f (__TEXT,__text) non-external -[MREffectScrapbookTitle(MRLoadable) _unload]
00007ffa06ee22be (__TEXT,__text) non-external -[MREffectScrapbook_Old _cleanup]
00007ffa06ee279c (__TEXT,__text) non-external -[MREffectScrapbook_Old elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06ee2a4a (__TEXT,__text) non-external -[MREffectScrapbook_Old getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ee0633 (__TEXT,__text) non-external -[MREffectScrapbook_Old initWithEffectID:]
00007ffa06ee23fd (__TEXT,__text) non-external -[MREffectScrapbook_Old isAlphaFriendly]
00007ffa06ee23f5 (__TEXT,__text) non-external -[MREffectScrapbook_Old isOpaque]
00007ffa06ee2405 (__TEXT,__text) non-external -[MREffectScrapbook_Old prerenderForTime:inContext:withArguments:]
00007ffa06ee248e (__TEXT,__text) non-external -[MREffectScrapbook_Old renderAtTime:inContext:withArguments:]
00007ffa06ee2344 (__TEXT,__text) non-external -[MREffectScrapbook_Old setPixelSize:]
00007ffa06ee9a7b (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect10AtTime:inContext:withArguments:]
00007ffa06ee2b2d (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect1AtTime:inContext:withArguments:]
00007ffa06ee37db (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect2AtTime:movieVersion:inContext:withArguments:]
00007ffa06ee44fd (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect3AtTime:movieVersion:inContext:withArguments:]
00007ffa06ee557c (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect4AtTime:movieVersion:inContext:withArguments:]
00007ffa06ee665d (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect5AtTime:movieVersion:inContext:withArguments:]
00007ffa06ee74fc (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect6AtTime:movieVersion:inContext:withArguments:]
00007ffa06ee7f96 (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect7AtTime:inContext:withArguments:]
00007ffa06ee8b6d (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect8AtTime:inContext:withArguments:]
00007ffa06ee8fec (__TEXT,__text) non-external -[MREffectScrapbook_Old(Effects) renderEffect9AtTime:inContext:withArguments:]
00007ffa06eea128 (__TEXT,__text) non-external -[MREffectScrapbook_Old(MRLoadable) _unload]
00007ffa07042139 (__TEXT,__text) non-external -[MREffectShadedColors _unload]
00007ffa07042111 (__TEXT,__text) non-external -[MREffectShadedColors beginMorphingToAspectRatio:withDuration:]
00007ffa0704207e (__TEXT,__text) non-external -[MREffectShadedColors elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa070420ae (__TEXT,__text) non-external -[MREffectShadedColors getVerticesCoordinates:withMatrix:forElement:]
00007ffa07041dd3 (__TEXT,__text) non-external -[MREffectShadedColors prerenderForTime:inContext:withArguments:]
00007ffa07041ddb (__TEXT,__text) non-external -[MREffectShadedColors renderAtTime:inContext:withArguments:]
00007ffa07041a67 (__TEXT,__text) non-external -[MREffectShadedColors setAttributes:]
00007ffa07061cc5 (__TEXT,__text) non-external -[MREffectShatter _cleanup]
00007ffa070634be (__TEXT,__text) non-external -[MREffectShatter elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa070636fb (__TEXT,__text) non-external -[MREffectShatter getVerticesCoordinates:withMatrix:forElement:]
00007ffa07061c14 (__TEXT,__text) non-external -[MREffectShatter initWithEffectID:]
00007ffa07061de7 (__TEXT,__text) non-external -[MREffectShatter isLoadedForTime:]
00007ffa07063484 (__TEXT,__text) non-external -[MREffectShatter patchworkAtTime:inContext:withArguments:]
00007ffa07061df2 (__TEXT,__text) non-external -[MREffectShatter prerenderForTime:inContext:withArguments:]
00007ffa07062748 (__TEXT,__text) non-external -[MREffectShatter renderAtTime:inContext:withArguments:]
00007ffa07061db8 (__TEXT,__text) non-external -[MREffectShatter setPixelSize:]
00007ffa07063749 (__TEXT,__text) non-external -[MREffectShatter(MRLoadable) _unload]
00007ffa07065be2 (__TEXT,__text) non-external -[MREffectShatterText _cleanup]
00007ffa07066955 (__TEXT,__text) non-external -[MREffectShatterText _maxLinesForTextElement:]
00007ffa07066930 (__TEXT,__text) non-external -[MREffectShatterText _maxSizeForTextElement:]
00007ffa0706699a (__TEXT,__text) non-external -[MREffectShatterText _renderSublayer:layerCount:atTime:inContext:withArguments:]
00007ffa07065f6f (__TEXT,__text) non-external -[MREffectShatterText elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa07065f9f (__TEXT,__text) non-external -[MREffectShatterText getVerticesCoordinates:withMatrix:forElement:]
00007ffa07065b80 (__TEXT,__text) non-external -[MREffectShatterText initWithEffectID:]
00007ffa07066002 (__TEXT,__text) non-external -[MREffectShatterText isLoadedForTime:]
00007ffa07066960 (__TEXT,__text) non-external -[MREffectShatterText patchworkAtTime:inContext:withArguments:]
00007ffa070661c7 (__TEXT,__text) non-external -[MREffectShatterText prerenderForTime:inContext:withArguments:]
00007ffa07066408 (__TEXT,__text) non-external -[MREffectShatterText renderAtTime:inContext:withArguments:]
00007ffa07065de6 (__TEXT,__text) non-external -[MREffectShatterText setPixelSize:]
00007ffa07067a47 (__TEXT,__text) non-external -[MREffectShatterText(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa07067cee (__TEXT,__text) non-external -[MREffectShatterText(MRLoadable) _unload]
00007ffa06eee394 (__TEXT,__text) non-external -[MREffectShatterTitle _cleanup]
00007ffa06eee489 (__TEXT,__text) non-external -[MREffectShatterTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06eee4b9 (__TEXT,__text) non-external -[MREffectShatterTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa06eee1f0 (__TEXT,__text) non-external -[MREffectShatterTitle initWithEffectID:]
00007ffa06eee51c (__TEXT,__text) non-external -[MREffectShatterTitle isLoadedForTime:]
00007ffa06eee5f9 (__TEXT,__text) non-external -[MREffectShatterTitle prerenderForTime:inContext:withArguments:]
00007ffa06eee67d (__TEXT,__text) non-external -[MREffectShatterTitle renderAtTime:inContext:withArguments:]
00007ffa06eee40e (__TEXT,__text) non-external -[MREffectShatterTitle setPixelSize:]
00007ffa06eeefcf (__TEXT,__text) non-external -[MREffectShatterTitle(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06eef297 (__TEXT,__text) non-external -[MREffectShatterTitle(MRLoadable) _maxLinesForTextElement:]
00007ffa06eef274 (__TEXT,__text) non-external -[MREffectShatterTitle(MRLoadable) _maxSizeForTextElement:]
00007ffa06eef20e (__TEXT,__text) non-external -[MREffectShatterTitle(MRLoadable) _unload]
00007ffa06fe1a38 (__TEXT,__text) non-external -[MREffectShiftingTiles _addSlideAspectRatios:]
00007ffa06fe1c09 (__TEXT,__text) non-external -[MREffectShiftingTiles _applyTimingToSlideProviders]
00007ffa06fe4156 (__TEXT,__text) non-external -[MREffectShiftingTiles _aspectRatioForSlideIndex:]
00007ffa06fe38af (__TEXT,__text) non-external -[MREffectShiftingTiles _calculateMainDuration]
00007ffa06fe103a (__TEXT,__text) non-external -[MREffectShiftingTiles _cleanup]
00007ffa06fe42ae (__TEXT,__text) non-external -[MREffectShiftingTiles _displaySlideCountForLayout:]
00007ffa06fe42d2 (__TEXT,__text) non-external -[MREffectShiftingTiles _displayWidthForLayout:]
00007ffa06fe72f0 (__TEXT,__text) non-external -[MREffectShiftingTiles _durationForAspectRatio:inLayout:withScreenRatio:]
00007ffa06feafba (__TEXT,__text) non-external -[MREffectShiftingTiles _infoForTime:]
00007ffa06fe7396 (__TEXT,__text) non-external -[MREffectShiftingTiles _iterationForTime:startTime:duration:]
00007ffa06feb0d9 (__TEXT,__text) non-external -[MREffectShiftingTiles _layoutForIteration:]
00007ffa06feb0a4 (__TEXT,__text) non-external -[MREffectShiftingTiles _layoutForTime:]
00007ffa06fe13c9 (__TEXT,__text) non-external -[MREffectShiftingTiles _lowestDisplayIteration]
00007ffa06fe39ff (__TEXT,__text) non-external -[MREffectShiftingTiles _setupFirstLayout]
00007ffa06fe4305 (__TEXT,__text) non-external -[MREffectShiftingTiles _setupLayoutsWithSlideInfo:append:aspectRatio:]
00007ffa06fe42c0 (__TEXT,__text) non-external -[MREffectShiftingTiles _slideCountForLayout:]
00007ffa06feaf10 (__TEXT,__text) non-external -[MREffectShiftingTiles _slideProviderWithAspectRatio:nearest:actual:]
00007ffa06fe3f5f (__TEXT,__text) non-external -[MREffectShiftingTiles _timeForIteration:]
00007ffa06fe2b80 (__TEXT,__text) non-external -[MREffectShiftingTiles _updateSizeScripts]
00007ffa06fe42e4 (__TEXT,__text) non-external -[MREffectShiftingTiles _widthForLayout:]
00007ffa06fe19c7 (__TEXT,__text) non-external -[MREffectShiftingTiles appendSlideInformation:andTextInformation:]
00007ffa06fe4132 (__TEXT,__text) non-external -[MREffectShiftingTiles displayTimeForSlideAtIndex:]
00007ffa06fe414d (__TEXT,__text) non-external -[MREffectShiftingTiles displayTimeForTextAtIndex:]
00007ffa06feb59f (__TEXT,__text) non-external -[MREffectShiftingTiles elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06fe11c4 (__TEXT,__text) non-external -[MREffectShiftingTiles firstSlideIndexStillNeededAtTime:]
00007ffa06feb7dc (__TEXT,__text) non-external -[MREffectShiftingTiles getVerticesCoordinates:withMatrix:forElement:]
00007ffa06fe0f98 (__TEXT,__text) non-external -[MREffectShiftingTiles initWithEffectID:]
00007ffa06fe4104 (__TEXT,__text) non-external -[MREffectShiftingTiles lowestDisplayTime]
00007ffa06fe75c9 (__TEXT,__text) non-external -[MREffectShiftingTiles prerenderForTime:inContext:withArguments:]
00007ffa06fe7ac8 (__TEXT,__text) non-external -[MREffectShiftingTiles renderAtTime:inContext:withArguments:]
00007ffa06fe177d (__TEXT,__text) non-external -[MREffectShiftingTiles setMultiImageSlideRange:]
00007ffa06fe1bc8 (__TEXT,__text) non-external -[MREffectShiftingTiles setPhaseInDuration:mainDuration:phaseOutDuration:]
00007ffa06fe3a24 (__TEXT,__text) non-external -[MREffectShiftingTiles showDurationForSlideAtIndex:]
00007ffa06fe3534 (__TEXT,__text) non-external -[MREffectShiftingTiles showTimeForSlideAtIndex:]
00007ffa06fe1187 (__TEXT,__text) non-external -[MREffectShiftingTiles supportsDynamicExpansion]
00007ffa06fe1192 (__TEXT,__text) non-external -[MREffectShiftingTiles typicalSlideBatchSize]
00007ffa06feb82a (__TEXT,__text) non-external -[MREffectShiftingTiles(MRLoadable) _unload]
00007ffa06ff8863 (__TEXT,__text) non-external -[MREffectShowroom _cleanup]
00007ffa06ff9c34 (__TEXT,__text) non-external -[MREffectShowroom elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06ff9e71 (__TEXT,__text) non-external -[MREffectShowroom getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ff8636 (__TEXT,__text) non-external -[MREffectShowroom initWithEffectID:]
00007ffa06ff8ee0 (__TEXT,__text) non-external -[MREffectShowroom isLoadedForTime:]
00007ffa06ff8c44 (__TEXT,__text) non-external -[MREffectShowroom prerenderForTime:inContext:withArguments:]
00007ffa06ff8f5e (__TEXT,__text) non-external -[MREffectShowroom renderAtTime:inContext:withArguments:]
00007ffa06ff89dc (__TEXT,__text) non-external -[MREffectShowroom setAttributes:]
00007ffa06ff891f (__TEXT,__text) non-external -[MREffectShowroom setPixelSize:]
00007ffa06ff9ebf (__TEXT,__text) non-external -[MREffectShowroom(MRLoadable) _unload]
00007ffa06ff9f82 (__TEXT,__text) non-external -[MREffectShowroomBackground _cleanup]
00007ffa06ff9f3f (__TEXT,__text) non-external -[MREffectShowroomBackground initWithEffectID:]
00007ffa06ffa018 (__TEXT,__text) non-external -[MREffectShowroomBackground isLoadedForTime:]
00007ffa06ffa035 (__TEXT,__text) non-external -[MREffectShowroomBackground prerenderForTime:inContext:withArguments:]
00007ffa06ffa4c8 (__TEXT,__text) non-external -[MREffectShowroomBackground renderAtTime:inContext:withArguments:]
00007ffa06ffa260 (__TEXT,__text) non-external -[MREffectShowroomBackground setAttributes:]
00007ffa06ff9fbb (__TEXT,__text) non-external -[MREffectShowroomBackground setPixelSize:]
00007ffa06ffa5a0 (__TEXT,__text) non-external -[MREffectShowroomBackground(MRLoadable) _unload]
00007ffa06ef0e33 (__TEXT,__text) non-external -[MREffectSlidingPanels _applySizeScripts:]
00007ffa06eef3f7 (__TEXT,__text) non-external -[MREffectSlidingPanels _cleanup]
00007ffa06eef554 (__TEXT,__text) non-external -[MREffectSlidingPanels _loadForTime:inContext:withArguments:]
00007ffa06eeff58 (__TEXT,__text) non-external -[MREffectSlidingPanels _maxLinesForTextElement:]
00007ffa06eeff40 (__TEXT,__text) non-external -[MREffectSlidingPanels _maxSizeForTextElement:]
00007ffa06ef14c7 (__TEXT,__text) non-external -[MREffectSlidingPanels _sizeForBreakAspectRatio:size:inContext:]
00007ffa06eeff98 (__TEXT,__text) non-external -[MREffectSlidingPanels _unload]
00007ffa06ef4c33 (__TEXT,__text) non-external -[MREffectSlidingPanels beginMorphingToAspectRatio:withDuration:]
00007ffa06ef4c44 (__TEXT,__text) non-external -[MREffectSlidingPanels computeAnimationForTime:direction:rect:justification:]
00007ffa06ef3ed9 (__TEXT,__text) non-external -[MREffectSlidingPanels elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06ef4482 (__TEXT,__text) non-external -[MREffectSlidingPanels enterInteractiveModeAtTime:]
00007ffa06ef477d (__TEXT,__text) non-external -[MREffectSlidingPanels exitInteractiveMode]
00007ffa06ef4948 (__TEXT,__text) non-external -[MREffectSlidingPanels getLazyDuration:lazyFactor:animationDuration:fromInterestingTime:]
00007ffa06ef41cb (__TEXT,__text) non-external -[MREffectSlidingPanels getStartTime:andDuration:forMovingToElementID:backwards:]
00007ffa06ef413c (__TEXT,__text) non-external -[MREffectSlidingPanels getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ef4326 (__TEXT,__text) non-external -[MREffectSlidingPanels hasMoreSlidesFromTime:backwards:startTime:duration:]
00007ffa06eef2a2 (__TEXT,__text) non-external -[MREffectSlidingPanels init]
00007ffa06ef489d (__TEXT,__text) non-external -[MREffectSlidingPanels interestingTimeForElement:]
00007ffa06ef47c3 (__TEXT,__text) non-external -[MREffectSlidingPanels interestingTimeForTime:]
00007ffa06eef4c4 (__TEXT,__text) non-external -[MREffectSlidingPanels isLoadedForTime:]
00007ffa06ef012a (__TEXT,__text) non-external -[MREffectSlidingPanels prerenderForTime:inContext:withArguments:]
00007ffa06ef14d3 (__TEXT,__text) non-external -[MREffectSlidingPanels renderAtTime:inContext:withArguments:]
00007ffa06ef0095 (__TEXT,__text) non-external -[MREffectSlidingPanels setAttributes:]
00007ffa06eef488 (__TEXT,__text) non-external -[MREffectSlidingPanels setPixelSize:]
00007ffa06ef50ad (__TEXT,__text) non-external -[MREffectSnapshot _cleanup]
00007ffa06ef6e76 (__TEXT,__text) non-external -[MREffectSnapshot _maxLinesForTextElement:]
00007ffa06ef6e02 (__TEXT,__text) non-external -[MREffectSnapshot _maxSizeForTextElement:]
00007ffa06ef6cb8 (__TEXT,__text) non-external -[MREffectSnapshot elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06ef6d9e (__TEXT,__text) non-external -[MREffectSnapshot getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ef5040 (__TEXT,__text) non-external -[MREffectSnapshot initWithEffectID:]
00007ffa06ef513b (__TEXT,__text) non-external -[MREffectSnapshot isLoadedForTime:]
00007ffa06ef51bd (__TEXT,__text) non-external -[MREffectSnapshot renderAtTime:inContext:withArguments:]
00007ffa06ef6ed1 (__TEXT,__text) non-external -[MREffectSnapshot(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06ef727f (__TEXT,__text) non-external -[MREffectSnapshotTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06ef72af (__TEXT,__text) non-external -[MREffectSnapshotTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ef7228 (__TEXT,__text) non-external -[MREffectSnapshotTitle init]
00007ffa06ef7312 (__TEXT,__text) non-external -[MREffectSnapshotTitle isLoadedForTime:]
00007ffa06ef7394 (__TEXT,__text) non-external -[MREffectSnapshotTitle renderAtTime:inContext:withArguments:]
00007ffa06ef764a (__TEXT,__text) non-external -[MREffectSnapshotTitle(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06ef7916 (__TEXT,__text) non-external -[MREffectSnapshotTitle(MRLoadable) _maxLinesForTextElement:]
00007ffa06ef78f1 (__TEXT,__text) non-external -[MREffectSnapshotTitle(MRLoadable) _maxSizeForTextElement:]
00007ffa06ef7921 (__TEXT,__text) non-external -[MREffectSnapshotTitle(MRLoadable) _unload]
00007ffa07054e23 (__TEXT,__text) non-external -[MREffectStretchableSlide isNative3D]
00007ffa07054e2e (__TEXT,__text) non-external -[MREffectStretchableSlide isOpaque]
00007ffa07054e36 (__TEXT,__text) non-external -[MREffectStretchableSlide renderAtTime:inContext:withArguments:]
00007ffa07054a55 (__TEXT,__text) non-external -[MREffectStretchableSlide setAttributes:]
00007ffa06ef7c21 (__TEXT,__text) non-external -[MREffectTableTop _cleanup]
00007ffa06efc921 (__TEXT,__text) non-external -[MREffectTableTop _maxLinesForTextElement:]
00007ffa06efc909 (__TEXT,__text) non-external -[MREffectTableTop _maxSizeForTextElement:]
00007ffa06efc440 (__TEXT,__text) non-external -[MREffectTableTop elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06efc7dc (__TEXT,__text) non-external -[MREffectTableTop getCurrentCenter:scale:rotation:isMain:forElement:]
00007ffa06efc711 (__TEXT,__text) non-external -[MREffectTableTop getVerticesCoordinates:withMatrix:forElement:]
00007ffa06ef7af1 (__TEXT,__text) non-external -[MREffectTableTop initWithEffectID:]
00007ffa06ef7dfb (__TEXT,__text) non-external -[MREffectTableTop isLoadedForTime:]
00007ffa06ef7eb1 (__TEXT,__text) non-external -[MREffectTableTop prerenderForTime:inContext:withArguments:]
00007ffa06ef866a (__TEXT,__text) non-external -[MREffectTableTop renderAtTime:inContext:withArguments:]
00007ffa06ef7d49 (__TEXT,__text) non-external -[MREffectTableTop setPixelSize:]
00007ffa06efc92c (__TEXT,__text) non-external -[MREffectTableTop(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06efccdf (__TEXT,__text) non-external -[MREffectTableTop(MRLoadable) _unload]
00007ffa06efce10 (__TEXT,__text) non-external -[MREffectTableTopTitle _cleanup]
00007ffa06efcf89 (__TEXT,__text) non-external -[MREffectTableTopTitle _loadForTime:inContext:withArguments:]
00007ffa06efd379 (__TEXT,__text) non-external -[MREffectTableTopTitle _maxLinesForTextElement:]
00007ffa06efd356 (__TEXT,__text) non-external -[MREffectTableTopTitle _maxSizeForTextElement:]
00007ffa06efd384 (__TEXT,__text) non-external -[MREffectTableTopTitle _unload]
00007ffa06efd53b (__TEXT,__text) non-external -[MREffectTableTopTitle cacheRenderedWords]
00007ffa06efce66 (__TEXT,__text) non-external -[MREffectTableTopTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06efce96 (__TEXT,__text) non-external -[MREffectTableTopTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa06efcd83 (__TEXT,__text) non-external -[MREffectTableTopTitle init]
00007ffa06efcef9 (__TEXT,__text) non-external -[MREffectTableTopTitle isLoadedForTime:]
00007ffa06efd949 (__TEXT,__text) non-external -[MREffectTableTopTitle renderAtTime:inContext:withArguments:]
00007ffa06efec55 (__TEXT,__text) non-external -[MREffectVignettingOverlay _cleanup]
00007ffa06efeb7c (__TEXT,__text) non-external -[MREffectVignettingOverlay initWithEffectID:]
00007ffa06efeceb (__TEXT,__text) non-external -[MREffectVignettingOverlay isLoadedForTime:]
00007ffa06efed08 (__TEXT,__text) non-external -[MREffectVignettingOverlay prerenderForTime:inContext:withArguments:]
00007ffa06efed75 (__TEXT,__text) non-external -[MREffectVignettingOverlay renderAtTime:inContext:withArguments:]
00007ffa06efec8e (__TEXT,__text) non-external -[MREffectVignettingOverlay setPixelSize:]
00007ffa06efee5d (__TEXT,__text) non-external -[MREffectVignettingOverlay(MRLoadable) _unload]
00007ffa06efef57 (__TEXT,__text) non-external -[MREffectWatercolorBackground _cleanup]
00007ffa06efee7a (__TEXT,__text) non-external -[MREffectWatercolorBackground initWithEffectID:]
00007ffa06efefed (__TEXT,__text) non-external -[MREffectWatercolorBackground isLoadedForTime:]
00007ffa06eff00a (__TEXT,__text) non-external -[MREffectWatercolorBackground prerenderForTime:inContext:withArguments:]
00007ffa06eff2e8 (__TEXT,__text) non-external -[MREffectWatercolorBackground renderAtTime:inContext:withArguments:]
00007ffa06eff079 (__TEXT,__text) non-external -[MREffectWatercolorBackground setAttributes:]
00007ffa06efef90 (__TEXT,__text) non-external -[MREffectWatercolorBackground setPixelSize:]
00007ffa06eff88a (__TEXT,__text) non-external -[MREffectWatercolorBackground(MRLoadable) _unload]
00007ffa06eff8fa (__TEXT,__text) non-external -[MREffectWatercolorPanel _cleanup]
00007ffa06f0209c (__TEXT,__text) non-external -[MREffectWatercolorPanel _maxLinesForTextElement:]
00007ffa06f02079 (__TEXT,__text) non-external -[MREffectWatercolorPanel _maxSizeForTextElement:]
00007ffa06f01d87 (__TEXT,__text) non-external -[MREffectWatercolorPanel elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06f01fea (__TEXT,__text) non-external -[MREffectWatercolorPanel getVerticesCoordinates:withMatrix:forElement:]
00007ffa06eff8a7 (__TEXT,__text) non-external -[MREffectWatercolorPanel initWithEffectID:]
00007ffa06eff9d4 (__TEXT,__text) non-external -[MREffectWatercolorPanel isLoadedForTime:]
00007ffa06effa56 (__TEXT,__text) non-external -[MREffectWatercolorPanel renderAtTime:inContext:withArguments:]
00007ffa06effbaa (__TEXT,__text) non-external -[MREffectWatercolorPanel renderBreakAtTime:inContext:withArguments:]
00007ffa06f00b44 (__TEXT,__text) non-external -[MREffectWatercolorPanel renderEffect2AtTime:isSquare:inContext:withArguments:]
00007ffa06f012e4 (__TEXT,__text) non-external -[MREffectWatercolorPanel renderEffect3AtTime:inContext:withArguments:]
00007ffa06f017b4 (__TEXT,__text) non-external -[MREffectWatercolorPanel renderEffectSubtitleAtTime:inContext:withArguments:]
00007ffa06f0028f (__TEXT,__text) non-external -[MREffectWatercolorPanel renderSubtitleBreakAtTime:inContext:withArguments:]
00007ffa06eff93f (__TEXT,__text) non-external -[MREffectWatercolorPanel setAttributes:]
00007ffa06f020a7 (__TEXT,__text) non-external -[MREffectWatercolorPanel(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06f02346 (__TEXT,__text) non-external -[MREffectWatercolorPanel(MRLoadable) _unload]
00007ffa06f023c5 (__TEXT,__text) non-external -[MREffectWatercolorTitle _cleanup]
00007ffa06f028c1 (__TEXT,__text) non-external -[MREffectWatercolorTitle _maxLinesForTextElement:]
00007ffa06f0289e (__TEXT,__text) non-external -[MREffectWatercolorTitle _maxSizeForTextElement:]
00007ffa06f02441 (__TEXT,__text) non-external -[MREffectWatercolorTitle elementHitAtPoint:withInverseMatrix:localPoint:]
00007ffa06f02471 (__TEXT,__text) non-external -[MREffectWatercolorTitle getVerticesCoordinates:withMatrix:forElement:]
00007ffa06f0236e (__TEXT,__text) non-external -[MREffectWatercolorTitle initWithEffectID:]
00007ffa06f02503 (__TEXT,__text) non-external -[MREffectWatercolorTitle isLoadedForTime:]
00007ffa06f02585 (__TEXT,__text) non-external -[MREffectWatercolorTitle prerenderForTime:inContext:withArguments:]
00007ffa06f025b9 (__TEXT,__text) non-external -[MREffectWatercolorTitle renderAtTime:inContext:withArguments:]
00007ffa06f024d4 (__TEXT,__text) non-external -[MREffectWatercolorTitle setPixelSize:]
00007ffa06f028cc (__TEXT,__text) non-external -[MREffectWatercolorTitle(MRLoadable) _loadForTime:inContext:withArguments:]
00007ffa06fd6a33 (__TEXT,__text) non-external -[MRFlipupRenderable dealloc]
00007ffa06fd69dc (__TEXT,__text) non-external -[MRFlipupRenderable purge]
00007ffa06fd6ab5 (__TEXT,__text) non-external -[MRFlipupRenderable reflectionSprite]
00007ffa06fd6ac6 (__TEXT,__text) non-external -[MRFlipupRenderable setReflectionSprite:]
00007ffa06fd6a82 (__TEXT,__text) non-external -[MRFlipupRenderable setSlide:]
00007ffa06fd6aa4 (__TEXT,__text) non-external -[MRFlipupRenderable setSprite:]
00007ffa06fd6a71 (__TEXT,__text) non-external -[MRFlipupRenderable slide]
00007ffa06fd6a93 (__TEXT,__text) non-external -[MRFlipupRenderable sprite]
00007ffa07029421 (__TEXT,__text) non-external -[MRFloatingRenderable dealloc]
00007ffa0702945f (__TEXT,__text) non-external -[MRFloatingRenderable purge]
00007ffa07029490 (__TEXT,__text) non-external -[MRFloatingRenderable setSlide:]
00007ffa070294dc (__TEXT,__text) non-external -[MRFloatingRenderable slide]
00007ffa070292bd (__TEXT,__text) non-external -[MRFloatingTimeInfo description]
00007ffa06f034d5 (__TEXT,__text) non-external -[MRFrame attributes]
00007ffa06f03288 (__TEXT,__text) non-external -[MRFrame cancelLoading]
00007ffa06f02fc8 (__TEXT,__text) non-external -[MRFrame cleanup]
00007ffa06f02f8a (__TEXT,__text) non-external -[MRFrame dealloc]
00007ffa06f034cb (__TEXT,__text) non-external -[MRFrame frameID]
00007ffa06f02ef6 (__TEXT,__text) non-external -[MRFrame initWithFrameID:]
00007ffa06f034c1 (__TEXT,__text) non-external -[MRFrame inputImage]
00007ffa06f032fa (__TEXT,__text) non-external -[MRFrame isAlphaFriendly]
00007ffa06f03358 (__TEXT,__text) non-external -[MRFrame isInfinite]
00007ffa06f03233 (__TEXT,__text) non-external -[MRFrame isLoadedForTime:]
00007ffa06f0328e (__TEXT,__text) non-external -[MRFrame isNative3D]
00007ffa06f032c4 (__TEXT,__text) non-external -[MRFrame isOpaque]
00007ffa06f030af (__TEXT,__text) non-external -[MRFrame isRetainedBySlideProvider]
00007ffa06f0323e (__TEXT,__text) non-external -[MRFrame loadForTime:inContext:withArguments:now:]
00007ffa06f03376 (__TEXT,__text) non-external -[MRFrame patchworkAtTime:inContext:withArguments:]
00007ffa06f034df (__TEXT,__text) non-external -[MRFrame pixelSize]
00007ffa06f03360 (__TEXT,__text) non-external -[MRFrame prerenderForTime:inContext:withArguments:]
00007ffa06f03036 (__TEXT,__text) non-external -[MRFrame releaseBySlideProvider:]
